,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
12,"In this paper, we further study the structure of Nd(X ).","It is known that
                                                   the maximal d-step pro-nilfactor of Nd(X ) is Nd(Xd), where Xd is the maximal d-step
                                                   pro-nilfactor of X.","We show that the maximal distal
                                                   factor of Nd(X ) is Nd(Xdis) with Xdis being the maximal distal factor of X , and prove that
                                                   as minimal systems (Nd(X ), Gd(T )) has the same structure theorem as (X , T ).",2022-01-01 09:27:21+00:00,On structure theorems and non-saturated examples,math.DS,"['math.DS', '37B05, 54H20']","[arxiv.Result.Author('Qinqi Wu'), arxiv.Result.Author('Hui Xu'), arxiv.Result.Author('Xiangdong Ye')]","For any minimal system $(X,T)$ and $d\geq 1$ there is an associated minimal
system $(N_{d}(X), \mathcal{G}_{d}(T))$, where $\mathcal{G}_{d}(T)$ is the
group generated by $T\times\cdots\times T$ and $T\times T^2\times\cdots\times
T^{d}$ and $N_{d}(X)$ is the orbit closure of the diagonal under
$\mathcal{G}_{d}(T)$. It is known that the maximal $d$-step pro-nilfactor of
$N_d(X)$ is $N_d(X_d)$, where $X_d$ is the maximal $d$-step pro-nilfactor of
$X$.
  In this paper, we further study the structure of $N_d(X)$. We show that the
maximal distal factor of $N_d(X)$ is $N_d(X_{dis})$ with $X_{dis}$ being the
maximal distal factor of $X$, and prove that as minimal systems $(N_{d}(X),
\mathcal{G}_{d}(T))$ has the same structure theorem as $(X,T)$. In addition, a
non-saturated metric example $(X,T)$ is constructed, which is not $T\times
T^2$-saturated and is a Toeplitz minimal system."
252,"To better express sepsis
via mathematical model, and propose more effective optimization algorithm for providing the optimal control strategy
to improve quality of clinic therapy or reduce the mortality of sepsis, are both our further research directions.","As the healthcare field
develops, the mathematical study and optimal control research of sepsis will continue to grow.","Reference

1.",2022-01-07 22:51:11+00:00,"An Improved Mathematical Model of Sepsis: Modeling, Bifurcation Analysis, and Optimal Control Study for Complex Nonlinear Infectious Disease System",math.DS,"['math.DS', 'cs.LG', 'math.OC', 'stat.AP', 'stat.ME']","[arxiv.Result.Author('Yuyang Chen'), arxiv.Result.Author('Kaiming Bi'), arxiv.Result.Author('Chih-Hang J. Wu'), arxiv.Result.Author('David Ben-Arieh'), arxiv.Result.Author('Ashesh Sinha')]","Sepsis is a life-threatening medical emergency, which is a major cause of
death worldwide and the second highest cause of mortality in the United States.
Researching the optimal control treatment or intervention strategy on the
comprehensive sepsis system is key in reducing mortality. For this purpose,
first, this paper improves a complex nonlinear sepsis model proposed in our
previous work. Then, bifurcation analyses are conducted for each sepsis
subsystem to study the model behaviors under some system parameters. The
bifurcation analysis results also further indicate the necessity of control
treatment and intervention therapy. If the sepsis system is without adding any
control under some parameter and initial system value settings, the system will
perform persistent inflammation outcomes as time goes by. Therefore, we develop
our complex improved nonlinear sepsis model into a sepsis optimal control
model, and then use some effective biomarkers recommended in existing clinic
practices as optimization objective function to measure the development of
sepsis. Besides that, a Bayesian optimization algorithm by combining Recurrent
neural network (RNN-BO algorithm) is introduced to predict the optimal control
strategy for the studied sepsis optimal control system. The difference between
the RNN-BO algorithm from other optimization algorithms is that once given any
new initial system value setting (initial value is associated with the initial
conditions of patients), the RNN-BO algorithm is capable of quickly predicting
a corresponding time-series optimal control based on the historical optimal
control data for any new sepsis patient. To demonstrate the effectiveness and
efficiency of the RNN-BO algorithm on solving the optimal control solution on
the complex nonlinear sepsis system, some numerical simulations are implemented
by comparing with other optimization algorithms in this paper."
689,"In view of large data sets, modern artiﬁcial intelligence approaches, and automatized
machine learning methods used within the digital twin paradigm, this is an important
topic requiring further research, with only a few available results for LTI systems, see
Remark 8.15.","86  VOLKER MEHRMANN† AND BENJAMIN UNGER

   A closely related topic to MOR is identifying a pHDAE realization from measurements.","It is an open problem to derive necessary and suﬃcient conditions under which output
feedback can make a general nonlinear pHDAE system asymptotically stable.",2022-01-17 19:09:05+00:00,Control of port-Hamiltonian differential-algebraic systems and applications,math.DS,"['math.DS', 'cs.NA', 'cs.SY', 'eess.SY', 'math.NA', '37J06, 37M99, 49M05, 65L80, 65P99, 93A30, 93A15, 93B11, 93B17, 93B52']","[arxiv.Result.Author('Volker Mehrmann'), arxiv.Result.Author('Benjamin Unger')]","The modeling framework of port-Hamiltonian descriptor systems and their use
in numerical simulation and control are discussed. The structure is ideal for
automated network-based modeling since it is invariant under power-conserving
interconnection, congruence transformations, and Galerkin projection. Moreover,
stability and passivity properties are easily shown. Condensed forms under
orthogonal transformations present easy analysis tools for existence,
uniqueness, regularity, and numerical methods to check these properties.
  After recalling the concepts for general linear and nonlinear descriptor
systems, we demonstrate that many difficulties that arise in general descriptor
systems can be easily overcome within the port-Hamiltonian framework. The
properties of port-Hamiltonian descriptor systems are analyzed,
time-discretization, and numerical linear algebra techniques are discussed.
Structure-preserving regularization procedures for descriptor systems are
presented to make them suitable for simulation and control. Model reduction
techniques that preserve the structure and stabilization and optimal control
techniques are discussed.
  The properties of port-Hamiltonian descriptor systems and their use in
modeling simulation and control methods are illustrated with several examples
from different physical domains. The survey concludes with open problems and
research topics that deserve further attention."
690,"As we have seen, also the area of optimal control for pHDAE systems requires a lot
of further research.","Another research area is the perturbation theory for the
problems and the error analysis of the relevant numerical methods.","This concerns, in particular, the optimal use of the structure for
nonlinear systems, the choice of an appropriate cost functional, and also structure-preserving
numerical methods in particular for large-scale problems.",2022-01-17 19:09:05+00:00,Control of port-Hamiltonian differential-algebraic systems and applications,math.DS,"['math.DS', 'cs.NA', 'cs.SY', 'eess.SY', 'math.NA', '37J06, 37M99, 49M05, 65L80, 65P99, 93A30, 93A15, 93B11, 93B17, 93B52']","[arxiv.Result.Author('Volker Mehrmann'), arxiv.Result.Author('Benjamin Unger')]","The modeling framework of port-Hamiltonian descriptor systems and their use
in numerical simulation and control are discussed. The structure is ideal for
automated network-based modeling since it is invariant under power-conserving
interconnection, congruence transformations, and Galerkin projection. Moreover,
stability and passivity properties are easily shown. Condensed forms under
orthogonal transformations present easy analysis tools for existence,
uniqueness, regularity, and numerical methods to check these properties.
  After recalling the concepts for general linear and nonlinear descriptor
systems, we demonstrate that many difficulties that arise in general descriptor
systems can be easily overcome within the port-Hamiltonian framework. The
properties of port-Hamiltonian descriptor systems are analyzed,
time-discretization, and numerical linear algebra techniques are discussed.
Structure-preserving regularization procedures for descriptor systems are
presented to make them suitable for simulation and control. Model reduction
techniques that preserve the structure and stabilization and optimal control
techniques are discussed.
  The properties of port-Hamiltonian descriptor systems and their use in
modeling simulation and control methods are illustrated with several examples
from different physical domains. The survey concludes with open problems and
research topics that deserve further attention."
1534,In some sense this motivates further study of the Lq-spectrum in the parabolic setting.,"While we do not consider negative q in this paper (as is often the
case), in this short section we show that the behaviour of the Lq-spectrum as q → −∞ for

quasi-Bernoulli measures on parabolic Cantor sets is very diﬀerent from the hyperbolic case.","Given

a Borel probability measure ν supported on compact set X let

                      Dν(−∞) = lim inf sup  log ν(B(x, r))      .",2022-02-04 10:38:51+00:00,Parabolic carpets,math.DS,"['math.DS', 'math.CA']","[arxiv.Result.Author('Jonathan M Fraser'), arxiv.Result.Author('Natalia Jurga')]","We introduce and study a family of non-conformal and non-uniformly
contracting iterated function systems. We refer to the attractors of such
systems as parabolic carpets. Roughly speaking they may be thought of as
nonlinear analogues of self-affine carpets which are allowed to have parabolic
fixed points. We compute the $L^q$-spectrum of a class of weak Gibbs measures
supported on parabolic carpets as well as the box dimensions of the carpet
itself."
2521,"With a further study, we also obtain the global existence of martingale solutions.","To this end, we ﬁrst conﬁrm the unique existence of global pathwise
solutions, and by Yamada-Wannabe theorem, we are also required to provide the existence of martingale solutions
in advance.","In our situation, the concept of global martingale solution is stronger a bit than that in a previous work [37], and
we use a new method to obtain this kind of global martingale solutions.",2022-02-27 09:42:42+00:00,Global martingale and pathwise solutions and infinite regularity of invariant measures for a stochastic modified Swift-Hohenberg equation,math.DS,"['math.DS', 'math.PR']","[arxiv.Result.Author('Jintao Wang'), arxiv.Result.Author('Xiaoqian Zhang'), arxiv.Result.Author('Chunqiu Li')]","We consider a 2D stochastic modified Swift-Hohenberg equations with
multiplicative noise and periodic boundary. First, we establish the existence
of local and global martingale and pathwise solutions in the regular Sobolev
space $H^{2m}$ for each $m\geqslant1$. Associated with the unique global
pathwise solution, we obtain a Markovian transition semigroup. Then, we show
the existence of invariant measures and ergodic invariant measures for this
Markovian semigroup on $H^{2m}$. At last, we improve the regularity of the
obtained invariant measures to $H^{2(m+1)}$. With appropriate conditions on the
diffusion coefficient, we can deduce the infinite regularity of the invariant
measures, which was conjectured by Glatt-Holtz \textit{et al.} in their
situation."
2676,"This will remain for
further study.","But we cannot ﬁnd examples with zero or one parabolic sector in Sδ(O),
and also cannot prove that Sδ(O) must have exactly two parabolic sectors.",6                               H. CHEN ET AL.,2022-03-02 08:09:32+00:00,New criterions on nonexistence of periodic orbits of planar dynamical systems and their applications,math.DS,['math.DS'],"[arxiv.Result.Author('Hebai Chen'), arxiv.Result.Author('Hao Yang'), arxiv.Result.Author('Rui Zhang'), arxiv.Result.Author('Xiang Zhang')]","Characterizing existence or not of periodic orbit is a classical problem and
it has both theoretical importance and many real applications. Here, several
new criterions on nonexistence of periodic orbits of the planar dynamical
system $\dot x=y,~\dot y=-g(x)-f(x,y)y$ are obtained in this paper, and by
examples showing that these criterions are applicable, but the known ones are
invalid to them. Based on these criterions, we further characterize the local
topological structures of its equilibrium, which also show that one of the
classical results by A.F. Andreev [Amer. Math. Soc. Transl. 8 (1958), 183--207]
on local topological classification of the degenerate equilibrium is
incomplete. Finally, as another application of these results, we classify the
global phase portraits of a planar differential system, which comes from the
third question in the list of the 33 questions posed by A. Gasull and also from
a mechanical oscillator under suitable restriction to its parameters."
2758,We leave the detailed execution of these adjustments to further research.,"The necessary aspects
which one has to consider for the adjustment to the Minkowski setting are indicated
in Section 7.1 for two dimensions.",7.3.,2022-03-03 16:17:33+00:00,Shortest Minkowski billiard trajectories on convex bodies,math.DS,"['math.DS', '37C83']","[arxiv.Result.Author('Daniel Rudolf'), arxiv.Result.Author('Stefan Krupp')]","We rigorously investigate closed Minkowski/Finsler billiard trajectories on
$n$-dimensional convex bodies. We outline the central properties in comparison
and differentiation from the Euclidean special case and establish two main
results for length-minimizing closed Minkowski/Finsler billiard trajectories:
one is a regularity result, the other is of geometric nature. Building on these
results, we develop an algorithm for computing length-minimizing closed
Minkowski/Finsler billiard trajectories in the plane."
2781,"However, we leave these questions for further research.","Following this line of thought, would lead to the question
whether it is possible to deduce Viterbo’s conjecture from systolic inequalities for
Finsler geodesics.",Proof of Proposition 5.3.,2022-03-03 22:29:00+00:00,Viterbo's conjecture as a worm problem,math.DS,"['math.DS', 'math.MG', 'math.SG', '37C83, 37J39']",[arxiv.Result.Author('Daniel Rudolf')],"In this paper, we relate Viterbo's conjecture from symplectic geometry to
Minkowski versions of worm problems which are inspired by the well-known Moser
worm problem from geometry. For the special case of Lagrangian products this
relation provides a connection to systolic Minkowski billiard inequalities and
Mahler's conjecture from convex geometry. Moreover, we use the above relation
in order to transfer Viterbo's conjecture to a conjecture for the longstanding
open Wetzel problem which also can be expressed as a systolic Euclidean
billiard inequality and for which we discuss an algorithmic approach in order
to find a new lower bound. Finally, we point out that the above mentioned
relation between Viterbo's conjecture and Minkowski worm problems has a
structural similarity to the known relationship between Bellmann's
lost-in-a-forest problem and the original Moser worm problem."
2808,"However,
we leave these questions for further research.","Following this line of thought, would lead to the question whether it is possible to
deduce Viterbo’s conjecture from systolic inequalities for Finsler geodesics.",3.,2022-03-04 13:11:24+00:00,Classification of equality cases of Viterbo's conjecture for Lagrangian products in $\mathbb{R}^4$ and symplectomorphisms to the Euclidean ball,math.DS,"['math.DS', 'math.MG', 'math.SG', '37C83 37J39']",[arxiv.Result.Author('Daniel Rudolf')],"We analyze Viterbo's conjecture for the EHZ-capacity for convex Lagrangian
products in $\mathbb{R}^4$. We reprove that Viterbo's conjecture holds for the
Lagrangian configurations (any triangle/parallelogram in
$\mathbb{R}^2$)$\times$(any convex body in $\mathbb{R}^2$) by using the
generalized Minkowski billiard characterization of the EHZ-capacity. Based on
that, we classify equality cases of Viterbo's conjecture for these
configurations and prove that all except
(triangle)$\times$(hexagon)-configurations can be proven to be symplectomorphic
to Euclidean balls (by just using affine symplectomorphisms). Finally, we
discuss the (any convex quadrilateral / centrally symmetric hexagon in
$\mathbb{R}^2$)$\times$(any convex body in $\mathbb{R}^2$)-cases for which we
find challenging open packing problems as equivalent formulations of Viterbo's
conjecture."
