,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
75,We ask several open problems for further research.,"In this paper we derive both discrete and continuous Welch bounds
for Banach spaces.",2.,2022-01-04 05:00:48+00:00,Discrete and Continuous Welch Bounds for Banach Spaces with Applications,math.FA,"['math.FA', '42C15']",[arxiv.Result.Author('K. Mahesh Krishna')],"Let $\{\tau_j\}_{j=1}^n$ be a collection in a finite dimensional Banach space
$\mathcal{X}$ of dimension $d$ and $\{f_j\}_{j=1}^n$ be a collection in
$\mathcal{X}^*$ (dual of $\mathcal{X}$) such that $f_j(\tau_j) =1$, $\forall
1\leq j\leq n$. Let $n\geq d$ and $\text{Sym}^m(\mathcal{X})$ be the Banach
space of symmetric m-tensors. If the operator $ \text{Sym}^m(\mathcal{X})\ni x
\mapsto \sum_{j=1}^nf_j^{\otimes m}(x)\tau_j ^{\otimes
m}\in\text{Sym}^m(\mathcal{X})$ is diagonalizable and its eigenvalues are all
non negative, then we prove that \begin{align}\label{WELCHBANACHABSTRACT} \max
_{1\leq j,k \leq n, j\neq k}|f_j(\tau_k)|^{2m}\geq \max _{1\leq j,k \leq n,
j\neq k}|f_j(\tau_k)f_k(\tau_j)|^m
\geq\frac{1}{n-1}\left[\frac{n}{{d+m-1\choose m}}-1\right], \quad \forall m \in
\mathbb{N}. \end{align} When $ \mathcal{X}=\mathcal{H}$ is a Hilbert space, and
$f_j$ is defined by $f_j: \mathcal{H}\ni h \mapsto \langle h, \tau_j \rangle
\in \mathbb{K}$ (where $\mathbb{K}$ is $\mathbb{R}$ or $\mathbb{C}$), $\forall
1 \leq j \leq n$, then Inequality (1) reduces to Welch bounds. Thus Inequality
(1) improves 48 years old result obtained by Welch [\textit{IEEE Transactions
on Information Theory, 1974}]. We also prove the following continuous version
of Inequality (1) under certain conditions for measure spaces:
\begin{align}\label{CONTINUOUSWELCHBANACHABSTRACT}
  \sup _{\alpha, \beta \in \Omega, \alpha\neq \beta}|f_\alpha(\tau_\beta)
|^{2m}\geq \sup _{\alpha, \beta \in \Omega, \alpha\neq
\beta}|f_\alpha(\tau_\beta)f_\beta(\tau_\alpha) |^{m}\geq
\frac{1}{(\mu\times\mu)((\Omega\times\Omega)\setminus\Delta)}\left[\frac{
\mu(\Omega)^2}{{d+m-1 \choose m}}-(\mu\times\mu)(\Delta)\right]. \end{align}"
1183,"We highlight that the new approach that we develop opens the door for further study of the endpoint Schatten–

Lorentz class estimates of commutators [A, M f ] in various settings where Fourier analysis is not available (or not as
eﬀective as that in Rn).","For

example, following from [36, Corollary 1.5], one can apply the trace formula (1.2) to give an alternative proof of [22,

(2) in Theorem 1.1].","Potential developments includes the endpoint Schatten–Lorentz class estimates for commutators

[Rℓ, M f ], where Rℓ is the ℓ−th Riesz transforms on H-type groups or stratiﬁed Lie groups, which will be addressed in

our subsequent papers.",2022-01-28 03:03:38+00:00,Endpoint weak Schatten class estimates and trace formula for commutators of Riesz transforms with multipliers on Heisenberg groups,math.FA,"['math.FA', '47B10, 42B20, 43A85']","[arxiv.Result.Author('Zhijie Fan'), arxiv.Result.Author('Ji Li'), arxiv.Result.Author('Edward McDonald'), arxiv.Result.Author('Fedor Sukochev'), arxiv.Result.Author('Dmitriy Zanin')]","Along the line of singular value estimates for commutators by
Rochberg-Semmes, Lord-McDonald-Sukochev-Zanin and Fan-Lacey-Li, we establish
the endpoint weak Schatten class estimate for commutators of Riesz transforms
with multiplication operator $M_f$ on Heisenberg groups via homogeneous Sobolev
norm of the symbol $f$. The new tool we exploit is the construction of a
singular trace formula on Heisenberg groups, which, together with the use of
double operator integrals, allows us to bypass the use of Fourier analysis and
provides a solid foundation to investigate the singular values estimates for
similar commutators in general stratified Lie groups."
1184,"We highlight that the new approach that we develop opens the door for further study of the endpoint Schatten–

Lorentz class estimates of commutators [A, M f ] in various settings where Fourier analysis is not available (or not as
eﬀective as that in Rn).","For

example, following from [37, Corollary 1.5], one can apply the trace formula (1.2) to give an alternative proof of [22,

(2) in Theorem 1.1].","Potential developments includes the endpoint Schatten–Lorentz class estimates for commutators

[Rℓ, M f ], where Rℓ is the ℓ−th Riesz transforms on H-type groups or stratiﬁed Lie groups, which will be addressed in

our subsequent papers.",2022-01-28 03:03:38+00:00,Endpoint weak Schatten class estimates and trace formula for commutators of Riesz transforms with multipliers on Heisenberg groups,math.FA,"['math.FA', '47B10, 42B20, 43A85']","[arxiv.Result.Author('Zhijie Fan'), arxiv.Result.Author('Ji Li'), arxiv.Result.Author('Edward McDonald'), arxiv.Result.Author('Fedor Sukochev'), arxiv.Result.Author('Dmitriy Zanin')]","Along the line of singular value estimates for commutators by
Rochberg-Semmes, Lord-McDonald-Sukochev-Zanin and Fan-Lacey-Li, we establish
the endpoint weak Schatten class estimate for commutators of Riesz transforms
with multiplication operator $M_f$ on Heisenberg groups via homogeneous Sobolev
norm of the symbol $f$. The new tool we exploit is the construction of a
singular trace formula on Heisenberg groups, which, together with the use of
double operator integrals, allows us to bypass the use of Fourier analysis and
provides a solid foundation to investigate the singular values estimates for
similar commutators in general stratified Lie groups."
1381,"The
wide applicability of the path signature suggests further study into how the mapping
space signature can provide meaningful generalizations in these two domains.","The path signature has recently become a powerful tool in both pure mathematics,
primarily through the development of rough paths [25], and applied mathematics.","• Can we use the mapping space signature to deﬁne a higher dimensional ana-
  logue of rough paths?",2022-02-01 15:41:50+00:00,A Topological Approach to Mapping Space Signatures,math.FA,"['math.FA', 'math.AT', 'math.PR', '60L10, 55U15, 28C20']","[arxiv.Result.Author('Chad Giusti'), arxiv.Result.Author('Darrick Lee'), arxiv.Result.Author('Vidit Nanda'), arxiv.Result.Author('Harald Oberhauser')]","A common approach for describing classes of functions and probability
measures on a topological space $\mathcal{X}$ is to construct a suitable map
$\Phi$ from $\mathcal{X}$ into a vector space, where linear methods can be
applied to address both problems. The case where $\mathcal{X}$ is a space of
paths $[0,1] \to \mathbb{R}^n$ and $\Phi$ is the path signature map has
received much attention in stochastic analysis and related fields. In this
article we develop a generalized $\Phi$ for the case where $\mathcal{X}$ is a
space of maps $[0,1]^d \to \mathbb{R}^n$ for any $d \in \mathbb{N}$, and show
that the map $\Phi$ generalizes many of the desirable algebraic and analytic
properties of the path signature to $d \ge 2$. The key ingredient to our
approach is topological; in particular, our starting point is a generalisation
of K-T Chen's path space cochain construction to the setting of cubical mapping
spaces."
1517,We conclude with questions for further research in Section 7.,"In Sections 5 and 6, respectively, we complete our
characterization work, handling, in Section 5 the case where ϕ has Denjoy-Wolﬀ point in D and its second
ﬁxed point outside of D− and then in Section 6 the case where ϕ has Denjoy-Wolﬀ point in D and its second
ﬁxed point on the unit circle.","The most challenging ﬁxed-point scenario for our characterization work is that of Section 5, in which
ϕ is assumed to have Denjoy-Wolﬀ point in D and its second ﬁxed point outside of D−.",2022-02-03 21:25:37+00:00,Posinormal Composition Operators on $H^2$,math.FA,"['math.FA', '47B20, 47B33 (Primary) 47B35 (Secondary)']","[arxiv.Result.Author('Paul S. Bourdon'), arxiv.Result.Author('Derek Thompson')]","A bounded linear operator $A$ on a Hilbert space is posinormal if there
exists a positive operator $P$ such that $AA^{*} = A^{*}PA$. Posinormality of
$A$ is equivalent to the inclusion of the range of $A$ in the range of its
adjoint $A^*$. Every hyponormal operator is posinormal, as is every invertible
operator. We characterize both the posinormal and coposinormal composition
operators $C_\varphi$ on the Hardy space $H^2$ of the open unit disk
$\mathbb{D}$ when $\varphi$ is a linear-fractional selfmap of $\mathbb{D}$. Our
work reveals that there are composition operators that are both posinormal and
coposinormal yet have powers that fail to be posinormal."
1666,"t↓0 t

However, it is not clear that Wigner, Yanase or even Dyson conjectured anything about concav-

ity or convexity in these cases, and Wigner and Yanase wrote that these other candidates have

“undesirable” features, and appear to have been dismissive of their further study.","They also remark that Freeman
                                                 2

Dyson pointed out that these cases fell into a one parameter family of candidates

                                        − 1 Tr[[ρt, H][ρ1−t, H]] ,                                                    (2.19)
                                           2

0 < t ≤ 1/2 since           Tr[[log ρ, H][ρ, H]] = lim 1 Tr[[log ρ, H][ρ, H]] .","Nonetheless, Res Jost gave a partially alternate proof [41] of the theorem of Wigner and Yanase

that was written during a visit he made to the I.A.S.",2022-02-08 01:32:53+00:00,On some convexity and monotonicity inequalities of Elliott Lieb,math.FA,"['math.FA', '46N50, 47A63, 81P45']",[arxiv.Result.Author('Eric A. Carlen')],"A fundamental paper of Elliott Lieb from 1973 has been the basis for much
beautiful work on matrix inequalities by many people over the following years.
We review a well-connected set of these developments. Some new proofs are
provided."
1667,"t↓0 t

However, it is not clear that Wigner, Yanase or even Dyson conjectured anything about concav-

ity or convexity in these cases, and Wigner and Yanase wrote that these other candidates have

“undesirable” features, and appear to have been dismissive of their further study.","They also remark that Freeman
                                                 2

Dyson pointed out that these cases fell into a one parameter family of candidates

                                        − 1 Tr[[ρt, H][ρ1−t, H]] ,                                                    (2.19)
                                           2

0 < t ≤ 1/2 since           Tr[[log ρ, H][ρ, H]] = lim 1 Tr[[log ρ, H][ρ, H]] .","Nonetheless, Res Jost gave a partially alternate proof [46] of the theorem of Wigner and Yanase

that was written during a visit he made to the I.A.S.",2022-02-08 01:32:53+00:00,On some convexity and monotonicity inequalities of Elliott Lieb,math.FA,"['math.FA', '46N50, 47A63, 81P45']",[arxiv.Result.Author('Eric A. Carlen')],"A fundamental paper of Elliott Lieb from 1973 has been the basis for much
beautiful work on matrix inequalities by many people over the following years.
We review a well-connected set of these developments. Some new proofs are
provided."
1668,"t↓0 t

However, it is not clear that Wigner, Yanase or even Dyson conjectured anything about concav-

ity or convexity in these cases, and Wigner and Yanase wrote that these other candidates have

“undesirable” features, and appear to have been dismissive of their further study.","They also remark that Freeman
                                                 2

Dyson pointed out that these cases fell into a one parameter family of candidates

                                        − 1 Tr[[ρt, H][ρ1−t, H]] ,                                                    (2.19)
                                           2

0 < t ≤ 1/2 since           Tr[[log ρ, H][ρ, H]] = lim 1 Tr[[ρt, H][ρ1−t, H]] .","Nonetheless, Res Jost gave a partially alternate proof [47] of the theorem of Wigner and Yanase

that was written during a visit he made to the I.A.S.",2022-02-08 01:32:53+00:00,On some convexity and monotonicity inequalities of Elliott Lieb,math.FA,"['math.FA', '46N50, 47A63, 81P45']",[arxiv.Result.Author('Eric A. Carlen')],"A fundamental paper of Elliott Lieb from 1973 has been the basis for much
beautiful work on matrix inequalities by many people over the following years.
We review a well-connected set of these developments. Some new proofs are
provided."
1669,"↓0

However, it is not clear that Wigner, Yanase or even Dyson conjectured anything about
concavity or convexity in these cases, and Wigner and Yanase wrote that these other
candidates have “undesirable” features, and appear to have been dismissive of their
further study.","They also remark that Freeman Dyson pointed out that these cases fell into a one

parameter family of candidates

                                   − 1 Tr[[ , ] [ 1− , ]] ,             (1.2.19)
                                      2

0 < ≤ 1/2 since
                   Tr[[log , ] [ , ]] = lim 1 Tr[[ , ] [ 1− , ]] .","Nonetheless, Res Jost gave a partially alternate proof [51] of the theorem of
Wigner and Yanase that was written during a visit he made to the I.A.S.",2022-02-08 01:32:53+00:00,On some convexity and monotonicity inequalities of Elliott Lieb,math.FA,"['math.FA', '46N50, 47A63, 81P45']",[arxiv.Result.Author('Eric A. Carlen')],"A fundamental paper of Elliott Lieb from 1973 has been the basis for much
beautiful work on matrix inequalities by many people over the following years.
We review a well-connected set of these developments. Some new proofs are
provided."
1801,"Conclusion

   This new concept should hopefully stimulate further research as re-
gards many already known results which involve classical powers of
operators.",3.,"One is also tempted to deﬁne a similar notion for the class of un-
bounded operators.",2022-02-10 12:57:11+00:00,On Generalized Powers of Operators,math.FA,['math.FA'],"[arxiv.Result.Author('Ahmed Bachir'), arxiv.Result.Author('Mohammed Hichem Mortad'), arxiv.Result.Author('Nawal Ali Sayyaf')]","In this note, we introduce generalized powers of linear operators. More
precisely, operators are not raised to numbers but to other operators. We
discuss several properties as regards this notion."
