,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
4382,"By
further researches of the classical Mo¨bius gyrogroups, Einstein gyrogroups, and Proper Velocity gyrogroups,
Bao and Lin [8] found that each of them has an open neighborhood base at the identity element 0 such
that all elements of the base are invariant under the groupoid automorphisms with standard topology.","Shortly afterwards,
Cai, Lin and He in [19] proved that every topological gyrogroup is a rectiﬁable space, which implies that the
equivalence between the axioms of ﬁrst-countable and metrizability in a Hausdorﬀ topological gyrogroup.","Therefore, they posed the concept of strongly topological gyrogroups and showed that every feathered
strongly topological gyrogroup is paracompact.",2022-04-05 09:44:30+00:00,Quotient spaces with strong subgyrogroups,math.GN,"['math.GN', '22A22, 54A20, 20N05, 18A32, 20B30']","[arxiv.Result.Author('Meng Bao'), arxiv.Result.Author('Xuewei Ling'), arxiv.Result.Author('Xiaoquan Xu')]","In this paper, we mainly investigate the quotient spaces G/H when G is a
strongly topological gyrogroup and H is a strong subgyrogroup of G. It is shown
that if G is a strongly topological gyrogroup, H is a closed strong
subgyrogroup of G and H is inner neutral, then the quotient space G/H is
first-countable if and only if G/H is a bisequential space if and only if G/H
is a weakly first-countable space if and only if G/H is a csf-countable and
sequential a7-space. Moreover, it is shown that if H is a locally compact
metrizable strong subgyrogroup of G and the quotient space G/H is sequential,
then G is also sequential; if H is a closed first-countable and separable
strong subgyrogroup of G, the quotient space G/H is a cosmic space, then G is
also a cosmic space; if the quotient space G/H has a star-countable cs-network
or star-countable wcs*-network, then G also has a star-countable cs-network or
star-countable wcs*-network, respectively."
4467,"In
the Appendix at the end of the paper, we will begin investigating meager composants of
homogeneous continua, and pose some questions for further research

                                   2.",We suspect that most of these statements are also true in the context of homogeneity.,"Definitions and basic notions

   A continuum X is tree-like if for every ε > 0 there is an acyclic graph T (a tree) and
a mapping f : X → T such that diam(f −1{t}) < ε for each t ∈ T .",2022-04-06 14:52:39+00:00,Meager composants of tree-like continua,math.GN,"['math.GN', '54F15, 54F50, 54H15']",[arxiv.Result.Author('David S. Lipham')],"A subset $M$ of a continuum $X$ is called a \textit{meager composant} if $M$
is maximal with respect to the property that every two of its points are
contained in a nowhere dense subcontinuum of $X$. Motivated by questions of
Bellamy, Mouron and Ordo\~{n}ez, we show that no tree-like continuum has a
proper open meager composant, and that every tree-like continuum has either $1$
or $2^{\aleph_0}$ meager composants. We also prove a decomposition theorem: If
$X$ is tree-like and every indecomposable subcontinuum of $X$ is nowhere dense,
then the partition of $X$ into meager composants is upper semi-continuous and
the space of meager composants is a dendrite."
4942,"I hope that his scientiﬁc ideas will be
continued in further research by mathematicians working in this ﬁeld.","It was
a great honor for me to work together.","References

[BeLe] Beer G. and Levi S., Strong uniform continuity, J.",2022-04-17 06:26:16+00:00,"Spaces of Real Functions, Covers and Dense Subsets",math.GN,['math.GN'],"[arxiv.Result.Author('Lev Bukovský'), arxiv.Result.Author('Alexander V. Osipov')]","In paper we study relationships between covering properties of a topological
space $X$ and the space $(USC^*(X),\tau_{\mathcal{B}})$ of bounded upper
semicontinuous functions on $X$ with the topology $\tau_{\mathcal{B}}$ defined
by the bornology $\mathcal{B}$ on $X$. We present characterizations of various
local properties of $(USC^*(X),\tau_{\mathcal{B}})$ in terms of selection
principles related to bornological covers of $X$. We also investigate
topological properties of sequences of upper dense and upper sequentially dense
subsets of $(USC^*(X),\tau_{\mathcal{B}})$."
5341,"Indeed, for further study on Mo¨bius gyrogroups, Bao and Lin posed the concept of strongly
                                          topological gyrogroups and showed that a strongly topological gyrogroup G is feathered if and only if it

                                              ⋆This research was supported by the National Natural Science Foundation of China (Nos.","Moreover, we mainly research some weakly ﬁrst-countable properties in feathered strongly topological gy-
                                          rogroups.","12071199, 11661057), the Natural
                                          Science Foundation of Jiangxi Province, China (No.",2022-04-26 14:16:01+00:00,A supplement on feathered gyrogroups,math.GN,"['math.GN', '22A22, 54A20, 20N05, 18A32']","[arxiv.Result.Author('Meng Bao'), arxiv.Result.Author('Xuewei Ling'), arxiv.Result.Author('Xiaoquan Xu')]","A topological gyrogroup is a gyrogroup endowed with a topology such that the
binary operation is jointly continuous and the inverse mapping is also
continuous. It is shown that each compact subset of a topological gyrogroup
with an $\omega^{\omega}$-base is metrizable, which deduces that if $G$ is a
topological gyrogroup with an $\omega^{\omega}$-base and is a $k$-space, then
it is sequential. Moreover, for a feathered strongly topological gyrogroup $G$,
based on the characterization of feathered strongly topological gyrogroups, we
show that if $G$ has countable $cs^{*}$-character, then it is metrizable; and
it is also shown that $G$ has a compact resolution swallowing the compact sets
if and only if $G$ contains a compact $L$-subgyrogroup $H$ such that the
quotient space $G/H$ is a Polish space."
5342,"Indeed, for further study on Mo¨bius gyrogroups, Bao and Lin posed the concept of strongly
                                         topological gyrogroups and showed that a strongly topological gyrogroup G is feathered if and only if it

                                             ⋆This research was supported by the National Natural Science Foundation of China (Nos.","Moreover, we mainly research some weakly ﬁrst-countable properties in feathered strongly topological gy-
                                         rogroups.","12071199, 11661057), the Natural
                                         Science Foundation of Jiangxi Province, China (No.",2022-04-26 14:16:01+00:00,A supplement on feathered gyrogroups,math.GN,"['math.GN', '22A22, 54A20, 20N05, 18A32']","[arxiv.Result.Author('Meng Bao'), arxiv.Result.Author('Xuewei Ling'), arxiv.Result.Author('Xiaoquan Xu')]","A topological gyrogroup is a gyrogroup endowed with a topology such that the
binary operation is jointly continuous and the inverse mapping is also
continuous. It is shown that each compact subset of a topological gyrogroup
with an $\omega^{\omega}$-base is metrizable, which deduces that if $G$ is a
topological gyrogroup with an $\omega^{\omega}$-base and is a $k$-space, then
it is sequential. Moreover, for a feathered strongly topological gyrogroup $G$,
based on the characterization of feathered strongly topological gyrogroups, we
show that if $G$ has countable $cs^{*}$-character, then it is metrizable; and
it is also shown that $G$ has a compact resolution swallowing the compact sets
if and only if $G$ contains a compact $L$-subgyrogroup $H$ such that the
quotient space $G/H$ is a Polish space."
5686,"By the further research of R-factorizable topological groups, L. Peng and Y. Liu introduced the concept
                                         of P R-factorizable topological groups, that is, a topological group G is called P R-factorizable if for every

                                             ⋆This research was supported by the National Natural Science Foundation of China (Nos.","Moreover, it was proved in [10, Theorem 3.2] that a topological group is R-factorizable if
                                         and only if it is M-factorazible and ω-narrow.","12071199, 11661057), the Natural
                                         Science Foundation of Jiangxi Province, China (No.",2022-05-03 14:06:46+00:00,On $P\mathcal{M}$-factorizable topological groups,math.GN,"['math.GN', '22A05, 54A25, 54H11']","[arxiv.Result.Author('Meng Bao'), arxiv.Result.Author('Xiaoqun Xu')]","A topological group $G$ is called $P\mathcal{M}$-factorizable if for every
continuous real-valued function $f$ on $G$, there exists a perfect homomorphism
$\pi :G\rightarrow H$ onto a metrizable topological group $H$ such that
$f=g\circ \pi$, for some continuous real-valued function $g$ on $H$. It is
proved that a topological group is $P\mathcal{M}$-factorizable if and only if
it is feathered $\mathcal{M}$-factorizable, and a topological group is
$P\mathbb{R}$-factorizable if and only if it is $P\mathcal{M}$-factorizable and
$\omega$-narrow. The two results deduce that a topological group $G$ is
$P\mathbb{R}$-factorizable if and only if $G$ is feathered
$\mathbb{R}$-factorizable. Moreover, some properties about products of
$P\mathcal{M}$-factorizable topological groups are investigated. In particular,
some interesting properties of $\mathcal{M}$-factorizable topological groups in
[8, 10] are strengthened to $P\mathcal{M}$-factorizable topological groups."
5687,"By further researches of R-factorizable topological groups, L. Peng and Y. Liu introduced the concept
                                          of P R-factorizable topological groups, that is, a topological group G is called P R-factorizable if for every
                                          continuous real-valued function f on G, there exists a perfect homomorphism π : G → H onto a second-
                                          countable topological group H such that f = g ◦ π, for some continuous real-valued function g on H.
                                          They gave the characterizations of P R-factorizable topological groups in [3, Theorem 2.6].","Moreover, it was proved in [10, Theorem 3.2] that a topological group is R-factorizable if
                                          and only if it is M-factorazible and ω-narrow.","In particular,

                                              ⋆This research was supported by the National Natural Science Foundation of China (Nos.",2022-05-03 14:06:46+00:00,On some kinds of factorizable topological groups,math.GN,"['math.GN', '22A05, 54A25, 54H11']","[arxiv.Result.Author('Meng Bao'), arxiv.Result.Author('Xiaoquan Xu')]","Based on the concepts of $\mathbb{R}$-factorizable topological groups and
$\mathcal{M}$-factorizable topological groups, we introduce four classes of
factorizabilities on topological groups, named
$P\mathcal{M}$-factorizabilities, $Pm$-factorizabilities,
$S\mathcal{M}$-factorizabilities and $PS\mathcal{M}$-factorizabilities,
respectively. Some properties of the four classes of spaces are investigated."
12149,"This result makes available a sound
basis for further research concerning spaces of GENEOs, and paves the way
for possible applications of the theory.","5 Discussion

In this paper, we have shown that when the spaces of measurements are totally
bounded and large enough to ensure that any two points can be distinguished
by our measurements, we can always assume that we are considering compact
perception pairs and compact spaces of GENEOs, provided that the set of
our operators is collectionwise surjective.","Of course, the computation costs might be higher while working with com-
pactiﬁcations, but that should not be considered to be a drawback.",2022-10-08 14:59:00+00:00,Compactification of Perception Pairs and Spaces of Group Equivariant non-Expansive Operators,math.GN,"['math.GN', 'math.AT', 'Primary: 55N31, Secondary: 46E10, 68T09']",[arxiv.Result.Author('Faraz Ahmad')],"We define the notions of a compact perception pair, compactification of a
perception pair, and compactification of a space of group equivariant
non-expansive operators. We prove that every perception pair with totally
bounded space of measurements, which is also rich enough to endow the common
domain with a metric structure, can be isometrically embedded in a compact
perception pair. Likewise, we prove that if the images of group equivariant
non-expansive operators in a given space form a cover for their common
codomain, then the space of such operators can be isometrically embedded in a
compact space of group equivariant non-expansive operators, such that the new
reference perception pairs are compactifications of the original ones having
totally bounded data sets. Meanwhile, we state some compatibility conditions
for these embeddings and show that they too are satisfied by our constructions."
13904,"We begin with a
lemma which is crucial for further study.",We now give a counterexample for their problem.,"Lemma 4.1 If X is a well-ﬁltered space and Q(X) endowed with the upper Vietoris topology is ﬁrst-
countable, then (Q(X), ⊇) has one-step closure.",2022-11-18 09:07:26+00:00,"One-step closure, weak one-step closure and meet continuity",math.GN,['math.GN'],"[arxiv.Result.Author('Hualin Miao'), arxiv.Result.Author('Qingguo Li'), arxiv.Result.Author('Dongsheng Zhao')]","This paper studies the weak one-step closure and one-step closure properties
concerning the structure of Scott closures. We deduce that every
quasicontinuous domain has weak one-step closure and show that a
quasicontinuous poset need not have weak one-step closure. We also constructed
a non-continuous poset with one-step closure, which gives a negative answer to
an open problem posed by Zou et al.. Finally, we investigate the relationship
between weak one-step closure property and one-step closure property and prove
that a poset has one-step closure if and only if it is meet continuous and has
weak one-step closure."
14533,"To further study Question 5 we introduce, in this paper, a new class
of almost disjoint families which we call ﬁn-intersecting.","It is unknown whether
it is consistent to exist a non pseudocompact MAD family of size ω1.","Fin-intersecting
MAD families are pseudocompact.",2022-12-02 23:18:21+00:00,Fin-intersecting MAD families,math.GN,['math.GN'],"[arxiv.Result.Author('Cesar Corral'), arxiv.Result.Author('Vinicius de O. Rodrigues')]","We introduce a new class of almost disjoint families which we call
fin-intersecting almost disjoint families. They are related to almost disjoint
families whose Vietoris Hyperspace of their Isbell-Mr\'owka spaces are
pseudocompact. We show that under $\mathfrak p=\mathfrak c$ fin-intersecting
MAD families exist generically and they also exist if $\mathfrak{a<s}$, but
that there are also non fin-intersecting MAD families in ZFC. We also show that
under CH, there exists fin intersecting MAD families which remain like that
after adding an arbitrary quantity of Cohen reals and Random reals. These
results give more models in which pseudocompact MAD families exist."
