,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
5,"Once again obtaining bounded models in our

more general setting requires to work only with SV(V, q) and some additional
assumptions, so we leave its investigation for further research.","The Cayley

transform yields a ball model, and conjugating the special paravector Vahlen
group by an appropriate element of C(VU,F, qU,F)×+ yields the group denoted by
SD(V, q) in Section 5 of [EGM].","We conclude by remarking that the Vahlen and paravector Vahlen groups
were deﬁned in [Mc] over more general commutative rings.",2021-12-31 20:50:50+00:00,Generalized Hyperbolic Spaces Associated with Arbitrary Quadratic Forms,math.GR,"['math.GR', '15A66, 15A63']",[arxiv.Result.Author('Shaul Zemel')],"The Vahlen group gives a way for presenting the hyperbolic space of every
dimension of a group acting via M\""{o}bius transformations. As Vahlen groups
and paravector Vahlen groups are now defined over any field of characteristic
different from 2, we establish analogous spaces on which they operate
transitively as M\""{o}bius transformations, by defining appropriate boundary
components that must be added in case the denominator in the M\""{o}bius
transformation formula vanishes."
772,"S o m e p ro b l e m s a n d q u e s t i o n s

In this ﬁnal section we outline some open problems and questions, hoping thereby to
stimulate further research on this topic.",4.,The only instances of classes X for which Theorem I holds universally (i.e.,2022-01-19 10:09:10+00:00,Subgroup congruences for groups of prime power order,math.GR,['math.GR'],"[arxiv.Result.Author('Stefanos Aivazidis'), arxiv.Result.Author('Maria Loukaki')]","Given a $p$-group $G$ and a subgroup-closed class $\mathfrak{X}$, we
associate with each $\mathfrak{X}$-subgroup $H$ certain quantities which count
$\mathfrak{X}$-subgroups containing $H$ subject to further properties. We show
in Theorem I that each one of the said quantities is always $\equiv 1 \pmod p$
if and only if the same holds for the others. In Theorem II we supplement the
above result by focusing on normal $\mathfrak{X}$-subgroups and in Theorem III
we obtain a sharpened version of a celebrated theorem of Burnside relative to
the class of abelian groups of bounded exponent. Various other corollaries are
also presented."
844,"In
this section we introduce some of the notions that will allow us to further study such subgroups
in Section 3 and Section 4.",We now come to a ﬁrst study of the dihedral Artin subgroups of a large-type Artin group AΓ.,Deﬁnition 2.21.,2022-01-20 17:52:26+00:00,Rigidity and automorphisms of large-type Artin groups,math.GR,"['math.GR', '20F65, 20F36, 20F28']",[arxiv.Result.Author('Nicolas Vaskou')],"In this paper we study the automorphisms of large-type Artin groups. In
particular, we solve the isomorphism problem for large-type free-of-infinity
Artin groups, and we compute completely the automorphism group and the outer
automorphism group of these Artin groups. We also give strong rigidity results
about the isomorphisms of all large-type Artin groups.
  Our strategy is geometric and involves reconstructing the Deligne complex in
a purely algebraic manner. In particular, we show that the Deligne complexes
associated with isomorphic large-type free-of-infinity Artin groups are
combinatorially isomorphic. Finally, we give a complete and explicit
description of all the dihedral Artin subgroups of large-type Artin groups."
1541,"I hope to convince
                                         the reader that this construction is an intriguing source of groups that merits further study.","B(Σ, µ) is constructed from the binary expansions of the elements of σi.","An important feature of the groups B(Σ, µ) is that they require strikingly few generators:
                                         see Corollaries 1.3 and 1.4.",2022-02-04 13:27:46+00:00,Binary Subgroups of Direct Products,math.GR,"['math.GR', '20F05, 20J05']",[arxiv.Result.Author('Martin R. Bridson')],"We explore an elementary construction that produces finitely presented groups
with diverse homological finiteness properties -- the {\em binary subgroups},
$B(\Sigma,\mu)<G_1\times\dots\times G_m$. These full subdirect products require
strikingly few generators. If each $G_i$ is finitely presented, $B(\Sigma,\mu)$
is finitely presented. When the $G_i$ are non-abelian limit groups (e.g. free
or surface groups), the $B(\Sigma,\mu)$ provide new examples of finitely
presented, residually-free groups that do not have finite classifying spaces
but are not of Stallings-Bieri type. We answer a question of Minasyan relating
different notions of rank for residually-free groups. And we prove that if
$G_1,\dots,G_m$ are perfect groups, each requiring at most $r$ generators, then
$G_1\times\dots\times G_m$ requires at most $r \lfloor \log_2 m+1 \rfloor$
generators."
1542,"I hope to convince the reader that this construction is an intriguing source
                                          of groups that merits further study.","B(Σ, µ) is constructed from the binary expansions of the
                                          elements of σi.","An important feature of the groups B(Σ, µ) is that they require strikingly few generators:
                                          see Corollaries 1.3 and 1.4.",2022-02-04 13:27:46+00:00,Binary Subgroups of Direct Products,math.GR,"['math.GR', '20F05, 20J05']",[arxiv.Result.Author('Martin R. Bridson')],"We explore an elementary construction that produces finitely presented groups
with diverse homological finiteness properties -- the {\em binary subgroups},
$B(\Sigma,\mu)<G_1\times\dots\times G_m$. These full subdirect products require
strikingly few generators. If each $G_i$ is finitely presented, $B(\Sigma,\mu)$
is finitely presented. When the $G_i$ are non-abelian limit groups (e.g. free
or surface groups), the $B(\Sigma,\mu)$ provide new examples of finitely
presented, residually-free groups that do not have finite classifying spaces
and are not of Stallings-Bieri type. These examples settle a question of
Minasyan relating different notions of rank for residually-free groups. Using
binary subgroups, we prove that if $G_1,\dots,G_m$ are perfect groups, each
requiring at most $r$ generators, then $G_1\times\dots\times G_m$ requires at
most $r \lfloor \log_2 m+1 \rfloor$ generators."
1933,"We believe that either version of it could be intriguing and useful in
further research in the ergodic theory of group actions.","The forthcoming paper [21] will describes the relation between the construction developed here and
the measure theoretic one.","2 Preliminaries

2.1 G-spaces and Radon-Nikodym factor

Throughout this paper, G is a discrete countable group.",2022-02-14 10:54:01+00:00,"Entropy, Ultralimits and the Poisson boundary",math.GR,"['math.GR', 'math.DS', '22F10, 20F65, 28D20, 31C05, 94A17, 82C41, 60G10, 60J50, 46B08, 46M07']","[arxiv.Result.Author('Elad Sayag'), arxiv.Result.Author('Yehuda Shalom')]","In this paper we introduce for a group $G$ the notion of ultralimit of
measure class preserving actions of it, and show that its Poisson boundaries
can be obtained as an ultralimit of actions on itself, when equipped with
appropriately chosen measures. We use this result in embarking on a systematic
quantitative study of the basic question how close to invariant can one find
measures on a $G$-space, particularly for the action of the group on itself. As
applications we show:
  (1) On amenable groups there are always ""almost invariant measures"" with
respect to the information theoretic Kullback-Leibler divergence (and more
generally, any $f$-divergence).
  (2) For a free group $F$ and a symmetric measure $\lambda$ supported on its
generators, one can compute explicitly the infimum over all measures $\eta$ on
$F$ of the Furstenberg entropy $h_{\lambda}(F,\eta)$.
  Somewhat surprisingly, while in the case of the uniform measure on the
generators, the value in (2) is the same as the Furstenberg entropy of the
Poisson boundary of the same measure $\lambda$, in general it is the
Furstenberg entropy of the Poisson boundary of a measure on $F$ different from
$\lambda$. The proof of (1) makes the use of the existence of measures with
trivial boundary."
2596,"Some ideas for further research are outlined in the following
paragraphs.","For sure there are a lot of problems related to graph theory that were not dis-
cussed in our paper.",Open problem.,2022-02-28 20:17:14+00:00,A graph related to the sum of element orders of a finite group,math.GR,['math.GR'],[arxiv.Result.Author('Mihai-Silviu Lazorec')],"A finite group is called $\psi$-divisible iff $\psi(H)|\psi(G)$ for any
subgroup $H$ of a finite group $G$. Here, $\psi(G)$ is the sum of element
orders of $G$. For now, the only known examples of such groups are the cyclic
ones of square-free order. The existence of non-abelian $\psi$-divisible groups
still constitutes an open question. The aim of this paper is to make a
connection between the $\psi$-divisibility property and graph theory. Hence,
for a finite group $G$, we introduce a simple undirected graph called the
$\psi$-divisibility graph of $G$. We denote it by $\psi_G$. Its vertices are
the non-trivial subgroups of $G$, while two distinct vertices $H$ and $K$ are
adjacent iff $H\subset K$ and $\psi(H)|\psi(K)$ or $K\subset H$ and
$\psi(K)|\psi(H)$. We prove that $G$ is $\psi$-divisible iff $\psi_G$ has a
universal (dominating) vertex. Also, we study various properties of $\psi_G$,
when $G$ is a finite cyclic group. The choice of restricting our study to this
specific class of groups is motivated in the paper."
2925,"The goal of the present paper is to further study how the structure of a group is inﬂuenced by
                                         its ICΦ-subgroups.","([12, Theorem 1.3]) Let p be a prime dividing the order of a group G, and let
                                         P be a Sylow p-subgroup of G. Suppose that there is a subgroup D of P with 1 < |D| ≤ |P |
                                         such that any subgroup of P with order |D| is an ICΦ-subgroup of G. If |D| = 2 and |P | ≥ 8,
                                         assume moreover that any cyclic subgroup of P with order 4 is an ICΦ-subgroup of G. Then G
                                         is p-nilpotent.","Our results show, together with [5] and [12], that one often gets very rich
                                         information about a group when some of its subgroups are assumed to be ICΦ-subgroups.",2022-03-07 14:23:22+00:00,On finite groups with given $ICΦ$-subgroups,math.GR,['math.GR'],[arxiv.Result.Author('Julian Kaspczyk')],"A subgroup $H$ of a group $G$ is said to be an $IC\Phi$-subgroup of $G$ if $H
\cap [H,G] \le \Phi(H)$. We analyze the structure of a finite group $G$ under
the assumption that some given subgroups of $G$ are $IC\Phi$-subgroups of $G$.
A new characterization of finite abelian groups and some new criteria for
$2$-nilpotence and nilpotence of finite groups will be obtained. Moreover, we
will obtain two criteria for a finite group to lie in a given solvably
saturated formation containing the class of finite supersolvable groups."
3389,We see this text as an invitation and a stepping stone for further research.,"These include: number
theory; the study of bi-invariant metrics on groups; quasimorphisms and stable commutator length;
Out(𝐹𝑛); topological group actions.","Version 0.2

                                                             iii
iv
Contents

1 Introduction                                    1

1.1 Background and Motivation .",2022-03-16 12:43:18+00:00,An Invitation to Coarse Groups,math.GR,"['math.GR', 'math.CT', 'math.MG', 'Primary: 18C40, 20-02, 20A99, 20F65, 20N99, 51F30. Secondary: 11Z05,\n  11B99, 20E36, 20E99, 20F12, 20J15, 22A99, 22F05, 22F50, 46B28']","[arxiv.Result.Author('Arielle Leitner'), arxiv.Result.Author('Federico Vigolo')]","In this monograph we lay the foundation for a theory of coarse groups and
coarse actions. Coarse groups are group objects in the category of coarse
spaces, and can be thought of as sets with operations that satisfy the group
axioms ""up to uniformly bounded error"". In the first part of this work, we
develop the theory of coarse homomorphisms, quotients, and subgroups, and prove
that coarse versions of the Isomorphism Theorems hold true. We also initiate
the study of coarse actions and show how they relate to the fundamental
observation of Geometric Group Theory.
  In the second part we explore a selection of specialized topics, such as the
study of coarse group structures on set-groups, groups of coarse automorphisms
and spaces of controlled maps. Here the main aim is to show how the theory of
coarse groups connects with classical subjects. These include: number theory;
the study of bi\=/invariant metrics on groups; quasimorphisms and stable
commutator length; ${\rm Out}(F_n)$; topological group actions."
3390,"Rather than as a complete treatment, we see this part of the manuscript as an invitation to
further research.","All the
topics we considered led us towards all sorts of interesting mathematics: more than we could hope to do
ourselves.","We should point out that, despite being inspired by the categorical perspective, we decided to avoid
making heavy use of the categorical language in the main body of this text.",2022-03-16 12:43:18+00:00,An Invitation to Coarse Groups,math.GR,"['math.GR', 'math.CT', 'math.MG', 'Primary: 18C40, 20-02, 20A99, 20F65, 20N99, 51F30. Secondary: 11Z05,\n  11B99, 20E36, 20E99, 20F12, 20J15, 22A99, 22F05, 22F50, 46B28']","[arxiv.Result.Author('Arielle Leitner'), arxiv.Result.Author('Federico Vigolo')]","In this monograph we lay the foundation for a theory of coarse groups and
coarse actions. Coarse groups are group objects in the category of coarse
spaces, and can be thought of as sets with operations that satisfy the group
axioms ""up to uniformly bounded error"". In the first part of this work, we
develop the theory of coarse homomorphisms, quotients, and subgroups, and prove
that coarse versions of the Isomorphism Theorems hold true. We also initiate
the study of coarse actions and show how they relate to the fundamental
observation of Geometric Group Theory.
  In the second part we explore a selection of specialized topics, such as the
study of coarse group structures on set-groups, groups of coarse automorphisms
and spaces of controlled maps. Here the main aim is to show how the theory of
coarse groups connects with classical subjects. These include: number theory;
the study of bi\=/invariant metrics on groups; quasimorphisms and stable
commutator length; ${\rm Out}(F_n)$; topological group actions."
