,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
2300,"The work of Heppes
inspired further research.","Using appropriate weights he could prove, besides the incircles
of the tiling (4, 4, 8), the solidity of several other packings.","Weighted density of packings has also been studied for
its own sake (see Ha´rs [1990, 1992]).",2022-02-22 10:35:03+00:00,Ball packings in hyperbolic space,math.MG,['math.MG'],"[arxiv.Result.Author('Gábor Fejes Tóth'), arxiv.Result.Author('Lázló Fejes Tóth'), arxiv.Result.Author('Włodzimierz. Kuperberg')]","In hyperbolic space density cannot be defined by a limit as we define it in
Euclidean space. We describe the local density bounds for sphere packings and
we discuss the different attempts to define optimal arrangements in hyperbolic
space."
2357,"Their work inspired further research, which led to more constructive lower bounds

for the packing density of special classes of convex bodies, approaching, and in some

cases also improving the Minkowski-Hlawka bound.","A systematic study of constructions of ball pack-

ings based on error-correcting codes was initiated by Leech and Sloane [1975].","Let Bpn denote the n-dimensional unit superball, that is, the ball for the lp-

norm ( ni=1|xi|p)1/p.",2022-02-23 09:00:52+00:00,Packing and covering in higher dimensions,math.MG,"['math.MG', '52C17']",[arxiv.Result.Author('Gábor Fejes Tóth')],"The present work surveys problems in $n$-dimensional space with $n$ large.
Early development in the study of packing and covering in high dimensions was
motivated by the geometry of numbers. Subsequent results, such as the discovery
of the Leech lattice and the linear programming bound, which culminated in the
recent solution of the sphere packing problem in dimensions 8 and 24, were
influenced by coding theory. After mentioning the known results concerning
existence of economical packings and coverings we discuss the different methods
yielding upper bounds for the density of packing congruent balls. We summarize
the few results on upper bounds for the packing density of general convex
bodies. The paper closes with some remarks on the structure of optimal
arrangements."
2361,The observation of Heppes inspired further research.,"This last statement is quite non-trivial,

but it follows from Theorem II of Bambah and Woods [1994], see also Makai and

Martini [2016], where a gap in the proof of this theorem was ﬁlled.","Hausel [1992], Henk and

Zong [2000], Henk, Ziegler and Zong [2002] and Henk [2005] estimated the

greatest number k(n) with the property that for every lattice packing of the n-

dimensional ball there exists a “free k-dimensional plane”, that is, a k-dimensional

plane contain√ed in the complement of the packing.",2022-02-23 09:19:31+00:00,Miscellaneous problems about packing and covering,math.MG,"['math.MG', '52C15, 52C17']","[arxiv.Result.Author('Gábor Fejes Tóth'), arxiv.Result.Author('László Fejes Tóth'), arxiv.Result.Author('Włodzimierz Kuperberg')]","In this paper we discuss various special problems on packing and covering.
Among others we survey the problems and results concerning finite arrangements,
Minkowskian, saturated, compact, and totally separable packings. We discuss
shortest path problems and questions about stability of packings."
4952,"Instead, this section will seek
to motivate the further study of such questions, by showing that the “generic” zeros of
the formula (4·27) can be placed in a one-to-one correspondence with a certain quotient
of the Klein quadric K by an action of a discrete group of reﬂections on the Plu¨cker
coordinates.","[5, 6] might be a good place to start).","It will further explore the combinatorial structure imposed on the set of
zeros by all the possible coincidences among the aforementioned collinear vectors, and
show (see also Appendix A) that when all four vectors are zero the three remaining
degrees of freedom determine a four-point conﬁguration in the special (scale dependent)
aﬃne plane.",2022-04-17 21:21:23+00:00,"An Extension of Heron's Formula to Tetrahedra, and the Projective Nature of Its Zeros",math.MG,"['math.MG', 'gr-qc', 'math.CO', '51F99 (primary), 51K05, 51M04, 51M25, 51M35, 51N20, 51N35, 51P05,\n  52B10, 52B40 (secondary)']",[arxiv.Result.Author('Timothy F. Havel')],"A natural extension of Heron's 2000 year old formula for the area of a
triangle to the volume of a tetrahedron is presented. This extension gives the
fourth power of the volume as a polynomial in six simple rational functions of
the areas of its four faces and of its three medial parallelograms, which will
be referred to herein as interior faces. Geometrically, these rational
functions are the areas of the triangles into which the exterior faces are
divided by the points at which the tetrahedron's in-sphere touches those faces.
This leads to a conjecture as to how the formula likely extends to
$n$-dimensional simplices for all $n > 3$. Remarkably, for $n = 3$ the zeros of
the overall polynomial constitute a five-dimensional real semi-algebraic
variety consisting almost entirely of collinear tetrahedra with vertices at
infinite distances from one another. These unconventional Euclidean
configurations can be identified with a quotient of the Klein quadric by an
action of a group of reflections isomorphic to $\mathbb Z_2^4$, wherein
four-point configurations in the finite affine plane constitute a distinguished
three-dimensional subset. The paper closes by noting that the algebraic
structure of the zeros in the finite affine plane naturally defines the
associated $4$-element, rank-$3$ chirotope, aka affine oriented matroid."
4953,"Instead, this section will seek to motivate
the further study of such questions, by showing that the “generic” zeros of the formula
(4·26) can be placed in a one-to-one correspondence with a certain quotient of the Klein
quadric K by an action of a discrete group of reﬂections on the Plu¨cker coordinates.","[7, 8] might be a good place to start).","It
will further explore the combinatorial structure imposed on the set of zeros by all the
possible coincidences among the aforementioned collinear vectors, and show (see also
Appendix A) that when all four vectors are zero the three remaining degrees of freedom
determine a four-point conﬁguration in the special (scale dependent) aﬃne plane.",2022-04-17 21:21:23+00:00,"An Extension of Heron's Formula to Tetrahedra, and the Projective Nature of Its Zeros",math.MG,"['math.MG', 'gr-qc', 'math.CO', '51F99 (primary), 51K05, 51M04, 51M25, 51M35, 51N20, 51N35, 51P05,\n  52B10, 52B40 (secondary)']",[arxiv.Result.Author('Timothy F. Havel')],"A natural extension of Heron's 2000 year old formula for the area of a
triangle to the volume of a tetrahedron is presented. This gives the fourth
power of the volume as a polynomial in six simple rational functions of the
areas of its four faces and three medial parallelograms, which will be referred
to herein as interior faces. Geometrically, these rational functions are the
areas of the triangles into which the exterior faces are divided by the points
at which the tetrahedron's in-sphere touches those faces. This leads to a
conjecture as to how the formula extends to $n$-dimensional simplices for all
$n > 3$. Remarkably, for $n = 3$ the zeros of the polynomial constitute a
five-dimensional semi-algebraic variety consisting almost entirely of collinear
tetrahedra with vertices at infinite distances from one another. These
unconventional Euclidean configurations can be identified with a quotient of
the Klein quadric by an action of a group of reflections isomorphic to $\mathbb
Z_2^4$, wherein four-point configurations in the affine plane constitute a
distinguished three-dimensional subset. The paper closes by noting that the
algebraic structure of the zeros in the affine plane naturally defines the
associated $4$-element, rank-$3$ chirotope, aka affine oriented matroid."
4954,"Instead, this section will seek to motivate
the further study of such questions, by showing that the “generic” zeros of the formula
(4·25) can be placed in a one-to-one correspondence with a certain quotient of the Klein
quadric K by an action of a discrete group of reﬂections on the Plu¨cker coordinates.","[7, 8] might be a good place to start).","It will
further explore the combinatorial structure imposed on the set of zeros by all the possible
combinations of vanishing complementary products, and show (see also Appendix A)
that when all these products are zero the three remaining degrees of freedom determine
a four-point conﬁguration in the special (scale dependent) aﬃne plane.",2022-04-17 21:21:23+00:00,"An Extension of Heron's Formula to Tetrahedra, and the Projective Nature of Its Zeros",math.MG,"['math.MG', 'gr-qc', 'math.CO', '51F99 (primary), 51K05, 51M04, 51M25, 51M35, 51N20, 51N35, 51P05,\n  52B10, 52B40, 83C27 (secondary)']",[arxiv.Result.Author('Timothy F. Havel')],"A natural extension of Heron's 2000 year old formula for the area of a
triangle to the volume of a tetrahedron is presented. This gives the fourth
power of the volume as a polynomial in six simple rational functions of the
areas of its four faces and three medial parallelograms, which will be referred
to herein as interior faces. Geometrically, these rational functions are the
areas of the triangles into which the exterior faces are divided by the points
at which the tetrahedron's in-sphere touches those faces. This leads to a
conjecture as to how the formula extends to $n$-dimensional simplices for all
$n > 3$. Remarkably, for $n = 3$ the zeros of the polynomial constitute a
five-dimensional semi-algebraic variety consisting almost entirely of collinear
tetrahedra with vertices separated by infinite distances, but with generically
well-defined distance ratios. These unconventional Euclidean configurations can
be identified with a quotient of the Klein quadric by an action of a group of
reflections isomorphic to $\mathbb Z_2^4$, wherein four-point configurations in
the affine plane constitute a distinguished three-dimensional subset. The paper
closes by noting that the algebraic structure of the zeros in the affine plane
naturally defines the associated $4$-element, rank-$3$ chirotope, aka affine
oriented matroid."
4955,"Instead, this section will seek to motivate
the further study of such questions, by showing that the “generic” zeros of the formula
(4·25) can be placed in a one-to-one correspondence with a certain quotient of the Klein
quadric K by an action of a discrete group of reﬂections on the Plu¨cker coordinates.","[8, 9] might be a good place to start).","It will
further explore the combinatorial structure imposed on the set of zeros by all the possible
combinations of vanishing complementary products, and show (see also Appendix A)
that when all these products are zero the three remaining degrees of freedom determine
a four-point conﬁguration in the special (scale dependent) aﬃne plane.",2022-04-17 21:21:23+00:00,"An Extension of Heron's Formula to Tetrahedra, and the Projective Nature of Its Zeros",math.MG,"['math.MG', 'gr-qc', 'math.CO', '51F99 (primary), 51K05, 51M04, 51M25, 51M35, 51N20, 51N35, 51P05,\n  52B10, 52B40, 83C27 (secondary)']",[arxiv.Result.Author('Timothy F. Havel')],"A natural extension of Heron's 2000 year old formula for the area of a
triangle to the volume of a tetrahedron is presented. This gives the fourth
power of the volume as a polynomial in six simple rational functions of the
areas of its four faces and three medial parallelograms, which will be referred
to herein as interior faces. Geometrically, these rational functions are the
areas of the triangles into which the exterior faces are divided by the points
at which the tetrahedron's in-sphere touches those faces. This leads to a
conjecture as to how the formula extends to $n$-dimensional simplices for all
$n > 3$. Remarkably, for $n = 3$ the zeros of the polynomial constitute a
five-dimensional semi-algebraic variety consisting almost entirely of collinear
tetrahedra with vertices separated by infinite distances, but with generically
well-defined distance ratios. These unconventional Euclidean configurations can
be identified with a quotient of the Klein quadric by an action of a group of
reflections isomorphic to $\mathbb Z_2^4$, wherein four-point configurations in
the affine plane constitute a distinguished three-dimensional subset. The paper
closes by noting that the algebraic structure of the zeros in the affine plane
naturally defines the associated $4$-element, rank-$3$ chirotope, aka affine
oriented matroid."
4956,"Instead, this section will seek to motivate
the further study of such questions, by showing that the “generic” zeros of the formula
(4·25) can be placed in a one-to-one correspondence with a certain quotient of the Klein
quadric K by an action of a discrete group of reﬂections on the Plu¨cker coordinates.","[8, 9] might be a good place to start).","It will
further explore the combinatorial structure imposed on the set of zeros by all the possible
combinations of vanishing complementary products, and show (see also Appendix A)
that the aforementioned rank 1 zeros in the aﬃne plane are exactly those wherein all six
complementary products vanish.",2022-04-17 21:21:23+00:00,"An Extension of Heron's Formula to Tetrahedra, and the Projective Nature of Its Zeros",math.MG,"['math.MG', 'gr-qc', 'math.CO', '51F99 (primary), 51K05, 51M04, 51M25, 51M35, 51N20, 51N35, 51P05,\n  52B10, 52B40, 83C27 (secondary)']",[arxiv.Result.Author('Timothy F. Havel')],"A natural extension of Heron's 2000 year old formula for the area of a
triangle to the volume of a tetrahedron is presented. This gives the fourth
power of the volume as a polynomial in six simple rational functions of the
areas of its four faces and three medial parallelograms, which will be referred
to herein as ""interior faces."" Geometrically, these rational functions are the
areas of the triangles into which the exterior faces are divided by the points
at which the tetrahedron's in-sphere touches those faces. This leads to a
conjecture as to how the formula extends to $n$-dimensional simplices for all
$n > 3$. Remarkably, for $n = 3$ the zeros of the polynomial constitute a
five-dimensional semi-algebraic variety consisting almost entirely of collinear
tetrahedra with vertices separated by infinite distances, but with generically
well-defined distance ratios. These unconventional Euclidean configurations can
be identified with a quotient of the Klein quadric by an action of a group of
reflections isomorphic to $\mathbb Z_2^4$, wherein four-point configurations in
the affine plane constitute a distinguished three-dimensional subset. The paper
closes by noting that the algebraic structure of the zeros in the affine plane
naturally defines the associated $4$-element, rank-$3$ chirotope, aka affine
oriented matroid."
4957,"Instead, this section will seek to motivate
the further study of such questions, by showing that the “generic” zeros of the formula
(4·25) can be placed in a one-to-one correspondence with a certain quotient of the Klein
quadric K by an action of a discrete group of reﬂections on the Plu¨cker coordinates.","[8, 9] might be a good place to start).","It
will further explore the combinatorial structure imposed on the set of all zeros by the
various possible combinations of vanishing complementary products, and show (see also
Appendix A) that the aforementioned rank 1 zeros in the aﬃne plane are exactly those
wherein all six complementary products vanish.",2022-04-17 21:21:23+00:00,"An Extension of Heron's Formula to Tetrahedra, and the Projective Nature of Its Zeros",math.MG,"['math.MG', 'gr-qc', 'math.CO', '51F99 (primary), 51K05, 51M04, 51M25, 51M35, 51N20, 51N35, 51P05,\n  52B10, 52B40, 83C27 (secondary)']",[arxiv.Result.Author('Timothy F. Havel')],"A natural extension of Heron's 2000 year old formula for the area of a
triangle to the volume of a tetrahedron is presented. This gives the fourth
power of the volume as a polynomial in six simple rational functions of the
areas of its four faces and three medial parallelograms, which will be referred
to herein as ""interior faces."" Geometrically, these rational functions are the
areas of the triangles into which the exterior faces are divided by the points
at which the tetrahedron's in-sphere touches those faces. This leads to a
conjecture as to how the formula extends to $n$-dimensional simplices for all
$n > 3$. Remarkably, for $n = 3$ the zeros of the polynomial constitute a
five-dimensional semi-algebraic variety consisting almost entirely of collinear
tetrahedra with vertices separated by infinite distances, but with generically
well-defined distance ratios. These unconventional Euclidean configurations can
be identified with a quotient of the Klein quadric by an action of a group of
reflections isomorphic to $\mathbb Z_2^4$, wherein four-point configurations in
the affine plane constitute a distinguished three-dimensional subset. The paper
closes by noting that the algebraic structure of the zeros in the affine plane
naturally defines the associated four-element, rank $3$ chirotope, aka affine
oriented matroid."
4958,"Instead, this section will seek to motivate
the further study of such questions, by showing that the “generic” zeros of the formula
(4·25) can be placed in a one-to-one correspondence with a certain quotient of the Klein
quadric K by an action of a discrete group of reﬂections on the Plu¨cker coordinates.","[8, 9] might be a good place to start).","It
will further explore the combinatorial structure imposed on the set of all zeros by the
various possible combinations of vanishing complementary products, and show (see also
Appendix A) that the aforementioned rank 1 zeros in the aﬃne plane are exactly those
wherein all six complementary products vanish.",2022-04-17 21:21:23+00:00,"An Extension of Heron's Formula to Tetrahedra, and the Projective Nature of Its Zeros",math.MG,"['math.MG', 'gr-qc', 'math.CO', '51F99 (primary), 51K05, 51M04, 51M25, 51M35, 51N20, 51N35, 51P05,\n  52B10, 52B40, 83C27 (secondary)']",[arxiv.Result.Author('Timothy F. Havel')],"A natural extension of Heron's 2000 year old formula for the area of a
triangle to the volume of a tetrahedron is presented. This gives the fourth
power of the volume as a polynomial in six simple rational functions of the
areas of its four faces and three medial parallelograms, which will be referred
to herein as ""interior faces."" Geometrically, these rational functions are the
areas of the triangles into which the exterior faces are divided by the points
at which the tetrahedron's in-sphere touches those faces. This leads to a
conjecture as to how the formula extends to $n$-dimensional simplices for all
$n > 3$. Remarkably, for $n = 3$ the zeros of the polynomial constitute a
five-dimensional semi-algebraic variety consisting almost entirely of collinear
tetrahedra with vertices separated by infinite distances, but with generically
well-defined distance ratios. These unconventional Euclidean configurations can
be identified with a quotient of the Klein quadric by an action of a group of
reflections isomorphic to $\mathbb Z_2^4$, wherein four-point configurations in
the affine plane constitute a distinguished three-dimensional subset. The paper
closes by noting that the algebraic structure of the zeros in the affine plane
naturally defines the associated four-element, rank $3$ chirotope, aka affine
oriented matroid."
