,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
40,"We leave further research concerning Conjecture 8.1 to the
interested reader.","Conjecture 8.1 is quite diﬃcult to prove as it requires more thorough analysis on the bounds
of the p-adic valuation of P2,l(n).","References

 [1] T. Amdeberhan, L. Medina, and V. Moll, Arithmetical properties of a sequence arising from an arctangent
      sum, J.",2022-01-03 07:29:02+00:00,Squares of the form $\prod_{k=1}^n (2k^2+l)$ with $l$ odd,math.NT,['math.NT'],[arxiv.Result.Author('Russelle Guadalupe')],"Let $l$ be a positive odd integer. Using Cilleruelo's method, we establish an
explicit lower bound $N_l$ depending on $l$ such that for all $n\geq N_l$,
$\prod_{k=1}^n (2k^2+l)$ is not a square. As an application, we determine all
values of $n$ such that $\prod_{k=1}^n (2k^2+l)$ is a square for certain values
of $l$."
246,"4 some corollaries and
directions of further research are given.","3; in Section 2 all needed
auxillaries and the main Lemma are adduced; in Sect.",2.,2022-01-07 20:11:09+00:00,Remainder in Modified Mertens Formula and Ramanujan Inequality,math.NT,"['math.NT', '11A25 (Primary), 11N56 11M26 (Secondary)']",[arxiv.Result.Author('Gennadiy Kalyabin')],"A highly strong upper estimate in the modified asymptotic formula for sums of
the primes' reciprocals is proved to be necessary (as well as sufficient) in
order the Ramanujan inequality holds true. Some other criteria in similar terms
are also obtained."
713,"For any given integers a ≥ 1, b ≥ 0 and k ≥ 2, either σ(an+b)
is not a perfect kth power for any natural number n or σ(an + b) is a perfect
kth power for inﬁnitely many natural numbers n.

   In the ﬁnal section, we give few open questions for further research.",Theorem 2.,2.,2022-01-03 12:05:50+00:00,On Power Values of Sum of Divisors function in Arithmetic Progressions,math.NT,['math.NT'],"[arxiv.Result.Author('Sai Teja Somu'), arxiv.Result.Author('Vidyanshu Mishra')]","Let $a\geq 1, b\geq 0$ and $k\geq 2$ be any given integers. It has been
proven that there exist infinitely many natural numbers $m$ such that sum of
divisors of $m$ is a perfect $k$th power. We try to generalize this result when
the values of $m$ belong to any given infinite arithmetic progression $an+b$.
We prove that there exist infinitely many natural numbers $n$ such that sum of
divisors of $an+1$ is a perfect $k$th power. We also prove that, either sum of
divisors of $an+b$ is not a perfect $k$th power for any natural number $n$ or
sum of divisors of $an+b$ is a perfect $k$th power for infinitely many natural
numbers $n$."
714,"For any given integers a ≥ 1, b ≥ 0 and k ≥ 2, either
σ(an+b) is not a perfect kth power for any natural number n or σ(an+
b) is a perfect kth power for inﬁnitely many natural numbers n.

   In the ﬁnal section, we give few open questions for further research.",Theorem 2.,2.,2022-01-03 12:05:50+00:00,On Power Values of Sum of Divisors function in Arithmetic Progressions,math.NT,['math.NT'],"[arxiv.Result.Author('Sai Teja Somu'), arxiv.Result.Author('Vidyanshu Mishra')]","Let $a\geq 1, b\geq 0$ and $k\geq 2$ be any given integers. It has been
proven that there exist infinitely many natural numbers $m$ such that sum of
divisors of $m$ is a perfect $k$th power. We try to generalize this result when
the values of $m$ belong to any given infinite arithmetic progression $an+b$.
We prove if $a$ is relatively prime to $b$ and order of $b$ modulo $a$ is
relatively prime to $k$ then there exist infinitely many natural numbers $n$
such that sum of divisors of $an+b$ is a perfect $k$th power. We also prove
that, in general, either sum of divisors of $an+b$ is not a perfect $k$th power
for any natural number $n$ or sum of divisors of $an+b$ is a perfect $k$th
power for infinitely many natural numbers $n$."
765,"The aim of this paper is by using generating functions to further study some identities
                                                      and properties on the degenerate Stirling numbers of the second kind, the degenerate r-Stirling num-
                                                      bers of the second kind, the degenerate Stirling numbers of the ﬁrst kind and the unsigned degenerate
                                                      Stirling numbers of the ﬁrst kind.","arXiv:2201.07431v1 [math.NT] 19 Jan 2022    SOME IDENTITIES AND PROPERTIES ON DEGENERATE STIRLING NUMBERS

                                                                                          TAEKYUN KIM AND DAE SAN KIM

                                                      ABSTRACT.",1.,2022-01-19 06:14:28+00:00,Some identities and properties on degenerate Stirling numbers,math.NT,"['math.NT', '11B73, 11B83']","[arxiv.Result.Author('Taekyun Kim'), arxiv.Result.Author('Dae san Kim')]","The aim of this paper is by using generating functions to further study some
identities and properties on the degenerate Stirling numbers of the second
kind, the degenerate $r$-Stirling numbers of the second kind, the degenerate
Stirling numbers of the first kind and the unsigned degenerate Stirling numbers
of the first kind."
766,"1
2                                    TAEKYUN KIM AND DAE SAN KIM

The aim of this paper is by using generating functions to further study some identities and proper-
ties on the degenerate Stirling numbers of the second kind, the degenerate r-Stirling numbers of the
second kind, the degenerate Stirling numbers of the ﬁrst kind and the unsigned degenerate Stirling
numbers of the ﬁrst kind.","degenerate Stirling numbers of the second kind; degenerate r-Stirling numbers of the second
                                          kind; degenerate Stirling numbers of the ﬁrst kind; unsigned degenerate Stirling numbers of the ﬁrst kind.",The outline of this paper is as follows.,2022-01-19 06:14:28+00:00,Some identities and properties on degenerate Stirling numbers,math.NT,"['math.NT', '11B73, 11B83']","[arxiv.Result.Author('Taekyun Kim'), arxiv.Result.Author('Dae san Kim')]","The aim of this paper is by using generating functions to further study some
identities and properties on the degenerate Stirling numbers of the second
kind, the degenerate $r$-Stirling numbers of the second kind, the degenerate
Stirling numbers of the first kind and the unsigned degenerate Stirling numbers
of the first kind."
986,"Berndt [3] made further research into
this direction in connection with Euler’s and Ramanujan’s formulae for speciﬁc values of
ζ(s), while he [2] also studied certain character analogues of FZ2(s; α, β; 0, 0; z) to show
Ramanujan type formulae for Dirichlet L-functions.","Subsequent
research was made by Berndt [1], who especially treated in this respect a class of gener-
alized Dedekind eta function and Dedekind sums.","Matsumoto [19], on the other hand,
more recently derived complete asymptotic expansions for F (s; z) when both z → 0 and
z → ∞ through H+; the former can be viewed as a prototype of our Theorem 2.",2022-01-25 06:47:23+00:00,"Asymptotic expansions for a class of generalized holomorphic Eisenstein series, Ramanujan's formula for $ζ(2k+1)$, Weierstrass' elliptic and allied functions",math.NT,"['math.NT', 'Primary 11M36, Secondary 11E45, 11M35, 11F11']","[arxiv.Result.Author('Masanori Katsurada'), arxiv.Result.Author('Takumi Noda')]","We establish complete asymptotic expansions for a class of generalized
holomorphic Eisenstein series, which together with their reminders naturally
transfer to several variants of the celebrated formulae of Euler and Ramanujan
for specific values of the Riemann zeta-function, and to various functional
relations for the classical Eisenstein series of integer weights as well as for
Weierstra{\ss} elliptic and allied functions. Crucial r{\^o}les in the proofs
are played by certain Mellin-Barnes type integrals, which are manipulated with
some formulae, such as evaluation, transformation and connection, for confluent
hypergeometric functions."
987,"Berndt [3] made further research into
this direction in connection with Euler’s and Ramanujan’s formulae for speciﬁc values of
ζ(s), while he [2] also studied certain character analogues of FZ2(s; α, β; 0, 0; z) to show
Ramanujan type formulae for Dirichlet L-functions.","Subsequent
research was made by Berndt [1], who especially treated in this respect a class of gener-
alized Dedekind eta function and Dedekind sums.","Matsumoto [19], on the other hand,
more recently derived complete asymptotic expansions for F (s; z) when both z → 0 and
z → ∞ through H+; the former can be viewed as a prototype of our Theorem 2.",2022-01-25 06:47:23+00:00,"Asymptotic expansions for a class of generalized holomorphic Eisenstein series, Ramanujan's formula for $ζ(2k+1)$, Weierstrass' elliptic and allied functions",math.NT,"['math.NT', 'Primary 11M36, Secondary 11E45, 11M35, 11F11']","[arxiv.Result.Author('Masanori Katsurada'), arxiv.Result.Author('Takumi Noda')]","We establish complete asymptotic expansions for a class of generalized
holomorphic Eisenstein series, which together with their remainders naturally
transfer to several variants of the celebrated formulae of Euler and of
Ramanujan for specific values of the Riemann zeta-function, and to various
functional relations for the classical Eisenstein series of integer weights as
well as for Weierstra{\ss} elliptic and allied functions. Crucial r{\^o}les in
the proofs are played by certain Mellin-Barnes type integrals, which are
manipulated with some formulae, such as evaluation, transformation and
connection, for confluent hypergeometric functions."
1229,"In 2014, Chen and Yang [8] proved that
                                             V (x) ≫ x
                                                        log log x

and they posed the following problem for further research.","1
2                YUCHEN DING

and V (x) = |V ∩ [1, x]|.",Problem 1 (Chen–Yang).,2022-01-30 10:49:07+00:00,On a problem of Romanoff type,math.NT,['math.NT'],[arxiv.Result.Author('Yuchen Ding')],"Let $\mathcal{P}$ and $\mathbb{N}$ be the sets of all primes and natural
numbers, respectively. In this article, it is proved that there has a positive
lower density of the natural numbers which can be represented by the form
$$p+2^{m_1^2}+2^{m_2^2},p\in \mathcal{P},m_1,m_2\in \mathbb{N}.$$ This solves a
problem of Chen and Yang in 2014."
1230,"In 2014, Chen and Yang [8] proved that
                                             V (x) ≫ x
                                                        log log x

and they posed the following problem for further research.","1
2  YUCHEN DING

and V (x) = |V ∩ [1, x]|.",Problem 1 (Chen–Yang).,2022-01-30 10:49:07+00:00,On a problem of Romanoff type,math.NT,['math.NT'],[arxiv.Result.Author('Yuchen Ding')],"Let $\mathcal{P}$ and $\mathbb{N}$ be the sets of all primes and natural
numbers, respectively. In this article, it is proved that there has a positive
lower density of the natural numbers which can be represented by the form
$$p+2^{m_1^2}+2^{m_2^2},p\in \mathcal{P},m_1,m_2\in \mathbb{N}.$$ This solves a
problem of Chen and Yang in 2014."
