,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
33,"2004) formally introduced the Roman dom-
ination problem (RDP) as a mathematical problem and opened the wide area for
further research.","Motivated by the problem that the glorious Roman emperor Constantine the Great
faced in the 4th century, (Cockayne et al.","There are several variants of RDP, and they are mostly related to
the conditions in which the vertices or edges are dominated, or to the introduction of
some extra properties to the starting problem.",2022-01-02 19:20:39+00:00,Solving the signed Roman domination and signed total Roman domination problems with exact and heuristic methods,math.OC,"['math.OC', 'cs.DM']","[arxiv.Result.Author('Vladimir Filipović'), arxiv.Result.Author('Dragan Matić'), arxiv.Result.Author('Aleksandar Kartelj')]","In this paper we deal with the signed Roman domination and signed total Roman
domination problems. For each problem we propose two integer linear programming
(ILP) formulations, the constraint programming (CP) formulation and variable
neighborhood search (VNS) method. We present proofs for the correctness of the
ILP formulations and a polyhedral study in which we show that the polyhedrons
of the two model relaxations are equivalent.
  VNS uses specifically designed penalty function that allows the appearance of
slightly infeasible solutions. The acceptance of these solutions directs the
overall search process to the promising areas in the long run.
  All proposed approaches are tested on the large number of instances.
Experimental results indicate that all of them reach optimal solutions for the
most of small and middle scale instances. Both ILP models have proven to be
more successful than the other two methods."
34,"The paradigm opens up new space for further research, including the aspects: 1) Utilizing the
hard cases generated by our framework to design defense models, such as adversarial training and
hyperparameter tuning.","The solution quality of the commercial solver Gurobi can
degenerate by 20% compared with the raw solution, under the same solving time, based on our
discovered instances.","2) Developing a more general attack framework for CO problems that cannot
be represented by graphs.",2021-12-28 15:10:15+00:00,A General Framework for Evaluating Robustness of Combinatorial Optimization Solvers on Graphs,math.OC,"['math.OC', 'cs.AI', 'cs.CR', 'cs.LG']","[arxiv.Result.Author('Han Lu'), arxiv.Result.Author('Zenan Li'), arxiv.Result.Author('Runzhong Wang'), arxiv.Result.Author('Qibing Ren'), arxiv.Result.Author('Junchi Yan'), arxiv.Result.Author('Xiaokang Yang')]","Solving combinatorial optimization (CO) on graphs is among the fundamental
tasks for upper-stream applications in data mining, machine learning and
operations research. Despite the inherent NP-hard challenge for CO, heuristics,
branch-and-bound, learning-based solvers are developed to tackle CO problems as
accurately as possible given limited time budgets. However, a practical metric
for the sensitivity of CO solvers remains largely unexplored. Existing
theoretical metrics require the optimal solution which is infeasible, and the
gradient-based adversarial attack metric from deep learning is not compatible
with non-learning solvers that are usually non-differentiable. In this paper,
we develop the first practically feasible robustness metric for general
combinatorial optimization solvers. We develop a no worse optimal cost
guarantee thus do not require optimal solutions, and we tackle the
non-differentiable challenge by resorting to black-box adversarial attack
methods. Extensive experiments are conducted on 14 unique combinations of
solvers and CO problems, and we demonstrate that the performance of
state-of-the-art solvers like Gurobi can degenerate by over 20% under the given
time limit bound on the hard instances discovered by our robustness metric,
raising concerns about the robustness of combinatorial optimization solvers."
38,"A centralised
controller is implemented in [25] to track the estimated        • we provide an open-source implementation of the ap-
gradient using least squares estimation and reﬁned by              proach to allow for further research and validation of
Kalman ﬁltering.",ing methods satisfying their assumptions.,The agents are tasked with formation              our results.,2022-01-03 01:14:22+00:00,Gradient Free Cooperative Seeking of a Moving Source,math.OC,['math.OC'],"[arxiv.Result.Author('Elad Michael'), arxiv.Result.Author('Chris Manzie'), arxiv.Result.Author('Tony A. Wood'), arxiv.Result.Author('Daniel Zelazo'), arxiv.Result.Author('Iman Shames')]","In this paper, we consider the optimisation of a time varying scalar field by
a network of agents with no gradient information. We propose a composite
control law, blending extremum seeking with formation control in order to
converge to the extrema faster by minimising the gradient estimation error. By
formalising the relationship between the formation and the gradient estimation
error, we provide a novel analysis to prove the convergence of the network to a
bounded neighbourhood of the field's time varying extrema. We assume the
time-varying field satisfies the Polyak Lojasiewicz inequality and the gradient
is Lipschitz continuous at each iteration. Numerical studies and comparisons
are provided to support the theoretical results."
125,"Then, combining
the optimality conditions (PriCond), (SlackCond), and (TagntCond) will lead to a more complicated
nonlinear system, which we also leave for further study.","One thought that immediately comes to mind is to replace the derivatives
in condition (TagntCond) with directional derivatives in the multivariate setting.","Acknowledgments

S. He is supported by the National Natural Science Foundation of China [Grants 71771141,71825003
and 72192832] and the Program for Innovative Research Team of Shanghai University of Finance
Author: Article Short Title         39

00(0), pp.",2022-01-05 04:27:09+00:00,A Unified Framework for Generalized MomentProblems: a Novel Primal-Dual Approach,math.OC,['math.OC'],"[arxiv.Result.Author('Jiayi Guo'), arxiv.Result.Author('Simai He'), arxiv.Result.Author('Bo Jiang'), arxiv.Result.Author('Zhen Wang')]","Generalized moment problems optimize functional expectation over a class of
distributions with generalized moment constraints, i.e., the function in the
moment can be any measurable function. These problems have recently attracted
growing interest due to their great flexibility in representing nonstandard
moment constraints, such as geometry-mean constraints, entropy constraints, and
exponential-type moment constraints. Despite the increasing research interest,
analytical solutions are mostly missing for these problems, and researchers
have to settle for nontight bounds or numerical approaches that are either
suboptimal or only applicable to some special cases. In addition, the
techniques used to develop closed-form solutions to the standard moment
problems are tailored for specific problem structures.In this paper, we propose
a framework that provides a unified treatment for any moment problem. The key
ingredient of the framework is a novel primal-dual optimality condition. This
optimality condition enables us to reduce the original infinite dimensional
problem to a nonlinear equation system with a finite number of variables.In
solving three specific moment problems, the framework demonstrates a clear path
for identifying the analytical solution if one is available, otherwise, it
produces semi-analytical solutions that lead to efficient numerical algorithms.
Finally, through numerical experiments, we provide further evidence regarding
the performance of the resulting algorithms by solving a moment problem and a
distributionally robust newsvendor problem."
126,"Then, combining
the optimality conditions (PriCond), (SlackCond), and (TagntCond) will lead to a more complicated
nonlinear system, which we also leave for further study.","One thought that immediately comes to mind is to replace the derivatives
in condition (TagntCond) with directional derivatives in the multivariate setting.","Acknowledgments

S. He is supported by the National Natural Science Foundation of China [Grants 71771141,71825003
and 72192832] and the Program for Innovative Research Team of Shanghai University of Finance
and Economics.",2022-01-05 04:27:09+00:00,A Unified Framework for Generalized MomentProblems: a Novel Primal-Dual Approach,math.OC,['math.OC'],"[arxiv.Result.Author('Jiayi Guo'), arxiv.Result.Author('Simai He'), arxiv.Result.Author('Bo Jiang'), arxiv.Result.Author('Zhen Wang')]","Generalized moment problems optimize functional expectation over a class of
distributions with generalized moment constraints, i.e., the function in the
moment can be any measurable function. These problems have recently attracted
growing interest due to their great flexibility in representing nonstandard
moment constraints, such as geometry-mean constraints, entropy constraints, and
exponential-type moment constraints. Despite the increasing research interest,
analytical solutions are mostly missing for these problems, and researchers
have to settle for nontight bounds or numerical approaches that are either
suboptimal or only applicable to some special cases. In addition, the
techniques used to develop closed-form solutions to the standard moment
problems are tailored for specific problem structures.In this paper, we propose
a framework that provides a unified treatment for any moment problem. The key
ingredient of the framework is a novel primal-dual optimality condition. This
optimality condition enables us to reduce the original infinite dimensional
problem to a nonlinear equation system with a finite number of variables.In
solving three specific moment problems, the framework demonstrates a clear path
for identifying the analytical solution if one is available, otherwise, it
produces semi-analytical solutions that lead to efficient numerical algorithms.
Finally, through numerical experiments, we provide further evidence regarding
the performance of the resulting algorithms by solving a moment problem and a
distributionally robust newsvendor problem."
127,"Then, combining
the optimality conditions (PriCond), (SlackCond), and (TagntCond) will lead to a more complicated
nonlinear system, which we also leave for further study.","One thought that immediately comes to mind is to replace the derivatives
in condition (TagntCond) with directional derivatives in the multivariate setting.","Acknowledgments

S. He is supported by the National Natural Science Foundation of China [Grants 71771141,71825003
and 72192832] and the Program for Innovative Research Team of Shanghai University of Finance
and Economics.",2022-01-05 04:27:09+00:00,A Unified Framework for Generalized Moment Problems: a Novel Primal-Dual Approach,math.OC,['math.OC'],"[arxiv.Result.Author('Jiayi Guo'), arxiv.Result.Author('Simai He'), arxiv.Result.Author('Bo Jiang'), arxiv.Result.Author('Zhen Wang')]","Generalized moment problems optimize functional expectation over a class of
distributions with generalized moment constraints, i.e., the function in the
moment can be any measurable function. These problems have recently attracted
growing interest due to their great flexibility in representing nonstandard
moment constraints, such as geometry-mean constraints, entropy constraints, and
exponential-type moment constraints. Despite the increasing research interest,
analytical solutions are mostly missing for these problems, and researchers
have to settle for nontight bounds or numerical approaches that are either
suboptimal or only applicable to some special cases. In addition, the
techniques used to develop closed-form solutions to the standard moment
problems are tailored for specific problem structures. In this paper, we
propose a framework that provides a unified treatment for any moment problem.
The key ingredient of the framework is a novel primal-dual optimality
condition. This optimality condition enables us to reduce the original infinite
dimensional problem to a nonlinear equation system with a finite number of
variables. In solving three specific moment problems, the framework
demonstrates a clear path for identifying the analytical solution if one is
available, otherwise, it produces semi-analytical solutions that lead to
efficient numerical algorithms. Finally, through numerical experiments, we
provide further evidence regarding the performance of the resulting algorithms
by solving a moment problem and a distributionally robust newsvendor problem."
231,"To further study the performance of the present code for different problem sizes, this MBB example is also solved
with and without using DOFs removal technique under three types of meshes (i.e., 60 × 10 × 20, 90 × 15 × 30 and
120 × 20 × 40 uniform finite elements), respectively.","Besides, in most iterations, solving equilibrium equation of reduced DOFs only takes about 35% of the FEA cost when
full DOFs are included.","The corresponding optimized results and average time cost per
iteration are listed in Table 2.",2022-01-07 15:10:53+00:00,An efficient and easy-to-extend Matlab code of the Moving Morphable Component (MMC) method for three-dimensional topology optimization,math.OC,['math.OC'],"[arxiv.Result.Author('Zongliang Du'), arxiv.Result.Author('Tianchen Cui'), arxiv.Result.Author('Chang Liu'), arxiv.Result.Author('Weisheng Zhang'), arxiv.Result.Author('Yilin Guo'), arxiv.Result.Author('Xu Guo')]","Explicit topology optimization methods have received ever-increasing interest
in recent years. In particular, a 188-line Matlab code of the two-dimensional
(2D) Moving Morphable Component (MMC)-based topology optimization method was
released by Zhang et al. (Struct Multidiscip Optim 53(6):1243-1260, 2016). The
present work aims to propose an efficient and easy-to-extend 256-line Matlab
code of the MMC method for three-dimensional (3D) topology optimization
implementing some new numerical techniques. To be specific, by virtue of the
function aggregation technique, accurate sensitivity analysis, which is also
easy-to-extend to other problems, is achieved. Besides, based on an efficient
loading path identification algorithm, the degrees of freedoms (DOFs) not
belonging to the loading path are removed in finite element analysis (FEA),
which significantly accelerates the optimization process. As a result, compared
to the corresponding 188-line 2D code, the performance of the optimization
results, the computational efficiency of FEA, and the convergence rate and the
robustness of optimization process are greatly improved. For the sake of
completeness, a refined 218-line Matlab code implementing the 2D-MMC method is
also provided."
232,"To further study the performance of the present code for different problem sizes, this MBB example is also solved

with and without using DOFs removal technique under three types of meshes (i.e., 60 × 10 × 20, 90 × 15 × 30 and

120 × 20 × 40 uniform finite elements), respectively.","Besides, in most iterations, solving equilibrium equation of reduced DOFs only takes about 35% of the FEA cost when

full DOFs are included.","The corresponding optimized results and average time cost per

iteration are listed in Table 3.",2022-01-07 15:10:53+00:00,An efficient and easy-to-extend Matlab code of the Moving Morphable Component (MMC) method for three-dimensional topology optimization,math.OC,['math.OC'],"[arxiv.Result.Author('Zongliang Du'), arxiv.Result.Author('Tianchen Cui'), arxiv.Result.Author('Chang Liu'), arxiv.Result.Author('Weisheng Zhang'), arxiv.Result.Author('Yilin Guo'), arxiv.Result.Author('Xu Guo')]","Explicit topology optimization methods have received ever-increasing interest
in recent years. In particular, a 188-line Matlab code of the two-dimensional
(2D) Moving Morphable Component (MMC)-based topology optimization method was
released by Zhang et al. (Struct Multidiscip Optim 53(6):1243-1260, 2016). The
present work aims to propose an efficient and easy-to-extend 256-line Matlab
code of the MMC method for three-dimensional (3D) topology optimization
implementing some new numerical techniques. To be specific, by virtue of the
function aggregation technique, accurate sensitivity analysis, which is also
easy-to-extend to other problems, is achieved. Besides, based on an efficient
identification algorithm for load transmission path, the degrees of freedoms
(DOFs) not belonging to the load transmission path are removed in finite
element analysis (FEA), which significantly accelerates the optimization
process. As a result, compared to the corresponding 188-line 2D code, the
performance of the optimization results, the computational efficiency of FEA,
and the convergence rate and the robustness of optimization process are greatly
improved. For the sake of completeness, a refined 218-line Matlab code
implementing the 2D-MMC method is also provided."
233,"To further study the performance of the present code for different problem sizes, this MBB example is also solved
with and without using DOFs removal technique under three types of meshes (i.e., 60 × 10 × 20, 90 × 15 × 30 and
120 × 20 × 40 uniform finite elements), respectively.","Besides, in most iterations, solving equilibrium equation of reduced DOFs only takes about 35% of the FEA cost when
full DOFs are included.","The corresponding optimized results and average time cost per
iteration are listed in Table 3.",2022-01-07 15:10:53+00:00,An efficient and easy-to-extend Matlab code of the Moving Morphable Component (MMC) method for three-dimensional topology optimization,math.OC,['math.OC'],"[arxiv.Result.Author('Zongliang Du'), arxiv.Result.Author('Tianchen Cui'), arxiv.Result.Author('Chang Liu'), arxiv.Result.Author('Weisheng Zhang'), arxiv.Result.Author('Yilin Guo'), arxiv.Result.Author('Xu Guo')]","Explicit topology optimization methods have received ever-increasing interest
in recent years. In particular, a 188-line Matlab code of the two-dimensional
(2D) Moving Morphable Component (MMC)-based topology optimization method was
released by Zhang et al. (Struct Multidiscip Optim 53(6):1243-1260, 2016). The
present work aims to propose an efficient and easy-to-extend 256-line Matlab
code of the MMC method for three-dimensional (3D) topology optimization
implementing some new numerical techniques. To be specific, by virtue of the
function aggregation technique, accurate sensitivity analysis, which is also
easy-to-extend to other problems, is achieved. Besides, based on an efficient
identification algorithm for load transmission path, the degrees of freedoms
(DOFs) not belonging to the load transmission path are removed in finite
element analysis (FEA), which significantly accelerates the optimization
process. As a result, compared to the corresponding 188-line 2D code, the
performance of the optimization results, the computational efficiency of FEA,
and the convergence rate and the robustness of optimization process are greatly
improved. For the sake of completeness, a refined 218-line Matlab code
implementing the 2D-MMC method is also provided."
505,"All instances along with generator code
are provided in an easy-to-use format online, in an attempt to stimulate further research for
better solution methods.","While such an approach is clearly

                                                            2
more time-intensive to use than a generator based on random sampling, we show that for most
problem variants, even harder instances can be found.",The remainder of this paper is structured as follows.,2022-01-13 13:47:00+00:00,Benchmarking Problems for Robust Discrete Optimization,math.OC,"['math.OC', 'cs.DS']","[arxiv.Result.Author('Marc Goerigk'), arxiv.Result.Author('Mohammad Khosravi')]","Robust discrete optimization is a highly active field of research where a
plenitude of combinations between decision criteria, uncertainty sets and
underlying nominal problems are considered. Usually, a robust problem becomes
harder to solve than its nominal counterpart, even if it remains in the same
complexity class. For this reason, specialized solution algorithms have been
developed. To further drive the development of stronger solution algorithms and
to facilitate the comparison between methods, a set of benchmark instances is
necessary but so far missing. In this paper we propose a further step towards
this goal by proposing several instance generation procedures for combinations
of min-max, min-max regret, two-stage and recoverable robustness with interval,
discrete or budgeted uncertainty sets. Besides sampling methods that go beyond
the simple uniform sampling method that is the de-facto standard to produce
instances, also optimization models to construct hard instances are considered.
Using a selection problem for the nominal ground problem, we are able to
generate instances that are several orders of magnitudes harder to solve than
uniformly sampled instances when solving them with a general mixed-integer
programming solver. All instances and generator codes are made available
online."
