,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
161,"Section 5 contains a summary of this paper along
with the limitations of these results and possible directions for further research.","Section
4 discusses further reductions of NIMFA to more simple approximations used
throughout the literature.","Finally, proofs are contained in Section 6.",2022-01-06 13:09:52+00:00,Accuracy criterion for mean field approximations of Markov processes on hypergraphs,math.PR,"['math.PR', '60J28']","[arxiv.Result.Author('Illes Horvath'), arxiv.Result.Author('Daniel Keliger')]","We provide error bounds for the N-intertwined mean-field approximation
(NIMFA) for local density-dependent Markov population processes with a
well-distributed underlying network structure showing NIMFA being accurate when
a typical vertex has many neighbors. The result justifies some of the most
common approximations used in epidemiology, statistical physics and opinion
dynamics literature under certain conditions. We allow interactions between
more than 2 individuals, and an underlying hypergraph structure accordingly."
328,"We further study its spectral properties to show a lower bound for the rate
                                                  of convergence in the case of regular graphs.","Its eigenvalues and stationary distributions for some cases are identiﬁed in the same
                                                  paper.","In particular, we show a cutoﬀ of order
                                                  n4 log n for the edge ﬂipping on the complete graph.",2022-01-10 12:33:20+00:00,Edge and vertex flippings in regular and bipartite graphs,math.PR,"['math.PR', 'math.CO']","[arxiv.Result.Author('Yunus Emre Demirci'), arxiv.Result.Author('Ümit Işlak'), arxiv.Result.Author('Alperen Yaşar Özdemir')]","This paper studies two related Markov chains on a given graph, edge flipping
and its dual, vertex flipping. The edge flipping is defined by Chung and Graham
in [CG12]. Its eigenvalues and stationary distributions for some cases are
identified in the same paper. We further study its spectral properties to show
a lower bound for the rate of convergence in the case of regular graphs. In
particular, we show a cutoff of order n log n/4 for the edge flipping on the
complete graph. Besides, some recursive formulas and explicit expressions are
obtained for stationary distributions of both processes on bipartite graphs."
329,"We further study its spectral
                                                     properties to show a lower bound for the rate of convergence in the case of regular graphs.","In the same paper, its eigenvalues and
                                                     stationary distributions for some classes of graphs are identiﬁed.","Moreover, we show that a cutoﬀ occurs at 14 n log n for the edge ﬂipping on the complete
                                                     graph by a coupling argument.",2022-01-10 12:33:20+00:00,Mixing time bounds for edge flipping on regular graphs,math.PR,"['math.PR', 'math.CO', '60C05, 60F05, 60G42']","[arxiv.Result.Author('Yunus Emre Demirci'), arxiv.Result.Author('Ümit Işlak'), arxiv.Result.Author('Alperen Yaşar Özdemir')]","The edge flipping is a non-reversible Markov chain on a given connected
graph, which is defined by Chung and Graham in [CG12]. In the same paper, its
eigenvalues and stationary distributions for some classes of graphs are
identified. We further study its spectral properties to show a lower bound for
the rate of convergence in the case of regular graphs. Moreover, we show that a
cutoff occurs at \frac{1}{4} n \log n for the edge flipping on the complete
graph by a coupling argument."
330,"We further study its spectral
                                                      properties to show a lower bound for the rate of convergence in the case of regular graphs.","In the same paper, its eigenvalues and
                                                      stationary distributions for some classes of graphs are identiﬁed.","Moreover, we show that a cutoﬀ occurs at 14 n log n for the edge ﬂipping on the complete
                                                      graph by a coupling argument.",2022-01-10 12:33:20+00:00,Mixing time bounds for edge flipping on regular graphs,math.PR,"['math.PR', 'math.CO', '60C05, 60F05, 60G42']","[arxiv.Result.Author('Yunus Emre Demirci'), arxiv.Result.Author('Ümit Işlak'), arxiv.Result.Author('Alperen Yaşar Özdemir')]","The edge flipping is a non-reversible Markov chain on a given connected
graph, which is defined by Chung and Graham in [CG12]. In the same paper, its
eigenvalues and stationary distributions for some classes of graphs are
identified. We further study its spectral properties to show a lower bound for
the rate of convergence in the case of regular graphs. Moreover, we show that a
cutoff occurs at \frac{1}{4} n \log n for the edge flipping on the complete
graph by a coupling argument."
525,"(2.17)
                                                                  m
    k                                    (Pa)a  a∈N0              k

Since we do not use this formula for further study and since a proof would be quite technical, we
decided to restrict to giving a heuristic argument for how to derive (2.17).","Alternatively to the formula in (2.14), in Section 6.3 we present another formula for the
derivative of ϕ with respect to m:

    mk                                                2v¯ak Pa(N0(δk) e2Φ(k) )
    ∂mkϕ(m, ψ) = log q − tk + sup log ψ(a)e                                  .","Roughly speaking,
this strategy goes via a uniform random thinning procedure, while the proof of (2.14) is via
adding a uniformly distributed Poisson point.",2022-01-13 17:13:01+00:00,The free energy of a box-version of the interacting Bose gas,math.PR,"['math.PR', '60F10, 60J65, 82B10, 81S40']","[arxiv.Result.Author('Orphée Collin'), arxiv.Result.Author('Benedikt Jahnel'), arxiv.Result.Author('Wolfgang König')]","The interacting quantum Bose gas is a random ensemble of many Brownian
bridges (cycles) of various lengths with interactions between any pair of legs
of the cycles. It is one of the standard mathematical models in which a proof
for the famous Bose-Einstein condensation phase transition is sought for. We
introduce a simplified version of the model with an organisation of the
particles in deterministic boxes instead of Brownian cycles as the marks of a
reference Poisson point process (for simplicity, in $\mathbb Z^d$ instead of
$\mathbb R^d$).
  We derive an explicit and interpretable variational formula in the
thermodynamic limit for the limiting free energy of the canonical ensemble for
any value of the particle density. This formula features all relevant physical
quantities of the model, like the microscopic and the macroscopic particle
densities, together with their mutual and self-energies and their entropies.
The proof method comprises a two-step large-deviation approach for marked
Poisson point processes and an explicit distinction into small and large marks.
  In the characteristic formula, each of the microscopic particles and the
statistics of the macroscopic part of the configuration are seen explicitly;
the latter receives the interpretation of the condensate. The formula enables
us to prove a number of properties of the limiting free energy as a function of
the particle density, like differentiability and explicit upper and lower
bounds, and a qualitative picture below and above the critical threshold (if it
is finite). This proves a modified saturation nature of the phase transition.
However, we have not yet succeeded in proving the existence of this phase
transition."
618,We wish to pursue further research in these directions.,"It is clear that the results of Section 4 cannot be extended in

a straight forward manner for this general case.","Appendix A.

Lemma A.1.",2022-01-15 14:17:40+00:00,On Merging of Stochastic Flow of Semi-Markov Dynamics,math.PR,"['math.PR', 'math.DS', '60G55, 60H20, 60J90, 60K15']","[arxiv.Result.Author('Anindya Goswami'), arxiv.Result.Author('Ravishankar Kapildev Yadav')]","We present a class of semi-Markov processes as semimartingales using a
stochastic differential equation involving Poisson random measure. Given a
semi-Markov law, using an additional parameter, we consider a family of
stochastic flows corresponding to that law. Then we suitably select a
particular flow, for which we obtain expressions of transition parameters and
the meeting and merging probabilities of a pair of semi-Markov particles. A set
of sufficient conditions are also obtained under which any two particles of the
flow eventually merge with probability one."
619,We wish to pursue further research in these directions.,"It is clear that the results of Section 4 cannot be extended
in a straight forward manner for this general case.","Acknowledgement

The authors are grateful to Professors Mrinal K. Ghosh, and Gopal K. Basak for some helpful discussions.",2022-01-15 14:17:40+00:00,On Merging of Stochastic Flow of Semi-Markov Dynamics,math.PR,"['math.PR', 'math.DS', '60G55, 60H20, 60J90, 60K15']","[arxiv.Result.Author('Anindya Goswami'), arxiv.Result.Author('Ravishankar Kapildev Yadav')]","Given a semi-Markov law, using an additional parameter, we consider a family
of stochastic flows corresponding to that law. Then we suitably select a
particular flow, for which we obtain expressions of the meeting and merging
probabilities of a pair of semi-Markov processes, solving the same equation but
having two different initial conditions. A set of sufficient conditions are
also obtained under which any two solutions of the flow eventually merge with
probability one."
620,We wish to pursue further research in these directions.,"It is clear that the results of Section 4 cannot be extended
in a straight forward manner for this general case.","Acknowledgement

The authors are grateful to Professors Mrinal K. Ghosh, and Gopal K. Basak for some helpful discussions.",2022-01-15 14:17:40+00:00,On Merging of Stochastic Flow of Semi-Markov Dynamics,math.PR,"['math.PR', 'math.DS', '60G55, 60H20, 60J90, 60K15']","[arxiv.Result.Author('Anindya Goswami'), arxiv.Result.Author('Ravishankar Kapildev Yadav')]","Given a semi-Markov law, using an additional parameter, we consider a family
of stochastic flows corresponding to that law. Then we suitably select a
particular flow, for which we obtain expressions of the meeting and merging
probabilities of a pair of semi-Markov processes, solving the same equation but
having two different initial conditions. A set of sufficient conditions are
also obtained under which any two solutions of the flow eventually merge with
probability one."
644,"Finally, in Section 8, we present some numerical simulations which
support our results and suggest some interesting directions for further study.","In Section
       UNIVERSALITY FOR RANDOM POLYNOMIALS OVER FINITE FIELDS                       9

7, we state and prove our strongest results, and prove the corollaries stated in the
introduction.",2.,2022-01-16 23:33:19+00:00,Universality for low degree factors of random polynomials over finite fields,math.PR,"['math.PR', 'math.CO', 'math.NT', '60C05 (Primary), 60B99, 11T06 (Secondary)']","[arxiv.Result.Author('Jimmy He'), arxiv.Result.Author('Huy Tuan Pham'), arxiv.Result.Author('Max Wenqiang Xu')]","We show that the counts of low degree irreducible factors of a random
polynomial $f$ over $\mathbb{F}_q$ with independent but non-uniform
coefficients behave like that of a uniform random polynomial, exhibiting a form
of universality for random polynomials over finite fields. Our strongest
results require various assumptions on the parameters, but we are able to
obtain results requiring only $q=p$ a prime with $p\leq \exp({n^{1/13}})$ where
$n$ is the degree of the polynomial. Our proofs use Fourier analysis, and rely
on tools recently applied by Breuillard and Varj\'u to study the $ax+b$
process, which show equidistribution for $f(\alpha)$ at a single point. We
extend this to handle multiple roots and the Hasse derivatives of $f$, which
allow us to study the irreducible factors with multiplicity."
645,"It also seems like the error should
note really deteriorate for large p, which warrants further study since our methods
are unsuited for this.","This data seems to support the idea that at least for low degree factors, most of
the error seems to come from roots of low order.",8.2.,2022-01-16 23:33:19+00:00,Universality for low degree factors of random polynomials over finite fields,math.PR,"['math.PR', 'math.CO', 'math.NT', '60C05 (Primary), 60B99, 11T06 (Secondary)']","[arxiv.Result.Author('Jimmy He'), arxiv.Result.Author('Huy Tuan Pham'), arxiv.Result.Author('Max Wenqiang Xu')]","We show that the counts of low degree irreducible factors of a random
polynomial $f$ over $\mathbb{F}_q$ with independent but non-uniform
coefficients behave like that of a uniform random polynomial, exhibiting a form
of universality for random polynomials over finite fields. Our strongest
results require various assumptions on the parameters, but we are able to
obtain results requiring only $q=p$ a prime with $p\leq \exp({n^{1/13}})$ where
$n$ is the degree of the polynomial. Our proofs use Fourier analysis, and rely
on tools recently applied by Breuillard and Varj\'u to study the $ax+b$
process, which show equidistribution for $f(\alpha)$ at a single point. We
extend this to handle multiple roots and the Hasse derivatives of $f$, which
allow us to study the irreducible factors with multiplicity."
