,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
1602,"In the last section, besides brieﬂy summarizing the main guidelines along
the work, we pose for further study continuous evolution algebras arising
from dynamical systems obeying more general diﬀerential equations.","In the ﬁfth section we show how G-continuous evolution algebras, result-
ing in section 3, make way towards continuous evolution algebras understood
as ﬂow lines for global ﬂows on matrix Lie groups.","2 Continuous evolution algebras

    Let K be R or C. Matrices will be denoted boldface.",2022-02-06 15:48:46+00:00,Continuous Evolution Algebras,math.RA,"['math.RA', '17D92, 17A01, 92D25']","[arxiv.Result.Author('Fernando Montaner'), arxiv.Result.Author('Irene Paniello')]","We formulate the notion of continuous evolution algebra in terms of
differentiable matrix-valued functions, to then study those such algebras
arising as solutions of ODE problems. Given their dependence on natural bases,
matrix Lie groups provide a suitable framework where considering time-variant
evolution algebras. We conclude by broadening our approach by considering
continuous evolution algebras stemming as flow lines on matrix Lie groups."
2877,"In other words, Rota apparently asked to identify “good” OPIs that are worth of
further study.","The second stage in our understanding of Rota’s Classiﬁcation Problem is what distinguishes
the operated polynomial identities (OPIs) satisﬁed by these above listed linear operators from the
arbitrary OPIs?","Roughly speaking, since algebras in Rota’s Classiﬁcation Problem are associative
algebras, such OPIs looked for by Rota are compatible with associativity.",2022-03-06 01:48:42+00:00,New operated polynomial identities and Gröbner-Shirshov bases,math.RA,"['math.RA', '16W99, 16S10, 08B20, 13P10, 05A05']","[arxiv.Result.Author('Jinwei Wang'), arxiv.Result.Author('Zhicheng Zhu'), arxiv.Result.Author('Xing Gao')]","Quite recently, Bremner et al. introduced a new approach to Rota's
Classification Problem and classified some (new) operated polynomial
identities. In this paper, we prove that all operated polynomial identities
classified by Bremner et al. are Gr\""{o}bner-Shirshov."
3248,"Finally, Section 10 presents the main conclusions of this work, and some lines of further research.","(1) to be consistent when B is skew-symmetric

for most matrices.","2
2 Basic setting

As we have mentioned in the Introduction, the Canonical Form for Congruence (CFC) of matrices plays a central role
in this work.",2022-03-14 13:45:27+00:00,The equation $X^\top AX=B$ with $B$ skew-symmetric: How much of a bilinear form is skew-symmetric?,math.RA,"['math.RA', '15A21, 15A24, 15A63']","[arxiv.Result.Author('Alberto Borobia'), arxiv.Result.Author('Roberto Canogar'), arxiv.Result.Author('Fernando De Terán')]","Given a bilinear form on $\mathbb C^n$, represented by a matrix $A\in\mathbb
C^{n\times n}$, the problem of finding the largest dimension of a subspace of
$\mathbb C^n$ such that the restriction of $A$ to this subspace is a
non-degenerate skew-symmetric bilinear form is equivalent to finding the size
of the largest invertible skew-symmetric matrix $B$ such that the equation
$X^\top AX=B$ is consistent (here $X^\top$ denotes the transpose of the matrix
$X$). In this paper, we provide a characterization, by means of a necessary and
sufficient condition, for the matrix equation $X^\top AX=B$ to be consistent
when $B$ is a skew-symmetric matrix. This condition is valid for most matrices
$A\in\mathbb C^{n\times n}$. To be precise, the condition depends on the
canonical form for congruence (CFC) of the matrix $A$, which is a direct sum of
blocks of three types. The condition is valid for all matrices $A$ except those
whose CFC contains blocks, of one of the types, with size smaller than $3$.
However, we show that the condition is necessary for all matrices $A$."
3431,"To further study of the weak global dimension, we need more tool.","the following equalities are true

                               l.w.Ggl(F,A)(R) = fd(A) = fd(A∨).","To do so, let
us consider a complementary dimension, which is an adaptation of the copure ﬂat
dimension deﬁned by E. Enochs and O. M. G. Jenda [11].",2022-03-17 01:18:45+00:00,"$(\mathcal{F},\mathcal{A})$-Gorenstein flat homological dimensions",math.RA,['math.RA'],[arxiv.Result.Author('Víctor Becerril')],"In this paper we develop the homological properties of the $(\mathcal{L},
\mathcal{A})$-Gorenstein flat $R$-modules $\mathcal{GF}_{(\mathcal{F}(R),
\mathcal{A})}$ proposed by Gillespie. Where the class $\mathcal{A} \subseteq
\mathrm{Mod} (R^{op})$ sometimes corresponds to a duality pair $(\mathcal{L},
\mathcal{A})$. We study the weak global and finitistic dimensions that comes
with $\mathcal{GF}_{(\mathcal{F}(R), \mathcal{A})}$ and show that over a
$(\mathcal{L}, \mathcal{A})$-Gorenstein ring, the functor $-\otimes _R -$ is
left balanced over $\mathrm{Mod} (R^{op}) \times \mathrm{Mod} (R)$ by the
classes $\mathcal{GF}_{(\mathcal{F}(R^{op}), \mathcal{A})} \times
\mathcal{GF}_{(\mathcal{F}(R), \mathcal{A})}$. When the duality pair is
$(\mathcal{F} (R), \mathcal{FP}Inj (R^{op}))$ we recover the G. Yang's result
over a Ding-Chen ring, and we see that is new for $(\mathrm{Lev} (R),
\mathrm{AC} (R^{op}))$ among others."
3432,"To further study of the weak global dimension, we need more tool.","the following equalities are true

                               l.w.Ggl(F,A)(R) = fd(A) = fd(A∨).","To do so, let
us consider a complementary dimension, which is an adaptation of the copure ﬂat
dimension deﬁned by E. Enochs and O. M. G. Jenda [11].",2022-03-17 01:18:45+00:00,"$(\mathcal{F},\mathcal{A})$-Gorenstein flat homological dimensions",math.RA,['math.RA'],[arxiv.Result.Author('Víctor Becerril')],"In this paper we develop the homological properties of the $(\mathcal{L},
\mathcal{A})$-Gorenstein flat $R$-modules $\mathcal{GF}_{(\mathcal{F}(R),
\mathcal{A})}$ proposed by Gillespie. Where the class $\mathcal{A} \subseteq
\mathrm{Mod} (R^{op})$ sometimes corresponds to a duality pair $(\mathcal{L},
\mathcal{A})$. We study the weak global and finitistic dimensions that comes
with $\mathcal{GF}_{(\mathcal{F}(R), \mathcal{A})}$ and show that over a
$(\mathcal{L}, \mathcal{A})$-Gorenstein ring, the functor $-\otimes _R -$ is
left balanced over $\mathrm{Mod} (R^{op}) \times \mathrm{Mod} (R)$ by the
classes $\mathcal{GF}_{(\mathcal{F}(R^{op}), \mathcal{A})} \times
\mathcal{GF}_{(\mathcal{F}(R), \mathcal{A})}$. When the duality pair is
$(\mathcal{F} (R), \mathcal{FP}Inj (R^{op}))$ we recover the G. Yang's result
over a Ding-Chen ring, and we see that is new for $(\mathrm{Lev} (R),
\mathrm{AC} (R^{op}))$ among others."
4710,"So the further study on the characteristics of these inﬁnite dimensional
algebras are meaningful and challenging.","The above result shows that there also exist inﬁnite dimensional
algebras whose Frobenius-Perron dimension is equal to the maximal number of
loops.",Acknowledgements.,2022-04-12 01:05:08+00:00,Frobenius-Perron theory of the bound quiver algebras containing loops,math.RA,"['math.RA', 'math.CT', 'math.RT']","[arxiv.Result.Author('J. M. Chen'), arxiv.Result.Author('J. Y. Chen')]","The spectral radius of matrix, also known as Frobenius-Perron dimension, is a
useful tool for studying linear algebras and plays an important role in the
classification of the representation categories of algebras. In this paper, we
study the Frobenius-Perron theory of the representation categories of bound
quiver algebras containing loops, find a way to calculate the Frobenius-Perron
dimension of these algebras when they satisfy the commutativity condition of
loops. As an application, we prove that the Frobenius-Perron dimension of the
representation category of a modified ADE bounded quiver algebra is equal to
the maximum number of loops at a vertex. Finally, we point out that there also
exists infinite dimensional algebras whose Frobenius-Perron dimension is equal
to the maximal number of loops by giving an example."
5069,"Our results are helpful for the further study of dual quaternion matrix theory,
                                          algorithmic design, and applications.","In particular, we also present two vari-
                                          ants of the above two inequalities expressed by eigenvalues of dual quaternion Hermitian
                                          matrices.",Key words.,2022-04-20 04:13:25+00:00,von Neumann type trace inequality for dual quaternion matrices,math.RA,"['math.RA', 'math.OC']","[arxiv.Result.Author('Chen Ling'), arxiv.Result.Author('Hongjin He'), arxiv.Result.Author('Liqun Qi')]","As a powerful tool to represent rigid body motion in 3D spaces, dual
quaternions have been successfully applied to robotics, 3D motion modelling and
control, and computer graphics. Due to the important applications in
multi-agent formation control, this paper addresses the concept of spectral
norm of dual quaternion matrices. We introduce a von Neumann type trace
inequality and a Hoffman-Wielandt type inequality for general dual quaternion
matrices, where the latter characterizes a simultaneous perturbation bound on
all singular values of a dual quaternion matrix. In particular, we also present
two variants of the above two inequalities expressed by eigenvalues of dual
quaternion Hermitian matrices. Our results are helpful for the further study of
dual quaternion matrix theory, algorithmic design, and applications."
5070,"We believe that our results will
enrich the theory of dual quaternion matrices, and they will be of beneﬁt to further study of
dual quaternion matrices, algorithmic design, and applications.","Moreover, by considering the application
of dual quaternion Hermitian matrices in multi-agent formation control, we also discuss the
above two inequalities for dual quaternion Hermitian matrices.",This paper is divided into ﬁve sections.,2022-04-20 04:13:25+00:00,von Neumann type trace inequality for dual quaternion matrices,math.RA,"['math.RA', 'math.OC']","[arxiv.Result.Author('Chen Ling'), arxiv.Result.Author('Hongjin He'), arxiv.Result.Author('Liqun Qi')]","As a powerful tool to represent rigid body motion in 3D spaces, dual
quaternions have been successfully applied to robotics, 3D motion modelling and
control, and computer graphics. Due to the important applications in
multi-agent formation control, this paper addresses the concept of spectral
norm of dual quaternion matrices. We introduce a von Neumann type trace
inequality and a Hoffman-Wielandt type inequality for general dual quaternion
matrices, where the latter characterizes a simultaneous perturbation bound on
all singular values of a dual quaternion matrix. In particular, we also present
two variants of the above two inequalities expressed by eigenvalues of dual
quaternion Hermitian matrices. Our results are helpful for the further study of
dual quaternion matrix theory, algorithmic design, and applications."
5276,"We should also note that the notion of the antipode and the quasi-
Hopf algebra is brieﬂy discussed for the involutive case in [16] for some special set-theoretic
18  ANASTASIA DOIKOU AND BERNARD RYBOLOWICZ

solutions, however further study in this direction is required.","In the involutive case ΦT = 1 ⊗ 1 ⊗ 1,
so the task in this situation is to identify Φ, but this will be discussed in future works as is a
quite demanding problem.","The Baxterization of the non-
involutive solutions and the derivation of a universal R-matrix are among the most challenging
questions in this context and will be addressed in future investigations.",2022-04-25 12:09:05+00:00,Novel non-involutive solutions of the Yang-Baxter equation from (skew) braces,math.RA,"['math.RA', 'math-ph', 'math.MP', 'math.QA']","[arxiv.Result.Author('Anastasia Doikou'), arxiv.Result.Author('Bernard Rybolowicz')]","We produce novel non-involutive solutions of the Yang-Baxter equation coming
from (skew) braces. These solutions are generalisations of the known ones
coming from the standard braces and skew braces, and surprisingly in the case
of braces they are not necessarily involutive. In the case of two-sided (skew)
braces one can assign such solutions to every element of the set. Novel
bijective maps associated to the inverse solutions are also introduced.
Moreover, we show that the recently derived Drinfeld twists of the involutive
case are still admissible in the non-involutive frame and we identify the
twisted r-matrices and twisted copoducts. We observe that as in the involutive
case the underlying quantum algebra is not a quasi-triangular bialgebra, as one
would expect, but a quasi-triangular quasi-bialgebra. The same applies to the
quantum algebra of the twisted r-matrices, contrary to the involutive case."
5277,"We should also note that the notion of the antipode and the quasi-Hopf algebra is brieﬂy discussed
for the involutive case in [16] for some special set-theoretic solutions, however further study in
this direction is required.","In the involutive case ΦT = 1 ⊗ 1 ⊗ 1, so the task in
this situation is to identify Φ, but this will be discussed in future works as is a demanding problem.","The Baxterization of the non-involutive solutions and the derivation of a
universal R-matrix are among the most challenging questions in this context and will be addressed
in future investigations.",2022-04-25 12:09:05+00:00,Novel non-involutive solutions of the Yang-Baxter equation from (skew) braces,math.RA,"['math.RA', 'math-ph', 'math.MP', 'math.QA']","[arxiv.Result.Author('Anastasia Doikou'), arxiv.Result.Author('Bernard Rybolowicz')]","We produce novel non-involutive solutions of the Yang-Baxter equation coming
from (skew) braces. These solutions are generalisations of the known ones
coming from the standard braces and skew braces, and surprisingly in the case
of braces they are not necessarily involutive. In the case of two-sided (skew)
braces one can assign such solutions to every element of the set. Novel
bijective maps associated to the inverse solutions are also introduced.
Moreover, we show that the recently derived Drinfeld twists of the involutive
case are still admissible in the non-involutive frame and we identify the
twisted r-matrices and twisted copoducts. We observe that as in the involutive
case the underlying quantum algebra is not a quasi-triangular bialgebra, as one
would expect, but a quasi-triangular quasi-bialgebra. The same applies to the
quantum algebra of the twisted r-matrices, contrary to the involutive case."
