,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
1582,"Section 5 contains some concluding
comments and questions for further study.","In section 4, GSM is
applied to equations with a third order Lax Pair.","In the Appendix we show the Maple program
for computation of GSs.",2022-02-05 21:04:11+00:00,Computation of generating symmetries,nlin.SI,"['nlin.SI', 'math-ph', 'math.MP', '58D19 17B80']",[arxiv.Result.Author('Alexander G. Rasin')],"In this article we continue to develop the theory of generating symmetries
for integrable equations. The technique for computations of generating
symmetries using the Maple program is presented. The technique is based on the
standard symmetry method. By using it we find generating symmetries for KdV,
Camassa-Holm, mKdV, sine-Gordon, Boussinesq, associated Degasperis-Procesi and
associated Novikov equations."
1583,"Directions for further research:

    • Discovering GSs for more equations, including higher dimensional equations, for
       example KP and the Calogero–Bogoyavlensky–Schiﬀ equation [33].","In the
case of equations with the third order Lax Pair nine essential GSs were found.",• Expansion of obtained GSs into hierarchies of symmetries.,2022-02-05 21:04:11+00:00,Computation of generating symmetries,nlin.SI,"['nlin.SI', 'math-ph', 'math.MP', '58D19 17B80']",[arxiv.Result.Author('Alexander G. Rasin')],"In this article we continue to develop the theory of generating symmetries
for integrable equations. The technique for computations of generating
symmetries using the Maple program is presented. The technique is based on the
standard symmetry method. By using it we find generating symmetries for KdV,
Camassa-Holm, mKdV, sine-Gordon, Boussinesq, associated Degasperis-Procesi and
associated Novikov equations."
1584,"Section 5 contains some concluding
comments and questions for further study.","In section 4, GSM is
applied to equations with a third order Lax pair.","In the Appendix we show the Maple program
for computation of GSs.",2022-02-05 21:04:11+00:00,Computation of generating symmetries,nlin.SI,"['nlin.SI', 'math-ph', 'math.MP', '58D19 17B80']",[arxiv.Result.Author('Alexander G. Rasin')],"In this article we continue to develop the theory of generating symmetries
for integrable equations. A technique for computation of generating symmetries
using Maple is presented. The technique is based on the standard symmetry
method. By using it we find generating symmetries for the KdV, Camassa-Holm,
mKdV, sine-Gordon, Boussinesq, associated Degasperis-Procesi and associated
Novikov equations."
1585,"Directions for further research:

    • Discovering GSs for more equations, including higher dimensional equations, for
       example KP and the Calogero–Bogoyavlensky–Schiﬀ equation [34].","In the
case of equations with the third order Lax pair nine essential GSs were found.",• Expansion of obtained GSs into hierarchies of symmetries.,2022-02-05 21:04:11+00:00,Computation of generating symmetries,nlin.SI,"['nlin.SI', 'math-ph', 'math.MP', '58D19 17B80']",[arxiv.Result.Author('Alexander G. Rasin')],"In this article we continue to develop the theory of generating symmetries
for integrable equations. A technique for computation of generating symmetries
using Maple is presented. The technique is based on the standard symmetry
method. By using it we find generating symmetries for the KdV, Camassa-Holm,
mKdV, sine-Gordon, Boussinesq, associated Degasperis-Procesi and associated
Novikov equations."
1651,"Finally in Section
5, we present some ideas on further research.","Thus we obtain explicitly the

non-Abelian lattice-modiﬁed and the lattice-(Q3)0 Gel’fand-Dikii hierarchies.","We conclude this article with Appendix A where we

present non-Abelian forms of the lattice-potential KdV equation.",2022-02-07 18:54:58+00:00,Hierarchies of compatible maps and integrable difference systems,nlin.SI,['nlin.SI'],[arxiv.Result.Author('Pavlos Kassotakis')],"We present two non-equivalent hierarchies of non-Abelian $3D-$compatible maps
and we provide their Lax pair formulation. These hierarchies are naturally
associated with integrable difference systems with variables defined on edges
of an elementary cell of the $\mathbb{Z}^2$ graph, that in turn lead to
hierarchies of difference systems with variables defined on vertices of the
same cell."
3750,"Generalizing the results obtained herein to arbitrary n
would be an interesting topic for further study.","Besides, though we just discussed solutions up to the third-order, nth-order lumps can be
obtained by using the n-fold DT (9).","Our results show that there exists a quite rich dynamics for rational solutions of DS II, which
can be a basis for corresponding observations in areas of application where the DS II is relevant,
including most notably in nonlinear optics and plasma physics, among others.",2022-03-23 13:14:38+00:00,Dynamics of higher-order lumps in the Davey-Stewartson II equation,nlin.SI,"['nlin.SI', 'math-ph', 'math.MP', '35C08, 35Q51, 37K35, 37K40']","[arxiv.Result.Author('Lijuan Guo'), arxiv.Result.Author('P. G. Kevrekidis'), arxiv.Result.Author('Jingsong He')]","A family of higher-order rational lumps on non-zero constant background of
Davey-Stewartson (DS) II equation are investigated. These solutions have
multiple peaks whose heights and trajectories are approximately given by
asymptotical analysis. It is found that the heights are time-dependent and for
large time they approach the same constant height value of the first-order
fundamental lump. The resulting trajectories are considered and it is found
that the scattering angle can assume arbitrary values in the interval of
$(\frac{\pi}{2}, \pi)$ which is markedly distinct from the necessary orthogonal
scattering for the higher-order lumps on zero background. Additionally, it is
illustrated that the higher-order lumps containing multi-peaked $n$-lumps can
be regarded as a nonlinear superposition of $n$ first-order ones as
$|t|\rightarrow\infty$."
3751,"Generalizing the results obtained herein to arbitrary n
would be an interesting topic for further study.","Besides, though we just discussed solutions up to the third-order, nth-order lumps can be

                                                                               14
obtained by using the n-fold DT (9).","Our results concerning the dynamics for rational solutions of DS II can be a basis for cor-
responding observations in areas of application where the DS II is relevant, including most
notably in nonlinear optics and plasma physics, among others.",2022-03-23 13:14:38+00:00,Asymptotic dynamics of higher-order lumps in the Davey-Stewartson II equation,nlin.SI,"['nlin.SI', 'math-ph', 'math.MP', '35C08, 35Q51, 37K35, 37K40']","[arxiv.Result.Author('Lijuan Guo'), arxiv.Result.Author('P. G. Kevrekidis'), arxiv.Result.Author('Jingsong He')]","A family of higher-order rational lumps on non-zero constant background of
Davey-Stewartson (DS) II equation are investigated. These solutions have
multiple peaks whose heights and trajectories are approximately given by
asymptotical analysis. It is found that the heights are time-dependent and for
large time they approach the same constant height value of the first-order
fundamental lump. The resulting trajectories are considered and it is found
that the scattering angle can assume arbitrary values in the interval of
$(\frac{\pi}{2}, \pi)$ which is markedly distinct from the necessary orthogonal
scattering for the higher-order lumps on zero background. Additionally, it is
illustrated that the higher-order lumps containing multi-peaked $n$-lumps can
be regarded as a nonlinear superposition of $n$ first-order ones as
$|t|\rightarrow\infty$."
5762,We leave this question to further research.,"Nevertheless it seems likely
that the transformation does not depend on ∆.","Finally we remark, that this situation is somewhat analogous to the one treated in [31],
where it was shown that the XXZ spin chain with a special anisotropy has peculiar properties
just in the odd length cases.",2022-05-04 12:52:31+00:00,Integrable deformations of superintegrable quantum circuits,nlin.SI,"['nlin.SI', 'cond-mat.stat-mech']","[arxiv.Result.Author('Tamás Gombor'), arxiv.Result.Author('Balázs Pozsgay')]","Superintegrable models are very special dynamical systems: they possess more
conservation laws than what is necessary for complete integrability. This
severely constrains their dynamical processes, and it often leads to their
exact solvability, even in non-equilibrium situations. In this paper we
consider special Hamiltonian deformations of superintegrable quantum circuits.
The deformations break superintegrability, but they preserve integrability. We
focus on a selection of concrete models and show that for each model there is
an (at least) one parameter family of integrable deformations. Our most
interesting example is the so-called Rule54 model. We show that the model is
compatible with a one parameter family of Yang-Baxter integrable spin chains
with six-site interaction. Therefore, the Rule54 model does not have a unique
integrability structure, instead it lies at the intersection of a family of
quantum integrable models."
5763,We leave this question to further research.,"Nevertheless it seems likely
that the transformation does not depend on ∆.","Finally we remark, that this situation is somewhat analogous to the one treated in [31],
where it was shown that the XXZ spin chain with a special anisotropy has peculiar properties
just in the odd length cases.",2022-05-04 12:52:31+00:00,Integrable deformations of superintegrable quantum circuits,nlin.SI,"['nlin.SI', 'cond-mat.stat-mech']","[arxiv.Result.Author('Tamás Gombor'), arxiv.Result.Author('Balázs Pozsgay')]","Superintegrable models are very special dynamical systems: they possess more
conservation laws than what is necessary for complete integrability. This
severely constrains their dynamical processes, and it often leads to their
exact solvability, even in non-equilibrium situations. In this paper we
consider special Hamiltonian deformations of superintegrable quantum circuits.
The deformations break superintegrability, but they preserve integrability. We
focus on a selection of concrete models and show that for each model there is
an (at least) one parameter family of integrable deformations. Our most
interesting example is the so-called Rule54 model. We show that the model is
compatible with a one parameter family of Yang-Baxter integrable spin chains
with six-site interaction. Therefore, the Rule54 model does not have a unique
integrability structure, instead it lies at the intersection of a family of
quantum integrable models."
5764,We leave this question to further research.,"Nevertheless it seems likely
that the transformation does not depend on ∆.","Finally we remark, that this situation is somewhat analogous to the one treated in [32],
where it was shown that the XXZ spin chain with a special anisotropy has peculiar properties
just in the odd length cases.",2022-05-04 12:52:31+00:00,Integrable deformations of superintegrable quantum circuits,nlin.SI,"['nlin.SI', 'cond-mat.stat-mech']","[arxiv.Result.Author('Tamás Gombor'), arxiv.Result.Author('Balázs Pozsgay')]","Superintegrable models are very special dynamical systems: they possess more
conservation laws than what is necessary for complete integrability. This
severely constrains their dynamical processes, and it often leads to their
exact solvability, even in non-equilibrium situations. In this paper we
consider special Hamiltonian deformations of superintegrable quantum circuits.
The deformations break superintegrability, but they preserve integrability. We
focus on a selection of concrete models and show that for each model there is
an (at least) one parameter family of integrable deformations. Our most
interesting example is the so-called Rule54 model. We show that the model is
compatible with a one parameter family of Yang-Baxter integrable spin chains
with six-site interaction. Therefore, the Rule54 model does not have a unique
integrability structure, instead it lies at the intersection of a family of
quantum integrable models."
