,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
82,"With further research, the chosen values and ﬁt results can
be improved by adding more collision energies and more accurate ﬁts.","The changing pattern for these two situations are
similar, it is reﬂected in these little close ﬁt results, while the diﬀerences of them are
caused by the Coulomb interaction, which has bigger inhibition for the strength of the
transverse momentum dependence of Rs at high collision energies, and this phenomenon
is also shown in Figure 5.","Conclusions

     The transverse momentum dependence of the HBT radii is related to the single-
particle space-momentum correlation, and this correlation can be quantiﬁed by the
single-particle space-momentum angle distribution.",2022-01-04 06:04:27+00:00,The Coulomb interaction and the single-particle space-momentum angle distribution effect on two-pion HBT correlation,nucl-th,"['nucl-th', 'hep-ph']","[arxiv.Result.Author('Hang Yang'), arxiv.Result.Author('Qichun Feng'), arxiv.Result.Author('Yanyv Ren'), arxiv.Result.Author('Jingbo Zhang'), arxiv.Result.Author('Lei Huo')]","With the string melting version of a multiphase transport(AMPT) model, we
analyze the Coulomb interaction effect on the transverse momentum dependence of
HBT radius $R_{\rm s}$ for $\pi^+$ in Au+Au collisions at
$\sqrt{S_{NN}}=14.5,19.6,27,36,62.4,200$ GeV. We study the single-particle
space-momentum angle distribution on the transverse plane and build the
numerical connection between this distribution and the transverse momentum
dependence of $R_{\rm s}$. Additionally, we study the Coulomb interaction
effect on this numerical connection."
83,"With further research, the HBT analysis may help us learn more
about the critical eﬀect of single-particle space-momentum correlation.","And this single-particle space-momentum correlation may be aﬀected by
the anomalies near the CEP, it is possible to see some non-monotonic behaviors through
the HBT analysis.","References

 [1] Hanbury Brown R and Twiss R 1956 Nature 178 1046–1048
 [2] Goldhaber G, Goldhaber S, Lee W and Pais A 1960 Phys.",2022-01-04 06:04:27+00:00,The Coulomb interaction and the single-particle space-momentum angle distribution effect on two-pion HBT correlation,nucl-th,"['nucl-th', 'hep-ph']","[arxiv.Result.Author('Hang Yang'), arxiv.Result.Author('Qichun Feng'), arxiv.Result.Author('Yanyv Ren'), arxiv.Result.Author('Jingbo Zhang'), arxiv.Result.Author('Lei Huo')]","With the string melting version of a multiphase transport(AMPT) model, we
analyze the Coulomb interaction effect on the transverse momentum dependence of
HBT radius $R_{\rm s}$ for $\pi^+$ in Au+Au collisions at
$\sqrt{S_{NN}}=14.5,19.6,27,36,62.4,200$ GeV. We study the single-particle
space-momentum angle distribution on the transverse plane and build the
numerical connection between this distribution and the transverse momentum
dependence of $R_{\rm s}$. Additionally, we study the Coulomb interaction
effect on this numerical connection."
84,"With further research, the chosen values and ﬁt results can
be improved by adding more collision energies and more accurate ﬁts.","The changing pattern for these two situations are
similar, it is reﬂected in these little close ﬁt results, while the diﬀerences of them are
caused by the Coulomb interaction, which has bigger inhibition for the strength of the
transverse momentum dependence of Rs at high collision energies, and this phenomenon
is also shown in Figure 5.","Conclusions

     The transverse momentum dependence of the HBT radii is related to the single-
particle space-momentum correlation, and this correlation can be quantiﬁed by the
single-particle space-momentum angle distribution.",2022-01-04 06:04:27+00:00,The Coulomb interaction and the single-particle space-momentum angle distribution effect on two-pion HBT correlation,nucl-th,"['nucl-th', 'hep-ph']","[arxiv.Result.Author('Hang Yang'), arxiv.Result.Author('Qichun Feng'), arxiv.Result.Author('Yanyv Ren'), arxiv.Result.Author('Jingbo Zhang'), arxiv.Result.Author('Lei Huo')]","We calculate the HBT radius $R_{\rm s}$ for $\pi^+$ particles with the
Coulomb interaction by using the string melting version of a multiphase
transport(AMPT) model. Then we study the single-particle space-momentum angle
distribution on the transverse plane and build the numerical connection between
this distribution and the transverse momentum dependence of $R_{\rm s}$.
Additionally, we study the Coulomb interaction effect on this numerical
connection."
85,"With further research, the HBT analysis may help us learn more
about the critical eﬀect of single-particle space-momentum correlation.","And this single-particle space-momentum correlation may be aﬀected by
the anomalies near the CEP, it is possible to see some non-monotonic behaviors through
the HBT analysis.","References

 [1] Hanbury Brown R and Twiss R 1956 Nature 178 1046–1048
 [2] Goldhaber G, Goldhaber S, Lee W and Pais A 1960 Phys.",2022-01-04 06:04:27+00:00,The Coulomb interaction and the single-particle space-momentum angle distribution effect on two-pion HBT correlation,nucl-th,"['nucl-th', 'hep-ph']","[arxiv.Result.Author('Hang Yang'), arxiv.Result.Author('Qichun Feng'), arxiv.Result.Author('Yanyv Ren'), arxiv.Result.Author('Jingbo Zhang'), arxiv.Result.Author('Lei Huo')]","We calculate the HBT radius $R_{\rm s}$ for $\pi^+$ particles with the
Coulomb interaction by using the string melting version of a multiphase
transport(AMPT) model. Then we study the single-particle space-momentum angle
distribution on the transverse plane and build the numerical connection between
this distribution and the transverse momentum dependence of $R_{\rm s}$.
Additionally, we study the Coulomb interaction effect on this numerical
connection."
86,"With further research, the chosen values and ﬁt results can be
improved by adding more collision energies and more accurate ﬁts.","The changing pattern for these two situations are similar, it is
reﬂected in these little close ﬁt results, while the diﬀerences of them are caused by
the Coulomb interaction, which has bigger inhibition for the strength of the transverse
momentum dependence of Rs at high collision energies, and this phenomenon is also
shown in Figure 5.","Conclusions

     With the string melting AMPT model, we calculate the HBT radius Rs for π+
in two situations, with and without Coulomb interaction.",2022-01-04 06:04:27+00:00,The single-particle space-momentum angle distribution effect on two-pion HBT correlation with the Coulomb interaction,nucl-th,"['nucl-th', 'hep-ph']","[arxiv.Result.Author('Hang Yang'), arxiv.Result.Author('Qichun Feng'), arxiv.Result.Author('Yanyv Ren'), arxiv.Result.Author('Jingbo Zhang'), arxiv.Result.Author('Lei Huo')]","We calculate the HBT radius $R_{\rm s}$ for $\pi^+$ particles with the
Coulomb interaction by using the string melting version of a multiphase
transport(AMPT) model. Then we study the single-particle space-momentum angle
distribution on the transverse plane and build the numerical connection between
this distribution and the transverse momentum dependence of $R_{\rm s}$.
Additionally, we study the Coulomb interaction effect on this numerical
connection."
87,"With further research, the chosen values and ﬁt results can be
improved by adding more collision energies and more accurate ﬁts.","Fit results for parameters µ and ν

                                           n=1                       n=2

                    µ11 −0.0004 ± 0.0003 −0.00004 ± 0.00003

   m=1              µ12              3.3 ± 0.5                       4.7 ± 0.4
   m=2
                    ν11 −0.086 ± 0.004                        −0.084 ± 0.003

                    ν12 −0.68 ± 0.09                          −0.94 ± 0.08

                    µ21 −0.024 ± 0.003                        −0.014 ± 0.003

                    µ22              2.3 ± 0.3                       3.2 ± 0.3

                    ν21 −0.021 ± 0.004                        −0.012 ± 0.002

                    ν22              2.4 ± 0.3                       3.3 ± 0.3

momentum dependence of Rs at high collision energies, and this phenomenon is also
shown in Figure 5.","15

Conclusions

     With the string melting AMPT model, we calculate the HBT radius Rs for π+
in two situations, with and without Coulomb interaction.",2022-01-04 06:04:27+00:00,The single-particle space-momentum angle distribution effect on two-pion HBT correlation with the Coulomb interaction,nucl-th,"['nucl-th', 'hep-ph']","[arxiv.Result.Author('Hang Yang'), arxiv.Result.Author('Qichun Feng'), arxiv.Result.Author('Yanyv Ren'), arxiv.Result.Author('Jingbo Zhang'), arxiv.Result.Author('Lei Huo')]","We calculate the HBT radius $R_{\rm s}$ for $\pi^+$ particles with the
Coulomb interaction by using the string melting version of a multiphase
transport(AMPT) model. Then we study the single-particle space-momentum angle
distribution on the transverse plane and build the numerical connection between
this distribution and the transverse momentum dependence of $R_{\rm s}$.
Additionally, we study the Coulomb interaction effect on this numerical
connection."
88,"With further research, the chosen values and ﬁt results can be
improved by adding more collision energies and more accurate ﬁts.","Fit results for parameters µ and ν

          n=1                                n=2

     µ11 −0.0004 ± 0.0003 −0.00004 ± 0.00003

m=1  µ12  3.3 ± 0.5      4.7 ± 0.4
m=2
     ν11 −0.086 ± 0.004  −0.084 ± 0.003

     ν12 −0.68 ± 0.09    −0.94 ± 0.08

     µ21 −0.024 ± 0.003  −0.014 ± 0.003

     µ22  2.3 ± 0.3      3.2 ± 0.3

     ν21 −0.021 ± 0.004  −0.012 ± 0.002

     ν22  2.4 ± 0.3      3.3 ± 0.3

momentum dependence of Rs at high collision energies, and this phenomenon is also
shown in Figure 5.","Conclusions

     With the string melting AMPT model, we calculate the HBT radius Rs for π+
in two situations, with and without Coulomb interaction.",2022-01-04 06:04:27+00:00,The single-particle space-momentum angle distribution effect on two-pion HBT correlation with the Coulomb interaction,nucl-th,"['nucl-th', 'hep-ph']","[arxiv.Result.Author('Hang Yang'), arxiv.Result.Author('Qichun Feng'), arxiv.Result.Author('Yanyv Ren'), arxiv.Result.Author('Jingbo Zhang'), arxiv.Result.Author('Lei Huo')]","We calculate the HBT radius $R_{\rm s}$ for $\pi^+$ particles with the
Coulomb interaction by using the string melting version of a multiphase
transport(AMPT) model. Then we study the single-particle space-momentum angle
distribution on the transverse plane and build the numerical connection between
this distribution and the transverse momentum dependence of $R_{\rm s}$.
Additionally, we study the Coulomb interaction effect on this numerical
connection."
89,"With further research, the experiment data can be directly used to study the
single-particle space-momentum correlation.","We improve
the ﬁt parameters and it makes our numerical correlation applied to the experiment
closer.","13

Table 1.",2022-01-04 06:04:27+00:00,The single-particle space-momentum angle distribution effect on two-pion HBT correlation with the Coulomb interaction,nucl-th,"['nucl-th', 'hep-ph']","[arxiv.Result.Author('Hang Yang'), arxiv.Result.Author('Qichun Feng'), arxiv.Result.Author('Jingbo Zhang')]","We calculate the HBT radius Rs for {\pi}+ particles with the Coulomb
interaction by using the string melting version of a multiphase transport(AMPT)
model. We study the relationship between the single-particle space-momentum
angle and the particle sources and discuss HBT radii without single-particle
space-momentum correlation. Additionally, we study the Coulomb interaction
effect on the numerical connection between the single-particle space-momentum
angle distribution and the transverse momentum dependence of Rs."
90,"With further research, the experiment data
can be directly used to study the single-particle space-momentum correlation.","We improve the ﬁt parameters and it makes our numerical
correlation applied to the experiment closer.","13

−0.25                                                    −0.25

−0.3                                                     −0.3

b                                                        b

−0.35                                                    −0.35

−0.4 with Coulomb interaction                            −0.4                       with Coulomb interaction
           without Coulomb interaction                            0.5               without Coulomb interaction

               4.5        5                   5.5                           1       1.5             2     2.5

                          k1                                                        j1

                    (a)                                                        (b)

−0.25                                                    −0.25

−0.3                                                     −0.3

b                                                        b

−0.35                                                    −0.35

−0.4                      with Coulomb interaction       −0.4          with Coulomb interaction
           −2             without Coulomb interaction
                                                                       without Coulomb interaction

                    −1.8                −1.6       −1.4                1.4     1.6       1.8           2

                          k2                                                        j2

                    (c)                                                        (d)

Figure 12.",2022-01-04 06:04:27+00:00,The single-particle space-momentum angle distribution effect on two-pion HBT correlation with the Coulomb interaction,nucl-th,"['nucl-th', 'hep-ph']","[arxiv.Result.Author('Hang Yang'), arxiv.Result.Author('Qichun Feng'), arxiv.Result.Author('Jingbo Zhang')]","We calculate the HBT radius Rs for {\pi}+ particles with the Coulomb
interaction by using the string melting version of a multiphase transport(AMPT)
model. We study the relationship between the single-particle space-momentum
angle and the particle sources and discuss HBT radii without single-particle
space-momentum correlation. Additionally, we study the Coulomb interaction
effect on the numerical connection between the single-particle space-momentum
angle distribution and the transverse momentum dependence of Rs."
319,"A further study to explore the possible halo structures in these nuclei needs careful analysis

                                                        21
          8                                                                      Rn
                    DRHBc PC-PK1
                                                                               Z = 8, 18, 28, ... , 118
          7                                                                    Z = 10, 20, 30, ... , 120
                                                                               Z = 12, 22, 32, ... , 112
n (fm) R  6                                                      Se            Z = 14, 24, 34, ... , 114
                                                                               Z = 16, 26, 36, ... , 116
                    Ca

          5     Mg

          4

                      r N1/3
                                                              0

          3

          2

             0  40      80                                           120  160  200  240  280              320

                                                                 Neutron number N

FIG.","Near the
neutron drip line, one can see pronounced deviations in some isotopic chains, such as Mg,
Ca, Se, and Rn, which indicate the possible existence of the halo or giant halo phenomena.","7: (Color online) Neutron rms radii for even-even nuclei with 8 ≤ Z ≤ 120 from the DRHBc
calculations with PC-PK1 as a function of the neutron number.",2022-01-10 08:48:52+00:00,Nuclear mass table in deformed relativistic Hartree-Bogoliubov theory in continuum: I. even-even nuclei,nucl-th,"['nucl-th', 'astro-ph.SR', 'nucl-ex']","[arxiv.Result.Author('DRHBc Mass Table Collaboration'), arxiv.Result.Author('Kaiyuan Zhang'), arxiv.Result.Author('Myung-Ki Cheoun'), arxiv.Result.Author('Yong-Beom Choi'), arxiv.Result.Author('Pooi Seong Chong'), arxiv.Result.Author('Jianmin Dong'), arxiv.Result.Author('Zihao Dong'), arxiv.Result.Author('Xiaokai Du'), arxiv.Result.Author('Lisheng Geng'), arxiv.Result.Author('Eunja Ha'), arxiv.Result.Author('Xiao-Tao He'), arxiv.Result.Author('Chan Heo'), arxiv.Result.Author('Meng Chit Ho'), arxiv.Result.Author('Eun Jin In'), arxiv.Result.Author('Seonghyun Kim'), arxiv.Result.Author('Youngman Kim'), arxiv.Result.Author('Chang-Hwan Lee'), arxiv.Result.Author('Jenny Lee'), arxiv.Result.Author('Hexuan Li'), arxiv.Result.Author('Zhipan Li'), arxiv.Result.Author('Tianpeng Luo'), arxiv.Result.Author('Jie Meng'), arxiv.Result.Author('Myeong-Hwan Mun'), arxiv.Result.Author('Zhongming Niu'), arxiv.Result.Author('Cong Pan'), arxiv.Result.Author('Panagiota Papakonstantinou'), arxiv.Result.Author('Xinle Shang'), arxiv.Result.Author('Caiwan Shen'), arxiv.Result.Author('Guofang Shen'), arxiv.Result.Author('Wei Sun'), arxiv.Result.Author('Xiang-Xiang Sun'), arxiv.Result.Author('Chi Kin Tam'), arxiv.Result.Author('Thaivayongnou'), arxiv.Result.Author('Chen Wang'), arxiv.Result.Author('Xingzhi Wang'), arxiv.Result.Author('Sau Hei Wong'), arxiv.Result.Author('Jiawei Wu'), arxiv.Result.Author('Xinhui Wu'), arxiv.Result.Author('Xuewei Xia'), arxiv.Result.Author('Yijun Yan'), arxiv.Result.Author('Ryan Wai-Yen Yeung'), arxiv.Result.Author('To Chung Yiu'), arxiv.Result.Author('Shuangquan Zhang'), arxiv.Result.Author('Wei Zhang'), arxiv.Result.Author('Xiaoyan Zhang'), arxiv.Result.Author('Qiang Zhao'), arxiv.Result.Author('Shan-Gui Zhou')]","Ground-state properties of even-even nuclei with $8\le Z\le120$ from the
proton drip line to the neutron drip line have been investigated using the
deformed relativistic Hartree-Bogoliubov theory in continuum (DRHBc) with the
density functional PC-PK1. With the effects of deformation and continuum
included simultaneously, 2583 even-even nuclei are predicted to be bound. The
calculated binding energies, two-nucleon separation energies, root-mean-square
(rms) radii of neutron, proton, matter, and charge distributions, quadrupole
deformations, and neutron and proton Fermi surfaces are tabulated and compared
with available experimental data. The rms deviation from the 637 mass data is
1.518 MeV, providing one of the best microscopic descriptions for nuclear
masses. The drip lines obtained from DRHBc calculations are compared with other
calculations, including the spherical relativistic continuum Hartree-Bogoliubov
(RCHB) and triaxial relativistic Hartree-Bogoliubov (TRHB) calculations with
PC-PK1. The deformation and continuum effects on the limits of the nuclear
landscape are discussed. Possible peninsulas consisting of bound nuclei beyond
the two-neutron drip line are predicted. The systematics of the two-nucleon
separation energies, two-nucleon gaps, rms radii, quadrupole deformations,
potential energy curves, neutron densities, neutron mean-field potentials, and
pairing energies in the DRHBc calculations are also discussed. In addition, the
$\alpha$ decay energies extracted are in good agreement with available data."
