,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
1756,"In either case, further study is needed in this direction.","The
answer may lie in a diﬀerent method for conﬁguring the parameters ξi or it may be the case that this is a
property intrinsic to the SALT method.","It will also be necessary to determine in future work whether the eﬀects observed in these stochastic
parameterisations are dependent on the mesh resolution.",2022-02-09 11:30:10+00:00,Variational Stochastic Parameterisations and their Applications to Primitive Equation Models,physics.ao-ph,"['physics.ao-ph', 'physics.comp-ph']","[arxiv.Result.Author('Ruiao Hu'), arxiv.Result.Author('Stuart Patching')]","We present a numerical investigation into the stochastic parameterisations of
the Primitive Equations (PE) using the Stochastic Advection by Lie Transport
(SALT) and Stochastic Forcing by Lie Transport (SFLT) frameworks. These
frameworks were chosen due to their structure-preserving introduction of
stochasticity, which decomposes the transport velocity and fluid momentum into
their drift and stochastic parts, respectively. In this paper, we develop a new
calibration methodology to implement the momentum decomposition of SFLT and
compare with the Lagrangian path methodology implemented for SALT. The
resulting stochastic Primitive Equations are then integrated numerically using
a modification of the FESOM2 code. For certain choices of the stochastic
parameters, we show that SALT causes an increase in the eddy kinetic energy
field and an improvement in the spatial spectrum. SFLT also shows improvements
in these areas, though to a lesser extent. SALT does, however, have the
drawback of an excessive downwards diffusion of temperature."
1757,"In either case, further study is needed in
this direction.","The answer may lie in a diﬀerent method for conﬁguring the parameters
ξi or it may be the case that this is a property intrinsic to SALT.","The stochastic parameterisation frameworks considered in this paper distils all uncertainties of the ocean
models into the stochastic parameters ξi and φI .",2022-02-09 11:30:10+00:00,Variational Stochastic Parameterisations and their Applications to Primitive Equation Models,physics.ao-ph,"['physics.ao-ph', 'physics.comp-ph']","[arxiv.Result.Author('Ruiao Hu'), arxiv.Result.Author('Stuart Patching')]","We present a numerical investigation into the stochastic parameterisations of
the Primitive Equations (PE) using the Stochastic Advection by Lie Transport
(SALT) and Stochastic Forcing by Lie Transport (SFLT) frameworks. These
frameworks were chosen due to their structure-preserving introduction of
stochasticity, which decomposes the transport velocity and fluid momentum into
their drift and stochastic parts, respectively. In this paper, we develop a new
calibration methodology to implement the momentum decomposition of SFLT and
compare with the Lagrangian path methodology implemented for SALT. The
resulting stochastic Primitive Equations are then integrated numerically using
a modification of the FESOM2 code. For certain choices of the stochastic
parameters, we show that SALT causes an increase in the eddy kinetic energy
field and an improvement in the spatial spectrum. SFLT also shows improvements
in these areas, though to a lesser extent. SALT does, however, have the
drawback of an excessive downwards diffusion of temperature."
1759,"Nonetheless, the two models introduced here merit further study in several directions.","Secondly,
requiring that 2{pF r2σ2q “ Op1q ensures that the time scale for the wave envelope dynamics matches
that for the ﬂuid motion.","For example,
it remains to: (1) quantify the correlations observed visually; (2) determine their rate of formation; and
(3) parameterise the model for comparison and analysis of the satellite data on which their derivations
were based.",2022-02-08 15:11:01+00:00,Ponderomotive coupling of waves to sea surface currents via horizontal density gradients,physics.ao-ph,"['physics.ao-ph', 'math-ph', 'math.MP', 'physics.flu-dyn']","[arxiv.Result.Author('Darryl D. Holm'), arxiv.Result.Author('Ruiao Hu'), arxiv.Result.Author('Oliver D. Street')]","The mathematical models and numerical simulations reported here are motivated
by satellite observations of horizontal sea surface fluid motions that are
closely coordinated with the vertical motion of waves or, after an
approximation, an envelope of rapidly oscillating waves. This coordination of
fluid movements with wave envelopes tends to occur when strong horizontal
buoyancy gradients are present. The nonlinear models of this coordinated
movement presented here may provide future opportunities for the optimal design
of satellite imagery that could simultaneously capture the dynamics of both
waves and currents directly.
  The models derived here appear first in their unapproximated form, then again
with a slowly varying envelope (SVE) approximation using the WKB approach. The
WKB wave-current-buoyancy interaction model derived here for a free surface
with horizontal buoyancy gradients indicates that the mechanism for these
correlations is the ponderomotive force of the slowly varying envelope of
rapidly oscillating waves acting on the surface currents via the horizontal
buoyancy gradient. In this model, the buoyancy gradient appears explicitly in
the WKB wave momentum, which in turn generates density-weighted potential
vorticity whenever the buoyancy gradient is not aligned with the wave-envelope
gradient."
1760,"Nonetheless, the two models introduced here merit further study in several directions.","Secondly,
requiring that 2{pF r2σ2q “ Op1q ensures that the time scale for the wave envelope dynamics matches
that for the ﬂuid motion.","For example,
it remains to: (1) quantify the correlations observed visually; (2) determine their rate of formation; and
(3) parameterise the model for comparison and analysis of the satellite data on which their derivations
were based.",2022-02-08 15:11:01+00:00,Coupling of waves to sea surface currents via horizontal density gradients,physics.ao-ph,"['physics.ao-ph', 'math-ph', 'math.MP', 'physics.flu-dyn']","[arxiv.Result.Author('Darryl D. Holm'), arxiv.Result.Author('Ruiao Hu'), arxiv.Result.Author('Oliver D. Street')]","The mathematical models and numerical simulations reported here are motivated
by satellite observations of horizontal gradients of sea surface temperature
and salinity that are closely coordinated with the slowly varying envelope of
the rapidly oscillating waves. This coordination of gradients of fluid material
properties with wave envelopes tends to occur when strong horizontal buoyancy
gradients are present. The nonlinear models of this coordinated movement
presented here may provide future opportunities for the optimal design of
satellite imagery that could simultaneously capture the dynamics of both waves
and currents directly. The model derived here appears in two levels of
approximation: first for rapidly oscillating waves, and then for their slowly
varying envelope (SVE) approximation obtained by using the WKB approach. The
WKB wave-current-buoyancy interaction model derived here for a free surface
with significant horizontal buoyancy gradients indicates that the mechanism for
the emergence of these correlations is the ponderomotive force of the slowly
varying envelope of rapidly oscillating waves acting on the surface currents
via the horizontal buoyancy gradient. In this model, the buoyancy gradient
appears explicitly in the WKB wave momentum, which in turn generates
density-weighted potential vorticity whenever the buoyancy gradient is not
aligned with the wave-envelope gradient."
4381,"Though the challenges in constraining the uncertainties in the eddy energy
dissipation time-scale are formidable, the observed/diagnosed eddy energy signature
can perhaps act as a target towards eﬀorts to constrain the aforementioned unknowns,
highlighting the potential for further research relating to ocean energetic pathways and
its consequences for climate evolution (see for example Ruan et al.","Xu et al., 2016; Rai et
al., 2021).","(2021) for a recent
review of research relating to ocean eddy energy pathways).",2022-04-05 09:17:37+00:00,Acute sensitivity of global ocean circulation and heat content to eddy energy dissipation time-scale,physics.ao-ph,"['physics.ao-ph', 'physics.flu-dyn']","[arxiv.Result.Author('Julian Mak'), arxiv.Result.Author('David P. Marshall'), arxiv.Result.Author('Gurvan Madec'), arxiv.Result.Author('James R. Maddison')]","The global ocean overturning circulation, critically dependent on the global
density stratification, plays a central role in regulating climate evolution.
While it is well-known that the global stratification profile exhibits a strong
dependence to Southern Ocean dynamics and in particular to wind and buoyancy
forcing, we demonstrate here that the stratification is also acutely sensitive
to the mesoscale eddy energy dissipation time-scale. Within the context of a
global ocean circulation model with an energy constrained mesoscale eddy
parameterization, it is shown that modest variations in the eddy energy
dissipation time-scale lead to significant variations in key metrics relating
to ocean circulation, namely the Antarctic Circumpolar Current transport,
Atlantic Meridional Overturning Circulation strength, and global ocean heat
content, over long time-scales. The results highlight a need to constrain
uncertainties associated with eddy energy dissipation for climate model
projections over centennial time-scales, but also for paleoclimate simulations
over millennial time-scales."
4574,"The possible
reason for increasing SM influence over NCI could be linked with wetning or drying of land
surface states, however, further research needs to be carried out to evaluate such effect.","The model simulation also revealed the increase in the
impact of SM on ExTI in the future climate under the 4K warming scenario over NCI.","The present study also evaluates the seasonal contribution of SM on ExT using PDFs of seasonal
maxima over the NCI.",2022-04-08 13:57:39+00:00,Assessing the impact of soil moisture-temperature coupling on temperature extremes over the Indian region,physics.ao-ph,"['physics.ao-ph', 'physics.data-an']","[arxiv.Result.Author('Naresh G Ganeshi'), arxiv.Result.Author('Milind Mujumdar'), arxiv.Result.Author('Takaya Yuhei'), arxiv.Result.Author('Mangesh M Goswami'), arxiv.Result.Author('Bhupendra Bahadur Singh'), arxiv.Result.Author('R Krishnan'), arxiv.Result.Author('Toru Terao')]","While previous model sensitivity studies have mainly focused on discerning
the soil moisture-precipitation feedback processes over the Indian region, the
present study investigates the impact of soil moisture-temperature (SM-T)
coupling on the temperature extremes (ExT) using the high-resolution (~60 km)
model simulations. These simulations include the control and soil moisture (SM)
sensitivity experiments (DRY-SM and WET-SM) initialized by perturbing
(decreasing/increasing) SM from the historical (HIST: 1951-2010) and future 4K
warming (FUT: 2051-2100) control runs. The analysis identifies the transitional
regions of north-central India (NCI) as the hotspot of strong SM-T coupling.
Over NCI, the HIST experiment shows an occurrence of 4-5 extreme events per
year, with an average duration of 5-6 days per event and intensity exceeding
46oC. Whereas, FUT estimates indicate relatively severe, long-lasting, and more
frequent extreme events. The SM sensitivity experiments reveal the significant
influence of SM-T coupling on the ExT over NCI in both historical and future
climates. We find that the DRY-SM results in significant enhancement of
frequency, duration and intensity of ExT, in contrast to WET-SM. We note that
the difference between DRY-SM and WET-SM 50-year return value of the block
maxima GEV fit can reach upto 1.25oC and 3oC for historical and future climate,
respectively. The enhanced (reduced) extreme temperature conditions in DRY-SM
(WET-SM) simulation are caused by the intensification (abridgement) of sensible
heat flux by limiting (intensifying) available total energy for evaporative
cooling due to faster (slower) dissipation of positive soil moisture anomalies
(also called as soil moisture memory). In addition, the influence of SM on ExT
over NCI is found to be larger during the post-monsoon season as compared to
the pre-monsoon and monsoon seasons."
5145,"The fact, how does the regression model behaves towards various input data, and the correlation analysis
results as well encourages us for the further study.","Training (or calibration) of a model was required prior to its usage for estimations (and at this stage the
local data was used).","The signal processing algorithm is going to be reconﬁgured
for estimating surface state in remote points.",2022-04-21 15:03:59+00:00,Surface waves prediction based on long-range acoustic backscattering in a mid-frequency range,physics.ao-ph,"['physics.ao-ph', 'eess.SP']","[arxiv.Result.Author('Alexey V. Ermoshkin'), arxiv.Result.Author('Dmitry A. Kosteev'), arxiv.Result.Author('Alexander A. Ponomarenko'), arxiv.Result.Author('Dmitry D. Razumov'), arxiv.Result.Author('Mikhail B. Salin')]","New data was obtained for a frequency band that had not been so well-studied
for sea surface probing applications before. During the described 2-weeks sea
experiment 1-3 kHz tonal pulses were emitted from a platform, located on the
northern Black Sea shelf, and Doppler spectrum of reverberation was studied. We
believe that this band is worth further studying due the sound propagation
range is large enough to meet practical needs in coastal zone while the
angle-distance resolution is quite moderate. However it is quite difficult to
interpret the obtained data since backscattering spectrum shape is influenced
by a series of effects and has a complicated link to wind waves and currents
parameters. Backscattering of acoustical signals was received for distances
around 2 nautical miles. Significant wave height, dominant wave frequency were
estimated as the result of such signals processing with the use of machine
learning tools. A decision-tree-based mathematical regression model was trained
to solve the inverse problem. Wind waves prediction is in a good agreement with
direct measurements, made on the platform, and machine learning results allow
physical interpretation."
5146,"The fact, how does the regression model behaves towards various input data, and the correlation analysis
results as well encourages us for the further study.","Training (or calibration) of a model was required prior to its usage for estimations (and at this stage the
local data was used).","The signal processing algorithm is going to be reconﬁgured
for estimating surface state in remote points.",2022-04-21 15:03:59+00:00,Surface waves prediction based on long-range acoustic backscattering in a mid-frequency range,physics.ao-ph,"['physics.ao-ph', 'eess.SP']","[arxiv.Result.Author('Alexey V. Ermoshkin'), arxiv.Result.Author('Dmitry A. Kosteev'), arxiv.Result.Author('Alexander A. Ponomarenko'), arxiv.Result.Author('Dmitry D. Razumov'), arxiv.Result.Author('Mikhail B. Salin')]","New data was obtained for a frequency band that had not been so well-studied
for sea surface probing applications before. During the described 2-weeks sea
experiment 1-3 kHz tonal pulses were emitted from a platform, located on the
northern Black Sea shelf, and Doppler spectrum of reverberation was studied. We
believe that this band is worth further studying due the sound propagation
range is large enough to meet practical needs in coastal zone while the
angle-distance resolution is quite moderate. However it is quite difficult to
interpret the obtained data since backscattering spectrum shape is influenced
by a series of effects and has a complicated link to wind waves and currents
parameters. Backscattering of acoustical signals was received for distances
around 2 nautical miles. Significant wave height, dominant wave frequency were
estimated as the result of such signals processing with the use of machine
learning tools. A decision-tree-based mathematical regression model was trained
to solve the inverse problem. Wind waves prediction is in a good agreement with
direct measurements, made on the platform, and machine learning results allow
physical interpretation."
5174,"Since
chaos cannot arise when δ = 0, it might serve naturally as a bifurcation parameter inviting further study.","Circumscribing the
possibilities for dynamics when this sum of quadratic coeﬃcients δ is nonzero is an open question.","It is also important to consider the origin of nonzero δ in the conservative core of models having these
structures (e.g.",2022-04-21 18:23:48+00:00,Invariants and chaos in the Volterra gyrostat without energy conservation,physics.ao-ph,"['physics.ao-ph', 'math.DS']","[arxiv.Result.Author('Ashwin K Seshadri'), arxiv.Result.Author('S Lakshmivarahan')]","The model of the Volterra gyrostat (VG) has not only played an important role
in rigid body dynamics but also served as the foundation of low-order models of
many naturally occurring systems. It is well known that VG possesses two
invariants, or constants of motion, corresponding to kinetic energy and squared
angular momentum, giving oscillatory solutions to its equations of motion. Nine
distinct subclasses of the VG have been identified, two of which the Euler
gyroscope and Lorenz gyrostat are each known to have two constants. This paper
provides a complete characterization of constants of motion of the VG and its
subclasses, showing how these enjoy two constants of motion even when rendered
in terms of a non-invertible transformation of parameters, leading to a
transformed Volterra gyrostat (tVG). If the quadratic coefficients of the tVG
sum to zero, as they do for the VG, the system conserves energy. In all of
these cases, the flows preserve volume; however, physical models where the
quadratic coefficients do not sum to zero are ubiquitous, and characterization
of constants of motion and the resulting dynamics for this more general class
of models with volume conservation but without energy conservation is lacking.
We provide such a characterization for each of the subclasses. Those with three
linear feedback terms have no constants of motion, and thereby admit rich
dynamics including chaos. This gives rise to a broad class of three-dimensional
volume conserving chaotic flows, arising naturally from model reduction
techniques."
6270,"To further study how diurnal SST warming impacts the atmospheric convection,
our model can be coupled to cloud-resolving models.",Our model produces agreeing results for the given case study.,"Recently, we implemented our
upper ocean model as an interactive lower boundary condition in the System for At-
mospheric Modeling (SAM) model.",2022-05-16 18:31:50+00:00,Modeling wind-responsive diurnal sea surface temperature for cloud-resolving simulations,physics.ao-ph,"['physics.ao-ph', 'physics.flu-dyn', 'physics.geo-ph']","[arxiv.Result.Author('Reyk Börner'), arxiv.Result.Author('Jan O. Haerter'), arxiv.Result.Author('Romain Fiévet')]","The diurnal variability of sea surface temperature (SST) may play an
important role for cloud organization above the tropical ocean, with
implications for precipitation extremes, storminess and climate sensitivity.
Recent cloud-resolving simulations demonstrate how imposed diurnal SST
oscillations can strongly, and delicately, impact mesoscale convective
organization. In spite of the nuanced effects on organization, many idealized
modeling studies of tropical convection either assume a constant, homogeneous
SST or, in case of a responsive sea surface, represent the upper ocean by a
slab with fixed thickness. In this paper, we show that slab ocean models with
constant heat capacity fail to capture the wind-dependence of observed diurnal
sea surface warming. To alleviate this shortcoming, we present a simple
one-dimensional model of upper-ocean temperature dynamics under atmospheric
forcing. The model describes turbulent mixing as diffusion with a
wind-dependent diffusivity, in addition to a bulk mixing term and heat fluxes
entering as sources and sinks. We apply Bayesian inference using observational
data to calibrate the model. In contrast with slab models, our model captures
the exponential reduction of the diurnal warming amplitude with increased wind
speed. Formulated as a single partial differential equation with three key
parameters, the model is suitable as an interactive numerical boundary
condition for cloud-resolving simulations."
