,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
629,"While this dependence merits further study, here we operate
the system in a relatively low density regime compared to our density shift measurements
to determine a near optimal coherence.","Due to very strong s-wave interactions on this transition, we observe a signiﬁcant
dependence on local density.","Fitting a single exponential time decay to the
contrast, we measure an atomic coherence time of 20(1) s. The regions of study are
selected by ﬁtting a Gaussian to the atomic distribution and selecting two regions from
the center to 1.5 times the Gaussian RMS width.",2022-01-15 18:53:11+00:00,Hamiltonian engineering of spin-orbit coupled fermions in a Wannier-Stark optical lattice clock,physics.atom-ph,"['physics.atom-ph', 'cond-mat.quant-gas']","[arxiv.Result.Author('Alexander Aeppli'), arxiv.Result.Author('Anjun Chu'), arxiv.Result.Author('Tobias Bothwell'), arxiv.Result.Author('Colin J. Kennedy'), arxiv.Result.Author('Dhruv Kedar'), arxiv.Result.Author('Peiru He'), arxiv.Result.Author('Ana Maria Rey'), arxiv.Result.Author('Jun Ye')]","Engineering a Hamiltonian system with tunable interactions provides
opportunities to optimize performance for quantum sensing and explore emerging
phenomena of many-body systems. An optical lattice clock based on partially
delocalized Wannier-Stark states in a gravity-tilted shallow lattice supports
superior quantum coherence and adjustable interactions via spin-orbit coupling,
thus presenting a powerful spin model realization. The relative strength of the
on-site and off-site interactions can be tuned to achieve a zero density shift
at a `magic' lattice depth. This mechanism, together with a large number of
atoms, enables the demonstration of the most stable atomic clock while
minimizing a key systematic uncertainty related to atomic density. Interactions
can also be maximized by driving off-site Wannier-Stark transitions, realizing
a ferromagnetic to paramagnetic dynamical phase transition."
1778,"We plan to actively monitor the environment around the shaft to further study the
impact and mitigation strategies being developed for MAGIS-100 noise sources.","We have characterized the temperature and seismic environment of the MAGIS-100 installation
site and examined the expected magnitudes of the systematic noise that arises from environmental
ﬂuctuations.","These studies

                                                    – 17 –
have and will continue to guide research and development of various crucial engineering and design
choices for the optical system, the atom sources, and the vacuum pipe.",2022-02-09 23:06:34+00:00,MAGIS-100 Environmental Characterization and Noise Analysis,physics.atom-ph,"['physics.atom-ph', 'gr-qc', 'physics.ins-det']","[arxiv.Result.Author('Jeremiah Mitchell'), arxiv.Result.Author('Timothy Kovachy'), arxiv.Result.Author('Steve Hahn'), arxiv.Result.Author('Phil Adamson'), arxiv.Result.Author('Swapan Chattopadhyay')]","We investigate and analyze site specific systematics for the MAGIS-100 atomic
interferometry experiment at Fermi National Accelerator Laboratory. As atom
interferometers move out of the laboratory environment passive and active
mitigation for noise sources must be implemented. To inform the research and
development of the experiment design, we measure ambient temperature, humidity,
and vibrations of the installation site. We find that temperature fluctuations
will necessitate enclosures for critical subsystems and a temperature
controlled laser room for the laser system. We also measure and analyze the
vibration spectrum above and below ground for the installation site. The
seismic vibration effect of gravity gradient noise is also modeled using input
from a low-noise seismometer at multiple locations and a mitigation scheme is
studied using a stochastic simulation and characterized by a suppression
factor."
2671,"Here, we further study the iodine spectrum at 739 nm and
                                                 nm[2], 561 nm[3], 578 nm[4], 605 nm[5], 612 nm[6], 633 nm[7],        found the transition used in reference [10] is B(1)-X(11) R(78).","Stabilization of lasers to various    cell using saturated-absorption spectroscopy and modulation
                                                 hyperﬁne components of molecular iodine have been demon-             transfer technique for keeping its long-term frequency stability
                                                 strated for many different wavelengths, such as 532 nm[1], 548       [10].","650 nm[8], 660 nm[9], 739 nm[10], 830 nm[11].",2022-03-02 05:39:33+00:00,Frequency stabilization of a 739 nm laser to an $I_2$ spectrum for trapped Ytterbium ions,physics.atom-ph,['physics.atom-ph'],"[arxiv.Result.Author('Hao Wu'), arxiv.Result.Author('PengFei Lu'), arxiv.Result.Author('Yang Liu'), arxiv.Result.Author('JiangYong Hu'), arxiv.Result.Author('QiFeng Lao'), arxiv.Result.Author('XinXin Rao'), arxiv.Result.Author('LunHua Deng'), arxiv.Result.Author('Feng Zhu'), arxiv.Result.Author('Le Luo')]","We report on the frequency stabilization of a 739 nm Ti:sapphire laser to a
hyperfine component of the $^{127}I_{2}$ B(1)-X(11) P(70) transition using
acousto-optic modulation transfer spectroscopy (MTS). A frequency stability of
$3.83\times 10^{-11}$ around 13 s averaging time is achieved when the laser
frequency is stabilized. The observed hyperfine transition of the molecular
iodine is an ideal frequency reference for locking the lasers used in
experiments with trapped ytterbium ions, since its second harmonic frequency is
the $^{2}S_{\frac{1}{2}}-^{2}P_{\frac{1}{2}}$ transition of the ytterbium ion
at 369.5 nm. By investigating the line broadening effects due to the iodine
vapor pressure and laser power, the locking is optimized to the theoretical
signal to noise ratio (TSNR) of this iodine transition."
4007,"(1)

   In the last decades, atomic structure and its χ value have been further researched
[23, 24, 25, 26, 27, 28, 29, 30] with the transition probabilities of forbidden lines.","Although these two groups used diﬀerent techniques to calibrate their measured PNC rotations,
this discrepancy was still partially attributed to that their optical rotation proﬁle analysis used a
diﬀerent χ value, which is the ratio of electric quadrupole (E2) amplitude to the M 1 amplitude
and deﬁned by the operators Q(2) and µ(1) [22]:

        ω J ||Q(2)||J
χ ≡ 4√3 J ||µ(1)||J .","In 1964, [27]
used intermediate coupling theory to obtain the atomic structure.",2022-03-29 08:54:23+00:00,New measurement of the electric quadrupole amplitude in atomic thallium $6P_{1/2}\rightarrow6P_{3/2}$ transition using electromagnetically induced transparency,physics.atom-ph,['physics.atom-ph'],"[arxiv.Result.Author('Wei Ling Chen'), arxiv.Result.Author('Wei Min Hsu'), arxiv.Result.Author('Ya Han Chiang'), arxiv.Result.Author('Li Bang Wang'), arxiv.Result.Author('Yi Wei Liu')]","We report a new measurement of the transition amplitude ratio $\chi$ of an
electric quadrupole ($E2$) to a magnetic dipole ($M1$) of the
$6P_{1/2}\rightarrow6P_{3/2}$ transition in atomic thallium. We utilized the
electromagnetically induced transparency (EIT) mechanism and the
sideband-bridging technique to resolve the isotopic transitions and their
hyperfine manifold. Our measurement gave $\chi_{205}~=~0.2550(20)(2)$ for
$^{205}$Tl, and $\chi_{203}=0.2532(73)(2)$ for $^{203}$Tl, which was measured
for the first time. Our result provides a reference point for the theoretical
calculation of atomic structure and new input for the long dispute on the
atomic thallium PNC measurements."
4900,"repumper power, measurements of MOT decay implies a
                                                                 one-body lifetime of τ = 12.3(3) s. This lifetime as well
   To further study repumping eﬃciency, we vary re-              as repumper characterization conﬁrms that all leakage
pumper powers and measure the eﬀect on the MOT one-              pathways are suﬃciently closed.","With ample
mean-square radii σx = 1.0 mm and σz = 1.3 mm.","Meanwhile, we observed
body lifetime and steady-state atom number.",2022-04-15 15:18:30+00:00,Magneto-optical trap of a Group III atom,physics.atom-ph,"['physics.atom-ph', 'cond-mat.quant-gas']","[arxiv.Result.Author('Xianquan Yu'), arxiv.Result.Author('Jinchao Mo'), arxiv.Result.Author('Tiangao Lu'), arxiv.Result.Author('Ting You Tan'), arxiv.Result.Author('Travis L. Nicholson')]","We realize the first magneto-optical trap of an atom in main group III of the
Periodic Table. Our atom of choice (indium) does not have a transition out of
its ground state suitable for laser cooling; therefore, laser cooling is
performed on the $\lvert 5P_{3/2},F=6 \rangle \rightarrow \lvert 5D_{5/2},F=7
\rangle$ transition, where $\lvert 5P_{3/2},F=6 \rangle$ is a long-lived
metastable state. Optimization of our trap parameters results in atoms numbers
as large as $5\times10^8$ atoms with temperatures of order 1 mK. Additionally,
through trap decay measurements, we infer a one-body trap lifetime of 12.3 s.
This lifetime is consistent with background gas collisions and indicates that
our repumpers have closed all leakage pathways. We also infer a two-body loss
rate of $1.6\times 10^{-11}\ \mathrm{cm^3/s}$, which is comparable to those
measured in alkali atoms. The techniques demonstrated in this work can be
straightforwardly applied to other group III atoms, and our results pave the
way for realizing quantum degenerate gases of these particles."
4901,"one-body lifetime of τ = 12.3(3) s. This lifetime as well
                                                                 as repumper characterization conﬁrms that all leakage
   To further study repumping eﬃciency, we vary re-              pathways are suﬃciently closed.","With ample
the steady-state MOT ﬂuorescence image yields root-mean-         repumper power, measurements of MOT decay implies a
square radii σx = 1.0 mm and σz = 1.3 mm.","Meanwhile, we observed
pumper powers and measure the eﬀect on the MOT one-              a two-body rate of β = 1.6(5)×10−11 cm3/s.",2022-04-15 15:18:30+00:00,Magneto-optical trap of a Group III atom,physics.atom-ph,"['physics.atom-ph', 'cond-mat.quant-gas']","[arxiv.Result.Author('Xianquan Yu'), arxiv.Result.Author('Jinchao Mo'), arxiv.Result.Author('Tiangao Lu'), arxiv.Result.Author('Ting You Tan'), arxiv.Result.Author('Travis L. Nicholson')]","We realize the first magneto-optical trap of an atom in main group III of the
Periodic Table. Our atom of choice (indium) does not have a transition out of
its ground state suitable for laser cooling; therefore, laser cooling is
performed on the $\lvert 5P_{3/2},F=6 \rangle \rightarrow \lvert 5D_{5/2},F=7
\rangle$ transition, where $\lvert 5P_{3/2},F=6 \rangle$ is a long-lived
metastable state. Optimization of our trap parameters results in atoms numbers
as large as $5\times10^8$ atoms with temperatures of order 1 mK. Additionally,
through trap decay measurements, we infer a one-body trap lifetime of 12.3 s.
This lifetime is consistent with background gas collisions and indicates that
our repumpers have closed all leakage pathways. We also infer a two-body loss
rate of $1.6\times 10^{-11}\ \mathrm{cm^3/s}$, which is comparable to those
measured in alkali atoms. The techniques demonstrated in this work can be
straightforwardly applied to other group III atoms, and our results pave the
way for realizing quantum degenerate gases of these particles."
5902,"data for atomic hydrogen, helium and molecular hydro-                    This is the direction of our further research.","Our work opens the way to accurate calculations
alized multi-photon cross sections to available published                of multi-photon processes in multi-electron molecules.","gen. We also provide original results for two-photon ion-
ization of CO2, below and above the ATI threshold.",2022-05-08 08:28:47+00:00,Multi-photon above threshold ionization of multi-electron atoms and molecules using the R-matrix approach,physics.atom-ph,['physics.atom-ph'],"[arxiv.Result.Author('Jakub Benda'), arxiv.Result.Author('Zdeněk Mašín')]","We formulate a computationally efficient time-independent method based on the
multi-electron molecular R-matrix formalism. This method is used to calculate
transition matrix elements for the multi-photon ionization of atoms and
molecules under the influence of a perturbative field. The method relies on the
partitioning of space which allows us to calculate the infinite-range free-free
dipole integrals analytically in the outer region, beyond the range of the
initial bound wave function. This approach is valid for an arbitrary order,
that is, any number of photons absorbed both in the bound and the continuum
part of the spectrum (below- and above-threshold ionization). We calculate
generalized multi-photon cross sections and angular distributions of different
systems (H, He, H2, CO2) and validate our approach by comparison with data from
the literature."
5937,"Temperature increases slowly
cloud does not change its size typically after 15 ms hold                                       to around 80 µK as the deturning is further increased
time and hence the power of the blue laser is lowered                                           towards −4 MHz from the point of minimum, and it
for 15 ms for further studying the eﬀect of blue laser                                          increases rapidly to around 170 µK as the detuning is
detuning on number of atoms and temperature.",It is also clear from the graph that the MOT                                      it is around 54(10) µK.,changed towards resonance.,2022-05-09 05:48:49+00:00,Narrow-line cooling of $^{87}$Rb using 5S$_{1/2} \rightarrow$ 6P$_{3/2}$ open transition at 420 nm,physics.atom-ph,['physics.atom-ph'],"[arxiv.Result.Author('Rajnandan Choudhury Das'), arxiv.Result.Author('Dangka Shylla'), arxiv.Result.Author('Arkapravo Bera'), arxiv.Result.Author('Kanhaiya Pandey')]","Magneto-optical trap (MOT) at narrow (weak) transition offers lower
temperature and hence is the key for production of high phase density atomic
cloud and subsequently quantum degeneracy with high number of atoms for many
elements. In this paper, we describe loading of $^{87}$Rb atoms in the MOT
using a narrow open transition at 420 nm from the routinely implemented MOT
using broad cyclic transition at 780 nm (IR). The total linewidth of the blue
transition, 5S$_{1/2} \rightarrow $ 6P$_{3/2}$ is 1.4 MHz, which is around 4
times narrower than the standard 5S$_{1/2} \rightarrow$ 5P$_{3/2}$ cyclic
transition. Using this narrow transition, we have trapped around $10^{8}$ atoms
in the MOT with a typical temperature of around $54~\mu$K. We have also studied
the behavior of the blue MOT with various parameters such as hold time,
detuning and power of trapping and repumper beams."
6195,nundrum and merits further study.,"The top right shows the windowed unit cell averaging results, with σ equal to the value at top center, and the
 bottom right shows the normalized residual between the previous and current windowed unit cell averaged results.",FIG.,2022-05-15 02:33:48+00:00,Time Correlation Filtering Reveals Two-Path Electron Quantum Interference in Strong-Field Ionization,physics.atom-ph,['physics.atom-ph'],"[arxiv.Result.Author('Nicholas Werby'), arxiv.Result.Author('Andrew S. Maxwell'), arxiv.Result.Author('Ruaridh Forbes'), arxiv.Result.Author('Carla Figueira de Morisson Faria'), arxiv.Result.Author('Philip H. Bucksbaum')]","Attosecond dynamics in strong-field tunnel ionization are encoded in
intricate holographic patterns in the photoelectron momentum distributions
(PMDs). These patterns show the interference between two or more superposed
quantum electron trajectories, which are defined by their ionization times and
subsequent evolution in the laser field. We determine the ionization time
separation between interfering pairs of electron orbits by performing a
differential Fourier analysis on the measured momentum spectrum. We identify
electron holograms formed by trajectory pairs whose ionization times are
separated by less than a single quarter cycle, between a quarter cycle and half
cycle, between a half cycle and three fourths of a cycle, and a full cycle
apart. We compare our experimental results to the predictions of the Coulomb
quantum orbit strong-field approximation (CQSFA), with significant success. We
also time-filter the CQSFA trajectory calculations to demonstrate the validity
of the technique on spectra with known time correlations. As a general analysis
technique, the filter can be applied to all energy- and angularly-resolved
datasets to recover time correlations between interfering electron pathways,
providing an important tool to analyze any strong-field ionization spectra."
6458,"for the further study of ultrafast laser-excited molecule                           [17] A. Becker and F. H. M. Faisal,

interaction and ultrafast laser control of molecular frag-                          Phys.","D 75, 209 (2021).",Rev.,2022-05-20 04:17:10+00:00,Molecular rotation assisted non-sequential double ionization,physics.atom-ph,"['physics.atom-ph', 'physics.class-ph', 'physics.comp-ph', 'physics.optics', '78M31, 78A60, 70F10,', 'J.2']",[arxiv.Result.Author('Ahai Chen')],"A molecular rotation assisted non-sequential double ionization (MR-NSDI)
mechanism is identified in the breakup of rotational H$_2$ molecules in a
few-cycle intense laser pulse using a semi-classical trajectory Monte Carlo
method. Applying a molecular source in an appropriate rotational state could
intensively boost NSDI probability, forming an additional anti-correlated
pattern at the center of the correlated electron momentum spectrum. It
emphasizes the critical role of the continuous dynamics of molecular rotation,
which assists the recollision process and subsequently releases the excited
electron from the potential portal resulted from molecular rotation. An insight
into MR-NSDI reveals two underlying exit channels to be tunneling ionization
(mainly enhanced ionization) and direct ionization. The two channels are
confirmed to have different critical breakup internuclear distances and a same
critical nuclear emission angle. A prominent nuclear emission in
$(-30^{\circ},30^{\circ})$ is identified to be a signature of MR-NSDI."
