,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
1995,"We reserve the further study of this eﬀect and
active remodeling to a future work.","A treatment of the latter two within the same framework can be
found in [25], where we considered also reversible network deformation by the migration
current(“permeation deformation”).","In conclusion, this work could open an avenue for studying cell-migration modes,
ECM patterning, and cell-ECM interactions in three dimensions and at the mesoscopic
scale.",2022-02-15 12:02:02+00:00,Active-gel Theory for Multicellular Migration of Polar Cells in the Extra-cellular Matrix,physics.bio-ph,"['physics.bio-ph', 'cond-mat.soft']","[arxiv.Result.Author('Ram M. Adar'), arxiv.Result.Author('Jean-François Joanny')]","We formulate an active-gel theory for multicellular migration in the
extra-cellular matrix (ECM). The cells are modeled as an active, polar solvent,
and the ECM as a viscoelastic solid. Our theory enables to analyze the dynamic
reciprocity between the migrating cells and their environment in terms of
distinct relative forces and alignment mechanisms. We analyze the linear
stability of polar cells migrating homogeneously in the ECM. Our theory
predicts that, as a consequence of cell-matrix alignment, contractile cells
migrate homogeneously for small wave vectors, while sufficiently extensile
cells migrate in domains. Homogeneous cell migration of both extensile and
contractile cells may be unstable for larger wave vectors, due to active forces
and the alignment of cells with their concentration gradient. These mechanisms
are stabilized by cellular alignment to the migration flow and matrix
stiffness. They are expected to be suppressed entirely for rigid matrices with
elastic moduli of order 10 kPa. Our theory should be useful in analyzing
multicellular migration and ECM patterning at the mesoscopic scale."
2245,"To advance our under-
standing of the physical basis and biological relevance         As a characteristic example, consider the phase space
of pattern formation, further research on the concepts of    diagram shown in Fig.","cytokinesis, and morphogenesis.","5b, for a two-component system
pattern guidance will be required, as well as more reﬁned    whose dynamics are given by ∂tu1 = −u1 + u21 u2 and
methods to explain experimental observations.",2022-02-21 10:17:24+00:00,Control of protein-based pattern formation via guiding cues,physics.bio-ph,"['physics.bio-ph', 'q-bio.SC']","[arxiv.Result.Author('Tom Burkart'), arxiv.Result.Author('Manon C. Wigbers'), arxiv.Result.Author('Laeschkir Würthner'), arxiv.Result.Author('Erwin Frey')]","Proteins control many vital functions in living cells, such as cell growth
and cell division. Reliable coordination of these functions requires the
spatial and temporal organizaton of proteins inside cells, which encodes
information about the cell's geometry and the cell-cycle stage. Such protein
patterns arise from protein transport and reaction kinetics, and they can be
controlled by various guiding cues within the cell. Here, we review how protein
patterns are guided by cell size and shape, by other protein patterns that act
as templates, and by the mechanical properties of the cell. The basic
mechanisms of guided pattern formation are elucidated with reference to recent
observations in various biological model organisms. We posit that understanding
the controlled formation of protein patterns in cells will be an essential part
of understanding information processing in living systems."
3224,"Trails and Trials in Physiology: a Bibliography, 1909-1964; with reviews
        of certain topics and methods and a reconnaissance for further research.",1966.,"Baltimore, MD:
        Williams and Wilkins.",2022-03-14 06:00:37+00:00,"Mechanics, Energetics, Entropy and Kinetics of a Binary Mechanical Model System",physics.bio-ph,"['physics.bio-ph', 'q-bio.CB']",[arxiv.Result.Author('Josh E. Baker')],"With the formal construction of a thermodynamic spring, I describe the
mechanics, energetics, entropy, and kinetics of a binary mechanical model
system. A protein that transitions between two metastable structural states
behaves as a molecular switch, and an ensemble of molecular switches that
displace compliant elements equilibrated with a system force constitutes a
binary mechanical model system. In biological systems, many protein switches
equilibrate with cellular forces, yet the statistical mechanical problem
relevant to this system has remained unsolved. A binary mechanical model system
establishes a limited number of macroscopic parameters into which structural
and mechanistic details must be fit. Novel advances include a non-equilibrium
kinetic and energetic equivalence; scalable limits on kinetics and energetics;
and entropic effects on kinetics and mechanics. The model unifies disparate
models of molecular motor mechanochemistry, accounts for the mechanical
performance of muscle in both transient and steady states, and provides a new
perspective on biomechanics with a focus here on how muscle and molecular motor
ensembles work."
3801,"Nevertheless, many open questions remain regarding the level of security of such
potential cryptographic applications, which require further research.","S5
[24]).","E. Generalization of ID-nets to ANNs
  The brain-inspired mechanism, where nodes of spiking feedforward neural networks

(SFNNs) are temporally silenced following their recent activity, is generalized to standard
ANNs with continuous output nodes [Fig.",2022-03-24 12:15:02+00:00,Brain-inspired neuronal silencing mechanism to enable high-precision sequence identification,physics.bio-ph,"['physics.bio-ph', 'cs.AI', 'cs.CV', 'q-bio.QM']","[arxiv.Result.Author('Shiri Hodassman'), arxiv.Result.Author('Yuval Meir'), arxiv.Result.Author('Karin Kisos'), arxiv.Result.Author('Itamar Ben-Noam'), arxiv.Result.Author('Yael Tugendhaft'), arxiv.Result.Author('Amir Goldental'), arxiv.Result.Author('Roni Vardi'), arxiv.Result.Author('Ido Kanter')]","Real-time sequence identification is a core use-case of artificial neural
networks (ANNs), ranging from recognizing temporal events to identifying
verification codes. Existing methods apply recurrent neural networks, which
suffer from training difficulties; however, performing this function without
feedback loops remains a challenge. Here, we present an experimental neuronal
long-term plasticity mechanism for high-precision feedforward sequence
identification networks (ID-nets) without feedback loops, wherein input objects
have a given order and timing. This mechanism temporarily silences neurons
following their recent spiking activity. Therefore, transitory objects act on
different dynamically created feedforward sub-networks. ID-nets are
demonstrated to reliably identify 10 handwritten digit sequences, and are
generalized to deep convolutional ANNs with continuous activation nodes trained
on image sequences. Counterintuitively, their classification performance with
limited training datasets is high for sequences, but low for individual
objects. ID-nets are also implemented for writer-dependent recognition, and
suggested as a cryptographic tool for encrypted authentication. The presented
mechanism opens new horizons for advanced ANN algorithms."
3802,"Nevertheless, many open questions remain regarding the level of security of such potential
cryptographic applications, which require further research.",5).,Generalization of ID-nets to ANNs.,2022-03-24 12:15:02+00:00,Brain inspired neuronal silencing mechanism to enable reliable sequence identification,physics.bio-ph,"['physics.bio-ph', 'cs.AI', 'cs.CV', 'q-bio.QM']","[arxiv.Result.Author('Shiri Hodassman'), arxiv.Result.Author('Yuval Meir'), arxiv.Result.Author('Karin Kisos'), arxiv.Result.Author('Itamar Ben-Noam'), arxiv.Result.Author('Yael Tugendhaft'), arxiv.Result.Author('Amir Goldental'), arxiv.Result.Author('Roni Vardi'), arxiv.Result.Author('Ido Kanter')]","Real-time sequence identification is a core use-case of artificial neural
networks (ANNs), ranging from recognizing temporal events to identifying
verification codes. Existing methods apply recurrent neural networks, which
suffer from training difficulties; however, performing this function without
feedback loops remains a challenge. Here, we present an experimental neuronal
long-term plasticity mechanism for high-precision feedforward sequence
identification networks (ID-nets) without feedback loops, wherein input objects
have a given order and timing. This mechanism temporarily silences neurons
following their recent spiking activity. Therefore, transitory objects act on
different dynamically created feedforward sub-networks. ID-nets are
demonstrated to reliably identify 10 handwritten digit sequences, and are
generalized to deep convolutional ANNs with continuous activation nodes trained
on image sequences. Counterintuitively, their classification performance, even
with a limited number of training examples, is high for sequences but low for
individual objects. ID-nets are also implemented for writer-dependent
recognition, and suggested as a cryptographic tool for encrypted
authentication. The presented mechanism opens new horizons for advanced ANN
algorithms."
4340,"A further study considered the effect of different alveolar sizes
on 10, 50, 200, and 800-nm nanoparticle deposition in terminal alveolar sacs (Xi et al., 2020).","For example, Xi and
Talaat (2019) examined the influence of alveolar wall motion and variations in the size of
interalveolar septal apertures.","In-vitro studies (Fishler et al., 2017, Dong et al., 2021) and experimental studies using Particle
Image Velocimetry (Oakes et al., 2010, Sznitman, 2013) have also been popular in observing
fluid flow characteristics and particle dispersion across acinar trees.",2022-03-21 01:03:53+00:00,Surface tension effects on flow dynamics and alveolar mechanics in the acinar region of human lung,physics.bio-ph,"['physics.bio-ph', 'physics.flu-dyn']","[arxiv.Result.Author('Isabella Francis'), arxiv.Result.Author('Suvash Saha')]","Computational fluid dynamics (CFD) simulations, in-vitro setups, and
experimental ex-vivo approaches have been applied to numerous alveolar
geometries over the past years. They aimed to study and examine airflow
patterns, particle transport, and particle-alveolar wall deposition fractions.
These studies are imperative to both pharmaceutical and toxicological studies,
especially nowadays with the escalation of the menacing COVID-19 virus.
However, most of these studies ignored the surfactant layer that covers the
alveoli and the effect of the air-surfactant surface tension on flow dynamics
and air-alveolar surface mechanics. The present study employs a realistic human
breathing profile of 4.75 to emphasize the importance of the surfactant layer
by numerically comparing airflow phenomena between a surfactant-enriched and
surfactant-deficient model. The acinar model exhibits physiologically accurate
alveolar and duct dimensions extending from lung generations 18 to 23. Proximal
lung generations experience dominant recirculating flow while farther
generations in the distal alveolar region exhibit dominant radial flows. In the
surfactant-enriched model, surface tension values alternate during inhalation
and exhalation. In the surfactant-deficient model, only water coats the
alveolar walls. Results showed that surfactant deficiency in the alveoli
adversely alters airflow behavior and generates unsteady chaotic breathing
through the production of vorticities, accompanied by higher vorticity and
velocity magnitudes. In addition, high air-water surface tension in the
surfactant-deficient case was found to induce higher shear stress values on the
alveolar walls than that of the surfactant-enriched case. Overall, it was
concluded that the presence of the surfactant improves respiratory mechanics
and allows for smooth breathing and normal respiration."
5468,"However, little is known about non-complex balanced systems and, given our results,
further research regarding the behaviour of this type of networks out of thermodynamic
equilibrium would be of the utmost importance, both from the physical [51] and biological
[50] point of view.","In this analysis,
we further stress the connection between the characteristics of the reaction network and the
thermodynamically consistent structure of the physical system, in an eﬀort to generalise
results from ideal CRNs, and explore non-equilibrium dynamics of complex-balanced net-
works.",Acknowledgments.,2022-04-28 15:47:56+00:00,On non-ideal chemical-reaction networks and phase separation,physics.bio-ph,"['physics.bio-ph', 'cond-mat.stat-mech']","[arxiv.Result.Author('Ander Movilla Miangolarra'), arxiv.Result.Author('Michele Castellana')]","Much of the theory on chemical-reaction networks (CRNs) has been developed in
the ideal-solution limit, where interactions between the solutes are
negligible. However, there is a large variety of phenomena in biological cells
and soft-matter physics which appear to deviate from the ideal-solution
behaviour. Particularly striking is the case of liquid-liquid phase separation,
which is typically caused by inter-particle interactions. Here, we revisit a
number of known results in the domain of ideal CRNs, and we generalise and
adapt them to arbitrary interactions between the solutes which stem from a
given free energy. Among these is the form of the steady-state probability
distribution and Lyapunov functions for complex-balanced networks, where the
creation and annihilation rates are equal for all chemical complexes which
appear as reactants or products in the CRN. Finally, we draw a phase diagram
for complex-balanced reaction-diffusion solutions based on the minimisation of
such Lyapunov function with a rationale similar to that of equilibrium
thermodynamics, but for systems that may sustain non-equilibrium chemical
currents at steady state. Nevertheless, we find that complex-balanced networks
are not sufficient to create diffusion currents at steady state."
6402,"We take
these delay parameters to scale with 𝑈, according to the dimensional relation 𝜏1 = 𝜏2 =
2.3𝑐⁄𝑈, but further research is required to establish this relationship with confidence.","We note that
there are several open questions with regard to how to integrate GK dynamic stall models into
a flight simulation context [49]: most significantly, exactly how the delay parameters should
be taken to scale with local station airspeed (𝑈), given that this airspeed will vary.",3.5.,2022-05-19 09:47:40+00:00,Pitch-axis supermanoeuvrability in a biomimetic morphing-wing aircraft,physics.bio-ph,"['physics.bio-ph', 'cs.RO']","[arxiv.Result.Author('Arion Pons'), arxiv.Result.Author('Fehmi Cirak')]","Birds and bats are extraordinarily adept flyers: whether in hunting prey, or
evading predators, their agility and manoeuvrability in flight are
characteristics of vital importance. Their performance, in this regard, greatly
exceeds that of conventional aircraft. Attempts to close this gap in capability
have typically focused on thrust-vectoring technology - the domain of classical
supermanoeuvrability - at the expense of biomimicry. In this work, however, we
show that these approaches are not incompatible: biomimetic wing morphing is an
avenue both to classical supermanoeuvrability, and to new forms of
biologically-inspired supermanoeuvrability. Using a state-of-the-art flight
simulator, equipped with a multibody model of lifting surface motion and a
Goman-Khrabrov dynamic stall model for all lifting surfaces, we demonstrate the
capability of a biomimetic morphing-wing unmanned aerial vehicles (UAV) for two
key forms of supermanoeuvrability: the Pugachev cobra, and ballistic
transition. Conclusions are drawn as to the mechanism by which these manoeuvres
can be performed, and their feasibility in practical biomimetic unmanned aerial
vehicle (UAV). These conclusions have wide relevance to both the design of
supermanoeuvrable UAVs, and the study of biological flight dynamics across
multiple species."
6403,"In this work, we focused on pitch-axis
manoeuvrability, but further study of biological flight manoeuvrability along other flight axes
– including biological stall turns [4–7], and zero-airspeed rolling manoeuvres [11] – could lead
to further novel forms of UAV manoeuvrability.","This not only highlights the commonality between classical
supermanoeuvrability and biological flight manoeuvrability, but paves the way for the
applications of biological manoeuvrability in UAVs: for instance, UAVs capable of rapid
landing on vertical or inverted surfaces.","The intersection between classical
supermanoeuvrability, biological flight manoeuvrability, and morphing-wing aircraft is a
cross-disciplinary topic with the potential to significantly advance our understanding of aerial
manoeuvrability, and to lead to new designs of military and industrial UAV.",2022-05-19 09:47:40+00:00,Pitch-axis supermanoeuvrability in a biomimetic morphing-wing aircraft,physics.bio-ph,"['physics.bio-ph', 'cs.RO']","[arxiv.Result.Author('Arion Pons'), arxiv.Result.Author('Fehmi Cirak')]","Birds and bats are extraordinarily adept flyers: whether in hunting prey, or
evading predators, their agility and manoeuvrability in flight are
characteristics of vital importance. Their performance, in this regard, greatly
exceeds that of conventional aircraft. Attempts to close this gap in capability
have typically focused on thrust-vectoring technology - the domain of classical
supermanoeuvrability - at the expense of biomimicry. In this work, however, we
show that these approaches are not incompatible: biomimetic wing morphing is an
avenue both to classical supermanoeuvrability, and to new forms of
biologically-inspired supermanoeuvrability. Using a state-of-the-art flight
simulator, equipped with a multibody model of lifting surface motion and a
Goman-Khrabrov dynamic stall model for all lifting surfaces, we demonstrate the
capability of a biomimetic morphing-wing unmanned aerial vehicles (UAV) for two
key forms of supermanoeuvrability: the Pugachev cobra, and ballistic
transition. Conclusions are drawn as to the mechanism by which these manoeuvres
can be performed, and their feasibility in practical biomimetic unmanned aerial
vehicle (UAV). These conclusions have wide relevance to both the design of
supermanoeuvrable UAVs, and the study of biological flight dynamics across
multiple species."
7815,"Our work in integrating SERS cellular inter-
rogation with acoustic bioprinting provides a foundation for further research
into rapid, cellular-based diagnostics, and paves the way for reliable, low-cost
point-of-care diagnostics.","Lastly, given the versatility of our substrates, colloidal
GNRs, and printing platform, our system is not limited to processing cells
but could easily be modiﬁed for use in detecting other biomarkers including
small molecules and proteins, coupled with surface chemistry for labeled detec-
tion of nucleic acids, and used for low-volume interrogation of pharmaceutical
samples in drug-development.","13
Methods

Gold nanorod synthesis and characterization

Hexadecyl(trimethyl)ammonium bromide (CTAB) and sodium oleate (NAOL)
coated gold nanorods were synthesized following previously described
protocols[78].",2022-06-19 02:03:54+00:00,Detecting bacteria in multi-cellular samples with combined acoustic bioprinting and Raman spectroscopy,physics.bio-ph,"['physics.bio-ph', 'physics.optics', 'q-bio.QM']","[arxiv.Result.Author('Fareeha Safir'), arxiv.Result.Author('Nhat Vu'), arxiv.Result.Author('Loza F. Tadesse'), arxiv.Result.Author('Kamyar Firouzi'), arxiv.Result.Author('Niaz Banaei'), arxiv.Result.Author('Stefanie S. Jeffrey'), arxiv.Result.Author('Amr A. E. Saleh'), arxiv.Result.Author('Butrus'), arxiv.Result.Author('Khuri-Yakub'), arxiv.Result.Author('Jennifer A. Dionne')]","The presence of pathogens in complex, multi-cellular samples such as blood,
urine, mucus, and wastewater can serve as indicators of active infection, and
their identification can impact how human and environmental health are treated.
Surface-enhanced Raman spectroscopy (SERS) and machine learning (ML) can
distinguish multiple pathogen species and strains, but processing complex fluid
samples to sensitively and specifically detect pathogens remains an outstanding
challenge. Here, we develop an acoustic bioprinting platform to digitize
samples into millions of droplets, each containing just a few cells, which are
then identified with SERS and ML. As a proof of concept, we focus on bacterial
bloodstream infections. We demonstrate ~2pL droplet generation from solutions
containing S. epidermidis, E. coli, and mouse red blood cells (RBCs) mixed with
gold nanorods (GNRs) at 1 kHz ejection rates; use of parallel printing heads
would enable processing of mL-volume samples in minutes. Droplets printed with
GNRs achieve spectral enhancements of up to 1500x compared to samples printed
without GNRs. With this improved signal-to-noise, we train an ML model on
droplets consisting of either pure cells with GNRs or mixed, multicellular
species with GNRs, using scanning electron microscopy images as our ground
truth. We achieve >=99% classification accuracy of droplets printed from
cellularly-pure samples, and >=87% accuracy in droplets printed from mixtures
of S. epidermidis, E. coli, and RBCs. We compute the feature importance at each
wavenumber and confirm that the most significant spectral bands for
classification correspond to biologically relevant Raman peaks within our
cells. This combined acoustic droplet ejection, SERS and ML platform could
enable clinical and industrial translation of SERS-based cellular
identification."
