,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
876,"Therefore, a strategy for further research
could be comparative analyses, taking also high-achieving countries in assessments
like PISA and TIMSS into account.","Despite all these commonalities, neither country seems to have found an all-
encompassing solution to these problems.","But it would also be promising to examine
differences between physics teacher education in Germany and in the U.S. more
closely at the level of concrete program design than is possible in this short chapter.",2022-01-20 18:33:08+00:00,How to Teach a Teacher: Challenges and Opportunities in Physics Teacher Education in Germany and the USA,physics.ed-ph,['physics.ed-ph'],"[arxiv.Result.Author('Ben Van Dusen'), arxiv.Result.Author('Christoph Vogelsang'), arxiv.Result.Author('Joseph Taylor'), arxiv.Result.Author('Eva Cauet')]","Preparing future physics teachers for the demanding nature of their
profession is an important and complex endeavor. Teacher education systems must
provide a structure for the coherent professional development of prospective
teachers. Worldwide, physics teacher education is organized in different ways,
but have to face similar challenges, like the relation between academic studies
and practical preparation. To meet these challenges, it is worth taking look at
different teacher education systems. In this chapter, we compare physics
teacher education in two countries, representing two different educational
traditions: Germany and the USA. Comparing different aspects of physics teacher
education (standards, organization and institutionalization, content of teacher
education, quality assurance), we describe both systems in their current state
and why they are organized in the way they are. In doing so, we identify
surprising commonalities but also different opportunities for both systems to
learn from each other."
2032,"We view the presence of many angles as a way to              Joyce shared how she felt like she learned the physics
identify jumping-oﬀ points for further research on aﬀect-        concepts better by coding the formulas and variables.","That said, this study only provides an initial win-
                                                               dow into how these frameworks relate to one another,
                                                               and we suggest future research speciﬁcally focus on how
                                                               each framework ﬁts with one another in this context,
                                                               how theory-based interventions might impact students’
                                                               perceptions, and how these frameworks might be lever-
                                                               aged to better understand computation-integrated class-
                                                                       20

rooms.","In
based learning and challenges, which is sorely needed and        the second part of her quote, Joyce talked about the ex-
which we highlight in the discussion section.",2022-02-15 20:37:35+00:00,Students' perspectives on computational challenges in physics class,physics.ed-ph,['physics.ed-ph'],"[arxiv.Result.Author('Paul C. Hamerski'), arxiv.Result.Author('Daryl McPadden'), arxiv.Result.Author('Marcos D. Caballero'), arxiv.Result.Author('Paul W. Irving')]","High school science classrooms across the United States are answering calls
to make computation a part of science learning. The problem is that there is
little known about the barriers to learning that computation might bring to a
science classroom or about how to help students overcome these challenges. This
case study explores these challenges from the perspectives of students in a
high school physics classroom with a newly revamped, computation-integrated
curriculum. Focusing mainly on interviews to center the perspectives of
students, we found that computation is a double-edged sword: It can make
science learning more authentic for students who are familiar with it, but it
can also generate frustration and an aversion towards physics for students who
are not."
2033,"We view the presence of many angles
as a way to identify jumping-off points for further research        Joyce: By actually coding the formula and what vari-
on affect-based learning and challenges, which is sorely               ables go in, I think it helps in learning the concepts.",integrated classrooms.,needed and which we highlight in the discussion section.,2022-02-15 20:37:35+00:00,Students' perspectives on computational challenges in physics class,physics.ed-ph,['physics.ed-ph'],"[arxiv.Result.Author('Paul C. Hamerski'), arxiv.Result.Author('Daryl McPadden'), arxiv.Result.Author('Marcos D. Caballero'), arxiv.Result.Author('Paul W. Irving')]","High school science classrooms across the United States are answering calls
to make computation a part of science learning. The problem is that there is
little known about the barriers to learning that computation might bring to a
science classroom or about how to help students overcome these challenges. This
case study explores these challenges from the perspectives of students in a
high school physics classroom with a newly revamped, computation-integrated
curriculum. Focusing mainly on interviews to center the perspectives of
students, we found that computation is a double-edged sword: It can make
science learning more authentic for students who are familiar with it, but it
can also generate frustration and an aversion towards physics for students who
are not."
2981,"Implications for research and open questions               We therefore believe the overarching constructs of the
                                                             metamodel: resources, objectives, products, production,
   Our metamodel in this work was used to design             and critique will provide a valuable framework for con-
projects and inform a content analysis of student work       ducting further research into students’ computational
from computational making projects.","Examples of knowledge objects and artifacts in the metamodel identiﬁed from student work

  B.",As the metamodel         practices.,2022-03-08 14:59:48+00:00,"Physicality, Modeling and Making in a Computational Physics Class",physics.ed-ph,['physics.ed-ph'],"[arxiv.Result.Author('Anna M. Phillips'), arxiv.Result.Author('Ezra J. Gouvea'), arxiv.Result.Author('Brian E. Gravel'), arxiv.Result.Author('Pierre-Hugues Beauchemin'), arxiv.Result.Author('Timothy J. Atherton')]","Computation is intertwined with essentially all aspects of physics research
and is invaluable for physicists' careers. Despite its disciplinary importance,
integration of computation into physics education remains a challenge and,
moreover, has tended to be constructed narrowly as a route to solving physics
problems. Here, we broaden Physics Education Research's conception of
computation by constructing an epistemic \emph{metamodel} -- a model of
modeling -- incorporating insights on computational modeling from the
philosophy of science and prior work. The metamodel is formulated in terms of
practices, things physicists do, and how these inform one another. We
operationalize this metamodel in an educational environment that incorporates
making, the creation of shared physical and digital artifacts, intended to
promote students' agency, creativity and self-expression alongside doing
physics. We present a content analysis of student work from initial
implementations of this approach to illustrate the very complex epistemic
maneuvers students make as they engaged in computational modeling. We
demonstrate how our metamodel can be used to understand student practices, and
conclude with implications of the metamodel for instruction and future
research."
2982,"We therefore believe the overarching components of           Our metamodel provides an invaluable lens for under-
the metamodel: resources, objectives, products, pro-         standing student engagement and practice in computa-
duction, and critique will provide a valuable frame-         tional physics, both as a goal in and of itself and for
work for conducting further research into other compu-       identifying how students’ computational practices relate
tational physics learning environments such as P 3[106]      to those of professional physicists more broadly.",course.,"Fur-
and C2STEM[111].",2022-03-08 14:59:48+00:00,"Physicality, Modeling and Making in a Computational Physics Class",physics.ed-ph,['physics.ed-ph'],"[arxiv.Result.Author('Anna M. Phillips'), arxiv.Result.Author('Ezra J. Gouvea'), arxiv.Result.Author('Brian E. Gravel'), arxiv.Result.Author('Pierre-Hugues Beauchemin'), arxiv.Result.Author('Timothy J. Atherton')]","Computation is intertwined with essentially all aspects of physics research
and is invaluable for physicists' careers. Despite its disciplinary importance,
integration of computation into physics education remains a challenge and,
moreover, has tended to be constructed narrowly as a route to solving physics
problems. Here, we broaden Physics Education Research's conception of
computation by constructing an epistemic \emph{metamodel} -- a model of
modeling -- incorporating insights on computational modeling from the
philosophy of science and prior work. The metamodel is formulated in terms of
practices, things physicists do, and how these inform one another. We
operationalize this metamodel in an educational environment that incorporates
making, the creation of shared physical and digital artifacts, intended to
promote students' agency, creativity and self-expression alongside doing
physics. We present a content analysis of student work from initial
implementations of this approach to illustrate the very complex epistemic
maneuvers students make as they engaged in computational modeling. We
demonstrate how our metamodel can be used to understand student practices, and
conclude with implications of the metamodel for instruction and future
research."
3697,"This result will guide further researchers for doing an action
research.","DISCUSSION

The development of a framework for STEM-RBL learning activities in developing the block
paving tessellation decoration by using the r-dynamic coloring of graphs to improve students'
metaliteracy is very useful study.","There are at least two more research activities that can be done further, namely: (1)
developing STEM-RBL learning materials with the ADDIE development model, (2) Studying the
implementation of STEM-RBL learning materials in improving the students metaliteracy in
developing the block paving tessellation decoration by using the r-dynamic coloring of graph.",2022-03-21 05:00:50+00:00,The Research Based Learning -- STEM Learning Activities: The Use of r-Dynamic Coloring to Improve the Students Metaliteracy in Solving a Tessellation Decoration Problem,physics.ed-ph,['physics.ed-ph'],"[arxiv.Result.Author('A I Kristiana'), arxiv.Result.Author('Dafik'), arxiv.Result.Author('Z R Ridlo'), arxiv.Result.Author('R M Prihandini'), arxiv.Result.Author('R Adawiyah')]","The metaliteracy ability is a very important in today's life, especially to
live in the disruptive technology era. Metaliteracy is an ability that goes
beyond metacognition and technological literacy. However, the students'
metalliteracy ability is still relatively low. One of the causes of the low
ability is due to the learning model that has been applied so far has not been
able to bring out this ability. Therefore, in this study, an RBL learning model
that is integrated with the STEM approach will be applied in solving the
r-Dynamic coloring problem. By r-dynamic coloring, we mean a proper k-coloring
c of G if for every vertex v in V (G) satisfies the number of neighbours color
is greater then min{r,d(v)}. The minimum k such that G has an r-dynamic
coloring with k colors is called an r-dynamic chromatic number, denoted by
r(G). By using the r-dynamic coloring technique, we will improve students'
metaliteracy in solving the tessellation decoration problem. Therefore, in this
research, the syntax of learning activities of the Research-Based Learning and
STEM approach will be developed including the assesment indicator of the
metaliteracy ability."
3698,"This results as an initial activity to carry out further research activities, namely R &
D and experimental research.","CONCLUSIONS

We have developed a framework of RBL-STEM learning activities in developing the block
paving tessellation decoration by using the r-dynamic coloring of graphs to improve students'
metaliteracy.","However, this initial research is not easy, thus joint research for
other STEM cases needs to be explored and as well as the breakthrough for solving the STEM
problems are still widely open.",2022-03-21 05:00:50+00:00,The Research Based Learning -- STEM Learning Activities: The Use of r-Dynamic Coloring to Improve the Students Metaliteracy in Solving a Tessellation Decoration Problem,physics.ed-ph,['physics.ed-ph'],"[arxiv.Result.Author('A I Kristiana'), arxiv.Result.Author('Dafik'), arxiv.Result.Author('Z R Ridlo'), arxiv.Result.Author('R M Prihandini'), arxiv.Result.Author('R Adawiyah')]","The metaliteracy ability is a very important in today's life, especially to
live in the disruptive technology era. Metaliteracy is an ability that goes
beyond metacognition and technological literacy. However, the students'
metalliteracy ability is still relatively low. One of the causes of the low
ability is due to the learning model that has been applied so far has not been
able to bring out this ability. Therefore, in this study, an RBL learning model
that is integrated with the STEM approach will be applied in solving the
r-Dynamic coloring problem. By r-dynamic coloring, we mean a proper k-coloring
c of G if for every vertex v in V (G) satisfies the number of neighbours color
is greater then min{r,d(v)}. The minimum k such that G has an r-dynamic
coloring with k colors is called an r-dynamic chromatic number, denoted by
r(G). By using the r-dynamic coloring technique, we will improve students'
metaliteracy in solving the tessellation decoration problem. Therefore, in this
research, the syntax of learning activities of the Research-Based Learning and
STEM approach will be developed including the assesment indicator of the
metaliteracy ability."
5489,"LIMITATIONS                                 a problem that will need to be addressed in further research
                                                                      and perhaps in creating additional items that could produce
   This instrument is limited in the sense that it does not           a normally distributed scale of student responses.","18, 010117 (2022)

                      IX.","The
explicitly address all four components of self-efficacy as            purpose of this would be to employ multivariate analysis of
laid out by Bandura [28].",2022-04-28 22:31:43+00:00,Development and validation of an astronomy self-efficacy instrument for understanding and doing,physics.ed-ph,"['physics.ed-ph', 'astro-ph.IM']","[arxiv.Result.Author('Rachel Freed'), arxiv.Result.Author('David McKinnon'), arxiv.Result.Author('Michael Fitzgerald'), arxiv.Result.Author('Christina M. Norris')]","This paper presents a new astronomy self efficacy instrument, composed of two
factors, one relating to learning astronomy content, which we call astronomy
personal self efficacy, and the other relating to the use of astronomical
instrumentation, specifically the use of remote robotic telescopes for data
collection. The latter is referred to as the astronomy instrumental self
efficacy factor. The instrument has been tested for reliability and construct
validity. Reliability testing showed that factor 1 had a Cronbachs alpha of
0.901 and factor 2 had a Cronbachs alpha of 0.937. Construct validity was
established by computing one way analyses of variances, with the p value
suitably protected, using independent variables peripherally related to the
constructs. These analyses demonstrate that both scales possess high construct
validity. The development of this astronomy specific instrument is an important
step in evaluating self efficacy as a precursor to investigating the construct
of science identity in the field of astronomy."
8783,"In a further study, Kocyigit and Akaltun (2019) even conclude that the “number of
EXPLAINING QUALITY OF YOUTUBE EXPLANATORY VIDEOS                                           11

views, likes, dislikes, and comments per day is not a predictor of high-quality videos on
YouTube” (p. 1267).","We aim at expanding on Kulgemeyer
and Peters’s study according to which none of the correlations between the surface features
provided for YouTube explanatory videos and their explaining quality was statistically
signiﬁcant, except from the number of content-related comments (Kulgemeyer & Peters,
2016).","Sample

Content domain

         We decided to analyze YouTube explanatory videos on two topics: (a) quantum
entanglement, and (b) quantum tunnelling.",2022-07-12 22:29:11+00:00,Exploring the relationship between surface features and explaining quality of YouTube explanatory videos,physics.ed-ph,['physics.ed-ph'],"[arxiv.Result.Author('Philipp Bitzenbauer'), arxiv.Result.Author('Sebastian Höfler'), arxiv.Result.Author('Joaquin M. Veith'), arxiv.Result.Author('Bianca Winkler'), arxiv.Result.Author('Tim Zenger'), arxiv.Result.Author('Christoph Kulgemeyer')]","Physics education research on explanatory videos has experienced a boost in
recent years. Due to the vast number of explanatory videos available online,
e.g. on YouTube, finding videos of high explaining quality is a challenging
task for learners, teachers, and lecturers alike. Prior research on the
explaining quality of explanatory videos on classical mechanics topics has
uncovered that the surface features provided by YouTube (e.g. number of views
or likes) do not seem to be suitable indicators of the videos' explaining
quality. Instead, the number of content-related comments was found to be
statistically significantly correlated with the explaining quality. To date,
these findings have only been observed in the context of explanatory videos on
classical mechanics topics. The question arises whether similar correlations
between the explaining quality and YouTube surface features can be found for
videos on topics that are difficult to access visually and verbally, for
example from quantum physics. Therefore, we conducted an exploratory study
analyzing the explaining quality of N = 60 YouTube videos on quantum
entanglement and tunnelling. To this end, we made use of a category-based
measure of explanatory videos' explaining quality from the literature. We
report correlations between the videos' explaining quality, and the surface
features provided by YouTube. On the one hand, our results substantiate earlier
findings for mechanics topics. On other hand, partial correlations shed new
light on the relationship between YouTube's surface features and explaining
quality of explanatory videos."
10138,"This
is one thing that could be covered in further research to         We thank the QTEdu team for their helpful feedback
document how the community understands these terms.","We did not
deﬁne properly what we understand by the terms, and                                 ACKNOWLEDGMENTS
did not ask the community to give their deﬁnition.","and input, especially Oxana Mishina, Carrie Weidner and
A special case is the simulation pillar, as it may be re-      Simon Goorney.",2022-08-17 12:08:05+00:00,"The Future Quantum Workforce: Competences, Requirements and Forecasts",physics.ed-ph,"['physics.ed-ph', 'quant-ph']","[arxiv.Result.Author('Franziska Greinert'), arxiv.Result.Author('Rainer Müller'), arxiv.Result.Author('Philipp Bitzenbauer'), arxiv.Result.Author('Malte S. Ubben'), arxiv.Result.Author('Kim-Alessandro Weber')]","With the increasing industrial relevance of new quantum technologies, a well
educated quantum workforce becomes increasingly crucial and raises important
questions. What are the expectations regarding the future relevance of second
generation quantum technologies? And what are the requirements for the
workforce in the coming quantum industry? What competences, knowledge and
skills should the future employees have? In this paper, we report the results
of our Delphi study that was aimed at mapping requirements and forecasts for
the future quantum workforce. Our Delphi study consisted of three consecutive
survey rounds. In total, we gathered 188 responses from industry and academic
experts across Europe. Our study results served as an input for the development
of the European Competence Framework for Quantum Technologies, delivered by the
project QTEdu CSA for the European Quantum Flagship. In addition, we will
discuss predictions from experts related to the future quantum workforce,
including the expected industrial relevance of the main areas of quantum
technologies, the need for educational efforts, and the expected influence of
quantum technologies on everyday life."
