,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
1895,"5) and the other
 MHVSR peak parameters in NBAL and EJDN stations, variations from MHVSR trough in SWBS
 station are an open question for further research.","After observing
 the relationship between the groundwater levels of the shallower aquifer (AQ1 Fig.","The cycles of discharge of the aquifers in Campo
 de Dalías are in no way natural due to the heavy pumping rates for agriculture and urban demands.",2022-02-12 19:06:26+00:00,On the Use of the Microtremor HVSR for Tracking Velocity Changes: A case study in Campo de Dalías basin (SE Spain),physics.geo-ph,['physics.geo-ph'],"[arxiv.Result.Author('Helena Seivane'), arxiv.Result.Author('Antonio García-Jerez'), arxiv.Result.Author('Manuel Navarro'), arxiv.Result.Author('Luis Molina'), arxiv.Result.Author('Francisco Navarro-Martínez')]","The stability of the low-frequency peaks (< 1 Hz) obtained in the passive
seismic survey of Campo de Dal\'ias basin (CDB) by applying the
horizontal-to-vertical spectral ratio (HVSR) method was investigated. Three
temporary seismic stations were installed in remote sites that enabled studying
the stationarity of their characteristic microtremor HVSR (MHVSR) shapes. All
stations began to operate in mid-2016 and recorded at least one year of
continuous seismic ambient noise data, having up to two years in some. Each
seismic station counted with a monitored borehole in their vicinity,
registering the groundwater level every 30 minutes. The MHVSR curves were
calculated for time windows of 150 s and averaged hourly. Four parameters have
been defined to characterize the shape of the MHVSR around the main peak and to
compare them with several environmental variables. Correlations between MHVSR
characteristics and the groundwater level showed to be the most persistent. The
robustness of MHVSR method for applications to seismic engineering was not
found to be compromised since the observed variations were within the margins
of acceptable deviations. Our results widen the possibilities of the MHVSR
method from being a reliable predictor for seismic resonance to also being an
autonomous monitoring tool, especially sensitive to the S-wave modifications."
2205,"Our further research goal is to reproduce this observation, and also to understand the origin
and the conditions of the detection.","There are a lot of unanswered
questions, a clarification requires further observations and modeling.","To this end we should explore the environmental,
geophysical and technological factors that influence the modernized torsion balance.",2022-02-19 13:32:42+00:00,Eötvös balance and earthquake detection,physics.geo-ph,"['physics.geo-ph', 'physics.class-ph']","[arxiv.Result.Author('L. Völgyesi'), arxiv.Result.Author('Gy. Tóth'), arxiv.Result.Author('Gy. Szondy'), arxiv.Result.Author('B. Kiss'), arxiv.Result.Author('E. Fenyvesi'), arxiv.Result.Author('G. G. Barnaföldi'), arxiv.Result.Author('Cs. Égető'), arxiv.Result.Author('P. Lévai'), arxiv.Result.Author('E. Imre'), arxiv.Result.Author('M. Pszota'), arxiv.Result.Author('P. Ván')]","Torsion-balance measurements became well known in the early 1900s, with
E\""otv\""os' famous high-precision verification of the equivalence of
gravitational and inertial mass. This equivalence later became the basis of
general relativity. A new chapter of these measurements began in 1985, when
Fischbach and his colleagues discovered regularities in the small deviations
detected by E\""otv\""os, which had previously been considered random. This led
to the short-range 5th force hypothesis, whose existence and the source still
have not yet been proven. Our research team started to work on the
modernization of the E\""otv\""os torsion-balance, the repetition of the EPF
equivalence principle measurement and the investigation of the source of the
5th force in connection with the E\""otv\""os Year 2019. During the experiment,
particular emphasis was put on the analysis of environmental (e.g.
microseismic) disturbances and the detection and filtering of the resulting,
sometimes systematic, errors. These perturbations included earthquakes, which
have been detected by the modernized E\""otv\""os balance since the beginning of
the experiment.
  Another application of the torsion balance was discovered by Russian
researchers around 1990-1992, who noticed that in some cases the equilibrium
position of the balance shifts noticeably up to 2 days before earthquakes. On
this basis, the researchers proposed the possibility of using torsion balances
to predict earthquakes.
  The earthquake in Greece on 9 January 2022 was recorded by both a G\""uralp 3T
broadband seismometer and an E\""otv\""os torsion balance, which were placed side
by side in our laboratory. However, more than 30 minutes before the eruption
itself, the E\""otv\""os torsion balance registered such strange signals that are
not visible on the seismogram taken by the G\""uralp 3T seismometer. In this
article, we describe the details of this observation."
2346,"This indicated that if we can ﬁnd a better initial guess of sa for each layer,
we may be able to speed up the training of PINNs, which requires further research.",(2020).,Figure 13 demonstrated how PINNs learned the solution.,2022-02-23 02:22:42+00:00,Forward and inverse modeling of water flow in unsaturated soils with discontinuous hydraulic conductivities using physics-informed neural networks with domain decomposition,physics.geo-ph,['physics.geo-ph'],"[arxiv.Result.Author('Toshiyuki Bandai'), arxiv.Result.Author('Teamrat A. Ghezzehei')]","Modeling water flow in unsaturated soils is vital for describing various
hydrological and ecological phenomena. Soil water dynamics is described by
well-established physical laws (Richardson-Richards equation (RRE)). Solving
the RRE is difficult due to the inherent non-linearity of the processes, and
various numerical methods have been proposed to solve the issue. However,
applying the methods to practical situations is challenging because they
require well-defined initial and boundary conditions. Here, we present a
physics-informed neural networks (PINNs) method that approximates the solution
to the RRE using neural networks while concurrently matching available soil
moisture data. Although the ability of PINNs to solve partial differential
equations, including the RRE, has been demonstrated previously, its potential
applications and limitations are not fully known. This study conducted a
comprehensive analysis of PINNs and carefully tested the accuracy of the
solutions by comparing them with analytical solutions and accepted traditional
numerical solutions. We demonstrated that the solutions by PINNs with adaptive
activation functions are comparable with those by traditional methods. We
showed that soil moisture dynamics in layered soils with discontinuous
hydraulic conductivities are correctly simulated by PINNs with domain
decomposition. We demonstrated that the unspecified upper boundary condition
can be estimated from sparse soil moisture measurements. Nevertheless, there
remain challenges that require further development. Chiefly, PINNs are
sensitive to the initialization of NNs and are significantly slower than
traditional numerical methods."
2347,"Therefore, further research is needed for the application of PINNs to multi-
physics simulations in unsaturated soils.","Although the study was only concerned with water ﬂow in unsaturated soils, near-surface soil moisture dynamics
is essentially coupled heat and water transport.","One advantage of PINNs speciﬁc to the RRE is that there is no need for temporal discretization, which results in mass
balance issue (Celia et al., 1990).",2022-02-23 02:22:42+00:00,Forward and inverse modeling of water flow in unsaturated soils with discontinuous hydraulic conductivities using physics-informed neural networks with domain decomposition,physics.geo-ph,['physics.geo-ph'],"[arxiv.Result.Author('Toshiyuki Bandai'), arxiv.Result.Author('Teamrat A. Ghezzehei')]","Modeling water flow in unsaturated soils is vital for describing various
hydrological and ecological phenomena. Soil water dynamics is described by
well-established physical laws (Richardson-Richards equation (RRE)). Solving
the RRE is difficult due to the inherent non-linearity of the processes, and
various numerical methods have been proposed to solve the issue. However,
applying the methods to practical situations is challenging because they
require well-defined initial and boundary conditions. Here, we present a
physics-informed neural networks (PINNs) method that approximates the solution
to the RRE using neural networks while concurrently matching available soil
moisture data. Although the ability of PINNs to solve partial differential
equations, including the RRE, has been demonstrated previously, its potential
applications and limitations are not fully known. This study conducted a
comprehensive analysis of PINNs and carefully tested the accuracy of the
solutions by comparing them with analytical solutions and accepted traditional
numerical solutions. We demonstrated that the solutions by PINNs with adaptive
activation functions are comparable with those by traditional methods. We
showed that soil moisture dynamics in layered soils with discontinuous
hydraulic conductivities are correctly simulated by PINNs with domain
decomposition. We demonstrated that the unspecified upper boundary condition
can be estimated from sparse soil moisture measurements. Nevertheless, there
remain challenges that require further development. Chiefly, PINNs are
sensitive to the initialization of NNs and are significantly slower than
traditional numerical methods."
2348,"Overall, although PINNs have interesting and attractive

                                                                          33
characteristics, fully utilizing the potential requires further research.","In PINN framework, such discretization is not necessary,
and those target function values can be evaluated directly from NNs.","In the next section, future perspectives of PINNs are
mentioned.",2022-02-23 02:22:42+00:00,Forward and inverse modeling of water flow in unsaturated soils with discontinuous hydraulic conductivities using physics-informed neural networks with domain decomposition,physics.geo-ph,['physics.geo-ph'],"[arxiv.Result.Author('Toshiyuki Bandai'), arxiv.Result.Author('Teamrat A. Ghezzehei')]","Modeling water flow in unsaturated soils is vital for describing various
hydrological and ecological phenomena. Soil water dynamics is described by
well-established physical laws (Richardson-Richards equation (RRE)). Solving
the RRE is difficult due to the inherent non-linearity of the processes, and
various numerical methods have been proposed to solve the issue. However,
applying the methods to practical situations is challenging because they
require well-defined initial and boundary conditions. Here, we present a
physics-informed neural networks (PINNs) method that approximates the solution
to the RRE using neural networks while concurrently matching available soil
moisture data. Although the ability of PINNs to solve partial differential
equations, including the RRE, has been demonstrated previously, its potential
applications and limitations are not fully known. This study conducted a
comprehensive analysis of PINNs and carefully tested the accuracy of the
solutions by comparing them with analytical solutions and accepted traditional
numerical solutions. We demonstrated that the solutions by PINNs with adaptive
activation functions are comparable with those by traditional methods. We
showed that soil moisture dynamics in layered soils with discontinuous
hydraulic conductivities are correctly simulated by PINNs with domain
decomposition. We demonstrated that the unspecified upper boundary condition
can be estimated from sparse soil moisture measurements. Nevertheless, there
remain challenges that require further development. Chiefly, PINNs are
sensitive to the initialization of NNs and are significantly slower than
traditional numerical methods."
3747,"It is built
   To further study the noise inﬂuence on the performance                        with erosional truncation and sediment that cover the basement
of BPINNs, we test the proposed method over the observed                         blocks.","The overthrust model is a 3-D geological model proposed as
                                                                                 a result of collaboration by over ﬁfty organizations.","The overthrust model includes complex structures
                                                                                 like reverse faults and converging thrusts.",2022-03-23 12:03:26+00:00,Bayesian Physics-Informed Neural Networks for the Subsurface Tomography based on the Eikonal Equation,physics.geo-ph,['physics.geo-ph'],"[arxiv.Result.Author('Rongxi Gou'), arxiv.Result.Author('Yijie Zhang'), arxiv.Result.Author('Xueyu Zhu'), arxiv.Result.Author('Jinghuai Gao')]","The high cost of acquiring a sufficient amount of seismic data for training
has limited the use of machine learning in seismic tomography. In addition, the
inversion uncertainty due to the noisy data and data scarcity is less discussed
in conventional seismic tomography literature. To mitigate the uncertainty
effects and quantify their impacts in the prediction, the so-called Bayesian
Physics-Informed Neural Networks (BPINNs) based on the eikonal equation are
adopted to infer the velocity field and reconstruct the travel-time field. In
BPINNs, two inference algorithms including Stein Variational Gradient Descent
(SVGD) and Gaussian variational inference (VI) are investigated for the
inference task. The numerical results of several benchmark problems demonstrate
that the velocity field can be estimated accurately and the travel-time can be
well approximated with reasonable uncertainty estimates by BPINNs. This
suggests that the inferred velocity model provided by BPINNs may serve as a
valid initial model for seismic inversion and migration."
4060,"Although further research is needed, the authors conclude that only a fraction of the total
water content is constrained within small clay aggregates that can contain some hydrated OM.","This variability drives
the static and dynamic stress-strain behavior of marine fine-grained mud deposits and
consolidation processes.","Historically, the hydration of the organic matter has not been considered by many disciplines and
the organic matter on a dry basis has been generally reported as total organic carbon, without
recognition and quantification of hydrated OM.",2022-03-29 21:03:51+00:00,Hydrated Organic Matter: Functional Relationships with the Mass Physical Static and Dynamic Properties of Marine Mud,physics.geo-ph,['physics.geo-ph'],"[arxiv.Result.Author('Richard H. Bennett'), arxiv.Result.Author('Matthew H. Hulbert'), arxiv.Result.Author('Roger W. Meredith')]","The mass physical and dynamic properties of marine mud deposits are a
function of the interaction among a maximum of four sediment Phases as follows:
(1) clay mineral solids that often include silt and sand size particles of
different mineralogy, (2) semisolid hydrated organic matter, (3) free pore
water, and (4) free gas when present. Historically, the total water was removed
by oven drying which includes the seawater of hydration of the organic matter
(OM); thus, the total water content was considered free pore water in several
research disciplines. The semisolid hydrated OM resists transport through the
mud pore space and the water that is bound to the OM is not free pore water.
Calculations of marine mud mass-physical properties without consideration and
correction for the presence of hydrated organic matter can introduce
significant error in the amount of free water content of the pore space in the
mud and the quantitative differences in both porosity and void ratio.
Simulations reveal absolute relative differences due to the presence of
hydrated OM that can reach meaningful values even when the %TOC values are
below ~3%. Relevance is determined by comparing the differences due to the
hydrated OM Phase with the differences in the fluid saturation Phase at 100%
and at 90%. Understanding the presence and characteristics of hydrated OM is
expected to engage important future research in several sciences and in
geotechnical engineering of terrestrial and marine mud deposits."
4377,"However, further study is necessary to understand the best management techniques in
transboundary basins.","Local drip irrigation
experiments have shown potential for improving water savings, salinity control, and agricultural
yields.","For example, in the Syr and Amu basins, previous water conflicts have
exacerbated the shrinking of the Aral Sea12.",2022-04-05 07:29:24+00:00,To reduce soil salinity: the role of irrigation and water management in global arid regions across development phases,physics.geo-ph,['physics.geo-ph'],[arxiv.Result.Author('Haiyang Shi')],"Reducing soil salinization of croplands with optimized irrigation and water
management is essential to achieve land degradation neutralization. The
effectiveness and sustainability of various irrigation and water management
measures to reduce basin-scale salinization remain uncertain. Here we use
remote sensing to estimate soil salinity of arid croplands from 1984 to 2018.
We then use Bayesian network analysis to compare the spatial-temporal response
of salinity to water management, including various irrigation and drainage
methods, in ten large arid river basins: Nile, Tigris-Euphrates, Indus, Tarim,
Amu, Ili, Syr, Junggar, Colorado, and San Joaquin. Managers in basins at more
advanced phases of development implemented drip and groundwater irrigation,
which effectively controlled salinity by lowering groundwater levels. For the
remaining basins where conventional flood irrigation is used, economic
development and policies are crucial to establishing a virtuous circle of
improving irrigation systems, reducing salinity, and increasing agricultural
incomes necessary to achieve LDN."
6225,"1) are affected by the added random noise,
in the following, we average the results over 10 different data sets and further study the system-
atic M -dependence of the estimates.",drawn in Fig.,"Figure 2 displays the measures of misﬁt, DM, TMR and TMS
(eqs.",2022-05-16 10:14:47+00:00,Appropriate reduction of the posterior distribution in fully Bayesian inversions,physics.geo-ph,"['physics.geo-ph', 'math.ST', 'stat.TH']","[arxiv.Result.Author('Dye SK Sato'), arxiv.Result.Author('Yukitoshi Fukahata'), arxiv.Result.Author('Yohei Nozue')]","Bayesian inversion generates a posterior distribution of model parameters
from an observation equation and prior information both weighted by
hyperparameters. The prior is also introduced for the hyperparameters in fully
Bayesian inversions and enables us to evaluate both the model parameters and
hyperparameters probabilistically by the joint posterior. However, even in a
linear inverse problem, it is unsolved how we should extract useful information
on the model parameters from the joint posterior. This study presents a
theoretical exploration into the appropriate dimensionality reduction of the
joint posterior in the fully Bayesian inversion. We classify the ways of
probability reduction into the following three categories focused on the
marginalisation of the joint posterior: (1) using the joint posterior without
marginalisation, (2) using the marginal posterior of the model parameters and
(3) using the marginal posterior of the hyperparameters. First, we derive
several analytical results that characterise these categories. One is a suite
of semianalytic representations of the probability maximisation estimators for
respective categories in the linear inverse problem. The mode estimators of
categories (1) and (2) are found asymptotically identical for a large number of
data and model parameters. We also prove the asymptotic distributions of
categories (2) and (3) delta-functionally concentrate on their probability
peaks, which predicts two distinct optimal estimates of the model parameters.
Second, we conduct a synthetic test and find an appropriate reduction is
realised by category (3), typified by Akaike's Bayesian information criterion
(ABIC). The other reduction categories are shown inappropriate for the case of
many model parameters, where the probability concentration of the marginal
posterior of the model parameters is found no longer to mean the central limit
theorem..."
6385,"Geometric Rotation
    To further study the eﬀects of geometry, the outcomes of changing the

coordinate system rotation angle, θ, for a given prism have been measured.","15
2.1.2.","This experiment has been visualized in Figure 6, where θ changes about the
z-axis at regular intervals between 0 and 90 degrees.",2022-05-18 18:20:53+00:00,Stochastic uncertainty analysis of gravity gradient tensor components and their combinations,physics.geo-ph,"['physics.geo-ph', 'cs.LG']","[arxiv.Result.Author('Pejman Shamsipour'), arxiv.Result.Author('Amin Aghaee'), arxiv.Result.Author('Tedd Kourkounakis'), arxiv.Result.Author('Shawn Hood')]","Full tensor gravity (FTG) devices provide up to five independent components
of the gravity gradient tensor. However, we do not yet have a quantitative
understanding of which tensor components or combinations of components are more
important to recover a subsurface density model by gravity inversion. This is
mainly because different components may be more appropriate in different
scenarios or purposes. Knowledge of these components in different environments
can aid with selection of optimal selection of component combinations. In this
work, we propose to apply stochastic inversion to assess the uncertainty of
gravity gradient tensor components and their combinations. The method is
therefore a quantitative approach. The applied method here is based on the
geostatistical inversion (Gaussian process regression) concept using cokriging.
The cokriging variances (variance function of the GP) are found to be a useful
indicator for distinguishing the gravity gradient tensor components. This
approach is applied to the New Found dataset to demonstrate its effectiveness
in real-world applications."
