,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
277,"An extensive work was carried                  further research on preampliﬁer noise reduction, data analy-
out to better understand the wave formation, characteristics             sis method, as well as the optimization of the parameters ex-
and location distribution of FBE by means of a semiconductor             tracting FBEs is under way.","Below 1 keVee, it is a challenge to extract FBE on the con-
   FBEs with extremely fast rise time have been observed in              ditions of SE penetration and low background statistics, and
several CDEX experiments.","In the high energy region, better
electric ﬁeld and pulse shape simulation compared with the               spatial resolution is expected due to the relatively small inﬂu-
source calibration experiment.",2022-01-09 08:46:49+00:00,Identification of the anomalous fast bulk events in a p-type point contact germanium detector,physics.ins-det,"['physics.ins-det', 'hep-ex']","[arxiv.Result.Author('Renmingjie Li'), arxiv.Result.Author('Shukui Liu'), arxiv.Result.Author('Shinted Lin'), arxiv.Result.Author('Litao Yang'), arxiv.Result.Author('Qian Yue'), arxiv.Result.Author('Changhao Fang'), arxiv.Result.Author('Haitao Jia'), arxiv.Result.Author('Xi Jiang'), arxiv.Result.Author('Qianyun Li'), arxiv.Result.Author('Yu Liu'), arxiv.Result.Author('Yulu Yan'), arxiv.Result.Author('Kangkang Zhao'), arxiv.Result.Author('Lei Zhang'), arxiv.Result.Author('Changjian Tang'), arxiv.Result.Author('Haoyang Xing'), arxiv.Result.Author('Jingjun Zhu')]","The characteristics of ultra-low detector threshold, ultra-low intrinsic
background and excellent energy resolution for a p-type point contact germanium
detector is extensively utilized in the rare-event searches, particularly for
the direct dark matter interaction, coherent elastic neutrino-nucleus
scattering and neutrinoless double beta decay. Anomalous bulk events with
extremely fast rise time are observed in the CDEX-1B detector. We report a
method to extract the fast bulk events from bulk events by means of pulse shape
simulation and a reconstructed source experiment signature. The fast bulk has
been verified to the single hit arisen in the vicinity of the passivated layer
through the calibration data and the distribution of the intrinsic
radioactivity x-rays. The performance of this germanium detector indicates the
capability of the single-hit bulk spatial resolution, providing a background
removal technique."
278,"Below
1 keVee, extraction of FBEs is challenging under the condi-               The simulations and measurements presented here improve
tions of SE penetration and low background statistics, and             our understanding of the anomalous bulk effect in pPCGe de-
further research on preampliﬁer noise reduction, data analy-           tectors.",main background sources in dark matter experiments.,"They serve as a basis for better identiﬁcation of FBEs
sis methods, and the optimization of the parameters for ex-            as background in rare-event searches with germanium detec-
tracting FBEs is underway.",2022-01-09 08:46:49+00:00,Identification of the anomalous fast bulk events in a p-type point contact germanium detector,physics.ins-det,"['physics.ins-det', 'hep-ex']","[arxiv.Result.Author('Renmingjie Li'), arxiv.Result.Author('Shukui Liu'), arxiv.Result.Author('Shinted Lin'), arxiv.Result.Author('Litao Yang'), arxiv.Result.Author('Qian Yue'), arxiv.Result.Author('Changhao Fang'), arxiv.Result.Author('Haitao Jia'), arxiv.Result.Author('Xi Jiang'), arxiv.Result.Author('Qianyun Li'), arxiv.Result.Author('Yu Liu'), arxiv.Result.Author('Yulu Yan'), arxiv.Result.Author('Kangkang Zhao'), arxiv.Result.Author('Lei Zhang'), arxiv.Result.Author('Changjian Tang'), arxiv.Result.Author('Haoyang Xing'), arxiv.Result.Author('Jingjun Zhu')]","The ultralow detection threshold, ultralow intrinsic background, and
excellent energy resolution of p-type point-contact germanium detector are
important for rare-event searches, in particular for the detection of direct
dark matter interactions, coherent elastic neutrino-nucleus scattering, and
neutrinoless double beta decay. Anomalous bulk events with an extremely fast
rise time are observed in the CDEX-1B detector. We report a method of
extracting fast bulk events from bulk events using a pulse shape simulation and
reconstructed source experiment signature. Calibration data and the
distribution of X-rays generated by intrinsic radioactivity verified that the
fast bulk experienced a single hit near the passivation layer. The performance
of this germanium detector indicates that it is capable of single-hit bulk
spatial resolution and thus provides a background removal technique."
965,"In this case,
there is some indication from this study that a drift-time dependent PID could be used to improve
the separation of these populations, though further study with a full Monte-Carlo simulation and
data is needed.","We do ﬁnd, however, that diﬀusion may be a signiﬁcant source
of systematic uncertainty for separating muons from pions and kaons from protons.","The third take away is that one must be careful when simulating diﬀusion, especially with
respect to grouping ionization electrons into packets.",2022-01-24 16:04:51+00:00,Investigations on a Fuzzy Process: Effect of Diffusion on Calibration and Particle Identification in Liquid Argon Time Projection Chambers,physics.ins-det,"['physics.ins-det', 'hep-ex']","[arxiv.Result.Author('A. Lister'), arxiv.Result.Author('M. Stancari')]","Ionization electron diffusion in Liquid Argon Time Projection Chambers
(LArTPCs) has typically been considered at the detector design stage, but
little attention has been given to its effects on calibration and particle
identification. We use a GEANT4-based simulation to study how diffusion impacts
these techniques, and give consideration to how this effect is simulated. We
find that diffusion can cause a drift-time dependent bias to both the median
and most probable value of distributions of energy depoisition per unit length
(4.5\%-5.0\% for typical maximum drift times in currently running LArTPCs),
indicating these metrics should not be used for calibration without care,
contrary to the conventional wisdom. The impact of diffusion on the ability of
LArTPCs to separate muons and protons is small, however diffusion may be a
significant source of systematic uncertainty when separating particles of more
similar masses (muons and pions, kaons and protons). Separation of such
populations may be improved by implementation of a drift-time dependent
particle identification."
966,"In this case,
there is some indication from this study that a drift-time dependent PID could be used to improve
the separation of these populations, though further study with a full Monte-Carlo simulation and
data is needed.","We do ﬁnd, however, that diﬀusion may be a signiﬁcant source
of systematic uncertainty for separating muons from pions and kaons from protons.","The third take away is that one must be careful when simulating diﬀusion, especially with
respect to grouping ionization electrons into packets.",2022-01-24 16:04:51+00:00,Investigations on a Fuzzy Process: Effect of Diffusion on Calibration and Particle Identification in Liquid Argon Time Projection Chambers,physics.ins-det,"['physics.ins-det', 'hep-ex']","[arxiv.Result.Author('A. Lister'), arxiv.Result.Author('M. Stancari')]","Ionization electron diffusion in Liquid Argon Time Projection Chambers
(LArTPCs) has typically been considered at the detector design stage, but
little attention has been given to its effects on calibration and particle
identification. We use a GEANT4-based simulation to study how diffusion impacts
these techniques, and give consideration to how this effect is simulated. We
find that diffusion can cause a drift-dependent bias to both the median and
Most Probable Value (MPV) of charge deposition per unit length distributions.
The bias is estimated to be ~2.5% (median) and ~5.0% (MPV) for typical maximum
drift times in currently running LArTPCs before adding detector specific
considerations such as electric field non-uniformities. This indicates that
these metrics should not be used for calibration without care, contrary to the
conventional wisdom. The impact of diffusion on the ability of LArTPCs to
separate muons and protons is small, and not expected to pose any problems in
future detectors. Diffusion may however be a significant source of systematic
uncertainty when separating particles of more similar masses (muons and pions,
kaons and protons). Separation of such populations may be improved by
implementation of a drift-time dependent particle identification."
967,"In this case,
there is some indication from this study that a drift-time dependent PID could be used to improve
the separation of these populations, though further study with a full Monte-Carlo simulation and
data is needed.","We do ﬁnd, however, that diﬀusion may be a signiﬁcant source
of systematic uncertainty for separating muons from pions and kaons from protons.","– 11 –
     The third take away is that one must be careful when simulating diﬀusion, especially with
respect to grouping ionization electrons into packets.",2022-01-24 16:04:51+00:00,Investigations on a Fuzzy Process: Effect of Diffusion on Calibration and Particle Identification in Liquid Argon Time Projection Chambers,physics.ins-det,"['physics.ins-det', 'hep-ex']","[arxiv.Result.Author('A. Lister'), arxiv.Result.Author('M. Stancari')]","Ionization electron diffusion in Liquid Argon Time Projection Chambers
(LArTPCs) has typically been considered at the detector design stage, but
little attention has been given to its effects on calibration and particle
identification. We use a GEANT4-based simulation to study how diffusion impacts
these techniques, and give consideration to how this effect is simulated. We
find that diffusion can cause a drift-dependent bias to both the median and
Most Probable Value (MPV) of charge deposition per unit length distributions.
The bias is estimated to be ~2.5% (median) and ~5.0% (MPV) for typical maximum
drift times in currently running LArTPCs before adding detector specific
considerations such as electric field non-uniformities. This indicates that
these metrics should not be used for calibration without care, contrary to the
conventional wisdom. The impact of diffusion on the ability of LArTPCs to
separate muons and protons is small, and not expected to pose any problems in
future detectors. Diffusion may however be a significant source of systematic
uncertainty when separating particles of more similar masses (muons and pions,
kaons and protons). Separation of such populations may be improved by
implementation of a drift-time dependent particle identification."
1299,"This encourages further study using more realistic
Monte Carlo simulations.","Comparing the plots from the top row to the
plots at the bottom row it can be seen that the ∆Z resolution has a signiﬁcant
inﬂuence on the peak size.","6 Summary and outlook

The classiﬁcation algorithm suggested in this paper is designed to detect helical
particle tracks from charged particles inside a detector submerged in a uniform
magnetic ﬁeld.",2022-01-31 14:57:11+00:00,Approximate method for helical particle trajectory reconstruction in high energy physics experiments,physics.ins-det,"['physics.ins-det', 'physics.data-an']","[arxiv.Result.Author('K. Topolnicki'), arxiv.Result.Author('T. Bold')]","High energy physics experiments, in particular experiments at the LHC, rely
on the reconstruction of charged particle trajectories. Methods of
reconstructing such trajectories have been known for decades, yet the
applications at High Luminosity LHC require this reconstruction to be fast
enough to be suitable for online event filtering.
  A particle traversing the detector volume leaves signals in active detector
elements from which the trajectory is reconstructed. If the detector is
submerged in a uniform magnetic field that trajectory is approximately helical.
Since a collision event results in the production of many particles, especially
at high luminosities, the first phase of trajectory reconstruction is the
formation of candidate trajectories composed of a small subset of detector
measurements.
  In this paper, we suggest a new approach that could be used to perform this
classification. The proposed procedure utilizes the $z$ coordinate in the
longitudinal direction in addition to the $x, y$ coordinates in the plane
perpendicular to the direction of the magnetic field. The suggested algorithm
works equally well for helical trajectories with different proximities to the
beamline which is beneficial when searching for particles with longer
lifetimes."
1300,"This encourages further study using more realistic
Monte Carlo simulations.","Comparing the plots from the top row to the
plots at the bottom row it can be seen that the ∆Z resolution has a signiﬁcant
inﬂuence on the peak size.","6 Summary and outlook

The classiﬁcation algorithm suggested in this paper is designed to detect helical
particle tracks from charged particles inside a detector submerged in a uniform
magnetic ﬁeld.",2022-01-31 14:57:11+00:00,Approximate method for helical particle trajectory reconstruction in high energy physics experiments,physics.ins-det,"['physics.ins-det', 'physics.data-an']","[arxiv.Result.Author('K. Topolnicki'), arxiv.Result.Author('T. Bold')]","High energy physics experiments, in particular experiments at the LHC, rely
on the reconstruction of charged particle trajectories. Methods of
reconstructing such trajectories have been known for decades, yet the
applications at High Luminosity LHC require this reconstruction to be fast
enough to be suitable for online event filtering.
  A particle traversing the detector volume leaves signals in active detector
elements from which the trajectory is reconstructed. If the detector is
submerged in a uniform magnetic field that trajectory is approximately helical.
Since a collision event results in the production of many particles, especially
at high luminosities, the first phase of trajectory reconstruction is the
formation of candidate trajectories composed of a small subset of detector
measurements.
  In this paper, we suggest a new approach that could be used to perform this
classification. The proposed procedure utilizes the $z$ coordinate in the
longitudinal direction in addition to the $x, y$ coordinates in the plane
perpendicular to the direction of the magnetic field. The suggested algorithm
works equally well for helical trajectories with different proximities to the
beamline which is beneficial when searching for particles with longer
lifetimes."
1614,"For further research, a new accelerator DC-280 with an intensity of heavy ion beams up
to 10 pµA was put into operation.","These were fusion-evaporation reactions using actinide targets and 48Ca
heavy ion beams accelerated at the U-400 accelerator.The intensity of these beams was
about1pµA.","When leaving the accelerator, heavy ion beams bombard a
rotating target, as a result of which the reaction itself occurs.The first experimental setup of this
Superheavy element factory is DGFRS-II, which is necessary for separating superheavy nuclei
from heavy ion beams and other background particles formed as a result of the reaction [2].",2022-02-07 10:56:14+00:00,Flexible scenario for heavy element research,physics.ins-det,"['physics.ins-det', 'nucl-ex', 'J.0']","[arxiv.Result.Author('D. Idabullayev'), arxiv.Result.Author('A. N. Polyakov'), arxiv.Result.Author('Yu. S. Tsyganov'), arxiv.Result.Author('A. A. Voinov')]","Detection system and software package coded in Builder C ++ are developed for
the new analog spectrometer of the DGFRS-2 setup installed on the new DC-280
cyclotron. This software allows providing data acquisition using a 48x128 DSSSD
(Double Side Silicon Strip Detector) detector and a multi-wire gaseous
detector. The main feature of this software package is the use of flexible
real-time algorithms to provide deep suppression of the background in reactions
for the synthesis of superheavy elements, using the detection of correlations
ER-{\alpha} (Recoil-alpha particle). The block-diagram of analog spectrometer
is presented."
1615,"For further research, a new accelerator DC-280 with an intensity of heavy ion beams up
to 10 pµA was put into operation.","These were fusion-evaporation reactions using actinide targets and 48Ca
heavy ion beams accelerated at the U-400 accelerator.The intensity of these beams was
about1pµA.","When leaving the accelerator, heavy ion beams bombard a
rotating target, as a result of which the reaction itself occurs.The first experimental setup of this
Superheavy element factory is DGFRS-II, which is necessary for separating superheavy nuclei
from heavy ion beams and other background particles formed as a result of the reaction [2].",2022-02-07 10:56:14+00:00,Flexible scenario for heavy element research,physics.ins-det,"['physics.ins-det', 'nucl-ex', 'J.0']","[arxiv.Result.Author('D. Ibadullayev'), arxiv.Result.Author('A. N. Polyakov'), arxiv.Result.Author('Yu. S. Tsyganov'), arxiv.Result.Author('A. A. Voinov')]","Detection system and software package coded in Builder C ++ are developed for
the new analog spectrometer of the DGFRS-2 setup installed on the new DC-280
cyclotron. This software allows providing data acquisition using a 48x128 DSSSD
(Double Side Silicon Strip Detector) detector and a multi-wire gaseous
detector. The main feature of this software package is the use of flexible
real-time algorithms to provide deep suppression of the background in reactions
for the synthesis of superheavy elements, using the detection of correlations
ER-{\alpha} (Recoil-alpha particle). The block-diagram of analog spectrometer
is presented."
2004,"We hope that further research will improve our understanding
                                                                  of such effects and their mitigation.","While such effects are not necessarily important in
                                                                  the traditional X-ray emission experiment, the extraordinary
                                                                  energy resolution required by the PTOLEMY experiment
                                                                  puts unusually stringent constraints on the admissible rate and
                                                                  magnitude of disruption due to various solid state processes.",FIG.,2022-02-15 13:57:46+00:00,Impact of the X ray edge singularity on detection of relic neutrinos in the PTOLEMY project,physics.ins-det,"['physics.ins-det', 'cond-mat.mes-hall', 'hep-ph']","[arxiv.Result.Author('Zhiyang Tan'), arxiv.Result.Author('Vadim Cheianov')]","Direct detection of relic neutrinos in a beta-decay experiment is an
ambitious goal, which has for a long time been beyond the reach of available
technology. One of the toughest practical difficulties that such an experiment
has to overcome is that it needs to deal with a large amount of radioactive
material in such a way as to not compromise the energy resolution required for
the separation of useful events from the massive beta-decay background. The
PTOLEMY project offers an innovative approach to this problem based on
deposition of radioactive material on graphene. While such an approach is
expected to resolve the main difficulty, new challenges arise from the
proximity of the beta decayers to a solid state system. In this work, we focus
on the effect of the shakeup of the graphene electron system due to a
beta-decay event. We calculate the distortion of the relic neutrino peaks as
resulting from such a shakeup, analyse the impact of the distortion on the
visibility of neutrino capture events and discuss what technological solutions
could be used to improve the visibility of neutrino capture events."
