,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
1004,"The exact origin of the noise performance improvement needs further research but we postulate
that it may relate to (i) reduced spectral overlap between the combs; (ii) lower peak power of
the multi-ps pulse that forms in the normal dispersion regime.","Consequently, the latter is better
suited for free-running asynchronous optical sampling or dual-comb spectroscopy experiments.","When the two pulses temporally
overlap inside the gain crystal, they compete for the gain.",2022-01-25 13:34:22+00:00,Dual-dispersion-regime dual-comb mode-locked laser,physics.optics,['physics.optics'],"[arxiv.Result.Author('Maciej Kowalczyk'), arxiv.Result.Author('Łukasz A. Sterczewski'), arxiv.Result.Author('Xuzhao Zhang'), arxiv.Result.Author('Valentin Petrov'), arxiv.Result.Author('Jarosław Sotor')]","We report on the first solid-state dual-comb mode-locked laser simultaneously
operating in different dispersion regimes. Due to the intrinsic
polarization-multiplexing in a birefringent Yb:Ca$_3$NbGa$_3$Si$_2$O$_{14}$
(Yb:CNGS) gain medium, the laser emits two cross-polarized pulse trains with a
repetition rate offset of ~4.8 kHz from a single cavity. We obtain dual pulse
generation with 20-fold difference in the duration, by setting the net cavity
group delay dispersion to cross zero across the emission band of the employed
gain medium. While the duration of the soliton-like pulses experiencing
anomalous dispersion amounts to 117 fs, the second laser output that is
spectrally located in the normal dispersion region, is strongly chirped with a
pulse duration of 2360 fs."
1092,"At higher ﬁll fractions, the anisotropy would be higher and system
might show diﬀerent properties but that would be the subject of further study.","As the size of the nanopores could
be very easily increased by widening the pores, and that could increase the ﬁll fraction and
hence the optical anisotropy.","However, here
we concentrate only to verify the existence of the Berreman modes in our simple experimentally
observed system at ﬁll fraction of 0.04.",2022-01-27 09:30:14+00:00,Experimental observation of Berreman modes in uniaxial anisotropic nanoporous alumina film on aluminium substrate,physics.optics,"['physics.optics', 'physics.app-ph']","[arxiv.Result.Author('Dheeraj Pratap'), arxiv.Result.Author('Jitendra Kumar Pradhan'), arxiv.Result.Author('Subramanium Anantha Ramakrishna')]","In this article, we demonstrate experimentally and verified numerically the
excitation of Berreman modes that propagate in a dielectric film of uniaxial
anisotropic nanoporous alumina grown on an aluminium substrate. It is an
air-dielectric-metal asymmetric polaritonic system with a real part of the
effective permittivity having a value near zero. The modes are excited at a
wavelength lower than the epsilon near zero wavelength region. Minimum
reflection is observed for the mid-infrared p-polarized light, while maximum
reflection is observed for the s-polarized light. The experimental results are
numerically reproduced for both p- and s-polarized light and confirm the
Berreman modes excitation in the system. At the exciting wavelength, the field
is confined in the dielectric region near the air-dielectric interface. The
reported system is straightforward and could be easily fabricated over a large
scale and is helpful in a variety of mid-infrared applications such as thermal
management systems, sensors, passive radiative cooling devices, non-linear
applications, and terahertz frequency generation."
1467,"The high
value of thermal conductivity, the zero value of linear expansion coefficient (no expansion => no temperature stresses and no
thermally induced birefringence), and transparency of the material open up opportunities for developing a cryogenic FI not
only for lasers based on Tm and Ho (1900-2100 nm) ions, but possibly for lasers based on Nd and Yb (1053-1075 nm) ions
as well, which is the subject matter of our further research.","On cryogenic cooling of c-Si, the width of the fundamental bandgap changes, resulting in reduced absorption in the
short-wavelength region and the respective shift of the absorption edge of the material to the short-wavelength region.34 Thus,
the thick sample at a wavelength of 1064 nm that was initially opaque at room temperature, became “transparent” for
radiation at a temperature of 90 K, which allowed us to measure the Verdet constant V1064(T=90 K)=45.7 rad/(T∙m).",The next step was a creation of a FI based on two cylindrical samples.,2022-02-03 10:46:09+00:00,Faraday isolator based on crystalline silicon (c-Si) for 2 micron laser radiation,physics.optics,['physics.optics'],"[arxiv.Result.Author('Ilya Snetkov'), arxiv.Result.Author('Alexey Yakovlev')]","The magneto-optical properties of single-crystal silicon were investigated as
a function of wavelength and temperature."
1854,"XXX, MAY 2022                                                                                                       3

subject to further research.","XXX, NO.","The inﬂuence of both eﬀects (wall                          6.8 5                        dB/km 3.7 6                              dB/km
thickness variations and angle oﬀsets) on the propagation loss                                                                                                  0.20
was investigated independently as shown in Fig.",2022-02-10 17:41:19+00:00,Random Design Variations of Hollow-core Anti-resonant Fibers: A Monte-Carlo Study,physics.optics,['physics.optics'],"[arxiv.Result.Author('Michael Petry'), arxiv.Result.Author('Md. Selim Habib')]","Hollow-core anti-resonant fibers (HC-ARFs) have earned great attention in the
fiber optics community due to their remarkable light-guiding properties and
broad application spectrum. Particularly nested HC-ARFs have recently reached
competitiveness to standard fibers and even outperform them in certain
categories. Key to their success is a precisely fine-tuned geometry, which
inherently leaves optical characteristics highly susceptible to minimal
structural deviations. When fabricating fibers, these come into play and
manifest themselves in various imperfections to the geometry, ultimately
worsening the fiber performance. In this article, for the first time to the
best of our knowledge, these imperfections have been statistically modeled and
analyzed on their impact to the propagation loss in a Monte-Carlo fashioned
simulation. We have considered randomly varying outer and nested tube wall
thicknesses as well as random tube angle offsets. We found that the loss
increase due to perturbed tube angles dominates that of varying tube
thicknesses by approximately an order of magnitude for FM and two orders of
magnitude for HOM propagation at a wavelength of 1.55 $\mu$m. Moreover, the
higher-order-mode-extinction-ratio (HOMER) is proportional to the intensity of
structural variations, indicating an increase in the `single-modeness' of a
fabricated fiber. Furthermore, a bend condition worsens the loss contribution
of both effects applied jointly dramatically to a value of $+50\%$ at a bend
radius of 4 cm compared to $+5\%$ for a straight fiber. We believe that our
work helps to predict the performance of realistic HC-ARFs after fabrication."
1855,"These
investigations are left for further research.",an alternative to the classical ﬁnite-element approach.,"[6] H. Sakr, Y. Hong, T. Bradley, G. Jasion, J. Hayes, H. Kim, I. Davidson,
                                                                                  E. N. Fokoua, Y. Chen, K. Bottrill, et al., “Interband short reach data
                           IV.",2022-02-10 17:41:19+00:00,Random Design Variations of Hollow-core Anti-resonant Fibers: A Monte-Carlo Study,physics.optics,['physics.optics'],"[arxiv.Result.Author('Michael Petry'), arxiv.Result.Author('Md. Selim Habib')]","Hollow-core anti-resonant fibers (HC-ARFs) have earned great attention in the
fiber optics community due to their remarkable light-guiding properties and
broad application spectrum. Particularly nested HC-ARFs have recently reached
competitiveness to standard fibers and even outperform them in certain
categories. Key to their success is a precisely fine-tuned geometry, which
inherently leaves optical characteristics highly susceptible to minimal
structural deviations. When fabricating fibers, these come into play and
manifest themselves in various imperfections to the geometry, ultimately
worsening the fiber performance. In this article, for the first time to the
best of our knowledge, these imperfections have been statistically modeled and
analyzed on their impact to the propagation loss in a Monte-Carlo fashioned
simulation. We have considered randomly varying outer and nested tube wall
thicknesses as well as random tube angle offsets. We found that the loss
increase due to perturbed tube angles dominates that of varying tube
thicknesses by approximately an order of magnitude for FM and two orders of
magnitude for HOM propagation at a wavelength of 1.55 $\mu$m. Moreover, the
higher-order-mode-extinction-ratio (HOMER) is proportional to the intensity of
structural variations, indicating an increase in the `single-modeness' of a
fabricated fiber. Furthermore, a bend condition worsens the loss contribution
of both effects applied jointly dramatically to a value of $+50\%$ at a bend
radius of 4 cm compared to $+5\%$ for a straight fiber. We believe that our
work helps to predict the performance of realistic HC-ARFs after fabrication."
2066,"Focus is on such multilayers, which have sensitivity to both parameters (, ) in
the visible spectral range, thus, opening the possibility for further research on a new biomedical
sensor development with enhanced double parameter sensing.","Several multilayer sensor configurations show great sensitivity to thickness and
refractive index variation of the detectable material by measuring the reflectivity ratio  and
phase shift .","Keywords: point of darkness, reflectivity, phase shift, absorption of light, biomedical sensors,
semiconductors, dielectrics, ellipsometry

1.",2022-02-16 14:15:57+00:00,Enhanced Reflectivity Change and Phase Shift of Polarized Light: Double Parameter Multilayer Sensor,physics.optics,"['physics.optics', 'cond-mat.mtrl-sci']","[arxiv.Result.Author('Ilze Aulika'), arxiv.Result.Author('Martins Zubkins'), arxiv.Result.Author('Jelena Butikova'), arxiv.Result.Author('Juris Purans')]","Herein, the concept of point of darkness based on polarized light phase
difference and absorption of light is demonstrated by simulations using low
refractive index and extinction coefficient semiconductor and dielectric, and
high refractive index nonoxidizing metal multilayer thin film structures.
Several multilayer sensor configurations show great sensitivity to thickness
and refractive index variation of the detectable material by measuring the
reflectivity ratio {\Psi} and phase shift {\Delta}. Focus is on such
multilayers, which have sensitivity to both parameters ({\Psi}, {\Delta}) in
the visible spectral range, thus opening the possibility for further research
on a new biomedical sensor development with enhanced double parameter sensing."
2130,"We observed that e-beam lithography
produces lower quality cavities than the Ne FIB method described below, but with further study and
optimization this could have been improved, which is interesting to consider for any application which
requires a large area to be covered with cavities.","However, an extensive comparison of cavity
fabrication techniques lies well beyond the scope of this work.","With FIB milling, we considered three ion species: He, Ne and Ga. Milling with Ga FIB (Zeiss Auriga)
produced well defined cavities, potentially on sizable areas, but with the minimum feature size being
~20nm at best.",2022-02-17 11:50:07+00:00,Multimodal interference and bound in the continuum modes in indirectly-patterned hyperbolic cavities,physics.optics,"['physics.optics', 'cond-mat.mes-hall']","[arxiv.Result.Author('Hanan Herzig Sheinfux'), arxiv.Result.Author('Lorenzo Orsini'), arxiv.Result.Author('Minwoo Jung'), arxiv.Result.Author('Iacopo Torre'), arxiv.Result.Author('Matteo Ceccanti'), arxiv.Result.Author('Rinu Maniyara'), arxiv.Result.Author('David Barcons Ruiz'), arxiv.Result.Author('Alexander Hötger'), arxiv.Result.Author('Ricardo Bertini'), arxiv.Result.Author('Sebastián Castilla'), arxiv.Result.Author('Niels C. H. Hesp'), arxiv.Result.Author('Eli Janzen'), arxiv.Result.Author('Alexander Holleitner'), arxiv.Result.Author('Valerio Pruneri'), arxiv.Result.Author('James H. Edgar'), arxiv.Result.Author('Gennady Shvets'), arxiv.Result.Author('Frank H. L. Koppens')]","A conventional optical cavity supports modes which are confined because they
are unable to leak out of the cavity. Bound state in continuum (BIC) cavities
are an unconventional alternative, where light can leak out, but is confined by
multimodal destructive interference. BICs are a general wave phenomenon, of
particular interest to optics, but BICs and multimodal interference have never
been demonstrated at the nanoscale. Here, we demonstrate the first nanophotonic
cavities based on BIC-like multimodal interference. This novel confinement
mechanism for deep sub-wavelength light shows orders of magnitude improvement
in several confinement metrics. Specifically, we obtain cavity volumes below
100x100x3nm^3 with quality factors about 100, with extreme cases having
23x23x3nm^3 volumes or quality factors above 400. Key to our approach, is the
use of pristine crystalline hyperbolic dispersion media (HyM) which can support
large momentum excitations with relatively low losses. Making a HyM cavity is
complicated by the additional modes that appear in a HyM. Ordinarily, these
serve as additional channels for leakage, reducing cavity performance. But, in
our experiments, we find a BIC-like cavity confinement enhancement effect,
which is intimately related to the ray-like nature of HyM excitations. In fact,
the quality factors of our cavities exceed the maximum that is possible in the
absence of higher order modes. The alliance of HyM with BICs in our work yields
a radically novel way to confine light and is expected to have far reaching
consequences wherever strong optical confinement is utilized, from ultra-strong
light-matter interactions, to mid-IR nonlinear optics and a range of sensing
applications."
2318,"Interestingly, the shape of these
modes is wavelength independent due to two compet-               We further study the mode matching and coupling ef-
ing eﬀects.",is outside the core layer.,"For increasing wavelengths, the reduction of      ﬁciency by measuring the transmission versus focusing-
round-trip phase for the optical ﬁeld bouncing between        lens position (for the focal point near the input facet).",2022-02-22 14:36:21+00:00,Broadband single-mode planar waveguides in monolithic 4H-SiC,physics.optics,"['physics.optics', 'cond-mat.mes-hall', 'physics.app-ph', 'quant-ph']","[arxiv.Result.Author('Tom Bosma'), arxiv.Result.Author('Joop Hendriks'), arxiv.Result.Author('Misagh Ghezellou'), arxiv.Result.Author('Nguyen T. Son'), arxiv.Result.Author('Jawad Ul-Hassan'), arxiv.Result.Author('Caspar H. van der Wal')]","Color-center defects in silicon carbide promise opto-electronic quantum
applications in several fields, such as computing, sensing and communication.
In order to scale down and combine these functionalities with the existing
silicon device platforms, it is crucial to consider SiC integrated optics. In
recent years many examples of SiC photonic platforms have been shown, like
photonic crystal cavities, film-on-insulator waveguides and micro-ring
resonators. However, all these examples rely on separating thin films of SiC
from substrate wafers. This introduces significant surface roughness, strain
and defects in the material, which greatly affects the homogeneity of the
optical properties of color centers. Here we present and test a method for
fabricating monolithic single-crystal integrated-photonic devices in SiC:
tuning optical properties via charge carrier concentration. We fabricated
monolithic SiC n-i-n and p-i-n junctions where the intrinsic layer acts as
waveguide core, and demonstrate the waveguide functionality for these samples.
The propagation losses are below 14 dB/cm. These waveguide types allow for
addressing color-centers over a broad wavelength range with low strain-induced
inhomogeneity of the optical-transition frequencies. Furthermore, we expect
that our findings open the road to fabricating waveguides and devices based on
p-i-n junctions, which will allow for integrated electrostatic and radio
frequency (RF) control together with high-intensity optical control of defects
in silicon carbide."
2449,"For further research on the
absorber behavior, several physical modeling, such as equivalent circuits [5, 18, 19], F–P
resonant cavities [8], interference theory [20], and transmission lines [21, 22], are usually used
to investigate MMAs.","An incident THz wave is resonantly enhanced at given frequencies where the
incident electromagnetic energy is trapped within the MMA cavity.",Numerical simulation [23-25] is also used to design perfect absorbers.,2022-02-25 10:46:50+00:00,Quantitative exploration of the absorber behavior of metal-insulator-metal metamaterials within terahertz via an asymmetric peak model,physics.optics,"['physics.optics', 'physics.app-ph']","[arxiv.Result.Author('Zhigang Li Wenjing Jiang'), arxiv.Result.Author('Jianyu Fu'), arxiv.Result.Author('Qing Zhao')]","Terahertz (THz) metamaterials have been developed for THz sensing, detection,
imaging, and many other functions due to their unusual absorbers. However, the
unusual absorption spectra change with different incident angles. Thus, we
designed and fabricated a focal plane array with metal-insulator-metal (MIM)
structure metamaterial absorbers for further research. The absorption spectrum
with incident angles from 20 to 60 was measured using THz time-domain
spectroscopy (THz-TDS), and the experimental results reveal that the absorption
spectrum changes with incident angle variations. A basic analytical asymmetric
peak model for extracting absorption-frequency characteristics was developed in
this study to quantitatively explore this variation in the absorber behavior
with incident angles. The best result was that the frequency corresponding to
the highest absorption can be easily found using this peak model. The
experimental data was coherent with the validation of the asymmetric peak
model. Moreover, a second model to quantitatively relate parameters to the
incident angle was discovered, allowing for the prediction of absorption
spectrum shifts and changes. The absorption spectrum was predicted to have a
valley-like absorption curve at particular incident angles based on the
secondary models deduction. The proposed extraction method's essential feature
is that it can be applied to any physics-based MIM metamaterial system. Such a
model will guide the design and optimization of THz metamaterial absorbers,
sensors, imagers, and many others."
2450,"For further research, we designed and fabricated a
square patch metamaterial absorber (SQMA) focal plane array (FPA) based on an Au/SiNx/Al
structure.","This is an important
phenomenon in semiconductor devices.",Fig.,2022-02-25 10:46:50+00:00,Quantitative exploration of the absorber behavior of metal-insulator-metal metamaterials within terahertz via an asymmetric peak model,physics.optics,"['physics.optics', 'physics.app-ph']","[arxiv.Result.Author('Zhigang Li Wenjing Jiang'), arxiv.Result.Author('Jianyu Fu'), arxiv.Result.Author('Qing Zhao')]","Terahertz (THz) metamaterials have been developed for THz sensing, detection,
imaging, and many other functions due to their unusual absorbers. However, the
unusual absorption spectra change with different incident angles. Thus, we
designed and fabricated a focal plane array with metal-insulator-metal (MIM)
structure metamaterial absorbers for further research. The absorption spectrum
with incident angles from 20 to 60 was measured using THz time-domain
spectroscopy (THz-TDS), and the experimental results reveal that the absorption
spectrum changes with incident angle variations. A basic analytical asymmetric
peak model for extracting absorption-frequency characteristics was developed in
this study to quantitatively explore this variation in the absorber behavior
with incident angles. The best result was that the frequency corresponding to
the highest absorption can be easily found using this peak model. The
experimental data was coherent with the validation of the asymmetric peak
model. Moreover, a second model to quantitatively relate parameters to the
incident angle was discovered, allowing for the prediction of absorption
spectrum shifts and changes. The absorption spectrum was predicted to have a
valley-like absorption curve at particular incident angles based on the
secondary models deduction. The proposed extraction method's essential feature
is that it can be applied to any physics-based MIM metamaterial system. Such a
model will guide the design and optimization of THz metamaterial absorbers,
sensors, imagers, and many others."
