,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
142,"(ii) The case val(a) = 1 is
The formal characterization of chemistry-like RNs      only possible if there is no compound composed
developed here suggests several interesting ques-      exclusively of three or more copies of a or com-
tions for further research.","5.2 Outlook to open problems                           There seem to be only a few constraints: (i) If a
                                                       moiety a appears in isolation, i.e., as a molecule
Construction of random chemistry-like networks         x = 1a, then val(a) must be even, since it con-
                                                       tains val(a)/2 loops.","In particular, our re-     posed of more than two moieties with valency 1.
sults deﬁne rather clearly how random chemistry-       (iii) It is well known that the sum of degrees must
like RNs should be deﬁned and thus poses the ques-     be even for every multigraph, and connectedness
tion whether there are eﬃcient algorithms for their    implies u val(u) ≥ 2(|V | − 1) [85].",2022-01-05 15:05:06+00:00,"What makes a reaction network ""chemical""?",q-bio.MN,"['q-bio.MN', 'math.CO', 'math.MG', 'physics.chem-ph']","[arxiv.Result.Author('Stefan Müller'), arxiv.Result.Author('Christoph Flamm'), arxiv.Result.Author('Peter F. Stadler')]","Reaction networks (RNs) comprise a set $X$ of species and a set $\mathscr{R}$
of reactions $Y\to Y'$, each converting a multiset of educts $Y\subseteq X$
into a multiset $Y'\subseteq X$ of products. RNs are equivalent to directed
hypergraphs. However, not all RNs necessarily admit a chemical interpretation.
Instead, they might contradict fundamental principles of physics such as the
conservation of energy and mass or the reversibility of chemical reactions. The
consequences of these necessary conditions for the stoichiometric matrix
$\mathbf{S} \in \mathbb{R}^{X\times\mathscr{R}}$ have been discussed
extensively in the literature. Here, we provide sufficient conditions for
$\mathbf{S}$ that guarantee the interpretation of RNs in terms of balanced sum
formulas and structural formulas, respectively.
  Chemically plausible RNs allow neither a perpetuum mobile, i.e., a ""futile
cycle"" of reactions with non-vanishing energy production, nor the creation or
annihilation of mass. Such RNs are said to be thermodynamically sound and
conservative. For finite RNs, both conditions can be expressed equivalently as
properties of $\mathbf{S}$. The first condition is vacuous for reversible
networks, but it excludes irreversible futile cycles and - in a stricter sense
- futile cycles that even contain an irreversible reaction. The second
condition is equivalent to the existence of a strictly positive reaction
invariant. Furthermore, it is sufficient for the existence of a realization in
terms of sum formulas, obeying conservation of ""atoms"". In particular, these
realizations can be chosen such that any two species have distinct sum
formulas, unless $\mathbf{S}$ implies that they are ""obligatory isomers"". In
terms of structural formulas, every compound is a labeled multigraph, in
essence a Lewis formula, and reactions comprise only a rearrangement of bonds
such that the total bond order is preserved."
1177,"Previous
approaches to identifying drugs have been focussed on correlating transcription signatures between
disease and known drugs (66) however this approach generates drugs and therapeutic targets that
rarely are further researched, and have not had much success in brining any new treatments to the
clinic.","17
An advantage of large causal molecular networks is drug discovery and repurposing.",Causal pathways allow for more in-depth identification of drug targets.,2022-01-28 16:36:19+00:00,Discovery methods for systematic analysis of causal molecular networks in modern omics datasets,q-bio.MN,"['q-bio.MN', 'q-bio.GN']","[arxiv.Result.Author('Jack Kelly'), arxiv.Result.Author('Carlo Berzuini'), arxiv.Result.Author('Bernard Keavney'), arxiv.Result.Author('Maciej Tomaszewski'), arxiv.Result.Author('Hui Guo')]","With the increasing availability and size of multi-omics datasets,
investigating the casual relationships between molecular phenotypes has become
an important aspect of exploring underlying biology and genetics. This paper
aims to introduce and review the available methods for building large-scale
causal molecular networks that have been developed in the past decade. Existing
methods have their own strengths and limitations so there is no one best
approach, and it is instead down to the discretion of the researcher. This
review also aims to discuss some of the current limitations to biological
interpretation of these networks, and important factors to consider for future
studies on molecular networks."
1999,"We will leave
                                        n+1                  further study on this method as future work.","However, if
                                                             the method in the last paragraph is used, then this clear
           D(L0.5) ∝ (6 − n)(1 − X∗(L0.5) + n2 )2 (S12.4)    separation of roles will no longer apply.","We can calculate the right-hand side of the above equa-           Supplemental Material 14: Additional ﬁgures
tion using our chosen parameters of g+ and g− (which
gives X∗(L0.5) = 0.55), and for various values of n which
equals to 6 − m. Our calculations show that we will need

a larger diﬀusivity D(L0.5) for m = 3, 4 in comparison
to m = 1, 2.",2022-02-15 12:49:06+00:00,Using transcription-based detectors to emulate the behaviour of sequential probability ratio-based concentration detectors,q-bio.MN,['q-bio.MN'],[arxiv.Result.Author('Chun Tung Chou')],"The sequential probability ratio test (SPRT) from statistics is known to have
the least mean decision time compared to other sequential or fixed-time tests
for given error rates. In some circumstances, cells need to make decisions
accurately and quickly, therefore it has been suggested the SPRT may be used to
understand the speed-accuracy tradeoff in cellular decision making. It is
generally thought that in order for cells to make use of the SPRT, it is
necessary to find biochemical circuits that can compute the log-likelihood
ratio needed for the SPRT. However, this paper takes a different approach. We
recognise that the high-level behaviour of the SPRT is defined by its positive
detection or hit rate, and the computation of the log-likelihood ratio is just
one way to realise this behaviour. In this paper, we will present a method
which uses a transcription-based detector to emulate the hit rate of the SPRT
without computing the exact log-likelihood ratio. We consider the problem of
using a promoter with multiple binding sites to accurately and quickly detect
whether the concentration of a transcription factor is above a target level. We
show that it is possible to find binding and unbinding rates of the
transcription factor to the promoter's binding sites so that the probability
that the amount of mRNA produced will be higher than a threshold is
approximately equal to the hit rate of the SPRT detector. Moreover, we show
that the average time that this transcription-based detector needs to make a
positive detection is less than or equal to that of the SPRT for a wide range
of concentrations. We remark that the last statement does not contradict Wald's
optimality result because our transcription-based detector uses an open-ended
test."
2000,"We will leave
We can calculate the right-hand side of the above equa-     further study on this method as future work.","However, if
                                        n+1                 the method in the last paragraph is used, then this clear
                                                            separation of roles will no longer apply.","tion using our chosen parameters of g+ and g− (which
gives X∗(L0.5) = 0.55), and for various values of n which        Supplemental Material 14: Additional ﬁgures
equals to 6 − m. Our calculations show that we will need

a larger diﬀusivity D(L0.5) for m = 3, 4 in comparison
to m = 1, 2.",2022-02-15 12:49:06+00:00,Using transcription-based detectors to emulate the behaviour of sequential probability ratio-based concentration detectors,q-bio.MN,['q-bio.MN'],[arxiv.Result.Author('Chun Tung Chou')],"The sequential probability ratio test (SPRT) from statistics is known to have
the least mean decision time compared to other sequential or fixed-time tests
for given error rates. In some circumstances, cells need to make decisions
accurately and quickly, therefore it has been suggested the SPRT may be used to
understand the speed-accuracy tradeoff in cellular decision making. It is
generally thought that in order for cells to make use of the SPRT, it is
necessary to find biochemical circuits that can compute the log-likelihood
ratio needed for the SPRT. However, this paper takes a different approach. We
recognise that the high-level behaviour of the SPRT is defined by its positive
detection or hit rate, and the computation of the log-likelihood ratio is just
one way to realise this behaviour. In this paper, we will present a method
which uses a transcription-based detector to emulate the hit rate of the SPRT
without computing the exact log-likelihood ratio. We consider the problem of
using a promoter with multiple binding sites to accurately and quickly detect
whether the concentration of a transcription factor is above a target level. We
show that it is possible to find binding and unbinding rates of the
transcription factor to the promoter's binding sites so that the probability
that the amount of mRNA produced will be higher than a threshold is
approximately equal to the hit rate of the SPRT detector. Moreover, we show
that the average time that this transcription-based detector needs to make a
positive detection is less than or equal to that of the SPRT for a wide range
of concentrations. We remark that the last statement does not contradict Wald's
optimality result because our transcription-based detector uses an open-ended
test."
2660,"It displays clear interactions of each class, providing
a platform for further research in the future.","Conclusion and Perspectives

    The model created here is the ﬁrst attempt at mathematical modelling of the
ﬁve diﬀerent classes of direct Wnt target genes recently proposed in early em-
bryonic development [10].",6.,2022-03-01 22:44:13+00:00,A mathematical modelling portrait of Wnt signalling in early vertebrate embryogenesis,q-bio.MN,['q-bio.MN'],"[arxiv.Result.Author('Claudiu V. Giuraniuc'), arxiv.Result.Author('Shabana Zain'), arxiv.Result.Author('Shahmama Ghafoor'), arxiv.Result.Author('Stefan Hoppler')]","There are two phases of Wnt signalling in early vertebrate embryogenesis:
very early, maternal Wnt signalling promotes dorsal development, and slightly
later, zygotic Wnt signalling promotes ventral and lateral mesoderm induction.
However, recent molecular biology analysis has revealed more complexity among
the direct Wnt target genes, with at least five classes. Here we tested the
logic and the dynamics of a new Gene Regulatory Network model suggested by
these discoveries using mathematical modelling based on ordinary differential
equations (ODEs). Our mathematical modelling of this Gene Regulatory Network
reveals that a simplified model, with one ""super-gene"" for each class is
sufficient to a large extent to describe the regulatory behaviour observed
experimentally."
2661,"It displays clear interactions of each class, providing
a platform for further research in the future.","Conclusion and Perspectives

    The model created here is the ﬁrst attempt at mathematical modelling of the
ﬁve diﬀerent classes of direct Wnt target genes recently proposed in early em-
bryonic development [11].",6.,2022-03-01 22:44:13+00:00,A mathematical modelling portrait of Wnt signalling in early vertebrate embryogenesis,q-bio.MN,['q-bio.MN'],"[arxiv.Result.Author('Claudiu V. Giuraniuc'), arxiv.Result.Author('Shabana Zain'), arxiv.Result.Author('Shahmama Ghafoor'), arxiv.Result.Author('Stefan Hoppler')]","There are two phases of Wnt signalling in early vertebrate embryogenesis:
very early, maternal Wnt signalling promotes dorsal development, and slightly
later, zygotic Wnt signalling promotes ventral and lateral mesoderm induction.
However, recent molecular biology analysis has revealed more complexity among
the direct Wnt target genes, with at least five classes. Here in order to test
the logic and the dynamics of a new Gene Regulatory Network model suggested by
these discoveries we use mathematical modelling based on ordinary differential
equations (ODEs). Our mathematical modelling of this Gene Regulatory Network
reveals that a simplified model, with one ""super-gene"" for each class is
sufficient to a large extent to describe the regulatory behaviour previously
observed experimentally."
2681,"Since, a large
number of phyla were having very few networks so to ensure that the classiﬁcation task re-
tain suﬃcient statistical power a threshold of 30 networks per phyla was set and only phylum
having 30 or more networks were considered for further study (38).","Results and Discussion

From a total of 5, 090 PPI networks in STRING we could classify 5, 007 networks into 71
phyla by leveraging taxonomic information from NCBI taxonomy database (31).","This results in 16 phyla
including 4, 738 networks among which 162 are Archaeal, 4, 213 are Bacterial and 363 are Eu-
karyotic networks Table S1.",2022-03-02 10:10:20+00:00,Characterizing the organizational diversity of protein interaction networks across three domains of life,q-bio.MN,"['q-bio.MN', 'cs.AI', 'q-bio.BM']","[arxiv.Result.Author('Vikram Singh'), arxiv.Result.Author('Vikram Singh')]","Networks exist everywhere in nature from the physical, chemical, biological
or social worlds to the designed spheres. To explore, if there exists some
higher-order organization that can be exploited to distinguish different types
of networks, we study 4,738 protein interaction networks (PINs) belonging to 16
phyla encompassing all the three domains of life. Our method utilizes
positional information of a network's nodes by appropriately normalizing the
frequency of automorphic orbits appearing in the induced graphlets of sizes
2-5. There are some evolutionary constraints imposed on the network's topology
which shape its local architecture as well as its behavior. According to these
rules (features), each type of network occupies its respective position within
a common network space. A deep neural network was trained on differentially
expressed orbits resulting in a prediction accuracy of 85%. Our results
indicate that nature has, probably, allocated a specific band of design space
to various superfamilies of PINs."
2928,"For instance,     ing reliably, is an important topic for further study.","information transmission rate, and in particular whether
Other measures neither make it possible to address that      there is a trade-oﬀ between responding fast and respond-
question quantitatively nor qualitatively.","the widely used Instantaneous Mutual Information (IMI)
between the steady state input and output at a given            The second point is that the chemotaxis system has
time point [6, 14, 82–85] predicts an optimal input cor-     a lower information transmission rate than the push-pull
relation time of τL ≈ 2 s, about an order of magnitude       network, for all input timescales.",2022-03-07 15:20:21+00:00,Path Weight Sampling: Exact Monte Carlo Computation of the Mutual Information between Stochastic Trajectories,q-bio.MN,"['q-bio.MN', 'cond-mat.soft', 'cs.IT', 'math.IT', 'physics.bio-ph']","[arxiv.Result.Author('Manuel Reinhardt'), arxiv.Result.Author('Gašper Tkačik'), arxiv.Result.Author('Pieter Rein ten Wolde')]","Most natural and engineered information-processing systems transmit
information via signals that vary in time. Computing the information
transmission rate or the information encoded in the temporal characteristics of
these signals, requires the mutual information between the input and output
signals as a function of time, i.e. between the input and output trajectories.
Yet, this is notoriously difficult because of the high-dimensional nature of
the trajectory space, and all existing techniques require approximations. We
present an exact Monte Carlo technique called Path Weight Sampling (PWS) that,
for the first time, makes it possible to compute the mutual information between
input and output trajectories for any stochastic system that is described by a
master equation. The principal idea is to use the master equation to evaluate
the exact conditional probability of an individual output trajectory for a
given input trajectory, and average this via Monte Carlo sampling in trajectory
space to obtain the mutual information. We present three variants of PWS, which
all generate the trajectories using the standard stochastic simulation
algorithm. While Direct PWS is a brute-force method, Rosenbluth-Rosenbluth PWS
exploits the analogy between signal trajectory sampling and polymer sampling,
and Thermodynamic Integration PWS is based on a reversible work calculation in
trajectory space. PWS also makes it possible to compute the mutual information
between input and output trajectories for systems with hidden internal states
as well as systems with feedback from output to input. Applying PWS to the
bacterial chemotaxis system, consisting of 173 coupled chemical reactions,
demonstrates not only that the scheme is highly efficient, but also that the
appropriate measure for quantifying information transmission via time-varying
signals is indeed the information transmission rate."
4286,"We hope that these initial results will
stimulate further research in this direction.","Or they can provide a measure of redundancy,
in terms of the amount of overlap between diﬀerent irrRAFs.","References

Ars`ene, S., Ameta, S., Lehman, N., Griﬃths, A. D., and Nghe, P. (2018).",2022-04-03 12:04:35+00:00,Emergence of Autocatalytic Sets in a Simple Model of Technological Evolution,q-bio.MN,['q-bio.MN'],"[arxiv.Result.Author('Wim Hordijk'), arxiv.Result.Author('Stuart Kauffman')]","Two alternative views of an economy are combined and studied. The first view
is that of technological evolution as a process of combinatorial innovation.
Recently a simple mathematical model (TAP) was introduced to study such a
combinatorial process. The second view is that of a network of production
functions forming an autocatalytic set. Autocatalytic (RAF) sets have been
studied extensively in the context of chemical reaction networks.
  Here, we combine the two models (TAP and RAF) and show that they are
compatible. In particular, it is shown that production function networks
resulting from the combinatorial TAP model have a high probability of
containing autocatalytic (RAF) sets. We also study the size distribution and
robustness of such ""economic autocatalytic sets"", and compare our results with
those from the chemical context. These initial results strongly support earlier
claims that the economy can indeed be seen as an autocatalytic set."
4287,"We hope that these initial results will stimulate further research in
this direction.","Or they can provide a
measure of redundancy, in terms of the amount of overlap between diﬀerent
irrRAFs.","TAP-RAF 11

Acknowledgments.",2022-04-03 12:04:35+00:00,Emergence of Autocatalytic Sets in a Simple Model of Technological Evolution,q-bio.MN,['q-bio.MN'],"[arxiv.Result.Author('Wim Hordijk'), arxiv.Result.Author('Stuart Kauffman')]","Two alternative views of an economy are combined and studied. The first view
is that of technological evolution as a process of combinatorial innovation.
Recently a simple mathematical model (TAP) was introduced to study such a
combinatorial process. The second view is that of a network of production
functions forming an autocatalytic set. Autocatalytic (RAF) sets have been
studied extensively in the context of chemical reaction networks.
  Here, we combine the two models (TAP and RAF) and show that they are
compatible. In particular, it is shown that production function networks
resulting from the combinatorial TAP model have a high probability of
containing autocatalytic (RAF) sets. We also study the size distribution and
robustness of such ""economic autocatalytic sets"", and compare our results with
those from the chemical context. These initial results strongly support earlier
claims that the economy can indeed be seen as an autocatalytic set."
