,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
163,"Balter A, Merks RMH, Poplawski NJ, Swat M, Glazier JA (2007) The Glazier-Graner-

Hogeweg model: extensions, future directions, and opportunities for further study.","Biology

203, 367–382 (2000)

129.",In: A.R.A.,2022-01-05 05:38:05+00:00,A Review of Mathematical and Computational Methods in Cancer Dynamics,q-bio.OT,"['q-bio.OT', 'nlin.CD']","[arxiv.Result.Author('Abicumaran Uthamacumaran'), arxiv.Result.Author('Hector Zenil')]","Cancers are complex adaptive diseases regulated by the nonlinear feedback
systems between genetic instabilities, environmental signals, cellular protein
flows, and gene regulatory networks. Understanding the cybernetics of cancer
requires the integration of information dynamics across multidimensional
spatiotemporal scales, including genetic, transcriptional, metabolic,
proteomic, epigenetic, and multi-cellular networks. However, the time-series
analysis of these complex networks remains vastly absent in cancer research.
With longitudinal screening and time-series analysis of cellular dynamics,
universally observed causal patterns pertaining to dynamical systems, may
self-organize in the signaling or gene expression state-space of cancer
triggering processes. A class of these patterns, strange attractors, may be
mathematical biomarkers of cancer progression. The emergence of intracellular
chaos and chaotic cell population dynamics remains a new paradigm in systems
oncology. As such, chaotic and complex dynamics are discussed as mathematical
hallmarks of cancer cell fate dynamics herein. Given the assumption that
time-resolved single-cell datasets are made available, a survey of
interdisciplinary tools and algorithms from complexity theory, are hereby
reviewed to investigate critical phenomena and chaotic dynamics in cancer
ecosystems. To conclude, the perspective cultivates an intuition for
computational systems oncology in terms of nonlinear dynamics, information
theory, inverse problems and complexity. We highlight the limitations we see in
the area of statistical machine learning but the opportunity at combining it
with the symbolic computational power offered by the mathematical tools
explored."
164,"Balter A, Merks RMH, Poplawski NJ, Swat M, Glazier JA (2007) The Glazier-Graner-

Hogeweg model: extensions, future directions, and opportunities for further study.","Biology

203, 367–382 (2000)

129.",In: A.R.A.,2022-01-05 05:38:05+00:00,A Review of Mathematical and Computational Methods in Cancer Dynamics,q-bio.OT,"['q-bio.OT', 'nlin.CD']","[arxiv.Result.Author('Abicumaran Uthamacumaran'), arxiv.Result.Author('Hector Zenil')]","Cancers are complex adaptive diseases regulated by the nonlinear feedback
systems between genetic instabilities, environmental signals, cellular protein
flows, and gene regulatory networks. Understanding the cybernetics of cancer
requires the integration of information dynamics across multidimensional
spatiotemporal scales, including genetic, transcriptional, metabolic,
proteomic, epigenetic, and multi-cellular networks. However, the time-series
analysis of these complex networks remains vastly absent in cancer research.
With longitudinal screening and time-series analysis of cellular dynamics,
universally observed causal patterns pertaining to dynamical systems, may
self-organize in the signaling or gene expression state-space of cancer
triggering processes. A class of these patterns, strange attractors, may be
mathematical biomarkers of cancer progression. The emergence of intracellular
chaos and chaotic cell population dynamics remains a new paradigm in systems
oncology. As such, chaotic and complex dynamics are discussed as mathematical
hallmarks of cancer cell fate dynamics herein. Given the assumption that
time-resolved single-cell datasets are made available, a survey of
interdisciplinary tools and algorithms from complexity theory, are hereby
reviewed to investigate critical phenomena and chaotic dynamics in cancer
ecosystems. To conclude, the perspective cultivates an intuition for
computational systems oncology in terms of nonlinear dynamics, information
theory, inverse problems and complexity. We highlight the limitations we see in
the area of statistical machine learning but the opportunity at combining it
with the symbolic computational power offered by the mathematical tools
explored."
744,"However,
this protein is loosely relevant and is very broad and common in bodily functions, so a
further study may not be fruitful at all.","Especially subunit gamma-2 takes part in ADORA2B-mediated
anti-inflammatory cytokine production, while ADORA2B was previously found to
contribute to Complete Freund’s adjuvant induced inflammatory pain [11].","Overall, we encourage the first two mentioned proteins to take part in future
research, as any newly uncovered property will expose a deeper understanding in the
dynamics of neuroinflammation.",2022-01-18 18:14:02+00:00,Meta-analysis for Discovering Which Genes are Differentially Expressed in Neuroinflammation,q-bio.OT,['q-bio.OT'],"[arxiv.Result.Author('Berk C. Ugurdag'), arxiv.Result.Author('Serena Aktürk'), arxiv.Result.Author('Michelle Adams')]","Neuroinflammation is a significant aspect of many neurological diseases of
Homo sapiens, and the genes that are differentially expressed in this process
should be well understood to gather the nature of such diseases. We have
conducted a meta-analysis (based on a combined adjusted P value and logFC
scheme) of 6 multi-species (Homo sapiens, Mus musculus) datasets (available on
GEO, short for Gene Expression Omnibus) obtained through microarray technology.
Our analysis shows that the genes coding pleckstrin homology domain and
galectin-9 proteins take part in neuroinflammation in microglia."
827,"While these
generalized protein roles and their mutations may help hypothesize Omicron as less pathogenic
than others, only further research into their gene-specific mutations of the Omicron variant may
act as better pointers for characteristic identification.","These include the Spike (S) protein which is responsible for
facilitating the membrane fusion and viral entry (Tortorici and Veesler, 2019); the Envelope (E)
protein which is contributory to virus morphogenesis and pathogenesis (Hogue and Machamer,
2014); the Membrane (M) protein which aids membrane fusion through its initial attachment to
the S protein and surface receptors of the host (Lai and Cavanagh, 1997; Fleming et al., 1989); the
Nucleocapsid (N) protein moderates replication and viral RNA synthesis, transcription and
metabolism associated with infected cells and additionally provides stability to the RNA inside the
cell (Cong et al., 2019; Huang et al., 2004; Nelson et al., 2000; Stohlman et al., 1988).","With a maximum of mutations in the spike (S) protein, the mutant RBD of that very protein
was modeled and validated for further analysis.",2022-01-20 13:48:12+00:00,"Insights from a computational analysis of the SARS-CoV-2 Omicron variant: Host-pathogen interaction, pathogenicity and possible therapeutics",q-bio.OT,['q-bio.OT'],"[arxiv.Result.Author('Md Sorwer Alam Parvez'), arxiv.Result.Author('Manash Kumar Saha'), arxiv.Result.Author('Md. Ibrahim'), arxiv.Result.Author('Yusha Araf'), arxiv.Result.Author('Md. Taufiqul Islam'), arxiv.Result.Author('Gen Ohtsuki'), arxiv.Result.Author('Mohammad Jakir Hosen')]","Prominently accountable for the upsurge of COVID-19 cases as the world
attempts to recover from the previous two waves, Omicron has further threatened
the conventional therapeutic approaches. Omicron is the fifth variant of
concern (VOC), which comprises more than 10 mutations in the receptor-binding
domain (RBD) of the spike protein. However, the lack of extensive research
regarding Omicron has raised the need to establish correlations to understand
this variant by structural comparisons. Here, we evaluate, correlate, and
compare its genomic sequences through an immunoinformatic approach with wild
and mutant RBD forms of the spike protein to understand its epidemiological
characteristics and responses towards existing drugs for better patient
management. Our computational analyses provided insights into infectious and
pathogenic trails of the Omicron variant. In addition, while the analysis
represented South Africa's Omicron variant being similar to the
highly-infectious B.1.620 variant, mutations within the prominent proteins are
hypothesized to alter its pathogenicity. Moreover, docking evaluations revealed
significant differences in binding affinity with human receptors, ACE2 and
NRP1. Owing to its characteristics of rendering existing treatments
ineffective, we evaluated the drug efficacy against their target protein
encoded in the Omicron through molecular docking approach. Most of the tested
drugs were proven to be effective. Nirmatrelvir (Paxlovid), MPro 13b, and
Lopinavir displayed increased effectiveness and efficacy, while Ivermectin
showed the best result against Omicron."
828,"While these hypotheses hold great value and may provide
significant insights into the therapeutic strategies, further research is crucial to authenticate these
statements.","However, Ivermectin showed the highest binding affinity and may be the most effective drug
candidate against the Omicron variant.","Conclusion
The world is now afraid of the highly infectious omicron variant, and research is required to know
about this variant.",2022-01-20 13:48:12+00:00,"Insights from a computational analysis of the SARS-CoV-2 Omicron variant: Host-pathogen interaction, pathogenicity and possible therapeutics",q-bio.OT,['q-bio.OT'],"[arxiv.Result.Author('Md Sorwer Alam Parvez'), arxiv.Result.Author('Manash Kumar Saha'), arxiv.Result.Author('Md. Ibrahim'), arxiv.Result.Author('Yusha Araf'), arxiv.Result.Author('Md. Taufiqul Islam'), arxiv.Result.Author('Gen Ohtsuki'), arxiv.Result.Author('Mohammad Jakir Hosen')]","Prominently accountable for the upsurge of COVID-19 cases as the world
attempts to recover from the previous two waves, Omicron has further threatened
the conventional therapeutic approaches. Omicron is the fifth variant of
concern (VOC), which comprises more than 10 mutations in the receptor-binding
domain (RBD) of the spike protein. However, the lack of extensive research
regarding Omicron has raised the need to establish correlations to understand
this variant by structural comparisons. Here, we evaluate, correlate, and
compare its genomic sequences through an immunoinformatic approach with wild
and mutant RBD forms of the spike protein to understand its epidemiological
characteristics and responses towards existing drugs for better patient
management. Our computational analyses provided insights into infectious and
pathogenic trails of the Omicron variant. In addition, while the analysis
represented South Africa's Omicron variant being similar to the
highly-infectious B.1.620 variant, mutations within the prominent proteins are
hypothesized to alter its pathogenicity. Moreover, docking evaluations revealed
significant differences in binding affinity with human receptors, ACE2 and
NRP1. Owing to its characteristics of rendering existing treatments
ineffective, we evaluated the drug efficacy against their target protein
encoded in the Omicron through molecular docking approach. Most of the tested
drugs were proven to be effective. Nirmatrelvir (Paxlovid), MPro 13b, and
Lopinavir displayed increased effectiveness and efficacy, while Ivermectin
showed the best result against Omicron."
2314,"Finally, the connection with kernel learning theory enables a theoretical point of view into our proposed neural
architecture, which can be studied in further research.","We further illustrate the
model capacity of η−Net for tumor burden modeling, reﬂected by a high degree of freedom thanks to the nature of quantum
mechanics.","We have introduced a methodology-driven technique to quantify a
speciﬁc biological problem in oncology from a broader perspective.",2022-02-21 08:46:58+00:00,Translational Quantum Machine Intelligence for Modeling Tumor Dynamics in Oncology,q-bio.OT,"['q-bio.OT', 'quant-ph']","[arxiv.Result.Author('Nam Nguyen'), arxiv.Result.Author('Kwang-Cheng Chen')]","Quantifying the dynamics of tumor burden reveals useful information about
cancer evolution concerning treatment effects and drug resistance, which play a
crucial role in advancing model-informed drug developments (MIDD) towards
personalized medicine and precision oncology. The emergence of Quantum Machine
Intelligence offers unparalleled insights into tumor dynamics via a quantum
mechanics perspective. This paper introduces a novel hybrid quantum-classical
neural architecture named $\eta-$Net that enables quantifying quantum dynamics
of tumor burden concerning treatment effects. We evaluate our proposed neural
solution on two major use cases, including cohort-specific and patient-specific
modeling. In silico numerical results show a high capacity and expressivity of
$\eta-$Net to the quantified biological problem. Moreover, the close connection
to representation learning - the foundation for successes of modern AI, enables
efficient transferability of empirical knowledge from relevant cohorts to
targeted patients. Finally, we leverage Bayesian optimization to quantify the
epistemic uncertainty of model predictions, paving the way for $\eta-$Net
towards reliable AI in decision-making for clinical usages."
2315,"1110–1122, 2021.
further research.","11, pp.","[20] H. Enderling, “Mathematical oncology: A new frontier in cancer biology
REFERENCES                                                                              and clinical decision making.",2022-02-21 08:46:58+00:00,Translational Quantum Machine Intelligence for Modeling Tumor Dynamics in Oncology,q-bio.OT,"['q-bio.OT', 'quant-ph']","[arxiv.Result.Author('Nam Nguyen'), arxiv.Result.Author('Kwang-Cheng Chen')]","Quantifying the dynamics of tumor burden reveals useful information about
cancer evolution concerning treatment effects and drug resistance, which play a
crucial role in advancing model-informed drug developments (MIDD) towards
personalized medicine and precision oncology. The emergence of Quantum Machine
Intelligence offers unparalleled insights into tumor dynamics via a quantum
mechanics perspective. This paper introduces a novel hybrid quantum-classical
neural architecture named $\eta-$Net that enables quantifying quantum dynamics
of tumor burden concerning treatment effects. We evaluate our proposed neural
solution on two major use cases, including cohort-specific and patient-specific
modeling. In silico numerical results show a high capacity and expressivity of
$\eta-$Net to the quantified biological problem. Moreover, the close connection
to representation learning - the foundation for successes of modern AI, enables
efficient transferability of empirical knowledge from relevant cohorts to
targeted patients. Finally, we leverage Bayesian optimization to quantify the
epistemic uncertainty of model predictions, paving the way for $\eta-$Net
towards reliable AI in decision-making for clinical usages."
5196,"23,24,62,78,107,108 These measures
include collecting data on socioeconomic status and genetics to supplement analysis, precisely
defining employed population categories, and establishing a specific health or scientific interest

                                                                                                                             15
furthered by the use of categorization, but some define these measures with sweeping statements
like “tak[ing] great care.” 107 Others justify the use of population categories only for research with
certain purposes, such as to survey incidence of disease, to examine the interface between social
and biological variation, or to lay the ground for further research into more specific risk factors.","Because in effect, to argue that Blacks should somehow desist from categorizing ourselves as we see fit;
in our intellectual exchanges is in and of itself, in the final analysis, a pernicious form of racism and
self-hatred if that is the source of calls for us to ‘change.’’” 104

         There are some other recommendations that justify the use of population categories in
research, but only when researchers take additional measures to minimize confusion, unsupported
conclusions, and arbitrary employment of population categories .","39,52,95,106,109 The last four recommendations then urge investigators and authors to be sensitive with
the terminology used to describe populations in such research, in order to avoid confusion and the
insinuation of a hierarchy between groups.",2022-04-21 14:01:00+00:00,"A systematic review of guidelines for the use of race, ethnicity, and ancestry reveals widespread consensus but also points of ongoing disagreement",q-bio.OT,['q-bio.OT'],"[arxiv.Result.Author('Madelyn Mauro'), arxiv.Result.Author('Danielle S. Allen'), arxiv.Result.Author('Bege Dauda'), arxiv.Result.Author('Santiago J. Molina'), arxiv.Result.Author('Benjamin M. Neale'), arxiv.Result.Author('Anna C. F. Lewis')]","The use of population descriptors like race, ethnicity, and ancestry in
science, medicine and public health has a long, complicated, and at times dark
history, particularly for genetics, given the field's perceived importance for
understanding between-group differences. The historical and potential harms
that come with irresponsible use of these categories suggests a clear need for
definitive guidance about when and how they can be used appropriately. However,
while many prior authors have provided such guidance, no established consensus
exists, and the extant literature has not been examined for implied consensus
and sources of disagreement. Here we present the results of a systematic review
of published normative recommendations regarding the use of population
categories, particularly in genetics research. Following PRISMA guidelines, we
extracted recommendations from n=121 articles matching inclusion criteria.
Articles were published consistently throughout the time period examined and in
a broad range of journals, demonstrating an ongoing and interdisciplinary
perceived need for guidance. Examined recommendations fall under one of eight
themes identified during analysis. Seven are characterized by broad agreement
across articles; one, Appropriate definitions of population categories and
contexts for use, revealed substantial fundamental disagreement among articles.
While many articles focus on the inappropriate use of race, none fundamentally
problematize ancestry. This work can be a resource to researchers looking for
normative guidance on the use of population descriptors, and can orient authors
of future guidelines to this complex field, contributing to the development of
more effective future guidelines for genetics research."
5197,"The need for further research and guidelines
         Fifty-seven (17%) extracted recommendations fall under this theme.","25,98,101,102,108 Only
one article fundamentally problematizes the use of ancestry in medicine, but only in the context of
developing individualized treatments: the authors state that race and ancestry are both “imperfect
measures that will both slow researchers' progress toward individualized genetic knowledge and
provide clinicians with incomplete, potentially misleading information.” 116

8.","Most of these

                                                                                                                             16
encourage further research into several different aspects of and important considerations regarding
the use of race, ethnicity, and ancestry in health and sciences research.",2022-04-21 14:01:00+00:00,"A systematic review of guidelines for the use of race, ethnicity, and ancestry reveals widespread consensus but also points of ongoing disagreement",q-bio.OT,['q-bio.OT'],"[arxiv.Result.Author('Madelyn Mauro'), arxiv.Result.Author('Danielle S. Allen'), arxiv.Result.Author('Bege Dauda'), arxiv.Result.Author('Santiago J. Molina'), arxiv.Result.Author('Benjamin M. Neale'), arxiv.Result.Author('Anna C. F. Lewis')]","The use of population descriptors like race, ethnicity, and ancestry in
science, medicine and public health has a long, complicated, and at times dark
history, particularly for genetics, given the field's perceived importance for
understanding between-group differences. The historical and potential harms
that come with irresponsible use of these categories suggests a clear need for
definitive guidance about when and how they can be used appropriately. However,
while many prior authors have provided such guidance, no established consensus
exists, and the extant literature has not been examined for implied consensus
and sources of disagreement. Here we present the results of a systematic review
of published normative recommendations regarding the use of population
categories, particularly in genetics research. Following PRISMA guidelines, we
extracted recommendations from n=121 articles matching inclusion criteria.
Articles were published consistently throughout the time period examined and in
a broad range of journals, demonstrating an ongoing and interdisciplinary
perceived need for guidance. Examined recommendations fall under one of eight
themes identified during analysis. Seven are characterized by broad agreement
across articles; one, Appropriate definitions of population categories and
contexts for use, revealed substantial fundamental disagreement among articles.
While many articles focus on the inappropriate use of race, none fundamentally
problematize ancestry. This work can be a resource to researchers looking for
normative guidance on the use of population descriptors, and can orient authors
of future guidelines to this complex field, contributing to the development of
more effective future guidelines for genetics research."
5198,"Most of these

                                                                                                                             16
encourage further research into several different aspects of and important considerations regarding
the use of race, ethnicity, and ancestry in health and sciences research.","The need for further research and guidelines
         Fifty-seven (17%) extracted recommendations fall under this theme.","This includes research to
elucidate where population categories lie along the social-biological axis 28,35,41,55,81,117,118 and further
investigation of existing disparities between populations to identify their causes and to address
them .",2022-04-21 14:01:00+00:00,"A systematic review of guidelines for the use of race, ethnicity, and ancestry reveals widespread consensus but also points of ongoing disagreement",q-bio.OT,['q-bio.OT'],"[arxiv.Result.Author('Madelyn Mauro'), arxiv.Result.Author('Danielle S. Allen'), arxiv.Result.Author('Bege Dauda'), arxiv.Result.Author('Santiago J. Molina'), arxiv.Result.Author('Benjamin M. Neale'), arxiv.Result.Author('Anna C. F. Lewis')]","The use of population descriptors like race, ethnicity, and ancestry in
science, medicine and public health has a long, complicated, and at times dark
history, particularly for genetics, given the field's perceived importance for
understanding between-group differences. The historical and potential harms
that come with irresponsible use of these categories suggests a clear need for
definitive guidance about when and how they can be used appropriately. However,
while many prior authors have provided such guidance, no established consensus
exists, and the extant literature has not been examined for implied consensus
and sources of disagreement. Here we present the results of a systematic review
of published normative recommendations regarding the use of population
categories, particularly in genetics research. Following PRISMA guidelines, we
extracted recommendations from n=121 articles matching inclusion criteria.
Articles were published consistently throughout the time period examined and in
a broad range of journals, demonstrating an ongoing and interdisciplinary
perceived need for guidance. Examined recommendations fall under one of eight
themes identified during analysis. Seven are characterized by broad agreement
across articles; one, Appropriate definitions of population categories and
contexts for use, revealed substantial fundamental disagreement among articles.
While many articles focus on the inappropriate use of race, none fundamentally
problematize ancestry. This work can be a resource to researchers looking for
normative guidance on the use of population descriptors, and can orient authors
of future guidelines to this complex field, contributing to the development of
more effective future guidelines for genetics research."
