,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
563,This mechanism of action can be used for further research on potential drug targets.,"The stem-loop microRNA we studied, which is the precursor of mature microRNA, can be regarded as a reference
of mature microRNA helping to better understand the potential molecules of prognostic and diagnostic factors in
the progression of LUAD.","The quantitative analysis of microRNA expression data is indeed signiﬁcant for cancer development, validating and
demonstrating the power of our framework of dynamical biomarkers research.",2022-01-14 11:59:34+00:00,Systematic analysis reveals key microRNAs as diagnostic and prognostic factors in progressive stages of lung cancer,q-bio.QM,['q-bio.QM'],"[arxiv.Result.Author('Dietrich Kong'), arxiv.Result.Author('Ke Wang'), arxiv.Result.Author('Qiu-Ning Zhang'), arxiv.Result.Author('Zhi-Tong Bing')]","MicroRNAs play an indispensable role in numerous biological processes ranging
from organismic development to tumor progression.In oncology,these microRNAs
constitute a fundamental regulation role in the pathology of cancer that
provides the basis for probing into the influences on clinical features through
transcriptome data. Previous work focused on machine learning (ML) for
searching biomarkers in different cancer databases, but the functions of these
biomarkers are fully not clear. Taking lung cancer as a prototype case of
study. Through integrating clinical information into the transcripts expression
data, we systematically analyzed the effect of microRNA on diagnostic and
prognostic factors at deteriorative lung adenocarcinoma (LUAD). After dimension
reduction, unsupervised hierarchical clustering was used to find the diagnostic
factors which represent the unique expression patterns of microRNA at various
patient's stages. In addition, we developed a classification framework, Light
Gradient Boosting Machine (LightGBM) and SHAPley Additive explanation (SHAP)
algorithm, to screen out the prognostic factors. Enrichment analyses show that
the diagnostic and prognostic factors are not only enriched in cancer-related
athways, but also involved in many vital cellular signaling transduction and
immune responses. These key microRNAs also impact the survival risk of LUAD
patients at all (or a specific) stage(s) and some of them target some important
Transcription Factors (TF).The key finding is that five microRNAs
(hsa-mir-196b, hsa-mir-31, hsa-mir-891a, hsa-mir-34c, and hsa-mir-653) can then
serve as not only potential diagnostic factors but also prognostic tools in the
monitoring of lung cancer."
1047,"First,       These data may point to the need for further research on RNA
the compost and the supernatant of the Caldibacillus culture        virus control in the gut.",assume the effect of AIB on pathogenic microorganisms.,"The involvement of bacteriophages and
contained trace amounts of AIB.",2022-01-26 12:19:50+00:00,"A novel sustainable role of compost as a universal protective substitute for fish, chicken, pig, and cattle, and its estimation by structural equation modeling",q-bio.QM,['q-bio.QM'],"[arxiv.Result.Author('Hirokuni Miyamoto'), arxiv.Result.Author('Wataru Suda'), arxiv.Result.Author('Hiroaki Kodama'), arxiv.Result.Author('Hideyuki Takahashi'), arxiv.Result.Author('Yumiko Nakanishi'), arxiv.Result.Author('Shigeharu Moriya'), arxiv.Result.Author('Kana Adachi'), arxiv.Result.Author('Nao Kiriyama'), arxiv.Result.Author('Masaya Wada'), arxiv.Result.Author('Daisuke Sudo'), arxiv.Result.Author('Shunsuke Ito'), arxiv.Result.Author('Shunsuke Ito'), arxiv.Result.Author('Minami Shibata'), arxiv.Result.Author('Shinji Wada'), arxiv.Result.Author('Takako Murano'), arxiv.Result.Author('Hitoshi Taguchi'), arxiv.Result.Author('Chie Shindo'), arxiv.Result.Author('Arisa Tsuboi'), arxiv.Result.Author('Naoko Tsuji'), arxiv.Result.Author('Makiko Matsuura'), arxiv.Result.Author('Chitose Ishii'), arxiv.Result.Author('Teruno Nakaguma'), arxiv.Result.Author('Toshiyuki Ito'), arxiv.Result.Author('Toru Okada'), arxiv.Result.Author('Teruo Matsushita'), arxiv.Result.Author('Takashi Satoh'), arxiv.Result.Author('Tamotsu Kato'), arxiv.Result.Author('Atsushi Kurotani'), arxiv.Result.Author('Hideaki Shima'), arxiv.Result.Author('Yudai Inabu'), arxiv.Result.Author('Yukihiro Tashiro'), arxiv.Result.Author('Kenji Sakai'), arxiv.Result.Author('Kenichi Mori'), arxiv.Result.Author('Takashi Satoh'), arxiv.Result.Author('Kenta Suzuki'), arxiv.Result.Author('Takeshi Miura'), arxiv.Result.Author('Hidetoshi Morita'), arxiv.Result.Author('Shinji Fukuda'), arxiv.Result.Author('Jun Kikuchi'), arxiv.Result.Author('Hisashi Miyamoto'), arxiv.Result.Author('Masahira Hattori'), arxiv.Result.Author('Naoki Yamamoto'), arxiv.Result.Author('Hiroshi Ohno')]","Natural decomposition of organic matter is essential in food systems, and
compost is used worldwide as an organic fermented fertilizer. However, as a
feature of the ecosystem, its effects on the animals are poorly understood.
Here we show that oral administration of compost and/or its derived
thermophilic Bacillaceae, i.e., Caldibacillus hisashii and Weizmannia
coagulans, can modulate the prophylactic activities of various industrial
animals. The fecal omics analyses in the modulatory process showed an improving
trend dependent upon animal species, environmental conditions, and
administration. However, structural equation modeling (SEM) estimated the
grouping candidates of bacteria and metabolites as standard key components
beyond the animal species. In particular, the SEM model implied a strong
relationship among partly digesting fecal amino acids, increasing genus
Lactobacillus as inhabitant beneficial bacteria and 2-aminoisobutyric acid
involved in lantibiotics. These results highlight the potential role of compost
for sustainable protective control in agriculture, fishery, and livestock
industries."
1194,"To further study the role of diﬀerent noise sources    answer states increases to ∼ 100%, and the probability
on our toy model circuit, we implement selective noise         of all other states becomes almost zero (Figure 4-B).","The ibmq toronto and the           Nevertheless, using the maximum number of iterations,
ibmq montreal have QV values of 32 and 128, respec-            i.e., R = 4 (Equation 3), the probability of ﬁnding the
tively.",sources of the real quantum devices in simulators.,2022-01-29 00:06:37+00:00,Gate-based Quantum Computing for Protein Design,q-bio.QM,['q-bio.QM'],"[arxiv.Result.Author('Mohammad Hassan Khatami'), arxiv.Result.Author('Udson C. Mendes'), arxiv.Result.Author('Nathan Wiebe'), arxiv.Result.Author('Philip M. Kim')]","Protein design is a technique to engineer proteins by modifying their
sequence to obtain novel functionalities. In this method, amino acids in the
sequence are permutated to find the low energy states satisfying the
configuration. However, exploring all possible combinations of amino acids is
generally impossible to achieve on conventional computers due to the
exponential growth of possibilities with the number of designable sites. Thus,
sampling methods are currently used as a conventional approach to address the
protein design problems. Recently, quantum computation methods have shown the
potential to solve similar types of problems. In the present work, we use the
general idea of Grover's algorithm, a pure quantum computation method, to
design circuits at the gate-based level and address the protein design problem.
In our quantum algorithms, we use custom pair-wise energy tables consisting of
eight different amino acids. Also, the distance reciprocals between designable
sites are included in calculating energies in the circuits. Due to the noisy
state of current quantum computers, we mainly use quantum computer simulators
for this study. However, a very simple version of our circuits is implemented
on real quantum devices to examine their capabilities to run these algorithms.
Our results show that using $\mathcal{O}(\sqrt N)$ iterations, the circuits
find the correct results among all $N$ possibilities, providing the expected
quadratic speed up of Grover's algorithm over classical methods."
1934,"Mostly powered by artiﬁcial intelligence(AI) and
                                           requiring less computational power as well as offering the ability  ever-growing omics databases, new computational methods
                                           to generate novel chemical structures for further research.","FDA didn’t approve 42% of drugs for rare diseases
                                           As these methods are known to demand huge amounts of                and 58% for substantial improvements for serious diseases)
                                           computational power to get accurate results, prediction models      some impressive technological leaps were seen during the past
                                           based on machine learning techniques became a popular solution      few years.","Deep    for early phase drug discovery that are developed will be
                                           learning is to stay in drug discovery but has a long way to         presented in this article.",2022-02-14 11:41:39+00:00,Novel prediction methods for virtual drug screening,q-bio.QM,['q-bio.QM'],[arxiv.Result.Author('Josip Mesarić')],"Drug development is an expensive and time-consuming process where thousands
of chemical compounds are being tested in order to find those possessing
drug-like properties while being safe and effective. One of key parts of the
early drug discovery process has become virtual drug screening -- a method used
to narrow down search for potential drugs by running computer simulations of
drug-target interactions. As these methods are known to demand huge amounts of
computational power to get accurate results, prediction models based on machine
learning techniques became a popular solution requiring less computational
power as well as offering the ability to generate novel chemical structures for
further research. Deep learning is to stay in drug discovery but has a long way
to go. Only in the past few years with increases in computing power have
researchers really started to embrace the potential of neural networks in
various stages of the drug discovery process. While prediction methods promise
great perspective in the future development of drug discovery they open new
questions and challenges that still have to be solved."
1935,"Goal of the drug discovery process can be ﬁnding novel drugs
molecule that is going to be further researched and possibly        (de-novo) or repurposing existing drugs for treatments other than currently
approved as a drug.",Lead compounds are just ﬁrst iterations of a             properties.,To be chosen for further development            approved by FDA.,2022-02-14 11:41:39+00:00,Novel prediction methods for virtual drug screening,q-bio.QM,['q-bio.QM'],[arxiv.Result.Author('Josip Mesarić')],"Drug development is an expensive and time-consuming process where thousands
of chemical compounds are being tested in order to find those possessing
drug-like properties while being safe and effective. One of key parts of the
early drug discovery process has become virtual drug screening -- a method used
to narrow down search for potential drugs by running computer simulations of
drug-target interactions. As these methods are known to demand huge amounts of
computational power to get accurate results, prediction models based on machine
learning techniques became a popular solution requiring less computational
power as well as offering the ability to generate novel chemical structures for
further research. Deep learning is to stay in drug discovery but has a long way
to go. Only in the past few years with increases in computing power have
researchers really started to embrace the potential of neural networks in
various stages of the drug discovery process. While prediction methods promise
great perspective in the future development of drug discovery they open new
questions and challenges that still have to be solved."
2421,"This hyperacute pathological mechanism
and its relationship with possible neuronal changes and neurovascular dysregulation require
further research.","Previous human and animal studies have shown that this expanded area has reduced
perfusion in the acute phase and its size correlates with the extent of necrotic tissue
determined at later follow-up observations (52,53).",Injury also alters blood flow velocities in the brain.,2022-02-24 18:12:26+00:00,"Hyperacute pathophysiology of traumatic and vascular brain injury captured by ultrasound, photoacoustic, and magnetic resonance imaging",q-bio.QM,"['q-bio.QM', 'q-bio.TO']","[arxiv.Result.Author('Ali Kamali'), arxiv.Result.Author('Laurel Dieckhaus'), arxiv.Result.Author('Emily C. Peters'), arxiv.Result.Author('Collin A. Preszler'), arxiv.Result.Author('Russel S. Witte'), arxiv.Result.Author('Paulo W. Pires'), arxiv.Result.Author('Elizabeth B. Hutchinson'), arxiv.Result.Author('Kaveh Laksari')]","Cerebrovascular dynamics and pathomechanisms that evolve in the minutes and
hours following traumatic vascular injury in the brain remain largely unknown.
We investigated the pathophysiology evolution within the first three hours
after closed-head traumatic brain injury (TBI) and subarachnoid hemorrhage
(SAH), two common traumatic vascular injuries, in mice. We took a multi-modal
imaging approach using photoacoustic, color Doppler, and magnetic resonance
imaging (MRI) in mice. Brain oxygenation (%sO2) and velocity-weighted volume of
blood flow (VVF) values significantly decreased from baseline to fifteen
minutes after both TBI and SAH. TBI resulted in 19.2% and 41.0% ipsilateral
%sO2 and VVF reductions 15 minutes post injury while SAH resulted in 43.9% %sO2
and 85.0% VVF reduction ipsilaterally (p<0.001). We found partial recovery of
%sO2 from 15 minutes to 3-hours after injury for TBI but not SAH. Hemorrhage,
edema, reduced perfusion, and altered diffusivity were evident from MRI scans
acquired 90-150 minutes after injury in both models although the spatial
distribution was mostly focal for TBI and diffuse for SAH. The results reveal
that the cerebral %sO2 deficits immediately following injuries are reversible
for TBI and irreversible for SAH. Our findings can inform future studies on
mitigating these early responses to improve long-term recovery."
2422,"This hyperacute pathological mechanism
and its relationship with possible neuronal changes and neurovascular dysregulation require
further research.","Previous human and animal studies have shown that this expanded area has reduced
perfusion in the acute phase and its size correlates with the extent of necrotic tissue
determined at later follow-up observations (52,53).",Injury also alters blood flow velocities in the brain.,2022-02-24 18:12:26+00:00,"Hyperacute pathophysiology of traumatic and vascular brain injury captured by ultrasound, photoacoustic, and magnetic resonance imaging",q-bio.QM,"['q-bio.QM', 'q-bio.TO']","[arxiv.Result.Author('Ali Kamali'), arxiv.Result.Author('Laurel Dieckhaus'), arxiv.Result.Author('Emily C. Peters'), arxiv.Result.Author('Collin A. Preszler'), arxiv.Result.Author('Russel S. Witte'), arxiv.Result.Author('Paulo W. Pires'), arxiv.Result.Author('Elizabeth B. Hutchinson'), arxiv.Result.Author('Kaveh Laksari')]","Cerebrovascular dynamics and pathomechanisms that evolve in the minutes and
hours following traumatic vascular injury in the brain remain largely unknown.
We investigated the pathophysiology evolution within the first three hours
after closed-head traumatic brain injury (TBI) and subarachnoid hemorrhage
(SAH), two common traumatic vascular injuries, in mice. We took a multi-modal
imaging approach using photoacoustic, color Doppler, and magnetic resonance
imaging (MRI) in mice. Brain oxygenation (%sO2) and velocity-weighted volume of
blood flow (VVF) values significantly decreased from baseline to fifteen
minutes after both TBI and SAH. TBI resulted in 19.2% and 41.0% ipsilateral
%sO2 and VVF reductions 15 minutes post injury while SAH resulted in 43.9% %sO2
and 85.0% VVF reduction ipsilaterally (p<0.001). We found partial recovery of
%sO2 from 15 minutes to 3-hours after injury for TBI but not SAH. Hemorrhage,
edema, reduced perfusion, and altered diffusivity were evident from MRI scans
acquired 90-150 minutes after injury in both models although the spatial
distribution was mostly focal for TBI and diffuse for SAH. The results reveal
that the cerebral %sO2 deficits immediately following injuries are reversible
for TBI and irreversible for SAH. Our findings can inform future studies on
mitigating these early responses to improve long-term recovery."
2650,"synthetic glucocorticoids, Dexamethasone (DEX) has shown anti-cancer
efficacy and anti-estrogenic activity in human non-small cell lung cancer           However, bioinformatics approaches rely on scRNA-seq data to infer
(NSCLC) whereby further study can be made to testify its efficacy.","As one of the most widely used          of human diseases especially cancers (Fu, et al., 2021).","gene regulatory networks, which only address ""mechanisms"" by proxy
                                                                                 (i.e., correlations) without providing the underlying information (i.e., how
   Single-cell RNA sequencing (scRNA-seq) provides unprecedented                 genes interact with one another via activation, inhibition, or binding
opportunities for understanding cellular complexity (Athanasiadis, et al.,       pathways).",2022-03-01 21:00:46+00:00,Uncovering the dynamic effects of DEX treatment on lung cancer by integrating bioinformatic inference and multiscale modeling of scRNA-seq and proteomics data,q-bio.QM,['q-bio.QM'],"[arxiv.Result.Author('Minghan Chen'), arxiv.Result.Author('Chunrui Xu'), arxiv.Result.Author('Ziang Xu'), arxiv.Result.Author('Wei He'), arxiv.Result.Author('Haorui Zhang'), arxiv.Result.Author('Jing Su'), arxiv.Result.Author('Qianqian Song')]","Motivation: Lung cancer is one of the leading causes for cancer-related
death, with a five-year survival rate of 18%. It is a priority for us to
understand the underlying mechanisms that affect the implementation and
effectiveness of lung cancer therapeutics. In this study, we combine the power
of Bioinformatics and Systems Biology to comprehensively uncover functional and
signaling pathways of drug treatment using bioinformatics inference and
multiscale modeling of both scRNA-seq data and proteomics data. The innovative
and cross-disciplinary approach can be further applied to other computational
studies in tumorigenesis and oncotherapy. Results: A time series of lung
adenocarcinoma-derived A549 cells after DEX treatment were analysed. (1) We
first discovered the differentially expressed genes in those lung cancer cells.
Then through the interrogation of their regulatory network, we identified key
hub genes including TGF-\b{eta}, MYC, and SMAD3 varied underlie DEX treatment.
Further enrichment analysis revealed the TGF-\b{eta} signaling pathway as the
top enriched term. Those genes involved in the TGF-\b{eta} pathway and their
crosstalk with the ERBB pathway presented a strong survival prognosis in
clinical lung cancer samples. (2) Based on biological validation and further
curation, a multiscale model of tumor regulation centered on both
TGF-\b{eta}-induced and ERBB-amplified signaling pathways was developed to
characterize the dynamics effects of DEX therapy on lung cancer cells. Our
simulation results were well matched to available data of SMAD2, FOXO3,
TGF\b{eta}1, and TGF\b{eta}R1 over the time course. Moreover, we provided
predictions of different doses to illustrate the trend and therapeutic
potential of DEX treatment."
3875,"This approach may be successful for building species-
wide compendia but needs further research.","These three
platforms provide detailed and standardized meta-data that can be accessed programmatically
and easily used in high throughput computational analyses.121 An alternative approach is to
verify the strain annotation using taxonomy assignments provided in the SRA Run Browser
analysis tab, or to perform assignment using with a tool like sourmash gather, which selects the
minimum set of reference genomes in a database necessary to cover the reads in a sample.122

Alternatively, a pangenome could be used as a reference so that core genes are collapsed
across strain types while accessory genes are included in the analysis.109 Using these
pangenomes as a reference balances computational cost and fidelity to sample genomes, and
can take advantage of databases designed to address similar problems for metagenomic
sample processing.123 This approach was pioneered for the analysis of Staphylococcus aureus
(S. aureus) strains directly from metatranscriptomes, as no reference genome was available
with which to perform read quantification.","Indeed, one substantial draw back would be the
negation of spanning reads, as pangenomes are typically built from genes and not operons.",2022-03-26 00:16:27+00:00,Using genome-wide expression compendia to study microorganisms,q-bio.QM,['q-bio.QM'],"[arxiv.Result.Author('Alexandra J. Lee'), arxiv.Result.Author('Taylor Reiter'), arxiv.Result.Author('Georgia Doing'), arxiv.Result.Author('Julia Oh'), arxiv.Result.Author('Deborah A. Hogan'), arxiv.Result.Author('Casey S. Greene')]","A gene expression compendium is a heterogeneous collection of gene expression
experiments assembled from data collected for diverse purposes. The widely
varied experimental conditions and genetic backgrounds across samples creates a
tremendous opportunity for gaining a systems level understanding of the
transcriptional responses that influence phenotypes. Variety in experimental
design is particularly important for studying microbes, where the
transcriptional responses integrate many signals and demonstrate plasticity
across strains including response to what nutrients are available and what
microbes are present. Advances in high-throughput measurement technology have
made it feasible to construct compendia for many microbes. In this review we
discuss how these compendia are constructed and analyzed to reveal
transcriptional patterns."
3876,"This research area is nascent, and further research is warranted.","We acknowledge that statistical uncertainty may be obstacles in
inferring multiple RRls (43).","Acknowledgement: This publication was developed under Assistance Agreement
No.",2022-03-26 03:52:05+00:00,Implications of Mortality Displacement for Effect Modification and Selection Bias,q-bio.QM,['q-bio.QM'],"[arxiv.Result.Author('Honghyok Kim'), arxiv.Result.Author('Jong-Tae Lee'), arxiv.Result.Author('Roger D. Peng'), arxiv.Result.Author('Kelvin C. Fong'), arxiv.Result.Author('Michelle L. Bell')]","Mortality displacement is the concept that deaths are moved forward in time
(e.g., a few days, several months, and years) by exposure from when they would
occur without the exposure, which is common in environmental time-series
studies. Using concepts of a frail population and loss of life expectancy, it
is understood that mortality displacement may decrease rate ratio (RR). Such
decreases are thought to be minimal or substantial depending on study
populations. Environmental epidemiologists have interpreted RR considering
mortality displacement. This theoretical paper reveals that mortality
displacement can be formulated as a built-in selection bias of RR in Cox models
due to unmeasured risk factors independent from exposure of interest, and
mortality displacement can also be viewed as an effect modifier by integrating
the concepts of rate and loss of life expectancy. Thus, depending on the
framework through which we view bias, mortality displacement can be categorized
as selection bias in the bias taxonomy of epidemiology, and simultaneously
mortality displacement can be seen as an effect modifier. This dichotomy
provides useful implications regarding policy, effect modification, exposure
time-windows selection, and generalizability, specifically why research in
epidemiology may produce unexpected and heterogeneous RR over different studies
and sub-populations."
