,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
1421,"As a look-out for further research, we consider applying the algorithm to the computation
of counterparty credit risk-measures and various value-adjustments.","Illustrative examples focussing on
convergence, hedging and pricing are provided for a 1-factor and a 2-factor model, which are
popular amongst practitioners.","These metrics typically
rely on generating a forward value- and sensitivity-proﬁles of (exotic) derivative portfolios.",2022-02-02 13:47:01+00:00,A semi-static replication approach to efficient hedging and pricing of callable IR derivatives,q-fin.CP,"['q-fin.CP', '91-08']","[arxiv.Result.Author('Jori Hoencamp'), arxiv.Result.Author('Shashi Jain'), arxiv.Result.Author('Drona Kandhai')]","We present a semi-static hedging algorithm for callable interest rate
derivatives under an affine, multi-factor term-structure model. With a
traditional dynamic hedge, the replication portfolio needs to be updated
continuously through time as the market moves. In contrast, we propose a
semi-static hedge that needs rebalancing on just a finite number of instances.
We show, taking as an example Bermudan swaptions, that callable interest rate
derivatives can be replicated with an options portfolio written on a basket of
discount bonds. The static portfolio composition is obtained by regressing the
target option's value using an interpretable, artificial neural network.
Leveraging on the approximation power of neural networks, we prove that the
hedging error can be arbitrarily small for a sufficiently large replication
portfolio. A direct, a lower bound, and an upper bound estimator for the
risk-neutral Bermudan swaption price is inferred from the hedging algorithm.
Additionally, closed-form error margins to the price statistics are determined.
We practically demonstrate the hedging and pricing performance through several
numerical experiments."
4446,"This can be
challenging, and requires further research.","Yet, portfolio FVA computation and
trade level attribution should always be possible under these modeling choices.","The credit-based funding spread results in WWR, while the credit adjustment eﬀects trans-
late into RWR (for a receiver swap and ρr,I , ρr,C < 0).",2022-04-06 09:02:01+00:00,Relevance of Wrong-Way Risk in Funding Valuation Adjustments,q-fin.CP,"['q-fin.CP', 'q-fin.RM']","[arxiv.Result.Author('T. van der Zwaard'), arxiv.Result.Author('L. A. Grzelak'), arxiv.Result.Author('C. W. Oosterlee')]","March 2020, the world was thrown into a period of financial distress. This
manifested through increased uncertainty in the financial markets. Many
interest rates collapsed and funding spreads surged significantly, which
increased due to the market turmoil. In light of these events, it is key to
understand and model Wrong-Way Risk (WWR) in a Funding Valuation Adjustment
(FVA) context. WWR might currently not be incorporated in FVA calculations in
banks' Valuation Adjustment (xVA) engines. However, we demonstrate that WWR
effects are non-negligible in FVA modeling from a risk-management perspective.
We look at the impact of various modeling choices such as including the default
times of the relevant parties and we consider different choices of funding
spread. A case study is presented for interest rate derivatives."
4447,"This leaves room for our further research, to
develop eﬃcient calculation methods for WWR in FVA.","As the number of risk-factors is typically already large, adding
even more risk-factors in the simulation phase is undesired, especially regarding the large
amount of counterparties a bank may have.","Acknowledgements

    This work has been ﬁnancially supported by Rabobank.",2022-04-06 09:02:01+00:00,Relevance of Wrong-Way Risk in Funding Valuation Adjustments,q-fin.CP,"['q-fin.CP', 'q-fin.RM']","[arxiv.Result.Author('T. van der Zwaard'), arxiv.Result.Author('L. A. Grzelak'), arxiv.Result.Author('C. W. Oosterlee')]","March 2020, the world was thrown into a period of financial distress. This
manifested through increased uncertainty in the financial markets. Many
interest rates collapsed and funding spreads surged significantly, which
increased due to the market turmoil. In light of these events, it is key to
understand and model Wrong-Way Risk (WWR) in a Funding Valuation Adjustment
(FVA) context. WWR might currently not be incorporated in FVA calculations in
banks' Valuation Adjustment (xVA) engines. However, we demonstrate that WWR
effects are non-negligible in FVA modeling from a risk-management perspective.
We look at the impact of various modeling choices such as including the default
times of the relevant parties and we consider different choices of funding
spread. A case study is presented for interest rate derivatives."
4448,"This can be
challenging, and requires further research.","Yet, portfolio FVA computation and
trade level attribution should always be possible under these modeling choices.","The credit-based funding spread results in WWR, while the credit adjustment eﬀects trans-
late into RWR (for a receiver swap and ρr,I , ρr,C < 0).",2022-04-06 09:02:01+00:00,Relevance of Wrong-Way Risk in Funding Valuation Adjustments,q-fin.CP,"['q-fin.CP', 'q-fin.RM']","[arxiv.Result.Author('T. van der Zwaard'), arxiv.Result.Author('L. A. Grzelak'), arxiv.Result.Author('C. W. Oosterlee')]","March 2020, the world was thrown into a period of financial distress. This
manifested through increased uncertainty in the financial markets. Many
interest rates collapsed and funding spreads surged significantly, which
increased due to the market turmoil. In light of these events, it is key to
understand and model Wrong-Way Risk (WWR) in a Funding Valuation Adjustment
(FVA) context. WWR might currently not be incorporated in FVA calculations in
banks' Valuation Adjustment (xVA) engines. However, we demonstrate that WWR
effects are non-negligible in FVA modeling from a risk-management perspective.
We look at the impact of various modeling choices such as including the default
times of the relevant parties and we consider different choices of funding
spread. A case study is presented for interest rate derivatives."
4449,"This leaves room for our further research, to
develop eﬃcient calculation methods for WWR in FVA.","As the number of risk-factors is typically already large, adding
even more risk-factors in the simulation phase is undesired, especially regarding the large
amount of counterparties a bank may have.","13
Acknowledgements

    This work has been ﬁnancially supported by Rabobank.",2022-04-06 09:02:01+00:00,Relevance of Wrong-Way Risk in Funding Valuation Adjustments,q-fin.CP,"['q-fin.CP', 'q-fin.RM']","[arxiv.Result.Author('T. van der Zwaard'), arxiv.Result.Author('L. A. Grzelak'), arxiv.Result.Author('C. W. Oosterlee')]","March 2020, the world was thrown into a period of financial distress. This
manifested through increased uncertainty in the financial markets. Many
interest rates collapsed and funding spreads surged significantly, which
increased due to the market turmoil. In light of these events, it is key to
understand and model Wrong-Way Risk (WWR) in a Funding Valuation Adjustment
(FVA) context. WWR might currently not be incorporated in FVA calculations in
banks' Valuation Adjustment (xVA) engines. However, we demonstrate that WWR
effects are non-negligible in FVA modeling from a risk-management perspective.
We look at the impact of various modeling choices such as including the default
times of the relevant parties and we consider different choices of funding
spread. A case study is presented for interest rate derivatives."
4450,"This can be
challenging, and requires further research.","Yet, portfolio FVA computation and

                                                            13
trade level attribution should always be possible under these modelling choices.","The stochastic funding spread generates WWR, while the credit adjustment eﬀects trans-
late into RWR (for a receiver swap and ρr,I , ρr,C < 0).",2022-04-06 09:02:01+00:00,Relevance of Wrong-Way Risk in Funding Valuation Adjustments,q-fin.CP,"['q-fin.CP', 'q-fin.RM']","[arxiv.Result.Author('T. van der Zwaard'), arxiv.Result.Author('L. A. Grzelak'), arxiv.Result.Author('C. W. Oosterlee')]","In March 2020, the world was thrown into financial distress. This manifested
itself in increased uncertainty in the financial markets. Many interest rates
collapsed, and funding spreads surged significantly, which increased due to the
market turmoil. In light of these events, it is essential to understand and
model Wrong-Way Risk (WWR) in a Funding Valuation Adjustment (FVA) context. WWR
may currently be absent from FVA calculations in banks' Valuation Adjustment
(xVA) engines. However, in this letter, we demonstrate that WWR effects are
non-negligible in FVA modelling from a risk-management perspective. We look at
the impact of various modelling choices, such as including the default times of
the relevant parties, as well as stochastic and deterministic funding spreads.
A case study is presented for interest rate derivatives."
4451,"This can be
challenging, and requires further research.","Yet, portfolio FVA computation and

                                                            13
trade level attribution should always be possible under these modelling choices.","The stochastic funding spread generates WWR, while the credit adjustment eﬀects trans-
late into RWR (for a receiver swap and ρr,I , ρr,C < 0).",2022-04-06 09:02:01+00:00,Relevance of Wrong-Way Risk in Funding Valuation Adjustments,q-fin.CP,"['q-fin.CP', 'q-fin.RM']","[arxiv.Result.Author('T. van der Zwaard'), arxiv.Result.Author('L. A. Grzelak'), arxiv.Result.Author('C. W. Oosterlee')]","In March 2020, the world was thrown into financial distress. This manifested
itself in increased uncertainty in the financial markets. Many interest rates
collapsed, and funding spreads surged significantly, which increased due to the
market turmoil. In light of these events, it is essential to understand and
model Wrong-Way Risk (WWR) in a Funding Valuation Adjustment (FVA) context. WWR
may currently be absent from FVA calculations in banks' Valuation Adjustment
(xVA) engines. However, in this letter, we demonstrate that WWR effects are
non-negligible in FVA modelling from a risk-management perspective. We look at
the impact of various modelling choices, such as including the default times of
the relevant parties, as well as stochastic and deterministic funding spreads.
A case study is presented for interest rate derivatives."
4686,"A further study could assess the long-lasting inﬂuence of this pandemic on the major crude oil
futures markets including SC.","In this study, we mainly focus on the short-term effects
of COVID-19 on SC.","Acknowledgements

    This work was supported by the National Natural Science Foundation of China (12005064, 11805119).",2022-04-11 15:40:38+00:00,The short-term effect of COVID-19 pandemic on China's crude oil futures market: A study based on multifractal analysis,q-fin.CP,['q-fin.CP'],"[arxiv.Result.Author('Shao Ying-Hui'), arxiv.Result.Author('Liu Ying-Lin'), arxiv.Result.Author('Yang Yan-Hong')]","The ongoing COVID-19 shocked financial markets globally, including China's
crude oil future market, which is the third most traded crude oil futures after
WTI and Brent. As China's first crude oil futures accessible to foreign
investors, the Shanghai crude oil futures (SC) have attracted significant
interest since launch at the Shanghai International Energy Exchange. The impact
of COVID-19 on the new crude oil futures is an important issue for investors
and policy makers. Therefore this paper studies the short-term influence of
COVID-19 pandemic on SC via multifractal analysis. We compare market efficiency
of SC before and during the pandemic with the multifractal detrended
fluctuation analysis and other commonly-used random walk tests. Then we
generate shuffled and surrogate data to investigate the components of
multifractal nature in SC. And we examine cross-correlations between SC returns
and other financial assets returns as well as SC trading volume changes by the
multifractal detrended cross-correlation analysis. The results show that market
efficiency of SC and its cross-correlations with other assets increase
significantly after the outbreak of COVID-19. Besides that, the sources of its
multifractal nature have changed since the pandemic. The findings provide
evidence for the short-term impacts of COVID-19 on SC. The results may have
important implications for assets allocation, investment strategies and risk
monitoring."
5469,"These
adaptations will not be followed in this paper, but should be kept in mind for further research.","We could open long positions to limit
losses, or one could react to changing market environments by trading the underlying asset (or futures of it
for keeping trading costs low), or close the open positions if a certain threshold for losses is reached.","The strict
rules for a general form of such Lambda strategies are as follows:

    – We choose a ﬁxed time period of length T (e.g.",2022-04-26 15:40:54+00:00,Supervised machine learning classification for short straddles on the S&P500,q-fin.CP,"['q-fin.CP', 'cs.LG']","[arxiv.Result.Author('Alexander Brunhuemer'), arxiv.Result.Author('Lukas Larcher'), arxiv.Result.Author('Philipp Seidl'), arxiv.Result.Author('Sascha Desmettre'), arxiv.Result.Author('Johannes Kofler'), arxiv.Result.Author('Gerhard Larcher')]","In this working paper we present our current progress in the training of
machine learning models to execute short option strategies on the S&P500. As a
first step, this paper is breaking this problem down to a supervised
classification task to decide if a short straddle on the S&P500 should be
executed or not on a daily basis. We describe our used framework and present an
overview over our evaluation metrics on different classification models. In
this preliminary work, using standard machine learning techniques and without
hyperparameter search, we find no statistically significant outperformance to a
simple ""trade always"" strategy, but gain additional insights on how we could
proceed in further experiments."
5701,"To further study our model’s performance, we compared it with two RNN

                                                                      4
models, namely a simple RNN and an LSTM.","Figure 2: Illustration of the αt-RIM functionality

4 Experiments and Results

We evaluated our modeling approach using ﬁnancial time series data with and without news sentiment, hereafter denoted
as univariate and bivariate, respectively.","TensorFlow v2.4.1 [26] was used to implement all the models, while the
αt-RIM was a custom implementation and the SimpleRNN and the LSTM from the TensorFlow-Keras-API were used.",2022-03-13 15:13:36+00:00,Dynamic and Context-Dependent Stock Price Prediction Using Attention Modules and News Sentiment,q-fin.CP,"['q-fin.CP', 'cs.LG']",[arxiv.Result.Author('Nicole Koenigstein')],"The growth of machine-readable data in finance, such as alternative data,
requires new modeling techniques that can handle non-stationary and
non-parametric data. Due to the underlying causal dependence and the size and
complexity of the data, we propose a new modeling approach for financial time
series data, the $\alpha_{t}$-RIM (recurrent independent mechanism). This
architecture makes use of key-value attention to integrate top-down and
bottom-up information in a context-dependent and dynamic way. To model the data
in such a dynamic manner, the $\alpha_{t}$-RIM utilizes an exponentially
smoothed recurrent neural network, which can model non-stationary times series
data, combined with a modular and independent recurrent structure. We apply our
approach to the closing prices of three selected stocks of the S\&P 500
universe as well as their news sentiment score. The results suggest that the
$\alpha_{t}$-RIM is capable of reflecting the causal structure between stock
prices and news sentiment, as well as the seasonality and trends. Consequently,
this modeling approach markedly improves the generalization performance, that
is, the prediction of unseen data, and outperforms state-of-the-art networks
such as long short-term memory models."
