,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
1862,"Whilst this index has attempted to relate infrastructure provision to the
determinants of financial exclusion, further research is needed on the strength of that
relationship.","However, people would need to hold a bank account to use an ATM or Post
Office, and the likelihood of owning an account (for cash-heavy users) is determined by
infrastructure provision.","33
Map 8: Change in ranking from the 2007 Experian index
                                                               34
Implications for Policy Makers

The index shows that financial exclusion is complex and nuanced, influenced by a variety of
factors, with areas scoring similarly demonstrating varying characteristics.",2022-01-07 14:19:45+00:00,Cashing Out: Assessing the risk of localised financial exclusion as the UK moves towards a cashless society,q-fin.GN,['q-fin.GN'],"[arxiv.Result.Author('George Sullivan'), arxiv.Result.Author('Luke Burns')]","Whilst academic, commercial and policy literature on financial exclusion is
extensive and wide-ranging, there have been very few attempts to quantify and
measure localised financial exclusion anywhere in the world. This is a subject
of growing importance in modern UK society with the withdrawal of cash
infrastructure and a shift towards online banking. This research develops a
composite indicator using a wide-range of input variables, including the
locations of existing cash infrastructure, various demographic factors (such as
income and housing tenure) and other freely available lifestyle data to
identify areas at greatest risk of financial exclusion, thereby aiding
organisations to develop intervention strategies to tackle the problem. The
indicator illustrates that whilst there is no apparent correlation between
financial exclusion and deprivation, pockets of extreme financial exclusion are
generally found in deprived communities, and affluent, suburban areas tend to
score consistently more favourably and consequently carry less risk. The
attributing causes vary, from a lack of infrastructure, to low car
availability, but income levels have a pronounced influence. Three policy
proposals are put forward, including offering banking services at PayPoint
outlets, and converting cash machines to cash recyclers, but improving digital
adoption was found to be the most effective intervention, provided that it is
implemented by community organisations. Policies purely targeting
infrastructure provision or addressing social exclusion are unlikely to be
effective, as community-based initiatives coupled with wider reforms to the
financial system are needed."
2784,"Additionally, further research should incorporate quantitative data
on hydropower storage, such as reservoir capacity, percentage full, and environ-
mental constraints, in order to quantify the impact of hydropower as a storage
resource on electricity price and price volatility.","Given global and regional ambitious renewable energy
targets, future penetration levels are likely to increase to match these targets
and, therefore, the future relationships may diﬀer from the levels observed in
this study.","While this study has explored
linear quantiles, future studies should explore non-linear quantile analysis, as
these might expose non-linear eﬀects in the data.",2022-03-04 01:58:13+00:00,A Robust Statistical Analysis of the Role of Hydropower on the System Electricity Price and Price Volatility,q-fin.GN,['q-fin.GN'],"[arxiv.Result.Author('Olukunle O. Owolabi'), arxiv.Result.Author('Kathryn Lawson'), arxiv.Result.Author('Sanhita Sengupta'), arxiv.Result.Author('Yingsi Huang'), arxiv.Result.Author('Lan Wang'), arxiv.Result.Author('Chaopeng Shen'), arxiv.Result.Author('Mila Getmansky Sherman'), arxiv.Result.Author('Deborah A. Sunter')]","Hydroelectric power (hydropower) is unique in that it can function as both a
conventional source of electricity and as backup storage (pumped hydroelectric
storage) for providing energy in times of high demand on the grid. This study
examines the impact of hydropower on system electricity price and price
volatility in the region served by the New England Independent System Operator
(ISONE) from 2014 - 2020. We perform a robust holistic analysis of the mean and
quantile effects, as well as the marginal contributing effects of hydropower in
the presence of solar and wind resources. First, the price data is adjusted for
deterministic temporal trends, correcting for seasonal, weekend, and diurnal
effects that may obscure actual representative trends in the data. Using
multiple linear regression and quantile regression, we observe that hydropower
contributes to a reduction in the system electricity price and price
volatility. While hydropower has a weak impact on decreasing price and
volatility at the mean, it has greater impact at extreme quantiles (> 70th
percentile). At these higher percentiles, we find that hydropower provides a
stabilizing effect on price volatility in the presence of volatile resources
such as wind. We conclude with a discussion of the observed relationship
between hydropower and system electricity price and volatility."
3774,"Apart from all the facts and predictions, one thing is
clear that cryptocurrencies (and hence Blockchain) will be the matter of
discussion for upcoming years and this article may be useful as a
reference for further research and studies in the said regard.","If government of India will present fresh
bill on cryptocurrency, it will be very interesting to see the nature and
regulations of it.","References
    1.",2022-02-04 10:39:53+00:00,Journey of Cryptocurrency in India In View of Financial Budget 2022-23,q-fin.GN,"['q-fin.GN', 'cs.CR']","[arxiv.Result.Author('Varun Shukla'), arxiv.Result.Author('Manoj Kumar Misra'), arxiv.Result.Author('Atul Chaturvedi')]","Recently, Indian Finance minister Nirmala Sitharaman announced in Union
budget 2022-23 that Indian government will put 30% tax (the highest tax slab in
India) on income generated from cryptocurrencies. Big financial institutions,
experts and academicians have different opinions in this regard. They claim
that it would be the end of cryptocurrency market in India or it would be
possible that RBI (Reserve Bank of India) may launch its own crypto or digital
currency. So in this context, in this article, the journey and future aspects
of cryptocurrency in India are discussed and we hope that it will be a
reference for further research and discussion in this area."
8335,"This paper attempts to critically analyze prior studies in order to build up scope for
further research, so that future researchers may reach to better and more consistent results.","The results are mixed, inconsistent and often
contradictory; ranging from positive, to negative, to statistically insignificant relationship; depending upon the
choice of measure of environmental responsibility, measure of financial performance, sample composition, time-
period and control variables.",3.,2022-07-02 02:38:43+00:00,A Study on Impact of Environmental Accounting on Profitability of Companies listed in Bombay Stock Exchange,q-fin.GN,['q-fin.GN'],"[arxiv.Result.Author('Nandini E. S'), arxiv.Result.Author('Sudharani R'), arxiv.Result.Author('Suresh N')]","The study focuses on the Impact of Environmental Accounting on the
Profitability of Companies listed on the Bombay Stock Exchange. The study has
considered the Amount spent on Environmental protection as an Independent
variable and Return on Capital Employed, Return on Assets, Return on Net
worth/equity, Net Profit Margin, and Dividend per Share as the Dependent
variable. The present study is to analyses the relationship between Amounts
spent on Environmental protection costs and Return on Capital Employed, Return
on Assets, Return on Net worth/equity, Net Profit Margin, and Dividend per
Share. The data is collected from 18 companies listed on the Bombay Stock
Exchange for 10 years from the Annual reports of companies. The data collected
were analysed using Panel data Regression in E-Views. Results revealed that
there is a significant Relationship between Environmental protection Cost and
Return on Capital Employed, Return on Assets, Return on Net worth/equity, Net
Profit Margin, and Dividend per Share. The study shows that Environmental
accounting impact positively on Firms profitability."
8336," The study was limited for ten years with one independent variable and five dependent variable
      The study was conducted for 18 companies listed in BSE, further study can be conducted for more number

          of companies concentrating on different type of industries.","LIMITATIONS OF THE STUDY

      The main Research Gap for the study is to know the impact of Environmental Accounting and Profitability
          of Companies listed in Bombay Stock Exchange.","REFERENCES

[1] Makori, D.M.",2022-07-02 02:38:43+00:00,A Study on Impact of Environmental Accounting on Profitability of Companies listed in Bombay Stock Exchange,q-fin.GN,['q-fin.GN'],"[arxiv.Result.Author('Nandini E. S'), arxiv.Result.Author('Sudharani R'), arxiv.Result.Author('Suresh N')]","The study focuses on the Impact of Environmental Accounting on the
Profitability of Companies listed on the Bombay Stock Exchange. The study has
considered the Amount spent on Environmental protection as an Independent
variable and Return on Capital Employed, Return on Assets, Return on Net
worth/equity, Net Profit Margin, and Dividend per Share as the Dependent
variable. The present study is to analyses the relationship between Amounts
spent on Environmental protection costs and Return on Capital Employed, Return
on Assets, Return on Net worth/equity, Net Profit Margin, and Dividend per
Share. The data is collected from 18 companies listed on the Bombay Stock
Exchange for 10 years from the Annual reports of companies. The data collected
were analysed using Panel data Regression in E-Views. Results revealed that
there is a significant Relationship between Environmental protection Cost and
Return on Capital Employed, Return on Assets, Return on Net worth/equity, Net
Profit Margin, and Dividend per Share. The study shows that Environmental
accounting impact positively on Firms profitability."
8337,"The current study is conducted on profitability of companies listed in National Stock exchange and
further study can be conducted on companies listed in Bombay stock exchange, with reference to any specific
sectors such as automobile sectors, pharmaceutical sectors etc.","LIMITATIONS OF THE STUDY
Future study can be done by taking more variables like market capitalization, return on capital employed, return on
net worth etc.","REFERENCES
     [1] Asika, E.R., Chitom, J.A.R.",2022-07-02 03:01:30+00:00,A Study on the Impact of Human Resource Accounting on Firms Value with Respect to Companies Listed in National Stock Exchange,q-fin.GN,['q-fin.GN'],"[arxiv.Result.Author('Anil S'), arxiv.Result.Author('Sudharani R'), arxiv.Result.Author('Suresh N')]","The study focuses on the Impact of Employment Benefit Cots on the
Profitability of Companies listed in the National Stock Exchange. The study has
considered the Amount spent on Employment Benefit Cots as an Independent
variable and Profit after tax, Total Assets, Return on Equity, and Return on
Asset and Debt equity Ration as the Dependent variable. The present study is to
analyses the relationship between Employment Benefit Cots and Profit after tax,
Total Assets, Return on Equity, Return on Asset, and Debt equity Ration. The
data is collected from 20 companies listed on the National Stock Exchange for
10 years from the Annual reports of companies. The data collected were analyzed
using Panel data Regression in E-Views. Results revealed that there is a
significant Relationship between Employment Benefit Cots and Profit after tax,
Total Assets, Return on Equity, Return on Asset, and Debt equity Ration. The
study shows that Employment Benefit Cots impact positively on Firms
profitability."
8455,"With further research
into risk-contingent financing, the massive fixed-income markets can be a source of profound
positive impact toward safeguarding humanity’s long-term flourishing.","The methods developed in this Article are also primed for research applications within other
long-term risk areas, such as natural pandemics and supervolcanic eruptions.","Forthcoming in Berkeley Business Law Journal  44

APPENDIX A: CLIMATE RISK PRICING

         We have developed a conceptual framework for estimating the speed and magnitude of the
pricing-in of climate risk.",2022-07-05 14:15:19+00:00,Climate-Contingent Finance,q-fin.GN,"['q-fin.GN', 'econ.GN', 'q-fin.EC']",[arxiv.Result.Author('John Nay')],"Climate adaptation could yield significant benefits. However, the uncertainty
of which future climate scenarios will occur decreases the feasibility of
proactively adapting. Climate adaptation projects could be underwritten by
benefits paid for in the climate scenarios that each adaptation project is
designed to address because other entities would like to hedge the financial
risk of those scenarios. Because the return on investment is a function of the
level of climate change, it is optimal for the adapting entity to finance
adaptation with repayment as a function of the climate. It is also optimal for
entities with more financial downside under a more extreme climate to serve as
an investing counterparty because they can obtain higher than market rates of
return when they need it most.
  In this way, parties proactively adapting would reduce the risk they
over-prepare, while their investors would reduce the risk they under-prepare.
This is superior to typical insurance because, by investing in
climate-contingent mechanisms, investors are not merely financially hedging but
also outright preventing physical damage, and therefore creating economic
value. This coordinates capital through time and place according to parties'
risk reduction capabilities and financial profiles, while also providing a
diversifying investment return.
  Climate-contingent finance can be generalized to any situation where entities
share exposure to a risk where they lack direct control over whether it occurs
(e.g., climate change, or a natural pandemic), and one type of entity can take
proactive actions to benefit from addressing the effects of the risk if it
occurs (e.g., through innovating on crops that would do well under extreme
climate change or vaccination technology that could address particular viruses)
with funding from another type of entity that seeks a targeted return to
ameliorate the downside."
9241,And further study can also be done on important issues related to downsizing.,"There is scope for conducting a study to analyze the effect of downsizing on profitability of
other companies, especially financial companies, Different sectors, service companies and Non listed
companies.","Reference

    [1] Brauer, M. and Laamanen, T. Workforce downsizing and firm performance: An organizational
         routine perspective.",2022-07-23 16:00:53+00:00,A Study on Impact of Downsizing on Profitability of Construction Industries listed in Bombay Stock Exchange (BSE) India,q-fin.GN,['q-fin.GN'],"[arxiv.Result.Author('D Reshma'), arxiv.Result.Author('Sudharani R'), arxiv.Result.Author('Suresh N')]","The study investigates the impact of downsizing layoffs on the profitability
of construction industries listed in BSE India. In India, construction
industries have adopted downsizing long back in the organization to improve the
firms performance. For the purpose of the study, Secondary data of 15
Construction companies listed in BSE India have been considered for a period of
10 years from FY.2010 to FY2019. Data has been taken from the companys official
website. The variable considered for the analysis is Other Expenses, Returns on
Net Worth, Employee Expenses, Number of Employees, and Profit Per Employee. The
study has used the Co-integration test to see co-integration between the
variables, Ordinary Least Square (OLS) and Vector Auto Regression (VAR) the
model used for estimating the impact of downsizing on the profitability of
construction companies. OLS and VAR model has been used to draw a conclusion
based on the P values and R square. From the result, it can be concluded that,
Expect Profit Per Employees are the downsizing variable that has no significant
impact on the profitability of the firms performance. Whereas the other
Downsizing variables Employee Expenses and the Number of Employee has a
significant impact on the profitability of the firms performance"
9349,"There is a scope to further study the Single Options growth, Currency derivatives,
Interest rate derivative, and Credit derivatives in comparison to the global market as
they are all in the gowing stages in the Indian derivatives market.","With the robust regulations, strengthening of our
financial structure and more knowledge on derivatives market would gain more of
investor confidence in the market and more of trading on derivatives for hedging
purpose which is the very purpose for the reason for the existence of derivatives
market.","References
Bhole, L.M (1999).",2022-07-26 18:12:10+00:00,Indian Derivatives Market Evolution and Challenge,q-fin.GN,['q-fin.GN'],"[arxiv.Result.Author('Shruthi B. C.'), arxiv.Result.Author('N. Suresh')]","The study is conducted to establish the framework for comparing the relation
in performance of the derivatives of BSE and NSE in India and to analyse the
relationship of derivatives with the cash market and the market volatility. The
exchange-traded equity derivatives were considered for the study. It was found
that the performance of derivatives in NSE is a lot higher than in BSE and the
NSE is on par with the global exchanges compared to BSE in terms of the number
of contracts traded for Stock Index Options and Futures and also Stock Futures.
Hence derivatives market needs to strengthen further with the number of
contracts traded and turnover in all the derivative instruments with more
strong regulations and a robust framework protecting the interest of the
investors. This study enables Derivative Industry to progress towards its goals
and objectives in a more efficient way."
10447,"Finally, the researchers suggested that further research is needed to identify what causes
organizations to adopt environment-related management accounting procedures (Frost &
Wilmshurst, 2000).","Environmental sensitive
firms are more likely to develop environment-related management accounting procedures.","Schaltegger et al., (2000) in their paper “Environmental Management Accounting: Overview
and Main Approaches” tried to combine EMA’s two concepts such as internal environmental
accounting using a monetary measurement and monetary and non-monetary measurement.",2022-06-06 16:12:39+00:00,Corporate Environmental Management Accounting Practicing and Reporting in Bangladesh,q-fin.GN,"['q-fin.GN', 'q-fin.PM']","[arxiv.Result.Author('Nazrul Islam'), arxiv.Result.Author('Syed Khaled Rahman')]","In the management of environment the Environmental Management Accounting
(EMA) is essential for corporate or companies because corporate sectors are the
main parties of environmental humiliation as they are existed in the
environment and for protecting environment a branch of accounting is emerged
which is called environmental management accounting. The objective of the study
is to develop a compliance framework for EMA and appraise the ER practices in
selected industries in Bangladesh. In conducting the study, 50 environmental
sensitive industries were selected from DSE. A compliance checklist was
developed on 75 aspects of EMA and ER under 13 groups. In developing the
compliance index binary method is used i.e. 1= if ER practices; 0= if not
practices. Further the level of EMR/ER practices have been evaluated in terms
of selected independent variables of the company viz. total assets, total
sales, return on equity and size of board. The study found that the
environmental management accounting in the manufacturing companies is in poor
level. The maximum compliance is 67% and the lowest is 20%. The TA, TS BS and
SP have been considered to find out the explanatory variables. In most of the
cases board size does not play significant role in the practice of EMA in the
sampled firms."
