,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
2019,"In order to further study (19), we introduce a second ansatz and now look for a
solution θ of the form

                                                                             8
θ (t, q, S) = a (t) + 1 G(t, S)⊺b (t) G(t, S) + G(t, S)⊺c (t) q + 1 q⊺d (t) q + G(t, S)⊺e(t) + q⊺f (t),   (21)
                   2                                                           2

where a(t) ∈ R, b(t) ∈ Sd(R), c(t) ∈ Md(R), d(t) ∈ Sd(R), e(t) ∈ Rd, and f (t) ∈ Rd.9 The interest in this ansatz is
justiﬁed in the following proposition:

Proposition 6.","3.3 The case of a Gaussian prior and quadratic costs

In what follows, we consider a Gaussian prior on the drifts, such that the dynamics of the prices S in the appropriate
ﬁltration is given by (6) and (9).",Let τ < T .,2022-02-15 16:49:19+00:00,Rigorous multi-asset optimal execution with Bayesian learning of the drift,q-fin.TR,"['q-fin.TR', 'q-fin.MF']",[arxiv.Result.Author('Fayçal Drissi')],"Liquidity issues have been increasingly addressed recently, especially with
regards to optimal execution of large orders. In practice, agents facing these
issues are uncertain about the future dynamics of the assets, and face the risk
of model misspecification, which could make the execution strategies non
optimal. In this paper, we address the problem of uncertainty faced by an agent
wishing to execute large orders on multiple assets. The agent only has
knowledge about the distribution of the future drift of the assets composing
her portfolio. We build on the work in [13] who proposed a model coupling
Bayesian learning and dynamic programming techniques. More precisely, in this
article, we provide a rigorous solution to the problem of portfolio optimal
execution where prices have drifted Bachelier dynamics with an unknown drift.
The agent uses Bayesian learning to update her estimation of the drift, while
she maximizes the expected exponential utility of her final wealth. We consider
the specific case where the prior is a non-degenerate multivariate Gaussian,
and the costs are quadratic. We use stochastic optimal control tools to show
how the problem of optimal execution simplifies into a system of ordinary
differential equations (ODEs) which involves a matrix Riccati ODE with
time-dependent coefficients for which classical existence theorems do not
apply. However, using a method similar to the one in [10], we provide a
rigorous solution to the problem by using a priori estimates obtained thanks to
the original control problem."
5239,We then                    data and our source code for further research1.,"Initially, we categorize the activity of lending         nous to DeFi over time, while we release the collected
                                          platforms within a standard regulatory framework.","propose an Ethereum address grouping algorithm using activity
                                          over DeFi protocols and employ a novel classiﬁcation algorithm to        In Section II, we provide an overview of the DeFi ecosystem
                                          calculate the percentage of fund ﬂows into DeFi lending platforms     and of lending platforms speciﬁcally.",2022-04-23 17:00:21+00:00,Debt-Financed Collateral and Stability Risks in the DeFi Ecosystem,q-fin.TR,['q-fin.TR'],"[arxiv.Result.Author('Michael Darlin'), arxiv.Result.Author('Georgios Palaiokrassas'), arxiv.Result.Author('Leandros Tassiulas')]","The rise of Decentralized Finance (""DeFi"") on the Ethereum blockchain has
enabled the creation of lending platforms, which serve as marketplaces to lend
and borrow digital currencies. We first categorize the activity of lending
platforms within a standard regulatory framework. We then employ a novel
grouping and classification algorithm to calculate the percentage of fund flows
into DeFi lending platforms that can be attributed to debt created elsewhere in
the system (""debt-financed collateral""). Based on our results, we conclude that
the wide-spread use of stablecoins as debt-financed collateral increases
financial stability risks in the DeFi ecosystem."
5602,"However, this
further aspect is beyond the scope of this work and we leave it for further research and
study.","An interesting question is to analyze whether the discretization of
this diﬀerent model could be led back to one of the approaches we have analyzed, where
we might expect to solve a discretization of a Fredholm integral equation.","References

Almgren, R. and Chriss, N. (2001).",2022-05-01 15:33:38+00:00,Transient impact from the Nash equilibrium of a permanent market impact game,q-fin.TR,['q-fin.TR'],"[arxiv.Result.Author('Francesco Cordoni'), arxiv.Result.Author('Fabrizio Lillo')]","A large body of empirical literature has shown that market impact of
financial prices is transient. However, from a theoretical standpoint, the
origin of this temporary nature is still unclear. We show that an implied
transient impact arises from the Nash equilibrium between a directional trader
and one arbitrageur in a market impact game with fixed and permanent impact.
The implied impact is the one that can be empirically inferred from the
directional trader's trading profile and price reaction to order flow.
Specifically, we propose two approaches to derive the functional form of the
decay kernel of the Transient Impact Model, one of the most popular empirical
models for transient impact, from the behaviour of the directional trader at
the Nash equilibrium. The first is based on the relationship between past order
flow and future price change, while in the second we solve an inverse optimal
execution problem. We show that in the first approach the implied kernel is
unique, while in the second case infinite solutions exist and a linear kernel
can always be inferred."
6765,"However, the quantiﬁcation of the such eﬀect or the characterization of eﬃciency for n given points
requires further research.","Although we have shown that the full price trajectory data Sfull is most eﬃcient and adding
more price points St increases the eﬃciency, there seems to be, based on previous examples, a “diminishing
return” eﬀect to adding price points, as the increase in eﬃciency tends to decrease in each addition.","3.2.3 Square-root Law: A Special Case

A well-known, widely-used rule-of-thumb to produce pre-trade estimate of cost is the square-root law.",2022-05-26 15:28:46+00:00,Do price trajectory data increase the efficiency of market impact estimation?,q-fin.TR,['q-fin.TR'],"[arxiv.Result.Author('Fengpei Li'), arxiv.Result.Author('Vitalii Ihnatiuk'), arxiv.Result.Author('Ryan Kinnear'), arxiv.Result.Author('Anderson Schneider'), arxiv.Result.Author('Yuriy Nevmyvaka')]","Market impact is an important problem faced by large institutional investor
and active market participant. In this paper, we rigorously investigate whether
price trajectory data from the metaorder increases the efficiency of
estimation, from an asymptotic view of statistical estimation. Perhaps
surprisingly, we show that, for the popular market models, partial price
trajectory data or even just two points, can outperform established estimation
methods (e.g., VWAP-based) asymptotically. We provide theoretical and empirical
analysis on such phenomenon, which could be incorporate into practice."
9502,"Finally, in Section 7
some conclusions are drawn as well as suggestions for some further research.","Section 6
studies whether the lockdown and more generally the Covid pandemic has modiﬁed
the composition of the population of traders of Italian stocks.","2 Covid-19 in Italy and its management

As it is well known, Italy was the ﬁrst western country to be severely hit by the Covid-
19 pandemic and to put in place localized and nationwide restrictions.",2022-07-30 10:44:54+00:00,How Covid mobility restrictions modified the population of investors in Italian stock markets,q-fin.TR,"['q-fin.TR', 'q-fin.GN']","[arxiv.Result.Author('Paola Deriu'), arxiv.Result.Author('Fabrizio Lillo'), arxiv.Result.Author('Piero Mazzarisi'), arxiv.Result.Author('Francesca Medda'), arxiv.Result.Author('Adele Ravagnani'), arxiv.Result.Author('Antonio Russo')]","This paper investigates how Covid mobility restrictions impacted the
population of investors of the Italian stock market. The analysis tracks the
trading activity of individual investors in Italian stocks in the period
January 2019-September 2021, investigating how their composition and the
trading activity changed around the Covid-19 lockdown period (March 9 - May 19,
2020) and more generally in the period of the pandemic. The results pinpoint
that the lockdown restriction was accompanied by a surge in interest toward
stock market, as testified by the trading volume by households. Given the
generically falling prices during the lockdown, the households, which are
typically contrarian, were net buyers, even if less than expected from their
trading activity in 2019. This can be explained by the arrival, during the
lockdown, of a group of about 185k new investors (i.e. which had never traded
since January 2019) which were on average ten year younger and with a larger
fraction of males than the pre-lockdown investors. By looking at the gross P&L,
there is clear evidence that these new investors were more skilled in trading.
There are thus indications that the lockdown, and more generally the Covid
pandemic, created a sort of regime change in the population of financial
investors."
10048,"Lastly, section 5 will conclude the thesis and provide an outlook at further research and
applications.","1.5 Structure of this paper
The continuation of the thesis is structured as follows: Section 2 will present the background literature on artiﬁcial
intelligence for trading strategies, current research, and similar approaches while section 3 introduces the experimental
work (a weak form of EMH).","6
                                                                                                    A PREPRINT - AUGUST 16, 2022

2 Literature Overview

In the literature overview, the used literature is brieﬂy summarized.",2022-06-26 15:31:58+00:00,AI for trading strategies,q-fin.TR,['q-fin.TR'],"[arxiv.Result.Author('Danijel Jevtic'), arxiv.Result.Author('Romain Deleze'), arxiv.Result.Author('Joerg Osterrieder')]","In this bachelor thesis, we show how four different machine learning methods
(Long Short-Term Memory, Random Forest, Support Vector Machine Regression, and
k-Nearest Neighbor) perform compared to already successfully applied trading
strategies such as Cross Signal Trading and a conventional statistical time
series model ARMA-GARCH. The aim is to show that machine learning methods
perform better than conventional methods in the crude oil market when used
correctly. A more detailed performance analysis was made, showing the
performance of the different models in different market phases so that the
robustness of individual models in high and low volatility phases could be
examined more closely. For further investigation, these models would also have
to be analyzed in other markets."
11296,"A wide range of mathematical models that capture price    potential of RL for solving these types of problems, and facilitate
                                           dynamics and order arrivals have been developed, and then trading      further research in this exciting direction.","Our goal is to showcase the
                                           cal finance.","problems, such as market making or optimal execution, have been
                                           analysed for these models.",2022-09-16 09:42:34+00:00,Model-based gym environments for limit order book trading,q-fin.TR,"['q-fin.TR', 'cs.AI', 'cs.LG', 'q-fin.CP', 'q-fin.MF']","[arxiv.Result.Author('Joseph Jerome'), arxiv.Result.Author('Leandro Sanchez-Betancourt'), arxiv.Result.Author('Rahul Savani'), arxiv.Result.Author('Martin Herdegen')]","Within the mathematical finance literature there is a rich catalogue of
mathematical models for studying algorithmic trading problems -- such as
market-making and optimal execution -- in limit order books. This paper
introduces \mbtgym, a Python module that provides a suite of gym environments
for training reinforcement learning (RL) agents to solve such model-based
trading problems. The module is set up in an extensible way to allow the
combination of different aspects of different models. It supports highly
efficient implementations of vectorized environments to allow faster training
of RL agents. In this paper, we motivate the challenge of using RL to solve
such model-based limit order book problems in mathematical finance, we explain
the design of our gym environment, and then demonstrate its use in solving
standard and non-standard problems from the literature. Finally, we lay out a
roadmap for further development of our module, which we provide as an open
source repository on GitHub so that it can serve as a focal point for RL
research in model-based algorithmic trading."
12754,"This
effect cannot be ignored, but the cause is not clear and needs further study.","Between different large currency transactions, such as BTC and ETH,
the number of direct transactions is always low; and the exchange demand between stablecoins is often less.",It can be seen from the Fig.,2022-10-20 02:37:01+00:00,Optimal Settings for Cryptocurrency Trading Pairs,q-fin.TR,"['q-fin.TR', 'cs.AI', 'math.OC']","[arxiv.Result.Author('Di Zhang'), arxiv.Result.Author('Qiang Niu'), arxiv.Result.Author('Youzhou Zhou')]","The goal of cryptocurrencies is decentralization. In principle, all
currencies have equal status. Unlike traditional stock markets, there is no
default currency of denomination (fiat), thus the trading pairs can be set
freely. However, it is impractical to set up a trading market between every two
currencies. In order to control management costs and ensure sufficient
liquidity, we must give priority to covering those large-volume trading pairs
and ensure that all coins are reachable. We note that this is an optimization
problem. Its particularity lies in: 1) the trading volume between most (>99.5%)
possible trading pairs cannot be directly observed. 2) It satisfies the
connectivity constraint, that is, all currencies are guaranteed to be tradable.
  To solve this problem, we use a two-stage process: 1) Fill in missing values
based on a regularized, truncated eigenvalue decomposition, where the
regularization term is used to control what extent missing values should be
limited to zero. 2) Search for the optimal trading pairs, based on a branch and
bound process, with heuristic search and pruning strategies.
  The experimental results show that: 1) If the number of denominated coins is
not limited, we will get a more decentralized trading pair settings, which
advocates the establishment of trading pairs directly between large currency
pairs. 2) There is a certain room for optimization in all exchanges. The
setting of inappropriate trading pairs is mainly caused by subjectively setting
small coins to quote, or failing to track emerging big coins in time. 3) Too
few trading pairs will lead to low coverage; too many trading pairs will need
to be adjusted with markets frequently. Exchanges should consider striking an
appropriate balance between them."
12755,"This effect

cannot be ignored, although the cause is unclear and requires further study.","Between different big coins, such as BTC and ETH, the number of
direct transactions is always lower than expected; and the coversion between stable coins is also often less.","w1                                                             w2USDT
0.8                                                              1
        USDT
          BTC                                                                BUSD
                                                                               ETH
0.6                                                        0.5
                                                                                 USDC
0.4          BUSD                                                0                 BNB
               ETH                                                                   SOL
                                                                                       ETC
                                                                                         SHIB
                                                                                           EUR
                                                                                             OP
                                                                                               FIL
                                                                                                  ADA
                                                                                                    AVAX
                                                                                                      MATIC
                                                                                                        NEAR
                                                                                                          XRP
                                                                                                            DOT
                                                                                                              APE
                                                                                                                DOGE

0.2             USDC                                       -0.5        BTC
                  BNB
0                   SOL                                    -1
                      ETC
                        SHIB
                          EUR
                            OP
                              FIL
                                ADA
                                  AVAX
                                     MATIC
                                       NEAR
                                         XRP
                                           DOT
                                             APE
                                               DOGE

     0          5   10                 15  20                       0        5        10    15    20

                                           Figure 2: W of Binance

4.3 Optimal Trading Pairs

After running Algo.",2022-10-20 02:37:01+00:00,Optimal Settings for Cryptocurrency Trading Pairs,q-fin.TR,"['q-fin.TR', 'cs.AI', 'math.OC']","[arxiv.Result.Author('Di Zhang'), arxiv.Result.Author('Qiang Niu'), arxiv.Result.Author('Youzhou Zhou')]","The goal of cryptocurrencies is decentralization. In principle, all
currencies have equal status. Unlike traditional stock markets, there is no
default currency of denomination (fiat), thus the trading pairs can be set
freely. However, it is impractical to set up a trading market between every two
currencies. In order to control management costs and ensure sufficient
liquidity, we must give priority to covering those large-volume trading pairs
and ensure that all coins are reachable. We note that this is an optimization
problem. Its particularity lies in: 1) the trading volume between most (>99.5%)
possible trading pairs cannot be directly observed. 2) It satisfies the
connectivity constraint, that is, all currencies are guaranteed to be tradable.
  To solve this problem, we use a two-stage process: 1) Fill in missing values
based on a regularized, truncated eigenvalue decomposition, where the
regularization term is used to control what extent missing values should be
limited to zero. 2) Search for the optimal trading pairs, based on a branch and
bound process, with heuristic search and pruning strategies.
  The experimental results show that: 1) If the number of denominated coins is
not limited, we will get a more decentralized trading pair settings, which
advocates the establishment of trading pairs directly between large currency
pairs. 2) There is a certain room for optimization in all exchanges. The
setting of inappropriate trading pairs is mainly caused by subjectively setting
small coins to quote, or failing to track emerging big coins in time. 3) Too
few trading pairs will lead to low coverage; too many trading pairs will need
to be adjusted with markets frequently. Exchanges should consider striking an
appropriate balance between them."
12756,"A comprehensive review of branch-and-bound algorithms:
     Guidelines and directions for further research on the ﬂowshop scheduling problem.",[6] Caio Paziani Tomazella and Marcelo Seido Nagano.,"Expert Systems with Applica-
     tions, 158:113556, 2020.",2022-10-20 02:37:01+00:00,Optimal Settings for Cryptocurrency Trading Pairs,q-fin.TR,"['q-fin.TR', 'cs.AI', 'math.OC']","[arxiv.Result.Author('Di Zhang'), arxiv.Result.Author('Qiang Niu'), arxiv.Result.Author('Youzhou Zhou')]","The goal of cryptocurrencies is decentralization. In principle, all
currencies have equal status. Unlike traditional stock markets, there is no
default currency of denomination (fiat), thus the trading pairs can be set
freely. However, it is impractical to set up a trading market between every two
currencies. In order to control management costs and ensure sufficient
liquidity, we must give priority to covering those large-volume trading pairs
and ensure that all coins are reachable. We note that this is an optimization
problem. Its particularity lies in: 1) the trading volume between most (>99.5%)
possible trading pairs cannot be directly observed. 2) It satisfies the
connectivity constraint, that is, all currencies are guaranteed to be tradable.
  To solve this problem, we use a two-stage process: 1) Fill in missing values
based on a regularized, truncated eigenvalue decomposition, where the
regularization term is used to control what extent missing values should be
limited to zero. 2) Search for the optimal trading pairs, based on a branch and
bound process, with heuristic search and pruning strategies.
  The experimental results show that: 1) If the number of denominated coins is
not limited, we will get a more decentralized trading pair settings, which
advocates the establishment of trading pairs directly between large currency
pairs. 2) There is a certain room for optimization in all exchanges. The
setting of inappropriate trading pairs is mainly caused by subjectively setting
small coins to quote, or failing to track emerging big coins in time. 3) Too
few trading pairs will lead to low coverage; too many trading pairs will need
to be adjusted with markets frequently. Exchanges should consider striking an
appropriate balance between them."
