,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract
68,"It is possible that further research on the forward model
could reduce the demand for computing resources and make these parameters identiﬁable.","Because the signals deduced from
these estimates are very close to the initial observations, they have almost the same likeli-
hood from a statistical point of view.","With such a forward model, the efﬁciency and accuracy of the proposed approach could be
further improved.",2022-01-04 03:24:34+00:00,A Statistical Approach to Estimating Adsorption-Isotherm Parameters in Gradient-Elution Preparative Liquid Chromatography,stat.AP,['stat.AP'],"[arxiv.Result.Author('Jiaji Su'), arxiv.Result.Author('Zhigang Yao'), arxiv.Result.Author('Cheng Li'), arxiv.Result.Author('Ye Zhang')]","Determining the adsorption isotherms is an issue of significant importance in
preparative chromatography. A modern technique for estimating adsorption
isotherms is to solve an inverse problem so that the simulated batch separation
coincides with actual experimental results. However, due to the ill-posedness,
the high non-linearity, and the uncertainty quantification of the corresponding
physical model, the existing deterministic inversion methods are usually
inefficient in real-world applications. To overcome these difficulties and
study the uncertainties of the adsorption-isotherm parameters, in this work,
based on the Bayesian sampling framework, we propose a statistical approach for
estimating the adsorption isotherms in various chromatography systems. Two
modified Markov chain Monte Carlo algorithms are developed for a numerical
realization of our statistical approach. Numerical experiments with both
synthetic and real data are conducted and described to show the efficiency of
the proposed new method."
69,"It is possible that further research on the forward model
could reduce the demand for computing resources and make these parameters identiﬁable.","Because the signals deduced from
these estimates are very close to the initial observations, they have almost the same likeli-
hood from a statistical point of view.","With such a forward model, the efﬁciency and accuracy of the proposed approach could be
further improved.",2022-01-04 03:24:34+00:00,A Statistical Approach to Estimating Adsorption-Isotherm Parameters in Gradient-Elution Preparative Liquid Chromatography,stat.AP,['stat.AP'],"[arxiv.Result.Author('Jiaji Su'), arxiv.Result.Author('Zhigang Yao'), arxiv.Result.Author('Cheng Li'), arxiv.Result.Author('Ye Zhang')]","Determining the adsorption isotherms is an issue of significant importance in
preparative chromatography. A modern technique for estimating adsorption
isotherms is to solve an inverse problem so that the simulated batch separation
coincides with actual experimental results. However, due to the ill-posedness,
the high non-linearity, and the uncertainty quantification of the corresponding
physical model, the existing deterministic inversion methods are usually
inefficient in real-world applications. To overcome these difficulties and
study the uncertainties of the adsorption-isotherm parameters, in this work,
based on the Bayesian sampling framework, we propose a statistical approach for
estimating the adsorption isotherms in various chromatography systems. Two
modified Markov chain Monte Carlo algorithms are developed for a numerical
realization of our statistical approach. Numerical experiments with both
synthetic and real data are conducted and described to show the efficiency of
the proposed new method."
343,"Thus, the spatial interaction
of knots and their relationship with strength properties requires further study and model
development.","Accordingly, the overall spatial arrangement of knots has not been fully
considered in previous models, to the best of our knowledge.","2
    While knots appear on the surfaces of sawn lumber as elliptical shapes, these knot faces
are only cross-sections of their underlying three-dimensional (3-D) structure.",2022-01-10 17:10:11+00:00,Knots and their effect on the tensile strength of lumber,stat.AP,['stat.AP'],"[arxiv.Result.Author('Shuxian Fan'), arxiv.Result.Author('Samuel WK Wong'), arxiv.Result.Author('James V Zidek')]","When assessing the strength of sawn lumber for use in engineering
applications, the sizes and locations of knots are an important consideration.
Knots are the most common visual characteristics of lumber, that result from
the growth of tree branches. Large individual knots, as well as clusters of
distinct knots, are known to have strength-reducing effects. However, industry
grading rules that govern the allowable arrangements of knots are informed by
subjective judgment to some extent. Thus, the spatial interaction of knots and
their relationship with strength properties has not been fully understood. This
paper reports the results of a study that investigated and modelled the
strength-reducing effects of knots on a sample of Douglas Fir lumber.
Experimental data were obtained by taking scans of lumber surfaces and applying
tensile strength testing. The modelling approach presented extends current
methodology by incorporating all relevant knot information in a Bayesian
framework."
344,"Therefore, the spatial interaction of knots and their relationship
with strength properties requires further study and model development.","Due to these grading limitations, the complete spatial arrangement
of knots has not been used in previous strength prediction models for lumber specimens, to
the best of our knowledge.","While knots appear on the surfaces of sawn lumber as elliptical shapes, these knot faces
are only cross-sections of their underlying three-dimensional (3-D) structure.",2022-01-10 17:10:11+00:00,Knots and their effect on the tensile strength of lumber,stat.AP,['stat.AP'],"[arxiv.Result.Author('Shuxian Fan'), arxiv.Result.Author('Samuel WK Wong'), arxiv.Result.Author('James V Zidek')]","When assessing the strength of sawn lumber for use in engineering
applications, the sizes and locations of knots are an important consideration.
Knots are the most common visual characteristics of lumber, that result from
the growth of tree branches. Large individual knots, as well as clusters of
distinct knots, are known to have strength-reducing effects. However, industry
grading rules that govern knots are informed by subjective judgment to some
extent. Thus, the spatial interaction of knots and their relationship with
lumber strength has not been fully understood. This paper reports the results
of a study that investigated and modelled the strength-reducing effects of
knots on a sample of Douglas Fir lumber. Experimental data were obtained by
taking scans of lumber surfaces and applying tensile strength testing. The
modelling approach presented incorporates all relevant knot information in a
Bayesian framework, thereby contributing a more refined way of managing the
quality of manufactured lumber."
1691,"This is a difﬁcult
problem, and is an important area of further research which we discuss more thoroughly in Section 5.","As a result,
we have an identiﬁability-bias trade off as lowering the threshold frequency introduces more of the noise pro-
cesses, which tends to result in biasing of β, but raising the threshold makes σr unidentiﬁable.","In summary, the parameter estimates converge to sensible values in the majority of sea states where a single
wind-sea is present.",2022-02-08 10:38:24+00:00,A multivariate pseudo-likelihood approach to estimating directional ocean wave models,stat.AP,['stat.AP'],"[arxiv.Result.Author('Jake P. Grainger'), arxiv.Result.Author('Adam M. Sykulski'), arxiv.Result.Author('Kevin Ewans'), arxiv.Result.Author('Hans F. Hansen'), arxiv.Result.Author('Philip Jonathan')]","Ocean buoy data in the form of high frequency multivariate time series are
routinely recorded at many locations in the world's oceans. Such data can be
used to characterise the ocean wavefield, which is important for numerous
socio-economic and scientific reasons. This characterisation is typically
achieved by modelling the frequency-direction spectrum, which decomposes
spatiotemporal variability by both frequency and direction. State-of-the-art
methods for estimating the parameters of such models do not make use of the
full spatiotemporal content of the buoy observations due to unnecessary
assumptions and smoothing steps. We explain how the multivariate debiased
Whittle likelihood can be used to jointly estimate all parameters of such
frequency-direction spectra directly from the recorded time series. When
applied to North Sea buoy data, debiased Whittle likelihood inference reveals
smooth evolution of spectral parameters over time. We discuss challenging
practical issues including model misspecification, and provide guidelines for
future application of the method."
1762,"However, as we experienced that manual model
selection is time consuming, finding exportable models that automatically include or select important
interactions would be a nice avenue to explore in further research.","A more adequate method could
be non-parametric models like random forest, but exporting such models comes with disclosure risk
and, therefore, are unfeasible in this context.","Due to the large amount of information, challenges were faced in each model as the fit could always
be improved.",2022-02-09 13:26:41+00:00,Constructing synthetic populations in the age of big data,stat.AP,['stat.AP'],"[arxiv.Result.Author('M. A. Nicolaie'), arxiv.Result.Author('Koen Fussenich'), arxiv.Result.Author('Caroline Ameling'), arxiv.Result.Author('Hendriek C. Boshuizen')]","To develop public health intervention models using microsimulations,
extensive personal information about inhabitants is needed, such as
socio-demographic, economic and health figures. Data confidentiality is an
essential characteristic of such data, while the data should support realistic
scenarios. Collection of such data is possible only in secured environments and
not directly available for external micro-simulation models. The aim of this
paper is to illustrate a method for construction of synthetic data by
predicting individual features through models based on confidential data on
health and socio-economic determinants of the entire Dutch population."
1813,"Although further research is needed to conﬁrm these observations, they illustrate how this statistical
methodology opens up perspectives in a complex disease such as MSA to improve the understanding
of pathophysiological processes.","This is probably due to the fact that
α-synuclein is a marker of the pathophysiological process rather than a marker of progression.","The statistical model relies on the assumption of conditional independence between processes, i.e.",2022-02-10 16:19:13+00:00,Describing complex disease progression using joint latent class models for multivariate longitudinal markers and clinical endpoints,stat.AP,"['stat.AP', 'stat.ME']","[arxiv.Result.Author('Cécile Proust-Lima'), arxiv.Result.Author('Tiphaine Saulnier'), arxiv.Result.Author('Viviane Philipps'), arxiv.Result.Author('Anne Pavy-Le Traon'), arxiv.Result.Author('Patrice Péran'), arxiv.Result.Author('Olivier Rascol'), arxiv.Result.Author('Wassilios G Meissner'), arxiv.Result.Author('Alexandra Foubert-Samier')]","Neurodegenerative diseases are characterized by numerous markers of
progression and clinical endpoints. For instance, Multiple System Atrophy
(MSA), a rare neurodegenerative synucleinopathy, is characterized by various
combinations of progressive autonomic failure and motor dysfunction, and a very
poor prognosis. Describing the progression of such complex and
multi-dimensional diseases is particularly difficult. One has to simultaneously
account for the assessment of multivariate markers over time, the occurrence of
clinical endpoints, and a highly suspected heterogeneity between patients. Yet,
such description is crucial for understanding the natural history of the
disease, staging patients diagnosed with the disease, unraveling subphenotypes,
and predicting the prognosis. Through the example of MSA progression, we show
how a latent class approach can help describe complex disease progression
measured by multiple repeated markers and clinical endpoints, and identify
subphenotypes for exploring new pathological hypotheses. The joint latent class
model includes class-specific multivariate mixed models to handle multivariate
repeated biomarkers possibly summarized into latent dimensions and
class-and-cause-specific proportional hazard models to handle time-to-event
data. Maximum likelihood estimation is made available in the lcmm R package. In
the French MSA cohort comprising data of 598 patients during up to 13 years,
five subphenotypes of MSA were identified that differ by the sequence and shape
of biomarkers degradation, and the associated risk of death. In posterior
analyses, the five subphenotypes were used to explore the association between
clinical progression and external imaging and fluid biomarkers, while properly
accounting for the uncertainty in the subphenotypes membership."
2199,"Our further research is to develop new models to characterize time-varying link
travel time correlation.","Although simple, this approach
ignores the temporal dynamic of the covariance structure—the covariance structure may vary smoothly and
continuously over time.","Acknowledgements

    This research is supported in part by the Natural Sciences and Engineering Research Council (NSERC)
of Canada.",2022-02-19 01:00:25+00:00,Bayesian inference for link travel time correlation of a bus route,stat.AP,['stat.AP'],"[arxiv.Result.Author('Xiaoxu Chen'), arxiv.Result.Author('Zhanhong Cheng'), arxiv.Result.Author('Lijun Sun')]","Estimation of link travel time correlation of a bus route is essential to
many bus operation applications, such as timetable scheduling, travel time
forecasting and transit service assessment/improvement. Most previous studies
rely on either independent assumptions or simplified local spatial correlation
structures. In the real world, however, link travel time on a bus route could
exhibit complex correlation structures, such as long-range correlations,
negative correlations, and time-varying correlations. Therefore, before
introducing strong assumptions, it is essential to empirically quantify and
examine the correlation structure of link travel time from real-world bus
operation data. To this end, this paper develops a Bayesian Gaussian model to
estimate the link travel time correlation matrix of a bus route using
smart-card-like data. Our method overcomes the small-sample-size problem in
correlation matrix estimation by borrowing/integrating those incomplete
observations (i.e., with missing/ragged values and overlapped link segments)
from other bus routes. Next, we propose an efficient Gibbs sampling framework
to marginalize over the missing and ragged values and obtain the posterior
distribution of the correlation matrix. Three numerical experiments are
conducted to evaluate model performance. We first conduct a synthetic
experiment and our results show that the proposed method produces an accurate
estimation for travel time correlations with credible intervals. Next, we
perform experiments on a real-world bus route with smart card data; our results
show that both local and long-range correlations exist on this bus route.
Finally, we demonstrate an application of using the estimated covariance matrix
to make probabilistic forecasting of link and trip travel time."
2244,"We thus anticipate
an uptake of this type of modern statistical modelling tools for further research, in particular
into the dynamics of live betting markets, but also in other sports settings.","Koopmeiners, 2012;
Green and Zwiebel, 2018; O¨ tting et al., 2020; Mews and O¨ tting, 2022).","Acknowledgements

Marius O¨ tting received support from the Deutsche Forschungsgemeinschaft (Grant 431536450),
which is gratefully acknowledged.",2022-02-21 09:48:31+00:00,Bettors' reaction to match dynamics -- Evidence from in-game betting,stat.AP,['stat.AP'],"[arxiv.Result.Author('Rouven Michels'), arxiv.Result.Author('Marius Ötting'), arxiv.Result.Author('Roland Langrock')]","It is still largely unclear to what extent bettors update their prior
assumptions about the strength or form of competing teams considering the
dynamics during the match. This is of interest not only from the psychological
perspective, but also as the pricing of live odds ideally should be driven both
by the (objective) outcome probabilities and also the bettors' behaviour.
Analysing large and high-resolution data from live betting in German football,
we find that stakes in the live-betting market are driven both by perceived
pre-game strength and by in-game strength as implied by measurable events such
as shots and passes. Both effects vary over the course of the match."
2691,"In any case, further study is required, perhaps with
additional runs with more gradual CO2 changes.","However, the abruptness is likely not as severe as it seems as the CO2 forcing triggers a
series of events, including sea ice melt and freshwater injection into the model’s subpolar
gyre, which occur over 2-3 decades28.","36
The Υ indicator for Early Warning

The primary drawback of the Υ indicator is that it is computationally quite expensive,
at least compared to the autocorrelation and variance, and that, due to its complexity,
the results can be harder to interpret.",2022-03-02 13:38:26+00:00,Early-warning indicator based on autoregressive moving-average models: Critical Transitions and the Atlantic Meridional Overturning Circulation,stat.AP,"['stat.AP', 'physics.ao-ph']","[arxiv.Result.Author('Marie Rodal'), arxiv.Result.Author('Sebastian Krumscheid'), arxiv.Result.Author('Gaurav Madan'), arxiv.Result.Author('Joseph Henry LaCasce'), arxiv.Result.Author('Nikki Vercauteren')]","A statistical indicator for dynamic stability based on autoregressive
moving-average, ARMA(p,q), models is used to gauge the stability and hence
predict approaching tipping points of simulation data from a reduced 5-box
model of the North-Atlantic Meridional Overturning Circulation (AMOC) exposed
to a time dependent hosing function. The hosing function simulates the influx
of fresh water due to the melting of the Greenland ice sheet and increased
precipitation in the North Atlantic. We study the indicator's ability to assess
the stability of a time series subject to different types of tipping, including
bifurcation-induced and rate-induced tipping, and show that the indicator is
indeed able to identify the different types of induced instability. In the
process we extend the underlying models from an ARMA(p,q) process to an
ARIMA(p,q) (autoregressive integrated moving-average) process, which through
the proper application of differencing converts a formerly non-stationary
process into a stationary one, further extending the regime of validity of the
statistical method. In addition, we apply the indicator to simulation data from
the Earth systems model CESM2, to assess how the indicator responds to more
realistic time series data."
