Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
175,"Till then, TESS
will hold the fort by providing photometric data of the highest             6361/201937127
quality, available to the community for further researches and
investigations on exoplanetary systems.","doi: 10.1051/0004-
on the exoplanetary parameters tremendously.","Borucki, W. J., Koch, D., Basri, G. et al.",2022-01-06 16:32:43+00:00,On the parameter refinement of inflated exoplanets with large radius uncertainty based on TESS observations,astro-ph.EP,['astro-ph.EP'],[arxiv.Result.Author('Xanthippi Alexoudi')],"We revisited ten known exoplanetary systems using publicly available data
provided by the Transiting Exoplanet Survey Satellite (TESS). The sample
presented in this work consists of short period transiting exoplanets, with
inflated radii and large reported uncertainty on their planetary radii. The
precise determination of these values is crucial in order to develop accurate
evolutionary models and understand the inflation mechanisms of these systems.
Aiming to evaluate the planetary radius measurement, we made use of the
planet-to-star radii ratio, a quantity that can be measured during a transit
event. We fit the obtained transit light curves of each target with a
detrending model and a transit model. Furthermore, we used emcee, which is
based on a Markov chain Monte Carlo approach, to assess the best fit posterior
distributions of each system parameter of interest. We refined the planetary
radius of WASP-140 b by approximately 12%, and we derived a better precision on
its reported asymmetric radius uncertainty by approximately 86% and 67%. We
also refined the orbital parameters of WASP-120 b by 2$\sigma$. Moreover, using
the high-cadence TESS datasets, we were able to solve a discrepancy in the
literature, regarding the planetary radius of the exoplanet WASP-93 b. For all
the other exoplanets in our sample, even though there is a tentative trend that
planetary radii of (near-) grazing systems have been slightly overestimated in
the literature, the planetary radius estimation and the orbital parameters were
confirmed with independent observations from space, showing that TESS and
ground-based observations are overall in good agreement.",-0.24341029,-0.2998339,0.04155426,C_centroid
243,"The observation that depth of the strained region did not continue to grow for higher velocity impacts at 60° spurred
further study of the strain contours.","Figure 7 also illustrates the asymmetry
in substrate response caused by the oblique impact mentioned in the packing fraction analysis.","On each plot of Figure 7 and Figure 14, two red lines are traced.",2022-01-07 18:27:17+00:00,"Sub-surface granular dynamics in the context of oblique, low-velocity impacts into angular granular media",astro-ph.EP,"['astro-ph.EP', 'physics.geo-ph']","[arxiv.Result.Author('Peter M. Miklavčič'), arxiv.Result.Author('Hesam Askari'), arxiv.Result.Author('Paul Sánchez'), arxiv.Result.Author('Alice C. Quillen'), arxiv.Result.Author('Esteban Wright')]","Oblique, low-velocity impacts onto extraterrestrial terrain are an inevitable
occurrence during space exploration. We conduct two-dimensional discrete
simulations to model such impacts into a bed of triangular grains. Finite
element method provides the basis for simulation, enabling the angular grain
geometry. Our findings re-create the three classes of impact behavior
previously noted from experiments: full-stop, rollout, and ricochet
\citep*{Wright2020}. An application of Set Voronoi tessellation assesses
packing fraction at a high resolution, revealing how grains shift relative to
each other during an impact event. Calculation of Von Mises strain
distributions then reveal how grains shift relative to the overall system,
leading to the notion of the 'skin zone'. Intuition would suggest that the
region of perturbed grains would grow deeper with higher velocity impacts,
results instead show that increasing velocity may actually evoke a change in
the grains' dissipative response that boosts lateral perturbation. Finally, we
consider as a whole how sub-surface response could link with impactor dynamics
to deepen our understanding of oblique, low-velocity impact events and help to
improve mission outcomes.",0.38566065,0.13909635,-0.28979588,B
244,"The observation that depth of the strained region did not continue to grow for higher velocity impacts at 60° spurred
further study of the strain contours.","Figure 9 also illustrates the asymmetry
in substrate response caused by the oblique impact mentioned in the packing fraction analysis.","The enclosure of the two red lines, marking the strained media, is denoted the ‘skin
zone’.",2022-01-07 18:27:17+00:00,"Sub-surface granular dynamics in the context of oblique, low-velocity impacts into angular granular media",astro-ph.EP,"['astro-ph.EP', 'physics.geo-ph']","[arxiv.Result.Author('Peter M. Miklavčič'), arxiv.Result.Author('Hesam Askari'), arxiv.Result.Author('Paul Sánchez'), arxiv.Result.Author('Alice C. Quillen'), arxiv.Result.Author('Esteban Wright')]","Oblique, low-velocity impacts onto extraterrestrial terrain are an inevitable
occurrence during space exploration. We conduct two-dimensional discrete
simulations to model such impacts into a bed of triangular grains. Finite
element method provides the basis for simulation, enabling the angular grain
geometry. Our findings re-create the three classes of impact behavior
previously noted from experiments: full-stop, rollout, and ricochet
\citep*{Wright2020}. An application of Set Voronoi tessellation assesses
packing fraction at a high resolution, revealing how grains shift relative to
each other during an impact event. Calculation of Von Mises strain
distributions then reveal how grains shift relative to the overall system,
leading to the notion of the 'skin zone'. Intuition would suggest that the
region of perturbed grains would grow deeper with higher velocity impacts,
results instead show that increasing velocity may actually evoke a change in
the grains' dissipative response that boosts lateral perturbation. Finally, we
consider as a whole how sub-surface response could link with impactor dynamics
to deepen our understanding of oblique, low-velocity impact events and help to
improve mission outcomes.",0.4008394,0.13441515,-0.2627754,B
375,"Regardless, there is room for
further research in reducing the residual scatter by treating the ΦESTA inputs (either directly or after dimensional
reduction via PCA) with neural network methods that are able to learn non-linear relationships between activity
indicator proxies and RVs.","(2020) HARPS-N RVs were based on an earlier version of the HARPS-N data
reduction system, while ours are from the newer version (see discussions in Section 5.1).",7.2.,2022-01-11 04:52:28+00:00,FIESTA II. Disentangling stellar and instrumental variability from exoplanetary Doppler shifts in Fourier domain,astro-ph.EP,"['astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']","[arxiv.Result.Author('Jinglin Zhao'), arxiv.Result.Author('Eric B. Ford')]","The radial velocity (RV) detection of exoplanets is complicated by stellar
spectroscopic variability that can mimic the presence of planets, as well as by
instrumental instability. These distort the spectral line profiles and can be
misinterpreted as apparent RV shifts.
  We present the improved FourIEr phase SpecTrum Analysis (FIESTA a.k.a.
$\mathit{\Phi}$ESTA) to disentangle apparent RV shifts due to a line
deformation from a true Doppler shift.
  $\mathit{\Phi}$ESTA projects stellar spectrum's cross correlation function
(CCF) onto the truncated Fourier basis functions. Using the amplitude and phase
information from each $\mathit{\Phi}$ESTA mode, we can trace the line
variability at different CCF width scale robustly to identify and mitigate
multiple sources of RV contamination.
  We test $\mathit{\Phi}$ESTA metrics on the SOAP 2.0 solar simulations and
find some strong correlations with the apparent RVs induced by sunspots. We
apply $\mathit{\Phi}$ESTA to 3 years HARPS-N solar observations and demonstrate
that $\mathit{\Phi}$ESTA is capable of identifying multiple sources of the
spurious solar RV variations, including stellar rotation, the long-term trend
from the solar magnetic cycle, instrumental instability and apparent solar
rotation rate changes. Applying a simple multi-linear regression model,
$\mathit{\Phi}$ESTA reduces the weighted RMS from 1.89~m/s to 0.98~m/s, a 48%
reduction in the weighted RMS, better than applying a similar multi-linear
regression to FWHM and BIS.",0.09435302,0.15164077,0.34278727,B
412,"TOI-674 b is a strong
                                                      candidate for further study to reﬁne the water abundance, which is poorly constrained by our data.","With these results, TOI-674
                                                      b joins the exclusive club of exoplanets with featured transmission spectra.","We also incorporated new TESS short-cadence optical photometry, as well as Spitzer/IRAC data, and
                                                      re-ﬁt the transit parameters for the planet.",2022-01-11 21:02:15+00:00,A Mirage or an Oasis? Water Vapor in the Atmosphere of the Warm Neptune TOI-674 b,astro-ph.EP,['astro-ph.EP'],"[arxiv.Result.Author('Jonathan Brande'), arxiv.Result.Author('Ian J. M. Crossfield'), arxiv.Result.Author('Laura Kreidberg'), arxiv.Result.Author('Antonija Oklopčić'), arxiv.Result.Author('Alex S. Polanski'), arxiv.Result.Author('Travis Barman'), arxiv.Result.Author('Björn Benneke'), arxiv.Result.Author('Jessie L. Christiansen'), arxiv.Result.Author('Diana Dragomir'), arxiv.Result.Author('Daniel Foreman-Mackey'), arxiv.Result.Author('Jonathan J. Fortney'), arxiv.Result.Author('Thomas P. Greene'), arxiv.Result.Author('Andrew W. Howard'), arxiv.Result.Author('Heather A. Knutson'), arxiv.Result.Author('Joshua D. Lothringer'), arxiv.Result.Author('Thomas Mikal-Evans'), arxiv.Result.Author('Caroline V. Morley')]","We report observations of the recently discovered super-Neptune TOI-674 b
(5.25 Earth radii, 23.6 Earth mass) with the Hubble Space Telescope's Wide
Field Camera 3 instrument. TOI-674 b is deep into the Neptune desert, an
observed paucity of Neptune-size exoplanets at short orbital periods. Planets
in the desert are thought to have complex evolutionary histories due to
photoevaporative mass loss or orbital migration, making identifying the
constituents of their atmospheres critical to understanding their origins. We
obtained near-infrared transmission spectroscopy of the planet's atmosphere
with the G141 grism, which we detrended and fit. After extracting the
transmission spectrum from the data, we used the petitRADTRANS atmospheric
spectral synthesis code to perform retrievals on the planet's atmosphere to
identify which absorbers are present. These results show evidence for increased
absorption at 1.4 $\mu$m due to water vapor at $2.1\sigma$ (Bayes factor =
3.2). With these results, TOI-674 b joins the exclusive club of exoplanets with
featured transmission spectra. TOI-674 b is a strong candidate for further
study to refine the water abundance, which is poorly constrained by our data.
We also incorporated new TESS short-cadence optical photometry, as well as
Spitzer/IRAC data, and re-fit the transit parameters for the planet. We find
the planet to have the following transit parameters: $R_p/R_* =
0.1135\pm0.0006$, $T_0 = 2458544.523792\pm0.000452$ BJD, and $P =
1.977198\pm0.00007$ d. These measurements refine the planet radius estimate and
improve the orbital ephemerides for future transit spectroscopy observations of
this highly intriguing warm Neptune.",-0.18862398,-0.35931745,0.16614474,C
413,"With water
the order of several percent at the line center, making  present in its atmosphere, TOI-674 b is a good can-
this planet potentially interesting for helium 10830 ˚A  didate for further study to determine the other compo-
observations.",(2016)).,"nents of its atmosphere, as well as potential tracers of
                                                         atmospheric mass loss.",2022-01-11 21:02:15+00:00,A Mirage or an Oasis? Water Vapor in the Atmosphere of the Warm Neptune TOI-674 b,astro-ph.EP,['astro-ph.EP'],"[arxiv.Result.Author('Jonathan Brande'), arxiv.Result.Author('Ian J. M. Crossfield'), arxiv.Result.Author('Laura Kreidberg'), arxiv.Result.Author('Antonija Oklopčić'), arxiv.Result.Author('Alex S. Polanski'), arxiv.Result.Author('Travis Barman'), arxiv.Result.Author('Björn Benneke'), arxiv.Result.Author('Jessie L. Christiansen'), arxiv.Result.Author('Diana Dragomir'), arxiv.Result.Author('Daniel Foreman-Mackey'), arxiv.Result.Author('Jonathan J. Fortney'), arxiv.Result.Author('Thomas P. Greene'), arxiv.Result.Author('Andrew W. Howard'), arxiv.Result.Author('Heather A. Knutson'), arxiv.Result.Author('Joshua D. Lothringer'), arxiv.Result.Author('Thomas Mikal-Evans'), arxiv.Result.Author('Caroline V. Morley')]","We report observations of the recently discovered super-Neptune TOI-674 b
(5.25 Earth radii, 23.6 Earth mass) with the Hubble Space Telescope's Wide
Field Camera 3 instrument. TOI-674 b is deep into the Neptune desert, an
observed paucity of Neptune-size exoplanets at short orbital periods. Planets
in the desert are thought to have complex evolutionary histories due to
photoevaporative mass loss or orbital migration, making identifying the
constituents of their atmospheres critical to understanding their origins. We
obtained near-infrared transmission spectroscopy of the planet's atmosphere
with the G141 grism, which we detrended and fit. After extracting the
transmission spectrum from the data, we used the petitRADTRANS atmospheric
spectral synthesis code to perform retrievals on the planet's atmosphere to
identify which absorbers are present. These results show evidence for increased
absorption at 1.4 $\mu$m due to water vapor at $2.1\sigma$ (Bayes factor =
3.2). With these results, TOI-674 b joins the exclusive club of exoplanets with
featured transmission spectra. TOI-674 b is a strong candidate for further
study to refine the water abundance, which is poorly constrained by our data.
We also incorporated new TESS short-cadence optical photometry, as well as
Spitzer/IRAC data, and re-fit the transit parameters for the planet. We find
the planet to have the following transit parameters: $R_p/R_* =
0.1135\pm0.0006$, $T_0 = 2458544.523792\pm0.000452$ BJD, and $P =
1.977198\pm0.00007$ d. These measurements refine the planet radius estimate and
improve the orbital ephemerides for future transit spectroscopy observations of
this highly intriguing warm Neptune.",-0.08119863,-0.24355653,0.02377832,C
414,"TOI-674 b is a strong candidate
                                                       for further study to reﬁne the water abundance, which is poorly constrained by our data.","These results show moderate evidence
                                                       for increased absorption at 1.4 µm due to water vapor at 2.9σ (Bayes factor = 15.8), as well as weak
                                                       evidence for the presence of clouds at 2.2σ (Bayes factor = 4.0).","We also
                                                       incorporated new TESS short-cadence optical photometry, as well as Spitzer/IRAC data, and re-ﬁt
                                                       the transit parameters for the planet.",2022-01-11 21:02:15+00:00,A Mirage or an Oasis? Water Vapor in the Atmosphere of the Warm Neptune TOI-674 b,astro-ph.EP,['astro-ph.EP'],"[arxiv.Result.Author('Jonathan Brande'), arxiv.Result.Author('Ian J. M. Crossfield'), arxiv.Result.Author('Laura Kreidberg'), arxiv.Result.Author('Antonija Oklopčić'), arxiv.Result.Author('Alex S. Polanski'), arxiv.Result.Author('Travis Barman'), arxiv.Result.Author('Björn Benneke'), arxiv.Result.Author('Jessie L. Christiansen'), arxiv.Result.Author('Diana Dragomir'), arxiv.Result.Author('Daniel Foreman-Mackey'), arxiv.Result.Author('Jonathan J. Fortney'), arxiv.Result.Author('Thomas P. Greene'), arxiv.Result.Author('Andrew W. Howard'), arxiv.Result.Author('Heather A. Knutson'), arxiv.Result.Author('Joshua D. Lothringer'), arxiv.Result.Author('Thomas Mikal-Evans'), arxiv.Result.Author('Caroline V. Morley')]","We report observations of the recently discovered warm Neptune TOI-674 b
(5.25 \rearth{}, 23.6 \mearth{}) with the Hubble Space Telescope's Wide Field
Camera 3 instrument. TOI-674 b is in the Neptune desert, an observed paucity of
Neptune-size exoplanets at short orbital periods. Planets in the desert are
thought to have complex evolutionary histories due to photoevaporative mass
loss or orbital migration, making identifying the constituents of their
atmospheres critical to understanding their origins. We obtained near-infrared
transmission spectroscopy of the planet's atmosphere with the G141 grism. After
extracting, detrending, and fitting the spectral lightcurves to measure the
planet's transmission spectrum, we used the petitRADTRANS atmospheric spectral
synthesis code to perform retrievals on the planet's atmosphere to identify
which absorbers are present. These results show moderate evidence for increased
absorption at 1.4 $\mu$m due to water vapor at 2.9$\sigma$ (Bayes factor =
15.8), as well as weak evidence for the presence of clouds at 2.2$\sigma$
(Bayes factor = 4.0). TOI-674 b is a strong candidate for further study to
refine the water abundance, which is poorly constrained by our data. We also
incorporated new TESS short-cadence optical photometry, as well as Spitzer/IRAC
data, and re-fit the transit parameters for the planet. We find the planet to
have the following transit parameters: $R_p/R_* = 0.1135\pm0.0006$, $T_0 =
2458544.523792\pm0.000452$ BJD, and $P = 1.977198\pm0.00007$ d. These
measurements refine the planet radius estimate and improve the orbital
ephemerides for future transit spectroscopy observations of this highly
intriguing warm Neptune.",0.004473076,-0.36148304,0.18375951,A
415,"This work was
TOI-674 b is a good candidate for further study to deter-  supported in part by a grant from the NASA Interdis-
mine the other components of its atmosphere, as well as    ciplinary Consortia for Astrobiology Research (ICAR).","With water present in its atmosphere,      ful assistance with petitRADTRANS.",potential tracers of atmospheric mass loss.,2022-01-11 21:02:15+00:00,A Mirage or an Oasis? Water Vapor in the Atmosphere of the Warm Neptune TOI-674 b,astro-ph.EP,['astro-ph.EP'],"[arxiv.Result.Author('Jonathan Brande'), arxiv.Result.Author('Ian J. M. Crossfield'), arxiv.Result.Author('Laura Kreidberg'), arxiv.Result.Author('Antonija Oklopčić'), arxiv.Result.Author('Alex S. Polanski'), arxiv.Result.Author('Travis Barman'), arxiv.Result.Author('Björn Benneke'), arxiv.Result.Author('Jessie L. Christiansen'), arxiv.Result.Author('Diana Dragomir'), arxiv.Result.Author('Daniel Foreman-Mackey'), arxiv.Result.Author('Jonathan J. Fortney'), arxiv.Result.Author('Thomas P. Greene'), arxiv.Result.Author('Andrew W. Howard'), arxiv.Result.Author('Heather A. Knutson'), arxiv.Result.Author('Joshua D. Lothringer'), arxiv.Result.Author('Thomas Mikal-Evans'), arxiv.Result.Author('Caroline V. Morley')]","We report observations of the recently discovered warm Neptune TOI-674 b
(5.25 \rearth{}, 23.6 \mearth{}) with the Hubble Space Telescope's Wide Field
Camera 3 instrument. TOI-674 b is in the Neptune desert, an observed paucity of
Neptune-size exoplanets at short orbital periods. Planets in the desert are
thought to have complex evolutionary histories due to photoevaporative mass
loss or orbital migration, making identifying the constituents of their
atmospheres critical to understanding their origins. We obtained near-infrared
transmission spectroscopy of the planet's atmosphere with the G141 grism. After
extracting, detrending, and fitting the spectral lightcurves to measure the
planet's transmission spectrum, we used the petitRADTRANS atmospheric spectral
synthesis code to perform retrievals on the planet's atmosphere to identify
which absorbers are present. These results show moderate evidence for increased
absorption at 1.4 $\mu$m due to water vapor at 2.9$\sigma$ (Bayes factor =
15.8), as well as weak evidence for the presence of clouds at 2.2$\sigma$
(Bayes factor = 4.0). TOI-674 b is a strong candidate for further study to
refine the water abundance, which is poorly constrained by our data. We also
incorporated new TESS short-cadence optical photometry, as well as Spitzer/IRAC
data, and re-fit the transit parameters for the planet. We find the planet to
have the following transit parameters: $R_p/R_* = 0.1135\pm0.0006$, $T_0 =
2458544.523792\pm0.000452$ BJD, and $P = 1.977198\pm0.00007$ d. These
measurements refine the planet radius estimate and improve the orbital
ephemerides for future transit spectroscopy observations of this highly
intriguing warm Neptune.",0.017784242,-0.2259705,-0.004277647,A
995,"The concept warrants further study with more
compared to direct imaging approaches.","I ﬁnd that such a mission is feasible
   The DRAKE mission is built around using transit spectroscopy to       under certain conditions and is therefore a viable alternative to direct
obtain atmospheric spectra and as such has a number of limitations       imaging approaches.","The ﬁrst is that any sample       advanced instrumental design and noise modelling, together with
will be inevitably biased in terms of stellar type.",2022-01-25 10:33:38+00:00,The DRAKE mission: finding the frequency of life in the Cosmos,astro-ph.EP,"['astro-ph.EP', 'astro-ph.IM']",[arxiv.Result.Author('Subhajit Sarkar')],"In the search for life in the Universe, exoplanets represent numerous natural
experiments in planet formation, evolution, and the emergence of life. This
raises the fascinating prospect of evaluating cosmic life on a statistical
basis. One key statistic is the occurrence rate of life-bearing worlds, $f_{\rm
L}$, the 'frequency of life' term in the famous Drake Equation. Measuring
$f_{\rm L}$ would give profound insight into how common life is and may help to
constrain origin-of-life theories. I propose $f_{\rm L}$ as the goal for the
DRAKE mission (Dedicated Research for Advancing Knowledge of Exobiology): a
transit spectroscopy survey of M-dwarf habitable zone terrestrial planets. I
investigate how the uncertainty on the observed value of $f_{\rm L}$ scales
with sample size. I determine that sampling error dominates over observational
error and that the uncertainty is a function of the observed $f_{\rm L}$ value.
I show that even small sample sizes can provide significant constraints on
$f_{\rm L}$, boding well for the transit spectroscopy approach. I perform a
feasibility study of the DRAKE mission using a nominal instrument design and
mission plan. Due to low observing efficiencies, DRAKE may need to be
incorporated into a wider-ranging deep-space or lunar observatory. A 50-planet
survey could constrain $f_{\rm L}$ to $\leq$ 0.06 (at 95% confidence) if the
sample $f_{\rm L}$ = 0, or 0.03-0.2 if the sample $f_{\rm L}$ = 0.1. This can
be achieved (on average) in 10 years using a 17-m telescope with an
unrestricted field-of-regard. DRAKE is a viable approach to attempting the
first experimental measurement of $f_{\rm L}$.",-0.15702352,-0.14427358,0.222186,C
1304,"That signal is likely to be a false
positive—indeed, we expect to see more than one false positive above the 5% FAL given that our coherence estimate
has a frequency range far greater than 20 resolution units—but further study of the GJ 581 system that incorporates
other activity indicators might be useful.",The band centered on planet b includes a signal that rises above the 5% FAL.,The strong signals at the rotation harmonics in Figures 11 and 13 suggest that GJ 581 has a complex rotation signal.,2022-01-31 16:40:00+00:00,Magnitude-squared coherence: A powerful tool for disentangling Doppler planet discoveries from stellar activity,astro-ph.EP,"['astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR', 'stat.ME']","[arxiv.Result.Author('Sarah E. Dodson-Robinson'), arxiv.Result.Author('Victor Ramirez Delgado'), arxiv.Result.Author('Justin Harrell'), arxiv.Result.Author('Charlotte Haley')]","If Doppler searches for earth-mass, habitable planets are to succeed,
observers must be able to identify and model out stellar activity signals. Here
we demonstrate how to diagnose activity signals by calculating the
magnitude-squared coherence $\hat{C}^2_{xy}(f)$ between an activity indicator
time series $x_t$ and the radial velocity (RV) time series $y_t$. Since planets
only cause modulation in RV, not in activity indicators, a high value of
$\hat{C}^2_{xy}(f)$ indicates that the signal at frequency $f$ has a stellar
origin. We use Welch's method to measure coherence between activity indicators
and RVs in archival observations of GJ 581, alpha Cen B, and GJ 3998. High
RV-H$\alpha$ coherence at the frequency of GJ 3998 b, and high RV-S index
coherence at the frequency of GJ 3998 c, indicate that the planets may actually
be stellar signals. We also replicate previous results showing that GJ 581 d
and g are rotation harmonics and demonstrate that alpha Cen B has activity
signals that are not associated with rotation. Welch's power spectrum estimates
have cleaner spectral windows than Lomb-Scargle periodograms, improving our
ability to estimate rotation periods. We find that the rotation period of GJ
581 is 132 days, with no evidence of differential rotation. Welch's method may
yield unacceptably large bias for datasets with $N < 75$ observations and works
best on datasets with $N > 100$. Tapering the time-domain data can reduce the
bias of the Welch's power spectrum estimator, but observers should not apply
tapers to datasets with extremely uneven observing cadence. A software package
for calculating magnitude-squared coherence and Welch's power spectrum
estimates is available on github.",-0.108209945,0.07964847,0.30306277,C
