Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
27,"Therefore, we shall obtain the compact
star structure before further studying the equations of motion of the PBH.","Structure of Compact Stars

  The dynamical friction and accretion explicitly depend on ρ and cs.","The structure of a non-rotating
compact star is available by solving the Tolman-Oppenheimer-Volkoff equation (Tolman 1939; Oppen-
heimer & Volkoff 1939)

dP     Mr                                P     4πr3P   2Mr −1
dr = − r2 ρ 1 + ρ 1 + Mr 1 − r , (7)
4     ZOU & HUANG

   8               1

                                                                             0.8
   6

                                                                             0.6
   4

                                                                             0.4

   2
                                                                             0.2

                  0
                                    3 6 9 RSS 12 RNS

Figure 1.",2022-01-02 15:42:22+00:00,Gravitational Wave Emission from a Primordial Black Hole Inspiraling inside a Compact Star: a Novel Probe for Dense Matter Equation of State,astro-ph.HE,"['astro-ph.HE', 'gr-qc']","[arxiv.Result.Author('Ze-Cheng Zou'), arxiv.Result.Author('Yong-Feng Huang')]","Primordial black holes of planetary masses captured by compact stars are
widely studied to constrain their composition fraction of dark matter. Such a
capture may lead to an inspiral process and be detected through gravitational
wave signals. In this Letter, we study the post-capture inspiral process by
considering two different kinds of compact stars, i.e., strange stars and
neutron stars. The dynamical equations are numerically solved and the
gravitational wave emission is calculated. It is found that the next generation
gravitational wave detectors can detect the inspiraling of a $10^{-5}\,M_\odot$
primordial black hole at a distance of 1 kpc. A Jovian-mass case can even be
detected at megaparsecs. Moreover, the kilohertz gravitational wave signal
shows significant differences for strange stars and neutron stars, potentially
making it a novel probe to the dense matter equation of state.",0.4579505,-0.009911247,-0.10668039,B
28,"Therefore, we shall obtain the compact

star structure before further studying the equations of motion of the PBH.","Structure of Compact Stars

   The dynamical friction and accretion explicitly depend on ρ and cs.","The structure of a non-rotating

compact star is available by solving the Tolman-Oppenheimer-Volkoff equation (Tolman 1939; Oppen-

heimer & Volkoff 1939)

                        dP               Mr  P  4πr3P                         2Mr −1
                        dr = − r2 ρ 1 + ρ 1 + Mr 1 − r , (7)

where P is the pressure, and Mr is the mass within the radius r so that dMr/dr = 4πr2ρ.",2022-01-02 15:42:22+00:00,Gravitational Wave Emission from a Primordial Black Hole Inspiraling inside a Compact Star: a Novel Probe for Dense Matter Equation of State,astro-ph.HE,"['astro-ph.HE', 'gr-qc']","[arxiv.Result.Author('Ze-Cheng Zou'), arxiv.Result.Author('Yong-Feng Huang')]","Primordial black holes of planetary masses captured by compact stars are
widely studied to constrain their composition fraction of dark matter. Such a
capture may lead to an inspiral process and be detected through gravitational
wave signals. In this Letter, we study the post-capture inspiral process by
considering two different kinds of compact stars, i.e., strange stars and
neutron stars. The dynamical equations are numerically solved and the
gravitational wave emission is calculated. It is found that the Advanced LIGO
can detect the inspiraling of a $10^{-5}$ solar mass primordial black hole at a
distance of 10 kpc, while a Jovian-mass case can even be detected at
megaparsecs. Promisingly, the next generation gravitational wave detectors can
detect the cases of $10^{-5}$ solar mass primordial black holes up to $\sim1$
Mpc, and can detect Jovian-mass cases at several hundred megaparsecs. Moreover,
the kilohertz gravitational wave signal shows significant differences for
strange stars and neutron stars, potentially making it a novel probe to the
dense matter equation of state.",0.4793369,-0.0034295674,-0.10575266,B
29,"Therefore, we shall obtain the compact

star structure before further studying the equations of motion of the PBH.","Structure of Compact Stars

   The dynamical friction and accretion explicitly depend on ρ and cs.","The structure of a non-rotating

compact star is available by solving the Tolman-Oppenheimer-Volkoff equation (Tolman 1939; Oppen-

heimer & Volkoff 1939)

                        dP               Mr  P  4πr3P                         2Mr −1
                        dr = − r2 ρ 1 + ρ 1 + Mr 1 − r , (7)

where P is the pressure, and Mr is the mass within the radius r so that dMr/dr = 4πr2ρ.",2022-01-02 15:42:22+00:00,Gravitational-wave Emission from a Primordial Black Hole Inspiraling inside a Compact Star: a Novel Probe for Dense Matter Equation of State,astro-ph.HE,"['astro-ph.HE', 'gr-qc']","[arxiv.Result.Author('Ze-Cheng Zou'), arxiv.Result.Author('Yong-Feng Huang')]","Primordial black holes of planetary masses captured by compact stars are
widely studied to constrain their composition fraction of dark matter. Such a
capture may lead to an inspiral process and be detected through gravitational
wave signals. In this Letter, we study the post-capture inspiral process by
considering two different kinds of compact stars, i.e., strange stars and
neutron stars. The dynamical equations are numerically solved and the
gravitational wave emission is calculated. It is found that the Advanced LIGO
can detect the inspiraling of a $10^{-5}$ solar mass primordial black hole at a
distance of 10 kpc, while a Jovian-mass case can even be detected at
megaparsecs. Promisingly, the next generation gravitational wave detectors can
detect the cases of $10^{-5}$ solar mass primordial black holes up to $\sim1$
Mpc, and can detect Jovian-mass cases at several hundred megaparsecs. Moreover,
the kilohertz gravitational wave signal shows significant differences for
strange stars and neutron stars, potentially making it a novel probe to the
dense matter equation of state.",0.4793369,-0.0034295674,-0.10575266,B
99,"It could be caused by
a change in the geometry of the region of X-ray radiation - this and other
possible hypotheses requires further research.","Aproximation results

                                Line        a                                                          b        error

                                [OIII] 0.339 ± 0.045 25.950 ± 1.898 0.475

                                Hα 0.344 ± 0.039 25.680 ± 1.642 0.411

    It turned out that for low-mass black holes the slope of the regression is much
smaller than for the sample of supermassive black holes.","However, it is already clear that
these correlations are extremely useful - it can be used to estimate the X-ray
luminosity for calculating the exposures necessary to accumulate a suﬃcient
number of photons for spectral analysis.",2022-01-04 10:35:31+00:00,Confirmation of intermediate-mass black holes candidates with X-ray observations,astro-ph.HE,"['astro-ph.HE', 'astro-ph.GA']","[arxiv.Result.Author('Victoria Toptun'), arxiv.Result.Author('Igor Chilingarian'), arxiv.Result.Author('Kirill Grishin'), arxiv.Result.Author('Ivan Katkov'), arxiv.Result.Author('Ivan Zolotukhin'), arxiv.Result.Author('Vladimir Goradzhanov'), arxiv.Result.Author('Mariia Demianenko'), arxiv.Result.Author('Ivan Kuzmun')]","The origin of supermassive black holes (SMBH) in galaxy centers still remains
uncertain. There are two possible ways of their formation - from massive ($10^5
- 10^6 M_{\odot}$) and low-mass ($100 M_{\odot}$) BH nuclei. The latter
scenario should leave behind a large number of intermediate mass black holes
(IMBH, $10^2 - 10^5 M_{\odot}$). The largest published sample of bona-fide
IMBH-powered AGN contains 10 objects confirmed in X-ray. Here we present a new
sample of 15 bona-fide IMBHs, obtained by confirming the optically selected
IMBH candidates by the presence of radiation from the galactic nucleus in the
X-ray range, which increases the number of confirmed IMBHs at the centers of
galaxies by 2.5 times. In the same way, 99 black holes with masses of
$2\cdot10^5 - 10^6 M_{\odot}$ were confirmed. The sources of X-ray data were
publicly available catalogs, archives of data, and our own observations on
XMM-Newton, Chandra and Swift. The Eddington coefficients for 30% of the
objects from both samples turned out to be close to critical, from 0.5 to 1,
which is an unusually high fraction. Also for the first time for light-weight
SMBH the correlations between the luminosity in the [OIII] emission line or the
broad component of the $H\alpha$ line and the luminosity in the X-ray range
were plotted.",-0.08375012,-0.17061304,0.052803732,C
222,"(2020) and on        further study the impact of the pair-to-proton ratio to jet evolution
the recent X-ray observations of Hailey et al.","We aim to
on the population-synthesis results of Olejak, A. et al.",(2018) and Mori et al.,2022-01-07 09:51:39+00:00,The prototype X-ray binary GX 339-4: using TeV gamma-rays to assess LMXBs as Galactic cosmic ray accelerators,astro-ph.HE,['astro-ph.HE'],"[arxiv.Result.Author('D. Kantzas'), arxiv.Result.Author('S. Markoff'), arxiv.Result.Author('M. Lucchini'), arxiv.Result.Author('C. Ceccobello'), arxiv.Result.Author('V. Grinberg'), arxiv.Result.Author('R. M. T. Connors'), arxiv.Result.Author('P. Uttley')]","Since the discovery of cosmic rays (CRs) over a century ago, their origin
remains an open question. Galactic CRs with energy up to the knee ($10^{15}$
eV) are considered to originate from supernova remnants, but this scenario has
recently been questioned due to lack of TeV $\gamma$-ray counterparts in many
cases. Extragalactic CRs on the other hand, are thought to be associated with
accelerated particles in the relativistic jets launched by supermassive
accreting black holes at the center of galaxies. Scaled down versions of such
jets have been detected in X-ray binaries hosting a stellar black hole (BHXBs).
In this work, we investigate the possibility that the smaller-scale jets in
transient outbursts of low-mass BHXBs could be sources of Galactic CRs. To
better test this scenario, we model the entire electromagnetic spectrum of such
sources focusing on the potential TeV regime, using the `canonical' low-mass
BHXB GX 339-4 as a benchmark. Taking into account both the leptonic radiative
processes and the $\gamma$-rays produced via neutral pion decay from inelastic
hadronic interactions, we predict the GeV and TeV $\gamma$-ray spectrum of GX
339-4 using lower-frequency emission as constraints. Based on this test-case of
GX 339-4 we investigate whether other, nearby low-mass BHXBs could be detected
by the next-generation very-high-energy $\gamma$-ray facility the Cherenkov
Telescope Array, which would establish them as additional and numerous
potential sources of CRs in the Galaxy.",-0.043246992,-0.24965204,-0.08441371,C
356,"Each
                                                                   stage requires further study and is left for future work.","tragalactic magnetic ﬁeld will be coupled to the composition
                                                                   of heavy nuclei that are synthesized near the source.","5 SUMMARY AND CONCLUSION                                           ACKNOWLEDGEMENTS

We performed a numerical study of the nucleosynthe-                We thank Kohta Murase, David Radice and Yudai Suwa
sis of protomagnetar outﬂows to systematically probe the           for useful discussions.",2022-01-10 19:00:02+00:00,Systematic exploration of heavy element nucleosynthesis in protomagnetar outflows,astro-ph.HE,"['astro-ph.HE', 'astro-ph.SR']","[arxiv.Result.Author('Nick Ekanger'), arxiv.Result.Author('Mukul Bhattacharya'), arxiv.Result.Author('Shunsaku Horiuchi')]","We study the nucleosynthesis products in neutrino-driven winds from rapidly
rotating, highly magnetised and misaligned protomagnetars using the nuclear
reaction network SkyNet. We adopt a semi-analytic parameterized model for the
protomagnetar and systematically study the capabilities of its neutrino-driven
wind for synthesizing nuclei and eventually producing ultra-high energy cosmic
rays (UHECRs). We find that for neutron-rich outflows ($Y_e<0.5$), synthesis of
heavy elements ($\overline{A}\sim 20-65$) is possible during the first $\sim
10$ seconds of the outflow, but these nuclei are subjected to
composition-altering photodisintegration during the epoch of particle
acceleration at the dissipation radii. However, after the first $\sim 10$
seconds of the outflow, nucleosynthesis reaches lighter elements
($\overline{A}\sim 10-50$) that are not subjected to subsequent
photodisintegration. For proton-rich ($Y_e \geq 0.5$) outflows, synthesis is
more limited ($\overline{A}\sim 4-15$). These suggest that while protomagnetars
typically do not synthesize nuclei heavier than second r-process peak elements,
they are intriguing sources of intermediate/heavy mass UHECRs. For all
configurations, the most rapidly rotating protomagnetars are more conducive for
nucleosynthesis with a weaker dependence on the magnetic field strength.",0.2165182,-0.013067219,-0.13517247,B
357,"Each          Series, 189, 240
stage requires further study and is left for future work.","Uncertainties in features like the ex-          physical Journal, 919, 59
tragalactic magnetic ﬁeld will be coupled to the composition   Cybert R. H., et al., 2010, The Astrophysical Journal Supplement
of heavy nuclei that are synthesized near the source.","Côté B., et al., 2018, The Astrophysical Journal, 855, 99
                                                               Drenkhahn G., 2002, A&A, 387, 714
ACKNOWLEDGEMENTS                                               Drenkhahn G., Spruit H. C., 2002, A&A, 391, 1141
                                                               Duncan R. C., Thompson C., 1992, ApJL, 392, L9
We thank Kohta Murase, David Radice and Yudai Suwa             Fang K., Kotera K., Olinto A. V., 2012, The Astrophysical Jour-
for useful discussions.",2022-01-10 19:00:02+00:00,Systematic exploration of heavy element nucleosynthesis in protomagnetar outflows,astro-ph.HE,"['astro-ph.HE', 'astro-ph.SR']","[arxiv.Result.Author('Nick Ekanger'), arxiv.Result.Author('Mukul Bhattacharya'), arxiv.Result.Author('Shunsaku Horiuchi')]","We study the nucleosynthesis products in neutrino-driven winds from rapidly
rotating, highly magnetised and misaligned protomagnetars using the nuclear
reaction network SkyNet. We adopt a semi-analytic parametrized model for the
protomagnetar and systematically study the capabilities of its neutrino-driven
wind for synthesizing nuclei and eventually producing ultra-high energy cosmic
rays (UHECRs). We find that for neutron-rich outflows ($Y_e<0.5$), synthesis of
heavy elements ($\overline{A}\sim 20-65$) is possible during the first $\sim
10$ seconds of the outflow, but these nuclei are subjected to
composition-altering photodisintegration during the epoch of particle
acceleration at the dissipation radii. However, after the first $\sim 10$
seconds of the outflow, nucleosynthesis reaches lighter elements
($\overline{A}\sim 10-50$) that are not subjected to subsequent
photodisintegration. For proton-rich ($Y_e \geq 0.5$) outflows, synthesis is
more limited ($\overline{A}\sim 4-15$). These suggest that while protomagnetars
typically do not synthesize nuclei heavier than second r-process peak elements,
they are intriguing sources of intermediate/heavy mass UHECRs. For all
configurations, the most rapidly rotating protomagnetars are more conducive for
nucleosynthesis with a weaker dependence on the magnetic field strength.",0.14045191,-0.12914754,-0.15576924,B
358,"The “best” model is shown with a                                                           system may be especially valuable for further study due
thick blue line, where all the model values are consistent with                                                   to its precise parallax, allowing an unusually accurate
the observations at a single age (vertical shaded region).","This
from our observations.",determination of the luminosity of the source.,2022-01-10 19:00:30+00:00,4FGL J1120.0-2204: A Unique Gamma-ray Bright Neutron Star Binary with an Extremely Low Mass Proto-White Dwarf,astro-ph.HE,['astro-ph.HE'],"[arxiv.Result.Author('Samuel J. Swihart'), arxiv.Result.Author('Jay Strader'), arxiv.Result.Author('Elias Aydi'), arxiv.Result.Author('Laura Chomiuk'), arxiv.Result.Author('Kristen C. Dage'), arxiv.Result.Author('Adam Kawash'), arxiv.Result.Author('Kirill V. Sokolovsky'), arxiv.Result.Author('Elizabeth C. Ferrara')]","We have discovered a new X-ray emitting compact binary that is the likely
counterpart to the unassociated Fermi-LAT GeV $\gamma$-ray source 4FGL
J1120.0-2204, the second brightest Fermi source that still remains formally
unidentified. Using optical spectroscopy with the SOAR telescope, we have
identified a warm ($T_{\textrm{eff}}\sim8500$ K) companion in a 15.1-hr orbit
around an unseen primary, which is likely a yet-undiscovered millisecond
pulsar. A precise Gaia parallax shows the binary is nearby, at a distance of
only $\sim 820$ pc. Unlike the typical ""spider"" or white dwarf secondaries in
short-period millisecond pulsar binaries, our observations suggest the $\sim
0.17\,M_{\odot}$ companion is in an intermediate stage, contracting on the way
to becoming an extremely low-mass helium white dwarf (a ""pre-ELM"" white dwarf).
Although the companion is apparently unique among confirmed or candidate
millisecond pulsar binaries, we use binary evolution models to show that in
$\sim 2$ Gyr, the properties of the binary will match those of several
millisecond pulsar-white dwarf binaries with very short ($< 1$ d) orbital
periods. This makes 4FGL J1120.0-2204 the first system discovered in the
penultimate phase of the millisecond pulsar recycling process.",-0.17444173,-0.042698342,0.15990159,A
361,further study.,"This fre-
                                                             quency fl is important for the ﬂux analysis and worth
frequency space.","We also have fR(0.13M⊙) = 6.3mHz and
   During the outspiral phase, the donor continuously        fR(0.17M⊙) = 8.2mHz for two diﬀerent masses.",2022-01-10 22:58:49+00:00,Measuring the Galactic Binary Fluxes with LISA: Metamorphoses and Disappearances of White Dwarf Binaries,astro-ph.HE,"['astro-ph.HE', 'gr-qc']",[arxiv.Result.Author('Naoki Seto')],"The space gravitational wave detector LISA is expected to detect $\sim10^4$
of nearly monochromatic binaries, after $\sim 10$\.yr operation. We propose to
measure the inspiral/outspiral binary fluxes in the frequency space, by
processing tiny frequency drifts of these numerous binaries. Rich astrophysical
information is encoded in the frequency dependencies of the two fluxes, and we
can read the long-term evolution of white dwarf binaries, resulting in
metamorphoses or disappearances. This measurement will thus help us to deepen
our understanding on the strongly interacting exotic objects. Using a
simplified model for the frequency drift speeds, we discuss the primary aspects
of the flux measurement, including the prospects with LISA.",-0.0080801025,0.23285818,-0.14817405,A
792,"This suggestion requires
                                                                further study by hydrodynamical simulations.",4).,4.4.,2022-01-19 17:07:51+00:00,A common envelope jets supernova (CEJSN) impostor scenario for fast blue optical transients,astro-ph.HE,['astro-ph.HE'],[arxiv.Result.Author('Noam Soker')],"I propose a new scenario, the polar common envelope jets supernova (CEJSN)
impostor scenario, to account for AT2018cow-like fast blue optical transients
(FBOTs). The polar CEJSN impostor scenario evolves through four main phases.
(1) A red supergiant (RSG) star expands to tidally interact with a neutron star
(NS) companion (or a black hole). The interaction increases the RSG mass loss
rate to form a circumstellar matter (CSM) halo to r~0.1pc. (2) Shortly before
the onset of a common envelope evolution (CEE) and about a year before
explosion the NS accretes mass from the RSG envelope and launches jets that
inflate two opposite lobes in the CSM within ~100AU. (3) The NS-RSG system
enters a CEE phase during which the system ejects most of the envelope mass in
a dense equatorial outflow. (4) At the termination of the CEE the leftover
envelope forms a circumbinary disk around the NS-core system. The NS accretes
mass from the circumbinary disk and launches energetic jets that when collide
with the fronts of the CSM lobes power an FBOT event. The low mass of the
jets-lobes interaction zones and their large distance, of about 100AU, from the
center account for the fast transient. In the future the core collapses to form
a second NS. In the far future the two NS might merge. I suggest that FBOTs and
similar fast transients are CEJSN impostors which compose a large fraction of
the progenitors of NS-NS merger binaries.",0.47169954,0.31445858,-0.062217355,B
