Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
112,"Kemp, J. C.; Barbour, M. S.; McBirney, R. E.; Rudy, R. J. Algol : a further study of the optical polarization.","40 of 40

236.","ApJ 1981, 243, 557–566.",2022-01-04 16:54:28+00:00,"Eclipsing Binaries in Dynamically Interacting Close, Multiple Systems",astro-ph.SR,['astro-ph.SR'],[arxiv.Result.Author('Tamás Borkovits')],"Close, compact, hierarchical, multiple stellar systems, i.e., multiples
having an outer orbital period from months to a few years, comprise a small,
but continuously growing group of the triple and multiple star zoo. Many of
them consist of at least one eclipsing pair of stars and, therefore, exhibit
readily observable short-term dynamical interactions among the components.
Thus, their dynamical and astrophysical properties can be explored with high
precision. In this paper we present an overview of the history of the search
for additional components around eclipsing binaries from the first
serendipitous discoveries to more systematic recent studies. We describe the
different observational detection methods and discuss their connections to the
different kinds of astrophysical and dynamical information that can be mined
from the different datasets. Moreover, the connection amongst the observable
phenomena and the long-term dynamics of such systems is also discussed.",0.1385553,-0.0069820844,-0.25184143,A
270,"The reason for this contra-
                                                                  diction is unknown and needs further study.","σr decreases,
wave packets as ﬁrst described by Kraichnan (1965), and           and the Els¨asser ratio |zout|/|zin| increases, contradict-
                                                                  ing our simulation results that σc declines and σr in-
hence it is determined by the background magnetic ﬁeld            creases at SIRs (Figure 2).",strength along the wave propagation direction.,2022-01-08 22:15:25+00:00,Influence of the heliospheric current sheet on the evolution of solar wind turbulence,astro-ph.SR,"['astro-ph.SR', 'physics.plasm-ph', 'physics.space-ph']","[arxiv.Result.Author('Chen Shi'), arxiv.Result.Author('Marco Velli'), arxiv.Result.Author('Anna Tenerani'), arxiv.Result.Author('Victor Réville'), arxiv.Result.Author('Franco Rappazzo')]","The effects of the heliospheric current sheet (HCS) on the evolution of
Alfv\'enic turbulence in the solar wind are studied using MHD simulations
incorporating the expanding-box-model (EBM). The simulations show that near the
HCS, the Alfv\'enicity of the turbulence decreases as manifested by lower
normalized cross helicity and larger excess of magnetic energy. The numerical
results are supported by a superposed-epoch analysis using OMNI data, which
shows that the normalized cross helicity decreases inside the plasma sheet
surrounding HCS, and the excess of magnetic energy is significantly enhanced at
the center of HCS. Our simulation results indicate that the decrease of
Alfv\'enicity around the HCS is due to the weakening of radial magnetic field
and the effects of the transverse gradient in the background magnetic field.
The magnetic energy excess in the turbulence may be a result of the loss of
Alfv\'enic correlation between velocity and magnetic field and the faster decay
of transverse kinetic energy with respect to magnetic energy in a spherically
expanding solar wind.",0.3913303,-0.2405038,0.091599055,A
271,"The reason for this contra-
                                                                                  diction is unknown and needs further study.","σr decreases,
                                                                                  and the Els¨asser ratio |zout|/|zin| increases, contradict-
                                                                                  ing our simulation results that σc declines and σr in-
                                                                                  creases at SIRs (Figure 2).",Figure 10.,2022-01-08 22:15:25+00:00,Influence of the heliospheric current sheet on the evolution of solar wind turbulence,astro-ph.SR,"['astro-ph.SR', 'physics.plasm-ph', 'physics.space-ph']","[arxiv.Result.Author('Chen Shi'), arxiv.Result.Author('Marco Velli'), arxiv.Result.Author('Anna Tenerani'), arxiv.Result.Author('Victor Réville'), arxiv.Result.Author('Franco Rappazzo')]","The effects of the heliospheric current sheet (HCS) on the evolution of
Alfv\'enic turbulence in the solar wind are studied using MHD simulations
incorporating the expanding-box-model (EBM). The simulations show that near the
HCS, the Alfv\'enicity of the turbulence decreases as manifested by lower
normalized cross helicity and larger excess of magnetic energy. The numerical
results are supported by a superposed-epoch analysis using OMNI data, which
shows that the normalized cross helicity decreases inside the plasma sheet
surrounding HCS, and the excess of magnetic energy is significantly enhanced at
the center of HCS. Our simulation results indicate that the decrease of
Alfv\'enicity around the HCS is due to the weakening of radial magnetic field
and the effects of the transverse gradient in the background magnetic field.
The magnetic energy excess in the turbulence may be a result of the loss of
Alfv\'enic correlation between velocity and magnetic field and the faster decay
of transverse kinetic energy with respect to magnetic energy in a spherically
expanding solar wind.",0.31782967,-0.39559883,0.06988189,A
550,"We choose several positions in     it is seen that the the line emission at red wing is obvi-
the ﬂare ribbons and loops (labeled Rx x and Lx x) for       ously enhanced, which may reﬂect the existence of some
further study, marked with black diamonds.","In Figure 4(c),
as described in Figure 1.",The line          downward-moving plasma with large velocities.,2022-01-14 05:12:00+00:00,Diagnosing the Optically Thick/Thin Features Using the Intensity Ratio of Si IV Resonance Lines in Solar Flares,astro-ph.SR,['astro-ph.SR'],"[arxiv.Result.Author('Yi-an Zhou'), arxiv.Result.Author('Jie Hong'), arxiv.Result.Author('Y. LI'), arxiv.Result.Author('M. D. Ding')]","In the optically thin regime, the intensity ratio of the two Si IV resonance
lines (1394 and 1403 \AA\ ) are theoretically the same as the ratio of their
oscillator strengths, which is exactly 2. Here, we study the ratio of the
integrated intensity of the Si IV lines ($R=\int
I_{1394}(\lambda)\mathrm{d}\lambda/\int I_{1403}(\lambda)\mathrm{d}\lambda$)
and the ratio of intensity at each wavelength point
($r(\Delta\lambda)=I_{1394}(\Delta\lambda)/I_{1403}(\Delta\lambda)$) in two
solar flares observed by the Interface Region Imaging Spectrograph. We find
that at flare ribbons, the ratio $R$ ranges from 1.8 to 2.3 and would generally
decrease when the ribbons sweep across the slit position. Besides, the
distribution of $r(\Delta\lambda)$ shows a descending trend from the blue wing
to the red wing. In loop cases, the Si IV line presents a wide profile with a
central reversal. The ratio $R$ deviates little from 2, but the ratio
$r(\Delta\lambda)$ can vary from 1.3 near the line center to greater than 2 in
the line wings. Hence we conclude that in flare conditions, the ratio
$r(\Delta\lambda)$ varies across the line, due to the variation of the opacity
at the line center and line wings. We notice that, although the ratio
$r(\Delta\lambda)$ could present a value which deviates from 2 as a result of
the opacity effect near the line center, the ratio $R$ is still close to 2.
Therefore, caution should be taken when using the ratio of the integrated
intensity of the Si IV lines to diagnose the opacity effect.",0.18640313,0.0066395607,-0.14585668,A
551,"Speciﬁc positions and horizontal cuts for further study are marked with black diamonds and red dashed lines,
respectively.","Panels (a)–(b) : The space-time maps of the intensity ratio R and the total intensity of the Si IV 1394 ˚A line for the

M7.3 solar ﬂare.","The contours indicate an intensity level of three times the average value of the total intensity of the Si IV 1394 ˚A
line over the quiet region.",2022-01-14 05:12:00+00:00,Diagnosing the Optically Thick/Thin Features Using the Intensity Ratio of Si IV Resonance Lines in Solar Flares,astro-ph.SR,['astro-ph.SR'],"[arxiv.Result.Author('Yi-an Zhou'), arxiv.Result.Author('Jie Hong'), arxiv.Result.Author('Y. LI'), arxiv.Result.Author('M. D. Ding')]","In the optically thin regime, the intensity ratio of the two Si IV resonance
lines (1394 and 1403 \AA\ ) are theoretically the same as the ratio of their
oscillator strengths, which is exactly 2. Here, we study the ratio of the
integrated intensity of the Si IV lines ($R=\int
I_{1394}(\lambda)\mathrm{d}\lambda/\int I_{1403}(\lambda)\mathrm{d}\lambda$)
and the ratio of intensity at each wavelength point
($r(\Delta\lambda)=I_{1394}(\Delta\lambda)/I_{1403}(\Delta\lambda)$) in two
solar flares observed by the Interface Region Imaging Spectrograph. We find
that at flare ribbons, the ratio $R$ ranges from 1.8 to 2.3 and would generally
decrease when the ribbons sweep across the slit position. Besides, the
distribution of $r(\Delta\lambda)$ shows a descending trend from the blue wing
to the red wing. In loop cases, the Si IV line presents a wide profile with a
central reversal. The ratio $R$ deviates little from 2, but the ratio
$r(\Delta\lambda)$ can vary from 1.3 near the line center to greater than 2 in
the line wings. Hence we conclude that in flare conditions, the ratio
$r(\Delta\lambda)$ varies across the line, due to the variation of the opacity
at the line center and line wings. We notice that, although the ratio
$r(\Delta\lambda)$ could present a value which deviates from 2 as a result of
the opacity effect near the line center, the ratio $R$ is still close to 2.
Therefore, caution should be taken when using the ratio of the integrated
intensity of the Si IV lines to diagnose the opacity effect.",0.09567279,0.06718401,-0.4004572,A
610,"Key components of
                                              this work, which are the parametrization model, dataset of sunspot groups and
                                              latent vectors, are available in the public GitHub repository https://github.com/
                                              observethesun/sunspot groups and can be used to reproduce the results and for
                                              further research.","The proposed
                                              parametrization model is generic and can be applied to investigation of other
                                              traces of solar activity observed in various spectrum lines.","Keywords: Sunspots, Data management, Statistics

                                                   E.A.",2022-01-15 12:19:42+00:00,Parametrization of sunspot groups based on machine learning approach,astro-ph.SR,"['astro-ph.SR', 'astro-ph.IM']","[arxiv.Result.Author('E. Illarionov'), arxiv.Result.Author('A. Tlatov')]","Sunspot groups observed in white-light appear as complex structures. Analysis
of these structures is usually based on simple morphological descriptors which
capture only generic properties and miss information about fine details. We
present a machine learning approach to introduce a complete yet compact
description of sunspot groups. The idea is to map sunspot group images into an
appropriate lower-dimensional (latent) space. We apply a combination of
Variational Autoencoder and Principal Component Analysis to obtain a set of 285
latent descriptors. We demonstrate that the standard descriptors are embedded
into the latent ones. Thus, latent features can be considered as an extended
description of sunspot groups and, in our opinion, can expand the possibilities
for the research on sunspot groups. In particular, we demonstrate an
application for estimation of the sunspot group complexity. The proposed
parametrization model is generic and can be applied to investigation of other
traces of solar activity observed in various spectrum lines. Key components of
this work, which are the parametrization model, dataset of sunspot groups and
latent vectors, are available in the public GitHub repository
https://github.com/observethesun/sunspot groups and can be used to reproduce
the results and for further research.",0.062465474,0.4607526,-0.37577027,C
611,"For further research it was useful to combine 3 binary masks into one patch,
where pixels have one of three values, 0, 1, or 2, with 0 representing photosphere
(background), 1 representing sunspots and pores, 2 is for sunspot cores.","Note that we also
provide meta information about the groups including its area, location, number
of spots and elongation.","Figure 1
shows a patch with a sunspot group.",2022-01-15 12:19:42+00:00,Parametrization of sunspot groups based on machine learning approach,astro-ph.SR,"['astro-ph.SR', 'astro-ph.IM']","[arxiv.Result.Author('E. Illarionov'), arxiv.Result.Author('A. Tlatov')]","Sunspot groups observed in white-light appear as complex structures. Analysis
of these structures is usually based on simple morphological descriptors which
capture only generic properties and miss information about fine details. We
present a machine learning approach to introduce a complete yet compact
description of sunspot groups. The idea is to map sunspot group images into an
appropriate lower-dimensional (latent) space. We apply a combination of
Variational Autoencoder and Principal Component Analysis to obtain a set of 285
latent descriptors. We demonstrate that the standard descriptors are embedded
into the latent ones. Thus, latent features can be considered as an extended
description of sunspot groups and, in our opinion, can expand the possibilities
for the research on sunspot groups. In particular, we demonstrate an
application for estimation of the sunspot group complexity. The proposed
parametrization model is generic and can be applied to investigation of other
traces of solar activity observed in various spectrum lines. Key components of
this work, which are the parametrization model, dataset of sunspot groups and
latent vectors, are available in the public GitHub repository
https://github.com/observethesun/sunspot groups and can be used to reproduce
the results and for further research.",0.009008404,0.320844,-0.26694983,C
612,"In order to propagate further research, we would like to note that the source
code for the model training as well as the dataset of sunspot groups and obtained
latent vectors are available in the public GitHub repository https://github.com/
observethesun/sunspot groups.","Thus it becomes possible to elaborate a data-driven magneto-morphological
classiﬁcation of sunspot groups as well as data-driven classiﬁcation of other traces
of solar activity.","Acknowledgments The authors are grateful to the reviewers for valuable comments and
suggestions.",2022-01-15 12:19:42+00:00,Parametrization of sunspot groups based on machine learning approach,astro-ph.SR,"['astro-ph.SR', 'astro-ph.IM']","[arxiv.Result.Author('E. Illarionov'), arxiv.Result.Author('A. Tlatov')]","Sunspot groups observed in white-light appear as complex structures. Analysis
of these structures is usually based on simple morphological descriptors which
capture only generic properties and miss information about fine details. We
present a machine learning approach to introduce a complete yet compact
description of sunspot groups. The idea is to map sunspot group images into an
appropriate lower-dimensional (latent) space. We apply a combination of
Variational Autoencoder and Principal Component Analysis to obtain a set of 285
latent descriptors. We demonstrate that the standard descriptors are embedded
into the latent ones. Thus, latent features can be considered as an extended
description of sunspot groups and, in our opinion, can expand the possibilities
for the research on sunspot groups. In particular, we demonstrate an
application for estimation of the sunspot group complexity. The proposed
parametrization model is generic and can be applied to investigation of other
traces of solar activity observed in various spectrum lines. Key components of
this work, which are the parametrization model, dataset of sunspot groups and
latent vectors, are available in the public GitHub repository
https://github.com/observethesun/sunspot groups and can be used to reproduce
the results and for further research.",0.011832593,0.47105157,-0.15246645,C
613,"Key components of
                                              this work, which are the parametrization model, dataset of sunspot groups and
                                              latent vectors, are available in the public GitHub repository https://github.com/
                                              observethesun/sunspot groups and can be used to reproduce the results and for
                                              further research.","The proposed
                                              parametrization model is generic and can be applied to investigation of other
                                              traces of solar activity observed in various spectrum lines.","Keywords: Sunspots, Data management, Statistics

                                                   E.A.",2022-01-15 12:19:42+00:00,Parametrization of sunspot groups based on machine learning approach,astro-ph.SR,"['astro-ph.SR', 'astro-ph.IM']","[arxiv.Result.Author('Egor Illarionov'), arxiv.Result.Author('Andrey Tlatov')]","Sunspot groups observed in white-light appear as complex structures. Analysis
of these structures is usually based on simple morphological descriptors which
capture only generic properties and miss information about fine details. We
present a machine learning approach to introduce a complete yet compact
description of sunspot groups. The idea is to map sunspot group images into an
appropriate lower-dimensional (latent) space. We apply a combination of
Variational Autoencoder and Principal Component Analysis to obtain a set of 285
latent descriptors. We demonstrate that the standard descriptors are embedded
into the latent ones. Thus, latent features can be considered as an extended
description of sunspot groups and, in our opinion, can expand the possibilities
for the research on sunspot groups. In particular, we demonstrate an
application for estimation of the sunspot group complexity. The proposed
parametrization model is generic and can be applied to investigation of other
traces of solar activity observed in various spectrum lines. Key components of
this work, which are the parametrization model, dataset of sunspot groups and
latent vectors, are available in the public GitHub repository
github.com/observethesun/sunspot_groups and can be used to reproduce the
results and for further research.",0.062465474,0.4607526,-0.37577027,C
614,"For further research it was useful to combine 3 binary masks into one patch,
where pixels have one of three values, 0, 1, or 2, with 0 representing photosphere
(background), 1 representing sunspots and pores, 2 is for sunspot cores.","Note that we also
provide meta information about the groups including its area, location, number
of spots and elongation.","Figure 1
shows a patch with a sunspot group.",2022-01-15 12:19:42+00:00,Parametrization of sunspot groups based on machine learning approach,astro-ph.SR,"['astro-ph.SR', 'astro-ph.IM']","[arxiv.Result.Author('Egor Illarionov'), arxiv.Result.Author('Andrey Tlatov')]","Sunspot groups observed in white-light appear as complex structures. Analysis
of these structures is usually based on simple morphological descriptors which
capture only generic properties and miss information about fine details. We
present a machine learning approach to introduce a complete yet compact
description of sunspot groups. The idea is to map sunspot group images into an
appropriate lower-dimensional (latent) space. We apply a combination of
Variational Autoencoder and Principal Component Analysis to obtain a set of 285
latent descriptors. We demonstrate that the standard descriptors are embedded
into the latent ones. Thus, latent features can be considered as an extended
description of sunspot groups and, in our opinion, can expand the possibilities
for the research on sunspot groups. In particular, we demonstrate an
application for estimation of the sunspot group complexity. The proposed
parametrization model is generic and can be applied to investigation of other
traces of solar activity observed in various spectrum lines. Key components of
this work, which are the parametrization model, dataset of sunspot groups and
latent vectors, are available in the public GitHub repository
github.com/observethesun/sunspot_groups and can be used to reproduce the
results and for further research.",0.009008404,0.320844,-0.26694983,C
