Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
102,"As a basis of further research, this study is to examine the transportation property of
an active particle with self-aligning property [22, 23] moving in a semi-conﬁne tube and
thus interact with space varying circumstances.","In other words, the question is what properties are universal and when speciﬁc
mechanisms dominate their behavior.","The remainder of this paper is organized as
follows.",2022-01-04 13:00:09+00:00,Anomalous diffusion of self-align active particle in flow background,cond-mat.soft,"['cond-mat.soft', 'physics.bio-ph', 'physics.data-an']","[arxiv.Result.Author('Ze-Hao Chen'), arxiv.Result.Author('Zhi-Xi Wu')]","Active particles (i.e., self-propelled particles or called microswimmers),
different from passive Brownian particles, possess more complicated
translational and angular dynamics, which can generate a series of anomalous
transport phenomena. In this letter, we study the two-dimensional dynamics of a
self-propelled pointlike particle with self-aligning property moving in
Poiseuille flow. The results show the effective anomalous diffusion coefficient
changes sharply with the change of temperature and speed of background
Poiseuille flow. The relaxation property of moving speed and the position
probability distribution function of particles is also obtained. The
observation of several types of anomalous diffusion and normal diffusion regime
indicates the self-aligning property may be universal and can be used as a
reference for future experiments analysis and modeling.",-0.06706312,0.10227153,0.23902038,C
219,"These fundamental progresses readily set the stage
for the further research of temperature-modulated photomechanical actuation of photoactive LCEs, which
is the goal of the current work.","We have also recently established a
continuum framework that incorporates various micro-to-mesoscale processes to investigate
photomechanical coupling in photoactive LCEs [27].","This paper constructs a theoretical model to investigate temperature-modulated photomechanical
actuation of a photoactive LCE for the first time.",2022-01-07 04:35:06+00:00,Temperature-Modulated Photomechanical Actuation of Photoactive Liquid Crystal Elastomers,cond-mat.soft,['cond-mat.soft'],"[arxiv.Result.Author('Zhengxuan Wei'), arxiv.Result.Author('Ruobing Bai')]","Photoactive liquid crystal elastomers are polymer networks of liquid crystal
mesogens embedded with chromophores like azobenzene. They undergo large
deformation when illuminated by light of a certain wavelength through
photochemical reaction, inspiring exciting new applications. However, despite
the recent progresses in both the experiment and theory of these materials, the
fundamental understanding of the temperature effect on their photomechanical
actuation through various molecular-to-mesoscale processes have remained
largely unexplored. This paper constructs a theoretical model to investigate
this temperature-modulated photomechanical actuation, by integrating different
temperature-dependent processes into a continuum framework. The model studies a
special working condition where the material is subjected to a uniaxial tensile
load, a prescribed temperature, and a polarized light illumination. We explore
the free energy landscape of the system and the uniaxial stress-stretch
responses under various conditions. We exploit the coupling between individual
controls of temperature and light in a single photomechanical actuation for
several working scenarios, including the temperature-modulated photomechanical
snap-through instability, specific work, and blocking stress. We study the
effect of the temperature-dependent backward isomerization of chromophores on
the photomechanical actuation. These results are hoped to motivate future
fundamental studies and new applications of various photomechanical material
systems.",-0.0036394517,0.032285333,0.21232817,A
334,"The cluster size         tactic cluster formation, the inﬂuence of chemical ﬁelds
has a maximum at a ﬁnite torque that is close but below        needs further study.","Thus, while we have
tion within the clusters decreases with increasing torque      identiﬁed the generic hydrodynamic mechanism of gyro-
and the clusters become more compact.","the value where the vorticity-induced rotation of touching
neighbors can be balanced.",2022-01-10 14:20:20+00:00,Gyrotactic cluster formation of bottom-heavy squirmers,cond-mat.soft,"['cond-mat.soft', 'physics.flu-dyn']","[arxiv.Result.Author('Felix Rühle'), arxiv.Result.Author('Arne W. Zantop'), arxiv.Result.Author('Holger Stark')]","Squirmers that are bottom-heavy experience a torque that aligns them along
the vertical so that they swim upwards. In a suspension of many squirmers, they
also interact hydrodynamically via flow fields that are initiated by their
swimming motion and by gravity. Swimming under the combined action of flow
field vorticity and gravitational torque is called gyrotaxis. Using the method
of multi-particle collision dynamics, we perform hydrodynamic simulations of a
many-squirmer system floating above the bottom surface. Due to gyrotaxis they
exhibit pronounced cluster formation with increasing gravitational torque. The
clusters are more volatile at low values but compactify to smaller clusters at
larger torques. The mean distance between clusters is mainly controlled by the
gravitational torque and not the global density. Furthermore, we observe that
neutral squirmers form clusters more easily, whereas pullers require larger
gravitational torques due to their additional force-dipole flow fields. We do
not observe clustering for pusher squirmers. Adding a rotlet dipole to the
squirmer flow field induces swirling clusters. At high gravitational strengths,
the hydrodynamic interactions with the no-slip boundary create an additional
vertical alignment for neutral squirmers, which also supports cluster
formation.",0.031053612,0.031063534,0.06902738,C
526,"83

Bibliography                                           84
                                                                                                                    1

Chapter 1

Introduction

Since the mainstream adoption of Machine Learning (ML) methods on common tasks
such as object recognition, computer vision, and human-computer interactions [LBH15],
scientists have tried to adopt most of these techniques to further research in their
respective ﬁelds.",.,"From drug development [RKD20] to genetics and biotechnology [LN15],
multiple applications of ML to current research problems have seen widespread interest
for their generalization and automatic discovery attributes.",2021-11-17 20:57:32+00:00,Using Computational Intelligence for solving the Ornstein-Zernike equation,cond-mat.soft,"['cond-mat.soft', 'cs.LG']",[arxiv.Result.Author('Edwin Bedolla')],"The main goal of this thesis is to provide an exploration of the use of
computational intelligence techniques to study the numerical solution of the
Ornstein-Zernike equation for simple liquids. In particular, a continuous model
of the hard sphere fluid is studied. There are two main proposals in this
contribution. First, the use of neural networks as a way to parametrize closure
relation when solving the Ornstein-Zernike equation. It is explicitly shown
that in the case of the hard sphere fluid, the neural network approach seems to
reduce to the so-called Hypernetted Chain closure. For the second proposal, we
explore the fact that if more physical information is incorporated into the
theoretical formalism, a better estimate can be obtained with the use of
evolutionary optimization techniques. When choosing the modified Verlet closure
relation, and leaving a couple of free parameters to be adjusted, the results
are as good as those obtained from molecular simulations. The thesis is then
closed with a brief summary of the main findings and outlooks on different ways
to improve the proposals presented here.",-0.12690453,0.6986979,-0.47984207,C
527,"82

Bibliography                                           83
                                                                                                                    1

Chapter 1

Introduction

Since the mainstream adoption of Machine Learning (ML) methods on common tasks
such as object recognition, computer vision, and human-computer interactions [LBH15],
scientists have tried to adopt most of these techniques to further research in their
respective ﬁelds.",.,"From drug development [RKD20] to genetics and biotechnology [LN15],
multiple applications of ML to current research problems have seen widespread interest
for their generalization and automatic discovery attributes.",2021-11-17 20:57:32+00:00,Using Computational Intelligence for solving the Ornstein-Zernike equation,cond-mat.soft,"['cond-mat.soft', 'cs.LG']",[arxiv.Result.Author('Edwin Bedolla')],"The main goal of this thesis is to provide an exploration of the use of
computational intelligence techniques to study the numerical solution of the
Ornstein-Zernike equation for simple liquids. In particular, a continuous model
of the hard sphere fluid is studied. There are two main proposals in this
contribution. First, the use of neural networks as a way to parametrize closure
relation when solving the Ornstein-Zernike equation. It is explicitly shown
that in the case of the hard sphere fluid, the neural network approach seems to
reduce to the so-called Hypernetted Chain closure. For the second proposal, we
explore the fact that if more physical information is incorporated into the
theoretical formalism, a better estimate can be obtained with the use of
evolutionary optimization techniques. When choosing the modified Verlet closure
relation, and leaving a couple of free parameters to be adjusted, the results
are as good as those obtained from molecular simulations. The thesis is then
closed with a brief summary of the main findings and outlooks on different ways
to improve the proposals presented here.",-0.1286324,0.6993575,-0.47833508,C
534,"To further study the response of the Ni flakes to rotating magnetic fields, a
precessing angle 𝛼 was added to the rotating magnet.","3.2| Response of Ni flakes under magnetic fields rotating with a precessing angle
(𝜽𝑩𝟎 = 𝟗𝟎° − 𝜶, 𝚽𝑩𝟎 = 𝒄𝒔𝒕).","The in-plane orientations of the
flakes Φ!",2021-12-27 11:24:43+00:00,Magnetically driven in-plane modulation of the 3D orientation of vertical ferromagnetic flakes,cond-mat.soft,"['cond-mat.soft', 'cond-mat.mtrl-sci', 'physics.app-ph']","[arxiv.Result.Author('Hortense Le Ferrand'), arxiv.Result.Author('Andres F. Arrieta')]","External magnetic fields are known to attract and orient magnetically
responsive colloidal particles. In the case of 2D microplatelets, rotating
magnetic fields are typically used to orient them parallel to each other in a
brick-and-mortar fashion. Thanks to this microstructure, the resulting
composites achieve enhanced mechanical and functional properties. However,
parts with complex geometry require their microstructure to be specifically
tuned and controlled locally in 3D. Although the tunability of the
microstructure along the vertical direction has already been demonstrated using
magnetic orientation combined with sequential or continuous casting,
controlling the particle orientation in the horizontal plane in a fast and
effective fashion remains challenging. Here, we propose to use rotating
magnetic arrays to control the in-plane orientation of ferromagnetic Nickel
flakes distributed in uncured polymeric matrices. We experimentally studied the
orientation of the flakes in response to magnets rotating at various
frequencies and precessing angles. Then, we used COMSOL to model the magnetic
field from rotating magnetic arrays and predicted the resulting in-plane
orientations. To validate the approach, we created composites with locally
oriented flakes. This work could initiate reverse-engineering methods to design
the microstructure in composite materials with intricate geometrical shapes for
structural or functional applications.",-0.056737825,0.06214153,-0.022527803,A
705,"Without further study, it is uneasy to determine the cause of
                                                                                                  9

(a)                  c (m s−1)                                       (b)                α (Np/m)
    14                                                                   14
     7                         1,520                                      7                 10
     00                        1,515                                      00
                               1,510
                   30
       y (mm)                                                                               9
                                                               y (mm)                       8
                                                                                            7
                                                                                            6
         10 20                                                                10 20     30
           x (mm)                                                               x (mm)

FIG.",with higher attenuation in a rather homogeneous background.,10.,2022-01-18 10:41:17+00:00,Acoustic monitoring of the gelation of a colloidal suspension,cond-mat.soft,"['cond-mat.soft', 'physics.app-ph', 'physics.chem-ph']","[arxiv.Result.Author('Nicolas Bélicard'), arxiv.Result.Author('Marc Junior Niémet-Mabiala'), arxiv.Result.Author('Jean-Noël Tourvieille'), arxiv.Result.Author('Pierre Lidon')]","Because they are sensitive to mechanical properties of materials and can
propagate even in opaque systems, acoustic waves provides us with a powerful
characterization tool in numerous fields. Common techniques mostly rely on
time-of-flight measurements and do not exploit the spectral content: however,
sound speed and attenuation spectra contain rich information. Such an acoustic
spectroscopy already exists and allows to retrieve subtle information on
systems of well-known physico-chemistry, but modeling becomes out of reach for
industrial systems. In this article, we use a simple empirical approach to
monitor the gelation of silica suspensions: we show that the gelation time
obtained from acoustic measurements is proportional to this determined with
more conventional rheological characterization. Such a results thus opens the
way for in-situ monitoring of time-evolving systems in industrial context with
acoustic methods only.",-0.16087227,-0.21188411,-0.10276218,A
976,"0.5% Jaguar HP 120 COS             ×                        ×                                  ×

1% Jaguar HP 120 COS

1.5% Jaguar HP 120 COS

topical products has not received signiﬁcant attention to      with consumer perception of, amongst other things, ‘stick-
date, and deserves further study.","1.5% Sepimax Zen
                                                                                               ?",iness on lips’ and ‘stickiness in mouth’.,2022-01-24 23:46:44+00:00,Rheological design of thickened alcohol-based hand rubs,cond-mat.soft,['cond-mat.soft'],"[arxiv.Result.Author('Andreia F Silva'), arxiv.Result.Author('Tiffany A Wood'), arxiv.Result.Author('Daniel J M Hodgson'), arxiv.Result.Author('John R Royer'), arxiv.Result.Author('Job H J Thijssen'), arxiv.Result.Author('Alex Lips'), arxiv.Result.Author('Wilson C K Poon')]","The handleability and sensory perception of hand sanitisers by consumers
affect the hygiene outcome. Spillage may result in under-dosing and poor
sensory properties can lead to under-utilisation. We propose principles for
designing the rheology of thickened alcohol-based hand rubs with acceptable
handleability and hand feel, and evaluate a commercial hand gel and a variety
of simplified microgel- or linear polymer-based formulations against these
design criteria. Both the linear polymer and microgel additives can prevent run
off and ensure handleability at low shear rates, with the microgels also
conferring a finite yield stress. The polymer additives enable formulations
with acceptable handleability without a yield stress, but can also result in
'sticky' formulations which may have a less optimal hand feel.",-0.1452818,0.195322,-0.40041786,A
977,"This aspect of the triborheology of this and other
                                                              0 .3 5 % C a rb o p o l 9 7 4 P         topical products has not received signiﬁcant attention to
                                                                                                      date, and deserves further study.","Springer Nature 2021 LATEX template

8 Rheological design of thickened alcohol-based hand rubs

                                                              P u r e ll                                  Finally, we have drawn attention to the potential im-
                                                                                                      portance of ﬁlm stability during the rubbing-down of
           101          α= 0 .8                               0 .2 5 % C a rb o p o l 9 7 4 P         ABHS.","0 .5 % C a rb o p o l 9 7 4 P

                                                              0 .2 5 % C a r b o p o l U ltr e z 2 0

                                                              0 .3 5 % C a r b o p o l U ltr e z 2 0

                                                              0 .5 % C a r b o p o l U ltr e z 2 0

η(P a s )  100

           1 0 -1       0 .5 % S e p im a x Z e n                                                     Conﬂicts of interest
                        1 % S e p im a x Z e n
                                                                                                      There are no conﬂicts to declare.",2022-01-24 23:46:44+00:00,Rheological design of thickened alcohol-based hand rubs,cond-mat.soft,['cond-mat.soft'],"[arxiv.Result.Author('Andreia F Silva'), arxiv.Result.Author('Tiffany A Wood'), arxiv.Result.Author('Daniel J M Hodgson'), arxiv.Result.Author('John R Royer'), arxiv.Result.Author('Job H J Thijssen'), arxiv.Result.Author('Alex Lips'), arxiv.Result.Author('Wilson C K Poon')]","The handleability and sensory perception of hand sanitisers by consumers
affect the hygiene outcome. Spillage may result in under-dosing and poor
sensory properties can lead to under-utilisation. We first propose four
principles (low run off, spreadability, smoothness and non-stickiness) for
designing the rheology of thickened alcohol-based hand rubs with acceptable
handleability and hand feel. We then evaluate a commercial hand gel and a
variety of simplified formulations thickened with microgels (Carbopol 974P,
Carbopol Ultrez 20 and Sepimax Zen), or linear polymers (Jaguar HP 120 COS),
and evaluate them against these design criteria. All four additives provide
acceptable spreadability by shear thinning to $\eta \approx 10^{-1} Pa \, s$ at
$\dot\gamma \sim 10^3 s^{-1}$. Either the finite yield stress conferred by the
microgels ($\sigma_y \gtrsim 10 Pa$) or the increase in low-shear viscosity
provided by the linear polymer ($\eta \gtrsim 1 Pa \, s$ at $\dot\gamma
\lesssim 0.1 s^{-1}$) give rise to acceptably low run-off. However, the
formulation using the linear polymer shows a filament breakage time of
$\tau_{\rm b} \approx 1 s$ in capillary rheology, which may result in
stickiness and therefore a less than optimal hand feel.",-0.022375297,-0.12463371,-0.33638585,B
978,"This property of excess wing would be interesting for
further study by the molecular dynamics simulations using the swap Monte Carlo algorithm to
investigate in the future.","In glass-formers where the JG -relaxation is not
resolved and appears as excess wing, it was found that essentially the combination of the -loss
peak and the excess wing remain unchanged in shape to variations of T and P while (T,P) is kept
constant (see Ref.17 and references therein).","7
                                                    References
[1] Benjamin Guiselin, Camille Scalliet, and Ludovic Berthier, arXiv:2103.01569 (2021).",2022-01-25 00:43:28+00:00,On the location of the excess wing relative to the a-loss peak in the susceptibility spectra from simulations with the swap Monte Carlo algorithm,cond-mat.soft,['cond-mat.soft'],[arxiv.Result.Author('K. L. Ngai')],"An advance was made by Guiselin et al. [arXiv:2103.01569 (2021)] in molecular
dynamics simulations of the equilibrium dynamics of supercooled liquids near
the experimental glass transition by utilizing the giant equilibration speedup
provided by the swap Monte Carlo algorithm. The found emergence of a power law
in relaxation spectra at lower temperatures on the high frequency flank of the
alpha-loss peak in analogy to the excess wings observed experimentally in
molecular glass-formers. Their remarkable finding leads to the question of
where the excess wing is located relative to the alpha-loss peak in the
susceptibility spectrum. I provide an answer by identifying the excess wing as
the unresolved Johari-Goldstein (JG) b-relaxation and using the reciprocal of
its relaxation time tau_JG to assess the location of the excess wing. The
Coupling Model (CM) has a history of being successful in determining
approximately the values of tau_JG(T) in molecular liquids whether the JG
beta-relaxation is resolved or not (i.e., excess wing). It is applied to the
simulation data and the results of tau_JG(T) successfully account for the
locations of the excess wings in the simulation spectra at different
temperatures. The time evolution of the dynamics of the distribution of
processes composing the JG b-relaxation suggested by the CM based on
experimental data in molecular glass-formers are in agreement with that given
by Guiselin et al. from simulations of a size-polydisperse mixture of N soft
spheres interacting with a repulsive power law pair potential. The agreement
brings their results closer to experimental data of real molecular
glass-formers.",-0.035467986,-0.15491354,0.096528806,A
