Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
41,"          2IIVHWUDQJHIDFWRUs   
Ablation on different s. We go on the further study of the                                
impact of different maximum offsets, i.e., the offset range                               
scale factor s in the paper.","How-
ever, replacing with more deformable attention at the early            ,PDJH1HW.$FF#         $EODWLRQVWXG\RQGLIIHUHQWRIIVHWUDQJHIDFWRUV
stages slightly decreases the accuracy.","We conduct an ablation exper-                                
iment of s ranging from 0 to 16 where 14 corresponds to                                   
the largest reasonable offset given the size of the feature                               
map (14 × 14 at stage 3).",2022-01-03 08:29:01+00:00,Vision Transformer with Deformable Attention,cs.CV,['cs.CV'],"[arxiv.Result.Author('Zhuofan Xia'), arxiv.Result.Author('Xuran Pan'), arxiv.Result.Author('Shiji Song'), arxiv.Result.Author('Li Erran Li'), arxiv.Result.Author('Gao Huang')]","Transformers have recently shown superior performances on various vision
tasks. The large, sometimes even global, receptive field endows Transformer
models with higher representation power over their CNN counterparts.
Nevertheless, simply enlarging receptive field also gives rise to several
concerns. On the one hand, using dense attention e.g., in ViT, leads to
excessive memory and computational cost, and features can be influenced by
irrelevant parts which are beyond the region of interests. On the other hand,
the sparse attention adopted in PVT or Swin Transformer is data agnostic and
may limit the ability to model long range relations. To mitigate these issues,
we propose a novel deformable self-attention module, where the positions of key
and value pairs in self-attention are selected in a data-dependent way. This
flexible scheme enables the self-attention module to focus on relevant regions
and capture more informative features. On this basis, we present Deformable
Attention Transformer, a general backbone model with deformable attention for
both image classification and dense prediction tasks. Extensive experiments
show that our models achieve consistently improved results on comprehensive
benchmarks. Code is available at https://github.com/LeapLabTHU/DAT.",0.3406339,0.21135488,-0.02683633,A
42,"          2IIVHWUDQJHIDFWRUs   
Ablation on different s. We go on the further study of the                                
impact of different maximum offsets, i.e., the offset range                               
scale factor s in the paper.","How-
ever, replacing with more deformable attention at the early            ,PDJH1HW.$FF#         $EODWLRQVWXG\RQGLIIHUHQWRIIVHWUDQJHIDFWRUV
stages slightly decreases the accuracy.","We conduct an ablation exper-                                
iment of s ranging from 0 to 16 where 14 corresponds to                                   
the largest reasonable offset given the size of the feature                               
map (14 × 14 at stage 3).",2022-01-03 08:29:01+00:00,Vision Transformer with Deformable Attention,cs.CV,['cs.CV'],"[arxiv.Result.Author('Zhuofan Xia'), arxiv.Result.Author('Xuran Pan'), arxiv.Result.Author('Shiji Song'), arxiv.Result.Author('Li Erran Li'), arxiv.Result.Author('Gao Huang')]","Transformers have recently shown superior performances on various vision
tasks. The large, sometimes even global, receptive field endows Transformer
models with higher representation power over their CNN counterparts.
Nevertheless, simply enlarging receptive field also gives rise to several
concerns. On the one hand, using dense attention e.g., in ViT, leads to
excessive memory and computational cost, and features can be influenced by
irrelevant parts which are beyond the region of interests. On the other hand,
the sparse attention adopted in PVT or Swin Transformer is data agnostic and
may limit the ability to model long range relations. To mitigate these issues,
we propose a novel deformable self-attention module, where the positions of key
and value pairs in self-attention are selected in a data-dependent way. This
flexible scheme enables the self-attention module to focus on relevant regions
and capture more informative features. On this basis, we present Deformable
Attention Transformer, a general backbone model with deformable attention for
both image classification and dense prediction tasks. Extensive experiments
show that our models achieve consistently improved results on comprehensive
benchmarks. Code is available at https://github.com/LeapLabTHU/DAT.",0.3406339,0.21135488,-0.02683633,A
61,"To further study this problem, we conduct the following experiment.","Intuitively,
such sampling variations drop when increasing the sampling resolution.","According
to the deﬁnition in Section 4.1, ﬁrst, on ShapeNet, we generate four datasets by
sampling diﬀerent number points of the input point cloud, ranging from n0 = 256
to 2048 points.",2022-01-03 18:05:52+00:00,Implicit Autoencoder for Point Cloud Self-supervised Representation Learning,cs.CV,['cs.CV'],"[arxiv.Result.Author('Siming Yan'), arxiv.Result.Author('Zhenpei Yang'), arxiv.Result.Author('Haoxiang Li'), arxiv.Result.Author('Li Guan'), arxiv.Result.Author('Hao Kang'), arxiv.Result.Author('Gang Hua'), arxiv.Result.Author('Qixing Huang')]","Many 3D representations (e.g., point clouds) are discrete samples of the
underlying continuous 3D surface. This process inevitably introduces sampling
variations on the underlying 3D shapes. In learning 3D representation, the
variations should be disregarded while transferable knowledge of the underlying
3D shape should be captured. This becomes a grand challenge in existing
representation learning paradigms. This paper studies autoencoding on point
clouds. The standard autoencoding paradigm forces the encoder to capture such
sampling variations as the decoder has to reconstruct the original point cloud
that has sampling variations. We introduce Implicit Autoencoder(IAE), a simple
yet effective method that addresses this challenge by replacing the point cloud
decoder with an implicit decoder. The implicit decoder outputs a continuous
representation that is shared among different point cloud sampling of the same
model. Reconstructing under the implicit representation can prioritize that the
encoder discards sampling variations, introducing more space to learn useful
features. We theoretically justify this claim under a simple linear
autoencoder. Moreover, the implicit decoder offers a rich space to design
suitable implicit representations for different tasks. We demonstrate the
usefulness of IAE across various self-supervised learning tasks for both 3D
objects and 3D scenes. Experimental results show that IAE consistently
outperforms the state-of-the-art in each task.",0.04301621,0.12698969,0.14111453,A
62,"To further study this problem, we conduct the following experiment.","Intuitively,
such sampling variations drop when increasing the sampling resolution.","According
to the deﬁnition in Section 4.1, ﬁrst, on ShapeNet, we generate four datasets
by sampling diﬀerent number points of the input point cloud, ranging from
n0 = 256 to 2048 points.",2022-01-03 18:05:52+00:00,Implicit Autoencoder for Point Cloud Self-supervised Representation Learning,cs.CV,['cs.CV'],"[arxiv.Result.Author('Siming Yan'), arxiv.Result.Author('Zhenpei Yang'), arxiv.Result.Author('Haoxiang Li'), arxiv.Result.Author('Li Guan'), arxiv.Result.Author('Hao Kang'), arxiv.Result.Author('Gang Hua'), arxiv.Result.Author('Qixing Huang')]","Many 3D representations (e.g., point clouds) are discrete samples of the
underlying continuous 3D surface. This process inevitably introduces sampling
variations on the underlying 3D shapes. In learning 3D representation, the
variations should be disregarded while transferable knowledge of the underlying
3D shape should be captured. This poses a grand challenge to existing
representation learning paradigms. For example, the standard autoencoding
paradigm forces the encoder to capture such sampling variations as the decoder
has to reconstruct the original point cloud. We introduce Implicit
Autoencoder(IAE), a simple yet effective method that addresses this challenge
by replacing the point cloud decoder with an implicit decoder. The implicit
decoder outputs a continuous representation that is shared among different
point cloud samplings of the same model. Reconstructing under the implicit
representation can prioritize that the encoder discards sampling variations,
introducing more space to learn useful features. We theoretically justify this
claim under a simple linear autoencoder. Moreover, our implicit decoder offers
a rich space to design suitable implicit representations for different tasks.
We demonstrate the usefulness of IAE across various self-supervised learning
tasks for both 3D objects and 3D scenes. Experimental results show that IAE
consistently outperforms the state-of-the-art in each task.",0.04301621,0.12698969,0.14111453,A
63,"We show two experiments to further study why IAE
Different Implicit Functions.","Further Experimental Analysis
than all explicit decoders.",We also investigate several              shows better result than explicit autoencoders.,2022-01-03 18:05:52+00:00,IAE: Implicit Autoencoder for Point Cloud Self-supervised Representation Learning,cs.CV,['cs.CV'],"[arxiv.Result.Author('Siming Yan'), arxiv.Result.Author('Zhenpei Yang'), arxiv.Result.Author('Haoxiang Li'), arxiv.Result.Author('Li Guan'), arxiv.Result.Author('Hao Kang'), arxiv.Result.Author('Gang Hua'), arxiv.Result.Author('Qixing Huang')]","Autoencoding has been a popular topic across many fields and recently emerged
in the 3D domain. However, many 3D representations (e.g., point clouds) are
discrete samples of the underlying continuous 3D surface which makes them
different from other data modalities. This process inevitably introduces
sampling variations on the underlying 3D shapes. In learning 3D representation,
a desirable goal is to disregard such sampling variations while focusing on
capturing transferable knowledge of the underlying 3D shape. This aim poses a
grand challenge to existing representation learning paradigms. For example, the
standard autoencoding paradigm forces the encoder to capture such sampling
variations as the decoder has to reconstruct the original point cloud. In this
paper, we introduce the Implicit Autoencoder(IAE). This simple yet effective
method addresses this challenge by replacing the point cloud decoder with an
implicit decoder. The implicit decoder can output a continuous representation
that is shared among different point cloud samplings of the same model.
Reconstructing under the implicit representation can prioritize that the
encoder discards sampling variations, introducing appropriate inductive bias to
learn more generalizable feature representations. We validate this claim via
experimental analysis. Moreover, our implicit decoder offers excellent
flexibility in designing suitable implicit representations for different tasks.
We demonstrate the usefulness of IAE across various self-supervised learning
tasks for both 3D objects and 3D scenes. Experimental results show that IAE
consistently outperforms the state-of-the-art in each task.",0.117327005,-0.08964565,0.11738825,C
64,"To further study this problem, we conduct
learning performance on the SUN RGB-D dataset.","The model with a              sampling variations drop when increasing the sampling
maximum cropping size of 50% achieves the best transfer                resolution.",Note that               the following experiment.,2022-01-03 18:05:52+00:00,IAE: Implicit Autoencoder for Point Cloud Self-supervised Representation Learning,cs.CV,['cs.CV'],"[arxiv.Result.Author('Siming Yan'), arxiv.Result.Author('Zhenpei Yang'), arxiv.Result.Author('Haoxiang Li'), arxiv.Result.Author('Li Guan'), arxiv.Result.Author('Hao Kang'), arxiv.Result.Author('Gang Hua'), arxiv.Result.Author('Qixing Huang')]","Autoencoding has been a popular topic across many fields and recently emerged
in the 3D domain. However, many 3D representations (e.g., point clouds) are
discrete samples of the underlying continuous 3D surface which makes them
different from other data modalities. This process inevitably introduces
sampling variations on the underlying 3D shapes. In learning 3D representation,
a desirable goal is to disregard such sampling variations while focusing on
capturing transferable knowledge of the underlying 3D shape. This aim poses a
grand challenge to existing representation learning paradigms. For example, the
standard autoencoding paradigm forces the encoder to capture such sampling
variations as the decoder has to reconstruct the original point cloud. In this
paper, we introduce the Implicit Autoencoder(IAE). This simple yet effective
method addresses this challenge by replacing the point cloud decoder with an
implicit decoder. The implicit decoder can output a continuous representation
that is shared among different point cloud samplings of the same model.
Reconstructing under the implicit representation can prioritize that the
encoder discards sampling variations, introducing appropriate inductive bias to
learn more generalizable feature representations. We validate this claim via
experimental analysis. Moreover, our implicit decoder offers excellent
flexibility in designing suitable implicit representations for different tasks.
We demonstrate the usefulness of IAE across various self-supervised learning
tasks for both 3D objects and 3D scenes. Experimental results show that IAE
consistently outperforms the state-of-the-art in each task.",-0.074732944,0.082577825,0.25810862,B
70,"While further research is required, this paper establishes
the potential of using Deep Neural Network based Vision-Language modelling for on-
device ML for night scene perception challenges.","Experiments on the
trained model shows this AI is able to caption any low light image that is randomly
downloaded from the internet.","Thus, the paper establishes the po-
tential for AI in safety of women & visual impaired users, especially at night.",2022-01-04 04:21:07+00:00,Interactive Attention AI to translate low light photos to captions for night scene understanding in women safety,cs.CV,"['cs.CV', 'cs.CL', 'cs.LG', 'I.2.0']","[arxiv.Result.Author('Rajagopal A'), arxiv.Result.Author('Nirmala V'), arxiv.Result.Author('Arun Muthuraj Vedamanickam')]","There is amazing progress in Deep Learning based models for Image captioning
and Low Light image enhancement. For the first time in literature, this paper
develops a Deep Learning model that translates night scenes to sentences,
opening new possibilities for AI applications in the safety of visually
impaired women. Inspired by Image Captioning and Visual Question Answering, a
novel Interactive Image Captioning is developed. A user can make the AI focus
on any chosen person of interest by influencing the attention scoring.
Attention context vectors are computed from CNN feature vectors and
user-provided start word. The Encoder-Attention-Decoder neural network learns
to produce captions from low brightness images. This paper demonstrates how
women safety can be enabled by researching a novel AI capability in the
Interactive Vision-Language model for perception of the environment in the
night.",-0.22591636,-0.14153282,-0.057235204,C
71,"To encourage further research by inter-
ested researchers in Vision-Language modelling for promoting safety of women, the
source code is made available in open-source.","Thus an Interactive Image Captioning AI for Explainable night scene
understanding is demonstrated experimentally.","15

References

1.",2022-01-04 04:21:07+00:00,Interactive Attention AI to translate low light photos to captions for night scene understanding in women safety,cs.CV,"['cs.CV', 'cs.CL', 'cs.LG', 'I.2.0']","[arxiv.Result.Author('Rajagopal A'), arxiv.Result.Author('Nirmala V'), arxiv.Result.Author('Arun Muthuraj Vedamanickam')]","There is amazing progress in Deep Learning based models for Image captioning
and Low Light image enhancement. For the first time in literature, this paper
develops a Deep Learning model that translates night scenes to sentences,
opening new possibilities for AI applications in the safety of visually
impaired women. Inspired by Image Captioning and Visual Question Answering, a
novel Interactive Image Captioning is developed. A user can make the AI focus
on any chosen person of interest by influencing the attention scoring.
Attention context vectors are computed from CNN feature vectors and
user-provided start word. The Encoder-Attention-Decoder neural network learns
to produce captions from low brightness images. This paper demonstrates how
women safety can be enabled by researching a novel AI capability in the
Interactive Vision-Language model for perception of the environment in the
night.",-0.20587444,-0.054857023,-0.29176354,C
73,"We hope this new base-           only 3.3B FLOPs, which is signiﬁcantly better than the
                                       line will be helpful to the further research and application       original TNT-S [11] and Swin-T [22].","Speciﬁcally, PyramidTNT-S
                                       formances than the previous state-of-the-art vision trans-         yields 82.0% ImageNet classiﬁcation top-1 accuracy with
                                       formers such as Swin Transformer.","For COCO detec-
                                       of vision transformer.",2022-01-04 04:56:57+00:00,PyramidTNT: Improved Transformer-in-Transformer Baselines with Pyramid Architecture,cs.CV,['cs.CV'],"[arxiv.Result.Author('Kai Han'), arxiv.Result.Author('Jianyuan Guo'), arxiv.Result.Author('Yehui Tang'), arxiv.Result.Author('Yunhe Wang')]","Transformer networks have achieved great progress for computer vision tasks.
Transformer-in-Transformer (TNT) architecture utilizes inner transformer and
outer transformer to extract both local and global representations. In this
work, we present new TNT baselines by introducing two advanced designs: 1)
pyramid architecture, and 2) convolutional stem. The new ""PyramidTNT""
significantly improves the original TNT by establishing hierarchical
representations. PyramidTNT achieves better performances than the previous
state-of-the-art vision transformers such as Swin Transformer. We hope this new
baseline will be helpful to the further research and application of vision
transformer. Code will be available at
https://github.com/huawei-noah/CV-Backbones/tree/master/tnt_pytorch.",-0.048195794,0.152978,0.24991778,B
74,"We hope this new baseline will be helpful to the
                                                                                                          further research and application of vision transformer.",models.,1.,2022-01-04 04:56:57+00:00,PyramidTNT: Improved Transformer-in-Transformer Baselines with Pyramid Architecture,cs.CV,['cs.CV'],"[arxiv.Result.Author('Kai Han'), arxiv.Result.Author('Jianyuan Guo'), arxiv.Result.Author('Yehui Tang'), arxiv.Result.Author('Yunhe Wang')]","Transformer networks have achieved great progress for computer vision tasks.
Transformer-in-Transformer (TNT) architecture utilizes inner transformer and
outer transformer to extract both local and global representations. In this
work, we present new TNT baselines by introducing two advanced designs: 1)
pyramid architecture, and 2) convolutional stem. The new ""PyramidTNT""
significantly improves the original TNT by establishing hierarchical
representations. PyramidTNT achieves better performances than the previous
state-of-the-art vision transformers such as Swin Transformer. We hope this new
baseline will be helpful to the further research and application of vision
transformer. Code will be available at
https://github.com/huawei-noah/CV-Backbones/tree/master/tnt_pytorch.",-0.055913553,0.30086523,0.08556327,B
