Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
214,"We hope that wCQ will spur further research in creating better
performing wait-free data structures with F&A.","Though Kogan-Petrank’s method can be used to create wait-free queues with CAS [14], wCQ addresses unique chal-
lenges since it avoids dynamic allocation and uses F&A.","Availability

We provide code for wCQ at https://github.com/rusnikola/wfqueue.",2022-01-06 18:46:53+00:00,wCQ: A Fast Wait-Free Queue with Bounded Memory Usage,cs.DC,['cs.DC'],"[arxiv.Result.Author('Ruslan Nikolaev'), arxiv.Result.Author('Binoy Ravindran')]","The concurrency literature presents a number of approaches for building
non-blocking, FIFO, multiple-producer and multiple-consumer (MPMC) queues.
However, only a fraction of them have high performance. In addition, many queue
designs, such as LCRQ, trade memory usage for better performance. The recently
proposed SCQ design achieves both memory efficiency as well as excellent
performance. Unfortunately, both LCRQ and SCQ are only lock-free. On the other
hand, existing wait-free queues are either not very performant or suffer from
potentially unbounded memory usage. Strictly described, the latter queues, such
as Yang & Mellor-Crummey's (YMC) queue, forfeit wait-freedom as they are
blocking when memory is exhausted.
  We present a wait-free queue, called wCQ. wCQ is based on SCQ and uses its
own variation of fast-path-slow-path methodology to attain wait-freedom and
bound memory usage. Our experimental studies on x86 and PowerPC architectures
validate wCQ's great performance and memory efficiency. They also show that
wCQ's performance is often on par with the best known concurrent queue designs.",-0.020032432,0.083706446,0.11501729,C
215,"We hope that wCQ will
   Though SimQueue [7] uses F&A and outperforms Michael &                 spur further research in creating better performing wait-free data
Scott’s FIFO queue by aggregating concurrent operations with one          structures with F&A.","queues with CAS [18], wCQ addresses unique challenges since it
                                                                          avoids dynamic allocation and uses F&A.","CAS, it is still not that performant.",2022-01-06 18:46:53+00:00,wCQ: A Fast Wait-Free Queue with Bounded Memory Usage,cs.DC,['cs.DC'],"[arxiv.Result.Author('Ruslan Nikolaev'), arxiv.Result.Author('Binoy Ravindran')]","The concurrency literature presents a number of approaches for building
non-blocking, FIFO, multiple-producer and multiple-consumer (MPMC) queues.
However, only a fraction of them have high performance. In addition, many queue
designs, such as LCRQ, trade memory usage for better performance. The recently
proposed SCQ design achieves both memory efficiency as well as excellent
performance. Unfortunately, both LCRQ and SCQ are only lock-free. On the other
hand, existing wait-free queues are either not very performant or suffer from
potentially unbounded memory usage. Strictly described, the latter queues, such
as Yang & Mellor-Crummey's (YMC) queue, forfeit wait-freedom as they are
blocking when memory is exhausted.
  We present a wait-free queue, called wCQ. wCQ is based on SCQ and uses its
own variation of fast-path-slow-path methodology to attain wait-freedom and
bound memory usage. Our experimental studies on x86 and PowerPC architectures
validate wCQ's great performance and memory efficiency. They also show that
wCQ's performance is often on par with the best known concurrent queue designs.",-0.054097146,0.068859816,0.09866668,C
366,"Their
actions requires further research and engineering effort.","Implementing parallel execution of blockchain trans-     order, eliminating the need for distributed commit protocols.","We need        approach is further outlined in several other papers [1, 27, 28].",2022-01-11 02:30:55+00:00,Utilizing Parallelism in Smart Contracts on Decentralized Blockchains by Taming Application-Inherent Conflicts,cs.DC,['cs.DC'],"[arxiv.Result.Author('Péter Garamvölgyi'), arxiv.Result.Author('Yuxi Liu'), arxiv.Result.Author('Dong Zhou'), arxiv.Result.Author('Fan Long'), arxiv.Result.Author('Ming Wu')]","Traditional public blockchain systems typically had very limited transaction
throughput due to the bottleneck of the consensus protocol itself. With recent
advances in consensus technology, the performance limit has been greatly
lifted, typically to thousands of transactions per second. With this,
transaction execution has become a new performance bottleneck. Exploiting
parallelism in transaction execution is a clear and direct way to address this
and further increase transaction throughput. Although some recent literature
introduced concurrency control mechanisms to execute smart contract
transactions in parallel, the reported speedup that they can achieve is far
from ideal. The main reason is that the proposed parallel execution mechanisms
cannot effectively deal with the conflicts inherent in many blockchain
applications.
  In this work, we thoroughly study the historical transaction execution traces
in Ethereum. We observe that application-inherent conflicts are the major
factors that limit the exploitable parallelism during execution. We propose to
use partitioned counters and special commutative instructions to break up the
application conflict chains in order to maximize the potential speedup. During
our evaluations, these techniques doubled the parallel speedup achievable to an
18x overall speedup compared to serial execution, approaching the optimum. We
also propose an OCC scheduler with deterministic aborts, which makes it
suitable for practical integration into public blockchain systems.",0.14772902,0.23433778,0.5310408,B
367,"Our
further research on parallel execution incentives, and the EVM           discussion of the determinism of blockchain transaction execution
needs to be extended with a parallel scheduler.","We need        approach is further outlined in several other papers [1, 27, 28].","""OCC with det.",2022-01-11 02:30:55+00:00,Utilizing Parallelism in Smart Contracts on Decentralized Blockchains by Taming Application-Inherent Conflicts,cs.DC,['cs.DC'],"[arxiv.Result.Author('Péter Garamvölgyi'), arxiv.Result.Author('Yuxi Liu'), arxiv.Result.Author('Dong Zhou'), arxiv.Result.Author('Fan Long'), arxiv.Result.Author('Ming Wu')]","Traditional public blockchain systems typically had very limited transaction
throughput due to the bottleneck of the consensus protocol itself. With recent
advances in consensus technology, the performance limit has been greatly
lifted, typically to thousands of transactions per second. With this,
transaction execution has become a new performance bottleneck. Exploiting
parallelism in transaction execution is a clear and direct way to address this
and further increase transaction throughput. Although some recent literature
introduced concurrency control mechanisms to execute smart contract
transactions in parallel, the reported speedup that they can achieve is far
from ideal. The main reason is that the proposed parallel execution mechanisms
cannot effectively deal with the conflicts inherent in many blockchain
applications.
  In this work, we thoroughly study the historical transaction execution traces
in Ethereum. We observe that application-inherent conflicts are the major
factors that limit the exploitable parallelism during execution. We propose to
use partitioned counters and special commutative instructions to break up the
application conflict chains in order to maximize the potential speedup. During
our evaluations, these techniques doubled the parallel speedup achievable to an
18x overall speedup compared to serial execution, approaching the optimum. We
also propose an OCC scheduler with deterministic aborts, which makes it
suitable for practical integration into public blockchain systems.",0.17533512,0.17974757,0.56546575,A
368,"Their
actions requires further research and engineering effort.","Implementing parallel execution of blockchain trans-     order, eliminating the need for distributed commit protocols.","We need        approach is further outlined in several other papers [1, 29, 30].",2022-01-11 02:30:55+00:00,Utilizing Parallelism in Smart Contracts on Decentralized Blockchains by Taming Application-Inherent Conflicts,cs.DC,['cs.DC'],"[arxiv.Result.Author('Péter Garamvölgyi'), arxiv.Result.Author('Yuxi Liu'), arxiv.Result.Author('Dong Zhou'), arxiv.Result.Author('Fan Long'), arxiv.Result.Author('Ming Wu')]","Traditional public blockchain systems typically had very limited transaction
throughput because of the bottleneck of the consensus protocol itself. With
recent advances in consensus technology, the performance limit has been greatly
lifted, typically to thousands of transactions per second. With this,
transaction execution has become a new performance bottleneck. Exploiting
parallelism in transaction execution is a clear and direct way to address this
and to further increase transaction throughput. Although some recent literature
introduced concurrency control mechanisms to execute smart contract
transactions in parallel, the reported speedup that they can achieve is far
from ideal. The main reason is that the proposed parallel execution mechanisms
cannot effectively deal with the conflicts inherent in many blockchain
applications.
  In this work, we thoroughly study the historical transaction execution traces
in Ethereum. We observe that application-inherent conflicts are the major
factors that limit the exploitable parallelism during execution. We propose to
use partitioned counters and special commutative instructions to break up the
application conflict chains in order to maximize the potential speedup. When we
evaluated the maximum parallel speedup achievable, these techniques doubled
this limit to an 18x overall speedup compared to serial execution, thus
approaching the optimum. We also propose OCC-DA, an optimistic concurrency
control scheduler with deterministic aborts, which makes it possible to use OCC
scheduling in public blockchain settings.",0.14654616,0.23298039,0.53327584,B
369,"Our
further research on parallel execution incentives, and the EVM           discussion of the determinism of blockchain transaction execution
needs to be extended with a parallel scheduler.","We need        approach is further outlined in several other papers [1, 29, 30].",OCC-DA provides          was inspired by these works.,2022-01-11 02:30:55+00:00,Utilizing Parallelism in Smart Contracts on Decentralized Blockchains by Taming Application-Inherent Conflicts,cs.DC,['cs.DC'],"[arxiv.Result.Author('Péter Garamvölgyi'), arxiv.Result.Author('Yuxi Liu'), arxiv.Result.Author('Dong Zhou'), arxiv.Result.Author('Fan Long'), arxiv.Result.Author('Ming Wu')]","Traditional public blockchain systems typically had very limited transaction
throughput because of the bottleneck of the consensus protocol itself. With
recent advances in consensus technology, the performance limit has been greatly
lifted, typically to thousands of transactions per second. With this,
transaction execution has become a new performance bottleneck. Exploiting
parallelism in transaction execution is a clear and direct way to address this
and to further increase transaction throughput. Although some recent literature
introduced concurrency control mechanisms to execute smart contract
transactions in parallel, the reported speedup that they can achieve is far
from ideal. The main reason is that the proposed parallel execution mechanisms
cannot effectively deal with the conflicts inherent in many blockchain
applications.
  In this work, we thoroughly study the historical transaction execution traces
in Ethereum. We observe that application-inherent conflicts are the major
factors that limit the exploitable parallelism during execution. We propose to
use partitioned counters and special commutative instructions to break up the
application conflict chains in order to maximize the potential speedup. When we
evaluated the maximum parallel speedup achievable, these techniques doubled
this limit to an 18x overall speedup compared to serial execution, thus
approaching the optimum. We also propose OCC-DA, an optimistic concurrency
control scheduler with deterministic aborts, which makes it possible to use OCC
scheduling in public blockchain settings.",0.15627109,0.18012346,0.56003696,A
621,"Nevertheless, some open
questions remain that warrant further research.","6 Discussion & Future Work

We have shown how the d-hops placement algorithm for 2D tori can be extended
for QoS-aware resource placement in satellite networks.","6.1 Application for Service Placement

Unlike static compute resource placement, service placement, e.g., placing a
database within a given distance of clients on the satellite network, can leverage
service migration.",2022-01-15 15:32:52+00:00,QoS-Aware Resource Placement for LEO Satellite Edge Computing,cs.DC,"['cs.DC', 'cs.NI']","[arxiv.Result.Author('Tobias Pfandzelter'), arxiv.Result.Author('David Bermbach')]","With the advent of large LEO satellite communication networks to provide
global broadband Internet access, interest in providing edge computing
resources within LEO networks has emerged. The LEO Edge promises low-latency,
high-bandwidth access to compute and storage resources for a global base of
clients and IoT devices regardless of their geographical location.
  Current proposals assume compute resources or service replicas at every LEO
satellite, which requires high upfront investments and can lead to
over-provisioning. To implement and use the LEO Edge efficiently, methods for
server and service placement are required that help select an optimal subset of
satellites as server or service replica locations. In this paper, we show how
the existing research on resource placement on a 2D torus can be applied to
this problem by leveraging the unique topology of LEO satellite networks.
Further, we extend the existing discrete resource placement methods to allow
placement with QoS constraints. In simulation of proposed LEO satellite
communication networks, we show how QoS depends on orbital parameters and that
our proposed method can take these effects into account where the existing
approach cannot.",-0.119534194,-0.07244423,0.05950035,C
622,"In case of the Starlink B shell, the low number          that warrant further research.","Nevertheless, some open questions remain
mean 10ms.",of planes leads to a high distance between planes.,2022-01-15 15:32:52+00:00,QoS-Aware Resource Placement for LEO Satellite Edge Computing,cs.DC,"['cs.DC', 'cs.NI']","[arxiv.Result.Author('Tobias Pfandzelter'), arxiv.Result.Author('David Bermbach')]","With the advent of large LEO satellite communication networks to provide
global broadband Internet access, interest in providing edge computing
resources within LEO networks has emerged. The LEO Edge promises low-latency,
high-bandwidth access to compute and storage resources for a global base of
clients and IoT devices regardless of their geographical location.
  Current proposals assume compute resources or service replicas at every LEO
satellite, which requires high upfront investments and can lead to
over-provisioning. To implement and use the LEO Edge efficiently, methods for
server and service placement are required that help select an optimal subset of
satellites as server or service replica locations. In this paper, we show how
the existing research on resource placement on a 2D torus can be applied to
this problem by leveraging the unique topology of LEO satellite networks.
Further, we extend the existing discrete resource placement methods to allow
placement with QoS constraints. In simulation of proposed LEO satellite
communication networks, we show how QoS depends on orbital parameters and that
our proposed method can take these effects into account where the existing
approach cannot.",0.07812286,0.13243222,-0.24370089,A
943,"How to
With the help of blockchain, the decentralization of resource     design a reasonable reputation mechanism for IIoT systems
                                                                  in a distributed way is a direction worthy of further study.",system can be more comprehensive and complicated.,"In
                                                                  addition, computational workload prediction can help to bring
                                                                  more intelligence to collaborative computation task ofﬂoad-
8                                                                                       IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS

   Average Cost ($/Gcycle)    10                                                        [10] Z. Tian, M. Li, M. Qiu, Y.",2022-01-24 09:12:17+00:00,A Blockchain-Based Distributed Computational Resource Trading System for Industrial Internet of Things Considering Multiple Preferences,cs.DC,['cs.DC'],"[arxiv.Result.Author('Tonghe Wang'), arxiv.Result.Author('Songpu Ai'), arxiv.Result.Author('Zhihong Tian'), arxiv.Result.Author('Brij B. Gupta'), arxiv.Result.Author('Chun Shan')]","Computational task offloading based on edge computing can deal with the
performance bottleneck faced by traditional cloud-based systems for industrial
Internet of things (IIoT). To further optimize computing efficiency and
resource allocation, collaborative offloading has been put forward to enable
the offloading from edge devices to IIoT terminal devices. However, there still
lack incentive mechanisms to encourage participants to take over the tasks from
others. To counter this situation, this paper proposes a distributed
computational resource trading strategy considering multiple preferences of
IIoT users. Unlike most existing works, the objective of our trading strategy
comprehensively considers different satisfaction degrees with task delay,
energy consumption, price, and user reputation of both requesters and
collaborators. Our system uses blockchain to enhance the decentralization,
security, and automation. Compared with the trading method based on classical
double auction matching mechanism, our trading method will have more tasks
offloaded and executed, and the trading results are more friendly to
collaborators with higher reputation scores.",-0.17859858,0.00040746108,0.5109982,B
944,"How to
With the help of blockchain, the decentralization of resource     design a reasonable reputation mechanism for IIoT systems
                                                                  in a distributed way is a direction worthy of further study.",system can be more comprehensive and complicated.,"In
                                                                  addition, computational workload prediction can help to bring
                                                                  more intelligence to collaborative computation task ofﬂoad-
8

   Average Cost ($/Gcycle)    10                                                        [10] Z. Tian, M. Li, M. Qiu, Y.",2022-01-24 09:12:17+00:00,A Blockchain-Based Distributed Computational Resource Trading System for Industrial Internet of Things Considering Multiple Preferences,cs.DC,['cs.DC'],"[arxiv.Result.Author('Tonghe Wang'), arxiv.Result.Author('Songpu Ai'), arxiv.Result.Author('Zhihong Tian'), arxiv.Result.Author('Brij B. Gupta'), arxiv.Result.Author('Chun Shan')]","Computational task offloading based on edge computing can deal with the
performance bottleneck faced by traditional cloud-based systems for industrial
Internet of things (IIoT). To further optimize computing efficiency and
resource allocation, collaborative offloading has been put forward to enable
the offloading from edge devices to IIoT terminal devices. However, there still
lack incentive mechanisms to encourage participants to take over the tasks from
others. To counter this situation, this paper proposes a distributed
computational resource trading strategy considering multiple preferences of
IIoT users. Unlike most existing works, the objective of our trading strategy
comprehensively considers different satisfaction degrees with task delay,
energy consumption, price, and user reputation of both requesters and
collaborators. Our system uses blockchain to enhance the decentralization,
security, and automation. Compared with the trading method based on classical
double auction matching mechanism, our trading method will have more tasks
offloaded and executed, and the trading results are more friendly to
collaborators with higher reputation scores.",-0.17293185,0.008023076,0.52269363,B
