Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
678,"During this final publication
process, supporting data may be deposited in domain-specific repositories such as the Gene
Expression Omnibus (GEO) (Clough & Barrett, 2016) or Protein Data Bank (PDB) (Berman, 2008;
Berman, Kleywegt, Nakamura, & Markley, 2013), or in lightly structured repositories provided
by journal publishers (2017) or other organizations (Blaiszik et al., 2016; Foster & Deardorff,
2017) —from where they will, ideally, be retrieved by other researchers to enable meta-
analyses or further research studies.","How the Data Lifecycle Goes off the Road

The scientific data lifecycle has long been viewed as a linear, directed path that starts with an
experiment or simulation, proceeds through analysis and review phases, and ultimately
terminates with a publication in an archival journal (Wing, 2019).","Despite the high importance assigned to the submission of data to such repositories, the data
themselves are not valued adequately; they are often rife with errors.",2022-01-17 18:31:34+00:00,Sharing Begins at Home,cs.DL,['cs.DL'],"[arxiv.Result.Author('William Dempsey'), arxiv.Result.Author('Ian Foster'), arxiv.Result.Author('Scott Fraser'), arxiv.Result.Author('Carl Kesselman')]","The broad sharing of research data is widely viewed as of critical importance
for the speed, quality, accessibility, and integrity of science. Despite
increasing efforts to encourage data sharing, both the quality of shared data,
and the frequency of data reuse, remain stubbornly low. We argue here that a
major reason for this unfortunate state of affairs is that the organization of
research results in the findable, accessible, interoperable, and reusable
(FAIR) form required for reuse is too often deferred to the end of a research
project, when preparing publications, by which time essential details are no
longer accessible. Thus, we propose an approach to research informatics that
applies FAIR principles continuously, from the very inception of a research
project, and ubiquitously, to every data asset produced by experiment or
computation. We suggest that this seemingly challenging task can be made
feasible by the adoption of simple tools, such as lightweight identifiers (to
ensure that every data asset is findable), packaging methods (to facilitate
understanding of data contents), data access methods, and metadata organization
and structuring tools (to support schema development and evolution). We use an
example from experimental neuroscience to illustrate how these methods can work
in practice.",-0.029211199,-0.39024895,-0.517622,B
679,"During this final publication
process, supporting data may be deposited in domain-specific repositories such as the Gene
Expression Omnibus (GEO) (Clough & Barrett, 2016) or Protein Data Bank (PDB) (Berman,
2008; Berman, Kleywegt, Nakamura, & Markley, 2013) or in lightly structured repositories
provided by journal publishers (Editorial, 2017) or other organizations (Blaiszik et al., 2016;
Foster & Deardorff, 2017)—from where they will, ideally, be retrieved by other researchers for
meta-analyses or further research studies.","How the Data Lifecycle Goes off the Road

The scientific data lifecycle has long been viewed as a linear, directed path that starts with an
experiment or simulation, proceeds through analysis and review phases, and ultimately
terminates with a publication in an archival journal (Wing, 2019).","Despite the high importance assigned to the submission of data to such repositories, the data
themselves are not valued adequately; they are often rife with errors.",2022-01-17 18:31:34+00:00,Sharing Begins at Home,cs.DL,['cs.DL'],"[arxiv.Result.Author('William Dempsey'), arxiv.Result.Author('Ian Foster'), arxiv.Result.Author('Scott Fraser'), arxiv.Result.Author('Carl Kesselman')]","The broad sharing of research data is widely viewed as of critical importance
for the speed, quality, accessibility, and integrity of science. Despite
increasing efforts to encourage data sharing, both the quality of shared data,
and the frequency of data reuse, remain stubbornly low. We argue here that a
major reason for this unfortunate state of affairs is that the organization of
research results in the findable, accessible, interoperable, and reusable
(FAIR) form required for reuse is too often deferred to the end of a research
project, when preparing publications, by which time essential details are no
longer accessible. Thus, we propose an approach to research informatics that
applies FAIR principles continuously, from the very inception of a research
project, and ubiquitously, to every data asset produced by experiment or
computation. We suggest that this seemingly challenging task can be made
feasible by the adoption of simple tools, such as lightweight identifiers (to
ensure that every data asset is findable), packaging methods (to facilitate
understanding of data contents), data access methods, and metadata organization
and structuring tools (to support schema development and evolution). We use an
example from experimental neuroscience to illustrate how these methods can work
in practice.",-0.026760029,-0.3967682,-0.51500946,B
680,"During this final publication
process, supporting data may be deposited in domain-specific repositories such as the Gene
Expression Omnibus (GEO) (Clough & Barrett, 2016) or Protein Data Bank (PDB) (Berman,
2008; Berman, Kleywegt, Nakamura, & Markley, 2013) or in lightly structured repositories
provided by journal publishers (Editorial, 2017) or other organizations (Blaiszik et al., 2016;
Foster & Deardorff, 2017) —from where they will, ideally, be retrieved by other researchers for
meta-analyses or further research studies.","How the Data Lifecycle Goes off the Road

The scientific data lifecycle has long been viewed as a linear, directed path that starts with an
experiment or simulation, proceeds through analysis and review phases, and ultimately
terminates with a publication in an archival journal (Wing, 2019).","Despite the high importance assigned to the submission of data to such repositories, the data
themselves are not valued adequately; they are often rife with errors.",2022-01-17 18:31:34+00:00,Sharing Begins at Home,cs.DL,['cs.DL'],"[arxiv.Result.Author('William Dempsey'), arxiv.Result.Author('Ian Foster'), arxiv.Result.Author('Scott Fraser'), arxiv.Result.Author('Carl Kesselman')]","The broad sharing of research data is widely viewed as of critical importance
for the speed, quality, accessibility, and integrity of science. Despite
increasing efforts to encourage data sharing, both the quality of shared data,
and the frequency of data reuse, remain stubbornly low. We argue here that a
major reason for this unfortunate state of affairs is that the organization of
research results in the findable, accessible, interoperable, and reusable
(FAIR) form required for reuse is too often deferred to the end of a research
project, when preparing publications, by which time essential details are no
longer accessible. Thus, we propose an approach to research informatics that
applies FAIR principles continuously, from the very inception of a research
project, and ubiquitously, to every data asset produced by experiment or
computation. We suggest that this seemingly challenging task can be made
feasible by the adoption of simple tools, such as lightweight identifiers (to
ensure that every data asset is findable), packaging methods (to facilitate
understanding of data contents), data access methods, and metadata organization
and structuring tools (to support schema development and evolution). We use an
example from experimental neuroscience to illustrate how these methods can work
in practice.",-0.026760029,-0.3967682,-0.51500946,B
681,"Yet the documentation for one of the sanctioned repositories states that
instructions on how to publish a dataset are a “work in progress.”
process, supporting data may be deposited in domain-specific repositories such as the Gene
Expression Omnibus (GEO) (Clough & Barrett, 2016) or Protein Data Bank (PDB) (Berman,
2008; Berman et al., 2013) or in lightly structured repositories provided by journal publishers
(Editorial, 2017) or other organizations (Blaiszik et al., 2016; Foster & Deardorff, 2017) —from
where they will, ideally, be retrieved by other researchers for meta-analyses or further research
studies.","During this final publication

1 As a case in point, a resource sharing form provided by the National Institutes of Health for
research funded under the BRAIN initiative provides a checklist of repositories to which data
must be deposited.","Despite the high importance assigned to the submission of data to such repositories, the data
themselves are not valued adequately; they are often rife with errors.",2022-01-17 18:31:34+00:00,Sharing Begins at Home,cs.DL,['cs.DL'],"[arxiv.Result.Author('William Dempsey'), arxiv.Result.Author('Ian Foster'), arxiv.Result.Author('Scott Fraser'), arxiv.Result.Author('Carl Kesselman')]","The broad sharing of research data is widely viewed as of critical importance
for the speed, quality, accessibility, and integrity of science. Despite
increasing efforts to encourage data sharing, both the quality of shared data,
and the frequency of data reuse, remain stubbornly low. We argue here that a
major reason for this unfortunate state of affairs is that the organization of
research results in the findable, accessible, interoperable, and reusable
(FAIR) form required for reuse is too often deferred to the end of a research
project, when preparing publications, by which time essential details are no
longer accessible. Thus, we propose an approach to research informatics that
applies FAIR principles continuously, from the very inception of a research
project, and ubiquitously, to every data asset produced by experiment or
computation. We suggest that this seemingly challenging task can be made
feasible by the adoption of simple tools, such as lightweight identifiers (to
ensure that every data asset is findable), packaging methods (to facilitate
understanding of data contents), data access methods, and metadata organization
and structuring tools (to support schema development and evolution). We use an
example from experimental neuroscience to illustrate how these methods can work
in practice.",-0.028027995,-0.37998182,-0.42609286,B
940,"Therefore, we will further study
the possibility of linking semantic macros with numeric regions of interest.","However, for identifying differences in the DLMF and
CAS, especially for analyzing the positioning of branch cuts, an automatic evaluation
of these particular values would be very beneficial and can be used to collect a
comprehensive, inter-system library of branch cuts.","24 https://lacast.wmflabs.org [accessed 01/01/2022]
Comparative Verification of the DLMF and CAS  17

Acknowledgements

We thank Jürgen Gerhard from Maplesoft for providing access and support for Maple.",2022-01-24 06:51:07+00:00,Comparative Verification of the Digital Library of Mathematical Functions and Computer Algebra Systems,cs.DL,['cs.DL'],"[arxiv.Result.Author('André Greiner-Petter'), arxiv.Result.Author('Howard S. Cohl'), arxiv.Result.Author('Abdou Youssef'), arxiv.Result.Author('Moritz Schubotz'), arxiv.Result.Author('Avi Trost'), arxiv.Result.Author('Rajen Dey'), arxiv.Result.Author('Akiko Aizawa'), arxiv.Result.Author('Bela Gipp')]","Digital mathematical libraries assemble the knowledge of years of
mathematical research. Numerous disciplines (e.g., physics, engineering, pure
and applied mathematics) rely heavily on compendia gathered findings. Likewise,
modern research applications rely more and more on computational solutions,
which are often calculated and verified by computer algebra systems. Hence, the
correctness, accuracy, and reliability of both digital mathematical libraries
and computer algebra systems is a crucial attribute for modern research.
  In this paper, we present a novel approach to verify a digital mathematical
library and two computer algebra systems with one another by converting
mathematical expressions from one system to the other. We use our previously
eveloped conversion tool (referred to as LaCASt) to translate formulae from the
NIST Digital Library of Mathematical Functions to the computer algebra systems
Maple and Mathematica. The contributions of our presented work are as follows:
(1) we present the most comprehensive verification of computer algebra systems
and digital mathematical libraries with one another; (2) we significantly
enhance the performance of the underlying translator in terms of coverage and
accuracy; and (3) we provide open access to translations for Maple and
Mathematica of the formulae in the NIST Digital Library of Mathematical
Functions.",0.57106376,-0.35887426,0.2268618,C
941,"Therefore, we will further study
the possibility of linking semantic macros with numeric regions of interest.","However, for identifying differences in the DLMF and
CAS, especially for analyzing the positioning of branch cuts, an automatic evaluation
of these particular values would be very beneficial and can be used to collect a
comprehensive, inter-system library of branch cuts.","24 https://lacast.wmflabs.org [accessed 01/01/2022]
25 https://github.com/ag-gipp/LaCASt [accessed 04/01/2022]
Comparative Verification of the DLMF and CAS  17

Acknowledgements

We thank Jürgen Gerhard from Maplesoft for providing access and support for Maple.",2022-01-24 06:51:07+00:00,Comparative Verification of the Digital Library of Mathematical Functions and Computer Algebra Systems,cs.DL,['cs.DL'],"[arxiv.Result.Author('André Greiner-Petter'), arxiv.Result.Author('Howard S. Cohl'), arxiv.Result.Author('Abdou Youssef'), arxiv.Result.Author('Moritz Schubotz'), arxiv.Result.Author('Avi Trost'), arxiv.Result.Author('Rajen Dey'), arxiv.Result.Author('Akiko Aizawa'), arxiv.Result.Author('Bela Gipp')]","Digital mathematical libraries assemble the knowledge of years of
mathematical research. Numerous disciplines (e.g., physics, engineering, pure
and applied mathematics) rely heavily on compendia gathered findings. Likewise,
modern research applications rely more and more on computational solutions,
which are often calculated and verified by computer algebra systems. Hence, the
correctness, accuracy, and reliability of both digital mathematical libraries
and computer algebra systems is a crucial attribute for modern research.
  In this paper, we present a novel approach to verify a digital mathematical
library and two computer algebra systems with one another by converting
mathematical expressions from one system to the other. We use our previously
eveloped conversion tool (referred to as LaCASt) to translate formulae from the
NIST Digital Library of Mathematical Functions to the computer algebra systems
Maple and Mathematica. The contributions of our presented work are as follows:
(1) we present the most comprehensive verification of computer algebra systems
and digital mathematical libraries with one another; (2) we significantly
enhance the performance of the underlying translator in terms of coverage and
accuracy; and (3) we provide open access to translations for Maple and
Mathematica of the formulae in the NIST Digital Library of Mathematical
Functions.",0.5839472,-0.38076553,0.22109792,C
1633,"A discussion
section details responses to the hypotheses as well as observations about the research
project and avenues for further research.","A results section describes outcomes of the analyses,
followed by limitations of the data and approaches presented here.","An appendix provides additional technical
details.",2022-02-01 21:13:34+00:00,One-Year In: COVID-19 Research at the International Level in CORD-19 Data,cs.DL,"['cs.DL', 'cs.SI', 'physics.soc-ph', 'stat.AP']","[arxiv.Result.Author('Caroline S. Wagner'), arxiv.Result.Author('Xiaojing Cai'), arxiv.Result.Author('Yi Zhang'), arxiv.Result.Author('Caroline V. Fry')]","The appearance of a novel coronavirus in late 2019 radically changed the
community of researchers working on coronaviruses since the 2002 SARS epidemic.
In 2020, coronavirus-related publications grew by 20 times over the previous
two years, with 130,000 more researchers publishing on related topics. The
United States, the United Kingdom and China led dozens of nations working on
coronavirus prior to the pandemic, but leadership consolidated among these
three nations in 2020, which collectively accounted for 50% of all papers,
garnering well more than 60% of citations. China took an early lead on COVID-19
research, but dropped rapidly in production and international participation
through the year. Europe showed an opposite pattern, beginning slowly in
publications but growing in contributions during the year. The share of
internationally collaborative publications dropped from pre-pandemic rates;
single-authored publications grew. For all nations, including China, the number
of publications about COVID track closely with the outbreak of COVID-19 cases.
Lower-income nations participate very little in COVID-19 research in 2020.
Topic maps of internationally collaborative work show the rise of patient care
and public health clusters, two topics that were largely absent from
coronavirus research in the two years prior to 2020. Findings are consistent
with global science as a self-organizing system operating on a reputation-based
dynamic.",-0.24863824,-0.08369826,0.07582844,B
1634,"It is clear that many of the
connections made around COVID-19 may not have existed prior to the pandemic, so
further research is needed to understand how people connected with each other
under crisis conditions.","When that cannot take place, it is unclear
whether people look for physically proximate partners, choose to work alone, become
connected to new people through friend-of-a-friend, through social media, or perhaps
just a ‘cold-call’ outreach to someone they do not know.","Acknowledgements
Thanks go to Clayton E. Tillman and Thomas Collins for help with data collection and
formatting.",2022-02-01 21:13:34+00:00,One-Year In: COVID-19 Research at the International Level in CORD-19 Data,cs.DL,"['cs.DL', 'cs.SI', 'physics.soc-ph', 'stat.AP']","[arxiv.Result.Author('Caroline S. Wagner'), arxiv.Result.Author('Xiaojing Cai'), arxiv.Result.Author('Yi Zhang'), arxiv.Result.Author('Caroline V. Fry')]","The appearance of a novel coronavirus in late 2019 radically changed the
community of researchers working on coronaviruses since the 2002 SARS epidemic.
In 2020, coronavirus-related publications grew by 20 times over the previous
two years, with 130,000 more researchers publishing on related topics. The
United States, the United Kingdom and China led dozens of nations working on
coronavirus prior to the pandemic, but leadership consolidated among these
three nations in 2020, which collectively accounted for 50% of all papers,
garnering well more than 60% of citations. China took an early lead on COVID-19
research, but dropped rapidly in production and international participation
through the year. Europe showed an opposite pattern, beginning slowly in
publications but growing in contributions during the year. The share of
internationally collaborative publications dropped from pre-pandemic rates;
single-authored publications grew. For all nations, including China, the number
of publications about COVID track closely with the outbreak of COVID-19 cases.
Lower-income nations participate very little in COVID-19 research in 2020.
Topic maps of internationally collaborative work show the rise of patient care
and public health clusters, two topics that were largely absent from
coronavirus research in the two years prior to 2020. Findings are consistent
with global science as a self-organizing system operating on a reputation-based
dynamic.",-0.13579826,0.14541477,0.16481957,A
1766,"The diversity of curatorial actions shown in just these two papers highlights the need
for further research into the specific curatorial workflows and communication regimes in different scholarly settings.","Comparison of our two frameworks reveals that ICPSR has much more detailed quality
check protocols, and ICPSR’s curators spend considerable time on tasks like “adding question text” that simply are not
needed in the earth science fields.","It is well understood from research on data practices that there are significant domain differences in curation needs
[Akers and Doty 2013; Cragin et al.",2022-02-09 16:53:15+00:00,"The craft and coordination of data curation: complicating ""workflow"" views of data science",cs.DL,"['cs.DL', 'cs.DB', 'cs.HC']","[arxiv.Result.Author('Andrea K. Thomer'), arxiv.Result.Author('Dharma Akmon'), arxiv.Result.Author('Jeremy York'), arxiv.Result.Author('Allison R. B. Tyler'), arxiv.Result.Author('Faye Polasek'), arxiv.Result.Author('Sara Lafia'), arxiv.Result.Author('Libby Hemphill'), arxiv.Result.Author('Elizabeth Yakel')]","Data curation is the process of making a dataset fit-for-use and archiveable.
It is critical to data-intensive science because it makes complex data
pipelines possible, makes studies reproducible, and makes data (re)usable. Yet
the complexities of the hands-on, technical and intellectual work of data
curation is frequently overlooked or downplayed. Obscuring the work of data
curation not only renders the labor and contributions of the data curators
invisible; it also makes it harder to tease out the impact curators' work has
on the later usability, reliability, and reproducibility of data. To better
understand the specific work of data curation -- and thereby, explore ways of
showing curators' impact -- we conducted a close examination of data curation
at a large social science data repository, the Inter-university Consortium of
Political and Social Research (ICPSR). We asked, What does curatorial work
entail at ICPSR, and what work is more or less visible to different
stakeholders and in different contexts? And, how is that curatorial work
coordinated across the organization? We triangulate accounts of data curation
from interviews and records of curation in Jira tickets to develop a rich and
detailed account of curatorial work. We find that curators describe a number of
craft practices needed to perform their work, which defies the rote sequence of
events implied by many lifecycle or workflow models. Further, we show how best
practices and craft practices are deeply intertwined.",-0.07349634,0.092307955,-0.17377558,A
2255,"The conclusion points to issues for further research
as more complete data will become available on the Covid-19 period.","The explosion of publications on
Covid-19 in 2020 has a quite visible impact on the topic map in infectious diseases and changes the
position of some countries in this field of research.","Keywords
Scientific publications, scientometric analysis, specialisation index, impact index, France, topic
mapping, infectious diseases, Covid-19

                                                                                                                           2
Introduction

L’infectiologie constitue un domaine particulièrement intéressant à étudier avec les outils de la
scientométrie au moment où la recherche y connaît une croissance extraordinaire du fait de la pandémie
de Covid-19.",2022-02-15 09:07:47+00:00,Analyse scientométrique du domaine de l'infectiologie de 2000 à 2020,cs.DL,"['cs.DL', 'cs.IR']","[arxiv.Result.Author('Lesya Baudoin'), arxiv.Result.Author('Anne Glanard'), arxiv.Result.Author('Abdelghani Maddi'), arxiv.Result.Author('Wilfriedo Mescheba'), arxiv.Result.Author('Frédérique Sachwald')]","Research on infectious diseases constitutes a transversal scientific field. A
specific corpus is designed by combining a controlled language (Medline MeSH
thesaurus) and the categorization of journals (Web of Science). From this
global corpus, the article characterizes the publications from the top 20
countries publishing in the field and evolutions between 2000 and 2020. Topic
maps show the research themes within the field of infectious diseases both in
the world and in France. The explosion of publications on Covid-19 in 2020 has
a quite visible impact on the topic map in infectious diseases and changes the
position of some countries in this field of research. The conclusion points to
issues for further research as more complete data will become available on the
Covid-19 period.",-0.14482075,-0.0621631,0.13414846,B
