Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
104,"Upon acceptance, all code for this project will be made open source and publicly available for
reproducibility purposes and further research.","B REPRODUCIBILITY STATEMENT

We discuss speciﬁc training details for all experiments such as hyperparameters in the Appendix.","Upon request, we will share our code with reviewers
and area chairs for review.",2022-01-03 17:00:17+00:00,Finding General Equilibria in Many-Agent Economic Simulations Using Deep Reinforcement Learning,cs.GT,"['cs.GT', 'cs.AI', 'cs.LG', 'econ.GN', 'q-fin.EC']","[arxiv.Result.Author('Michael Curry'), arxiv.Result.Author('Alexander Trott'), arxiv.Result.Author('Soham Phade'), arxiv.Result.Author('Yu Bai'), arxiv.Result.Author('Stephan Zheng')]","Real economies can be seen as a sequential imperfect-information game with
many heterogeneous, interacting strategic agents of various agent types, such
as consumers, firms, and governments. Dynamic general equilibrium models are
common economic tools to model the economic activity, interactions, and
outcomes in such systems. However, existing analytical and computational
methods struggle to find explicit equilibria when all agents are strategic and
interact, while joint learning is unstable and challenging. Amongst others, a
key reason is that the actions of one economic agent may change the reward
function of another agent, e.g., a consumer's expendable income changes when
firms change prices or governments change taxes. We show that multi-agent deep
reinforcement learning (RL) can discover stable solutions that are epsilon-Nash
equilibria for a meta-game over agent types, in economic simulations with many
agents, through the use of structured learning curricula and efficient GPU-only
simulation and training. Conceptually, our approach is more flexible and does
not need unrealistic assumptions, e.g., market clearing, that are commonly used
for analytical tractability. Our GPU implementation enables training and
analyzing economies with a large number of agents within reasonable time
frames, e.g., training completes within a day. We demonstrate our approach in
real-business-cycle models, a representative family of DGE models, with 100
worker-consumers, 10 firms, and a government who taxes and redistributes. We
validate the learned meta-game epsilon-Nash equilibria through approximate
best-response analyses, show that RL policies align with economic intuitions,
and that our approach is constructive, e.g., by explicitly learning a spectrum
of meta-game epsilon-Nash equilibria in open RBC models.",-0.28814945,0.467338,-0.22844863,B
784,"We further study how the requirement
                                                 of proportionality over voting rules eﬀects the guarantees on social wel-
                                                 fare and representation.","We show that many of the guarantees from the multi-winner set-
                                                 ting do not generalize to the PB setting, and that the introduction of
                                                 costs leads to substantially worse guarantees, thereby exacerbating the
                                                 welfare-representation trade-oﬀ.","We study the latter point also empirically, both
                                                 on real and synthetic datasets.",2022-01-19 11:53:36+00:00,Welfare vs. Representation in Participatory Budgeting,cs.GT,['cs.GT'],"[arxiv.Result.Author('Roy Fairstein'), arxiv.Result.Author('Reshef Meir'), arxiv.Result.Author('Dan Vilenchik'), arxiv.Result.Author('Kobi Gal')]","Participatory budgeting (PB) is a democratic process for allocating funds to
projects based on the votes of members of the community. Different rules have
been used to aggregate participants' votes. Past research has studied the
trade-off between notions of social welfare and fairness in the multi-winner
setting (a special case of participatory budgeting with identical project
costs) by Lackner and Skowron (2020). But there is little understanding of this
trade-off in the more general PB setting. This paper provides a theoretical and
empirical study of the worst-case guarantees of several common rules to better
understand the trade-off between social welfare, representation. We show that
many of the guarantees from the multi-winner setting do not generalize to the
PB setting, and that the introduction of costs leads to substantially worse
guarantees, thereby exacerbating the welfare-representation trade-off. We
extend our theoretical analysis to studying how the requirement of
proportionality over voting rules affects this trade-off. We further study how
the requirement of proportionality over voting rules effects the guarantees on
social welfare and representation. We study the latter point also empirically,
both on real and synthetic datasets. We show that variants of the recently
suggested voting rule Rule-X (which satisfies proportionality) do very well in
practice both with respect to social welfare and representation.",0.25578025,0.14459266,0.18148866,C
785,"We further study how the requirement
                                                 of proportionality over voting rules eﬀects the guarantees on social wel-
                                                 fare and representation.","We show that many of the guarantees from the multi-winner set-
                                                 ting do not generalize to the PB setting, and that the introduction of
                                                 costs leads to substantially worse guarantees, thereby exacerbating the
                                                 welfare-representation trade-oﬀ.","We study the latter point also empirically, both
                                                 on real and synthetic datasets.",2022-01-19 11:53:36+00:00,Welfare vs. Representation in Participatory Budgeting,cs.GT,['cs.GT'],"[arxiv.Result.Author('Roy Fairstein'), arxiv.Result.Author('Reshef Meir'), arxiv.Result.Author('Dan Vilenchik'), arxiv.Result.Author('Kobi Gal')]","Participatory budgeting (PB) is a democratic process for allocating funds to
projects based on the votes of members of the community. Different rules have
been used to aggregate participants' votes. Past research has studied the
trade-off between notions of social welfare and fairness in the multi-winner
setting (a special case of participatory budgeting with identical project
costs) by Lackner and Skowron (2020). But there is little understanding of this
trade-off in the more general PB setting. This paper provides a theoretical and
empirical study of the worst-case guarantees of several common rules to better
understand the trade-off between social welfare, representation. We show that
many of the guarantees from the multi-winner setting do not generalize to the
PB setting, and that the introduction of costs leads to substantially worse
guarantees, thereby exacerbating the welfare-representation trade-off. We
extend our theoretical analysis to studying how the requirement of
proportionality over voting rules affects this trade-off. We further study how
the requirement of proportionality over voting rules effects the guarantees on
social welfare and representation. We study the latter point also empirically,
both on real and synthetic datasets. We show that variants of the recently
suggested voting rule Rule-X (which satisfies proportionality) do very well in
practice both with respect to social welfare and representation.",0.25578025,0.14459266,0.18148866,C
786,"We further study how the requirement
                                                 of proportionality over voting rules eﬀects the guarantees on social wel-
                                                 fare and representation.","We show that many of the guarantees from the multi-winner set-
                                                 ting do not generalize to the PB setting, and that the introduction of
                                                 costs leads to substantially worse guarantees, thereby exacerbating the
                                                 welfare-representation trade-oﬀ.","We study the latter point also empirically, both
                                                 on real and synthetic datasets.",2022-01-19 11:53:36+00:00,Welfare vs. Representation in Participatory Budgeting,cs.GT,['cs.GT'],"[arxiv.Result.Author('Roy Fairstein'), arxiv.Result.Author('Reshef Meir'), arxiv.Result.Author('Dan Vilenchik'), arxiv.Result.Author('Kobi Gal')]","Participatory budgeting (PB) is a democratic process for allocating funds to
projects based on the votes of members of the community. Different rules have
been used to aggregate participants' votes. Past research has studied the
trade-off between notions of social welfare and fairness in the multi-winner
setting (a special case of participatory budgeting with identical project
costs) by Lackner and Skowron (2020). But there is little understanding of this
trade-off in the more general PB setting. This paper provides a theoretical and
empirical study of the worst-case guarantees of several common rules to better
understand the trade-off between social welfare, representation. We show that
many of the guarantees from the multi-winner setting do not generalize to the
PB setting, and that the introduction of costs leads to substantially worse
guarantees, thereby exacerbating the welfare-representation trade-off. We
extend our theoretical analysis to studying how the requirement of
proportionality over voting rules affects this trade-off. We further study how
the requirement of proportionality over voting rules effects the guarantees on
social welfare and representation. We study the latter point also empirically,
both on real and synthetic datasets. We show that variants of the recently
suggested voting rule Rule-X (which satisfies proportionality) do very well in
practice both with respect to social welfare and representation.",0.25578025,0.14459266,0.18148866,C
1649,"While our system is a prototype, we believe that its results are promising and deserve further study.","We show that the greedy algorithm is, on average, superior to simulated annealing for computing
       our committees (but simulated annealing also has positive features).",Related Work.,2022-02-07 18:15:07+00:00,Using Multiwinner Voting to Search for Movies,cs.GT,['cs.GT'],"[arxiv.Result.Author('Grzegorz Gawron'), arxiv.Result.Author('Piotr Faliszewski')]","We show a prototype of a system that uses multiwinner voting to suggest
resources (such as movies) related to a given query set (such as a movie that
one enjoys). Depending on the voting rule used, the system can either provide
resources very closely related to the query set or a broader spectrum of
options. We show how this ability can be interpreted as a way of controlling
the diversity of the results. We test our system both on synthetic data and on
the real-life collection of movie ratings from the MovieLens dataset. We also
present a visual comparison of the search results corresponding to selected
diversity levels.",0.14336464,0.33715516,0.21051216,B
1650,"While our system is a prototype, we believe that its results are promising and deserve further study.","We show that the greedy algorithm is, on average, superior to simulated annealing for computing
       our committees (but simulated annealing also has positive features).",Related Work.,2022-02-07 18:15:07+00:00,Using Multiwinner Voting to Search for Movies,cs.GT,['cs.GT'],"[arxiv.Result.Author('Grzegorz Gawron'), arxiv.Result.Author('Piotr Faliszewski')]","We show a prototype of a system that uses multiwinner voting to suggest
resources (such as movies) related to a given query set (such as a movie that
one enjoys). Depending on the voting rule used, the system can either provide
resources very closely related to the query set or a broader spectrum of
options. We show how this ability can be interpreted as a way of controlling
the diversity of the results. We test our system both on synthetic data and on
the real-life collection of movie ratings from the MovieLens dataset. We also
present a visual comparison of the search results corresponding to selected
diversity levels.",0.14336464,0.33715516,0.21051216,B
1676,"We further study the subclass of Boolean observation
                                               games with ‘knowing whether’ goal formulas, for which the satisfaction does not de-
                                               pend on the value of variables.","We also study the com-
                                               plexity of checking for the existence of Nash equilibria and of verifying if a strategy
                                               proﬁle is a Nash equilibrium.","We show that each such Boolean observation game
                                               corresponds to a Boolean game and vice versa, by a diﬀerent correspondence, and
                                               that both correspondences are precise in terms of existence of Nash equilibria.",2022-02-08 04:11:01+00:00,Boolean Observation Games,cs.GT,"['cs.GT', 'cs.AI']","[arxiv.Result.Author('Hans van Ditmarsch'), arxiv.Result.Author('Sunil Simon')]","We introduce Boolean Observation Games, a subclass of multi-player finite
strategic games with incomplete information and qualitative objectives. In
Boolean observation games, each player is associated with a finite set of
propositional variables of which only it can observe the value, and it controls
whether and to whom it can reveal that value. It does not control the given,
fixed, value of variables. Boolean observation games are a generalization of
Boolean games, a well-studied subclass of strategic games but with complete
information, and wherein each player controls the value of its variables.
  In Boolean observation games player goals describe multi-agent knowledge of
variables. As in classical strategic games, players choose their strategies
simultaneously and therefore observation games capture aspects of both
imperfect and incomplete information. They require reasoning about sets of
outcomes given sets of indistinguishable valuations of variables. What a Nash
equilibrium is, depends on an outcome relation between such sets. We present
various outcome relations, including a qualitative variant of ex-post
equilibrium. We identify conditions under which, given an outcome relation,
Nash equilibria are guaranteed to exist. We also study the complexity of
checking for the existence of Nash equilibria and of verifying if a strategy
profile is a Nash equilibrium. We further study the subclass of Boolean
observation games with `knowing whether' goal formulas, for which the
satisfaction does not depend on the value of variables. We show that each such
Boolean observation game corresponds to a Boolean game and vice versa, by a
different correspondence, and that both correspondences are precise in terms of
existence of Nash equilibria.",-0.06434323,-0.34407377,0.09909503,C
1677,There are many directions for further research.,A summary of our results are listed in Table 3.,"One could imagine a whole and ever
widening range of qualitative incomplete information games of imperfect information.",2022-02-08 04:11:01+00:00,Boolean Observation Games,cs.GT,"['cs.GT', 'cs.AI']","[arxiv.Result.Author('Hans van Ditmarsch'), arxiv.Result.Author('Sunil Simon')]","We introduce Boolean Observation Games, a subclass of multi-player finite
strategic games with incomplete information and qualitative objectives. In
Boolean observation games, each player is associated with a finite set of
propositional variables of which only it can observe the value, and it controls
whether and to whom it can reveal that value. It does not control the given,
fixed, value of variables. Boolean observation games are a generalization of
Boolean games, a well-studied subclass of strategic games but with complete
information, and wherein each player controls the value of its variables.
  In Boolean observation games player goals describe multi-agent knowledge of
variables. As in classical strategic games, players choose their strategies
simultaneously and therefore observation games capture aspects of both
imperfect and incomplete information. They require reasoning about sets of
outcomes given sets of indistinguishable valuations of variables. What a Nash
equilibrium is, depends on an outcome relation between such sets. We present
various outcome relations, including a qualitative variant of ex-post
equilibrium. We identify conditions under which, given an outcome relation,
Nash equilibria are guaranteed to exist. We also study the complexity of
checking for the existence of Nash equilibria and of verifying if a strategy
profile is a Nash equilibrium. We further study the subclass of Boolean
observation games with `knowing whether' goal formulas, for which the
satisfaction does not depend on the value of variables. We show that each such
Boolean observation game corresponds to a Boolean game and vice versa, by a
different correspondence, and that both correspondences are precise in terms of
existence of Nash equilibria.",-0.24957585,0.061835796,0.08544811,B_centroid
1936,"We
can use the existence of such cycles to further study the conditions under which particular social choice

functions are implementable as NOM mechanisms.","Some cycles are guaranteed to exist in Gβi,f and Gωi,f , regardless of the labellings we choose.","Consider ﬁrst any labelling β and let tj, tk ∈ Di be
two types from the domain of player i.",2022-02-14 12:36:36+00:00,Non-Obvious Manipulability for Single-Parameter Agents and Bilateral Trade,cs.GT,['cs.GT'],"[arxiv.Result.Author('Thomas Archbold'), arxiv.Result.Author('Bart de Keijzer'), arxiv.Result.Author('Carmine Ventre')]","A recent line of work in mechanism design has focused on guaranteeing
incentive compatibility for agents without contingent reasoning skills:
obviously strategyproof mechanisms guarantee that it is ""obvious"" for these
imperfectly rational agents to behave honestly, whereas non-obviously
manipulable (NOM) mechanisms take a more optimistic view and ensure that these
agents will only misbehave when it is ""obvious"" for them to do so. Technically,
obviousness requires comparing certain extrema (defined over the actions of the
other agents) of an agent's utilities for honest behaviour against dishonest
behaviour.
  We present a technique for designing NOM mechanisms in settings where
monetary transfers are allowed based on cycle monotonicity, which allows us to
disentangle the specification of the mechanism's allocation from the payments.
By leveraging this framework, we completely characterise both allocation and
payment functions of NOM mechanisms for single-parameter agents. We then look
at the classical setting of bilateral trade and study whether and how much
subsidy is needed to guarantee NOM, efficiency, and individual rationality. We
prove a stark dichotomy; no finite subsidy suffices if agents look only at
best-case extremes, whereas no subsidy at all is required when agents focus on
worst-case extremes. We conclude the paper by characterising the NOM mechanisms
that require no subsidies whilst satisfying individual rationality.",0.032467455,-0.18521371,0.067207746,C
2100,"Honglu Jiang is with the Department of Informatics and Engineering           • We further study the scenario in which multiple orga-
                                        Systems, The University of Texas Rio Grande Valley, Brownsville, TX, USA.","Email: jc144@iu.edu, qinhu@iu.edu                           maintains the stability of the system.","Email: honglu.jiang@utrgv.edu

                                           This work is partly supported by the US NSF under grant CNS-2105004.",2022-02-16 22:37:34+00:00,MMZDA: Enabling Social Welfare Maximization in Cross-Silo Federated Learning,cs.GT,"['cs.GT', 'cs.DC']","[arxiv.Result.Author('Jianan Chen'), arxiv.Result.Author('Qin Hu'), arxiv.Result.Author('Honglu Jiang')]","As one of the typical settings of Federated Learning (FL), cross-silo FL
allows organizations to jointly train an optimal Machine Learning (ML) model.
In this case, some organizations may try to obtain the global model without
contributing their local training, lowering the social welfare. In this paper,
we model the interactions among organizations in cross-silo FL as a public
goods game for the first time and theoretically prove that there exists a
social dilemma where the maximum social welfare is not achieved in Nash
equilibrium. To overcome this social dilemma, we employ the Multi-player
Multi-action Zero-Determinant (MMZD) strategy to maximize the social welfare.
With the help of the MMZD, an individual organization can unilaterally control
the social welfare without extra cost. Since the MMZD strategy can be adopted
by all organizations, we further study the scenario where multiple
organizations jointly adopt the MMZD strategy and form an MMZD Alliance
(MMZDA). We prove theoretically that the MMZDA strategy strengthens the control
of the maximum social welfare. Experimental results validate that the MMZD
strategy is effective in maximizing the social welfare and the MMZDA can
achieve a larger maximum value.",-0.11446044,0.2846142,0.2230595,B
