Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
2217,"To
facilitate further research along this front we make our study data available
at https://gitlab.fri.uni-lj.si/lrk/approximate_video_study/.","Finally, our
work indicates that aside from the viewer’s physical activity, the content of the
video and the viewer’s personality, there are also other dimensions that impact
the quality requirements and which must be further explored in order to enable
accurate prediction of the appropriate quality settings for video playback.","References

1.",2022-02-20 10:03:18+00:00,Context-aware adaptation of mobile video decoding resolution,cs.MM,"['cs.MM', 'cs.HC']","[arxiv.Result.Author('Octavian Machidon'), arxiv.Result.Author('Jani Asprov'), arxiv.Result.Author('Tine Fajfar'), arxiv.Result.Author('Veljko Pejovic')]","While the evolution of mobile computing is experiencing a considerable
growth, it is at the same time seriously threatened by the limitations of the
battery technology, which does not keep pace with the evergrowing increase in
energy requirements of mobile applications. A novel approach for reducing the
energy appetite of mobile apps comes from the approximate computing field,
which proposes techniques that in a controlled manner sacrifice computation
accuracy for higher energy savings. Building on this philosophy we propose a
context-aware mobile video quality adaptation that reduces the energy needed
for video playback, while ensuring that a user's quality expectations with
respect to the mobile video are met. We confirm that the decoding resolution
can play a significant role in reducing the overall power consumption of a
mobile device and conduct two user studies to investigate how the context in
which a video is played, its content, and the user's personality, modulate a
user's quality expectations. We discover that a user's physical activity, the
spatial/temporal properties of the video, and the user's personality traits
interact and jointly influence the minimal acceptable playback resolution,
paving the way for context-adaptable approximate mobile computing.",0.37301016,-0.14371943,0.055091687,A
4475,"timodality is, therefore, a suitable avenue of research by
On the other, the audio contains information about the musical     which to further study and exploit the synergies between these
performance, but certain aspects are difﬁcult to retrieve owing    individual recognition schemes.","Mul-
domain that must be decoded in order to interpret it as music.","to human interpretation or certain unavoidable ambiguities
(such as the clef or the meter).",2022-04-06 20:00:33+00:00,Late multimodal fusion for image and audio music transcription,cs.MM,"['cs.MM', 'cs.CV', 'cs.IR', 'cs.SD', 'eess.AS', 'H.3; H.4; I.4; I.5; J.6']","[arxiv.Result.Author('María Alfaro-Contreras'), arxiv.Result.Author('Jose J. Valero-Mas'), arxiv.Result.Author('José M. Iñesta'), arxiv.Result.Author('Jorge Calvo-Zaragoza')]","Music transcription, which deals with the conversion of music sources into a
structured digital format, is a key problem for Music Information Retrieval
(MIR). When addressing this challenge in computational terms, the MIR community
follows two lines of research: music documents, which is the case of Optical
Music Recognition (OMR), or audio recordings, which is the case of Automatic
Music Transcription (AMT). The different nature of the aforementioned input
data has conditioned these fields to develop modality-specific frameworks.
However, their recent definition in terms of sequence labeling tasks leads to a
common output representation, which enables research on a combined paradigm. In
this respect, multimodal image and audio music transcription comprises the
challenge of effectively combining the information conveyed by image and audio
modalities. In this work, we explore this question at a late-fusion level: we
study four combination approaches in order to merge, for the first time, the
hypotheses regarding end-to-end OMR and AMT systems in a lattice-based search
space. The results obtained for a series of performance scenarios -- in which
the corresponding single-modality models yield different error rates -- showed
interesting benefits of these approaches. In addition, two of the four
strategies considered significantly improve the corresponding unimodal standard
recognition frameworks.",-0.4213348,-0.47151336,-0.28325352,C_centroid
4476,"This         In this work, we aim to further research the aforementioned
                                                                   avenue of multimodal OMR-AMT transcription.","introduced is usually considered together with the Connec-
tionist Temporal Classiﬁcation (CTC) loss function [14].","We assume
                                                                   that the score image and the recording of the same piece
JOURNAL OF LATEX CLASS FILES, VOL.",2022-04-06 20:00:33+00:00,Late multimodal fusion for image and audio music transcription,cs.MM,"['cs.MM', 'cs.CV', 'cs.IR', 'cs.SD', 'eess.AS', 'H.3; H.4; I.4; I.5; J.6']","[arxiv.Result.Author('María Alfaro-Contreras'), arxiv.Result.Author('Jose J. Valero-Mas'), arxiv.Result.Author('José M. Iñesta'), arxiv.Result.Author('Jorge Calvo-Zaragoza')]","Music transcription, which deals with the conversion of music sources into a
structured digital format, is a key problem for Music Information Retrieval
(MIR). When addressing this challenge in computational terms, the MIR community
follows two lines of research: music documents, which is the case of Optical
Music Recognition (OMR), or audio recordings, which is the case of Automatic
Music Transcription (AMT). The different nature of the aforementioned input
data has conditioned these fields to develop modality-specific frameworks.
However, their recent definition in terms of sequence labeling tasks leads to a
common output representation, which enables research on a combined paradigm. In
this respect, multimodal image and audio music transcription comprises the
challenge of effectively combining the information conveyed by image and audio
modalities. In this work, we explore this question at a late-fusion level: we
study four combination approaches in order to merge, for the first time, the
hypotheses regarding end-to-end OMR and AMT systems in a lattice-based search
space. The results obtained for a series of performance scenarios -- in which
the corresponding single-modality models yield different error rates -- showed
interesting benefits of these approaches. In addition, two of the four
strategies considered significantly improve the corresponding unimodal standard
recognition frameworks.",-0.40269232,0.5909405,-0.20191705,B_centroid
4477,"timodality is, therefore, a suitable avenue of research by
On the other, the audio contains information about the musical     which to further study and exploit the synergies between these
performance, but certain aspects are difﬁcult to retrieve owing    individual recognition schemes.","Mul-
domain that must be decoded in order to interpret it as music.","to human interpretation or certain unavoidable ambiguities
(such as the clef or the meter).",2022-04-06 20:00:33+00:00,Late multimodal fusion for image and audio music transcription,cs.MM,"['cs.MM', 'cs.CV', 'cs.IR', 'cs.SD', 'eess.AS', 'H.3; H.4; I.4; I.5; J.6']","[arxiv.Result.Author('María Alfaro-Contreras'), arxiv.Result.Author('Jose J. Valero-Mas'), arxiv.Result.Author('José M. Iñesta'), arxiv.Result.Author('Jorge Calvo-Zaragoza')]","Music transcription, which deals with the conversion of music sources into a
structured digital format, is a key problem for Music Information Retrieval
(MIR). When addressing this challenge in computational terms, the MIR community
follows two lines of research: music documents, which is the case of Optical
Music Recognition (OMR), or audio recordings, which is the case of Automatic
Music Transcription (AMT). The different nature of the aforementioned input
data has conditioned these fields to develop modality-specific frameworks.
However, their recent definition in terms of sequence labeling tasks leads to a
common output representation, which enables research on a combined paradigm. In
this respect, multimodal image and audio music transcription comprises the
challenge of effectively combining the information conveyed by image and audio
modalities. In this work, we explore this question at a late-fusion level: we
study four combination approaches in order to merge, for the first time, the
hypotheses regarding end-to-end OMR and AMT systems in a lattice-based search
space. The results obtained for a series of performance scenarios -- in which
the corresponding single-modality models yield different error rates -- showed
interesting benefits of these approaches. In addition, two of the four
strategies considered significantly improve the corresponding unimodal standard
recognition frameworks.",-0.4213348,-0.47151336,-0.28325352,C
4478,"This         In this work, we aim to further research the aforementioned
                                                                   avenue of multimodal OMR-AMT transcription.","introduced is usually considered together with the Connec-
tionist Temporal Classiﬁcation (CTC) loss function [14].","We assume
                                                                   that the score image and the recording of the same piece
JOURNAL OF LATEX CLASS FILES, VOL.",2022-04-06 20:00:33+00:00,Late multimodal fusion for image and audio music transcription,cs.MM,"['cs.MM', 'cs.CV', 'cs.IR', 'cs.SD', 'eess.AS', 'H.3; H.4; I.4; I.5; J.6']","[arxiv.Result.Author('María Alfaro-Contreras'), arxiv.Result.Author('Jose J. Valero-Mas'), arxiv.Result.Author('José M. Iñesta'), arxiv.Result.Author('Jorge Calvo-Zaragoza')]","Music transcription, which deals with the conversion of music sources into a
structured digital format, is a key problem for Music Information Retrieval
(MIR). When addressing this challenge in computational terms, the MIR community
follows two lines of research: music documents, which is the case of Optical
Music Recognition (OMR), or audio recordings, which is the case of Automatic
Music Transcription (AMT). The different nature of the aforementioned input
data has conditioned these fields to develop modality-specific frameworks.
However, their recent definition in terms of sequence labeling tasks leads to a
common output representation, which enables research on a combined paradigm. In
this respect, multimodal image and audio music transcription comprises the
challenge of effectively combining the information conveyed by image and audio
modalities. In this work, we explore this question at a late-fusion level: we
study four combination approaches in order to merge, for the first time, the
hypotheses regarding end-to-end OMR and AMT systems in a lattice-based search
space. The results obtained for a series of performance scenarios -- in which
the corresponding single-modality models yield different error rates -- showed
interesting benefits of these approaches. In addition, two of the four
strategies considered significantly improve the corresponding unimodal standard
recognition frameworks.",-0.40269232,0.5909405,-0.20191705,B
4479,"timodality is, therefore, a suitable avenue of research by
On the other, the audio contains information about the musical     which to further study and exploit the synergies between these
performance, but certain aspects are difﬁcult to retrieve owing    individual recognition schemes.","Mul-
domain that must be decoded in order to interpret it as music.","to human interpretation or certain unavoidable ambiguities
(such as the clef or the meter).",2022-04-06 20:00:33+00:00,Late multimodal fusion for image and audio music transcription,cs.MM,"['cs.MM', 'cs.CV', 'cs.IR', 'cs.SD', 'eess.AS', 'H.3; H.4; I.4; I.5; J.6']","[arxiv.Result.Author('María Alfaro-Contreras'), arxiv.Result.Author('Jose J. Valero-Mas'), arxiv.Result.Author('José M. Iñesta'), arxiv.Result.Author('Jorge Calvo-Zaragoza')]","Music transcription, which deals with the conversion of music sources into a
structured digital format, is a key problem for Music Information Retrieval
(MIR). When addressing this challenge in computational terms, the MIR community
follows two lines of research: music documents, which is the case of Optical
Music Recognition (OMR), or audio recordings, which is the case of Automatic
Music Transcription (AMT). The different nature of the aforementioned input
data has conditioned these fields to develop modality-specific frameworks.
However, their recent definition in terms of sequence labeling tasks leads to a
common output representation, which enables research on a combined paradigm. In
this respect, multimodal image and audio music transcription comprises the
challenge of effectively combining the information conveyed by image and audio
modalities. In this work, we explore this question at a late-fusion level: we
study four combination approaches in order to merge, for the first time, the
hypotheses regarding end-to-end OMR and AMT systems in a lattice-based search
space. The results obtained for a series of performance scenarios -- in which
the corresponding single-modality models yield different error rates -- showed
interesting benefits of these approaches. In addition, two of the four
strategies considered significantly improve the corresponding unimodal standard
recognition frameworks.",-0.4213348,-0.47151336,-0.28325352,C
4480,"This         In this work, we aim to further research the aforementioned
                                                                   avenue of multimodal OMR-AMT transcription.","introduced is usually considered together with the Connec-
tionist Temporal Classiﬁcation (CTC) loss function [14].","We assume
                                                                   that the score image and the recording of the same piece
JOURNAL OF LATEX CLASS FILES, VOL.",2022-04-06 20:00:33+00:00,Late multimodal fusion for image and audio music transcription,cs.MM,"['cs.MM', 'cs.CV', 'cs.IR', 'cs.SD', 'eess.AS', 'H.3; H.4; I.4; I.5; J.6']","[arxiv.Result.Author('María Alfaro-Contreras'), arxiv.Result.Author('Jose J. Valero-Mas'), arxiv.Result.Author('José M. Iñesta'), arxiv.Result.Author('Jorge Calvo-Zaragoza')]","Music transcription, which deals with the conversion of music sources into a
structured digital format, is a key problem for Music Information Retrieval
(MIR). When addressing this challenge in computational terms, the MIR community
follows two lines of research: music documents, which is the case of Optical
Music Recognition (OMR), or audio recordings, which is the case of Automatic
Music Transcription (AMT). The different nature of the aforementioned input
data has conditioned these fields to develop modality-specific frameworks.
However, their recent definition in terms of sequence labeling tasks leads to a
common output representation, which enables research on a combined paradigm. In
this respect, multimodal image and audio music transcription comprises the
challenge of effectively combining the information conveyed by image and audio
modalities. In this work, we explore this question at a late-fusion level: we
study four combination approaches in order to merge, for the first time, the
hypotheses regarding end-to-end OMR and AMT systems in a lattice-based search
space. The results obtained for a series of performance scenarios -- in which
the corresponding single-modality models yield different error rates -- showed
interesting benefits of these approaches. In addition, two of the four
strategies considered significantly improve the corresponding unimodal standard
recognition frameworks.",-0.40269232,0.5909405,-0.20191705,B
6005,"However, further study is required
icant differences (𝜒2 = 19, 𝑝 < 0.001).","nificant research attention for omnidirectional videos [5, 40, 56]
Friedman’s test reveals that there are groups with statistically signif-                                                                                                                       and point clouds [12, 30, 39, 41].",The results of the Wilcoxon                                                                                                                            for live real-time human point cloud reconstructions.,2022-05-10 13:56:41+00:00,Evaluating the Impact of Tiled User-Adaptive Real-Time Point Cloud Streaming on VR Remote Communication,cs.MM,['cs.MM'],"[arxiv.Result.Author('Shishir Subramanyam'), arxiv.Result.Author('Irene Viola'), arxiv.Result.Author('Jack Jansen'), arxiv.Result.Author('Evangelos Alexiou'), arxiv.Result.Author('Alan Hanjalic'), arxiv.Result.Author('Pablo Cesar')]","Remote communication has rapidly become a part of everyday life in both
professional and personal contexts. However, popular video conferencing
applications present limitations in terms of quality of communication,
immersion and social meaning. VR remote communication applications offer a
greater sense of co-presence and mutual sensing of emotions between remote
users. Previous research on these applications has shown that realistic point
cloud user reconstructions offer better immersion and communication as compared
to synthetic user avatars. However, photorealistic point clouds require a large
volume of data per frame and are challenging to transmit over bandwidth-limited
networks. Recent research has demonstrated significant improvements to
perceived quality by optimizing the usage of bandwidth based on the position
and orientation of the user's viewport with user-adaptive streaming. In this
work, we developed a real-time VR communication application with an adaptation
engine that features tiled user-adaptive streaming based on user behaviour. The
application also supports traditional network adaptive streaming. The
contribution of this work is to evaluate the impact of tiled user-adaptive
streaming on quality of communication, visual quality, system performance and
task completion in a functional live VR remote communication system. We perform
a subjective evaluation with 33 users to compare the different streaming
conditions with a neck exercise training task. As a baseline, we use
uncompressed streaming requiring ca. 300Mbps and our solution achieves similar
visual quality with tiled adaptive streaming at 14Mbps. We also demonstrate
statistically significant gains to the quality of interaction and improvements
to system performance and CPU consumption with tiled adaptive streaming as
compared to the more traditional network adaptive streaming.",0.340571,0.20376343,0.06825863,A
7644,"Specifically,        sider this paper an invitation for further study and discus-
in example b) we list a set of music tracks with non-English      sion of the interplay between culture and bias in the con-
vocals, and we use them to retrieve music that is similar in      text of artistic correspondence learning and the challenges
style to a query input, but in a non-English language.",We can also condition on language.,Inter-     it presents.,2022-06-14 20:21:04+00:00,It's Time for Artistic Correspondence in Music and Video,cs.MM,"['cs.MM', 'cs.CV']","[arxiv.Result.Author('Didac Suris'), arxiv.Result.Author('Carl Vondrick'), arxiv.Result.Author('Bryan Russell'), arxiv.Result.Author('Justin Salamon')]","We present an approach for recommending a music track for a given video, and
vice versa, based on both their temporal alignment and their correspondence at
an artistic level. We propose a self-supervised approach that learns this
correspondence directly from data, without any need of human annotations. In
order to capture the high-level concepts that are required to solve the task,
we propose modeling the long-term temporal context of both the video and the
music signals, using Transformer networks for each modality. Experiments show
that this approach strongly outperforms alternatives that do not exploit the
temporal context. The combination of our contributions improve retrieval
accuracy up to 10x over prior state of the art. This strong improvement allows
us to introduce a wide range of analyses and applications. For instance, we can
condition music retrieval based on visually defined attributes.",-0.30183432,-0.2779736,0.10095778,C
9336,"However given one of the strengths of our approach is fully-automated
shaping of the visualisation without extra efforts by a human, other more automated ways to draw the data
will be an important topic of further study.","A manual indication of the important parts by the lecturer at
the time of uploading each video may be a simple solution that could also serve as a way to lead a more
desirable evolution of the contour.","For example, some studies used supervised machine learning

Frontiers   13
Lee et al.",2022-07-26 13:53:15+00:00,Playback-centric visualisations of video usage using weighted interactions to guide where to watch in an educational context,cs.MM,"['cs.MM', 'cs.HC']","[arxiv.Result.Author('Hyowon Lee'), arxiv.Result.Author('Mingming Liu'), arxiv.Result.Author('Michael Scriney'), arxiv.Result.Author('Alan F. Smeaton')]","The increase in use of online educational tools has led to a large amount of
educational video materials made available for students. Finding the right
video content is usually supported by the overarching learning management
system and its interface that organises video items by course, categories and
weeks, and makes them searchable. However, once a video is found, students are
left without further guidance as to what parts in that video they should focus
on. In this article, an additional timeline visualisation to augment the
conventional playback timeline is introduced which employs a novel playback
weighting strategy in which the history of different video interactions
generate scores based on the context of each playback. The resultant scores are
presented on the additional timeline, making it in effect a playback-centric
usage graph nuanced by how each playback was executed. Students can selectively
watch those portions which the contour of the usage visualisation suggests. The
visualisation was implemented and deployed in an undergraduate course at a
university for two full semesters. 270 students used the system throughout both
semesters watching 52 videos, guided by visualisations on what to watch.
Analysis of playback logs revealed students selectively watched corresponding
to the most important portions of the videos as assessed by the instructor who
created the videos. The characteristics of this as a way of guiding students as
to where to watch as well as a complementary tool for playback analysis, are
discussed. Further insights into the potential values of this visualisation and
its underlying playback weighting strategy are also discussed.",0.19149786,0.13482606,0.15939285,A
