Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
137,"With this capability, we imagine
the work to enable further research in cloud robotics, by                   [20] S. A. Miratabzadeh, N. Gallardo, N. Gamez, K. Haradi, A. R.
enabling transparent proxying for ROS, using its native                           Puthussery, P. Rad, and M. Jamshidi, “Cloud robotics: A software
communication protocols and technologies.","949–955, 2017.
work segments in general.","architecture: For heterogeneous large-scale autonomous robots,” in
                                                                                  2016 World Automation Congress (WAC).",2022-01-05 13:50:13+00:00,Proxying ROS communications -- enabling containerized ROS deployments in distributed multi-host environments,cs.RO,"['cs.RO', 'cs.SY', 'eess.SY']","[arxiv.Result.Author('Arne Wendt'), arxiv.Result.Author('Prof. Dr. -Ing. Thorsten Schüppstuhl')]","With the ability to use containers at the edge, they pose a unified solution
to combat the complexity of distributed multi-host ROS deployments, as well as
individual ROS-node and dependency deployment. The bidirectional communication
in ROS poses a challenge to using containerized ROS deployments alongside
non-containerized ones spread over multiple machines though. We will analyze
the communication protocol employed by ROS, and the suitability of different
container networking modes and their implications on ROS deployments. Finally,
we will present a layer 7 transparent proxy server architecture for ROS, as a
solution to the identified problems. Enabling the use of ROS not only in
containerized environments, but proxying ROS between network segments in
general.",0.040602718,0.24519823,0.2881629,B
138,"With this capability, we imagine
the work to enable further research in cloud robotics, by                   [20] S. A. Miratabzadeh, N. Gallardo, N. Gamez, K. Haradi, A. R.
enabling transparent proxying for ROS, using its native                           Puthussery, P. Rad, and M. Jamshidi, “Cloud robotics: A software
communication protocols and technologies.","949–955, 2017.
work segments in general.","architecture: For heterogeneous large-scale autonomous robots,” in
                                                                                  2016 World Automation Congress (WAC).",2022-01-05 13:50:13+00:00,Proxying ROS communications -- enabling containerized ROS deployments in distributed multi-host environments,cs.RO,"['cs.RO', 'cs.SY', 'eess.SY']","[arxiv.Result.Author('Arne Wendt'), arxiv.Result.Author('Prof. Dr. -Ing. Thorsten Schüppstuhl')]","With the ability to use containers at the edge, they pose a unified solution
to combat the complexity of distributed multi-host ROS deployments, as well as
individual ROS-node and dependency deployment. The bidirectional communication
in ROS poses a challenge to using containerized ROS deployments alongside
non-containerized ones spread over multiple machines though. We will analyze
the communication protocol employed by ROS, and the suitability of different
container networking modes and their implications on ROS deployments. Finally,
we will present a layer 7 transparent proxy server architecture for ROS, as a
solution to the identified problems. Enabling the use of ROS not only in
containerized environments, but proxying ROS between network segments in
general.",0.040602718,0.24519823,0.2881629,B
216,"To decrease the latency and
increase safety, we can move to edge computing servers; however, that subject needs further study.","For communication with people that physically do not have
access to the robot, we designed the IoT node; the node connected to a cloud server.","Currently, we used

                                                              21
This is the preprint version.",2022-01-06 18:57:35+00:00,"A wearable sensor vest for social humanoid robots with GPGPU, IoT, and modular software architecture",cs.RO,"['cs.RO', 'cs.AI', 'cs.HC', 'cs.SY', 'eess.SY', '68T40', 'I.2.9']","[arxiv.Result.Author('Mohsen Jafarzadeh'), arxiv.Result.Author('Stephen Brooks'), arxiv.Result.Author('Shimeng Yu'), arxiv.Result.Author('Balakrishnan Prabhakaran'), arxiv.Result.Author('Yonas Tadesse')]","Currently, most social robots interact with their surroundings and humans
through sensors that are integral parts of the robots, which limits the
usability of the sensors, human-robot interaction, and interchangeability. A
wearable sensor garment that fits many robots is needed in many applications.
This article presents an affordable wearable sensor vest, and an open-source
software architecture with the Internet of Things (IoT) for social humanoid
robots. The vest consists of touch, temperature, gesture, distance, vision
sensors, and a wireless communication module. The IoT feature allows the robot
to interact with humans locally and over the Internet. The designed
architecture works for any social robot that has a general-purpose graphics
processing unit (GPGPU), I2C/SPI buses, Internet connection, and the Robotics
Operating System (ROS). The modular design of this architecture enables
developers to easily add/remove/update complex behaviors. The proposed software
architecture provides IoT technology, GPGPU nodes, I2C and SPI bus mangers,
audio-visual interaction nodes (speech to text, text to speech, and image
understanding), and isolation between behavior nodes and other nodes. The
proposed IoT solution consists of related nodes in the robot, a RESTful web
service, and user interfaces. We used the HTTP protocol as a means of two-way
communication with the social robot over the Internet. Developers can easily
edit or add nodes in C, C++, and Python programming languages. Our architecture
can be used for designing more sophisticated behaviors for social humanoid
robots.",0.13567904,0.13313101,0.19073077,B
223,"1 m distance should be kept from people, but further research
Even though there is some evidence in literature that physical        is needed to determine an appropriate value.","Based
   We predicted, as stated in H4, that UR does not deteriorate        on the results in this study we recommend that a minimum of
the spatial awareness of the users, and the results conﬁrmed it.","Whereas there is
rotations increase spatial awareness [28], we did not explicitly      research on human-robot proxemics in VR [41], it lacks the
tell the participants to always turn to face the direction of         telepresence perspective.",2022-01-07 10:52:25+00:00,Unwinding Rotations Improves User Comfort with Immersive Telepresence Robots,cs.RO,"['cs.RO', 'cs.HC', 'cs.MM']","[arxiv.Result.Author('Markku Suomalainen'), arxiv.Result.Author('Basak Sakcak'), arxiv.Result.Author('Adhi Widagdo'), arxiv.Result.Author('Juho Kalliokoski'), arxiv.Result.Author('Katherine J. Mimnaugh'), arxiv.Result.Author('Alexis P. Chambers'), arxiv.Result.Author('Timo Ojala'), arxiv.Result.Author('Steven M. LaValle')]","We propose unwinding the rotations experienced by the user of an immersive
telepresence robot to improve comfort and reduce VR sickness of the user. By
immersive telepresence we refer to a situation where a 360\textdegree~camera on
top of a mobile robot is streaming video and audio into a head-mounted display
worn by a remote user possibly far away. Thus, it enables the user to be
present at the robot's location, look around by turning the head and
communicate with people near the robot. By unwinding the rotations of the
camera frame, the user's viewpoint is not changed when the robot rotates. The
user can change her viewpoint only by physically rotating in her local setting;
as visual rotation without the corresponding vestibular stimulation is a major
source of VR sickness, physical rotation by the user is expected to reduce VR
sickness. We implemented unwinding the rotations for a simulated robot
traversing a virtual environment and ran a user study (N=34) comparing
unwinding rotations to user's viewpoint turning when the robot turns. Our
results show that the users found unwound rotations more preferable and
comfortable and that it reduced their level of VR sickness. We also present
further results about the users' path integration capabilities, viewing
directions, and subjective observations of the robot's speed and distances to
simulated people and objects.",-0.21525824,0.00011418294,-0.080354005,A
224,"Evidently, using the same environment
and the same robot path to avoid confounding factors lead to          The general concept of immersive telepresence requires
directing participants’ attention to aspects that were tangential  further research on many fronts to become competitive against
to the study.",corrupt the results.,"Even though counterbalancing ensured that this       current commercial ﬂat-screen alternatives, especially for tasks
occurred approximately evenly for both conditions, injecting       that require bidirectional communication.",2022-01-07 10:52:25+00:00,Unwinding Rotations Improves User Comfort with Immersive Telepresence Robots,cs.RO,"['cs.RO', 'cs.HC', 'cs.MM']","[arxiv.Result.Author('Markku Suomalainen'), arxiv.Result.Author('Basak Sakcak'), arxiv.Result.Author('Adhi Widagdo'), arxiv.Result.Author('Juho Kalliokoski'), arxiv.Result.Author('Katherine J. Mimnaugh'), arxiv.Result.Author('Alexis P. Chambers'), arxiv.Result.Author('Timo Ojala'), arxiv.Result.Author('Steven M. LaValle')]","We propose unwinding the rotations experienced by the user of an immersive
telepresence robot to improve comfort and reduce VR sickness of the user. By
immersive telepresence we refer to a situation where a 360\textdegree~camera on
top of a mobile robot is streaming video and audio into a head-mounted display
worn by a remote user possibly far away. Thus, it enables the user to be
present at the robot's location, look around by turning the head and
communicate with people near the robot. By unwinding the rotations of the
camera frame, the user's viewpoint is not changed when the robot rotates. The
user can change her viewpoint only by physically rotating in her local setting;
as visual rotation without the corresponding vestibular stimulation is a major
source of VR sickness, physical rotation by the user is expected to reduce VR
sickness. We implemented unwinding the rotations for a simulated robot
traversing a virtual environment and ran a user study (N=34) comparing
unwinding rotations to user's viewpoint turning when the robot turns. Our
results show that the users found unwound rotations more preferable and
comfortable and that it reduced their level of VR sickness. We also present
further results about the users' path integration capabilities, viewing
directions, and subjective observations of the robot's speed and distances to
simulated people and objects.",-0.1740951,-0.124445945,-0.07424495,A
379,"Finally, while we made technical contributions to various aspects in each sub-challenge, it is clear that all of
them warrant further research to increase ﬂexibility and applicability to other domains.","While this is highly interesting and provides
research challenges, it would be good to have similar tasks from one competition edition to the next to give
the community time to learn from their promising approaches.","Acknowledgments

We thank all members of our team NimbRo for their support before and during the competition.",2022-01-11 09:08:54+00:00,"Target Chase, Wall Building, and Fire Fighting: Autonomous UAVs of Team NimbRo at MBZIRC 2020",cs.RO,['cs.RO'],"[arxiv.Result.Author('Marius Beul'), arxiv.Result.Author('Max Schwarz'), arxiv.Result.Author('Jan Quenzel'), arxiv.Result.Author('Malte Splietker'), arxiv.Result.Author('Simon Bultmann'), arxiv.Result.Author('Daniel Schleich'), arxiv.Result.Author('Andre Rochow'), arxiv.Result.Author('Dmytro Pavlichenko'), arxiv.Result.Author('Radu Alexandru Rosu'), arxiv.Result.Author('Patrick Lowin'), arxiv.Result.Author('Bruno Scheider'), arxiv.Result.Author('Michael Schreiber'), arxiv.Result.Author('Finn Süberkrüb'), arxiv.Result.Author('Sven Behnke')]","The Mohamed Bin Zayed International Robotics Challenge (MBZIRC) 2020 posed
diverse challenges for unmanned aerial vehicles (UAVs). We present our four
tailored UAVs, specifically developed for individual aerial-robot tasks of
MBZIRC, including custom hardware- and software components.
  In Challenge 1, a target UAV is pursued using a high-efficiency, onboard
object detection pipeline to capture a ball from the target UAV. A second UAV
uses a similar detection method to find and pop balloons scattered throughout
the arena.
  For Challenge 2, we demonstrate a larger UAV capable of autonomous aerial
manipulation: Bricks are found and tracked from camera images. Subsequently,
they are approached, picked, transported, and placed on a wall.
  Finally, in Challenge 3, our UAV autonomously finds fires using LiDAR and
thermal cameras. It extinguishes the fires with an onboard fire extinguisher.
  While every robot features task-specific subsystems, all UAVs rely on a
standard software stack developed for this particular and future competitions.
We present our mostly open-source software solutions, including tools for
system configuration, monitoring, robust wireless communication, high-level
control, and agile trajectory generation. For solving the MBZIRC 2020 tasks, we
advanced the state of the art in multiple research areas like machine vision
and trajectory generation.
  We present our scientific contributions that constitute the foundation for
our algorithms and systems and analyze the results from the MBZIRC competition
2020 in Abu Dhabi, where our systems reached second place in the Grand
Challenge. Furthermore, we discuss lessons learned from our participation in
this complex robotic challenge.",0.21036687,-0.06932675,-0.12401365,C
464,"As the vehicle comes to a stop the nose is
   dipped down 1 inch the tail raises 1 inch
   before leveling out

                                                   Figure 5: Autonomous vehicle stops one car’s
                                                   length farther away from the pedestrian’s
                                                   crossing point

Figure 2: Traditional vehicle with a human in      3 How nuReality Can Sup-
the driver’s seat
                                                        port AV Research
Figure 3: Autonomous vehicle with visible LI-
DAR sensors and no human driver                    The nuReality ﬁles are designed as a base to
                                                   support experimentation and further research
                                                   into expressive robotics, autonomous vehicles,
                                                   pedestrian interactions, and related areas.","Appears to
   slow as it approaches the intersection but
   continues through without stopping

• Scene 10: AV with Expressive Nose Dive.","Fur-
                                                   ther, they are designed to overcome some of
                                                   the challenges of existing simulation tools.",2022-01-12 23:54:09+00:00,nuReality: A VR environment for research of pedestrian and autonomous vehicle interactions,cs.RO,['cs.RO'],"[arxiv.Result.Author('Paul Schmitt'), arxiv.Result.Author('Nicholas Britten'), arxiv.Result.Author('JiHyun Jeong'), arxiv.Result.Author('Amelia Coffey'), arxiv.Result.Author('Kevin Clark'), arxiv.Result.Author('Shweta Sunil Kothawade'), arxiv.Result.Author('Elena Corina Grigore'), arxiv.Result.Author('Adam Khaw'), arxiv.Result.Author('Christopher Konopka'), arxiv.Result.Author('Linh Pham'), arxiv.Result.Author('Kim Ryan'), arxiv.Result.Author('Christopher Schmitt'), arxiv.Result.Author('Aryaman Pandya'), arxiv.Result.Author('Emilio Frazzoli')]","We present nuReality, a virtual reality 'VR' environment designed to test the
efficacy of vehicular behaviors to communicate intent during interactions
between autonomous vehicles 'AVs' and pedestrians at urban intersections. In
this project we focus on expressive behaviors as a means for pedestrians to
readily recognize the underlying intent of the AV's movements. VR is an ideal
tool to use to test these situations as it can be immersive and place subjects
into these potentially dangerous scenarios without risk. nuReality provides a
novel and immersive virtual reality environment that includes numerous visual
details (road and building texturing, parked cars, swaying tree limbs) as well
as auditory details (birds chirping, cars honking in the distance, people
talking). In these files we present the nuReality environment, its 10 unique
vehicle behavior scenarios, and the Unreal Engine and Autodesk Maya source
files for each scenario. The files are publicly released as open source at
www.nuReality.org, to support the academic community studying the critical
AV-pedestrian interaction.",0.0062773935,-0.03282401,-0.0063147354,A
518,"An interesting direction for further research would be
task and a variant of the Change of Places with Obstacle ex-                           to explore the online-learning of human intentions further and
periment in which the central obstacle was replaced with a wall                        incorporate scene semantics.","Additional Capabilities                                                           velocity model while retaining the ability to improve over time
                                                                                       as a prior distribution is learnt over likely human goal inten-
   We additionally tested our approach in a Narrow Passage                             tions.",across half of the room.,2022-01-13 16:34:28+00:00,Motion Planning in Dynamic Environments Using Context-Aware Human Trajectory Prediction,cs.RO,['cs.RO'],"[arxiv.Result.Author('Mark Nicholas Finean'), arxiv.Result.Author('Luka Petrović'), arxiv.Result.Author('Wolfgang Merkt'), arxiv.Result.Author('Ivan Marković'), arxiv.Result.Author('Ioannis Havoutis')]","Over the years, the separate fields of motion planning, mapping, and human
trajectory prediction have advanced considerably. However, the literature is
still sparse in providing practical frameworks that enable mobile manipulators
to perform whole-body movements and account for the predicted motion of moving
obstacles. Previous optimisation-based motion planning approaches that use
distance fields have suffered from the high computational cost required to
update the environment representation. We demonstrate that GPU-accelerated
predicted composite distance fields significantly reduce the computation time
compared to calculating distance fields from scratch. We integrate this
technique with a complete motion planning and perception framework that
accounts for the predicted motion of humans in dynamic environments, enabling
reactive and pre-emptive motion planning that incorporates predicted motions.
To achieve this, we propose and implement a novel human trajectory prediction
method that combines intention recognition with trajectory optimisation-based
motion planning. We validate our resultant framework on a real-world Toyota
Human Support Robot (HSR) using live RGB-D sensor data from the onboard camera.
In addition to providing analysis on a publicly available dataset, we release
the Oxford Indoor Human Motion (Oxford-IHM) dataset and demonstrate
state-of-the-art performance in human trajectory prediction. The Oxford-IHM
dataset is a human trajectory prediction dataset in which people walk between
regions of interest in an indoor environment. Both static and robot-mounted
RGB-D cameras observe the people while tracked with a motion-capture system.",-0.003341172,0.024194919,-0.36771852,C
852,"Also,
     fostering further research in the area.",This dataset is made available to the public for         expensive but accrue signiﬁcant computational costs.,"intelligent malware might have the ability to recognize such
                                                                   testbeds and could potentially avoid discovery [26].",2022-01-20 22:11:38+00:00,RoboMal: Malware Detection for Robot Network Systems,cs.RO,"['cs.RO', 'cs.CR', 'cs.LG']","[arxiv.Result.Author('Upinder Kaur'), arxiv.Result.Author('Haozhe Zhou'), arxiv.Result.Author('Xiaxin Shen'), arxiv.Result.Author('Byung-Cheol Min'), arxiv.Result.Author('Richard M. Voyles')]","Robot systems are increasingly integrating into numerous avenues of modern
life. From cleaning houses to providing guidance and emotional support, robots
now work directly with humans. Due to their far-reaching applications and
progressively complex architecture, they are being targeted by adversarial
attacks such as sensor-actuator attacks, data spoofing, malware, and network
intrusion. Therefore, security for robotic systems has become crucial. In this
paper, we address the underserved area of malware detection in robotic
software. Since robots work in close proximity to humans, often with direct
interactions, malware could have life-threatening impacts. Hence, we propose
the RoboMal framework of static malware detection on binary executables to
detect malware before it gets a chance to execute. Additionally, we address the
great paucity of data in this space by providing the RoboMal dataset comprising
controller executables of a small-scale autonomous car. The performance of the
framework is compared against widely used supervised learning models: GRU, CNN,
and ANN. Notably, the LSTM-based RoboMal model outperforms the other models
with an accuracy of 85% and precision of 87% in 10-fold cross-validation, hence
proving the effectiveness of the proposed framework.",0.29902658,0.014618786,-0.16697197,C
939,"The simplified model of the
lower-limb system proposed in the paper is proven to be appropriate and can be taken for further research in the
future.","Originality/value - The MRAC is applied to control the humanoid’s lower limb, and the back-stepping process is
utilized to combine with an external SEA system but still maintain stabilization.","Keywords Series elastic actuators (SEAs), humanoid robot, back-stepping algorithm, model reference adaptive
control (MRAC).",2022-01-24 04:57:46+00:00,Hybrid Adaptive Control for Series Elastic Actuator of Humanoid Robot,cs.RO,"['cs.RO', 'cs.SY', 'eess.SY']","[arxiv.Result.Author('Anh Khoa Lanh Luu'), arxiv.Result.Author('Van Tu Duong'), arxiv.Result.Author('Huy Hung Nguyen'), arxiv.Result.Author('Sang Bong Kim'), arxiv.Result.Author('Tan Tien Nguyen')]","Generally, humanoid robots usually suffer significant impact force when
walking or running in a non-predefined environment that could easily damage the
actuators due to high stiffness. In recent years, the usages of passive,
compliant series elastic actuators (SEA) for driving humanoid's joints have
proved the capability in many aspects so far. However, despite being widely
applied in the biped robot research field, the stable control problem for a
humanoid powered by the SEAs, especially in the walking process, is still a
challenge. This paper proposes a model reference adaptive control (MRAC)
combined with the backstepping algorithm to deal with the parameter
uncertainties in a humanoid's lower limb driven by the SEA system. This is also
an extension of our previous research (Lanh et al.,2021). Firstly, a dynamic
model of SEA is obtained. Secondly, since there are unknown and uncertain
parameters in the SEA model, a model reference adaptive controller (MRAC) is
employed to guarantee the robust performance of the humanoid's lower limb.
Finally, an experiment is carried out to evaluate the effectiveness of the
proposed controller and the SEA mechanism.",-0.23203239,-0.1846906,0.27058792,A
