Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
289,"6 that we highlighted the security versus
advantages of IRSs for enhancing the security of LEO SCSs                   integrity trade-off encountered in LEO SCSs without using any
and what beneﬁts they will provide for the LEO SCSs’ security               secrecy coding, since increasing the transmit power improves
requires substantial further research in the face of their time-            the integrity but inevitably increases also the eavesdropping
variant received SNR, Doppler frequency shifts, and delay.","Hence, how to exploit the unique                  recall from Fig.",probability.,2022-01-09 18:14:50+00:00,"On the Security of LEO Satellite Communication Systems: Vulnerabilities, Countermeasures, and Future Trends",eess.SP,['eess.SP'],"[arxiv.Result.Author('Pingyue Yue'), arxiv.Result.Author('Jianping An'), arxiv.Result.Author('Jiankang Zhang'), arxiv.Result.Author('Gaofeng Pan'), arxiv.Result.Author('Shuai Wang'), arxiv.Result.Author('Pei Xiao'), arxiv.Result.Author('Lajos Hanzo')]","Low Earth Orbit (LEO) satellite systems undergo a period of rapid development
driven by the ever-increasing user demands, reduced costs, and technological
progress. Since there is a paucity of literature on the security issues of LEO
Satellite Communication Systems (SCSs), we aim for filling this knowledge gap.
Specifically, we critically appraise the inherent characteristics of LEO SCSs
and summarize their unique security vulnerabilities. In light of this, we
further discuss their security vulnerabilities, including the issues of passive
and active eavesdropping attacks, interference scenarios, single event upsets,
and space debris. Subsequently, we discuss the corresponding active and passive
security countermeasures, followed by unveiling a range of trade-offs, security
vulnerabilities and their countermeasures. Furthermore, we shed light on
several promising future research directions for enhancing the security of LEO
SCSs, such as secure quantum communications, three-dimensional virtual arrays,
artificial intelligence-based security measures, space-based blockchain, and
intelligent reflecting surface enabled secure transmission. Finally, the
take-away messages of this paper are crystallized in our concluding design
guidelines.",-0.2111069,0.034935467,0.055544242,C
337,One of our major topics for investigation in further research    B.,mathematical operations and functions over the soft numbers.,"Mathematical operations and Functions on Soft Numbers
is the connection of soft numbers to Mobius strip.",2022-01-10 15:55:48+00:00,Decision Trees with Soft Numbers,eess.SP,"['eess.SP', 'cs.IT', 'math.IT', 'math.PR', 'stat.AP']","[arxiv.Result.Author('Oren Fivel'), arxiv.Result.Author('Moshe Klein'), arxiv.Result.Author('Oded Maimon')]","In the classical probability in continuous random variables there is no
distinguishing between the probability involving strict inequality and non
strict inequality. Moreover a probability involves equality collapse to zero
without distinguishing among the values that we would like that the random
variable will have for comparison. This work presents Soft Probability by
incorporating of Soft Numbers into probability theory. Soft Numbers are set of
new numbers that are linear combinations of multiples of ones and multiples of
zeros. In this work, we develop a probability involving equality as a soft zero
multiple of a probability density function.",0.059169143,-0.0734022,0.14377476,B
407,"Finally, section
radiation measurement G. Embedding the inverse of Planck’s            §5 contains the concluding remarks and outlines some areas for
Law on error-correction models leads to an unconstrained op-          further research.","Section §4 in-
thermometry techniques require applying the inverse of Planck’s       troduces the thermal imagery acquisition methodology and the
Law to infer the temperature of the target surface T from a given     architectural design of the monitoring system.","timization problem, which may be computationally expensive
to solve.",2022-01-10 15:06:08+00:00,A novel method for error analysis in radiation thermometry with application to industrial furnaces,eess.SP,"['eess.SP', 'cs.AI', 'cs.CE', 'cs.LG', 'stat.AP']","[arxiv.Result.Author('Iñigo Martinez'), arxiv.Result.Author('Urtzi Otamendi'), arxiv.Result.Author('Igor G. Olaizola'), arxiv.Result.Author('Roger Solsona'), arxiv.Result.Author('Mikel Maiza'), arxiv.Result.Author('Elisabeth Viles'), arxiv.Result.Author('Arturo Fernandez'), arxiv.Result.Author('Ignacio Arzua')]","Accurate temperature measurements are essential for the proper monitoring and
control of industrial furnaces. However, measurement uncertainty is a risk for
such a critical parameter. Certain instrumental and environmental errors must
be considered when using spectral-band radiation thermometry techniques, such
as the uncertainty in the emissivity of the target surface, reflected radiation
from surrounding objects, or atmospheric absorption and emission, to name a
few. Undesired contributions to measured radiation can be isolated using
measurement models, also known as error-correction models. This paper presents
a methodology for budgeting significant sources of error and uncertainty during
temperature measurements in a petrochemical furnace scenario. A continuous
monitoring system is also presented, aided by a deep-learning-based measurement
correction model, to allow domain experts to analyze the furnace's operation in
real-time. To validate the proposed system's functionality, a real-world
application case in a petrochemical plant is presented. The proposed solution
demonstrates the viability of precise industrial furnace monitoring, thereby
increasing operational security and improving the efficiency of such
energy-intensive systems.",0.043550376,-0.22229064,0.056127638,B
437,"Although some works in                                                                                take values in [−𝑎max, 𝑎max]) and a time-frequency selective
this direction exist [22]–[24], further research effort in these                                                                        channel with 𝑙max = 2 and 𝑎max = 3 (21 paths in total).","Techniques like MIMO, multi-                                                                                Doppler shift, we consider three channels: a frequency selec-
user multiplexing and channel estimation (especially with                                                                               tive channel with 𝑙max = 2 (3 paths in total), a time selective
scattered pilots), which are naturally supported by OFDM, are                                                                           channel with 𝑎max = 3 (7 paths in total, as the Doppler shifts
not as straightforward with OCDM.",directions is required.,2022-01-12 14:56:37+00:00,Towards Integrated Sensing and Communications for 6G,eess.SP,"['eess.SP', 'cs.IT', 'math.IT']","[arxiv.Result.Author('Qi Wang'), arxiv.Result.Author('Anastasios Kakkavas'), arxiv.Result.Author('Xitao Gong'), arxiv.Result.Author('Richard A. Stirling-Gallacher')]","For the next generation of mobile communications systems, the integration of
sensing and communications promises benefits in terms of spectrum utilization,
cost, latency, area and weight. In this paper, we categorize and summarize the
key features and technical considerations for different integration approaches
and discuss related waveform design issues for a future 6G system. We provide
results on new candidate waveforms for monostatic sensing and finally highlight
important open issues and directions that deserve future in-depth research.",-0.32360888,-0.11313012,0.12149696,C
438,No results on                                                                           deserve further study.,"as well as the same necessity for research in MIMO, channel                                                                             Here, we provide examples of underlying challenges which
estimation and multi-user multiplexing aspects.","the sensing performance of AFDM have been reported to date,                                                                              (a) Air interface design aspects: The integrated system re-
but it is expected to be similar to that of OCDM.",2022-01-12 14:56:37+00:00,Towards Integrated Sensing and Communications for 6G,eess.SP,"['eess.SP', 'cs.IT', 'math.IT']","[arxiv.Result.Author('Qi Wang'), arxiv.Result.Author('Anastasios Kakkavas'), arxiv.Result.Author('Xitao Gong'), arxiv.Result.Author('Richard A. Stirling-Gallacher')]","For the next generation of mobile communications systems, the integration of
sensing and communications promises benefits in terms of spectrum utilization,
cost, latency, area and weight. In this paper, we categorize and summarize the
key features and technical considerations for different integration approaches
and discuss related waveform design issues for a future 6G system. We provide
results on new candidate waveforms for monostatic sensing and finally highlight
important open issues and directions that deserve future in-depth research.",-0.31056195,0.026496297,0.04055971,C
439,"In addition, waveforms offering enhanced sensing
capability while maintaining compatibility to OFDM, are                        [13] C. Knill, B. Schweizer, S. Sparrer, F. Roos, R. F. H. Fischer, and
potentially interesting and worthy of further research.","2018.
vantages.","C. Waldschmidt, “High range and doppler resolution by application of
   As presented, adding communications data to a sensing sys-                        compressed sensing using low baseband bandwidth OFDM radar,” IEEE
tem (i.e., using FMCW) can enable communications capability                          Trans.",2022-01-12 14:56:37+00:00,Towards Integrated Sensing and Communications for 6G,eess.SP,"['eess.SP', 'cs.IT', 'math.IT']","[arxiv.Result.Author('Qi Wang'), arxiv.Result.Author('Anastasios Kakkavas'), arxiv.Result.Author('Xitao Gong'), arxiv.Result.Author('Richard A. Stirling-Gallacher')]","For the next generation of mobile communications systems, the integration of
sensing and communications promises benefits in terms of spectrum utilization,
cost, latency, area and weight. In this paper, we categorize and summarize the
key features and technical considerations for different integration approaches
and discuss related waveform design issues for a future 6G system. We provide
results on new candidate waveforms for monostatic sensing and finally highlight
important open issues and directions that deserve future in-depth research.",-0.3239962,-0.17819676,0.051366627,C
549,"Thus, it still remains an
                                                                                                                   open problem and needs further study.",INTRODUCTION                                more complex and difﬁcult to solve.,"C OMPARED to terrestrial wireless channels suffering
                                                from severe path loss and multi-path, the high alti-                  Motivated by the above, in this letter we investigate the
                                          tude of UAVs generally leads to more dominant line-of-sight              uplink transmission in an IRS-assisted UAV communication
                                          (LoS) channels and thus largely improves the communication               system in the presence of a malicious jammer, as shown in
                                          performance.",2022-01-14 01:35:47+00:00,Trajectory and Transmit Power Optimization for IRS-Assisted UAV Communication under Malicious Jamming,eess.SP,"['eess.SP', 'cs.IT', 'math.IT']","[arxiv.Result.Author('Zhi Ji'), arxiv.Result.Author('Wendong Yang'), arxiv.Result.Author('Xinrong Guan'), arxiv.Result.Author('Xiao Zhao'), arxiv.Result.Author('Guoxin Li'), arxiv.Result.Author('Qingqing Wu')]","In this letter, we investigate an unmanned aerial vehicle (UAV) communication
system, where an intelligent reflecting surface (IRS) is deployed to assist in
the transmission from a ground node (GN) to the UAV in the presence of a
jammer. We aim to maximize the average rate of the UAV communication by jointly
optimizing the GN's transmit power, the IRS's passive beamforming and the UAV's
trajectory. However, the formulated problem is difficult to solve due to the
non-convex objective function and the coupled optimization variables. Thus, to
tackle it, we propose an alternating optimization (AO) based algorithm by
exploiting the successive convex approximation (SCA) and semidefinite
relaxation (SDR) techniques. Simulation results show that the proposed
algorithm can significantly improve the average rate compared with the
benchmark algorithms. Moreover, it also shows that when the jamming power is
large and the number of IRS elements is relatively small, deploying the IRS
near the jammer outperforms deploying it near the GN, and vice versa.",-0.38610867,0.08144523,0.013585385,C
810,"This is a rather appealing result             this reason, when the condition G(2) < G(1) is satisﬁed, G(L)
which encourages further research towards this direction by
considering more complicated scenarios involving multiuser,              will be a monotonically decreasing function.","For
to the single-AP scenario.","For the case of
mobility, and radio resource allocation problems.",2022-01-19 22:13:32+00:00,Network-ELAA Beamforming and Coverage Analysis for eMBB/URLLC in Spatially Non-Stationary Rician Channels,eess.SP,['eess.SP'],"[arxiv.Result.Author('Jinfei Wang'), arxiv.Result.Author('Yi Ma'), arxiv.Result.Author('Na Yi'), arxiv.Result.Author('Rahim Tafazolli'), arxiv.Result.Author('Fan Wang')]","In vehicle-to-infrastructure (V2I) networks, a cluster of multi-antenna
access points (APs) can collaboratively conduct transmitter beamforming to
provide data services (e.g., eMBB or URLLC). The collaboration between APs
effectively forms a networked linear antenna-array with extra-large aperture
(i.e., network-ELAA), where the wireless channel exhibits spatial
nonstationarity. Major contribution of this work lies in the analysis of
beamforming gain and radio coverage for network-ELAA non-stationary Rician
channels considering the AP clustering. Assuming that: 1) the total
transmit-power is fixed and evenly distributed over APs, 2) the beam is formed
only based on the line-of-sight (LoS) path, it is found that the beamforming
gain is concave to the cluster size. The optimum size of the AP cluster varies
with respect to the user's location, channel uncertainty as well as data
services. A user located farther from the ELAA requires a larger cluster size.
URLLC is more sensitive to the channel uncertainty when comparing to eMBB, thus
requiring a larger cluster size to mitigate the channel fading effect and
extend the coverage. Finally, it is shown that the network-ELAA can offer
significant coverage extension (50% or more in most of cases) when comparing
with the single-AP scenario.",-0.16104802,0.20377676,0.12146897,C
1552,"for UWB systems and that further research was necessary
An overview of the focus of the discussed papers is also           to develop suitable MAC protocols for UWB systems.","The paper concludes that these are unsuitable
PHY layer and standards, next on the MAC and upper layers.","Simi-
given in Table 1.",2022-02-04 15:32:34+00:00,"An Overview of Ultra-WideBand (UWB) Standards and Organizations (IEEE 802.15.4, FiRa, Apple): Interoperability Aspects and Future Research Directions",eess.SP,"['eess.SP', 'cs.IT', 'math.IT']","[arxiv.Result.Author('Dieter Coppens'), arxiv.Result.Author('Adnan Shahid'), arxiv.Result.Author('Sam Lemey'), arxiv.Result.Author('Ben Van Herbruggen Chris Marshall'), arxiv.Result.Author('Eli De Poorter')]","The increasing popularity of ultra-wideband (UWB) technology for
location-based services, such as access control and real-time indoor
track&tracing, as well as UWB support in new consumer devices such as
smartphones, has resulted in the availability of multiple new UWB radio chips.
However, due to this increase in UWB device availability, the question of which
(industry) standards and configuration factors impact UWB interoperability and
compatibility becomes increasingly important. In this paper, the fundamentals
of UWB compatibility are investigated by first giving an overview of different
UWB radio chips on the market. After that, an overview of UWB standards and
organizations is given. Next, this overview is used to discuss the focus of
these different standards and to identify the differences between them. We
describe compatibility issues and associated interoperability aspects related
to physical (PHY), medium-access-control (MAC) and upper layers. For the PHY
layer, compatibility is possible for all UWB radio chips if the correct
settings are configured. For the MAC layer, the implementation of the multiple
access scheme as well as the localization technique is mostly proprietary. For
the device discovery, several standards are currently being drafted. Finally,
future challenges related to UWB interoperability are discussed.",-0.28358,0.16886082,-0.077622674,C
1609,"denoted that the setting of data points and unit length in axis
In contrast, the results of logistic regression and CNN were      need to be improved in further study.","The DRSN model reached a high            to the large loss in first several epochs, the changing tendency
accuracy of 81%, which could be higher after some further         of accuracy for the rest epochs were not clearly shown, which
optimization in the structure and choosing of hyperparameters.","For the case of noise
unsatisfying.",2022-02-07 07:37:15+00:00,Deep Residual Shrinkage Networks for EMG-based Gesture Identification,eess.SP,"['eess.SP', 'cs.LG']","[arxiv.Result.Author('Yueying Ma'), arxiv.Result.Author('Chengbo Wang'), arxiv.Result.Author('Chengbo Wang'), arxiv.Result.Author('Zimo Li')]","This work introduces a method for high-accuracy EMG based gesture
identification. A newly developed deep learning method, namely, deep residual
shrinkage network is applied to perform gesture identification. Based on the
feature of EMG signal resulting from gestures, optimizations are made to
improve the identification accuracy. Finally, three different algorithms are
applied to compare the accuracy of EMG signal recognition with that of DRSN.
The result shows that DRSN excel traditional neural networks in terms of EMG
recognition accuracy. This paper provides a reliable way to classify EMG
signals, as well as exploring possible applications of DRSN.",0.43105727,-0.18307254,-0.32376453,A
