Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
226,"In essence, our goal herein is to develop a further study of linkage of Ulrich modules
with respect to I , the main result being the theorem below, which in particular shows
that the operation of horizontal linkage over a Gorenstein local ring preserves the Ulrich
property with respect to I (assumed not to be a parameter ideal) for horizontally linked
modules.",We refer to Subsection 2.2 for terminology.,"It also provides, in dimension at least 2, a characterization of Gorenstein rings in
terms of linkage of Ulrich modules in the classical sense.",2022-01-07 11:05:29+00:00,On the theory of generalized Ulrich modules,math.AC,['math.AC'],"[arxiv.Result.Author('Cleto B. Miranda-Neto'), arxiv.Result.Author('Douglas S. Queiroz'), arxiv.Result.Author('Thyago S. Souza')]","In this paper we further develop the theory of generalized Ulrich modules
over Cohen-Macaulay local rings introduced in 2014 by Goto, Ozeki, Takahashi,
Watanabe and Yoshida. The term {\it generalized} refers to the fact that Ulrich
modules are taken with respect to a zero-dimensional ideal which is not
necessarily the maximal ideal, the latter situation corresponding to the
classical theory from the 80's; despite the apparent naivety of the idea, this
passage adds considerable depth to the theory and enlarges its horizon of
applications. First, we address the problem of when the Hom functor preserves
the Ulrich property, and in particular we study relations with semidualizing
modules. Second, we explore horizontal linkage of Ulrich modules, which we use
to provide a characterization of Gorensteiness. Finally, we investigate
connections between Ulrich modules and modules with minimal multiplicity,
including characterizations in terms of relative reduction numbers as well as
the Castelnuovo-Mumford regularity of certain blowup modules.",-0.33459672,0.38083214,0.0182941,A
227,"In essence, our goal herein is to develop a further study of linkage of Ulrich modules
with respect to I , the main result being the theorem below, which in particular shows
that the operation of horizontal linkage over a Gorenstein local ring preserves the Ulrich
      GENERALIZED ULRICH MODULES                                           11

property with respect to I (assumed to be not a parameter ideal) for horizontally linked
modules.","See Subsection 2.2
for terminology.",Theorem 4.1.,2022-01-07 11:05:29+00:00,On the theory of generalized Ulrich modules,math.AC,['math.AC'],"[arxiv.Result.Author('Cleto B. Miranda-Neto'), arxiv.Result.Author('Douglas S. Queiroz'), arxiv.Result.Author('Thyago S. Souza')]","In this paper we further develop the theory of generalized Ulrich modules
introduced in 2014 by Goto et al. Our main goal is to address the problem of
when the operations of taking the Hom functor and horizontal linkage preserve
the Ulrich property. One of the applications is a new characterization of
Gorenstein local rings. Moreover, in the Gorenstein case we deduce that
applying linkage to sufficiently high syzygy modules of Ulrich ideals yields
Ulrich modules. Finally, we explore connections to Puthenpurakal's theory of
modules with minimal multiplicity, and as byproducts we determine the Chern
number of an Ulrich module as well as the Castelnuovo-Mumford regularity of the
associated Rees module.",-0.29147986,0.41217476,0.03084902,A
814,"This dependence
sets many obstacles to the further study of S-Noetherian rings.","However, in the deﬁnition of S-Noetherian rings, the choice of s ∈ S such that
sI ⊆ K ⊆ I with K ﬁnitely generated is dependent on the ideal I.","The main motiva-
tion of this article is to introduce and study a “uniform” version of S-Noetherian
rings.",2022-01-19 23:28:24+00:00,Uniformly $S$-Noetherian rings,math.AC,['math.AC'],"[arxiv.Result.Author('Wei Qi'), arxiv.Result.Author('Hwankoo Kim'), arxiv.Result.Author('Fanggui Wang'), arxiv.Result.Author('Mingzhao Chen'), arxiv.Result.Author('Wei Zhao')]","Let $R$ be a ring and $S$ a multiplicative subset of $R$. Then $R$ is called
a uniformly $S$-Noetherian ($u$-$S$-Noetherian for abbreviation) ring provided
there exists an element $s\in S$ such that for any ideal $I$ of $R$, $sI
\subseteq K$ for some finitely generated sub-ideal $K$ of $I$. We give the
Eakin-Nagata-Formanek Theorem for $u$-$S$-Noetherian rings. Besides, the
$u$-$S$-Noetherian properties on several ring constructions are given. The
notion of $u$-$S$-injective modules is also introduced and studied. Finally, we
obtain the Cartan-Eilenberg-Bass Theorem for uniformly $S$-Noetherian rings.",-0.13178642,-0.18820381,-0.04891696,A
1789,"The observation we aim to establish in this
appendix is the following, which may be helpful for further study Tor-rigidity.","Motivated by this fact, we examine
16  OLGUR CELIKBAS, UYEN LE, HIROKI MATSUI, AND ARASH SADEGHI

the vanishing of Tor more closely over Gorenstein rings.",4.16.,2022-02-10 01:56:13+00:00,Remarks on a conjecture of Huneke and Wiegand and the vanishing of (co)homology,math.AC,"['math.AC', 'Primary 13D07, Secondary 13H10, 13D05, 13C12']","[arxiv.Result.Author('Olgur Celikbas'), arxiv.Result.Author('Uyen Le'), arxiv.Result.Author('Hiroki Matsui'), arxiv.Result.Author('Arash Sadeghi')]","In this paper we study a long-standing conjecture of Huneke and Wiegand which
is concerned with the torsion submodule of certain tensor products of modules
over one-dimensional local domains. We utilize Hochster's theta invariant and
show that the conjecture is true for two periodic modules. We also make use of
a result of Orlov and formulate a new condition which, if true over
hypersurface rings, forces the conjecture of Huneke and Wiegand to be true over
complete intersection rings of arbitrary codimension. Along the way we
investigate the interaction between the vanishing of Tate (co)homology and
torsion in tensor products of modules, and obtain new results that are of
independent interest.",-0.19555575,0.32308644,0.0014956528,A
5839,Improving stability of the proposed algorithm will be one of the topics of further research.,"Thus, the GPGCD-Sylvester-multiple algorithm shows higher stability than the proposed
algorithm.","Acknowledgments

This research was partially supported by JSPS KAKENHI Grant Number JP20K11845.",2022-05-06 02:24:05+00:00,The GPGCD Algorithm with the Bézout Matrix for Multiple Univariate Polynomials,math.AC,"['math.AC', 'cs.NA', 'cs.SC', 'math.NA', '13P99, 68W30', 'I.1.2; F.2.1; G.1.6']","[arxiv.Result.Author('Boming Chi'), arxiv.Result.Author('Akira Terui')]","We propose a modification of the GPGCD algorithm, which has been presented in
our previous research, for calculating approximate greatest common divisor
(GCD) of more than 2 univariate polynomials with real coefficients and a given
degree. In transferring the approximate GCD problem to a constrained
minimization problem, different from the original GPGCD algorithm for multiple
polynomials which uses the Sylvester subresultant matrix, the proposed
algorithm uses the B\'ezout matrix. Experiments show that the proposed
algorithm is more efficient than the original GPGCD algorithm for multiple
polynomials with maintaining almost the same accuracy for most of the cases.",0.81476307,-0.20843676,0.47857624,B_centroid
8547,"We further study bounds and properties of h(M ) in the case when M is the canonical
                                              module ωR.","We establish a bound on it which helps capture information about the
                                              torsion submodule of M when M has rank one and generalizes the discussion in [Mai22a].","This in turn helps in answering a question of S. Greco and then provide some
                                              classiﬁcations.",2022-07-07 11:50:44+00:00,"Partial Trace Ideals, Torsion and Canonical Module",math.AC,"['math.AC', '13N05, 13N15, 13Cxx (Primary) 13H10, 13D02, 13E99 (Secondary)']",[arxiv.Result.Author('Sarasij Maitra')],"For any finitely generated module $M$ with non-zero rank over a commutative
one dimensional Noetherian local domain, the numerical invariant $h(M)$ was
introduced and studied in the author's previous work ""Partial Trace Ideals and
Berger's Conjecture"". We establish a bound on it which helps capture
information about the torsion submodule of $M$ when $M$ has rank one and it
also generalizes the discussion in the mentioned previous article. We further
study bounds and properties of $h(M)$ in the case when $M$ is the canonical
module $\omega_R$. This in turn helps in answering a question of S. Greco and
then provide some classifications. Most of the results in this article are
based on the results presented in the author's doctoral dissertation ""Partial
Trace Ideals, The Conductor and Berger's Conjecture"".",-0.081027105,0.11746563,0.23198682,A
8801,"Throughout our
further study, we may refer the subcomplex Fi ∩ F1, .",", Fi−1
is generated by a non-empty set of maximal proper faces of Fi for all 2 ≤ i ≤ t. We
say that a pure simplicial complex is shellable if it has a shelling.",.,2022-07-13 08:09:54+00:00,The $h$-vectors of the edge rings of a special family of graphs,math.AC,"['math.AC', 'math.CO', '13P10 (Primary), 05E40 (Secondary)']","[arxiv.Result.Author('Akihiro Higashitani'), arxiv.Result.Author('Nayana Shibu Deepthi')]","The $h$-vectors of homogeneous rings are one of the most important invariants
that often reflect ring-theoretic properties. On the other hand, there are few
examples of edge rings of graphs whose $h$-vectors are explicitly computed. In
this paper, we compute the $h$-vector of a special family of graphs, by using
the technique of initial ideals and the associated simplicial complex.",0.25152218,0.31771266,-0.3048156,C
9097,"In this paper, we further study the theory of Intuitionistic fuzzy submod-
                                                    ules and we will deﬁne intuitionistic fuzzy primary submodule with the help of the
                                                    deﬁnition of a radical submodule, and we also study the properties of these submod-
                                                    ules.","XX, (2022), pp-pp (Will be inserted by layout editor)
                                          ISSN: 2314-4629 (Print) ISSN: 2314-4785 (Online)
                                          URL: http://www.hindawi.com/journals/jmath

                                                 ON RADICAL OF INTUITIONISTIC FUZZY PRIMARY SUBMODULE

                                              ABBAS TAHERPOUR1, SHABAN GHALANDARZADEH2,∗, PARASTOO MALAKOOTI RAD3,
                                                                                                  PARVIN SAFARI4

                                                    Abstract.","Furthermore homomorphic image and pre-image of intuitionistic fuzzy primary
                                                    submodule are investigated.",2022-07-20 09:27:22+00:00,On Radical of Intuitionistic Fuzzy Primary Submodule,math.AC,"['math.AC', '08A72, 03F55']","[arxiv.Result.Author('Abbas Taherpour'), arxiv.Result.Author('Shaban Ghalandarzadeh'), arxiv.Result.Author('Parastoo Malakooti Rad'), arxiv.Result.Author('Parvin Safari')]","In this paper, we further study the theory of Intuitionistic fuzzy submodules
and we will define intuitionistic fuzzy primary submodule with the help of the
definition of a radical submodule, and we also study the properties of these
submodules. Furthermore, homomorphic image and pre-image of intuitionistic
fuzzy primary submodule are investigated.",0.23997876,0.14385505,0.42109478,B
10902,"This provides examples for the further study of the structure of
defect extensions.","Using ramiﬁcation theory, the study of defect
extensions of valued ﬁelds of positive residue characteristic p can be reduced to the
study of normal defect extensions of degree p. Thus we are particularly interested
in the structure and constructions of Galois defect extensions of degree p. While
proving the above results we also present constructions of Galois defect extensions
of prime degree.","In Section 5 we describe relations between some generalizations of the notion of
tame ﬁelds, like roughly tame ﬁelds, roughly deeply ramiﬁed ﬁelds and semitame
ﬁelds.",2022-09-07 17:16:00+00:00,Defect extensions and a characterization of tame fields,math.AC,"['math.AC', '12J10, 12J25']","[arxiv.Result.Author('Anna Rzepka'), arxiv.Result.Author('Piotr Szewczyk')]","We study the relation between two important classes of valued fields: tame
fields and defectless fields. We show that in the case of valued fields of
equal characteristic or rank one valued fields of mixed characteristic, tame
fields are exactly the valued fields for which all algebraic extensions are
defectless fields. In general tame fields form a proper subclass of valued
fields for which all algebraic extensions are defectless fields. We introduce a
wider class of roughly tame fields and show that every algebraic extension of a
given valued field is defectless if and only if its henselization is roughly
tame. Proving the above results we also present constructions of Galois defect
extensions in positive as well as mixed characteristic.",0.19028023,0.035213314,-0.35613656,C
11241,"We expect that the techniques developed
in this article will stimulate further research interest among combinatorial commutative algebraists
to study the regularity of powers of the ideal.",studied the regularity of JGs for closed graphs in [6].,This paper is organized as follows.,2022-09-15 11:20:32+00:00,"d-sequence edge binomials, and regularity of powers of binomial edge ideals of trees",math.AC,"['math.AC', 'math.CO', '13D02, 05E40']","[arxiv.Result.Author('Marie Amalore Nambi'), arxiv.Result.Author('Neeraj Kumar')]","We provide the necessary and sufficient conditions for the edge-binomials of
the tree forming a $d$-sequence in terms of the degree sequence notion of a
graph. We study the regularity of powers of the binomial edge ideals of trees
generated by $d$-sequence edge binomials.",0.22630125,-0.20728105,-0.40268648,C
