Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
9,"But further research is
needed for independent validation.","The average brain network in each state (Figure 6) does not follow similar
connectivity patterns observed in the previous studies [9].","Acknowledgement

This study was supported by NIH grants EB022856, MH101504, P30HD003352,
U54HD09025, UL1TR002373 and NSF grant MDS-2010778.",2022-01-01 01:39:05+00:00,Dynamic Persistent Homology for Brain Networks via Wasserstein Graph Clustering,math.AT,"['math.AT', 'cs.LG', 'q-bio.NC']","[arxiv.Result.Author('Moo K. Chung'), arxiv.Result.Author('Shih-Gu Huang'), arxiv.Result.Author('Ian C. Carroll'), arxiv.Result.Author('Vince D. Calhoun'), arxiv.Result.Author('H. Hill Goldsmith')]","We present the novel Wasserstein graph clustering for dynamically changing
graphs. The Wasserstein clustering penalizes the topological discrepancy
between graphs. The Wasserstein clustering is shown to outperform the widely
used k-means clustering. The method applied in more accurate determination of
the state spaces of dynamically changing functional brain networks.",0.7822025,-0.42308116,-0.10420713,A
10,"But further research is
needed for independent validation.","The average brain network in each state (Figure 6) does not follow similar
connectivity patterns observed in the previous studies [9].","Dynamic Topological Data Analysis via Wasserstein Graph Clustering                    23

Acknowledgement

This study was supported by NIH grants EB022856, MH101504, P30HD003352,
U54HD09025, UL1TR002373 and NSF grants MDS-2010778, 2112455.",2022-01-01 01:39:05+00:00,Dynamic Topological Data Analysis for Brain Networks via Wasserstein Graph Clustering,math.AT,"['math.AT', 'cs.LG', 'q-bio.NC']","[arxiv.Result.Author('Moo K. Chung'), arxiv.Result.Author('Shih-Gu Huang'), arxiv.Result.Author('Ian C. Carroll'), arxiv.Result.Author('Vince D. Calhoun'), arxiv.Result.Author('H. Hill Goldsmith')]","We present the novel Wasserstein graph clustering for dynamically changing
graphs. The Wasserstein clustering penalizes the topological discrepancy
between graphs. The Wasserstein clustering is shown to outperform the widely
used k-means clustering. The method applied in more accurate determination of
the state spaces of dynamically changing functional brain networks.",0.73144233,-0.42542323,-0.060397547,A_centroid
103,"We conclude that the string topology properad H•(ST d) is highly non-trivial
and is worth of further study.","vertices) skew-symmetrized for d
odd/symmetrized for d even.","It is also an interesting open problem to study the cohomology group of the
deformation complex of the morphism i discussed above,

                                                          Def(Lieb⋄d →i ST d),

as it comes equipped with a morphism from the cohomology group (cf.",2022-01-04 13:06:13+00:00,From gravity to string topology,math.AT,['math.AT'],[arxiv.Result.Author('Sergei A. Merkulov')],"The chain gravity properad introduced earlier by the author acts on the
cyclic Hochschild of any cyclic $A_\infty$ algebra equipped with a scalar
product of degree $-d$. In particular, it acts on the cyclic Hochschild complex
of any Poincare duality algebra of degree $d$, and that action factors through
a quotient dg properad $ST_{3-d}$ of ribbon graphs which is in focus of this
paper. We show that its cohomology properad $H^\bullet(ST_{3-d})$ is highly
non-trivial and that it acts canonically on the reduced equivariant homology
$\bar{H}_\bullet^{S^1}(LM)$ of the loop space $LM$ of any simply connected
$d$-dimensional closed manifold $M$. By its very construction, the string
topology properad $H^\bullet(ST_{3-d})$ comes equipped with a morphism from the
gravity properad which is fully determined by the compactly supported
cohomology of the moduli spaces $M_{g,n}$ of stable algebraic curves of genus
$g$ with marked points. This result gives rise to new universal operations in
string topology as well as reproduces in a unified way several known
constructions: we show that (i) $H^\bullet(ST_{3-d})$ is also a properad under
the properad of involutive Lie bialgebras in degree $3-d$ whose induced action
on $\bar{H}_\bullet^{S^1}(LM)$ agrees precisely with the famous purely
geometric construction of M. Chas and D. Sullivan, (ii) $H^\bullet(ST_{3-d})$
is a properad under the properad of homotopy involutive Lie bialgebras in
degree $2-d$; (iii) E. Getzler's gravity operad injects into
$H^\bullet(ST_{3-d})$ implying a purely algebraic counterpart of the geometric
construction of C. Westerland establishing an action of the gravity operad on
$\bar{H}_\bullet^{S^1}(LM)$.",-0.02192058,0.16060181,0.045123033,B
582,"Note that the class V is a dual to the class of all K-ﬂat complexes, but
          we do not provide a further study of the complexes in V. Emmanouil
ACYCLIC COMPLEXES OF PURE-PROJECTIVE MODULES                                3

          and Kaperonis will provide an in depth look at the complexes in the class
          V, which they call K-absolutely pure.","But as
          we explain below, by the end of the paper we will show it to in fact be a
          compactly generated category.","Indeed they are dual to the K-ﬂat
          complexes in many ways that will convince the reader in their forthcoming
          preprint [EK22].",2022-01-14 16:27:40+00:00,The homotopy category of acyclic complexes of pure-projective modules,math.AT,"['math.AT', 'math.CT', 'math.RA']",[arxiv.Result.Author('James Gillespie')],"Let $R$ be any ring with identity. We show that the homotopy category of all
acyclic chain complexes of pure-projective $R$-modules is a compactly generated
triangulated category. We do this by constructing abelian model structures that
put this homotopy category into a recollement with two other compactly
generated triangulated categories: The usual derived category of $R$ and the
pure derived category of $R$. This also gives a new model for the derived
category.",-0.14917058,0.5511972,-0.32726562,B
583,"Note that the class V is a dual to the class of all K-ﬂat complexes, but
          we do not provide a further study of the complexes in V. Emmanouil
ACYCLIC COMPLEXES OF PURE-PROJECTIVE MODULES                                3

          and Kaperonis will provide an in depth look at the complexes in the class
          V, which they call K-absolutely pure.","But as
          we explain below, by the end of the paper we will show it to in fact be a
          compactly generated category.","Indeed they are dual to the K-ﬂat
          complexes in many ways that will convince the reader in their forthcoming
          preprint [EK22].",2022-01-14 16:27:40+00:00,The homotopy category of acyclic complexes of pure-projective modules,math.AT,"['math.AT', 'math.CT', 'math.RA']",[arxiv.Result.Author('James Gillespie')],"Let $R$ be any ring with identity. We show that the homotopy category of all
acyclic chain complexes of pure-projective $R$-modules is a compactly generated
triangulated category. We do this by constructing abelian model structures that
put this homotopy category into a recollement with two other compactly
generated triangulated categories: The usual derived category of $R$ and the
pure derived category of $R$. This also gives a new model for the derived
category.",-0.14917058,0.5511972,-0.32726562,B
1202,"Nevertheless, as long as the combinatorial type of the orbit polytope is clear, a complete
characterization of p1(M ) = 0 is available, which allows further study at the level of polytope
as well as manifold.","As a matter of fact, the
existence of quasitoric manifolds over a given simple polytope is related to Buchstaber invariant
problem, which remains unsolved in general case (see [14] for some partial results).","Furthermore, in some speciﬁc cases, partial characterizations can impose
eﬀective restrictions on a string quasitoric manifold and its orbit polytope as well.",2022-01-29 06:03:44+00:00,On string quasitoric manifolds and their orbit polytopes,math.AT,"['math.AT', 'math.CO', '57R19, 57R20, 52B05']",[arxiv.Result.Author('Qifan Shen')],"This article mainly aims to give combinatorial characterizations and
topological descriptions of quasitoric manifolds with string property. We
provide a necessary and sufficient condition for a simple polytope in dimension
2 and 3 to be realizable as the orbit polytope of a string quasitoric manifold.
In particular, a complete description of string quasitoric manifolds over
prisms is obtained. On the other hand, we characterize string quasitoric
manifolds over $n$-dimensional simple polytopes with no more than $2n+2$
facets. Further results are available when the orbit polytope is the connected
sum of a cube and another simple polytope. In addtion, a real analogue
concerning small cover is briefly discussed.",-0.048390202,0.18386275,0.37423006,C
2176,"For the moment, this has to be left to further research.","In order to further use this action, it would be good to have a geometric
interpretation of the group O±(n, n, Z), for example, as the automorphism group of some geometric
object.","6 Automorphisms and T-duality correspondences

As recalled in Section 1, the T-duality 2-group TDn classiﬁes topological T-duality correspondences of
Tn-bundles.",2022-02-18 13:30:58+00:00,Categorical symmetries of T-duality,math.AT,"['math.AT', 'math-ph', 'math.MP']",[arxiv.Result.Author('Konrad Waldorf')],"Topological T-duality correspondences are higher categorical objects that can
be classified by a strict Lie 2-group. In this article we compute the
categorical automorphism group of this 2-group; hence, the higher symmetries of
topological T-duality. We prove that the categorical automorphism group is a
non-central categorical extension of the integral split pseudo-orthogonal
group. We show that its splits over several subgroups, and that its k-invariant
is 2-torsion.",0.011296096,0.17156029,-0.47158137,B
2177,"For the moment, this has to be left to further research.","In order to further use this action, it would be good to have a geometric
interpretation of the group O±(n, n, Z), for example, as the automorphism group of some geometric
object.","6 Automorphisms and T-duality correspondences

As recalled in Section 1, the T-duality 2-group TDn classiﬁes topological T-duality correspondences of
Tn-bundles.",2022-02-18 13:30:58+00:00,Categorical symmetries of T-duality,math.AT,"['math.AT', 'math-ph', 'math.MP']",[arxiv.Result.Author('Konrad Waldorf')],"Topological T-duality correspondences are higher categorical objects that can
be classified by a strict Lie 2-group. In this article we compute the
categorical automorphism group of this 2-group; hence, the higher-categorical
symmetries of topological T-duality. We prove that the categorical automorphism
group is a non-central categorical extension of the integral split
pseudo-orthogonal group. We show that it splits over several subgroups, and
that its k-invariant is 2-torsion.",0.011296096,0.17156029,-0.47158137,B
4035,Related work and further research.,"For the non-truncated directed graph complex an argument similar to this has
been sketched by Willwacher [Wil, Appendix K].","In recent work of Ebert–Reinhold [ER], they com-
puted the stable cohomology of BDiﬀ ∂ Mgk,,1k+1 up to degree roughly k. To do this, they
actually use that the stable cohomology of Baut∂ Mgk,,1k+1 is trivial in that range.",2022-03-29 15:10:00+00:00,The stable cohomology of self-equivalences of connected sums of products of spheres,math.AT,"['math.AT', '55R40 (Primary) 55P62, 18G85 (Secondary)']",[arxiv.Result.Author('Robin Stoll')],"We identify the cohomology of the stable classifying space of homotopy
automorphisms (relative to an embedded disk) of connected sums of $S^k \times
S^l$, where $3 \le k < l \le 2k - 2$. The result is expressed in terms of Lie
graph complex homology.",0.0833672,0.25045556,0.42287266,C
4036,Related work and further research.,"For the non-truncated directed graph complex an argument similar to this has
been sketched by Willwacher [Wil14, Appendix K].","In recent work of Ebert–Reinhold [ER22], they
computed the stable cohomology of BDiﬀ∂ Mgk,,1k+1 up to degree roughly k. To do this,
they actually use that the stable cohomology of Baut∂ Mgk,,1k+1 is trivial in that range.",2022-03-29 15:10:00+00:00,The stable cohomology of self-equivalences of connected sums of products of spheres,math.AT,"['math.AT', '55R40 (Primary) 55P62, 18G85 (Secondary)']",[arxiv.Result.Author('Robin Stoll')],"We identify the cohomology of the stable classifying space of homotopy
automorphisms (relative to an embedded disk) of connected sums of $S^k \times
S^l$, where $3 \le k < l \le 2k - 2$. The result is expressed in terms of Lie
graph complex homology.",0.09992421,0.2729488,0.40430242,C
4593,"Section 5 is devoted to further study the
homotopy type of the homotopy ﬁbre F under an additional hypothesis, and this is used in Section 6
to show Example 1.3.","In Section 4
we specialize to prove Theorem 1.1 and show Example 1.2.","Acknowledgement Ruizhi Huang was supported in part by the National Natural Science Founda-
tion of China (Grant nos.",2022-04-09 02:43:23+00:00,Homotopy of manifolds stabilized by projective spaces,math.AT,"['math.AT', 'math.GT']","[arxiv.Result.Author('Ruizhi Huang'), arxiv.Result.Author('Stephen Theriault')]","We study the homotopy of the connected sum of a manifold with a projective
space, viewed as a typical way to stabilize manifolds. In particular, we show a
loop homotopy decomposition of a manifold after stabilization by a projective
space, and provide concrete examples. To do this, we trace the effect in
homotopy theory of surgery on certain product manifolds by showing a loop
homotopy decomposition after localization away from the order of the image of
the classical $J$-homomorphism.",-0.0670998,0.0019310219,0.27876452,C
