Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
67,"Despite the fact that they
can be deﬁned by ∀Σ12,b-formulas, their proof in a theory of bounded arithmetic
requires the formalization of advanced notions from universal algebra and this
will be a subject of further research.","In contrast, universal algebra axioms stand apart.","Theorem 5 allows one to consider constraint languages with at most binary
relations instead of general CSP.",2022-01-03 23:57:40+00:00,Proof complexity of CSP,math.LO,"['math.LO', '03F03 (Primary) 03F30, 68W99 (Secondary)', 'F.4.1']",[arxiv.Result.Author('Azza Gaysin')],"The CSP (constraint satisfaction problems) is a class of problems deciding
whether there exists a homomorphism from an instance relational structure to a
target one. The CSP dichotomy is a profound result recently proved by Zhuk
(2020, J. ACM, 67) and Bulatov (2017, FOCS, 58). It establishes that for any
fixed target structure, CSP is either NP-complete or $p$-time solvable. Zhuk's
algorithm solves CSP in polynomial time for constraint languages having a weak
near-unanimity polymorphism.
  For negative instances of $p$-time CSPs, it is reasonable to explore their
proof complexity. We show that the soundness of Zhuk's algorithm can be proved
in a theory of bounded arithmetic, namely in the theory $V^1$ augmented by
three special universal algebra axioms. This implies that any propositional
proof system that simulates both Extended Resolution and a theory that proves
the three axioms admits $p$-size proofs of all negative instances of a fixed
$p$-time CSP.",-0.04474132,0.03240943,0.35792035,C
1551,"The paper concludes, in Section 6, with a summary of the results
obtained, their implications, and an outlook of further research.","Section 5 showcases the three mentioned ap-
plications of our characterization, including some relevant important contributions
by themselves.","2 Logics and their combination

    We start by introducing our main objects of interest, ﬁxing notation, and setting
up the technical framework necessary for studying the semantics of combined logics,
as well as of their associated calculi and semantics.",2022-02-04 15:32:20+00:00,Modular many-valued semantics for combined logics,math.LO,"['math.LO', 'cs.LO', '03B62, 03B50']","[arxiv.Result.Author('Carlos Caleiro'), arxiv.Result.Author('Sérgio Marcelino')]","We obtain, for the first time, a modular many-valued semantics for combined
logics, which is built directly from many-valued semantics for the logics being
combined, by means of suitable universal operations over partial
non-deterministic logical matrices. Our constructions preserve
finite-valuedness in the context of multiple-conclusion logics whereas,
unsurprisingly, it may be lost in the context of single-conclusion logics.
Besides illustrating our constructions over a wide range of examples, we also
develop concrete applications of our semantic characterizations, namely
regarding the semantics of strengthening a given many-valued logic with
additional axioms, the study of conditions under which a given logic may be
seen as a combination of simpler syntactically defined fragments whose calculi
can be obtained independently and put together to form a calculus for the whole
logic, and also general conditions for decidability to be preserved by the
combination mechanism.",-0.099875405,-0.21398517,0.19399786,C
2551,"Nies: The spectral gap problem for spin chains                 21

                                          References                                                        24

                                          The Logic Blog is a shared platform for

                                             • rapidly announcing results and questions related to logic
                                             • putting up results and their proofs for further research
                                             • parking results for later use
                                             • getting feedback before submission to a journal
                                             • fostering collaboration.","Mathematical logic and quantum mechanics                  21

                                          8.",Each year’s blog is posted on arXiv 2-3 months after the year has ended.,2022-02-28 09:38:25+00:00,Logic Blog 2021,math.LO,"['math.LO', 'math.GR']",[arxiv.Result.Author('Andre Nies')],"The blog has several entries on group theory interacting with computability
and wider logic, several open questions, and an entry on undecidability in
physics.",-0.11957359,0.22378452,0.15178767,C
3906,"In Section 4, we illustrate how MASSA works, by running it on some
well known modal axioms; in Section 5, we discuss how the present results embed
in a wider research context in structural proof theory, which provides motivations for
further research directions.","In Section 2, we collect basic deﬁnitions and
results on G3K and analytic inductive formulas in classical modal logic; in Section
3, we introduce the algorithm MASSA and provide intuitive motivation for some of
its key steps.","2 Preliminaries

2.1 The labelled calculus G3K

In what follows, we adopt the usual conventions: p, q, .",2022-03-26 20:09:07+00:00,Algorithmic correspondence and analytic rules,math.LO,"['math.LO', 'cs.LO', '03B35, 03B45, 06D10, 06D50, 03F03, 03F05, 03F07, 03G10']","[arxiv.Result.Author('Andrea De Domenico'), arxiv.Result.Author('Giuseppe Greco')]","We introduce the algorithm MASSA which takes classical modal formulas in
input, and, when successful, effectively generates: (a) (analytic) geometric
rules of the labelled calculus G3K, and (b) cut-free derivations (of a certain
`canonical' shape) of each given input formula in the geometric labelled
calculus obtained by adding the rule in output to G3K. We show that MASSA
successfully terminates whenever its input formula is a (definite) analytic
inductive formula, in which case, the geometric axiom corresponding to the
output rule is, modulo logical equivalence, the first-order correspondent of
the input formula.",0.015080507,-0.06408645,0.5024954,C
4742,"What kinds of non-
trivial reﬂection can be indestructible is a subject of further research.","This suggests there is a delicate balance between (weak) indestructibility and reﬂection:
one can have weakly indestructible strength with relative ease, but too much of this precludes
too much weakly indestructible reﬂection properties by Result 4 • 4.","For example, is it
possible to have a proper class of strongs, and a strong reﬂecting strongs with this strength
and reﬂection weakly indestructible?",2022-04-12 12:59:11+00:00,Weak Indestructibility and Reflection,math.LO,['math.LO'],[arxiv.Result.Author('James Holland')],"This work is a part of my upcoming thesis [7]. We establish an
equiconsistency between (1) weak indestructibility for all $\kappa +2$-degrees
of strength for cardinals $\kappa $ in the presence of a proper class of strong
cardinals, and (2) a proper class of cardinals that are strong reflecting
strongs. We in fact get weak indestructibility for degrees of strength far
beyond $\kappa +2$, well beyond the next inaccessible limit of measurables (of
the ground model). One direction is proven using forcing and the other using
core model techniques from inner model theory. Additionally, connections
between weak indestructibility and the reflection properties associated with
Woodin cardinals are discussed.",-0.049740057,0.24410382,-0.26437926,C
5455,We leave this as an interesting direction for further research.,"An immediate question is whether we can characterise the double ﬁlter completion alge-
braically.","3 Non-Distributive Positive Logic

We use the duality and dual adjunction from Section 2 to give a Kripke-style semantics for non-
distributive positive logic.",2022-04-28 10:39:24+00:00,Positive (Modal) Logic Beyond Distributivity,math.LO,"['math.LO', 'cs.LO']","[arxiv.Result.Author('Nick Bezhanishvili'), arxiv.Result.Author('Anna Dmitrieva'), arxiv.Result.Author('Jim de Groot'), arxiv.Result.Author('Tommaso Moraschini')]","We present a duality for non-necessarily-distributive (modal) lattices and
use this to study non-necessarily-distributive positive (modal) logic. Our
duality is similar to Priestley duality and as such allows us to use similar
tools and techniques to study logic. As a result, we prove Sahlqvist
correspondence and canonicity for both the propositional logic as well as a
modal extension.",-0.306142,-0.43324757,-0.36825687,C
5456,"There are many intriguing avenues for further research, some of which we list below.","This interesting phenomenon has also been observed
in the context of modal intuitionistic logic [31].",Algebraic characterisation of the double ﬁlter completion.,2022-04-28 10:39:24+00:00,Positive (Modal) Logic Beyond Distributivity,math.LO,"['math.LO', 'cs.LO']","[arxiv.Result.Author('Nick Bezhanishvili'), arxiv.Result.Author('Anna Dmitrieva'), arxiv.Result.Author('Jim de Groot'), arxiv.Result.Author('Tommaso Moraschini')]","We present a duality for non-necessarily-distributive (modal) lattices and
use this to study non-necessarily-distributive positive (modal) logic. Our
duality is similar to Priestley duality and as such allows us to use similar
tools and techniques to study logic. As a result, we prove Sahlqvist
correspondence and canonicity for both the propositional logic as well as a
modal extension.",-0.36162108,-0.35370302,-0.24436271,C
5457,We leave this as an interesting direction for further research.,"An immediate question is whether we can characterise the double ﬁlter completion alge-
braically.","3 Non-Distributive Positive Logic

We use the duality and dual adjunction from Section 2 to give a Kripke-style semantics for non-
distributive positive logic.",2022-04-28 10:39:24+00:00,Positive (Modal) Logic Beyond Distributivity,math.LO,"['math.LO', 'cs.LO']","[arxiv.Result.Author('Nick Bezhanishvili'), arxiv.Result.Author('Anna Dmitrieva'), arxiv.Result.Author('Jim de Groot'), arxiv.Result.Author('Tommaso Moraschini')]","We present a duality for non-necessarily-distributive (modal) lattices and
use this to study non-necessarily-distributive positive (modal) logic. Our
duality is similar to Priestley duality and as such allows us to use similar
tools and techniques to study logic. As a result, we prove Sahlqvist
correspondence and canonicity for both the propositional logic as well as a
modal extension.",-0.306142,-0.43324757,-0.36825687,C
5458,"We ﬂag the investigation of the connection between the various axioms relating and

    as an interesting direction for further research.","On the other

hand, we had to stipulate seriality in order to prove Lemma 4.22, and this is not assumed by

Dunn.","⊳

    Just like in the propositional case in Section 3.2, we can identify a class of frames where
formulae can be interpreted exclusively as principal ﬁlters.",2022-04-28 10:39:24+00:00,Positive (Modal) Logic Beyond Distributivity,math.LO,"['math.LO', 'cs.LO']","[arxiv.Result.Author('Nick Bezhanishvili'), arxiv.Result.Author('Anna Dmitrieva'), arxiv.Result.Author('Jim de Groot'), arxiv.Result.Author('Tommaso Moraschini')]","We present a duality for non-necessarily-distributive (modal) lattices and
use this to study non-necessarily-distributive positive (modal) logic. Our
duality is similar to Priestley duality and as such allows us to use similar
tools and techniques to study logic. As a result, we prove Sahlqvist
correspondence and canonicity for both the propositional logic as well as a
modal extension.",-0.044083808,0.13464074,0.21371068,C
5459,"There are many intriguing avenues for further research, some of which we list below.","This interesting phenomenon has also been observed
in the context of modal intuitionistic logic [31].",Algebraic characterisation of the double ﬁlter completion.,2022-04-28 10:39:24+00:00,Positive (Modal) Logic Beyond Distributivity,math.LO,"['math.LO', 'cs.LO']","[arxiv.Result.Author('Nick Bezhanishvili'), arxiv.Result.Author('Anna Dmitrieva'), arxiv.Result.Author('Jim de Groot'), arxiv.Result.Author('Tommaso Moraschini')]","We present a duality for non-necessarily-distributive (modal) lattices and
use this to study non-necessarily-distributive positive (modal) logic. Our
duality is similar to Priestley duality and as such allows us to use similar
tools and techniques to study logic. As a result, we prove Sahlqvist
correspondence and canonicity for both the propositional logic as well as a
modal extension.",-0.36162108,-0.35370302,-0.24436271,C
5626,"9 Further directions

There are several directions for further research.","On the other hand, such an approach is unlikely to generalize beyond
pCF.","9.1 Extensions to P -minimal and visceral theories

Many of the results of this paper may generalize from pCF to other P -minimal theories—
expansions of pCF in which every unary deﬁnable set is deﬁnable in the pure ﬁeld sort
[HM97].",2022-05-02 08:57:26+00:00,Topologizing interpretable groups in $p$-adically closed fields,math.LO,"['math.LO', '03C60']",[arxiv.Result.Author('Will Johnson')],"We consider interpretable topological spaces and topological groups in a
$p$-adically closed field $K$. We identify a special class of ""admissible
topologies"" with topological tameness properties like generic continuity,
similar to the topology on definable subsets of $K^n$. We show every
interpretable set has at least one admissible topology, and every interpretable
group has a unique admissible group topology. We then consider definable
compactness (in the sense of Fornasiero) on interpretable groups. We show that
an interpretable group is definably compact if and only if it has finitely
satisfiable generics (fsg), generalizing an earlier result on definable groups.
As a consequence, we see that fsg is a definable property in definable families
of interpretable groups, and that any fsg interpretable group defined over
$\mathbb{Q}_p$ is definably isomorphic to a definable group.",-0.35818693,0.26220614,-0.14693666,C
5627,"9 Further directions

There are several directions for further research.","On the other hand, such an approach is unlikely to generalize beyond
pCF.","9.1 Extensions to P -minimal and visceral theories

Many of the results of this paper may generalize from pCF to other P -minimal theories—
expansions of pCF in which every unary deﬁnable set is deﬁnable in the pure ﬁeld sort
[HM97].",2022-05-02 08:57:26+00:00,Topologizing interpretable groups in $p$-adically closed fields,math.LO,"['math.LO', '03C60']",[arxiv.Result.Author('Will Johnson')],"We consider interpretable topological spaces and topological groups in a
$p$-adically closed field $K$. We identify a special class of ""admissible
topologies"" with topological tameness properties like generic continuity,
similar to the topology on definable subsets of $K^n$. We show every
interpretable set has at least one admissible topology, and every interpretable
group has a unique admissible group topology. We then consider definable
compactness (in the sense of Fornasiero) on interpretable groups. We show that
an interpretable group is definably compact if and only if it has finitely
satisfiable generics (fsg), generalizing an earlier result on definable groups.
As a consequence, we see that fsg is a definable property in definable families
of interpretable groups, and that any fsg interpretable group defined over
$\mathbb{Q}_p$ is definably isomorphic to a definable group.",-0.35818693,0.26220614,-0.14693666,C
