Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
3233,"We conclude with a brief indication
of possible directions of further research in the last section.","The approximate equivalence also
gives an element of the KK group via the Cuntz picture.",Notation: H will denote a complex separable Hilbert space.,2022-03-14 08:01:41+00:00,An approximate equivalence of the GNS representation for the Haar state of $SU_{q}(2)$,math.OA,"['math.OA', 'math.QA', '58B32, 46L67, 19K35']","[arxiv.Result.Author('Partha Sarathi Chakraborty'), arxiv.Result.Author('Arup Kumar Pal')]","We prove an approximate equivalence involving the GNS representation on the
$L^{2}$ space of the Haar state of the quantum $SU(2)$ group and the direct
integral of all the infinite dimensional irreducible representations of the
$C^{*}$-algebra $C(SU_{q}(2))$. This gives a Fredholm representation of the
dual quantum group $\widehat{SU_q(2)}$ with coefficients in a $C^*$-algebra in
the sense of Mishchenko. It also gives a KK class via the Cuntz picture in
terms of quasihomomorphisms.",0.06344418,-0.2143825,0.017052287,B
3405,"In the non-tracial situation, [9, Section 2] makes further study of the quantum adjacency super-
operators.","Indeed, we shall see
that the super-operator A in Deﬁnition 3.1 agrees with the operator A in Deﬁnition 2.4, if we identify
B and L2(B).",We make links between this and our approach in Remark 5.35.,2022-03-16 16:09:57+00:00,"Quantum graphs: different perspectives, homomorphisms and quantum automorphisms",math.OA,"['math.OA', 'math.QA']",[arxiv.Result.Author('Matthew Daws')],"We undertake a study of the notion of a quantum graph over arbitrary
finite-dimensional $C^*$-algebras $B$ equipped with arbitrary faithful states.
Quantum graphs are realised principally as either certain operators on
$L^2(B)$, the quantum adjacency matrices, or as certain operator bimodules over
$B'$. We present a simple, purely algebraic approach to proving equivalence
between these settings, thus recovering existing results in the tracial state
setting. For non-tracial states, our approach naturally suggests a
generalisation of the operator bimodule definition, which takes account of
(some aspect of) the modular automorphism group of the state. Furthermore, we
show that each such ""non-tracial"" quantum graphs corresponds to a ""tracial""
quantum graph which satisfies an extra symmetry condition. We study
homomorphisms (or CP-morphisms) of quantum graphs arising from UCP maps, and
the closely related examples of quantum graphs constructed from UCP maps. We
show that these constructions satisfy automatic bimodule properties. We study
quantum automorphisms of quantum graphs, give a definition of what it means for
a compact quantum group to act on an operator bimodule, and prove an
equivalence between this definition, and the usual notion defined using a
quantum adjacency matrix. We strive to give a relatively self-contained,
elementary, account, in the hope this will be of use to other researchers in
the field.",-0.21971756,-0.42681313,-0.067133255,B
3406,"In the non-tracial situation, [9, Section 2] makes further study of the quantum adjacency super-
operators.","Indeed, we shall see that the super-operator A in Deﬁnition 3.1
agrees with the operator A in Deﬁnition 2.4, if we identify B and L2(B) (see Theorem 5.37 for a
precise statement).",We make links between this and our approach in Remark 5.38.,2022-03-16 16:09:57+00:00,"Quantum graphs: different perspectives, homomorphisms and quantum automorphisms",math.OA,"['math.OA', 'math.QA']",[arxiv.Result.Author('Matthew Daws')],"We undertake a study of the notion of a quantum graph over arbitrary
finite-dimensional $C^*$-algebras $B$ equipped with arbitrary faithful states.
Quantum graphs are realised principally as either certain operators on
$L^2(B)$, the quantum adjacency matrices, or as certain operator bimodules over
$B'$. We present a simple, purely algebraic approach to proving equivalence
between these settings, thus recovering existing results in the tracial state
setting. For non-tracial states, our approach naturally suggests a
generalisation of the operator bimodule definition, which takes account of
(some aspect of) the modular automorphism group of the state. Furthermore, we
show that each such ""non-tracial'' quantum graphs corresponds to a ""tracial""
quantum graph which satisfies an extra symmetry condition. We study
homomorphisms (or CP-morphisms) of quantum graphs arising from UCP maps, and
the closely related examples of quantum graphs constructed from UCP maps. We
show that these constructions satisfy automatic bimodule properties. We study
quantum automorphisms of quantum graphs, give a definition of what it means for
a compact quantum group to act on an operator bimodule, and prove an
equivalence between this definition, and the usual notion defined using a
quantum adjacency matrix. We strive to give a relatively self-contained,
elementary, account, in the hope this will be of use to other researchers in
the field.",-0.21038565,-0.42986295,-0.055828203,B
5931,"9 Epilogue

This last section is an attempt to clarify some ideas behind previous sections and perhaps serves

as an invitation for further study.","By Proposition 3.10, this follows immediate from Theorem 8.9.","One may notice that much of Section 5 and 7 is aimed to show relevant C∗-algebras have

the following tracial approximation property.",2022-05-09 02:49:07+00:00,Tracial approximation and ${\cal Z}$-stability,math.OA,"['math.OA', '46L35']",[arxiv.Result.Author('Huaxin Lin')],"Let $A$ be a unital separable non-elementary amenable simple stably finite
C*-algebra such that its tracial state space has a tight countable-dimensional
extremal boundary. We show that $A$ is ${\cal Z}$-stable if and only if it has
strict comparison and stable rank one. We show that this result also holds for
non-unital cases (which may not be Morita equivalent to unital ones) and some
cases that extremal boundaries are not tight.",0.100960456,-0.35066357,-0.20549867,B_centroid
5932,"9 Epilogue

This last section is an attempt to clarify some ideas behind previous sections and perhaps serves

as an invitation for further study.",Then the corollary follows from Theorem 1.1.,"One may notice that much of Section 5 and 7 is aimed to show relevant C∗-algebras have

the following tracial approximation property.",2022-05-09 02:49:07+00:00,Tracial approximation and ${\cal Z}$-stability,math.OA,"['math.OA', '46L35']",[arxiv.Result.Author('Huaxin Lin')],"Let $A$ be a unital separable non-elementary amenable simple stably finite
C*-algebra such that its tracial state space has a $\sigma$-compact
countable-dimensional extremal boundary. We show that $A$ is ${\cal Z}$-stable
if and only if it has strict comparison and stable rank one. We show that this
result also holds for non-unital cases (which may not be Morita equivalent to
unital ones).",0.09119941,-0.35806388,-0.21761072,B
8865,"Regarding the general framework for the validity
INTERPOLATION QUANTUM FUNCTIONAL INEQUALITIES                          3

of quantum MLSI, the Bakry-E´mery method, which has been successfully adapted to the discrete case, (seems) has
not been explored in the literature for the QMS and needs further research.","The quantum MLSI constants have been investigated in detail in [71, 72] for some special models, e.g., the
depolarizing semigroup and the doubly stochastic qubit Lindbladian.","However, the notion of Ricci curvature
lower bounds (geodesic convexity) in the quantum setting, pioneered by Carlen and Maas [30, 31], has shown its
utility in proving quantum MLSI and related functional inequalities with numerous applications in concrete physical
models.",2022-07-13 18:19:24+00:00,Interpolation between modified logarithmic Sobolev and Poincare inequalities for quantum Markovian dynamics,math.OA,"['math.OA', 'math-ph', 'math.FA', 'math.MP', 'quant-ph']","[arxiv.Result.Author('Bowen Li'), arxiv.Result.Author('Jianfeng Lu')]","In this work, we define the quantum $p$-divergences and introduce the
Beckner's inequalities, for the primitive quantum Markov semigroup with
$\sigma$-detailed balance condition. Such inequalities quantify the convergence
of the quantum dynamics in terms of the noncommutative $L_p$-norm. We obtain a
number of implications between them and other quantum functional inequalities.
In particular, we show that the quantum Beckner's inequalities interpolate
between the Sobolev-type inequalities and the Poincar\'{e} inequality in a
sharp way. We provide a uniform lower bound for the Beckner constants
$\alpha_p$, and establish the stability of $\alpha_p$ with respect to the
invariant state. As applications of Beckner's inequalities, we derive an
improved bound for the mixing time. For the symmetric quantum Markov
semigroups, we obtain moment estimates, which further implies a concentration
inequality.
  We introduce a new class of quantum transport distances $W_{2,p}$
interpolating the quantum Wasserstein distance by Carlen and Maas [J. Funct.
Anal. 273(5), 1810-1869 (2017)] and a noncommutative $\dot{H}^{-1}$ Sobolev
distance. We show that the quantum Markov semigroup with $\sigma$-detailed
balance is the gradient flow of the quantum $p$-divergence with respect to
these metrics. We prove that the set of quantum states equipped with $W_{2,p}$
is a complete geodesic space. We then consider the associated entropic Ricci
curvature lower bound via the geodesic convexity of $p$-divergences, and obtain
a HWI-type interpolation inequality. We also prove that the positive Ricci
curvature implies the quantum Beckner's inequality, from which the transport
cost and Poincar\'{e} inequalities can follow.",-0.37686238,-0.33400065,-0.086842924,B
8866,"Regarding the general framework for the validity of quantum MLSI,
the Bakry-E´mery method, which has been successfully adapted to the discrete case, (seems) has not been explored in
the literature for the quantum semigroups and needs further research.","The
quantum MLSI constant was investigated in detail in [75, 76] for some special models, e.g., the depolarizing semigroup
and the doubly stochastic qubit Lindbladian.","However, the notion of Ricci curvature lower
bounds (geodesic convexity) in the quantum setting, pioneered by Carlen and Maas [31, 32], has shown its utility in
proving the quantum MLSI and related functional inequalities with numerous applications in concrete physical models.",2022-07-13 18:19:24+00:00,Interpolation between modified logarithmic Sobolev and Poincare inequalities for quantum Markovian dynamics,math.OA,"['math.OA', 'math-ph', 'math.FA', 'math.MP', 'quant-ph']","[arxiv.Result.Author('Bowen Li'), arxiv.Result.Author('Jianfeng Lu')]","In this work, we define the quantum $p$-divergences and introduce the
Beckner's inequalities, for the primitive quantum Markov semigroup with
$\sigma$-detailed balance condition. Such inequalities quantify the convergence
of the quantum dynamics in terms of the noncommutative $L_p$-norm. We obtain a
number of implications between them and other quantum functional inequalities.
In particular, we show that the quantum Beckner's inequalities interpolate
between the Sobolev-type inequalities and the Poincar\'{e} inequality in a
sharp way. We provide a uniform lower bound for the Beckner constants
$\alpha_p$, and establish the stability of $\alpha_p$ with respect to the
invariant state. As applications of Beckner's inequalities, we derive an
improved bound for the mixing time. For the symmetric quantum Markov
semigroups, we obtain moment estimates, which further implies a concentration
inequality.
  We introduce a new class of quantum transport distances $W_{2,p}$
interpolating the quantum Wasserstein distance by Carlen and Maas [J. Funct.
Anal. 273(5), 1810-1869 (2017)] and a noncommutative $\dot{H}^{-1}$ Sobolev
distance. We show that the quantum Markov semigroup with $\sigma$-detailed
balance is the gradient flow of the quantum $p$-divergence with respect to
these metrics. We prove that the set of quantum states equipped with $W_{2,p}$
is a complete geodesic space. We then consider the associated entropic Ricci
curvature lower bound via the geodesic convexity of $p$-divergences, and obtain
a HWI-type interpolation inequality. We also prove that the positive Ricci
curvature implies the quantum Beckner's inequality, from which the transport
cost and Poincar\'{e} inequalities can follow.",-0.39789492,-0.31805024,-0.12696347,B
9780,"There are several possible ways of introducing the factors, and also of dividing them
afterwards into several classes, for further study.","Type II factors

    In this chapter we go for the real thing, namely the study of the type II factors,
following the work of Murray and von Neumann [60], [61], [62], [87], [88], [89], [90],
which is the basis for everything more advanced, in relation with operator algebras.","All this can be less or more technical,
depending on taste.",2022-08-07 00:07:20+00:00,Bounded operators and von Neumann algebras,math.OA,"['math.OA', 'math-ph', 'math.FA', 'math.MP', 'math.QA']",[arxiv.Result.Author('Teo Banica')],"We discuss the algebras of bounded operators $A\subset B(H)$, in the case
where $A$ is weakly closed, and has a trace $tr:A\to\mathbb C$. In this case we
have $A=L^\infty(X)$, with $X$ being a quantum space, and the free case, where
$Z(A)=\mathbb C$, is of particular interest. We explain this material,
following von Neumann and Connes, Jones, Voiculescu.",-0.26528615,0.437947,-0.075980306,A_centroid
9781,"Let us start by further studying the basic construction:

    Theorem 13.8.","The idea in what follows, going back to [43], will be that B ⊂ C appears as a kind of
“reﬂection” of A ⊂ B, and also that the basic construction can be iterated, with all this
leading to nontrivial results.","Given a subfactor A ⊂ B having ﬁnite index,

                                                 [B : A] < ∞

the basic construction A ⊂e B ⊂ C has the following properties:
      (1) C = JA′J.",2022-08-07 00:07:20+00:00,Bounded operators and von Neumann algebras,math.OA,"['math.OA', 'math-ph', 'math.FA', 'math.MP', 'math.QA']",[arxiv.Result.Author('Teo Banica')],"We discuss the algebras of bounded operators $A\subset B(H)$, in the case
where $A$ is weakly closed, and has a trace $tr:A\to\mathbb C$. In this case we
have $A=L^\infty(X)$, with $X$ being a quantum space, and the free case, where
$Z(A)=\mathbb C$, is of particular interest. We explain this material,
following von Neumann and Connes, Jones, Voiculescu.",0.5582428,0.10627503,-0.44759315,C
9782,"This follows from Theorem 13.8 and Proposition 13.9 above, because the
triple basic construction does not need in fact any further study.",Proof.,306           13.,2022-08-07 00:07:20+00:00,Bounded operators and von Neumann algebras,math.OA,"['math.OA', 'math-ph', 'math.FA', 'math.MP', 'math.QA']",[arxiv.Result.Author('Teo Banica')],"We discuss the algebras of bounded operators $A\subset B(H)$, in the case
where $A$ is weakly closed, and has a trace $tr:A\to\mathbb C$. In this case we
have $A=L^\infty(X)$, with $X$ being a quantum space, and the free case, where
$Z(A)=\mathbb C$, is of particular interest. We explain this material,
following von Neumann and Connes, Jones, Voiculescu.",0.40883905,-0.013072703,0.62417305,C_centroid
