Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
450,This fact is of importance for our further study.,"Therefore Mλ,ξ is also locally
ﬁnite when restricted to Uq(l).","22
    Pick up a compound root β ∈ Πk/l.",2022-01-12 17:01:08+00:00,Vector bundles on quantum conjugacy classes,math.QA,"['math.QA', 'math.RT', '17B10, 17B37, 53D55']",[arxiv.Result.Author('Andrey Mudrov')],"Let $\mathfrak{g}$ be a simple complex Lie algebra of a classical type and
$U_q(\mathfrak{g})$ the corresponding Drinfeld-Jimbo quantum group at $q$ not a
root of unity. With every point $t$ of the maximal torus $T$ of an algebraic
group $G$ with Lie algebra $\mathfrak{g}$ we associate an additive category
$\mathcal{O}_q(t)$ of $U_q(\mathfrak{g})$-modules that is stable under tensor
product with finite-dimensional quasi-classical $U_q(\mathfrak{g})$-modules. It
is generated by a module $M$ of highest weight that supports quantization of
the conjugacy class $O\ni t$, as a subalgebra in $\mathrm{End}(M)$.
  We show that $\mathcal{O}_q(t)$ is semi-simple for all $q$ except maybe for a
finite set if $t$ is an element of finite order. For general $t$, the category
$\mathcal{O}_q(t)$ is ""almost semi-simple"": its every module is completely
reducible away from a finite set of $q$, which may depend on the module. We
argue that $\mathcal{O}_q(t)$ is equivalent to the category of quantized
equivariant vector bundles on $O$ realized as locally finite parts of modules
of $\mathbb{C}$-linear mappings between objects from $\mathcal{O}_q(t)$. We
construct a local equivariant star product deforming the multiplication on
$\mathbb{C}[O]$ along with its action on global sections of equivariant
bundles, with the help of extremal projector of $U_q(\mathfrak{g})$.",0.76511574,0.15203564,0.10240511,C
451,This fact is of importance for our further study.,"Therefore Mλ,ξ is also locally

ﬁnite when restricted to Uq(l).",Pick up a compound root β ∈ Πk/l.,2022-01-12 17:01:08+00:00,Vector bundles on quantum conjugacy classes,math.QA,"['math.QA', 'math.RT', '17B10, 17B37, 53D55']",[arxiv.Result.Author('Andrey Mudrov')],"Let $\mathfrak{g}$ be a simple complex Lie algebra of a classical type and
$U_q(\mathfrak{g})$ the corresponding Drinfeld-Jimbo quantum group at $q$ not a
root of unity. With every point $t$ of the maximal torus $T$ of an algebraic
group $G$ with Lie algebra $\mathfrak{g}$ we associate an additive category
$\mathcal{O}_q(t)$ of $U_q(\mathfrak{g})$-modules that is stable under tensor
product with finite-dimensional quasi-classical $U_q(\mathfrak{g})$-modules. It
is generated by a module $M$ of highest weight that supports quantization of
the conjugacy class $O\ni t$, as a subalgebra in $\mathrm{End}(M)$.
  We show that $\mathcal{O}_q(t)$ is semi-simple for all $q$ except maybe for a
finite set if $t$ is an element of finite order. For general $t$, the category
$\mathcal{O}_q(t)$ is ""almost semi-simple"": its every module is completely
reducible away from a finite set of $q$, which may depend on the module. We
argue that $\mathcal{O}_q(t)$ is equivalent to the category of quantized
equivariant vector bundles on $O$ realized as locally finite parts of modules
of $\mathbb{C}$-linear mappings between objects from $\mathcal{O}_q(t)$. We
construct a local equivariant star product deforming the multiplication on
$\mathbb{C}[O]$ along with its action on global sections of equivariant
bundles, with the help of extremal projector of $U_q(\mathfrak{g})$.",0.7675644,0.15599737,0.084251516,C_centroid
452,This fact is of importance for our further study.,"Therefore Mλ,ξ is also locally

ﬁnite when restricted to Uq(l).",Pick up a compound root β ∈ Πk/l.,2022-01-12 17:01:08+00:00,Vector bundles on quantum conjugacy classes,math.QA,"['math.QA', 'math.RT', '17B10, 17B37, 53D55']",[arxiv.Result.Author('Andrey Mudrov')],"Let $\mathfrak{g}$ be a simple complex Lie algebra of a classical type and
$U_q(\mathfrak{g})$ the corresponding Drinfeld-Jimbo quantum group at $q$ not a
root of unity. With every point $t$ of the maximal torus $T$ of an algebraic
group $G$ with Lie algebra $\mathfrak{g}$ we associate an additive category
$\mathcal{O}_q(t)$ of $U_q(\mathfrak{g})$-modules that is stable under tensor
product with finite-dimensional quasi-classical $U_q(\mathfrak{g})$-modules. It
is generated by a module $M$ of highest weight that supports quantization of
the conjugacy class $O\ni t$, as a subalgebra in $\mathrm{End}(M)$.
  We show that $\mathcal{O}_q(t)$ is semi-simple for all $q$ except maybe for a
finite set if $t$ is an element of finite order. For general $t$, the category
$\mathcal{O}_q(t)$ is ""almost semi-simple"": its every module is completely
reducible away from a finite set of $q$, which may depend on the module. We
argue that $\mathcal{O}_q(t)$ is equivalent to the category of quantized
equivariant vector bundles on $O$ realized as locally finite parts of modules
of $\mathbb{C}$-linear mappings between objects from $\mathcal{O}_q(t)$. We
construct a local equivariant star product deforming the multiplication on
$\mathbb{C}[O]$ along with its action on global sections of equivariant
bundles, with the help of extremal projector of $U_q(\mathfrak{g})$.",0.7675644,0.15599737,0.084251516,C
2529,"It is straightforward to turn the above struc-
ture on Q1 into a proper deﬁnition of a deterministic symmetric automaton for a symmetric

regular language L. One can further study the case when A(1) is a projective semimodule

and there’s a decomposition of the identity for a symmetric language L.

      5.","Q1 with this additional structure gives the minimal symmetric or unoriented deterministic
automaton for the symmetric language L = Lop.","Topological theories for semimodules and semimodule automata

5.1.",2022-02-27 17:15:25+00:00,Topological theories and automata,math.QA,"['math.QA', 'cs.FL', 'math-ph', 'math.CT', 'math.MP', 'Primary: 57K16, 68Q45, 18M10, 18M30, Secondary: 06A12, 68Q70, 18B20']","[arxiv.Result.Author('Mee Seong Im'), arxiv.Result.Author('Mikhail Khovanov')]","The paper explains the connection between topological theories for
one-manifolds with defects and values in the Boolean semiring and automata and
their generalizations. Finite state automata are closely related to regular
languages. To each pair of a regular language and a circular regular language
we associate a topological theory for one-dimensional manifolds with
zero-dimensional defects labelled by letters of the language. This theory takes
values in the Boolean semiring. Universal construction of topological theories
gives rise in this case to a monoidal category of Boolean semilinear
combinations of one-dimensional cobordisms with defects modulo skein relations.
The latter category can be interpreted as a semilinear rigid monoidal closure
of standard structures associated to a regular language, including minimal
deterministic and nondeterministic finite state automata for the language and
the syntactic monoid. The circular language plays the role of a regularizer,
allowing to define the rigid closure of these structures. When the state space
of a single point for a regular language describes a distributive lattice,
there is a unique associated circular language such that the resulting theory
is a Boolean TQFT.",-0.1791246,-0.15243208,-0.039433792,A
2719,"For the orthogonal case
(types B and D) one needs to consider a general symmetric non-degenerate form, we leave
this case for further research.","We do
not suppose that the basic ﬁeld is algebraically closed, but any symplectic form is reduced
to the canonical form over an arbitrary ﬁeld of characteristic 0.",The structure of the paper is following.,2022-03-02 19:01:37+00:00,Manin matrices of type C: multi-parametric deformation,math.QA,"['math.QA', 'math-ph', 'math.MP']",[arxiv.Result.Author('A. Silantyev')],"We constructed a multi-parametric deformation of the Brauer algebra
representation related with the symplectic Lie algebras. The notion of Manin
matrix of type C was generalised to the case of the multi-parametric
deformation by using this representation and corresponding quadratic algebras.
We derived pairing operators for these quadratic algebras and minors for the
considered Manin matrices. The rank of pairing operators and dimensions of
components of quadratic algebras were calculated.",-0.040387098,-0.020174805,-0.49657962,C
2720,"For the orthogonal case
(types B and D) one needs to consider a general symmetric non-degenerate form, we leave
this case for further research.","We do
not suppose that the basic ﬁeld is algebraically closed, but any symplectic form is reduced
to the canonical form over an arbitrary ﬁeld of characteristic 0.",The structure of the paper is following.,2022-03-02 19:01:37+00:00,Manin matrices of type C: multi-parametric deformation,math.QA,"['math.QA', 'math-ph', 'math.MP']",[arxiv.Result.Author('A. Silantyev')],"We constructed a multi-parametric deformation of the Brauer algebra
representation related with the symplectic Lie algebras. The notion of Manin
matrix of type C was generalised to the case of the multi-parametric
deformation by using this representation and corresponding quadratic algebras.
We derived pairing operators for these quadratic algebras and minors for the
considered Manin matrices. The rank of pairing operators and dimensions of
components of quadratic algebras were calculated.",-0.040387098,-0.020174805,-0.49657962,C
5521,"With this observation, we end with a few directions for further research.","Further, an algebra is called gendo-Frobenius if it is Morita under the conditions
that B is Frobenius and that M ∼= MνB as right B-modules, where νB is the Nakayama
automorphism of B.",Question 1.11.,2022-04-29 16:16:35+00:00,On non-counital Frobenius algebras,math.QA,"['math.QA', 'math.RA']","[arxiv.Result.Author('Amanda Hernandez'), arxiv.Result.Author('Chelsea Walton'), arxiv.Result.Author('Harshit Yadav')]","A Frobenius algebra is a finite-dimensional algebra $A$ which comes equipped
with a coassociative, counital comultiplication map $\Delta$ that is an
$A$-bimodule map. Here, we examine comultiplication maps for generalizations of
Frobenius algebras: finite-dimensional self-injective (quasi-Frobenius)
algebras. We show that large classes of such algebras, including
finite-dimensional weak Hopf algebras, come equipped with a map $\Delta$ as
above that is not necessarily counital. We also conjecture that this
comultiplicative structure holds for self-injective algebras in general.",-0.0847841,-0.532328,0.54195833,A
5522,"With this observation, we end with a few directions for further research.","Further, an algebra is called gendo-Frobenius if it is Morita under the conditions
that B is Frobenius and that M ∼= MνB as right B-modules, where νB is the Nakayama
automorphism of B.",Question 1.11.,2022-04-29 16:16:35+00:00,On non-counital Frobenius algebras,math.QA,"['math.QA', 'math.RA']","[arxiv.Result.Author('Amanda Hernandez'), arxiv.Result.Author('Chelsea Walton'), arxiv.Result.Author('Harshit Yadav')]","A Frobenius algebra is a finite-dimensional algebra $A$ which comes equipped
with a coassociative, counital comultiplication map $\Delta$ that is an
$A$-bimodule map. Here, we examine comultiplication maps for generalizations of
Frobenius algebras: finite-dimensional self-injective (quasi-Frobenius)
algebras. We show that large classes of such algebras, including
finite-dimensional weak Hopf algebras, come equipped with a nonzero map
$\Delta$ as above that is not necessarily counital. We also conjecture that
this comultiplicative structure holds for self-injective algebras in general.",-0.0847841,-0.532328,0.54195833,A
5589,"8 Discussion

Finally, some comments on possible directions of further research.","It follows from these ranks that there are no nontrivial cocycles in the middle
terms, in a surprising contrast with the heptagon case!",Polygon relations parameterized by simplicial cocycles.,2022-05-01 06:01:34+00:00,Odd-gon relations and their cohomology,math.QA,"['math.QA', 'math.CO', '15A24, 57K16, 57Q99']",[arxiv.Result.Author('Igor G. Korepanov')],"A cohomology theory for ""odd polygon"" relations -- algebraic imitations of
Pachner moves in dimensions 3, 5, ... -- is constructed. Manifold invariants
based on polygon relations and nontrivial polygon cocycles are proposed.
Example calculation results are presented.",-0.4215755,0.66159034,0.32232654,B_centroid
5590,"8 Discussion

Finally, some comments on possible directions of further research.","It follows from these ranks that there are no nontrivial cocycles in the middle
terms, in a surprising contrast with the heptagon case!",Polygon relations parameterized by simplicial cocycles.,2022-05-01 06:01:34+00:00,Odd-gon relations and their cohomology,math.QA,"['math.QA', 'math.CO', '15A24, 57K16, 57Q99']",[arxiv.Result.Author('Igor G. Korepanov')],"A cohomology theory for ""odd polygon"" relations -- algebraic imitations of
Pachner moves in dimensions 3, 5, ... -- is constructed. Manifold invariants
based on polygon relations and nontrivial polygon cocycles are proposed.
Example calculation results are presented.",-0.4215755,0.66159034,0.32232654,B
