Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
1019,"Furthermore, here, we have concerned
ourselves with cubic Kerr-type nonlinearities, yet some of the above settings seem to be well-suited for
different types of nonlinear terms, including four-wave-mixing ones [25], with the latter being another
topic worthwhile of further study.",This can be done both in one- but also in higher dimensions.,"Such considerations are currently in progress and will be reported in
future publications.",2022-01-25 19:20:38+00:00,Nonlinear Anti-(Parity-Time) symmetric dimer,nlin.PS,['nlin.PS'],"[arxiv.Result.Author('A. S. Rodrigues'), arxiv.Result.Author('R. M. Ross'), arxiv.Result.Author('V. V. Konotop'), arxiv.Result.Author('A. Saxena'), arxiv.Result.Author('P. G. Kevrekidis')]","In the present work we propose a nonlinear anti-$\mathcal{PT}$-symmetric
dimer, that at the linear level has been experimentally created in the realm of
electric circuit resonators. We find four families of solutions, the so-called
upper and lower branches, both in a symmetric and in an asymmetric
(symmetry-broken) form. We unveil analytically and confirm numerically the
critical thresholds for the existence of such branches and explore the
bifurcations (such as saddle-node ones) that delimit their existence, as well
as transcritical ones that lead to their potential exchange of stability. We
find that out of the four relevant branches, only one, the upper symmetric
branch, corresponds to a spectrally and dynamically robust solution. We
subsequently leverage detailed direct numerical computations in order to
explore the dynamics of the different states, corroborating our spectral
analysis results.",-0.32061398,-0.088262334,-0.31803325,B
1273,"Naturally, this analysis raises a number of interesting questions for further research.","To
corroborate the relevant results, we performed direct numerical simulations in the renor-
malized frame, verifying (in line with earlier computations) the attractivity of the relevant
waveforms.","Un-
derstanding the dynamics (and the potential role of self-similarity) slightly below the critical
point σd = 2 is an example of this type.",2022-01-31 08:15:12+00:00,A Spectral Analysis of the Nonlinear Schroedinger Equation in the Co-Exploding Frame,nlin.PS,['nlin.PS'],"[arxiv.Result.Author('S. J. Chapman'), arxiv.Result.Author('M. E. Kavousanakis'), arxiv.Result.Author('E. G. Charalampidis'), arxiv.Result.Author('I. G. Kevrekidis'), arxiv.Result.Author('P. G. Kevrekidis')]","The nonlinear Schroedinger model is a prototypical dispersive wave equation
that features finite time blowup, either for supercritical exponents (for fixed
dimension) or for supercritical dimensions (for fixed nonlinearity exponent).
Upon identifying the self-similar solutions in the so-called ""co-exploding
frame"", a dynamical systems analysis of their stability is natural, yet is
complicated by the mixed Hamiltonian-dissipative character of the relevant
frame. In the present work, we study the spectral picture of the relevant
linearized problem. We examine the point spectrum of 3 eigenvalue pairs
associated with translation, $U(1)$ and conformal invariances, as well as the
continuous spectrum. We find that two eigenvalues become positive, yet are
attributed to symmetries and are thus not associated with instabilities. In
addition to a vanishing eigenvalue, 3 more are found to be negative and real,
while the continuous spectrum is nearly vertical and on the left-half
(spectral) plane. Finally, the subtle effects of the boundaries are also
assessed and their role in the observed weak eigenvalue oscillations is
clarified.",-0.21694906,0.031940274,0.0006762134,B
2962,"This suggests that our
       more complicated and further study is required.","On deformed ice, the situation may be          rameters as the LiDAR scans.","model may capture the horizontal properties of snow on
                                                                 such large scales.",2022-03-07 22:39:55+00:00,"Snow topography on undeformed Arctic sea ice captured by an idealized ""snow dune"" model",nlin.PS,"['nlin.PS', 'physics.ao-ph', 'physics.geo-ph']","[arxiv.Result.Author('Predrag Popović'), arxiv.Result.Author('Justin Finkel'), arxiv.Result.Author('Mary C. Silber'), arxiv.Result.Author('Dorian S. Abbot')]","Our ability to predict the future of Arctic sea ice is limited by ice's
sensitivity to detailed surface conditions such as the distribution of snow and
melt ponds. Snow on top of the ice decreases ice's thermal conductivity,
increases its reflectivity (albedo), and provides a source of meltwater for
melt ponds during summer that decrease the ice's albedo. In this paper, we
develop a simple model of pre-melt snow topography that accurately describes
snow cover of flat, undeformed Arctic sea ice on several study sites for which
data was available. The model considers a surface that is a sum of randomly
sized and placed ""snow dunes"" represented as Gaussian mounds. This model
generalizes the ""void model"" of Popovi\'c et al. (2018) and, as such,
accurately describes the statistics of melt pond geometry. We test this model
against detailed LiDAR measurements of the pre-melt snow topography. We show
that the model snow-depth distribution is statistically indistinguishable from
the measurements on flat ice, while small disagreement exists if the ice is
deformed. We then use this model to determine analytic expressions for the
conductive heat flux through the ice and for melt pond coverage evolution
during an early stage of pond formation. We also formulate a criterion for ice
to remain pond-free throughout the summer. Results from our model could be
directly included in large-scale models, thereby improving our understanding of
energy balance on sea ice and allowing for more reliable predictions of Arctic
sea ice in a future climate.",0.067058384,0.09997799,-0.44511735,B
3196,"Naturally, there exist numerous directions for further study.","The spatial coupling of our bursting elements is designed to activate scales larger than the
length scale of each element and hence capture the dynamics of large scale systems where similar destabilization is
present [45].","While here we have given a proof-of-principle of
localized dynamics in space-time, it does not escape us that the original ODE system in Eqs.",2022-03-12 23:10:12+00:00,Forced symmetry breaking as a mechanism for rogue bursts in a dissipative nonlinear dynamical lattice,nlin.PS,['nlin.PS'],"[arxiv.Result.Author('Priya Subramanian'), arxiv.Result.Author('Edgar Knobloch'), arxiv.Result.Author('P. G. Kevrekidis')]","We propose an alternative to the standard mechanisms for the formation of
rogue waves in a non-conservative, nonlinear lattice dynamical system. We
consider an ODE system that features regular periodic bursting arising from
forced symmetry breaking. We then connect such potentially exploding units via
a diffusive lattice coupling and investigate the resulting spatio-temporal
dynamics for different types of initial conditions (localized or extended). We
find that in both cases, particular oscillators undergo extremely fast and
large amplitude excursions, resembling a rogue wave burst. Furthermore, the
probability distribution of different amplitudes exhibits bimodality, with
peaks at both vanishing and very large amplitude. While this phenomenology
arises over a range of coupling strengths, for large values thereof the system
eventually synchronizes and the above phenomenology is suppressed. We use both
distributed (such as a synchronization order parameter) and individual
oscillator diagnostics to monitor the dynamics and identify potential
precursors to large amplitude excursions. We also examine similar behavior with
amplitude-dependent diffusive coupling.",0.016709778,0.12490322,0.05623226,B
3197,"In this light, a further study how such
additional ﬁxed points (especially so in the invariant subspace at inﬁnite amplitude) may aﬀect the dynamics of a
diﬀusively coupled lattice system is certainly merited, as is a study of the eﬀect of random coupling strengths between
adjacent nodes, be these quenched or stochastically varying in time [38–40].","(1) possesses a substantial
wealth of additional possible states as the relevant parameters vary [31, 32].","Moreover, the mechanism of extreme
                                                                                                                                                       14

event production put forth herein is not restricted to one-dimensional lattices (as is often the case for integrable
Hamiltonian systems) but generalizes naturally to higher dimensions, a topic also worth exploring in its own right.",2022-03-12 23:10:12+00:00,Forced symmetry breaking as a mechanism for rogue bursts in a dissipative nonlinear dynamical lattice,nlin.PS,['nlin.PS'],"[arxiv.Result.Author('Priya Subramanian'), arxiv.Result.Author('Edgar Knobloch'), arxiv.Result.Author('P. G. Kevrekidis')]","We propose an alternative to the standard mechanisms for the formation of
rogue waves in a non-conservative, nonlinear lattice dynamical system. We
consider an ODE system that features regular periodic bursting arising from
forced symmetry breaking. We then connect such potentially exploding units via
a diffusive lattice coupling and investigate the resulting spatio-temporal
dynamics for different types of initial conditions (localized or extended). We
find that in both cases, particular oscillators undergo extremely fast and
large amplitude excursions, resembling a rogue wave burst. Furthermore, the
probability distribution of different amplitudes exhibits bimodality, with
peaks at both vanishing and very large amplitude. While this phenomenology
arises over a range of coupling strengths, for large values thereof the system
eventually synchronizes and the above phenomenology is suppressed. We use both
distributed (such as a synchronization order parameter) and individual
oscillator diagnostics to monitor the dynamics and identify potential
precursors to large amplitude excursions. We also examine similar behavior with
amplitude-dependent diffusive coupling.",0.14645702,-0.23729774,-0.09885916,B
4195,""">""

  7"">6

   3""""      36""           """"                                        6""      D""""            D6""  $""""

                               %&'()*',-                                                                     clearly be an interesting topic for further study.","Panels (b) and (d) show the steady-state circuit response
B "">6                                                                                                        yielding the respective ground states of energy E = −8.","Furthermore, in order to attain the ground states, in
FIG.",2022-04-01 01:24:40+00:00,An Ising machine based on networks of subharmonic electrical resonators,nlin.PS,['nlin.PS'],"[arxiv.Result.Author('L. Q. English'), arxiv.Result.Author('A. V. Zampetaki'), arxiv.Result.Author('K. P. Kalinin'), arxiv.Result.Author('N. G. Berloff'), arxiv.Result.Author('P. G. Kevrekidis')]","We explore a case example of networks of classical electronic oscillators
evolving towards the solution of complex optimization problems. We show that
when driven into subharmonic response, a network of such nonlinear electrical
resonators can minimize the Ising Hamiltonian on non-trivial graphs such as
antiferromagnetically coupled rewired-M{\""o}bius ladders. In this context, the
spin-up and spin-down states of the Ising machine are represented by the
oscillators' response at the even or odd driving cycles. Our experimental
setting of driven nonlinear oscillators coupled via a programmable switch
matrix leads to a unique energy minimizer when one such exists, and probes
frustration where appropriate. Theoretical modeling of the electronic
oscillators and their couplings allows us to accurately reproduce the
qualitative features of the experimental results. This suggests the promise of
this setup as a prototypical one for exploring the capabilities and limitations
of such an unconventional computing platform.",-0.016379457,-0.018597443,0.2760411,A
4792,"This provides
a reference to further study solutions of nonlinear wave models by combining the deep learning
and the integrable theory.","Compared
with the traditional physics-informed neural network method, this new method can more
accurately predict solutions and parameters of some specific nonlinear wave models even when
less information is needed, for example, in the absence of the boundary conditions.","Keywords: Conservation-law constraint; neural network; flexible learning rate; nonlinear
Schrödinger equation; Korteweg-de Vries and modified Korteweg-de Vries equations.",2022-04-13 11:34:45+00:00,Data-driven soliton solutions and model parameters of nonlinear wave models via the conservation-law constrained neural network method,nlin.PS,['nlin.PS'],"[arxiv.Result.Author('Yin Fang'), arxiv.Result.Author('Gang-Zhou Wu'), arxiv.Result.Author('Yue-Yue Wang'), arxiv.Result.Author('Chao-Qing Dai')]","In the process of the deep learning, we integrate more integrable information
of nonlinear wave models, such as the conservation law obtained from the
integrable theory, into the neural network structure, and propose a
conservation-law constrained neural network method with the flexible learning
rate to predict solutions and parameters of nonlinear wave models. As some
examples, we study real and complex typical nonlinear wave models, including
nonlinear Schr\""odinger equation, Korteweg-de Vries and modified Korteweg-de
Vries equations. Compared with the traditional physics-informed neural network
method, this new method can more accurately predict solutions and parameters of
some specific nonlinear wave models even when less information is needed, for
example, in the absence of the boundary conditions. This provides a reference
to further study solutions of nonlinear wave models by combining the deep
learning and the integrable theory.",-0.21552394,0.22955617,-0.33911967,B
5255,"Avenues of further research include exploring breathers and multi-breathers either in Klein-
Gordon lattices with asymmetric potentials, such as the Morse potential, or in other models
involving beyond-nearest-neighbor interactions, discussed, e.g., in [49] and references therein.","In addition, our
results showcased the crucial diﬀerence between the soft sine-Gordon equation and the hard
φ4 equation; in the latter case, the Floquet spectral pattern depends in addition on whether
the distances in lattice points between consecutive copies of the primary breather are even
or odd, while in the former case, it does not (see also, e.g., the analogy with the interaction
of dark solitons in the defocusing DNLS model of [57]).","One class of models which would be interesting to study is equations in which the potential
involves oﬀ-site terms, such as the FPUT lattice.",2022-04-24 20:09:32+00:00,Revisiting Multi-breathers in the discrete Klein-Gordon equation: A Spatial Dynamics Approach,nlin.PS,"['nlin.PS', '39A30, 37K60, 39A23']","[arxiv.Result.Author('Ross Parker'), arxiv.Result.Author('Jesús Cuevas-Maraver'), arxiv.Result.Author('P. G. Kevrekidis'), arxiv.Result.Author('Alejandro Aceves')]","We consider the existence and spectral stability of multi-breather structures
in the discrete Klein-Gordon equation, both for soft and hard symmetric
potentials. By taking a spatial dynamics approach and an appropriate
approximation of the system on a finite-dimensional Hilbert space, we use Lin's
method to construct multi-breathers from a sequence of well-separated copies of
a primary, single-site breather. We then locate the eigenmodes in the Floquet
spectrum associated with the interaction between the individual breathers of
such multi-breather states by reducing the spectral problem to a matrix
equation. Analytical expressions for these eigenmodes for the approximate
system are obtained in terms of the primary breather and its kernel
eigenfunctions, and these are found to be in very good agreement with the
numerical Floquet spectrum results. This is supplemented with results from
numerical timestepping experiments, which are interpreted using the spectral
computations.",-0.10637267,-0.38468504,-0.12278773,B_centroid
5256,"Avenues of further research include exploring breathers and multi-breathers either in Klein-
Gordon lattices with asymmetric potentials, such as the Morse potential, or in other models
involving beyond-nearest-neighbor interactions, discussed, e.g., in [51] and references therein.","Floquet spectra for N1 = 1, 2, 3, 4 for in-phase double breather (top)
         and out-of-phase double breather (bottom) for hard φ4 potential with d = 0.125.","One class of models which would be interesting to study concerns equations in which the
potential involves oﬀ-site terms, such as the FPUT lattice.",2022-04-24 20:09:32+00:00,Revisiting Multi-breathers in the discrete Klein-Gordon equation: A Spatial Dynamics Approach,nlin.PS,"['nlin.PS', '39A30, 37K60, 39A23']","[arxiv.Result.Author('Ross Parker'), arxiv.Result.Author('Jesús Cuevas-Maraver'), arxiv.Result.Author('P. G. Kevrekidis'), arxiv.Result.Author('Alejandro Aceves')]","We consider the existence and spectral stability of multi-breather structures
in the discrete Klein-Gordon equation, both for soft and hard symmetric
potentials. To obtain analytical results, we project the system onto a
finite-dimensional Hilbert space consisting of the first $M$ Fourier modes, for
arbitrary $M$. On this approximate system, we then take a spatial dynamics
approach and use Lin's method to construct multi-breathers from a sequence of
well-separated copies of the primary, single-site breather. We then locate the
eigenmodes in the Floquet spectrum associated with the interaction between the
individual breathers of such multi-breather states by reducing the spectral
problem to a matrix equation. Expressions for these eigenmodes for the
approximate, finite-dimensional system are obtained in terms of the primary
breather and its kernel eigenfunctions, and these are found to be in very good
agreement with the numerical Floquet spectrum results. This is supplemented
with results from numerical timestepping experiments, which are interpreted
using the spectral computations.",-0.08071853,-0.39931273,-0.07041505,B
6037,"Hence, one potentially important avenue
for further research would be to investigate the effect of time delay on Turing mechanisms encapsulating
20                A. Sargood et al.","It is becoming increasingly clear that going beyond two-species
models is crucial for representing biological reality [22, 43, 45].",larger systems.,2022-05-11 11:23:13+00:00,Fixed and Distributed Gene Expression Time Delays in Reaction-Diffusion Systems,nlin.PS,"['nlin.PS', 'q-bio.CB', '92C15 (primary) 35B36, 35K57 (secondary)']","[arxiv.Result.Author('Alec Sargood'), arxiv.Result.Author('Eamonn A. Gaffney'), arxiv.Result.Author('Andrew L. Krause')]","Time delays, modelling the process of intracellular gene expression, have
been shown to have important impacts on the dynamics of pattern formation in
reaction-diffusion systems. In particular, past work has shown that such time
delays can shrink the Turing space, thereby inhibiting patterns from forming
across large ranges of parameters. Such delays can also increase the time taken
for pattern formation even when Turing instabilities occur. Here we consider
reaction-diffusion models incorporating fixed or distributed time delays,
modelling the underlying stochastic nature of gene expression dynamics, and
analyze these through a systematic linear instability analysis and numerical
simulations for several sets of different reaction kinetics. We find that even
complicated distribution kernels (skewed Gaussian probability density
functions) have little impact on the reaction-diffusion dynamics compared to
fixed delays with the same mean delay. We show that the location of the delay
terms in the model can lead to changes in the size of the Turing space
(increasing or decreasing) as the mean time delay, $\tau$, is increased. We
show that the time to pattern formation from a perturbation of the homogeneous
steady state scales linearly with $\tau$, and conjecture that this is a general
impact of time delay on reaction-diffusion dynamics, independent of the form of
the kinetics or location of the delayed terms. Finally we show that while
initial and boundary conditions can influence these dynamics, particularly the
time-to-pattern, the effects of delay appear robust under variations of initial
and boundary data. Overall our results help clarify the role of gene expression
time delays in reaction-diffusion patterning, and suggest clear directions for
further work in studying more realistic models of pattern formation.",0.74240726,0.46428156,-0.029465487,C
