Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
1266,"Jet  mass                         distributions             for         diﬀerent                           pT,jet       and          jet                  R    in  p+p      collisions        at         √    =  200  GeV.5
                                                                                                                                                                                                                     s

predictions help further study diﬀerent hadronization models for the higher-order
QCD corrections at RHIC energy.",3.,2.2.,2022-01-31 05:34:12+00:00,An overview of recent STAR jet measurements,nucl-ex,"['nucl-ex', 'hep-ex', 'hep-ph', 'nucl-th']",[arxiv.Result.Author('Nihar Ranjan Sahoo')],"These proceedings discuss recent jet measurements by the STAR experiment at
RHIC to study jet substructure in p+p and jet quenching in Au+Au collisions at
$\sqrt{s_\mathrm{NN}}$ = 200 GeV. Furthermore, STAR's future plans for
precision jet measurements with the upcoming data-taking periods in 2023-2025
are presented.",0.24878073,-0.014278033,-0.1066046,B
1785,"To understand the situation better, further research in
                                                               this area is needed.",into account.,"It is also worthwhile to note a signiﬁcant diﬀerence be-
tween the theoretical calculations and our data for the                   D. Double-diﬀerential cross sections
deuteron angular distribution dσ/dΩd in Fig.",2022-02-10 00:01:04+00:00,Coherent photoproduction of the neutral pion and eta meson on the deuteron at incident energies below 1.15 GeV,nucl-ex,"['nucl-ex', 'hep-ex', 'nucl-th']","[arxiv.Result.Author('T. Ishikawa'), arxiv.Result.Author('A. Fix'), arxiv.Result.Author('H. Fujimura'), arxiv.Result.Author('H. Fukasawa'), arxiv.Result.Author('R. Hashimoto'), arxiv.Result.Author('Q. He'), arxiv.Result.Author('Y. Honda'), arxiv.Result.Author('T. Iwata'), arxiv.Result.Author('S. Kaida'), arxiv.Result.Author('J. Kasagi'), arxiv.Result.Author('A. Kawano'), arxiv.Result.Author('S. Kuwasaki'), arxiv.Result.Author('K. Maeda'), arxiv.Result.Author('S. Masumoto'), arxiv.Result.Author('M. Miyabe'), arxiv.Result.Author('F. Miyahara'), arxiv.Result.Author('K. Mochizuki'), arxiv.Result.Author('N. Muramatsu'), arxiv.Result.Author('A. Nakamura'), arxiv.Result.Author('K. Nawa'), arxiv.Result.Author('Y. Obara'), arxiv.Result.Author('S. Ogushi'), arxiv.Result.Author('Y. Okada'), arxiv.Result.Author('K. Okamura'), arxiv.Result.Author('Y. Onodera'), arxiv.Result.Author('K. Ozawa'), arxiv.Result.Author('Y. Sakamoto'), arxiv.Result.Author('M. Sato'), arxiv.Result.Author('H. Shimizu'), arxiv.Result.Author('H. Sugai'), arxiv.Result.Author('K. Suzuki'), arxiv.Result.Author('Y. Tajima'), arxiv.Result.Author('S. Takahashi'), arxiv.Result.Author('Y. Taniguchi'), arxiv.Result.Author('Y. Tsuchikawa'), arxiv.Result.Author('H. Yamazaki'), arxiv.Result.Author('R. Yamazaki'), arxiv.Result.Author('H. Y. Yoshida')]","Coherent photoproduction of the neutral pion and eta meson on the deuteron,
$\gamma{d}${$\to$}$\pi^0\eta{d}$, has been experimentally studied at incident
photon energies ranging from the reaction threshold to 1.15 GeV. The total
cross section demonstrates a rapid rise below 1 GeV. The data are
underestimated by the existing theoretical calculations based on quasi-free
$\pi^0 \eta$ photoproduction on the nucleon followed by deuteron coalescence.
At the same time, the data are rather well reproduced by the calculations
taking into account the final-state interaction. We have also measured for the
first time the differential cross sections: the $\pi^0 \eta$ invariant-mass
distribution $d\sigma/dM_{\pi \eta}$, the $\pi^0 d$ invariant-mass distribution
$d\sigma/dM_{\pi d}$, the $\eta d$ invariant-mass distribution
$d\sigma/dM_{\eta d}$, and the distribution over the deuteron emission angle
$d\sigma/d\Omega_d$ in the overall center-of-mass frame. The measured cross
section $d\sigma/d\Omega_d$ does not exhibit strongly backward-peaking behavior
predicted by the calculations. At all incident energies, an increase in
$d\sigma/dM_{\eta d}$ near the $\eta d$ threshold is observed, which indicates
a bound or virtual $\eta d$ state resulting from a strong attraction between
$\eta$ and a deuteron. The possibilities of using coherent $\pi^0\eta$
photoproduction on a nucleus to study the $\eta$-nuclear interaction are also
discussed.",0.31584334,0.06678048,-0.07251815,B
1786,"Therefore, further research
ηd state is generated.","Because of the uncertain sign       of the γd → π0ηd reaction (impulse approximation plus
of Re[aηd], it is not clear whether a bound or a virtual        interaction in the ﬁnal state).",The existing microscopic theories        in this area is highly desirable.,2022-02-10 00:01:04+00:00,Coherent photoproduction of the neutral pion and eta meson on the deuteron at incident energies below 1.15 GeV,nucl-ex,"['nucl-ex', 'hep-ex', 'nucl-th']","[arxiv.Result.Author('T. Ishikawa'), arxiv.Result.Author('A. Fix'), arxiv.Result.Author('H. Fujimura'), arxiv.Result.Author('H. Fukasawa'), arxiv.Result.Author('R. Hashimoto'), arxiv.Result.Author('Q. He'), arxiv.Result.Author('Y. Honda'), arxiv.Result.Author('T. Iwata'), arxiv.Result.Author('S. Kaida'), arxiv.Result.Author('J. Kasagi'), arxiv.Result.Author('A. Kawano'), arxiv.Result.Author('S. Kuwasaki'), arxiv.Result.Author('K. Maeda'), arxiv.Result.Author('S. Masumoto'), arxiv.Result.Author('M. Miyabe'), arxiv.Result.Author('F. Miyahara'), arxiv.Result.Author('K. Mochizuki'), arxiv.Result.Author('N. Muramatsu'), arxiv.Result.Author('A. Nakamura'), arxiv.Result.Author('K. Nawa'), arxiv.Result.Author('Y. Obara'), arxiv.Result.Author('S. Ogushi'), arxiv.Result.Author('Y. Okada'), arxiv.Result.Author('K. Okamura'), arxiv.Result.Author('Y. Onodera'), arxiv.Result.Author('K. Ozawa'), arxiv.Result.Author('Y. Sakamoto'), arxiv.Result.Author('M. Sato'), arxiv.Result.Author('H. Shimizu'), arxiv.Result.Author('H. Sugai'), arxiv.Result.Author('K. Suzuki'), arxiv.Result.Author('Y. Tajima'), arxiv.Result.Author('S. Takahashi'), arxiv.Result.Author('Y. Taniguchi'), arxiv.Result.Author('Y. Tsuchikawa'), arxiv.Result.Author('H. Yamazaki'), arxiv.Result.Author('R. Yamazaki'), arxiv.Result.Author('H. Y. Yoshida')]","Coherent photoproduction of the neutral pion and eta meson on the deuteron,
$\gamma{d}${$\to$}$\pi^0\eta{d}$, has been experimentally studied at incident
photon energies ranging from the reaction threshold to 1.15 GeV. The total
cross section demonstrates a rapid rise below 1 GeV. The data are
underestimated by the existing theoretical calculations based on quasi-free
$\pi^0 \eta$ photoproduction on the nucleon followed by deuteron coalescence.
At the same time, the data are rather well reproduced by the calculations
taking into account the final-state interaction. We have also measured for the
first time the differential cross sections: the $\pi^0 \eta$ invariant-mass
distribution $d\sigma/dM_{\pi \eta}$, the $\pi^0 d$ invariant-mass distribution
$d\sigma/dM_{\pi d}$, the $\eta d$ invariant-mass distribution
$d\sigma/dM_{\eta d}$, and the distribution over the deuteron emission angle
$d\sigma/d\Omega_d$ in the overall center-of-mass frame. The measured cross
section $d\sigma/d\Omega_d$ does not exhibit strongly backward-peaking behavior
predicted by the calculations. At all incident energies, an increase in
$d\sigma/dM_{\eta d}$ near the $\eta d$ threshold is observed, which indicates
a bound or virtual $\eta d$ state resulting from a strong attraction between
$\eta$ and a deuteron. The possibilities of using coherent $\pi^0\eta$
photoproduction on a nucleus to study the $\eta$-nuclear interaction are also
discussed.",0.25671118,0.0653796,-0.33748922,B
1787,"To understand the situation better, further research in                  D. Double-diﬀerential cross sections
this area is needed.","However, they also strongly under-     important mechanism that allows the large transferred
momentum to be shared between the nucleons, and thus                                                                                 11
increases the cross section at forward deuteron angles.","To investigate correlation between two of the in-
                                                              variant masses Mπη, Mηd, and Mπd, we also deduced
                                                              the double-diﬀerential cross sections d2σ/dMηd/dMπd,
                                                              d2σ/dMπd/dMπη, and d2σ/dMηd/dMπη.",2022-02-10 00:01:04+00:00,Coherent photoproduction of the neutral pion and eta meson on the deuteron at incident energies below 1.15 GeV,nucl-ex,"['nucl-ex', 'hep-ex', 'nucl-th']","[arxiv.Result.Author('T. Ishikawa'), arxiv.Result.Author('A. Fix'), arxiv.Result.Author('H. Fujimura'), arxiv.Result.Author('H. Fukasawa'), arxiv.Result.Author('R. Hashimoto'), arxiv.Result.Author('Q. He'), arxiv.Result.Author('Y. Honda'), arxiv.Result.Author('T. Iwata'), arxiv.Result.Author('S. Kaida'), arxiv.Result.Author('J. Kasagi'), arxiv.Result.Author('A. Kawano'), arxiv.Result.Author('S. Kuwasaki'), arxiv.Result.Author('K. Maeda'), arxiv.Result.Author('S. Masumoto'), arxiv.Result.Author('M. Miyabe'), arxiv.Result.Author('F. Miyahara'), arxiv.Result.Author('K. Mochizuki'), arxiv.Result.Author('N. Muramatsu'), arxiv.Result.Author('A. Nakamura'), arxiv.Result.Author('K. Nawa'), arxiv.Result.Author('Y. Obara'), arxiv.Result.Author('S. Ogushi'), arxiv.Result.Author('Y. Okada'), arxiv.Result.Author('K. Okamura'), arxiv.Result.Author('Y. Onodera'), arxiv.Result.Author('K. Ozawa'), arxiv.Result.Author('Y. Sakamoto'), arxiv.Result.Author('M. Sato'), arxiv.Result.Author('H. Shimizu'), arxiv.Result.Author('H. Sugai'), arxiv.Result.Author('K. Suzuki'), arxiv.Result.Author('Y. Tajima'), arxiv.Result.Author('S. Takahashi'), arxiv.Result.Author('Y. Taniguchi'), arxiv.Result.Author('Y. Tsuchikawa'), arxiv.Result.Author('H. Yamazaki'), arxiv.Result.Author('R. Yamazaki'), arxiv.Result.Author('H. Y. Yoshida')]","Coherent photoproduction of the neutral pion and eta meson on the deuteron,
$\gamma{d}${$\to$}$\pi^0\eta{d}$, has been experimentally studied at incident
photon energies ranging from the reaction threshold to 1.15 GeV. The total
cross section demonstrates a rapid rise below 1 GeV. The data are
underestimated by the existing theoretical calculations based on quasi-free
$\pi^0 \eta$ photoproduction on the nucleon followed by deuteron coalescence.
At the same time, the data are rather well reproduced by the calculations
taking into account the final-state interaction. We have also measured for the
first time the differential cross sections: the $\pi^0 \eta$ invariant-mass
distribution $d\sigma/dM_{\pi \eta}$, the $\pi^0 d$ invariant-mass distribution
$d\sigma/dM_{\pi d}$, the $\eta d$ invariant-mass distribution
$d\sigma/dM_{\eta d}$, and the distribution over the deuteron emission angle
$d\sigma/d\Omega_d$ in the overall center-of-mass frame. The measured cross
section $d\sigma/d\Omega_d$ does not exhibit strongly backward-peaking behavior
predicted by the calculations. At all incident energies, an increase in
$d\sigma/dM_{\eta d}$ near the $\eta d$ threshold is observed, which indicates
a bound or virtual $\eta d$ state resulting from a strong attraction between
$\eta$ and a deuteron. The possibilities of using coherent $\pi^0\eta$
photoproduction on a nucleus to study the $\eta$-nuclear interaction are also
discussed.",0.23190823,0.2466697,-0.24393094,B
1788,"Therefore, further research
cult to determine aηd more or less precisely.","These large uncertainties also make it diﬃ-          of the γd → π0ηd reaction (impulse approximation plus
                                                                  interaction in the ﬁnal state).",The value of        in this area is highly desirable.,2022-02-10 00:01:04+00:00,Coherent photoproduction of the neutral pion and eta meson on the deuteron at incident energies below 1.15 GeV,nucl-ex,"['nucl-ex', 'hep-ex', 'nucl-th']","[arxiv.Result.Author('T. Ishikawa'), arxiv.Result.Author('A. Fix'), arxiv.Result.Author('H. Fujimura'), arxiv.Result.Author('H. Fukasawa'), arxiv.Result.Author('R. Hashimoto'), arxiv.Result.Author('Q. He'), arxiv.Result.Author('Y. Honda'), arxiv.Result.Author('T. Iwata'), arxiv.Result.Author('S. Kaida'), arxiv.Result.Author('J. Kasagi'), arxiv.Result.Author('A. Kawano'), arxiv.Result.Author('S. Kuwasaki'), arxiv.Result.Author('K. Maeda'), arxiv.Result.Author('S. Masumoto'), arxiv.Result.Author('M. Miyabe'), arxiv.Result.Author('F. Miyahara'), arxiv.Result.Author('K. Mochizuki'), arxiv.Result.Author('N. Muramatsu'), arxiv.Result.Author('A. Nakamura'), arxiv.Result.Author('K. Nawa'), arxiv.Result.Author('Y. Obara'), arxiv.Result.Author('S. Ogushi'), arxiv.Result.Author('Y. Okada'), arxiv.Result.Author('K. Okamura'), arxiv.Result.Author('Y. Onodera'), arxiv.Result.Author('K. Ozawa'), arxiv.Result.Author('Y. Sakamoto'), arxiv.Result.Author('M. Sato'), arxiv.Result.Author('H. Shimizu'), arxiv.Result.Author('H. Sugai'), arxiv.Result.Author('K. Suzuki'), arxiv.Result.Author('Y. Tajima'), arxiv.Result.Author('S. Takahashi'), arxiv.Result.Author('Y. Taniguchi'), arxiv.Result.Author('Y. Tsuchikawa'), arxiv.Result.Author('H. Yamazaki'), arxiv.Result.Author('R. Yamazaki'), arxiv.Result.Author('H. Y. Yoshida')]","Coherent photoproduction of the neutral pion and eta meson on the deuteron,
$\gamma{d}${$\to$}$\pi^0\eta{d}$, has been experimentally studied at incident
photon energies ranging from the reaction threshold to 1.15 GeV. The total
cross section demonstrates a rapid rise below 1 GeV. The data are
underestimated by the existing theoretical calculations based on quasi-free
$\pi^0 \eta$ photoproduction on the nucleon followed by deuteron coalescence.
At the same time, the data are rather well reproduced by the calculations
taking into account the final-state interaction. We have also measured for the
first time the differential cross sections: the $\pi^0 \eta$ invariant-mass
distribution $d\sigma/dM_{\pi \eta}$, the $\pi^0 d$ invariant-mass distribution
$d\sigma/dM_{\pi d}$, the $\eta d$ invariant-mass distribution
$d\sigma/dM_{\eta d}$, and the distribution over the deuteron emission angle
$d\sigma/d\Omega_d$ in the overall center-of-mass frame. The measured cross
section $d\sigma/d\Omega_d$ does not exhibit strongly backward-peaking behavior
predicted by the calculations. At all incident energies, an increase in
$d\sigma/dM_{\eta d}$ near the $\eta d$ threshold is observed, which indicates
a bound or virtual $\eta d$ state resulting from a strong attraction between
$\eta$ and a deuteron. The possibilities of using coherent $\pi^0\eta$
photoproduction on a nucleus to study the $\eta$-nuclear interaction are also
discussed.",0.19777122,0.0982581,-0.35852998,B
2078,"To enable future pursuit of direct constraints on reactor antineutrino production
below the 1.8 MeV IBD threshold, further research and development (R&D) on reactor-based coherent
neutrino scattering (CEvNS) and electron scattering detectors must be performed.","These new measurements provide
yet further value for elucidating the quality of summation predictions if energy resolution of a few percent
or better can be achieved.","Thus, performance of
improved new high-precision antineutrino spectrum and flux measurements at HEU and LEU reactors,
preferably in a systematically correlated manner, was highly recommended (recommendation 2 and 6).",2022-02-16 18:39:17+00:00,Nuclear Data to Reduce Uncertainties in Reactor Antineutrino Measurements: Summary Report of the Workshop on Nuclear Data for Reactor Antineutrino Measurements (WoNDRAM),nucl-ex,"['nucl-ex', 'physics.ins-det']","[arxiv.Result.Author('Catherine Romano'), arxiv.Result.Author('Nathaniel Bowden'), arxiv.Result.Author('Andrew Conant'), arxiv.Result.Author('Bethany Goldblum'), arxiv.Result.Author('Patrick Huber'), arxiv.Result.Author('Jonathan Link'), arxiv.Result.Author('Bryce Littlejohn'), arxiv.Result.Author('Pieter Mumm'), arxiv.Result.Author('Juan Pedro Ochoa-Ricoux'), arxiv.Result.Author('Shikha Prasad'), arxiv.Result.Author('Catherine Riddle'), arxiv.Result.Author('Alejandro Sonzogni'), arxiv.Result.Author('William Wieselquist')]","The large quantities of antineutrinos produced through the decay of fission
fragments in nuclear reactors provide an opportunity to study the properties of
these particles and investigate their use in reactor monitoring. The reactor
antineutrino spectra are measured using specialized, large area detectors that
detect antineutrinos through inverse beta decay, electron elastic scattering,
or coherent elastic neutrino nucleus scattering; although, inverse beta decay
is the only demonstrated method so far. Reactor monitoring takes advantage of
the differences in the antineutrino yield and spectra resulting from uranium
and plutonium fission providing an opportunity to estimate the fissile material
composition in the reactor. Recent experiments reveal a deviation between the
measured and calculated antineutrino flux and spectra indicating either the
existence of yet undiscovered neutrino physics, uncertainties in the reactor
source term calculation, incorrect nuclear data, or a combination of all three.
  To address the nuclear data that impact the antineutrino spectrum
calculations and measurements, an international group of over 180 experts in
antineutrino physics, reactor analysis, detector development, and nuclear data
came together during the Workshop on Nuclear Data for Reactor Antineutrino
Measurements (WoNDRAM) to discuss nuclear data needs and achieve concordance on
a set of recommended priorities for nuclear data improvements. Three topical
sessions provided a forum to gain consensus amongst the participants on the
most important data improvements to address two goals: 1) understand the
reactor anomaly and 2) improve the ability to monitor reactors using
antineutrinos. This report summarizes the outcomes of the workshop discussions
and the recommendations for nuclear data efforts that reduce reactor
antineutrino measurement uncertainties.",-0.19788167,-0.16218415,0.06631134,A
2214,"One also can further study the azimuthal distribution of the

unpolarized SIDIS events (φ) which provides precious information on the Boer-Mulder TMD as well as the high-order

and high-twist QCD eﬀects [29].","They  can      further   allow  us  to  decouple  the  f  q  (  Q2  ,  x,  k⊥  )  from  D1q(Q2, x, qT )  in  a  detailed
                                                                                            1

global analysis with helps from theoretical models.","In this experiment, we will provide high precision SIDIS data in 4D (Q2, x, z, PT ) as shown in Fig.",2022-02-19 23:44:13+00:00,SIDIS Measurement with A=3 Nuclei,nucl-ex,"['nucl-ex', 'hep-ph']",[arxiv.Result.Author('Zhihong Ye')],"We introduced a new experimental effort at Jefferson Lab (JLab) to precisely
measure the ratios of charged pion electroproduction in Semi-Inclusive Deep
Inelastic Scattering (SIDIS) from $^2$D, $^3$He, and $^3$H targets. This
conditionally approved experiment (C12-21-004) aims to run in Hall-B using the
standard CLAS12 configuration and a new target system developed for the
approved quasi-elastic experiment (E12-20-005). In this data-driven study, we
will measure the cross-sections as a function of ($x$, $Q^2$, $z$, $P_T$) to
allow the extraction of the unpolarized parton distribution functions (PDFs),
transverse momentum distributions (TMDs) and fragmentation functions (FFs) in A
= 3 nuclei. By using super-ratios of pion yields of SIDIS off light nuclei over
a wide $x_B$ range, we will search for evidence of a flavor dependence in the
EMC effect, giving us new insights on the effect of the nuclear environment on
valance quarks. Double ratios between the A = 3 mirror nuclei can provide a
direct measurement of the d/u ratios at large x thanks to their similar and
well-understood nuclear corrections. With the utilization of mirror nuclei, the
CLAS12's large kinematic range, and high precision, we will be able to maintain
the sensitivity to the underlying physics but dramatically decrease the nuclear
uncertainties due to attenuation and hadronization in heavy nuclei.",0.7015637,-0.025297893,0.23105043,B
2215,"One also can further study the azimuthal distribution of the

unpolarized SIDIS events (φ) which provides precious information on the Boer-Mulder TMD as well as the high-order

and high-twist QCD eﬀects [29].","They  can      further   allow  us  to  decouple  the  f  q  (  Q2  ,  x,  k⊥  )  from  D1q(Q2, x, qT )  in  a  detailed
                                                                                            1

global analysis with helps from theoretical models.","In this experiment, we will provide high precision SIDIS data in 4D (Q2, x, z, PT ) as shown in Fig.",2022-02-19 23:44:13+00:00,SIDIS Measurement with A=3 Nuclei,nucl-ex,"['nucl-ex', 'hep-ph']","[arxiv.Result.Author('Zhihong Ye'), arxiv.Result.Author('Dipangkar Dutta'), arxiv.Result.Author('Dave Gaskell'), arxiv.Result.Author('Or Hen'), arxiv.Result.Author('Dave Meekins'), arxiv.Result.Author('Dien Nguyen'), arxiv.Result.Author('Larry Weinstein'), arxiv.Result.Author('Jennifer R. West')]","We introduced a new experimental effort at Jefferson Lab (JLab) to precisely
measure the ratios of charged pion electroproduction in Semi-Inclusive Deep
Inelastic Scattering (SIDIS) from $^2$D, $^3$He, and $^3$H targets. This
conditionally approved experiment (C12-21-004) aims to run in Hall-B using the
standard CLAS12 configuration and a new target system developed for the
approved quasi-elastic experiment (E12-20-005). In this data-driven study, we
will measure the cross-sections as a function of ($x$, $Q^2$, $z$, $P_T$) to
allow the extraction of the unpolarized parton distribution functions (PDFs),
transverse momentum distributions (TMDs) and fragmentation functions (FFs) in A
= 3 nuclei. By using super-ratios of pion yields of SIDIS off light nuclei over
a wide $x_B$ range, we will search for evidence of a flavor dependence in the
EMC effect, giving us new insights on the effect of the nuclear environment on
valance quarks. Double ratios between the A = 3 mirror nuclei can provide a
direct measurement of the d/u ratios at large x thanks to their similar and
well-understood nuclear corrections. With the utilization of mirror nuclei, the
CLAS12's large kinematic range, and high precision, we will be able to maintain
the sensitivity to the underlying physics but dramatically decrease the nuclear
uncertainties due to attenuation and hadronization in heavy nuclei.",0.7015637,-0.025297893,0.23105043,B
2216,"One also can further study the azimuthal distribution of the unpolarized SIDIS events (φ) which

provides precious information on the Boer-Mulder TMD as well as the high-order and high-

twist QCD effects [29].","They can further allow us to decouple the
   q                               D1q
f  1  (  Q2  ,  x,  k  ⊥  )  from       (  Q2  ,  x,  qT  )  in  a  detailed  global   analysis       with           helps  from  theoretical  models.","In this experiment, we will provide high precision SIDIS data in 4D (Q2, x, z, PT) as shown
in Fig.",2022-02-19 23:44:13+00:00,SIDIS Measurement with A=3 Nuclei,nucl-ex,"['nucl-ex', 'hep-ph']","[arxiv.Result.Author('Zhihong Ye'), arxiv.Result.Author('Dipangkar Dutta'), arxiv.Result.Author('Dave Gaskell'), arxiv.Result.Author('Or Hen'), arxiv.Result.Author('Dave Meekins'), arxiv.Result.Author('Dien Nguyen'), arxiv.Result.Author('Jennifer Rittenhouse West'), arxiv.Result.Author('Lawrence Weinstein')]","We introduce a new experimental effort at Jefferson Lab (JLab) to precisely
measure the ratios of charged pion electroproduction in Semi-Inclusive Deep
Inelastic Scattering (SIDIS) from $^2$D, $^3$He, and $^3$H targets
\cite{c12-21-004}. This conditionally approved experiment (C12-21-004) aims to
run in Hall-B using the standard CLAS12 configuration and a new target system
developed for the approved quasi-elastic experiment (E12-20-005). In this
data-driven study, we will measure the cross-sections as a function of ($x$,
$Q^2$, $z$, $P_T$) to allow the extraction of the unpolarized parton
distribution functions (PDFs), transverse momentum distributions (TMDs) and
fragmentation functions (FFs) in A = 3 nuclei. By using super-ratios of pion
yields of SIDIS off light nuclei over a wide $x_B$ range, we search for
evidence of a flavor dependence in the EMC effect, giving us new insights into
the effect of the nuclear environment on valance quarks. Double-ratios between
A = 3 mirror nuclei can provide a direct measurement of the d/u ratios at large
x due to their similar and well-understood nuclear corrections. With the
utilization of mirror nuclei and the large kinematic range, and high precision
of CLAS12, we will be able to maintain the sensitivity to the underlying
physics but dramatically decrease the nuclear uncertainties due to attenuation
and hadronization in heavy nuclei targets.",0.68890285,-0.023249816,0.21432091,B_centroid
3292,"For other schemes, such as embedding from liquid solution, further research is
      required.","Some
      embedding schemes such as ion implantation likely scale well to the use of detector
      arrays.","Regardless of the selected path, a successful demonstration of array-scale
      embedding is needed.",2022-03-15 00:46:14+00:00,Measuring the electron neutrino mass using the electron capture decay of 163Ho,nucl-ex,"['nucl-ex', 'hep-ph', 'physics.ins-det']","[arxiv.Result.Author('Joel Ullom'), arxiv.Result.Author('Daniel Schmidt'), arxiv.Result.Author('Simon Bandler'), arxiv.Result.Author('Thomas Stevenson'), arxiv.Result.Author('Mark Croce'), arxiv.Result.Author('Katrina Koehler'), arxiv.Result.Author('Matteo De Gerone'), arxiv.Result.Author('Loredana Gastaldo'), arxiv.Result.Author('Christian Enss'), arxiv.Result.Author('Geonbo Kim'), arxiv.Result.Author('Angelo Nucciotti'), arxiv.Result.Author('Stefano Ragazzi'), arxiv.Result.Author('Kyle Leach'), arxiv.Result.Author('Diana Parno'), arxiv.Result.Author('Brian Mong'), arxiv.Result.Author('Josef Frisch'), arxiv.Result.Author('Christopher Kenney')]","While the mass differences between neutrino mass states are known, their
absolute masses and mass hierarchy have not yet been determined. Determining
the mass of neutrinos provides access to physics beyond the Standard Model and
the resulting value has implications for the growth of large-scale structure in
the universe over cosmic history. Because of the importance of the topic, a
number of efforts are already underway to determine the mass of neutrinos
including direct kinematic measurements and indirect measurements of
astrophysical phenomena that constrain the sum of the mass eigenstates through
models of cosmic evolution. Here, we advocate for a collaborative international
effort to perform a kinematic determination of the effective electron neutrino
mass using calorimetric measurements of the decay of 163Ho. This effort is
justified by the success of current experiments using the technique, its high
benefit-to-cost ratio, the value of approaches with different systematic
errors, and the value of measuring the electron neutrino mass rather than the
electron anti-neutrino mass.",-0.2980243,-0.017993938,0.26598823,A
