Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
463,"While being accurate and efficient in predicting multiscale thermal transport, the current
scheme still has limitations, which warrants further research.","It can be a powerful tool in
studying multiscale thermal transport for applications like thermoelectrics and electronics thermal
management.","In particular, our framework is
designed for steady-state problems, and modifications are required in order to capture the transient
thermal transport.",2022-01-12 23:07:08+00:00,Physics-Informed Deep Learning for Solving Phonon Boltzmann Transport Equation with Large Temperature Non-Equilibrium,physics.comp-ph,['physics.comp-ph'],"[arxiv.Result.Author('Ruiyang Li'), arxiv.Result.Author('Jian-Xun Wang'), arxiv.Result.Author('Eungkyu Lee'), arxiv.Result.Author('Tengfei Luo')]","Phonon Boltzmann transport equation (BTE) is a key tool for modeling
multiscale phonon transport, which is critical to the thermal management of
miniaturized integrated circuits, but assumptions about the system temperatures
(i.e., small temperature gradients) are usually made to ensure that it is
computationally tractable. To include the effects of large temperature
non-equilibrium, we demonstrate a data-free deep learning scheme,
physics-informed neural network (PINN), for solving stationary, mode-resolved
phonon BTE with arbitrary temperature gradients. This scheme uses the
temperature-dependent phonon relaxation times and learns the solutions in
parameterized spaces with both length scale and temperature gradient treated as
input variables. Numerical experiments suggest that the proposed PINN can
accurately predict phonon transport (from 1D to 3D) under arbitrary temperature
gradients. Moreover, the proposed scheme shows great promise in simulating
device-level phonon heat conduction efficiently and can be potentially used for
thermal design.",-0.18734851,-0.05391226,0.46303457,C
1028,"For example, we expect HAMR to oﬀer increased
gains with the increased problem complexity, and therefore it would be of interest to further study the dependence of
the eﬃciency on the application type.",The current work opens a number of avenues for future research.,"Also, as most high ﬁdelity simulations are performed on large, parallel computer
systems, the load balancing characteristics of AMR solvers equipped with the solver adaptive component are expected
to change and may require optimization.",2022-01-26 00:22:08+00:00,A hybrid adaptive multiresolution approach for the efficient simulation of reactive flows,physics.comp-ph,"['physics.comp-ph', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR', 'physics.flu-dyn']","[arxiv.Result.Author('Brandon Gusto'), arxiv.Result.Author('Tomasz Plewa')]","Computational studies that use block-structured adaptive mesh refinement
(AMR) approaches suffer from unnecessarily high mesh resolution in regions
adjacent to important solution features. This deficiency limits the performance
of AMR codes. In this work a novel hybrid adaptive multiresolution (HAMR)
approach to AMR-based calculations is introduced to address this issue. The
multiresolution (MR) smoothness indicators are used to identify regions of
smoothness on the mesh where the computational cost of individual physics
solvers may be decreased by replacing direct calculations with interpolation.
We suggest an approach to balance the errors due to the adaptive discretization
and the interpolation of physics quantities such that the overall accuracy of
the HAMR solution is consistent with that of the MR-driven AMR solution. The
performance of the HAMR scheme is evaluated for a range of test problems, from
pure hydrodynamics to turbulent combustion.",-0.088197954,-0.19812638,-0.13576251,A
2036,"To further study the impact
of the ﬁnite diﬀerence schemes on the learning performance, more challenging heat transfer problems of square
plate with hole in the middle or corner are also considered here.",We ﬁrst consider the viscous Burgers equation that is commonly used as testbeds.,"We test the ability of HFD-PINN to solve
the two-dimensional Poisson equation in the regular domain.",2022-02-16 08:34:14+00:00,Hybrid Finite Difference with the Physics-informed Neural Network for solving PDE in complex geometries,physics.comp-ph,['physics.comp-ph'],"[arxiv.Result.Author('Zixue Xiang'), arxiv.Result.Author('Wei Peng'), arxiv.Result.Author('Weien Zhou'), arxiv.Result.Author('Wen Yao')]","The physics-informed neural network (PINN) is effective in solving the
partial differential equation (PDE) by capturing the physics constraints as a
part of the training loss function through the Automatic Differentiation (AD).
This study proposes the hybrid finite difference with the physics-informed
neural network (HFD-PINN) to fully use the domain knowledge. The main idea is
to use the finite difference method (FDM) locally instead of AD in the
framework of PINN. In particular, we use AD at complex boundaries and the FDM
in other domains. The hybrid learning model shows promising results in
experiments. To use the FDM locally in the complex boundary domain and avoid
the generation of background mesh, we propose the HFD-PINN-sdf method, which
locally uses the finite difference scheme at random points. In addition, the
signed distance function is used to avoid the difference scheme from crossing
the domain boundary. In this paper, we demonstrate the performance of our
proposed methods and compare the results with the different number of
collocation points for the Poisson equation, Burgers equation. We also chose
several different finite difference schemes, including the compact finite
difference method (CDM) and crank-nicolson method (CNM), to verify the
robustness of HFD-PINN. We take the heat conduction problem and the heat
transfer problem on the irregular domain as examples to demonstrate the
efficacy of our framework. In summary, HFD-PINN, especially HFD-PINN-sdf, are
more instructive and efficient, significantly when solving PDEs in complex
geometries.",-0.112367086,0.42548043,0.12886515,C
2037,"(b) The absolute error of FD-PINN

    To further study the impact of the ﬁnite diﬀerence scheme on the learning performance of the newly pro-

posed model, we chose three diﬀerence schemes for comparison in Table 2.","(a) AD-PINN     (b) FD-PINN

Figure 9: Viscous Burgers equation:(a) The absolute error of AD-PINN.",Here the CDM [38] of Eq.,2022-02-16 08:34:14+00:00,Hybrid Finite Difference with the Physics-informed Neural Network for solving PDE in complex geometries,physics.comp-ph,['physics.comp-ph'],"[arxiv.Result.Author('Zixue Xiang'), arxiv.Result.Author('Wei Peng'), arxiv.Result.Author('Weien Zhou'), arxiv.Result.Author('Wen Yao')]","The physics-informed neural network (PINN) is effective in solving the
partial differential equation (PDE) by capturing the physics constraints as a
part of the training loss function through the Automatic Differentiation (AD).
This study proposes the hybrid finite difference with the physics-informed
neural network (HFD-PINN) to fully use the domain knowledge. The main idea is
to use the finite difference method (FDM) locally instead of AD in the
framework of PINN. In particular, we use AD at complex boundaries and the FDM
in other domains. The hybrid learning model shows promising results in
experiments. To use the FDM locally in the complex boundary domain and avoid
the generation of background mesh, we propose the HFD-PINN-sdf method, which
locally uses the finite difference scheme at random points. In addition, the
signed distance function is used to avoid the difference scheme from crossing
the domain boundary. In this paper, we demonstrate the performance of our
proposed methods and compare the results with the different number of
collocation points for the Poisson equation, Burgers equation. We also chose
several different finite difference schemes, including the compact finite
difference method (CDM) and crank-nicolson method (CNM), to verify the
robustness of HFD-PINN. We take the heat conduction problem and the heat
transfer problem on the irregular domain as examples to demonstrate the
efficacy of our framework. In summary, HFD-PINN, especially HFD-PINN-sdf, are
more instructive and efficient, significantly when solving PDEs in complex
geometries.",-0.16864839,0.41139948,-0.0042030923,C
3008,"In conclusion, this DeepDOS model can strongly en-        [15] N. Jourdain, V. Recoules, L. Lecherbourg, P. Renaudin,
hance the further study of both electronic structure and           and F. Dorchies, Physical Review B 101, 125127 (2020).","[14] S. Ono and T. Suemoto, Physical Review B 102,
                                                                   10.1103/PhysRevB.102.024308 (2020).","ion dynamics during non-equilibrium processes created        [16] L. Zhang, J. Han, H. Wang, W. A. Saidi, R. Car, and
by ultrafast laser heating, shock loading or a quasi-              E. Weinan, in Proceedings of the 32nd International Con-
isentropic ramped pressure drive.",2022-03-09 02:21:41+00:00,Towards Large-Scale and Spatio-temporally Resolved Diagnosis of Electronic Density of States,physics.comp-ph,"['physics.comp-ph', 'cond-mat.dis-nn', 'cond-mat.mtrl-sci', 'physics.atm-clus']","[arxiv.Result.Author('Qiyu Zeng'), arxiv.Result.Author('Bo Chen'), arxiv.Result.Author('Xiaoxiang Yu'), arxiv.Result.Author('Shen Zhang'), arxiv.Result.Author('Dongdong Kang'), arxiv.Result.Author('Han Wang'), arxiv.Result.Author('Jiayu Dai')]","Modern laboratory techniques like ultrafast laser excitation and shock
compression can bring matter into highly nonequilibrium states with complex
structural transformation, metallization and dissociation dynamics. To
understand and model the dramatic change of both electronic structures and ion
dynamics during such dynamic processes, the traditional method faces
difficulties. Here, we demonstrate the ability of deep neural network (DNN) to
capture the atomic local-environment dependence of electronic density of states
(DOS) for both multicomponent system under exoplanet thermodynamic condition
and nonequilibrium system during super-heated melting process. Large scale and
time-resolved diagnosis of DOS can be efficiently achieved within the accuracy
of ab initio method. Moreover, the atomic contribution to DOS given by DNN
model accurately reveals the information of local neighborhood for selected
atom, thus can serve as robust order parameters to identify different phases
and intermediate local structures, strongly highlights the efficacy of this DNN
model in studying dynamic processes.",0.016945435,-0.17972532,0.55170965,B
3009,"accurately resolves the complex local environment for
this nonequilibrium system that contains diamond crys-          In conclusion, this DeepDOS model can strongly en-
talline, liquid and thermal-distorted intermediate struc-    hance the further study of both electronic structure and
ture.","We note that a signiﬁcant amount      ric characteristics like ext-CNA method, the ADOS can
of representative points locate in the transitional zone     give relatively robust identiﬁcation for local structures
from 34.0 ps to 36.8 ps, with characteristic parameter Q     that signiﬁcantly deviates from ideal crystal symmetry
ranging from ∼ 0.6 to ∼ 0.8, indicating that the DNN-        due to thermal ﬂuctuation and phase transition dynam-
predicted ADOS and ADOS-derived order parameter Q            ics.","ion dynamics during non-equilibrium processes created
                                                             by ultrafast laser heating, shock loading or a quasi-
   For comparison, the traditional structure-identiﬁcation   isentropic ramped pressure drive.",2022-03-09 02:21:41+00:00,Towards Large-Scale and Spatio-temporally Resolved Diagnosis of Electronic Density of States by Deep Learning,physics.comp-ph,"['physics.comp-ph', 'cond-mat.dis-nn', 'cond-mat.mtrl-sci', 'physics.atm-clus']","[arxiv.Result.Author('Qiyu Zeng'), arxiv.Result.Author('Bo Chen'), arxiv.Result.Author('Xiaoxiang Yu'), arxiv.Result.Author('Shen Zhang'), arxiv.Result.Author('Dongdong Kang'), arxiv.Result.Author('Han Wang'), arxiv.Result.Author('Jiayu Dai')]","Modern laboratory techniques like ultrafast laser excitation and shock
compression can bring matter into highly nonequilibrium states with complex
structural transformation, metallization and dissociation dynamics. To
understand and model the dramatic change of both electronic structures and ion
dynamics during such dynamic processes, the traditional method faces
difficulties. Here, we demonstrate the ability of deep neural network (DNN) to
capture the atomic local-environment dependence of electronic density of states
(DOS) for both multicomponent system under exoplanet thermodynamic condition
and nonequilibrium system during super-heated melting process. Large scale and
time-resolved diagnosis of DOS can be efficiently achieved within the accuracy
of ab initio method. Moreover, the atomic contribution to DOS given by DNN
model accurately reveals the information of local neighborhood for selected
atom, thus can serve as robust order parameters to identify different phases
and intermediate local structures, strongly highlights the efficacy of this DNN
model in studying dynamic processes.",0.025905607,-0.26620197,0.576674,B
3131,"F. K. Chow, P. Moin, A further study of numerical errors in large-eddy simulations, Journal
  of Computational Physics 184 (2003) 366–380.","G. Blaisdell, E. Spyropoulos, J. Qin, The eﬀect of the formulation of nonlinear terms on
  aliasing errors in spectral methods, Applied Numerical Mathematics 21 (1996) 207–219.","C. A. Kennedy, A. Gruber, Reduced aliasing formulations of the convective terms within
  the navier–stokes equations for a compressible ﬂuid, Journal of Computational Physics
  227 (2008) 1676–1700.",2022-03-11 08:58:16+00:00,Accurate conservative phase-field method for simulation of two-phase flows,physics.comp-ph,"['physics.comp-ph', 'physics.flu-dyn']",[arxiv.Result.Author('Suhas S. Jain')],"In this work, we propose a novel phase-field model for the simulation of
two-phase flows that is accurate, conservative, bounded, and robust. The
proposed model conserves the mass of each of the phases, and results in bounded
transport of the volume fraction. We present results from the canonical test
cases of a drop advection and a drop in a shear flow, showing significant
improvement in the accuracy over the commonly used conservative phase-field
method.
  Moreover, the proposed model imposes a lesser restrictive
Courant-Friedrichs-Lewy condition, and hence, is less expensive compared to
other conservative phase-field models. We also propose improvements on
computation of surface tension forces and show that the proposed improvement
significantly reduces the magnitude of spurious velocities at the interface.
  We also derive a consistent and conservative momentum transport equation for
the proposed phase-field model and show that the proposed model when coupled
with the consistent momentum transport equation results in discrete
conservation of kinetic energy, which is a sufficient condition for the
numerical stability of incompressible flows, in the absence of dissipative
mechanisms. To illustrate the robustness of the method in simulating
high-density ratio turbulent two-phase flows, we present the numerical
simulations of high-density ratio droplet-laden isotropic turbulence at finite
and infinite Reynolds numbers.",-0.22611496,0.6649493,-0.004623403,C_centroid
3132,"F. K. Chow, P. Moin, A further study of numerical errors in large-eddy simulations, Journal
  of Computational Physics 184 (2003) 366–380.","G. Blaisdell, E. Spyropoulos, J. Qin, The eﬀect of the formulation of nonlinear terms on
  aliasing errors in spectral methods, Applied Numerical Mathematics 21 (1996) 207–219.","C. A. Kennedy, A. Gruber, Reduced aliasing formulations of the convective terms within
  the navier–stokes equations for a compressible ﬂuid, Journal of Computational Physics
  227 (2008) 1676–1700.",2022-03-11 08:58:16+00:00,Accurate conservative phase-field method for simulation of two-phase flows,physics.comp-ph,"['physics.comp-ph', 'physics.flu-dyn']",[arxiv.Result.Author('Suhas S. Jain')],"In this work, we propose a novel phase-field model for the simulation of
two-phase flows that is accurate, conservative, bounded, and robust. The
proposed model conserves the mass of each of the phases, and results in bounded
transport of the volume fraction. We present results from the canonical test
cases of a drop advection and a drop in a shear flow, showing significant
improvement in the accuracy over the commonly used conservative phase-field
method.
  Moreover, the proposed model imposes a lesser restrictive
Courant-Friedrichs-Lewy condition, and hence, is less expensive compared to
other conservative phase-field models. We also propose improvements on
computation of surface tension forces and show that the proposed improvement
significantly reduces the magnitude of spurious velocities at the interface.
  We also derive a consistent and conservative momentum transport equation for
the proposed phase-field model and show that the proposed model when coupled
with the consistent momentum transport equation results in discrete
conservation of kinetic energy, which is a sufficient condition for the
numerical stability of incompressible flows, in the absence of dissipative
mechanisms. To illustrate the robustness of the method in simulating
high-density ratio turbulent two-phase flows, we present the numerical
simulations of high-density ratio droplet-laden isotropic turbulence at finite
and infinite Reynolds numbers.",-0.22611496,0.6649493,-0.004623403,C
4110,"To further study the dynamics of the optimization process (training models), the MSE and
mean absolute error (MAE) as a function of epochs are given in Figure 7.","Conversely, the R2 values show less sensitivity to the structural changes in our proposed
neural networks, particularly in the CNN-LSTM network (see Figure 6c)).","The MAE is the
diﬀerence between the original and predicted values.",2022-03-30 22:06:14+00:00,Machine learning based data-driven discovery of nonlinear phase-field dynamics,physics.comp-ph,['physics.comp-ph'],"[arxiv.Result.Author('Elham Kiyani'), arxiv.Result.Author('Steven Silber'), arxiv.Result.Author('Mahdi Kooshkbaghi'), arxiv.Result.Author('Mikko Karttunen')]","One of the main questions regarding complex systems at large scales concerns
the effective interactions and driving forces that emerge from the detailed
microscopic properties. Coarse-grained models aim to describe complex systems
in terms of coarse-scale equations with a reduced number of degrees of freedom.
Recent developments in machine learning (ML) algorithms have significantly
empowered the discovery process of the governing equations directly from data.
However, it remains difficult to discover partial differential equations (PDEs)
with high-order derivatives. In this paper, we present new data-driven
architectures based on multi-layer perceptron (MLP), convolutional neural
network (CNN), and a combination of CNN and long short-term memory (CNN-LSTM)
structures for discovering the non-linear equations of motion for phase-field
models with non-conserved and conserved order parameters. The well-known
Allen--Cahn, Cahn--Hilliard, and the phase-field crystal (PFC) models were used
as the test cases. Two conceptually different types of implementations were
used: (a) guided by physical intuition (such as local dependence of the
derivatives) and (b) in the absence of any physical assumptions (black-box
model). We show that not only can we effectively learn the time derivatives of
the field in both scenarios, but we can also use the data-driven PDEs to
propagate the field in time and achieve results in good agreement with the
original PDEs.",-0.2733652,-0.13653785,-0.21643153,A
5380,"This work stimulates to exploit this open-source optimization framework by further research and in industrial
applications, such as in drinking water treatment and water disposal.","Therefore, it is all the more important that
   surrogate-based modeling bridges the gap between the scales for application of high ﬁdelity ion transport models
   in superstructure optimization of membrane processes.","Additional surrogate models may include other
membrane-based platforms.",2022-04-27 07:17:22+00:00,Multi-scale membrane process optimization with high-fidelity ion transport models through machine learning,physics.comp-ph,['physics.comp-ph'],"[arxiv.Result.Author('Deniz Rall'), arxiv.Result.Author('Artur M. Schweidtmann'), arxiv.Result.Author('Maximilian Krusea'), arxiv.Result.Author('Elizaveta Evdochenko'), arxiv.Result.Author('Alexander Mitsos'), arxiv.Result.Author('Matthias Wessling')]","Innovative membrane technologies optimally integrated into large separation
process plants are essential for economical water treatment and disposal.
However, the mass transport through membranes is commonly described by
nonlinear differential-algebraic mechanistic models at the nano-scale, while
the process and its economics range up to large-scale. Thus, the optimal design
of membranes in process plants requires decision making across multiple scales,
which is not tractable using standard tools. In this work, we embed artificial
neural networks~(ANNs) as surrogate models in the deterministic global
optimization to bridge the gap of scales. This methodology allows for
deterministic global optimization of membrane processes with accurate transport
models -- avoiding the utilization of inaccurate approximations through
heuristics or short-cut models. The ANNs are trained based on data generated by
a one-dimensional extended Nernst-Planck ion transport model and extended to a
more accurate two-dimensional distribution of the membrane module, that
captures the filtration-related decreasing retention of salt. We simultaneously
design the membrane and plant layout yielding optimal membrane module synthesis
properties along with the optimal plant design for multiple objectives, feed
concentrations, filtration stages, and salt mixtures. The developed process
models and the optimization solver are available open-source, enabling
computational resource-efficient multi-scale optimization in membrane science.",-0.13396007,-0.23807576,0.22843294,A
