Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
14,"We count on the present theoretical work to stimulate the discussion within the community and address further research and
proof of concept towards the improvement of numerical design tools and the development of future generations of wind turbines.","A constant yield on a larger range of wind speeds and low startup velocity would appear to be other significant characteristics
of this model turbine.","13
Acknowledgements

I am grateful to the D.I.M.E., the Department of Mechanical and Energy Engineering of the University of Genoa, Italy, for the
stimulating discussions and the preliminary CFD simulation provided by Prof. Pietro Zunino and his collaborators.",2022-01-01 12:43:38+00:00,The complementary Betz Theory,physics.flu-dyn,['physics.flu-dyn'],[arxiv.Result.Author('Adriano Pellegri')],"A classical derivation of Betz's law is first presented along with some
insights. The extended Betz's theory is deduced for a rotor with axis
orthogonal to the direction of an ideal fluid in uniform motion. The conceptual
design used to demonstrate the generality of the aerodynamic aspects of energy
conversion - starting from a suggestive approach to the classical theory and a
geometric explanation of Betz's law - is defined by imposing compliance with
the minimum requirements that a turbine must have to approximate the ideal
efficiency of 16/27. The discovery of the role of the Betz's angles has
permitted demonstrating the theory in a more general context, extending it from
a flat, two-dimensional, representation to a deeper, three-dimensional,
understanding of the problem. The ensuing result, in particular the possibility
of obtaining constant yield and maximum efficiency through a finite topology of
the actuator cylinder, implies in principle feasibility with a real turbine
with axis perpendicular to the wind direction.",0.18752486,0.3020463,-0.10632856,B
21,"Hence it is vital to do further research
on what internal fluid levels to be maintained.","Moreover, at lower internal water levels and also at very high internal water levels the device would
exhibit a lower performance than its parent case excluding water.","6 Conclusion
The study was done on a recently introduced wave energy device which is shortly called the Hull
Reservoir Wave Energy Converter and its performance was analyzed using CFD tools which provide
numerous benefits where analysis under fluid motion is considered.",2022-01-02 08:55:59+00:00,Computational fluid dynamic simulation of hull reservoir wave energy device,physics.flu-dyn,['physics.flu-dyn'],"[arxiv.Result.Author('V A U De Alwis'), arxiv.Result.Author('A P K De Silva'), arxiv.Result.Author('S D G S P Gunawardane'), arxiv.Result.Author('Young-Ho Lee')]","This paper presents a Computational Fluid Dynamics (CFD) analysis of a wave
energy device called the Hull Reservoir Wave Energy Converter (HRWEC). The
device consists of a floating hull and a flap connected to the shaft of power
take-off system (PTO), which is integral to the hull structure. It is unique
due to its ability to convert wave energy by utilizing the pitch motion of the
hull and rotating flap due to the internal water movement in the hull. Due to
the complexity of the internal fluid dynamics, a CFD-based analysis was
considered most appropriate. The CFD investigation of the dynamics of the
device was done under regular wave conditions by using the ANSYS-AQWA and ANSYS
FLUENT. Relative pitch angle variation, the hydrodynamic coefficients, which
determine the degree of power extraction, were obtained from simulated results.
A simulation was designed exhibiting complete system dynamics for different
configurations varying on internal water height. Excellent convergence was
observed,and an optimum configuration was identified. It is expected to
validate the simulation results through experiments in the foreseeable future.",0.028330518,0.35024074,0.09426647,B
22,"Hence it is vital to do further research
on what internal fluid levels to be maintained.","Moreover, at lower internal water levels and also at very high internal water levels the device would
exhibit a lower performance than its parent case excluding water.","6 Conclusion
The study was done on a recently introduced wave energy device which is shortly called the Hull
Reservoir Wave Energy Converter and its performance was analyzed using CFD tools which provide
numerous benefits where analysis under fluid motion is considered.",2022-01-02 08:55:59+00:00,Computational fluid dynamic simulation of hull reservoir wave energy device,physics.flu-dyn,['physics.flu-dyn'],"[arxiv.Result.Author('V A U De Alwis'), arxiv.Result.Author('A P K De Silva'), arxiv.Result.Author('S D G S P Gunawardane'), arxiv.Result.Author('Young-Ho Lee')]","This paper presents a Computational Fluid Dynamics (CFD) analysis of a wave
energy device called the Hull Reservoir Wave Energy Converter (HRWEC). The
device consists of a floating hull and a flap connected to the shaft of power
take-off system (PTO), which is integral to the hull structure. It is unique
due to its ability to convert wave energy by utilizing the pitch motion of the
hull and rotating flap due to the internal water movement in the hull. Due to
the complexity of the internal fluid dynamics, a CFD-based analysis was
considered most appropriate. The CFD investigation of the dynamics of the
device was done under regular wave conditions by using the ANSYS-AQWA and ANSYS
FLUENT. Relative pitch angle variation, the hydrodynamic coefficients, which
determine the degree of power extraction, were obtained from simulated results.
A simulation was designed exhibiting complete system dynamics for different
configurations varying on internal water height. Excellent convergence was
observed,and an optimum configuration was identified. It is expected to
validate the simulation results through experiments in the foreseeable future.",0.028330518,0.35024074,0.09426647,B
35,"Pre-
                                                 of earth-abundant elements, making them promising candi-            viously, experiments on laser-perforated carbon papers showed
                                                 dates for competitive energy storage technology.4–7 Yet, to         that higher current can be extracted when removing some of
                                                 completely fulﬁll their promise, RFBs need further research to      the material.","They         These results suggested that a bimodal pore size distribution of
                                                 can have an extremely long life-time, and can be made from          the cloth microstructure was responsible of the superior perfor-
                                                 chemicals that are non-toxic, non-ﬂammable and composed             mance of the cloth electrodes compared to the paper ones.","It was hypothesized that the larger pores would
                                                 improve their performance, e.g.",2022-01-02 21:57:51+00:00,Less can be more: Insights on the role of electrode microstructure in redox flow batteries from 2D direct numerical simulations,physics.flu-dyn,"['physics.flu-dyn', 'cs.NA', 'math.NA']","[arxiv.Result.Author('Simone Dussi'), arxiv.Result.Author('Chris H. Rycroft')]","Understanding how to structure a porous electrode to facilitate fluid, mass,
and charge transport is key to enhance the performance of electrochemical
devices such as fuel cells, electrolyzers, and redox flow batteries (RFBs).
Using a parallel computational framework, direct numerical simulations are
carried out on idealized porous electrode microstructures for RFBs. Strategies
to improve electrode design starting from a regular lattice are explored. We
observe that by introducing vacancies in the ordered arrangement, it is
possible to achieve higher voltage efficiency at a given current density,
thanks to improved mixing of reactive species, despite reducing the total
reactive surface. Careful engineering of the location of vacancies, resulting
in a density gradient, outperforms disordered configurations. Our simulation
framework is a new tool to explore transport phenomena in RFBs and our findings
suggest new ways to design performant electrodes.",-0.44315058,0.08480621,0.25646648,C
146,"(4) is that τ (whose non-zero trace is 2k) can never be com-
for further study are given in Section V.                          pletely aligned with S (whose trace is necessarily zero owing
                                                                   to the incompressibility of the ﬂow).",Conclusions and recommendations        Eq.,"Therefore, when formu-
                                                                   lating an “optimal eddy viscosity approach” (Section II A), it
                                                                   is more appropriate to use the more conventional approxima-
                                                                   tion given in Eq.",2022-01-05 17:00:24+00:00,Deep Structured Neural Networks for Turbulence Closure Modelling,physics.flu-dyn,['physics.flu-dyn'],"[arxiv.Result.Author('Ryley McConkey'), arxiv.Result.Author('Eugene Yee'), arxiv.Result.Author('Fue-Sang Lien')]","Despite well-known limitations of Reynolds-averaged Navier-Stokes (RANS)
simulations, this methodology remains the most widely used tool for predicting
many turbulent flows, due to computational efficiency. Machine learning is a
promising approach to improve the accuracy of RANS simulations. One major area
of improvement is using machine learning models to represent the complex
relationship between the mean flow field gradients and the Reynolds stress
tensor. In the present work, modifications to improve the stability of previous
optimal eddy viscosity approaches for RANS simulations are presented and
evaluated. The optimal eddy viscosity is reformulated with a non-negativity
constraint, which promotes numerical stability. We demonstrate that the new
formulation of the optimal eddy viscosity improves the conditioning of the RANS
equations for a periodic hills test case. To demonstrate the suitability of
this proportional/orthogonal tensor decomposition for use in a physics-informed
data-driven turbulence closure, we use two neural networks (structured on this
specific tensor decomposition which is incorporated as an inductive bias into
the network design) to predict the newly reformulated linear and non-linear
parts of the Reynolds stress tensor. Injecting these network model predictions
for the Reynolds stresses into a RANS simulation improves predictions of the
velocity field, even when compared to a sophisticated (state of the art)
physics-based turbulence closure model. Finally, we apply SHAP (SHapley
Additive exPlanations) values to obtain insights from the learned
representation for the inner workings of the neural network used to predict the
optimal eddy viscosity from the input feature data.",0.16210061,0.069163084,-0.09595792,B
260,"These studies provide
an overview of the state of the art of spray combustion simulations of gas
turbine model combustors, however the underlying behavior of the droplet
evaporation models requires further studying.","[3], using large-eddy simulation
(LES) to asses the droplet temperature predictions.","The objectives of the present work are i) to clarify the deﬁnition of evapo-
ration models from ﬁrst principles using a ﬁlm theory approach, ii) to provide
further understanding on the behavior of the evaporation models under re-
alistic ﬂame-like conditions, iii) to quantify the error made by the models
and the relative importance of speciﬁc models, and ﬁnally iv) to study the
behavior of fuels characterized by diﬀerent volatility.",2022-01-08 12:34:41+00:00,Evaporation of volatile droplets subjected to flame-like conditions,physics.flu-dyn,['physics.flu-dyn'],"[arxiv.Result.Author('Ambrus Both'), arxiv.Result.Author('Daniel Mira'), arxiv.Result.Author('Oriol Lehmkuhl')]","This work assesses Lagrangian droplet evaporation models frequently used in
spray combustion simulations, with the purpose of identifying the influence of
modeling decisions on the single droplet behavior. The evaluated modeling
strategies include a simple method to incorporate Stefan flow effects in the
heat transfer (Bird's correction), a method to consider the interaction of
Stefan flow with the heat and mass transfer films (Aramzon-Sirignano model),
and a method to incorporate non-equilibrium thermodynamics (Langmuir-Knudsen
model). The importance of each phenomena is quantified analytically and
numerically under various conditions. The Langmuir-Knudsen model is deemed
inadequate for high temperature evaporation, while the Aramzon-Sirignano model
is identified as the most relevant for numerical studies of spray combustion
systems.",-0.15458071,0.30132085,-0.02301786,C
261,"These studies provide an overview of the state of
the art of spray combustion simulations of gas turbine model combustors,
however the underlying behavior of the droplet evaporation models requires
further studying.","[3], using large-eddy simulation (LES) to asses the droplet
temperature predictions.","The objectives of the present work are i) to clarify the deﬁnition of evapo-
ration models from ﬁrst principles using a ﬁlm theory approach, ii) to provide
further understanding on the behavior of the evaporation models under re-
alistic ﬂame-like conditions, iii) to quantify the error made by the models
and the relative importance of speciﬁc models, and ﬁnally iv) to study the

                                                2
behavior of fuels characterized by diﬀerent volatility.",2022-01-08 12:34:41+00:00,Evaporation of volatile droplets subjected to flame-like conditions,physics.flu-dyn,['physics.flu-dyn'],"[arxiv.Result.Author('Ambrus Both'), arxiv.Result.Author('Daniel Mira'), arxiv.Result.Author('Oriol Lehmkuhl')]","This work assesses Lagrangian droplet evaporation models frequently used in
spray combustion simulations, with the purpose of identifying the influence of
modeling decisions on the single droplet behavior. Besides more simplistic
models, the evaluated strategies include a simple method to incorporate Stefan
flow effects in the heat transfer (Bird's correction), a method to consider the
interaction of Stefan flow with the heat and mass transfer films
(Abramzon-Sirignano model), and a method to incorporate non-equilibrium
thermodynamics (Langmuir-Knudsen model). The importance of each phenomena is
quantified analytically and numerically under various conditions. Evaporation
models ignoring Stefan flow are found to be invalid under the studied
conditions. The Langmuir-Knudsen model is also deemed inadequate for high
temperature evaporation, while Bird's correction and the Abramzon-Sirignano
model are identified as the most relevant for numerical studies of spray
combustion systems. Latter is the most elaborate model studied here, as it
considers Reynolds number effects beyond the empirical correlation of Ranz and
Marshall derived for low-transfer rates. Thus, the Abramzon-Sirignano model is
identified as the state of the art alternative in the scope of this study.",-0.15738165,0.29684716,-0.015612306,C_centroid
273,"The ﬁndings in this study suggests that conductance models calibrated to match the
overall permeability will reasonably capture the local pressure and ﬂow ﬁeld, as is the case for the PNM
based on the MDT, but further research is required to support this statement.","Nevertheless, the
choice of this conductance model is quite arbitrary, and this remains an unresolved feature of modelling
pore networks.","An alternate approach
is to use machine learning techniques to obtain a conductance model without shape simpliﬁcations, as
suggested by Miao et al.",2022-01-09 04:47:51+00:00,Ability of a pore network model to predict fluid flow and drag in saturated granular materials,physics.flu-dyn,"['physics.flu-dyn', 'cond-mat.soft']","[arxiv.Result.Author('Adnan Sufian'), arxiv.Result.Author('Chris Knight'), arxiv.Result.Author(""Catherine O'Sullivan""), arxiv.Result.Author('Berend van Wachem'), arxiv.Result.Author('Daniele Dini')]","The local flow field and seepage induced drag obtained from Pore Network
Models (PNM) is compared to Immersed Boundary Method (IBM) simulations, for a
range of linear graded and bimodal samples. PNM were generated using a weighted
Delaunay Tessellation (DT), along with the Modified Delaunay Tessellation (MDT)
which considers the merging of tetrahedral Delaunay cells. The local pressure
field was very accurately captured in all linear graded and bimodal samples.
Local flux (flow rate) exhibited more scatter, but the PNM based on the MDT
clearly provided a better correlation with the IBM. There was close similarity
in the network shortest paths obtained from PNM and IBM, indicating that the
PNM captures dominant flow channels. Further, by overlaying the PNM on a
streamline profile, it was demonstrated that local pressure drops coincided
with the pore constrictions. A rigorous validation was undertaken for the drag
force calculated from the PNM by comparing with analytical solutions for
ordered array of spheres. This method was subsequently applied to all linear
graded and bimodal samples, and the calculated force was compared with the IBM
data. Linear graded samples were able to calculate the force with reasonable
accuracy, while the bimodal sample exhibited slightly more scatter.",-0.30139178,0.34363514,0.18875784,C
274,"(2012) which is capable of capturing the ﬂuid-particle interaction force, but
further research is required to improve the accuracy of the method (particularly in bimodal or gap-graded
particle assemblies) by further investigating discretisation methods, local conductance models and the
underlying assumptions and simpliﬁcations in the force computation.","Therefore, this study provides strong support for the method
developed in Chareyre et al.","Acknowledgements

AS was funded by EPSRC grant EP/P010393/1.",2022-01-09 04:47:51+00:00,Ability of a pore network model to predict fluid flow and drag in saturated granular materials,physics.flu-dyn,"['physics.flu-dyn', 'cond-mat.soft']","[arxiv.Result.Author('Adnan Sufian'), arxiv.Result.Author('Chris Knight'), arxiv.Result.Author(""Catherine O'Sullivan""), arxiv.Result.Author('Berend van Wachem'), arxiv.Result.Author('Daniele Dini')]","The local flow field and seepage induced drag obtained from Pore Network
Models (PNM) is compared to Immersed Boundary Method (IBM) simulations, for a
range of linear graded and bimodal samples. PNM were generated using a weighted
Delaunay Tessellation (DT), along with the Modified Delaunay Tessellation (MDT)
which considers the merging of tetrahedral Delaunay cells. The local pressure
field was very accurately captured in all linear graded and bimodal samples.
Local flux (flow rate) exhibited more scatter, but the PNM based on the MDT
clearly provided a better correlation with the IBM. There was close similarity
in the network shortest paths obtained from PNM and IBM, indicating that the
PNM captures dominant flow channels. Further, by overlaying the PNM on a
streamline profile, it was demonstrated that local pressure drops coincided
with the pore constrictions. A rigorous validation was undertaken for the drag
force calculated from the PNM by comparing with analytical solutions for
ordered array of spheres. This method was subsequently applied to all linear
graded and bimodal samples, and the calculated force was compared with the IBM
data. Linear graded samples were able to calculate the force with reasonable
accuracy, while the bimodal sample exhibited slightly more scatter.",-0.29905176,0.14243305,0.119627595,C
448,"In a further study, Gong and Cheng (2013) employed a second distribution function
to simulate a temperature passive-scalar equation along the aforementioned interparticle force to study nucleation on
a microheater under constant wall temperature and constant heat ﬂux conditions.","(2009) looking to improve
thermodynamical consistency.","Bubble growth and other aspects
such as the eﬀects of contact angle, superheat, and gravity were investigated.",2022-01-05 21:33:59+00:00,Pseudopotential Lattice Boltzmann Method for boiling heat transfer: a mesh refinement procedure,physics.flu-dyn,"['physics.flu-dyn', 'cs.CE', 'physics.comp-ph', '76T10, 80A19']","[arxiv.Result.Author('Alfredo Jaramillo'), arxiv.Result.Author('Vinícius Pessoa Mapelli'), arxiv.Result.Author('Luben Cabezas-Gómez')]","Boiling is a complex phenomenon where different non-linear physical
interactions take place and for which the quantitative modeling of the
mechanism involved is not fully developed yet. In the last years, many works
have been published focusing on the numerical analysis of this problem.
However, a lack of numerical works assessing quantitatively the sensitivity of
these numerical simulations to grid parameters can be identified, especially
for the Lattice Boltzmann method (LBM). The main goal of this work is to
propose a mesh refinement methodology for simulating phase-change heat transfer
problems by means of the pseudopotential LBM. This methodology was based on
relating the physical parameters to their lattice counterparts for an arbitrary
mesh under the viscous regime (where $\Delta t \propto \Delta x ^2$). A
suitable modification of the EOS parameters and the adjusting of thermodynamic
consistency and surface tension for a certain $\Delta x$ were the main steps of
the proposed methodology. A first ensemble of simple simulations including the
droplet vaporization and the Stefan problems was performed to validate the
proposed method and to assess the influence of some physical mechanisms. Global
norms in space and time were used to evaluate the variations of both the
density and temperature fields for pool boiling simulations when the lattice
discretization is refined. It was observed that the proposed methodology
provides convergent results for all the problems considered, and the
convergence orders depend on the complexity of the simulated phenomena.",-0.33290422,-0.03498023,0.044502053,C
