Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
373,"However, subsequent failures to reproduce the effect heightened scepticism
         of this claim in the academic community, and effectively led to the disqualification of the

                                                                  19
         subject from further study.","This is how the authors of the Nature piece present their work:

         The 1989 claim of ‘cold fusion’ was publicly heralded as the future of clean energy
         generation.","Motivated by the possibility that such judgement might have
         been premature, we embarked on a multi-institution programme to re-evaluate cold
         fusion to a high standard of scientific rigour.",2022-01-11 04:37:12+00:00,Risk and Scientific Reputation: Lessons from Cold Fusion,physics.hist-ph,['physics.hist-ph'],[arxiv.Result.Author('Huw Price')],"Many scientists have expressed concerns about potential catastrophic risks
associated with new technologies. But expressing concern is one thing,
identifying serious candidates another. Such risks are likely to be novel,
rare, and difficult to study; data will be scarce, making speculation
necessary. Scientists who raise such concerns may face disapproval not only as
doomsayers, but also for their unconventional views. Yet the costs of false
negatives in these cases -- of wrongly dismissing warnings about catastrophic
risks -- are by definition very high. For these reasons, aspects of the
methodology and culture of science, such as its attitude to epistemic risk and
to unconventional views, are relevant to the challenges of managing extreme
technological risks. In this piece I discuss these issues with reference to a
real-world example that shares many of the same features, that of so-called
'cold fusion'.",-0.33406645,0.73759055,0.032382432,B_centroid
374,"However, subsequent failures to reproduce the effect heightened scepticism
         of this claim in the academic community, and effectively led to the disqualification of the
         subject from further study.","This is how the authors of the Nature piece present their work:

         The 1989 claim of ‘cold fusion’ was publicly heralded as the future of clean energy
         generation.","Motivated by the possibility that such judgement might have
         been premature, we embarked on a multi-institution programme to re-evaluate cold
         fusion to a high standard of scientific rigour.",2022-01-11 04:37:12+00:00,Risk and Scientific Reputation: Lessons from Cold Fusion,physics.hist-ph,['physics.hist-ph'],[arxiv.Result.Author('Huw Price')],"Many scientists have expressed concerns about potential catastrophic risks
associated with new technologies. But expressing concern is one thing,
identifying serious candidates another. Such risks are likely to be novel,
rare, and difficult to study; data will be scarce, making speculation
necessary. Scientists who raise such concerns may face disapproval not only as
doomsayers, but also for their unconventional views. Yet the costs of false
negatives in these cases -- of wrongly dismissing warnings about catastrophic
risks -- are by definition very high. For these reasons, aspects of the
methodology and culture of science, such as its attitude to epistemic risk and
to unconventional views, are relevant to the challenges of managing extreme
technological risks. In this piece I discuss these issues with reference to a
real-world example that shares many of the same features, that of so-called
'cold fusion'.",-0.3338461,0.7378744,0.02791344,B
3725,"In the meeting, Symanzik ended his talk on negative λφ4 theories by the
remark that further study on the β functions for non-Abelian gauge theories
were called for.","“If this is
true, it will be very important, and you should publish this result quickly,
and if you won’t, somebody else will,” he said.","When it was time for questions I came forward to write down
on the blackboard the expression I had derived (with a negative coeﬃcient)
[...].",2022-03-22 20:37:46+00:00,"Historical curiosity: how asymptotic freedom of the Yang-Mills theory could have been discovered three times before Gross, Wilczek, and Politzer, but was not",physics.hist-ph,['physics.hist-ph'],[arxiv.Result.Author('M. Shifman')],"This article was published in {\bf 2001} in Festschrift ""At the Frontier of
Particle Physics; Handbook of QCD"", Ed. M. Shifman, (World Scientific,
Singapore, 2001), Vol. 1, page 126. Asymptotic freedom as the basic property of
QCD was discovered by Gross, Wilczek, and Politzer in 1973. Personal
recollections of David Gross which are being published in this Volume vividly
describe the historical background and the chain of events which led to this
fundamental breakthrough. Unfortunately, I failed to obtain Politzer's side of
the story. Some details can be found in an interview which Prof. Politzer gave
to R. Crease and C. Mann on February 21, 1985 \cite{DP}. Below I acquaint the
reader with the pre-1973 appearances of asymptotic freedom which,
unfortunately, went unnoticed",-0.15138736,-0.23160917,-0.36333704,A
5597,"There are detailed studies of illumination effects in many churches and cathedrals around the
globe (for example Heilbron 1999, 93, in the context of meridiane, and the aforementioned
work by Vilas-Estévez and González-García 2016), yet only scattered comments about the
same survive in the case of the churches in Chiquitos; an issue that undoubtedly necessitates
further research.","Decorative functions aside, these
openings were undoubtedly designed to make the most of the entry of sunlight during
religious services.","Conclusion

In this study, we measured and analysed the orientations of the whole group of surviving
Jesuit churches in the Chiquitos missions of eastern Bolivia.",2022-05-01 13:58:00+00:00,The orientation of Jesuit churches in the Chiquitos missions of eastern Bolivia,physics.hist-ph,"['physics.hist-ph', 'astro-ph.IM']",[arxiv.Result.Author('Alejandro Gangui')],"The Jesuit missions in South America were an important and unique advance in
Christian evangelisation on the continent until the expulsion of the Order in
1767. Although the history and cultural aspects of these missions and their
most iconic buildings have been extensively studied, the archaeoastronomy of
the Guaran\'i peoples of the Province of Paraquaria (Province of Paraguay) has
only been recently considered, with the existing studies focusing primarily on
the orientation of their churches. The paper presented here, which is the first
archaeoastronomical study of the Jesuit missions of Chiquitos in eastern
Bolivia, is an attempt to continue and complement the previous
archaeoastronomical studies of the region. The methodologies employed involved
the analysis of the Jesuit churches that currently exist in this region,
namely, the on-site measurements of the orientations of eight churches
currently standing and the ruins of a ninth church of which only a
free-standing bell tower and parts of the side walls remain preserved. The
orientation measurements of a tenth church, which we were unable to visit, were
determined via the use of satellite maps. The landscape surrounding these
churches was then examined in detail and furthermore, a detailed cultural and
historical study of the characteristics of the villages where the churches are
located was carried out. Our results show that, unlike the churches of the
Province of Paraquaria where meridian orientations in the north-south direction
stand out, half of the studied churches have shown potential canonical
orientations that seem to be aligned to solar phenomena, with three exhibiting
precise equinoctial orientation. We propose reasons for these orientations,
including the possible relevance of illumination effects on significant
internal elements within the churches - effects that were generally sought in
Baroque church architecture.",0.82049745,0.18842989,-0.2956611,C_centroid
5598,"Thus is another important element worthy of further research, since natural
illumination could explain the orientation of some individual constructions of the Jesuit Order
in the region.","We have also briefly commented in this paper on the possible relevance of natural
illumination effects on certain internal church structures and elements, highly sought after in
Baroque architecture, that could have influenced the orientation preferences of the builders of
these churches.","Finally, based on the analysis of the data presented above, it could be concluded that the
orientation of the Jesuit churches of Chiquitos (and of the missions themselves) most likely
does not follow a well-defined prescription or pattern, since it appears to us that the churches
had to be adapted to each individual site and landscape, which posed a number of challenges.",2022-05-01 13:58:00+00:00,The orientation of Jesuit churches in the Chiquitos missions of eastern Bolivia,physics.hist-ph,"['physics.hist-ph', 'astro-ph.IM']",[arxiv.Result.Author('Alejandro Gangui')],"The Jesuit missions in South America were an important and unique advance in
Christian evangelisation on the continent until the expulsion of the Order in
1767. Although the history and cultural aspects of these missions and their
most iconic buildings have been extensively studied, the archaeoastronomy of
the Guaran\'i peoples of the Province of Paraquaria (Province of Paraguay) has
only been recently considered, with the existing studies focusing primarily on
the orientation of their churches. The paper presented here, which is the first
archaeoastronomical study of the Jesuit missions of Chiquitos in eastern
Bolivia, is an attempt to continue and complement the previous
archaeoastronomical studies of the region. The methodologies employed involved
the analysis of the Jesuit churches that currently exist in this region,
namely, the on-site measurements of the orientations of eight churches
currently standing and the ruins of a ninth church of which only a
free-standing bell tower and parts of the side walls remain preserved. The
orientation measurements of a tenth church, which we were unable to visit, were
determined via the use of satellite maps. The landscape surrounding these
churches was then examined in detail and furthermore, a detailed cultural and
historical study of the characteristics of the villages where the churches are
located was carried out. Our results show that, unlike the churches of the
Province of Paraquaria where meridian orientations in the north-south direction
stand out, half of the studied churches have shown potential canonical
orientations that seem to be aligned to solar phenomena, with three exhibiting
precise equinoctial orientation. We propose reasons for these orientations,
including the possible relevance of illumination effects on significant
internal elements within the churches - effects that were generally sought in
Baroque church architecture.",0.81588036,0.11359426,-0.20744583,C
6022,"The extent to which
physicists who specialize in the ﬂuid/gravity duality are a group of high-level interactional experts,
or whether they have formed a new inter-language trading zone, is very interesting and warrants
further study.","That it is self-contained and speciﬁc, and more connected to the experimental veriﬁcation of other
ﬁelds than to quantum gravity, makes it less connected to its stringy roots.","3.2 Into left ﬁeld: Holographic Superconductors and traversing the dis-
       ciplinary divide

After their success with the QGP, Kovtun and Son went on to look for other applications of the
gauge/gravity duality.",2022-05-10 20:46:04+00:00,"Holography, Application, and String Theory's Changing Nature",physics.hist-ph,"['physics.hist-ph', 'gr-qc', 'hep-th']",[arxiv.Result.Author('Lauren Greenspan')],"Based on string theory's framework, the gauge/gravity duality, also known as
holography, has the ability to solve practical problems in low energy physical
systems like metals and fluids. Holographic applications open a path for
conversation and collaboration between the theory-driven, high energy culture
of string theory and fields like nuclear and condensed matter physics, which in
contrast place great emphasis on the empirical evidence that experiment
provides. This paper takes a look at holography's history, from its roots in
string theory to its present-day applications that are challenging the cultural
identity of the field. I will focus on two of these applications: holographic
QCD and holographic superconductivity, highlighting some of the (often
incompatible) historical influences, motives, and epistemic values at play, as
well as the subcultural shifts that help the collaborations work. The extent to
which holographic research -- arguably string theory's most successful and
prolific area -- must change its subcultural identity in order to function in
fields outside of string theory reflects its changing nature and the field's
uncertain future. Does string theory lose its identity in the low-energy
applications that holography provides? Does holography still belong under
string theory's umbrella, or is it destined to form new subcultures with each
of its fields of application? I find that the answers to these questions are
dynamic, interconnected, and highly dependent on string theory's relationship
with its field of application. In some cases, holography can maintain the goals
and values it inherited from string theory. In others, it instead adopts the
goals and values of the field in which it is applied. These examples highlight
a need for the STS community to expand its treatment of string theory beyond
its relationship with empiricism and role as a theory of quantum gravity.",-0.25371638,-0.19038433,-0.15780908,A
6229,"Such widespread acceptance coupled with a modern familiarity has probably occluded

                                                                    24

further study of planetary characteristics.","Indeed, Riley notes that similarities in the mythic characteristics ascribed to planets and
signs in Valens are also accepted by Ptolemy, suggesting their ubiquity (Riley 1988, p. 68).","Yet it has been established that alongside the
basic characterisations, Babylonian, Egyptian, and Greek sources give a varying series of
associations and characteristics for the planets.",2022-05-16 12:21:58+00:00,The logic of planetary combination in Vettius Valens,physics.hist-ph,"['physics.hist-ph', 'math.HO']","[arxiv.Result.Author('Claire Hall'), arxiv.Result.Author('Liam P. Shaw')]","The Anthologies of the second-century astrologer Vettius Valens (120-c.175
CE) is the most extensive surviving practical astrological text from the
period. Despite this, the theoretical underpinnings of the Anthologies have
been understudied; in general, the work has been overshadowed by Ptolemy's
contemporaneous Tetrabiblos. While the Tetrabiblos explicitly aims to present a
systematic account of astrology, Valens' work is often characterised as a
miscellaneous collection, of interest to historians only for the evidence it
preserves about the practical methods used in casting horoscopes. In this
article, we argue that the Anthologies is also an invaluable resource for
engagement with the conceptual basis of astrology. As a case study, we take a
section of Anthologies Book 1 which lists the possible astrological effects of
planets, both alone and in 'combinations' of two and three. We demonstrate that
analysing Valens' descriptions quantitatively with textual analysis reveals a
consistent internal logic of planetary combination. By classifying descriptive
terms as positive or negative, we show that the resulting 'sentiment' of
planetary combinations is well-correlated with their component parts.
Furthermore, we find that the sentiment of three-planet combinations is more
strongly correlated with the average sentiment of their three possible
component pairs than with the average sentiment of individual planets,
suggesting an iterative combinatorial logic. Recognition of this feature of
astrological practice has been neglected compared to the mathematical methods
for calculating horoscopes. We argue that this analysis not only provides
evidence that the astrological lore detailed in Valens is more consistent than
is often assumed, but is also indicative of a wider methodological technique in
practical astrology: combinatorial reasoning from existing astrological lore.",0.2092125,-0.11071699,0.45848763,A
6522,"These
include things like accuracy, consistency, scope, simplicity and fruitfulness for further research.","In his later work, Kuhn allowed for certain standards to be widely accepted across paradigms.","But

2 Non-locality is the idea that information can instantaneously propagate from one point in space to another.",2022-05-21 10:09:20+00:00,Are Physical Theories Incommensurable?,physics.hist-ph,['physics.hist-ph'],[arxiv.Result.Author('Kharanshu Solanki')],"This paper examines the incommensurability thesis - one of the most important
and controversial ideas to emerge from the simultaneous work of Kuhn and
Feyerabend. In the first half, I discuss three aspects of incommensurability -
methodological incommensurability (the view that each paradigm supplies
different standards of evaluation), observational incommensurability (the view
that the theories we accept alter how we see the world), and finally, semantic
incommensurability (which claims that as paradigms change, the very meanings of
central theoretical terms also change). In the latter half, I tackle the
general arguments of physicists against incommensurability by primarily
considering the so called unifying cube of physics. I show that the cube of
physics does not get rid of incommensurability, but rather favours it.",-0.22375295,-0.26282156,-0.02438487,A
6605,"The further study of
trans-Planckian censorship would simply not be pursued, separate from those
technical details.","Whereas the TCC might happen
to live on (or not) as a particular swampland conjecture within string theory,
its status therein would thereby ever remain an artifact of the technical details
of that particular candidate quantum gravity approach.","There are, I believe, two responses to this suggestion.",2022-05-23 20:53:10+00:00,Trans-Planckian Philosophy of Cosmology,physics.hist-ph,"['physics.hist-ph', 'gr-qc']",[arxiv.Result.Author('Mike D. Schneider')],"I provide some philosophical groundwork for the recently proposed
'trans-Planckian censorship' conjecture in theoretical physics. In particular,
I argue that structure formation in early universe cosmology is, at least as we
typically understand it, autonomous with regards to quantum gravity, the high
energy physics that governs the Planck regime in our universe. Trans-Planckian
censorship is then seen as a means of rendering this autonomy an empirical
constraint within ongoing quantum gravity research.",-0.35094923,-0.28342822,-0.30301577,A
10517,"17, put it as follows (p.176 and further):

          As a directive aid to further research [...] lead to the following picture of the
       probable structural relations in the stellar system: The galactic system is a vast
       organization resembling Messier 33, although probably larger [...] It includes

                                                                   51
Fig.","In an important paper from 1928 mostly coming out of his involvement in
the Mount Wilson(-Groningen) Catalogue as part of the Plan of Selected Areas, Frederick
Seares [105], see Fig.","17 Frederick Seares at the
time of his involvement with
the Plan of Selected Areas com-
menced.",2022-08-29 10:58:47+00:00,"Pieter Johannes van Rhijn, Kapteyn's Astronomical Laboratory and the Plan of Selected Areas",physics.hist-ph,"['physics.hist-ph', 'astro-ph.GA']",[arxiv.Result.Author('P. C. van der Kruit')],"In this contribution I discuss the Kapteyn Astronomical Laboratory during the
period of Pieter Johannes van Rhijn's directorate, which lasted from 1921 to
1957. It had developed under the founder Jacobus Cornelius Kapteyn into one of
the leading astronomical research institutes in the world. When van Rhijn took
over at the retirement of Kapteyn, it was in the process of coordinating
Kapteyn's Plan of Selected Areas. Van Rhijn's research was solid and
professional work, but in his papers he invariably stopped before discussing
how his findings did fit into the larger scheme of things. He maybe was
unimaginative but it did lack the link to the larger view towards the emerging
picture of the structure of the Galaxy. Van Rhijn was unfortunate to be
hampered throughout almost his complete directorate by factors, that severely
limited his attempts to obtain more funding in spite of local support by his
university. These were of course in the first place the Great Depression of the
1930s and the Second World War and its aftermath, while during most of the
1940s he suffered from tuberculosis. But also the remote location of Groningen
compared to Leiden, where a major infrastructure led by three important
protegees of Kapteyn was in place, and the governmental bias towards support
for Leiden over Groningen was an important factor. Finally I examine the
developments in the 1950s and the circumstances that made Adriaan Blaauw accept
his appointment as van Rhijn's successor in 1957 and initiate the beginnings of
the revival under his leadership.",0.10880021,-0.14968556,0.6591226,A
