Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
139,"The exchange-correlation (XC) functional in our KS-DFT simulations is the local den-
sity approximation (LDA) in the Perdew-Zunger parametrization.73 Recently, it was demon-
strated for θ = 1 that commonly used GGA functionals such as PBE ,74 PBEsol,75 AM0576
and the meta-GGA functional SCAN77 are not able to provide a superior description com-
pared to LDA in the case of the free electron gas perturbed by an external ﬁeld with ﬁxed
wave number q when ∆n/n0 < 1.78,79 We do not aim to further study this problem in this
work.","(1)-(4) are illustrated in Appendix
5.1.","Therefore, we do not consider other types of XC functionals beyond LDA.",2022-01-05 14:06:32+00:00,Density-Functional-Theory Perspective on the Non-Linear Response of Correlated Electrons Across Temperature Regimes,physics.plasm-ph,['physics.plasm-ph'],"[arxiv.Result.Author('Zhandos Moldabekov'), arxiv.Result.Author('Jan Vorberger'), arxiv.Result.Author('Tobias Dornheim')]","We explore a new formalism to study the nonlinear electronic density response
based on Kohn-Sham density functional theory (KS-DFT) at partially and strongly
quantum degenerate regimes. It is demonstrated that the KS-DFT calculations are
able to accurately reproduce the available path integral Monte Carlo simulation
results at temperatures relevant for warm dense matter research. The existing
analytical results for the quadratic and cubic response functions are
rigorously tested. It is demonstrated that the analytical results for the
quadratic response function closely agree with the KS-DFT data. Furthermore,
the performed analysis reveals that currently available analytical formulas for
the cubic response function are not able to describe simulation results,
neither qualitatively nor quantitatively, at small wave-numbers $q<2q_F$, with
$q_F$ being the Fermi wave-number. The results show that KS-DFT can be used to
describe warm dense matter that is strongly perturbed by an external field with
remarkable accuracy. Furthermore, it is demonstrated that KS-DFT constitutes a
valuable tool to guide the development of the non-linear response theory of
correlated quantum electrons from ambient to extreme conditions. This opens up
new avenues to study nonlinear effects in a gamut of different contexts at
conditions that cannot be accessed with previously used path integral Monte
Carlo methods [T. Dornheim et al., Phys. Rev. Lett. 125, 085001 (2020)].",-0.16887999,0.077433765,-0.11551047,C
145,"When utilised, the MIFEDS generates a mag-
merited further study was the ratio of the magnetic to turbu-      netic ﬁeld with a magnitude of ∼150 kG at the target foil and
lent kinetic energy-density, which was observed to be ﬁnite,       ∼80 kG at the target’s centre that is oriented approximately
but still quite small (εB/εK,turb ≈ 3-4%)31,32.","sembly is embedded inside a pulsed magnetic-ﬁeld generator
                                                                   (the ‘magneto-inertial fusion electrical discharge system’, or
   One ﬁnding of previous turbulent-dynamo experiments that        MIFEDS38,39).","This prompted      parallel to the axis which passes through the geometric centres
the question of whether the characteristic post-ampliﬁcation       of the foils and grids, and also along which both plasma jets
strength of magnetic ﬁelds in these turbulent laser-plasmas is     propagate (‘the line of centres’); Figure 1 shows a schematic
determined by the plasma’s turbulent kinetic energy alone, or      of the magnetic ﬁeld lines generated by the MIFEDS between
was in fact not fully saturated and thus might be expected to be   the two grids.",2022-01-05 16:52:56+00:00,Insensitivity of a turbulent laser-plasma dynamo to initial conditions,physics.plasm-ph,"['physics.plasm-ph', 'astro-ph.HE']","[arxiv.Result.Author('A. F. A. Bott'), arxiv.Result.Author('L. Chen'), arxiv.Result.Author('P. Tzeferacos'), arxiv.Result.Author('C. A. J. Palmer'), arxiv.Result.Author('A. R. Bell'), arxiv.Result.Author('R. Bingham'), arxiv.Result.Author('A. Birkel'), arxiv.Result.Author('D. H. Froula'), arxiv.Result.Author('J. Katz'), arxiv.Result.Author('M. W. Kunz'), arxiv.Result.Author('C. -K. Li'), arxiv.Result.Author('H-S. Park'), arxiv.Result.Author('R. Petrasso'), arxiv.Result.Author('J. S. Ross'), arxiv.Result.Author('B. Reville'), arxiv.Result.Author('D. Ryu'), arxiv.Result.Author('F. H. Séguin'), arxiv.Result.Author('T. G. White'), arxiv.Result.Author('A. A. Schekochihin'), arxiv.Result.Author('D. Q. Lamb'), arxiv.Result.Author('G. Gregori')]","It has recently been demonstrated experimentally that a turbulent plasma
created by the collision of two inhomogeneous, asymmetric, weakly magnetised
laser-produced plasma jets can generate strong stochastic magnetic fields via
the small-scale turbulent dynamo mechanism, provided the magnetic Reynolds
number of the plasma is sufficiently large. In this paper, we compare such a
plasma with one arising from two pre-magnetised plasma jets whose creation is
identical save for the addition of a strong external magnetic field imposed by
a pulsed magnetic field generator (`MIFEDS'). We investigate the differences
between the two turbulent systems using a Thomson-scattering diagnostic, X-ray
self-emission imaging and proton radiography. The Thomson-scattering spectra
and X-ray images suggest that the presence of the external magnetic field has a
limited effect on the plasma dynamics in the experiment. While the presence of
the external magnetic field induces collimation of the flows in the colliding
plasma jets and the initial strengths of the magnetic fields arising from the
interaction between the colliding jets are significantly larger as a result of
the external field, the energy and morphology of the stochastic magnetic fields
post-amplification are indistinguishable. We conclude that, for turbulent
laser-plasmas with super-critical magnetic Reynolds numbers, the
dynamo-amplified magnetic fields are determined by the turbulent dynamics
rather than the seed fields and modest changes in the initial flow dynamics of
the plasma, a finding consistent with theoretical expectations and simulations
of turbulent dynamos.",0.24858159,0.09926972,0.18626499,B
982,"ating in the experiments motivates estimating the correspond-
ing attainable particle energies from this mechanism in repre-           Our laser-powered capacitor coils offer a unique experi-
sentative low-β collisionless reconnecting plasmas through-           mental reconnection platform in magnetically driven low-β
out the Universe50 and comparing to maximum inferred elec-            plasmas to further study acceleration of electrons (and ions)
tron energies from observations.","Interestingly, this scaling of maximum energy has been
                                                                      also identiﬁed in large-scale simulations at low-β but in rela-
   The inference that direct electric ﬁeld acceleration is oper-      tivistic regimes61.","The result is shown in Table         in various reconnection regimes2,50 via direct detection of ac-
1, where we have assumed that our experimental implications           celerated particles.",2022-01-25 02:32:49+00:00,Direct measurement of non-thermal electron acceleration from magnetically driven reconnection in a laboratory plasma,physics.plasm-ph,"['physics.plasm-ph', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR', 'physics.space-ph']","[arxiv.Result.Author('Abraham Chien'), arxiv.Result.Author('Lan Gao'), arxiv.Result.Author('Shu Zhang'), arxiv.Result.Author('Hantao Ji'), arxiv.Result.Author('Eric G. Blackman'), arxiv.Result.Author('William Daughton'), arxiv.Result.Author('Adam Stanier'), arxiv.Result.Author('Ari Le'), arxiv.Result.Author('Fan Guo'), arxiv.Result.Author('Russ Follett'), arxiv.Result.Author('Hui Chen'), arxiv.Result.Author('Gennady Fiksel'), arxiv.Result.Author('Gabriel Bleotu'), arxiv.Result.Author('Robert C. Cauble'), arxiv.Result.Author('Sophia N. Chen'), arxiv.Result.Author('Alice Fazzini'), arxiv.Result.Author('Kirk Flippo'), arxiv.Result.Author('Omar French'), arxiv.Result.Author('Dustin H. Froula'), arxiv.Result.Author('Julien Fuchs'), arxiv.Result.Author('Shinsuke Fujioka'), arxiv.Result.Author('Kenneth Hill'), arxiv.Result.Author('Sallee Klein'), arxiv.Result.Author('Carolyn Kuranz'), arxiv.Result.Author('Philip Nilson'), arxiv.Result.Author('Alexander Rasmus'), arxiv.Result.Author('Ryunosuke Takizawa')]","Magnetic reconnection is a ubiquitous astrophysical process that rapidly
converts magnetic energy into some combination of plasma flow energy, thermal
energy, and non-thermal energetic particles, including energetic electrons.
Various reconnection acceleration mechanisms in different low-$\beta$
(plasma-to-magnetic pressure ratio) and collisionless environments have been
proposed theoretically and studied numerically, including first- and
second-order Fermi acceleration, betatron acceleration, parallel electric field
acceleration along magnetic fields, and direct acceleration by the reconnection
electric field. However, none of them have been heretofore confirmed
experimentally, as the direct observation of non-thermal particle acceleration
in laboratory experiments has been difficult due to short Debye lengths for
\textit{in-situ} measurements and short mean free paths for \textit{ex-situ}
measurements. Here we report the direct measurement of accelerated non-thermal
electrons from low-$\beta$ magnetically driven reconnection in experiments
using a laser-powered capacitor coil platform. We use kiloJoule lasers to drive
parallel currents to reconnect MegaGauss-level magnetic fields in a
quasi-axisymmetric geometry. The angular dependence of the measured electron
energy spectrum and the resulting accelerated energies, supported by
particle-in-cell simulations, indicate that the mechanism of direct electric
field acceleration by the out-of-plane reconnection electric field is at work.
Scaled energies using this mechanism show direct relevance to astrophysical
observations. Our results therefore validate one of the proposed acceleration
mechanisms by reconnection, and establish a new approach to study reconnection
particle acceleration with laboratory experiments in relevant regimes.",0.35579962,0.05734718,-0.13745277,B
1118,"We expect
that our 21 & 22-moment models might fail in this particular situation, even if evolution equations are retained, but
as discussed below, we were unfortunately not able to reach clear conclusion and further research is needed to clearly
establish the areas of validity.","It seems that in this extreme case it might be indeed possible (but not with certainty)
that the underlying distribution function can even become negative, fa < 0, which is of course unphysical.","The fa < 0 was criticized for example by Scudder (2021); Cranmer & Schiﬀ (2021) (and references therein), on an
example of 8-moment models in a quasi-static approximation.",2022-01-27 15:08:27+00:00,Generalized fluid models of the Braginskii-type,physics.plasm-ph,"['physics.plasm-ph', 'astro-ph.SR']","[arxiv.Result.Author('P. Hunana'), arxiv.Result.Author('T. Passot'), arxiv.Result.Author('E. Khomenko'), arxiv.Result.Author('D. Martinez-Gomez'), arxiv.Result.Author('M. Collados'), arxiv.Result.Author('A. Tenerani'), arxiv.Result.Author('G. P. Zank'), arxiv.Result.Author('Y. Maneva'), arxiv.Result.Author('M. L. Goldstein'), arxiv.Result.Author('G. M. Webb')]","Several generalizations of the well-known fluid model of Braginskii (Rev. of
Plasma Phys., 1965) are considered. We use the Landau collisional operator and
the moment method of Grad. We focus on the 21-moment model that is analogous to
the Braginskii model, and we also consider a 22-moment model. Both models are
formulated for general multi-species plasmas with arbitrary masses and
temperatures, where all the fluid moments are described by their evolution
equations. The 21-moment model contains two ""heat flux vectors"" (3rd and
5th-order moments) and two ""viscosity-tensors"" (2nd and 4th-order moments). The
Braginskii model is then obtained as a particular case of a one ion-electron
plasma with similar temperatures, with de-coupled heat fluxes and
viscosity-tensors expressed in a quasi-static approximation. We provide all the
numerical values of the Braginskii model in a fully analytic form (together
with the 4th and 5th-order moments). For multi-species plasmas, the model makes
calculation of transport coefficients straightforward. Formulation in fluid
moments (instead of Hermite moments) is also suitable for implementation into
existing numerical codes. It is emphasized that it is the quasi-static
approximation which makes some Braginskii coefficients divergent in a
weakly-collisional regime. Importantly, we show that the heat fluxes and
viscosity-tensors are coupled even linearly and that the fully contracted
(scalar) perturbations of the 4th-order moment, which are accounted for in the
22-moment model, modify the energy exchange rates. We also provide several
Appendices, which can be useful as a guide for deriving the Braginskii model
with the moment method of Grad.",-0.49205646,0.015273062,-0.42681837,C
1119,"We expect
that our 21 & 22-moment models might fail in this particular situation, even if evolution equations are retained, but
as discussed below, we were unfortunately not able to reach clear conclusion and further research is needed to clearly
establish the areas of validity.","It seems that in this extreme case it might be indeed possible (but not with certainty)
that the underlying distribution function can even become negative, fa < 0, which is of course unphysical.","The fa < 0 was criticized for example by Scudder (2021); Cranmer & Schiﬀ (2021) (and references therein), on an
example of 8-moment models in a quasi-static approximation.",2022-01-27 15:08:27+00:00,Generalized Fluid Models of the Braginskii Type,physics.plasm-ph,"['physics.plasm-ph', 'astro-ph.SR']","[arxiv.Result.Author('P. Hunana'), arxiv.Result.Author('T. Passot'), arxiv.Result.Author('E. Khomenko'), arxiv.Result.Author('D. Martinez-Gomez'), arxiv.Result.Author('M. Collados'), arxiv.Result.Author('A. Tenerani'), arxiv.Result.Author('G. P. Zank'), arxiv.Result.Author('Y. Maneva'), arxiv.Result.Author('M. L. Goldstein'), arxiv.Result.Author('G. M. Webb')]","Several generalizations of the well-known fluid model of Braginskii (Rev. of
Plasma Phys., 1965) are considered. We use the Landau collisional operator and
the moment method of Grad. We focus on the 21-moment model that is analogous to
the Braginskii model, and we also consider a 22-moment model. Both models are
formulated for general multi-species plasmas with arbitrary masses and
temperatures, where all the fluid moments are described by their evolution
equations. The 21-moment model contains two ""heat flux vectors"" (3rd and
5th-order moments) and two ""viscosity-tensors"" (2nd and 4th-order moments). The
Braginskii model is then obtained as a particular case of a one ion-electron
plasma with similar temperatures, with de-coupled heat fluxes and
viscosity-tensors expressed in a quasi-static approximation. We provide all the
numerical values of the Braginskii model in a fully analytic form (together
with the 4th and 5th-order moments). For multi-species plasmas, the model makes
calculation of transport coefficients straightforward. Formulation in fluid
moments (instead of Hermite moments) is also suitable for implementation into
existing numerical codes. It is emphasized that it is the quasi-static
approximation which makes some Braginskii coefficients divergent in a
weakly-collisional regime. Importantly, we show that the heat fluxes and
viscosity-tensors are coupled even in the linear approximation, and that the
fully contracted (scalar) perturbations of the 4th-order moment, which are
accounted for in the 22-moment model, modify the energy exchange rates. We also
provide several Appendices, which can be useful as a guide for deriving the
Braginskii model with the moment method of Grad.",-0.49205646,0.015273062,-0.42681837,C
1236,"To make a further study on the parameters of p-11B fusion devices, a
higher confinement enhancement factor H is assumed, not limited by the IPB98y2
energy scaling.","The constraint of thermal wall loading

     The minimum value of 𝑛""𝜏$ meeting the Lawson criterion of p-11B fusion with
𝑇""/𝑇W =2.5 is 2.3×10'J𝑚)*𝑠, which is still much higher than the current experiment
parameters.","The p-11B fusion reactor may be not limited by neutron irradiation, but thermal
loading due to the significantly high bremsstrahlung radiation power at the ion
temperature of 300-500keV would restrict the regime of ion density.",2022-01-30 13:50:37+00:00,A study of the requirements of p-11B fusion reactor by tokamak system code,physics.plasm-ph,['physics.plasm-ph'],"[arxiv.Result.Author('Jianqing Cai'), arxiv.Result.Author('Huasheng Xie'), arxiv.Result.Author('Yang Li'), arxiv.Result.Author('Michel Tuszewski'), arxiv.Result.Author('Hongbin Zhou'), arxiv.Result.Author('Peipei Chen')]","Most tokamak devices including ITER exploit the D-T reaction due to its high
reactivity, but the wall loading caused by the associated 14MeV neutrons will
limit the further development of fusion performance at high beta. To explore
p-11B fusion cycle, a tokamak system code is extended to incorporate the
relativistic bremsstrahlung since the temperature of electrons is approaching
the rest energy of electron. By choosing an optimum p-11B mix and ion
temperature, some representative sets of parameters of p-11B tokamak reactor,
whose fusion gain exceeds 1, have been found under the thermal wall loading
limit and beta limit when synchrotron radiation loss is neglected. However, the
fusion gain greatly decreases when the effect of synchrotron radiation loss is
considered. Helium ash also plays an important role in the fusion performance,
and we have found that the helium confinement time must be below the energy
confinement time to keep the helium concentration ratio in an acceptable range.",0.24118203,-0.24939032,0.12071809,B
1289,"A further research objective in this thrust area is to design and test advanced collective focusing
schemes [21] in the PATS and other available high energy density laboratory physics facilities,

                                                                                                                              4
which effectively utilize the large self-electric fields of the beam pulse and do not require large
focusing magnets.","Specific research tasks include:
Demonstrate that the beam charge and current can be controlled or neutralized during neutralized
drift compression by judicious choice of background plasma parameters; Demonstrate that
collective instabilities can be controlled or mitigated during neutralized drift compression by
profiling the plasma density or magnetic field; and Study the neutralization process and effects of
transients on beam emittance during beam entry into the plasma.","Thrust Area #2 – Develop innovative beam driver concepts for energy delivery in heavy ion
fusion systems using negative ion beams extracted from ion -- ion plasmas

In order to avoid possible electron cloud effects and charge exchange effects many linear
accelerators use negative ions instead of positive ions.",2022-01-31 12:49:30+00:00,Collective Effects and Intense Beam-Plasma Interactions in Ion-Beam-Driven High Energy Density Matter and Inertial Fusion Energy,physics.plasm-ph,"['physics.plasm-ph', 'hep-ex', 'physics.acc-ph']","[arxiv.Result.Author('Igor D. Kaganovich'), arxiv.Result.Author('Edward A. Startsev'), arxiv.Result.Author('Hong Qin'), arxiv.Result.Author('Erik Gilson'), arxiv.Result.Author('Thomas Schenkel'), arxiv.Result.Author('Jean-Luc Vay'), arxiv.Result.Author('Ed P. Lee'), arxiv.Result.Author('William Waldron'), arxiv.Result.Author('Roger Bangerter'), arxiv.Result.Author('Arun Persaud'), arxiv.Result.Author('Peter Seidl'), arxiv.Result.Author('Qing Ji'), arxiv.Result.Author('Alex Friedman'), arxiv.Result.Author('Dave P. Grote'), arxiv.Result.Author('John Barnard')]","For the successful generation of ion-beam-driven high energy density matter
and heavy ion fusion energy, intense ion beams must be transported and focused
onto a target with small spot size. One of the successful approaches to achieve
this goal is to accelerate and transport intense ion charge bunches in an
accelerator and then focus the charge bunches ballistically in a section of the
accelerator that contains a neutralizing background plasma. This requires the
ability to control space-charge effects during un-neutralized (non-neutral)
beam transport in the accelerator and transport sections, and the ability to
effectively neutralize the space charge and current by propagating the beam
through background plasma. As the beam intensity and energy are increased in
future heavy ion fusion (HIF) drivers and Fast Ignition (FI) approaches, it is
expected that nonlinear processes and collective effects will become much more
pronounced than in previous experiments. Making use of 3D electromagnetic
particle-in-cell simulation (PIC) codes (BEST, WARP-X, and LTP-PIC, etc.), the
theory and modelling studies will be validated by comparing with experimental
data on the 100kV Princeton Advanced Test Stand, and future experiments at the
FAIR facility. The theoretical predictions that are developed will be scaled to
the beam and plasma parameters relevant to heavy ion fusion drivers and Fast
Ignition scenarios. Therefore, the theoretical results will also contribute
significantly toward the long-term goal of fusion energy production by
ion-beam-driven inertial confinement fusion.",0.49382275,0.087197796,0.0128213465,B
1294,"However, a further research
is needed to determine the more precise altitude scaling for high-energy atmo-
spheric physics.","In this paper, approximate expressions for high-energy at-
mospheric physics process lengths are introduced.","The conditions required for inﬁnite positron feedback at diﬀerent altitudes
are calculated.",2022-01-26 18:57:22+00:00,The criterion for infinite positron feedback in dynamics of relativistic runaway electron avalanches,physics.plasm-ph,"['physics.plasm-ph', 'physics.ao-ph']","[arxiv.Result.Author('E. Stadnichuk'), arxiv.Result.Author('E. Svechnikova')]","Relativistic runaway electron avalanches (RREA) accelerated by thunderstorm
large-scale electric fields are one of the sources of atmospheric gamma
radiation. In strong electric fields, RREAs can multiply by the relativistic
feedback. Infinite relativistic feedback makes avalanches self-sustainable and
hypothetically can cause a terrestrial gamma-ray flash (TGF). This paper
introduces a kinetic approach to study the relativistic feedback caused by
positrons since positron feedback dominates for the directly observed electric
field strengths. With this approach, the criterion for infinite positron
feedback within thunderstorms is derived. Discovered criterion allows obtaining
the thunderstorm electric field parameters required for infinite positron
feedback for any altitude. The possibility of derived thunderstorm conditions
is discussed.",-0.04452344,0.08687423,0.02292854,C
1447,"The higher order equations merit further study because they might be important

even for smal√l values of : for example, gi,1,W is not zero at the trapped-passing boundary,
but of order gi,1,W , and this boundary value is determined by the perturbation to the

passing particle distribution function, hi − fMi, that we have neglected.","The three previous diﬀerences mean that, even though the DKES kinetic equation leads

to the same equations as the full kinetic equation to lowest order in ρi∗ ∼ νi∗ 1 and

1, the higher order equations given by DKES will be very diﬀerent from the physical

ones.","DKES cannot

determine hi − fMi in the limit given by ρi∗ ∼ νi∗ 1 and 1.",2022-02-02 22:45:56+00:00,Finite orbit width effects in large aspect ratio stellarators,physics.plasm-ph,['physics.plasm-ph'],"[arxiv.Result.Author(""Vincent d'Herbemont""), arxiv.Result.Author('Felix I. Parra'), arxiv.Result.Author('Ivan Calvo'), arxiv.Result.Author('Jose Luis Velasco')]","A new set of orbit-averaged equations for low-collisionality neoclassical
fluxes in large aspect ratio stellarators is derived. The equations are
self-consistently local while retaining finite orbit width effects via the use
of the second adiabatic invariant $J$ as a coordinate. These new equations have
been implemented in the orbit-averaged neoclassical code KNOSOS
\citep{velasco20, velasco21}. The new equations are used to study the $1/\nu$
regime and the regimes that exist at lower collisionality. For generic large
aspect ratio stellarators, as the collision frequency decreases, the $1/\nu$
regime transitions directly into the $\nu$ regime, without passing through a
$\sqrt{\nu}$ regime. An explicit formula for the particle and heat fluxes in
the $\nu$ regime is obtained. The formula includes the effect of particles that
transition between different types of wells. While these transitions make the
particle motion stochastic, they only produce stochastic diffusion independent
of the value of the collision frequency in velocity space. The diffusion in
real space remains proportional to the collision frequency, as it should in the
$\nu$ regime. The $\sqrt{\nu}$ regime is only recovered in large aspect ratio
stellarators close to omnigeneity, and it only exists in an interval of
collisionality that depends on the deviation from omnigeneity $\delta$:
$\delta^2/|\ln \delta| \ll \nu_{ii} R a/\rho_i v_{ti} \ll 1$. Here, $\nu_{ii}$
is the ion-ion collision frequency, $\rho_i$ is the ion gyroradius, $v_{ti}$ is
the ion thermal speed, $a$ is the minor radius and $R$ is the major radius.",-0.4256214,0.00020353543,0.24411193,C_centroid
1448,"The higher order equations merit further study because they might be important

even for smal√l values of : for example, gi,1,W is not zero at the trapped-passing boundary,
but of order gi,1,W , and this boundary value is determined by the perturbation to the
30  V. d’Herbemont, F.I.","The three previous diﬀerences mean that, even though the DKES kinetic equation leads

to the same equations as the full kinetic equation to lowest order in ρi∗ ∼ νi∗ 1 and

1, the higher order equations given by DKES will be very diﬀerent from the physical

ones.","Parra, I. Calvo and J.L.",2022-02-02 22:45:56+00:00,Finite orbit width effects in large aspect ratio stellarators,physics.plasm-ph,['physics.plasm-ph'],"[arxiv.Result.Author(""Vincent d'Herbemont""), arxiv.Result.Author('Felix I. Parra'), arxiv.Result.Author('Ivan Calvo'), arxiv.Result.Author('Jose Luis Velasco')]","New orbit averaged equations for low collisionality neoclassical fluxes in
large aspect ratio stellarators with mirror ratios close to unity are derived.
The equations retain finite orbit width effects by employing the second
adiabatic invariant $J$ as a velocity space coordinate and they have been
implemented in the orbit-averaged neoclassical code KNOSOS. The equations are
used to study the $1/\nu$ regime and the lower collisionality regimes. For
generic large aspect ratio stellarators with mirror ratios close to unity, as
the collision frequency decreases, the $1/\nu$ regime transitions directly into
the $\nu$ regime, without passing through a $\sqrt{\nu}$ regime. An explicit
formula for the neoclassical fluxes in the $\nu$ regime is obtained. The
formula includes the effect of particles that transition between different
types of wells. While these transitions produce stochastic scattering
independent of the value of the collision frequency in velocity space, the
diffusion in real space remains proportional to the collision frequency. The
$\sqrt{\nu}$ regime is only recovered in large aspect ratio stellarators close
to omnigeneity: large aspect ratio stellarators with large mirror ratios and
optimized large aspect ratio stellarators with mirror ratios close to unity.
Neoclassical transport in large aspect ratio stellarators with large mirror
ratios can be calculated with the orbit-averaged equations derived by
\cite{calvo17}. In these stellarators, the $\sqrt{\nu}$ regime exists in the
collisionality interval $\epsilon |\ln \epsilon| \ll \nu_{ii} R a/\rho_i v_{ti}
\ll 1/\epsilon$. In optimized large aspect ratio stellarators with mirror
ratios close to unity, the $\sqrt{\nu}$ regime occurs in an interval of
collisionality that depends on the deviation from omnigeneity $\delta$:
$\delta^2 |\ln \delta | \ll \nu_{ii} R a/\rho_i v_{ti} \ll 1$.",-0.43002334,0.011067551,0.3049857,C
