Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
5554,"We therefore welcome further research into how to                 Laskin J., Futrell J. H., 2003, The Journal of Chemical Physics, 119, 3413
model such currents, as well as a more detailed laboratory study in           McElroy D., Walsh C., Markwick A., Cordiner M., Smith K., Millar T., 2013,
the Tse variation with chemical composition of the neutral gas and                 Astronomy & Astrophysics, 550
impact energy.","Institute for Aerospace Studies, University of Toronto
Maxwellian.","Meroueh O., L. Hase W., 2001, Physical Chemistry Chemical Physics, 3,
                                                                                   2306
   This and future studies into impact emission is especially impor-          Meyer-Vernet N., et al., 2009, Sol.",2022-04-30 03:26:14+00:00,Implications from secondary emission from neutral impact on Cassini plasma and dust measurements,physics.space-ph,"['physics.space-ph', 'astro-ph.EP']","[arxiv.Result.Author('Fredrik Leffe Johansson'), arxiv.Result.Author('Erik Vigren'), arxiv.Result.Author('Jack Hunter Waite'), arxiv.Result.Author('Kelly Miller'), arxiv.Result.Author('Anders Eriksson'), arxiv.Result.Author('Niklas Edberg'), arxiv.Result.Author('Joshua Dreyer')]","We investigate the role of secondary electron emission from impact of gas
molecules on the Cassini Langmuir Probe (RPWS-LP) measurements in the
ionosphere of Saturn. We add a model of the secondary electron emission
current, based on laboratory measurements and data from flybys of comet
1P/Halley, and reanalyse the several hundred voltage bias sweeps obtained by
the LP during the Cassini Grand Finale orbits, we find reasonable explanations
for three open conundrums from previous RPWS-LP studies of the Saturn
ionosphere. We find an explanation for the observed positive charging of the
Cassini spacecraft, the possibly overestimated ionospheric electron
temperatures, and the excess ion current reported previously that were used to
estimate dust densities. We also produce an estimate of the water vapour
density from the last six revolutions of Cassini through Saturn's ionosphere,
in tentative agreement with and in higher detail than reported by the neutral
gas monitor Ion and Neutral Mass Spectrometer (INMS). For the sweeps analysed
in detail, we find little evidence that supports ionospheric (positive) ion
densities that are significantly above the electron density in Saturn's
ionosphere, and therefore do not find (indirect or direct) evidence of dust
having a significant charge-carrying role in Saturn's ionosphere. The mixing
ratio estimate from RPWS-LP reveals a highly structured ionosphere in latitude
across all six final revolutions (Rev 288-293), varying with two orders of
magnitude in latitude, as well as one order of magnitude between revolutions
and altitude. The result is generally consistent with an empirical
photochemistry model balancing the production of H+ ions with the H+ loss
through charge transfer with e.g., H2O, CH4 and CO2), for which water vapour
appears as the likeliest and most dominant source of the signal in terms of
yield and concentration.",0.008528621,-0.48121864,-0.18891676,C
5555,"We therefore welcome further research into how to             Johansson F., et al., 2021, A&A, 653, A128
model such currents, as well as a more detailed laboratory study in       Jones G. H., et al., 2009, Geophys.","How-                   G. G. T. Imhof, C. Cipriani, F. 2020, A&A, 642, A43
ever, irregularities in the sweep derivative, albeit noisy, suggested     Johansson F. L., et al., 2017, Monthly Notices of the Royal Astronomical
that the energy distribution of emitted electrons is not perfectly             Society, 469, S626
Maxwellian.",Res.,2022-04-30 03:26:14+00:00,Implications from secondary emission from neutral impact on Cassini plasma and dust measurements,physics.space-ph,"['physics.space-ph', 'astro-ph.EP']","[arxiv.Result.Author('Fredrik Leffe Johansson'), arxiv.Result.Author('Erik Vigren'), arxiv.Result.Author('Jack Hunter Waite'), arxiv.Result.Author('Kelly Miller'), arxiv.Result.Author('Anders Eriksson'), arxiv.Result.Author('Niklas Edberg'), arxiv.Result.Author('Joshua Dreyer')]","We investigate the role of secondary electron and ion emission from impact of
gas molecules on the Cassini Langmuir Probe (RPWS-LP, or LP) measurements in
the ionosphere of Saturn. We add a model of the emission currents, based on
laboratory measurements and data from comet 1P/Halley, to the equations used to
derive plasma parameters from LP bias voltage sweeps. Reanalysing several
hundred sweeps from the Cassini Grand Finale orbits, we find reasonable
explanations for three open conundrums from previous LP studies of the Saturn
ionosphere. We find an explanation for the observed positive charging of the
Cassini spacecraft, the possibly overestimated ionospheric electron
temperatures, and the excess ion current reported. For the sweeps analysed in
detail, we do not find (indirect or direct) evidence of dust having a
significant charge-carrying role in Saturn's ionosphere. We also produce an
estimate of H2O number density from the last six revolutions of Cassini through
Saturn's ionosphere in higher detail than reported by the Ion and Neutral Mass
Spectrometer (INMS). Our analysis reveals an ionosphere that is highly
structured in latitude across all six final revolutions, with mixing ratios
varying with two orders of magnitude in latitude and one order of magnitude
between revolutions and altitude. The result is generally consistent with an
empirical photochemistry model balancing the production of H+ ions with the H+
loss through charge transfer with e.g., H2O, CH4 and CO2, for which water
vapour appears as the likeliest dominant source of the signal in terms of yield
and concentration.",0.15647131,-0.36512607,-0.2555406,C_centroid
6829,"While the pusher concepts discussed in Subsection 3.3 have been previously
published, more detailed and practical implementations are a fruitful area
for further research.","The windmill must collect large power
ﬂows from a diﬀuse wind and do so with high eﬃciency and low parasitic drag.","The design of a statite dispensing system for photon-pushed aerographite
pellets remains as future work, as does the pellet-pusher.",2022-05-27 17:29:48+00:00,Wind--Pellet Shear Sailing,physics.space-ph,['physics.space-ph'],"[arxiv.Result.Author('Jeffrey K. Greason'), arxiv.Result.Author('Dmytro Yakymenko'), arxiv.Result.Author('Mathias N. Larrouturou'), arxiv.Result.Author('Andrew J. Higgins')]","A propulsion concept in which a spacecraft interacts with high-velocity
pellets and the interstellar medium is proposed. The pellets are slower than
the spacecraft and are accelerated backwards as they are overtaken, imparting a
forward acceleration on the spacecraft. This maneuver is possible due to the
interaction with a fixed medium (interstellar medium, ISM); as the spacecraft
travels through the medium, it is able to extract power from the relative wind.
This concept relies upon the relative velocities (shear) between the pellet
stream and the fixed medium in order to concentrate the energy of the pellets
into the spacecraft and is thus termed wind-pellet shear sailing. The equations
governing the mass ratio of pellets to the spacecraft and its dependence on the
final spacecraft velocity are derived; the critical role of the efficiency of
the power extraction and transfer process is identified. Natural sources of
energy are considered as a means to accelerate the pellets to velocities of
1000 to 6000 km/s. Techniques for onboard generation of power via
electromagnetic interaction with the ISM are reviewed, with a repetitively
stroked plasma magnet being identified as a promising approach. The necessity
of the spacecraft to detect and track the pellets as they are overtaken
dictates the desired properties of the pellets. Pellet pushers (accelerators)
on board the spacecraft are also preliminarily explored in their engineering
considerations, with electric field accelerators of charged nanometric
particles, Lorentz-force accelerated ionized pellets, or expansion of vaporized
pellets via a nozzle being highlighted as potential approaches. A preliminary
mission profile is defined in which a 500-kg scientific payload is delivered to
orbit about alpha-Centauri within 30 years, using wind-pellet shear sailing as
the intermediate stage to bring the spacecraft from 2% to 5.5% of c.",0.027396273,-0.23316494,0.7807819,C
7913,"However, further study is needed to
ies (Osman et al.",In agreement with previous stud-      lar wind.,2012; Yordanova et al.,2022-06-21 18:43:50+00:00,Preferential Proton over Electron heating from coherent structures during the first perihelion of Parker Solar Probe,physics.space-ph,"['physics.space-ph', 'astro-ph.SR', 'physics.plasm-ph']","[arxiv.Result.Author('Nikos Sioulas'), arxiv.Result.Author('Chen Shi'), arxiv.Result.Author('Zesen Huang'), arxiv.Result.Author('Marco Velli')]","The solar wind undergoes significant heating as it propagates away from the
Sun; the exact mechanisms responsible for this heating remain unclear. Using
data from the first perihelion of the Parker Solar Probe mission, we examine
the properties of proton and electron heating occurring within magnetic
coherent structures identified by means of the Partial Variance of Increments
(PVI) method. Statistically, regions of space with strong gradients in the
magnetic field, $PVI \geq 1$, are associated with strongly enhanced proton but
only slightly elevated electron temperatures. Our analysis indicates a heating
mechanism in the nascent solar wind environment facilitated by a nonlinear
turbulent cascade that preferentially heats protons over electrons.",0.21572828,-0.31368542,0.22959307,C
9156,"However, this is an area with obvious
key implications for solar wind forecasting that demands further research.","A low density - low velocity structure could well be the explanation of the
velocity overestimation of 2014 May 27-29 as this region maps back to approximately 150◦longitude
which is a section in between two coronal holes (see ﬁgure 7 a).","– 19 –

CR IB       Vmax  Vmin          ∆T        ∆V         MAE DTW Dist SSF
                               (Days)  (km s−1)    (km s−1) (×104)
            (km s−1) (km s−1)

2150 Tom 400      240 -1.57 ± 2.31 -0.80 ± 9.83 38.44  0.79  0.42
2150 MAS 390      270 3.61 ± 2.19 0.78 ± 16.10 40.12
                                                       1.78  0.95

2202 Tom 440      230 1.12 ± 1.69 0.50 ± 14.92 39.31   1.25  0.34
2202 MAS 420      290 2.98 ± 3.21 -3.34 ± 28.09 57.93
                                                       2.39  0.66

Table 2:: Statistics of HUXt model run with both tomography and MAS inner boundaries, with the
type of inner boundary indicated by the IB column.",2022-07-21 13:01:55+00:00,An inner boundary condition for solar wind models based on coronal density,physics.space-ph,"['physics.space-ph', 'astro-ph.SR']","[arxiv.Result.Author('Kaine A. Bunting'), arxiv.Result.Author('Huw Morgan')]","Accurate forecasting of the solar wind has grown in importance as society
becomes increasingly dependent on technology that is susceptible to space
weather events. This work describes an inner boundary condition for ambient
solar wind models based on tomography maps of the coronal plasma density gained
from coronagraph observations, providing a novel alternative to magnetic
extrapolations. The tomographical density maps provide a direct constraint of
the coronal structure at heliocentric distances of 4 to 8Rs, thus avoiding the
need to model the complex non-radial lower corona. An empirical inverse
relationship converts densities to solar wind velocities which are used as an
inner boundary condition by the Heliospheric Upwind Extrapolation (HUXt) model
to give ambient solar wind velocity at Earth. The dynamic time warping (DTW)
algorithm is used to quantify the agreement between tomography/HUXt output and
in situ data. An exhaustive search method is then used to adjust the lower
boundary velocity range in order to optimize the model. Early results show up
to a 32% decrease in mean absolute error between the modelled and observed
solar wind velocities compared to that of the coupled MAS/HUXt model. The use
of density maps gained from tomography as an inner boundary constraint is thus
a valid alternative to coronal magnetic models, and offers a significant
advancement in the field given the availability of routine space-based
coronagraph observations.",0.34225968,-0.3238843,0.08005608,C
9564,"This is interesting considering
the high abundance of protons in deep space radiation, and highlights an avenue for further research into
proton irradiation in radiotherapy and space medicine.","Despite this, overall results showed that healthy tissue surrounding the cancer
mass was better spared by proton irradiation than by photon irradiation [37].","HZE particles (high-energy nuclei) are a crucial component of galactic cosmic radiation, and it is essential
to consider their biological eﬀects compared to the standard X-rays and gamma-rays commonly used in
radiotherapy.",2022-08-01 14:31:33+00:00,Crewed Missions to Mars: Modeling the Impact of Astrophysical Charged Particles on Astronauts and Assessing Health Effects,physics.space-ph,"['physics.space-ph', 'astro-ph.EP']","[arxiv.Result.Author('Dimitra Atri'), arxiv.Result.Author('Caitlin MacArthur'), arxiv.Result.Author('Sriram Devata'), arxiv.Result.Author('Shireen Mathur'), arxiv.Result.Author('Giulia Carla Bassani'), arxiv.Result.Author('Roberto Parisi'), arxiv.Result.Author('Dionysios Gakis'), arxiv.Result.Author('Konstantin Herbst'), arxiv.Result.Author('Azza Al Bakr'), arxiv.Result.Author('Tammy Witzens')]","The impact of exposure to astrophysical ionizing radiation on astronaut
health is one of the main concerns in planning crewed missions to Mars.
Astronauts will be exposed to energetic charged particles from Galactic and
Solar origin for a prolonged period with little protection from a thin
spacecraft shield in transit and from the rarefied Martian atmosphere when on
the surface. Adverse impacts on astronaut health include, for example, Acute
Radiation Syndrome, damage to the nervous system, and increased cancer risk.
Using a combination of radiation measurements and numerical modeling with the
GEANT4 package, we calculate the distribution of radiation dose in various
organs of the human body for various expected scenarios simulated with a model
human phantom. We rely on medical studies to assess the impact of enhanced
levels of radiation dose on various physiological systems and on the overall
health of astronauts. We suggest mitigation strategies such as improved ways of
shielding and dietary supplements, and make recommendations for the safety of
astronauts in future crewed missions to Mars.",-0.4501716,-0.020599421,-0.22826166,B
9565,"The potential damage to the skin through increased exposure to UV
and other types of ionizing radiation is a concern for astronauts and showcases the need for further research
in this area.","This is the ﬁrst example of a 3D artiﬁcial skin which appeared to be good in order to conduct
radiation experiments for astronauts.",4.1.11.,2022-08-01 14:31:33+00:00,Crewed Missions to Mars: Modeling the Impact of Astrophysical Charged Particles on Astronauts and Assessing Health Effects,physics.space-ph,"['physics.space-ph', 'astro-ph.EP']","[arxiv.Result.Author('Dimitra Atri'), arxiv.Result.Author('Caitlin MacArthur'), arxiv.Result.Author('Sriram Devata'), arxiv.Result.Author('Shireen Mathur'), arxiv.Result.Author('Giulia Carla Bassani'), arxiv.Result.Author('Roberto Parisi'), arxiv.Result.Author('Dionysios Gakis'), arxiv.Result.Author('Konstantin Herbst'), arxiv.Result.Author('Azza Al Bakr'), arxiv.Result.Author('Tammy Witzens')]","The impact of exposure to astrophysical ionizing radiation on astronaut
health is one of the main concerns in planning crewed missions to Mars.
Astronauts will be exposed to energetic charged particles from Galactic and
Solar origin for a prolonged period with little protection from a thin
spacecraft shield in transit and from the rarefied Martian atmosphere when on
the surface. Adverse impacts on astronaut health include, for example, Acute
Radiation Syndrome, damage to the nervous system, and increased cancer risk.
Using a combination of radiation measurements and numerical modeling with the
GEANT4 package, we calculate the distribution of radiation dose in various
organs of the human body for various expected scenarios simulated with a model
human phantom. We rely on medical studies to assess the impact of enhanced
levels of radiation dose on various physiological systems and on the overall
health of astronauts. We suggest mitigation strategies such as improved ways of
shielding and dietary supplements, and make recommendations for the safety of
astronauts in future crewed missions to Mars.",-0.5897714,0.1217736,-0.1321271,B
9566,"This shows the importance that further research is done into
how we can mitigate such potential harm.","The radiation exposure that astronauts travelling to Mars are estimated to undergo accompanies
undeniable risks for development of cancer.",5.,2022-08-01 14:31:33+00:00,Crewed Missions to Mars: Modeling the Impact of Astrophysical Charged Particles on Astronauts and Assessing Health Effects,physics.space-ph,"['physics.space-ph', 'astro-ph.EP']","[arxiv.Result.Author('Dimitra Atri'), arxiv.Result.Author('Caitlin MacArthur'), arxiv.Result.Author('Sriram Devata'), arxiv.Result.Author('Shireen Mathur'), arxiv.Result.Author('Giulia Carla Bassani'), arxiv.Result.Author('Roberto Parisi'), arxiv.Result.Author('Dionysios Gakis'), arxiv.Result.Author('Konstantin Herbst'), arxiv.Result.Author('Azza Al Bakr'), arxiv.Result.Author('Tammy Witzens')]","The impact of exposure to astrophysical ionizing radiation on astronaut
health is one of the main concerns in planning crewed missions to Mars.
Astronauts will be exposed to energetic charged particles from Galactic and
Solar origin for a prolonged period with little protection from a thin
spacecraft shield in transit and from the rarefied Martian atmosphere when on
the surface. Adverse impacts on astronaut health include, for example, Acute
Radiation Syndrome, damage to the nervous system, and increased cancer risk.
Using a combination of radiation measurements and numerical modeling with the
GEANT4 package, we calculate the distribution of radiation dose in various
organs of the human body for various expected scenarios simulated with a model
human phantom. We rely on medical studies to assess the impact of enhanced
levels of radiation dose on various physiological systems and on the overall
health of astronauts. We suggest mitigation strategies such as improved ways of
shielding and dietary supplements, and make recommendations for the safety of
astronauts in future crewed missions to Mars.",-0.6655266,0.22680837,-0.11483088,B_centroid
9567,"Much further research and development is needed for making
spaceworthy active shielding alternatives robust enough to help us safely send astronauts to Mars.","Other designs can show engineers the potential for using multiple
shielding types to meet the redundancies necessary for a manned exploration mission, or even designs more
easily repaired with in-situ resources [170].","In the

                 57
meantime, superconducting magnet designs are a great place to start modeling the eﬀectiveness in dosing
reduction by using updated radiation environment simulations.",2022-08-01 14:31:33+00:00,Crewed Missions to Mars: Modeling the Impact of Astrophysical Charged Particles on Astronauts and Assessing Health Effects,physics.space-ph,"['physics.space-ph', 'astro-ph.EP']","[arxiv.Result.Author('Dimitra Atri'), arxiv.Result.Author('Caitlin MacArthur'), arxiv.Result.Author('Sriram Devata'), arxiv.Result.Author('Shireen Mathur'), arxiv.Result.Author('Giulia Carla Bassani'), arxiv.Result.Author('Roberto Parisi'), arxiv.Result.Author('Dionysios Gakis'), arxiv.Result.Author('Konstantin Herbst'), arxiv.Result.Author('Azza Al Bakr'), arxiv.Result.Author('Tammy Witzens')]","The impact of exposure to astrophysical ionizing radiation on astronaut
health is one of the main concerns in planning crewed missions to Mars.
Astronauts will be exposed to energetic charged particles from Galactic and
Solar origin for a prolonged period with little protection from a thin
spacecraft shield in transit and from the rarefied Martian atmosphere when on
the surface. Adverse impacts on astronaut health include, for example, Acute
Radiation Syndrome, damage to the nervous system, and increased cancer risk.
Using a combination of radiation measurements and numerical modeling with the
GEANT4 package, we calculate the distribution of radiation dose in various
organs of the human body for various expected scenarios simulated with a model
human phantom. We rely on medical studies to assess the impact of enhanced
levels of radiation dose on various physiological systems and on the overall
health of astronauts. We suggest mitigation strategies such as improved ways of
shielding and dietary supplements, and make recommendations for the safety of
astronauts in future crewed missions to Mars.",-0.2713498,0.3834396,0.10602985,B
9568,"Consequently,
in order to assess its feasibility, further research should not only focus on power management, but also on the
transportation of the system from Earth to Mars and its set-up on the surface.","These
concepts make active shielding more expensive and with roughly the same shielding result.",6.,2022-08-01 14:31:33+00:00,Crewed Missions to Mars: Modeling the Impact of Astrophysical Charged Particles on Astronauts and Assessing Health Effects,physics.space-ph,"['physics.space-ph', 'astro-ph.EP']","[arxiv.Result.Author('Dimitra Atri'), arxiv.Result.Author('Caitlin MacArthur'), arxiv.Result.Author('Sriram Devata'), arxiv.Result.Author('Shireen Mathur'), arxiv.Result.Author('Giulia Carla Bassani'), arxiv.Result.Author('Roberto Parisi'), arxiv.Result.Author('Dionysios Gakis'), arxiv.Result.Author('Konstantin Herbst'), arxiv.Result.Author('Azza Al Bakr'), arxiv.Result.Author('Tammy Witzens')]","The impact of exposure to astrophysical ionizing radiation on astronaut
health is one of the main concerns in planning crewed missions to Mars.
Astronauts will be exposed to energetic charged particles from Galactic and
Solar origin for a prolonged period with little protection from a thin
spacecraft shield in transit and from the rarefied Martian atmosphere when on
the surface. Adverse impacts on astronaut health include, for example, Acute
Radiation Syndrome, damage to the nervous system, and increased cancer risk.
Using a combination of radiation measurements and numerical modeling with the
GEANT4 package, we calculate the distribution of radiation dose in various
organs of the human body for various expected scenarios simulated with a model
human phantom. We rely on medical studies to assess the impact of enhanced
levels of radiation dose on various physiological systems and on the overall
health of astronauts. We suggest mitigation strategies such as improved ways of
shielding and dietary supplements, and make recommendations for the safety of
astronauts in future crewed missions to Mars.",-0.33507675,0.2769904,0.30463856,B
