Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
1878,"In Section 5 and
Section 6, we will further study the embeddability of higher order centrosymmetric Markov
matrices.","In Section 3, we will ﬁrst study the embeddability of 4 ˆ 4 centrosymmetric
Markov matrices, which include the K3P, K2P and JC Markov matrices.",Deﬁnition 2.4.,2022-02-11 20:13:16+00:00,Embeddability of centrosymmetric matrices,q-bio.PE,"['q-bio.PE', 'math.PR', '90J10, 60J27, 15B51, 15A16']","[arxiv.Result.Author('Muhammad Ardiyansyah'), arxiv.Result.Author('Dimitra Kosta'), arxiv.Result.Author('Jordi Roca-Lacostena')]","In this paper, we discuss the embedding problem for centrosymmetric matrices,
which are higher order generalizations of the matrices occurring in Strand
Symmetric Models. These models capture the substitution symmetries arising from
the double helix structure of the DNA. Deciding whether a transition matrix is
embeddable or not enables us to know if the observed substitution probabilities
are consistent with a homogeneous continuous time substitution model, such as
the Kimura models, the Jukes-Cantor model or the general time-reversible model.
On the other hand, the generalization to higher order matrices is motivated by
the setting of synthetic biology, which works with different sizes of genetic
alphabets.",0.027949285,0.7015288,-0.3826728,C
1879,"In Section 5 and Section 6, we will further study
the embeddability of higher order centrosymmetric Markov matrices.","In
Section 3, we will ﬁrst study the embeddability of 4 ˆ 4 centrosymmetric Markov matrices, which
include the K3P, K2P and JC Markov matrices.","5
3 Embeddability of 4 ˆ 4 centrosymmetric matrices

In this section, we begin our study by analyzing the embeddability of 4ˆ4 centrosymmetric matrices
also known as strand symmetric matrices.",2022-02-11 20:13:16+00:00,Embeddability of centrosymmetric matrices capturing the double-helix structure in natural and synthetic DNA,q-bio.PE,"['q-bio.PE', 'math.PR', '90J10, 60J27, 15B51, 15A16']","[arxiv.Result.Author('Muhammad Ardiyansyah'), arxiv.Result.Author('Dimitra Kosta'), arxiv.Result.Author('Jordi Roca-Lacostena')]","In this paper, we discuss the embedding problem for centrosymmetric matrices,
which are higher order generalizations of the matrices occurring in Strand
Symmetric Models. These models capture the substitution symmetries arising from
the double helix structure of the DNA. Deciding whether a transition matrix is
embeddable or not enables us to know if the observed substitution probabilities
are consistent with a homogeneous continuous time substitution model, such as
the Kimura models, the Jukes-Cantor model or the general time-reversible model.
On the other hand, the generalization to higher order matrices is motivated by
the setting of synthetic biology, which works with different sizes of genetic
alphabets.",0.039203107,0.6967826,-0.42275083,C
1898,"I further study the diﬀerences between two consecutive values in (raw) recruit-
ment time-series, where the original time-series is detrended by subtracting the
mean trend.","Figure 2 shows that, after rescaled with
their means and standard deviations of log-transformed data, the recruitment time-
series collapse onto a standard log-normal distribution.","Based on the Kolmogorov-Smirnov test with data aggregated across
72 stocks, while the null hypothesis that the (rescaled) log-transformed data are
normally distributed cannot be rejected with a p-value of 9.54 × 10−2, the null
hypothesis that the successive diﬀerences of the (rescaled) recruitment series are
normally distributed should be rejected with a p-value of 1.14 × 10−12.",2022-02-13 04:54:32+00:00,Fluctuation scaling in Lévy-stable recruitment of marine fishes in randomly varying environments,q-bio.PE,['q-bio.PE'],[arxiv.Result.Author('Hiro-Sato Niwa')],"This paper studies the scaling properties of recruitment fluctuations in
randomly varying environments, for abundant marine species with extreme
reproductive behavior. Fisheries stock-recruitment data from the North Atlantic
display fluctuation scaling, a proportionality between the standard deviation
and the average recruitment among stocks. The proportionality covers over five
orders of magnitude in the range studied. A linear-scaling behavior can be a
sign of a universal distribution of the normalized data across stocks. In light
of this conjecture, it is demonstrated that the L\'evy-stable model offers a
better effective description of the recruitment distribution than the
log-normal model. Care is devoted to the problem of random sums of random
variables. Recruitment is calculated by summing random offspring numbers with
infinite variance, where the number of summands (i.e. spawning population size)
is also a random process with infinite variance.",-0.041341223,0.11339126,0.07747273,C
2480,"An avenue for further research is to consider three-level mixing
models, which might be able to capture some of the regular between-household
contacts.","While undoubtedly a limitation, the
impact of this is likely to be less critical in the early stages of an outbreak,
which is the stage at which the purpose of the model (as a branching process)
is focused.","Some of the other limitations of the model we speciﬁcally studied herein –
that we did not allow for multiple exposed vectors when an infected host visits
a susceptible household, nor for a distribution of household host and vector
sizes – can be accommodated at the expense of introducing more types (rather
than only two) and computation.",2022-02-25 01:37:49+00:00,A stochastic household model for vector-borne diseases,q-bio.PE,"['q-bio.PE', 'math.PR']","[arxiv.Result.Author('Andrew Black'), arxiv.Result.Author('Andrew Smith'), arxiv.Result.Author('Alun Lloyd'), arxiv.Result.Author('Joshua Ross')]","We introduce a stochastic household model for vector-borne diseases, in
particular as relevant to prominent vectors belonging to the Aedes genus and
hence the Zika, chikungunya, and dengue viruses. In this model, vectors remain
local to each household, while hosts mix for a proportion of their time in
their household and the remaining proportion in the population at random. This
is approximated with a two-type branching process, allowing us to efficiently
calculate a number of useful epidemiological characteristics, such as
reproductive numbers, early growth rates and household-type proportions,
offspring distributions, probabilities of a major outbreak, and
within-household final size distributions. We compare control interventions of
spraying -- reducing the number of vectors in each household -- and
social-distancing -- having individuals spend more time at home -- in terms of
these characteristics.",-0.0015825517,0.09887017,0.31909212,C
2992,There is much scope for further research.,"The work presented in this paper demonstrates the applicability of Newtonian concepts to population
dynamics, in particular that of force.","Using an analysis of
force impact in a wider range of models would determine the extent to which the mechanical analogy aids
the understanding of model behaviour.",2022-03-08 18:12:27+00:00,The Concept of Force in Population Dynamics,q-bio.PE,"['q-bio.PE', 'math.DS', 'physics.soc-ph']","[arxiv.Result.Author('John Hayward'), arxiv.Result.Author('Paul A. Roach')]","The area of population dynamics has a rich history of the development and
analysis of models of biological and social phenomena using ordinary
differential equations. This paper describes a method for understanding the
influence one variable exerts on another in such models as a force, with the
relative effects of these forces providing a narrative explanation of the
curvature in variable behaviour. Using the stock/flow form of a model, a
symbolic notation is developed that identifies the forces with the causal
pathways of the model's feedback loops. A force is measured by its impact,
defined as the ratio of acceleration to rate of change, computed by
differentiation along its associated pathway between variables. Different
phases of force dominance are determined to enhance the standard stability
analysis of the models, providing an explanation of model behaviour in
Newtonian mechanical terms. The concepts developed are applied to well-known
models from mathematical biology: the Spruce Budworm model, where force
dominance identifies scenarios that give clarity to intervention points; and
the Lotka-Volterra predator-prey model where the analysis highlights the
importance of dissipative forces in achieving stability. Conclusions are drawn
on the explanatory power of this approach, with suggestions made for future
work.",0.19172893,-0.16119225,0.13228285,B
3508,"At the same time, we identified areas
that demonstrated the capacity to reverse trajectories of population decline in Germany,
Sweden and the Netherlands, and now highlight the potential for further research into these
areas to understand the processes underpinning this reversal in depopulation.","Our analysis revealed that population decline in the east of Europe have been more
severe and sustained than elsewhere in the continent.","We anticipate
considerable value to such research in regards to developing policy measures that can be
applied across the continent.",2022-03-18 08:29:57+00:00,Understanding the Trajectories of Population Decline Across Rural and Urban Europe: A Sequence Analysis,q-bio.PE,"['q-bio.PE', 'stat.AP']","[arxiv.Result.Author('Niall Newsham'), arxiv.Result.Author('Francisco Rowe')]","Population decline is projected to become widespread in Europe, with the
continental population set to reverse its longstanding trajectory of growth
within the next five years. This represents unfamiliar demographic territory.
Despite this, literature on decline remains sparse and our understanding
porous. Particular epistemological deficiencies stem from a lack of both
cross-national and temporal analyses of population decline. This study seeks to
address these gapsthrough the novel application of sequence and cluster
analysis techniques to examine variations in population decline trajectories
since 2000 in 696 sub-national areas across 33 European territories. The
methodology allows for a holistic understanding of decline trajectories
capturing differences in the ordering, timing, magnitude and spatial structure
of population decline. We identify a typology of population decline
distinguishing seven distinct pathways to depopulation and chart their
geographies. Results revealed differentiated pathways of depopulation in
continental sub-regions, with consistent and rapid declines in the east,
persistent but moderate declines in central Europe, accelerating declines in
the south and decelerating population declines in the west. Results also
revealed differentiated patterns of depopulation across the rural-urban
continuum, with urban and populous areas experiencing deceleration in
population decline, while population decline accelerates or stabilises in rural
areas. Small and mid-sized areas displayed heterogeneous depopulation
trajectories, highlighting the importance of local contextual factors in
influencing trajectories of population decline.",0.7230568,-0.32678932,0.012067217,B
3509,"We anticipate multiple avenues for further research in relation to our typology of European
population decline.","Policy efforts to reverse population decline or mitigate the
negative consequences of this trend on the economy and labour market should be
concentrated particularly on these geographic areas.","Particularly, future work should focus on expanding this analysis into the
future as new data become available, to assess the potential increase in severity of
depopulation across Europe and geographical spread throughout the rural-urban continuum.",2022-03-18 08:29:57+00:00,Understanding the Trajectories of Population Decline Across Rural and Urban Europe: A Sequence Analysis,q-bio.PE,"['q-bio.PE', 'stat.AP']","[arxiv.Result.Author('Niall Newsham'), arxiv.Result.Author('Francisco Rowe')]","Population decline is projected to become widespread in Europe, with the
continental population set to reverse its longstanding trajectory of growth
within the next five years. This represents unfamiliar demographic territory.
Despite this, literature on decline remains sparse and our understanding
porous. Particular epistemological deficiencies stem from a lack of both
cross-national and temporal analyses of population decline. This study seeks to
address these gapsthrough the novel application of sequence and cluster
analysis techniques to examine variations in population decline trajectories
since 2000 in 696 sub-national areas across 33 European territories. The
methodology allows for a holistic understanding of decline trajectories
capturing differences in the ordering, timing, magnitude and spatial structure
of population decline. We identify a typology of population decline
distinguishing seven distinct pathways to depopulation and chart their
geographies. Results revealed differentiated pathways of depopulation in
continental sub-regions, with consistent and rapid declines in the east,
persistent but moderate declines in central Europe, accelerating declines in
the south and decelerating population declines in the west. Results also
revealed differentiated patterns of depopulation across the rural-urban
continuum, with urban and populous areas experiencing deceleration in
population decline, while population decline accelerates or stabilises in rural
areas. Small and mid-sized areas displayed heterogeneous depopulation
trajectories, highlighting the importance of local contextual factors in
influencing trajectories of population decline.",0.7575699,-0.3108768,-0.023795616,B_centroid
3510,"At the same time, we identified areas
that demonstrated the capacity to reverse trajectories of population decline in Germany,
Sweden and the Netherlands, and now highlight the potential for further research into these
areas to understand the processes underpinning this reversal in depopulation.","Our analysis revealed that population decline in the east of Europe have been more
severe and sustained than elsewhere in the continent.","We anticipate
considerable value to such research in regards to developing policy measures that can be
applied across the continent.",2022-03-18 08:29:57+00:00,Understanding the Trajectories of Population Decline Across Rural and Urban Europe: A Sequence Analysis,q-bio.PE,"['q-bio.PE', 'stat.AP']","[arxiv.Result.Author('Niall Newsham'), arxiv.Result.Author('Francisco Rowe')]","Population decline is projected to become widespread in Europe, with the
continental population set to reverse its longstanding trajectory of growth
within the next five years. This represents unfamiliar demographic territory.
Despite this, literature on decline remains sparse and our understanding
porous. Particular epistemological deficiencies stem from a lack of both
cross-national and temporal analyses of population decline. This study seeks to
address these gapsthrough the novel application of sequence and cluster
analysis techniques to examine variations in population decline trajectories
since 2000 in 696 sub-national areas across 33 European territories. The
methodology allows for a holistic understanding of decline trajectories
capturing differences in the ordering, timing, magnitude and spatial structure
of population decline. We identify a typology of population decline
distinguishing seven distinct pathways to depopulation and chart their
geographies. Results revealed differentiated pathways of depopulation in
continental sub-regions, with consistent and rapid declines in the east,
persistent but moderate declines in central Europe, accelerating declines in
the south and decelerating population declines in the west. Results also
revealed differentiated patterns of depopulation across the rural-urban
continuum, with urban and populous areas experiencing deceleration in
population decline, while population decline accelerates or stabilises in rural
areas. Small and mid-sized areas displayed heterogeneous depopulation
trajectories, highlighting the importance of local contextual factors in
influencing trajectories of population decline.",0.7230568,-0.32678932,0.012067217,B
3511,"We anticipate multiple avenues for further research in relation to our typology of European
population decline.","Policy efforts to reverse population decline or mitigate the
negative consequences of this trend on the economy and labour market should be
concentrated particularly on these geographic areas.","Particularly, future work should focus on expanding this analysis into the
future as new data become available, to assess the potential increase in severity of
depopulation across Europe and geographical spread throughout the rural-urban continuum.",2022-03-18 08:29:57+00:00,Understanding the Trajectories of Population Decline Across Rural and Urban Europe: A Sequence Analysis,q-bio.PE,"['q-bio.PE', 'stat.AP']","[arxiv.Result.Author('Niall Newsham'), arxiv.Result.Author('Francisco Rowe')]","Population decline is projected to become widespread in Europe, with the
continental population set to reverse its longstanding trajectory of growth
within the next five years. This represents unfamiliar demographic territory.
Despite this, literature on decline remains sparse and our understanding
porous. Particular epistemological deficiencies stem from a lack of both
cross-national and temporal analyses of population decline. This study seeks to
address these gapsthrough the novel application of sequence and cluster
analysis techniques to examine variations in population decline trajectories
since 2000 in 696 sub-national areas across 33 European territories. The
methodology allows for a holistic understanding of decline trajectories
capturing differences in the ordering, timing, magnitude and spatial structure
of population decline. We identify a typology of population decline
distinguishing seven distinct pathways to depopulation and chart their
geographies. Results revealed differentiated pathways of depopulation in
continental sub-regions, with consistent and rapid declines in the east,
persistent but moderate declines in central Europe, accelerating declines in
the south and decelerating population declines in the west. Results also
revealed differentiated patterns of depopulation across the rural-urban
continuum, with urban and populous areas experiencing deceleration in
population decline, while population decline accelerates or stabilises in rural
areas. Small and mid-sized areas displayed heterogeneous depopulation
trajectories, highlighting the importance of local contextual factors in
influencing trajectories of population decline.",0.7575699,-0.3108768,-0.023795616,B
4778,"However, further research into diﬀerent model misspeciﬁcations is still necessary.","The simulations under a BM model in this article do not cause
much diﬃculty.","In the Anolis Lizard real data case study, all ﬁve methods estimate similar shift conﬁgurations.",2022-04-12 18:36:53+00:00,Evolutionary shift detection with ensemble variable selection,q-bio.PE,"['q-bio.PE', 'stat.ME']","[arxiv.Result.Author('Wensha Zhang'), arxiv.Result.Author('Toby Kenney'), arxiv.Result.Author('Lam Si Tung Ho')]","1. Abrupt environmental changes can lead to evolutionary shifts in trait
evolution. Identifying these shifts is an important step in understanding the
evolutionary history of phenotypes.
  2. We propose an ensemble variable selection method (R package ELPASO) for
the evolutionary shift detection task and compare it with existing methods (R
packages l1ou and PhylogeneticEM) under several scenarios.
  3. The performances of methods are highly dependent on the selection
criterion. When the signal sizes are small, the methods using the Bayesian
information criterion (BIC) have better performances. And when the signal sizes
are large enough, the methods using the phylogenetic Bayesian information
criterion (pBIC) (Khabbazian et al., 2016) have better performance. Moreover,
the performance is heavily impacted by measurement error and tree
reconstruction error.
  4. Ensemble method + pBIC tends to perform less conservatively than l1ou +
pBIC, and Ensemble method + BIC is more conservatively than l1ou + BIC.
PhylogeneticEM is even more conservative with small signal sizes and falls
between l1ou + pBIC and Ensemble method + BIC with large signal sizes. The
results can differ between the methods, but none clearly outperforms the
others. By applying multiple methods to a single dataset, we can access the
robustness of each detected shift, based on the agreement among methods.",-0.1703399,0.007958352,0.12051116,C
