Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
658,Section 6 concludes and discusses further research.,"Section 5 applies the method
to a more complex asset-liability-model.","All
proofs and auxiliary material are collected in an appendix.",2022-01-17 10:12:15+00:00,Multinomial Backtesting of Distortion Risk Measures,q-fin.RM,['q-fin.RM'],"[arxiv.Result.Author('Sören Bettels'), arxiv.Result.Author('Sojung Kim'), arxiv.Result.Author('Stefan Weber')]","We extend the scope of risk measures for which backtesting models are
available by proposing a multinomial backtesting method for general distortion
risk measures. The method relies on a stratification and randomization of risk
levels. We illustrate the performance of our methods in numerical case studies.",-0.101020776,0.17974675,-0.13147756,B
1558,"Avenues of further research include the analysis of the effect of the discrepancies among
the different CDS contributors on potential debt decoupling (Hu and Black, 2008) or the
usefulness of such dispersion as a signaling tool for supervisory monitoring in comparison

                                                                                                        36
to the usefulness of other financial instruments (Hamalainen, Pop, Hall and Howcroft,
2012).","Second, extant price discovery
research focused on CDS spreads and/or stock returns should be complemented with
additional robustness tests in the light of the differences found across databases.","References
Acharya, V. and Johnson, T., “Insider Trading in Credit Derivatives”.",2022-02-04 17:58:48+00:00,Are all Credit Default Swap Databases equal?,q-fin.RM,['q-fin.RM'],"[arxiv.Result.Author('Sergio Mayordomo'), arxiv.Result.Author('Juan Ignacio Peña'), arxiv.Result.Author('Eduardo S. Schwartz')]","We compare the five major sources of corporate Credit Default Swap prices:
GFI, Fenics, Reuters, CMA, and Markit, using the most liquid single name 5-year
CDS in the iTraxx and CDX indexes from 2004 to 2010. Deviations from the common
trend among prices in the different databases are not random but are explained
by idiosyncratic factors, financing costs, global risk, and other trading
factors. The CMA quotes lead the price discovery process. Moreover, we find
that there is not a full agreement among databases in the results of the price
discovery analysis between stock and CDS returns.",-0.076734506,0.020230953,0.26519445,B
1559,"The
application of our measures for asset pricing, hedging strategies, portfolio
diversification, and risk management purposes represent other natural directions for
further research.","Looking forward, a comparison of our measures with other measures based on
alternative asset markets would offer an interesting topic for further investigation.","Appendices

Appendix A
      We apply the theorem of the law of total variance,

                   Var (Y ) = EX Var (Y | X ) +VarX E (Y | X ) .",2022-02-04 18:04:50+00:00,Measuring Systemic Risk: Common Factor Exposures and Tail Dependence Effects,q-fin.RM,['q-fin.RM'],"[arxiv.Result.Author('Wan-Chien Chiu'), arxiv.Result.Author('Juan Ignacio Peña'), arxiv.Result.Author('Chih-Wei Wang')]","We model systemic risk using a common factor that accounts for market-wide
shocks and a tail dependence factor that accounts for linkages among extreme
stock returns. Specifically, our theoretical model allows for firm-specific
impacts of infrequent and extreme events. Using data on the four sectors of the
U.S. financial industry from 1996 to 2011, we uncover two key empirical
findings. First, disregarding the effect of the tail dependence factor leads to
a downward bias in the measurement of systemic risk, especially during weak
economic times. Second, when these measures serve as leading indicators of the
St. Louis Fed Financial Stress Index, measures that include a tail dependence
factor offer better forecasting ability than measures based on a common factor
only.",-0.38579908,0.07040687,-0.24749875,B
2979,"6 Conclusion and further research

In this paper, we derive and analyze a Stackelberg equilibrium in a Stackelberg game between
a reinsurer and an insurer, which appears in the context of an equity-linked insurance product
with a capital guarantee.","For RRAI = 15 and T = 20 we
have W EU CI (θR(86.73%), ξI∗, 0, 0) = 287bp.","We assume that the reinsurance is only purchased at the beginning of
the investment horizon and is not continuously adjusted.",2022-03-08 12:48:26+00:00,Risk sharing in equity-linked insurance products: Stackelberg equilibrium between an insurer and a reinsurer,q-fin.RM,"['q-fin.RM', 'q-fin.PM', '91G10 (Primary), 91B30 (Secondary), 91A10 (Secondary)']","[arxiv.Result.Author('Yevhen Havrylenko'), arxiv.Result.Author('Maria Hinken'), arxiv.Result.Author('Rudi Zagst')]","Equity-linked insurance products often have capital guarantees. Common
investment strategies ensuring these guarantees are challenged nowadays by low
interest rates. Thus, we study an alternative strategy when an insurance
company shares financial risk with a reinsurance company. We model this
situation as a Stackelberg game. The reinsurer is the leader in the game and
maximizes its expected utility by selecting its optimal investment strategy and
a safety loading in the reinsurance contract it offers to the insurer. The
reinsurer can assess how the insurer will rationally react on each action of
the reinsurer. The insurance company is the follower and maximizes its expected
utility by choosing its investment strategy and the amount of reinsurance the
company purchases at the price offered by the reinsurer. In this game, we
derive the Stackelberg equilibrium for general utility functions. For power
utility functions, we calculate the equilibrium explicitly and find that the
reinsurer selects the largest reinsurance premium such that the insurer may
still buy the maximal amount of reinsurance. Since in the equilibrium the
insurer is indifferent in the amount of reinsurance, in practice, the reinsurer
should consider charging a smaller reinsurance premium than the equilibrium
one. Therefore, we propose several criteria for choosing such a discount rate
and investigate its wealth-equivalent impact on the utilities of both parties.",-0.29077852,-0.018851725,-0.20519969,B
5029,"We further study some technical properties of PELVE
                                                   by oﬀering a few new results on monotonicity and convergence.","In the most complicated case of a curve constraint, we convert the calibration problem
                                                   to that of an advanced diﬀerential equation.","Keywords: Value-at-Risk, Expected Shortfall, risk measures, heavy tails, advanced diﬀerential
                                           equation.",2022-04-19 13:27:48+00:00,Calibrating distribution models from PELVE,q-fin.RM,['q-fin.RM'],"[arxiv.Result.Author('Hirbod Assa'), arxiv.Result.Author('Liyuan Lin'), arxiv.Result.Author('Ruodu Wang')]","The Value-at-Risk (VaR) and the Expected Shortfall (ES) are the two most
popular risk measures in banking and insurance regulation. To bridge between
the two regulatory risk measures, the Probability Equivalent Level of VaR-ES
(PELVE) was recently proposed to convert a level of VaR to that of ES. It is
straightforward to compute the value of PELVE for a given distribution model.
In this paper, we study the converse problem of PELVE calibration, that is, to
find a distribution model that yields a given PELVE, which may either be
obtained from data or from expert opinion. We discuss separately the cases when
one-point, two-point and curve constraints are given. In the most complicated
case of a curve constraint, we convert the calibration problem to that of an
advanced differential equation. We further study some technical properties of
PELVE by offering a few new results on monotonicity and convergence.",-0.20048793,0.30588567,-0.30045456,B
5297,"We further study the correlation between        HIDAM combines node embeddings with the downstream learning
relationships and default risks.","Finally,
   Impact analysis (P3).","For each view, we collect the meta-     objective for prediction.",2022-04-24 11:26:12+00:00,Heterogeneous Information Network based Default Analysis on Banking Micro and Small Enterprise Users,q-fin.RM,"['q-fin.RM', 'cs.AI', 'cs.LG', 'cs.SI']","[arxiv.Result.Author('Zheng Zhang'), arxiv.Result.Author('Yingsheng Ji'), arxiv.Result.Author('Jiachen Shen'), arxiv.Result.Author('Xi Zhang'), arxiv.Result.Author('Guangwen Yang')]","Risk assessment is a substantial problem for financial institutions that has
been extensively studied both for its methodological richness and its various
practical applications. With the expansion of inclusive finance, recent
attentions are paid to micro and small-sized enterprises (MSEs). Compared with
large companies, MSEs present a higher exposure rate to default owing to their
insecure financial stability. Conventional efforts learn classifiers from
historical data with elaborate feature engineering. However, the main obstacle
for MSEs involves severe deficiency in credit-related information, which may
degrade the performance of prediction. Besides, financial activities have
diverse explicit and implicit relations, which have not been fully exploited
for risk judgement in commercial banks. In particular, the observations on real
data show that various relationships between company users have additional
power in financial risk analysis. In this paper, we consider a graph of banking
data, and propose a novel HIDAM model for the purpose. Specifically, we attempt
to incorporate heterogeneous information network with rich attributes on
multi-typed nodes and links for modeling the scenario of business banking
service. To enhance feature representation of MSEs, we extract interactive
information through meta-paths and fully exploit path information. Furthermore,
we devise a hierarchical attention mechanism respectively to learn the
importance of contents inside each meta-path and the importance of different
metapahs. Experimental results verify that HIDAM outperforms state-of-the-art
competitors on real-world banking data.",0.14568564,0.30462962,-0.15914917,C_centroid
5298,"We further study the correlation between
We conduct data investigation into the following perspectives of      relationships and default risks.","3.2 Exploratory Analyses
                                                                         Impact analysis (P3).","For each view, we collect the meta-
the graph-based default prediction problem: (P1) What kinds of        path based neighbors of each MSE and count the number of default
relational data are used for graph modeling?",2022-04-24 11:26:12+00:00,Heterogeneous Information Network based Default Analysis on Banking Micro and Small Enterprise Users,q-fin.RM,"['q-fin.RM', 'cs.AI', 'cs.LG', 'cs.SI']","[arxiv.Result.Author('Zheng Zhang'), arxiv.Result.Author('Yingsheng Ji'), arxiv.Result.Author('Jiachen Shen'), arxiv.Result.Author('Xi Zhang'), arxiv.Result.Author('Guangwen Yang')]","Risk assessment is a substantial problem for financial institutions that has
been extensively studied both for its methodological richness and its various
practical applications. With the expansion of inclusive finance, recent
attentions are paid to micro and small-sized enterprises (MSEs). Compared with
large companies, MSEs present a higher exposure rate to default owing to their
insecure financial stability. Conventional efforts learn classifiers from
historical data with elaborate feature engineering. However, the main obstacle
for MSEs involves severe deficiency in credit-related information, which may
degrade the performance of prediction. Besides, financial activities have
diverse explicit and implicit relations, which have not been fully exploited
for risk judgement in commercial banks. In particular, the observations on real
data show that various relationships between company users have additional
power in financial risk analysis. In this paper, we consider a graph of banking
data, and propose a novel HIDAM model for the purpose. Specifically, we attempt
to incorporate heterogeneous information network with rich attributes on
multi-typed nodes and links for modeling the scenario of business banking
service. To enhance feature representation of MSEs, we extract interactive
information through meta-paths and fully exploit path information. Furthermore,
we devise a hierarchical attention mechanism respectively to learn the
importance of contents inside each meta-path and the importance of different
metapahs. Experimental results verify that HIDAM outperforms state-of-the-art
competitors on real-world banking data.",0.21439897,0.2953938,-0.202602,C
5689,"8 Conclusion and further research

The novel contribution of this paper is to empirically analyse the impact of introducing
ML techniques to include linear and non-linear dependencies among obligors’ charac-
teristics in the credit risk evaluation of a portfolio.","17
         4e-04

         3e-04

density  2e-04

         1e-04

         0e+00

                0  1000  2000  3000  4000  5000  6000

                               S

          Figure 5: Beta binomial pmf estimated with LR (black) and AB (red).","We perform our analysis on a set
of credit card owners with observable characteristics.",2022-05-03 14:18:52+00:00,Machine learning techniques in joint default assessment,q-fin.RM,['q-fin.RM'],"[arxiv.Result.Author('Margherita Doria'), arxiv.Result.Author('Elisa Luciano'), arxiv.Result.Author('Patrizia Semeraro')]","This paper studies the consequences of capturing non-linear dependence among
the covariates that drive the default of different obligors and the overall
riskiness of their credit portfolio. Joint default modeling is, without loss of
generality, the classical Bernoulli mixture model. Using an application to a
credit card dataset we show that, even when Machine Learning techniques perform
only slightly better than Logistic Regression in classifying individual
defaults as a function of the covariates, they do outperform it at the
portfolio level. This happens because they capture linear and non-linear
dependence among the covariates, whereas Logistic Regression only captures
linear dependence. The ability of Machine Learning methods to capture
non-linear dependence among the covariates produces higher default correlation
compared with Logistic Regression. As a consequence, on our data, Logistic
Regression underestimates the riskiness of the credit portfolio.",-0.06950908,0.2779508,0.15620717,B
6366,"In a further study, Evans           𝑌 reserves  𝑥
et al.","Evans [17] studies the returns of liquidity                               𝑢
providers and shows that they are capable of replicating various
trading strategies and financial derivatives.","[18] find the optimal transaction fee for liquidity pools to                                   𝑚
attract liquidity.",2022-05-18 12:56:37+00:00,Risks and Returns of Uniswap V3 Liquidity Providers,q-fin.RM,['q-fin.RM'],"[arxiv.Result.Author('Lioba Heimbach'), arxiv.Result.Author('Eric Schertenleib'), arxiv.Result.Author('Roger Wattenhofer')]","Trade execution on Decentralized Exchanges (DEXes) is automatic and does not
require individual buy and sell orders to be matched. Instead, liquidity
aggregated in pools from individual liquidity providers enables trading between
cryptocurrencies. The largest DEX measured by trading volume, Uniswap V3,
promises a DEX design optimized for capital efficiency. However, Uniswap V3
requires far more decisions from liquidity providers than previous DEX designs.
  In this work, we develop a theoretical model to illustrate the choices faced
by Uniswap V3 liquidity providers and their implications. Our model suggests
that providing liquidity on Uniswap V3 is highly complex and requires many
considerations from a user. Our supporting data analysis of the risks and
returns of real Uniswap V3 liquidity providers underlines that liquidity
providing in Uniswap V3 is incredibly complicated, and performances can vary
wildly. While there are simple and profitable strategies for liquidity
providers in liquidity pools characterized by negligible price volatilities,
these strategies only yield modest returns. Instead, significant returns can
only be obtained by accepting increased financial risks and at the cost of
active management. Thus, providing liquidity has become a game reserved for
sophisticated players with the introduction of Uniswap V3, where retail traders
do not stand a chance.",-0.46275795,-0.4095821,0.21450584,B_centroid
6367,"Thus, while liquidity position’s on Uniswap              To further study the risks associated with providing liquidity,
V3 experience little to no risks of losing money, the returns are           we also consider the conditional value at risk (CVaR) of the ana-
generally small.","with lifetimes exceeding 30 days exhibit mean daily returns rang-
ing from 0% to 0.04%.",For the four normal pair pools (cf.,2022-05-18 12:56:37+00:00,Risks and Returns of Uniswap V3 Liquidity Providers,q-fin.RM,['q-fin.RM'],"[arxiv.Result.Author('Lioba Heimbach'), arxiv.Result.Author('Eric Schertenleib'), arxiv.Result.Author('Roger Wattenhofer')]","Trade execution on Decentralized Exchanges (DEXes) is automatic and does not
require individual buy and sell orders to be matched. Instead, liquidity
aggregated in pools from individual liquidity providers enables trading between
cryptocurrencies. The largest DEX measured by trading volume, Uniswap V3,
promises a DEX design optimized for capital efficiency. However, Uniswap V3
requires far more decisions from liquidity providers than previous DEX designs.
  In this work, we develop a theoretical model to illustrate the choices faced
by Uniswap V3 liquidity providers and their implications. Our model suggests
that providing liquidity on Uniswap V3 is highly complex and requires many
considerations from a user. Our supporting data analysis of the risks and
returns of real Uniswap V3 liquidity providers underlines that liquidity
providing in Uniswap V3 is incredibly complicated, and performances can vary
wildly. While there are simple and profitable strategies for liquidity
providers in liquidity pools characterized by negligible price volatilities,
these strategies only yield modest returns. Instead, significant returns can
only be obtained by accepting increased financial risks and at the cost of
active management. Thus, providing liquidity has become a game reserved for
sophisticated players with the introduction of Uniswap V3, where retail traders
do not stand a chance.",-0.36941218,-0.20503844,0.03725963,B
