Unnamed: 0,further research line,further research prefix,further research suffix,publication date,title,primary category,categories,authors,abstract,x,y,z,cluster
18,"Lastly, section 7
provides a discussion of our work, with suggestions for further research.","Simulation studies are illustrated in section 5 for ﬁnite sample performance and an
application of MARS to leukemia data set is demonstrated in section 6.","2 Case study: minimal residual disease in leukemia

Responding to the emerging development of targeted and immunological treatments, the
U.S. Food and Drug Administration (FDA 2020) published a guideline clarifying for the use
of minimal residual disease (MRD) status in the development of drugs for the treatment
of hematologic malignancies.",2022-01-02 03:09:22+00:00,Evidence synthesis with reconstructed survival data,stat.ME,['stat.ME'],"[arxiv.Result.Author('Chenqi Fu'), arxiv.Result.Author('Shouhao Zhou'), arxiv.Result.Author('Xuelin Huang'), arxiv.Result.Author('Nicholas J. Short'), arxiv.Result.Author('Farhad Ravandi-Kashani'), arxiv.Result.Author('Donald A. Berry')]","We present a general approach to synthesizing evidence of time-to-event
endpoints in meta-analyses of aggregate data (AD). Our work goes beyond most
previous meta-analytic research by using reconstructed survival data as a
source of information. A Bayesian multilevel regression model, called the
""meta-analysis of reconstructed survival data"" (MARS), is introduced, by
modeling and integrating reconstructed survival information with other types of
summary data, to estimate the hazard ratio function and survival probabilities.
The method attempts to reduce selection bias, and relaxes the presumption of
proportional hazards in individual clinical studies from the conventional
approaches restricted to hazard ratio estimates. Theoretically, we establish
the asymptotic consistency of MARS, and investigate its relative efficiency
with respect to the individual participant data (IPD) meta-analysis. In
simulation studies, the MARS demonstrated comparable performance to IPD
meta-analysis with minor deviation from the true values, suggesting great
robustness and efficiency achievable in AD meta-analysis with finite sample.
Finally, we applied MARS in a meta-analysis of acute myeloid leukemia to assess
the association of minimal residual disease with survival, to help respond to
FDA's emerging concerns on translational use of surrogate biomarker in drug
development of hematologic malignancies.",0.3446868,-0.044991173,-0.04805831,C
254,"To further study the properties of our
method, we compare it with other competitive methods from the perspective of changepoint
estimation.","We also explore how the strength of spatial
correlation and change signal inﬂuence performance.","3.1 Data Generation

We randomly select N = 50 locations in a 10 × 10 spatial domain as the rejection region DR
resulting from a changepoint detection algorithm adjusted by the FDR control.",2022-01-08 02:26:56+00:00,Bayesian Changepoint Estimation for Spatially Indexed Functional Time Series,stat.ME,"['stat.ME', 'stat.AP']","[arxiv.Result.Author('Mengchen Wang'), arxiv.Result.Author('Trevor Harris'), arxiv.Result.Author('Bo Li')]","We propose a Bayesian hierarchical model to simultaneously estimate mean
based changepoints in spatially correlated functional time series. Unlike
previous methods that assume a shared changepoint at all spatial locations or
ignore spatial correlation, our method treats changepoints as a spatial
process. This allows our model to respect spatial heterogeneity and exploit
spatial correlations to improve estimation. Our method is derived from the
ubiquitous cumulative sum (CUSUM) statistic that dominates changepoint
detection in functional time series. However, instead of directly searching for
the maximum of the CUSUM based processes, we build spatially correlated
two-piece linear models with appropriate variance structure to locate all
changepoints at once. The proposed linear model approach increases the
robustness of our method to variability in the CUSUM process, which, combined
with our spatial correlation model, improves changepoint estimation near the
edges. We demonstrate through extensive simulation studies that our method
outperforms existing functional changepoint estimators in terms of both
estimation accuracy and uncertainty quantification, under either weak and
strong spatial correlation, and weak and strong change signals. Finally, we
demonstrate our method using a temperature data set and a coronavirus disease
2019 (COVID-19) study.",-0.122612454,-0.09219553,0.10350579,A
578,"In Section 6 conclusions from the analysis are
drawn and an outlook on further research is given.","The
set-up of the simulation study is explained in Section 4 and the obtained results are
presented and discussed in Section 5.","2 Motivating Example

Acute heart failure (AHF) is deﬁned as a rapid onset of signs and symptoms of heart
failure.",2022-01-14 14:57:00+00:00,Robust Confidence Intervals for Meta-Regression with Correlated Moderators,stat.ME,"['stat.ME', 'stat.AP', 'stat.CO']","[arxiv.Result.Author('Eric S. Knop'), arxiv.Result.Author('Markus Pauly'), arxiv.Result.Author('Tim Friede'), arxiv.Result.Author('Thilo Welz')]","Mixed-effects meta-regression models provide a powerful tool for evidence
synthesis. In fact, modelling the study effect in terms of random effects and
moderators not only allows to examine the impact of the moderators, but often
leads to more accurate estimates of the involved parameters. Nevertheless, due
to the often small number of studies on a specific research topic, interactions
are often neglected in meta-regression. This was also the case in a recent
meta-analysis in acute heart failure where a significant decline in death rate
over calendar time was reported. However, we believe that an important
interaction has been neglected. We therefore reanalyzed the data with a
meta-regression model, including an interaction term of the median recruitment
year and the average age of the patients. The model with interaction suggests
different conclusions.
  This led to the new research questions (i) how moderator interactions
influence inference in mixed-effects meta-regression models and (ii) whether
some inference methods are more reliable than others. Focusing on confidence
intervals for main and interaction parameters, we address these questions in an
extensive simulation study. We thereby investigate coverage and length of seven
different confidence intervals under varying conditions. We conclude with some
practical recommendations.",0.2559763,0.0042586476,0.06680312,C
579,"As the model examined in this work still has a simple structure, in further research
it might be of interest to consider the performance of KH for more complex mod-
els.","Furthermore, the coverage of the KH-CIs
for β12 tended to be lower.","Interesting settings are interaction terms of higher order, other random eﬀect
distributions and more extreme coeﬃcients.",2022-01-14 14:57:00+00:00,Robust Confidence Intervals for Meta-Regression with Correlated Moderators,stat.ME,"['stat.ME', 'stat.AP', 'stat.CO']","[arxiv.Result.Author('Eric S. Knop'), arxiv.Result.Author('Markus Pauly'), arxiv.Result.Author('Tim Friede'), arxiv.Result.Author('Thilo Welz')]","Mixed-effects meta-regression models provide a powerful tool for evidence
synthesis. In fact, modelling the study effect in terms of random effects and
moderators not only allows to examine the impact of the moderators, but often
leads to more accurate estimates of the involved parameters. Nevertheless, due
to the often small number of studies on a specific research topic, interactions
are often neglected in meta-regression. This was also the case in a recent
meta-analysis in acute heart failure where a significant decline in death rate
over calendar time was reported. However, we believe that an important
interaction has been neglected. We therefore reanalyzed the data with a
meta-regression model, including an interaction term of the median recruitment
year and the average age of the patients. The model with interaction suggests
different conclusions.
  This led to the new research questions (i) how moderator interactions
influence inference in mixed-effects meta-regression models and (ii) whether
some inference methods are more reliable than others. Focusing on confidence
intervals for main and interaction parameters, we address these questions in an
extensive simulation study. We thereby investigate coverage and length of seven
different confidence intervals under varying conditions. We conclude with some
practical recommendations.",-0.08723892,-0.35508907,0.10337155,A
580,"In further research it may also be of interest to analyze the situations
where highly inﬂated interval lengths of the HC3- and HC5-CIs occurred in detail,
because they cannot be explained by the results of this work.","For a medium number of studies
HC3 might be the most suitable, since its intervals held the nominal conﬁdence level
in every situation with k ∈ {10, 20} and were shorter compares to the HC4- and
HC5-CIs.","Concluding, meta-regression remains an important ﬁeld of statistical research.",2022-01-14 14:57:00+00:00,Robust Confidence Intervals for Meta-Regression with Correlated Moderators,stat.ME,"['stat.ME', 'stat.AP', 'stat.CO']","[arxiv.Result.Author('Eric S. Knop'), arxiv.Result.Author('Markus Pauly'), arxiv.Result.Author('Tim Friede'), arxiv.Result.Author('Thilo Welz')]","Mixed-effects meta-regression models provide a powerful tool for evidence
synthesis. In fact, modelling the study effect in terms of random effects and
moderators not only allows to examine the impact of the moderators, but often
leads to more accurate estimates of the involved parameters. Nevertheless, due
to the often small number of studies on a specific research topic, interactions
are often neglected in meta-regression. This was also the case in a recent
meta-analysis in acute heart failure where a significant decline in death rate
over calendar time was reported. However, we believe that an important
interaction has been neglected. We therefore reanalyzed the data with a
meta-regression model, including an interaction term of the median recruitment
year and the average age of the patients. The model with interaction suggests
different conclusions.
  This led to the new research questions (i) how moderator interactions
influence inference in mixed-effects meta-regression models and (ii) whether
some inference methods are more reliable than others. Focusing on confidence
intervals for main and interaction parameters, we address these questions in an
extensive simulation study. We thereby investigate coverage and length of seven
different confidence intervals under varying conditions. We conclude with some
practical recommendations.",0.37067112,-0.006755462,0.04272659,C
699,"How to automate such heuristic for an arbitrary problem
is worth further research.","Of course, this is only a toy example of a crude yet adaptive
speciﬁcation of a knots superset.","Appendix: Spline and B-Splines

An order-d spline f (x) deﬁned on domain [a, b] comprises smoothly connected polynomial
segments of degree d − 1, with d − 2 continuous derivatives at their interior knots (or
break points) a < s1 < s2 < .",2022-01-18 08:26:41+00:00,General P-Splines for Non-Uniform B-Splines,stat.ME,['stat.ME'],"[arxiv.Result.Author('Zheyuan Li'), arxiv.Result.Author('Jiguo Cao')]","We proposed a new penalized B-splines estimator, the general P-spline, to
accommodate non-uniform B-splines on unevenly spaced knots. It is a complement
to Eilers and Marx's standard P-spline tailored for uniform B-splines on
equidistant knots. At its core, we derived a novel general difference penalty
that accounts for irregular knot spacing, while still being easy to compute and
interpret. Both P-spline variants are useful for practical smoothing, because
either one can produce a more satisfactory fit than the other, depending on the
knot sequence being used and the data being analyzed. Therefore, practitioners
should try out both before betting on either one, for which we have implemented
general P-spline in R packages gps and gps.mgcv. The new general P-spline is
closely related to O'Sullivan spline (or O-spline) through a sandwich formula
that links general difference penalty to derivative penalty. Though both
penalties seem equally powerful in wiggliness control for their mathematical
association and statistical similarity, simulation studies show that general
P-spline either outperforms O-spline in terms of mean squared error, or
performs equally well, making it a superior replacement of O-spline.",-0.09801913,-0.15021574,0.33637178,A
880,"Additional issues and
further research are discussed Section 6.","The proposed approach is applied to the inference on the
explained variation of glycohemoglobin by the environmental pollutants in a National Health
and Nutrition Examination Survey(NHANES) data set in Section 5.","2 Estimating equation approach to explained variation

2.1 Basic formulation of the problem

Let (Yi, Xi1, · · · , Xip), i = 1, · · · , n be the observed data.",2022-01-18 19:05:24+00:00,Statistical Inference on Explained Variation in High-dimensional Linear Model with Dense Effects,stat.ME,['stat.ME'],[arxiv.Result.Author('Hua Yun Chen')],"Statistical inference on the explained variation of an outcome by a set of
covariates is of particular interest in practice. When the covariates are of
moderate to high-dimension and the effects are not sparse, several approaches
have been proposed for estimation and inference. One major problem with the
existing approaches is that the inference procedures are not robust to the
normality assumption on the covariates and the residual errors. In this paper,
we propose an estimating equation approach to the estimation and inference on
the explained variation in the high-dimensional linear model. Unlike the
existing approaches, the proposed approach does not rely on the restrictive
normality assumptions for inference. It is shown that the proposed estimator is
consistent and asymptotically normally distributed under reasonable conditions.
Simulation studies demonstrate better performance of the proposed inference
procedure in comparison with the existing approaches. The proposed approach is
applied to studying the variation of glycohemoglobin explained by environmental
pollutants in a National Health and Nutrition Examination Survey data set.",0.13770682,-0.010757004,-0.067814365,C
881,"However,
this is beyond the scope of this paper and is a topic of further research.",The diﬃculty may be overcome with the help of supplementary covariate data.,"Acknowledgement
    This research is supported by a grant from the National Institute of Environmental Health
Sciences at the National Institute of Health.",2022-01-18 19:05:24+00:00,Statistical Inference on Explained Variation in High-dimensional Linear Model with Dense Effects,stat.ME,['stat.ME'],[arxiv.Result.Author('Hua Yun Chen')],"Statistical inference on the explained variation of an outcome by a set of
covariates is of particular interest in practice. When the covariates are of
moderate to high-dimension and the effects are not sparse, several approaches
have been proposed for estimation and inference. One major problem with the
existing approaches is that the inference procedures are not robust to the
normality assumption on the covariates and the residual errors. In this paper,
we propose an estimating equation approach to the estimation and inference on
the explained variation in the high-dimensional linear model. Unlike the
existing approaches, the proposed approach does not rely on the restrictive
normality assumptions for inference. It is shown that the proposed estimator is
consistent and asymptotically normally distributed under reasonable conditions.
Simulation studies demonstrate better performance of the proposed inference
procedure in comparison with the existing approaches. The proposed approach is
applied to studying the variation of glycohemoglobin explained by environmental
pollutants in a National Health and Nutrition Examination Survey data set.",0.210177,0.10774146,-0.17984723,C
1003,"• For the monitoring of continuous multivariate observations, the strategy for choosing

                    the evaluation points proposed in Section 3.1 was not completely deﬁned and requires

                    further research.","We end this section by stating a few remarks:

• An implementation of the studied multi-purpose open-end monitoring procedure will

                    be made available in the very near future in the R package npcp (Kojadinovic and

                    Verhoijsen, 2021).","One possibility would be to choose the points according to the depth

                    of the observations (a concept initially proposed by Tukey, 1975, in the bivariate case

                    with numerous extensions since then) in the learning sample.",2022-01-25 13:34:01+00:00,Multi-purpose open-end monitoring procedures for multivariate observations based on the empirical distribution function,stat.ME,"['stat.ME', '62L99, 62E20, 62G10']","[arxiv.Result.Author('Mark Holmes'), arxiv.Result.Author('Ivan Kojadinovic'), arxiv.Result.Author('Alex Verhoijsen')]","We propose nonparametric open-end sequential testing procedures that can
detect all types of changes in the contemporary distribution function of
multivariate observations. Their asymptotic properties are theoretically
investigated under stationarity and under alternatives to stationarity. Monte
Carlo experiments reveal their good finite-sample behavior in the case of
continuous univariate observations. A short data example concludes the work.",-0.06165455,0.08668479,0.10967771,A
1048,Section 6 concludes and motivates further research.,"Furthermore, the design-based simulation
contributes to a genuine demonstration of properties and advantages of MERFs in the context
of SAE.","3
2 Theory and method

In this section we propose a ﬂexible, data-driven approach using random forests for the estimation
of area-level means in the presence of unit-level survey data.",2022-01-26 13:46:00+00:00,Flexible domain prediction using mixed effects random forests,stat.ME,"['stat.ME', 'stat.AP']","[arxiv.Result.Author('Patrick Krennmair'), arxiv.Result.Author('Timo Schmid')]","This paper promotes the use of random forests as versatile tools for
estimating spatially disaggregated indicators in the presence of small
area-specific sample sizes. Small area estimators are predominantly
conceptualized within the regression-setting and rely on linear mixed models to
account for the hierarchical structure of the survey data. In contrast, machine
learning methods offer non-linear and non-parametric alternatives, combining
excellent predictive performance and a reduced risk of model-misspecification.
Mixed effects random forests combine advantages of regression forests with the
ability to model hierarchical dependencies. This paper provides a coherent
framework based on mixed effects random forests for estimating small area
averages and proposes a non-parametric bootstrap estimator for assessing the
uncertainty of the estimates. We illustrate advantages of our proposed
methodology using Mexican income-data from the state Nuevo Le\'on. Finally, the
methodology is evaluated in model-based and design-based simulations comparing
the proposed methodology to traditional regression-based approaches for
estimating small area averages.",-0.06438369,0.10073814,0.06924498,A
1049,"However, the modiﬁcation towards a fully non-parametric
formulation of model (1) is subject to further research.","The estimation of the random eﬀects could be also done in a non-parametric way by using discrete
mixtures (Marino et al., 2018, 2019).","For ﬁtting the model (1) we use an approach reminiscent of the EM-algorithm similar to Hajjem et
al.",2022-01-26 13:46:00+00:00,Flexible domain prediction using mixed effects random forests,stat.ME,"['stat.ME', 'stat.AP']","[arxiv.Result.Author('Patrick Krennmair'), arxiv.Result.Author('Timo Schmid')]","This paper promotes the use of random forests as versatile tools for
estimating spatially disaggregated indicators in the presence of small
area-specific sample sizes. Small area estimators are predominantly
conceptualized within the regression-setting and rely on linear mixed models to
account for the hierarchical structure of the survey data. In contrast, machine
learning methods offer non-linear and non-parametric alternatives, combining
excellent predictive performance and a reduced risk of model-misspecification.
Mixed effects random forests combine advantages of regression forests with the
ability to model hierarchical dependencies. This paper provides a coherent
framework based on mixed effects random forests for estimating small area
averages and proposes a non-parametric bootstrap estimator for assessing the
uncertainty of the estimates. We illustrate advantages of our proposed
methodology using Mexican income-data from the state Nuevo Le\'on. Finally, the
methodology is evaluated in model-based and design-based simulations comparing
the proposed methodology to traditional regression-based approaches for
estimating small area averages.",-0.33158424,-0.10772694,-0.24743442,A_centroid
1050,"The extension of recent theoretical
results, such as conditions for the consistency of unit-level predictions (Scornet et al., 2015) or
their asymptotic normality (Wager & Athey, 2018), towards area-level indicators is a conducive
topic for further research.","The theoretical background of random forests grows, but mainly aims
to quantify the uncertainty of individual predictions (Sexton & Laake, 2009; Wager et al., 2014;
Wager & Athey, 2018; Athey et al., 2019; Zhang et al., 2019).","In this paper, we propose a non-parametric random eﬀect block (REB) bootstrap for estimating
the MSE of the introduced area-level estimator given by equation (5).",2022-01-26 13:46:00+00:00,Flexible domain prediction using mixed effects random forests,stat.ME,"['stat.ME', 'stat.AP']","[arxiv.Result.Author('Patrick Krennmair'), arxiv.Result.Author('Timo Schmid')]","This paper promotes the use of random forests as versatile tools for
estimating spatially disaggregated indicators in the presence of small
area-specific sample sizes. Small area estimators are predominantly
conceptualized within the regression-setting and rely on linear mixed models to
account for the hierarchical structure of the survey data. In contrast, machine
learning methods offer non-linear and non-parametric alternatives, combining
excellent predictive performance and a reduced risk of model-misspecification.
Mixed effects random forests combine advantages of regression forests with the
ability to model hierarchical dependencies. This paper provides a coherent
framework based on mixed effects random forests for estimating small area
averages and proposes a non-parametric bootstrap estimator for assessing the
uncertainty of the estimates. We illustrate advantages of our proposed
methodology using Mexican income-data from the state Nuevo Le\'on. Finally, the
methodology is evaluated in model-based and design-based simulations comparing
the proposed methodology to traditional regression-based approaches for
estimating small area averages.",-0.12264438,0.11532742,-0.12022604,A
1051,"We motivate three major dimensions for further research, including theoretical work, aspects of
generalizations and advanced applications using Big Data covariates: from a theoretical perspec-
tive, further research is needed to investigate the construction of a partial-analytical MSE for
area-level means or the construction of an asymptotic MSE-estimator.","Furthermore, we obtain reasonable support for the performance in the application in Section 5.2
and the following design-based simulation in Section 5.3.","A conducive strategy is
the deduction of recent theoretical results, such as conditions for the consistency of unit-level
predictions (Scornet et al., 2015) or considerations of individual predictions intervals (Wager et
al., 2014; Zhang et al., 2019), towards area-level indicators.",2022-01-26 13:46:00+00:00,Flexible domain prediction using mixed effects random forests,stat.ME,"['stat.ME', 'stat.AP']","[arxiv.Result.Author('Patrick Krennmair'), arxiv.Result.Author('Timo Schmid')]","This paper promotes the use of random forests as versatile tools for
estimating spatially disaggregated indicators in the presence of small
area-specific sample sizes. Small area estimators are predominantly
conceptualized within the regression-setting and rely on linear mixed models to
account for the hierarchical structure of the survey data. In contrast, machine
learning methods offer non-linear and non-parametric alternatives, combining
excellent predictive performance and a reduced risk of model-misspecification.
Mixed effects random forests combine advantages of regression forests with the
ability to model hierarchical dependencies. This paper provides a coherent
framework based on mixed effects random forests for estimating small area
averages and proposes a non-parametric bootstrap estimator for assessing the
uncertainty of the estimates. We illustrate advantages of our proposed
methodology using Mexican income-data from the state Nuevo Le\'on. Finally, the
methodology is evaluated in model-based and design-based simulations comparing
the proposed methodology to traditional regression-based approaches for
estimating small area averages.",-0.05801913,0.1951032,-0.028743558,A
